,Investment,Interest  Rate (20),Par (12),Cost,Fair  Value (1),ASC 820 Level (32),
31,"PTC Therapeutics, Inc, Unfunded Delayed Draw (9)(16)(17)(21)(23)",0.00 Unfunded,6333,0,0,Level 3,
32,"RiteDose Holdings I, Inc. (9)(16)","7.82 (1M L + 650, 1.00 Floor)",15000,14516,14513,Level 3,
33,"Teladoc, Inc. (16)(17)","8.49 (1M L + 725, 1.00 Floor)",20000,19805,20400,Level 3,
34,Total Healthcare & Pharmaceuticals0 5.8(10),85046,,,,,
35,ChyronHego Corporation (18),"7.43 (3M L+643, 1.00 Floor)",35743.0,35349,34670,Level 3,
36,LabVantage Solutions Inc.,"9.24 (1M L+800, 1.00 Floor)",14063,13763,13922,Level 3,
37,LabVantage Solutions Limited (16)(17),"9.00 (3M E+800, 1.00 Floor)",€,12883.0,13558,15077,Level 3
38,"Nextech Systems, LLC (18)","8.40 (1M L+725, 1.00 Floor)",21435,21034,21006,Level 3,
39,Telestream Holdings Corporation (18),"7.61 (3M L +6.45, 1.00 Floor)",36933,36595,36194,Level 3,
40,Total High Tech Industries0 8.2(10),120299,,,,,
41,GFRC Holdings LLC,"9.50 (1M L+800 Cash (L+800 PIK Toggle), 1.50 Floor)",2500.0,2500,2500,Level 3,
42,"Total Hotel, Gaming, Leisure, Restaurants0 0.2(10)",2500,,,,,
43,"Magnetation, LLC (14)",9.15 (3M L+800 Cash (PIK Toggle),1898.0,1819,654,Level 3,
44,Total Metals & Mining00.0(10),1819,,,,,
45,UniTek Global Services Inc. (16),"9.84 (3M L+750 Cash plus 1.00 PIK, 1.00 Floor)",1941.0,1941,1941,Level 3,
46,UniTek Global Services Inc. (16),"9.84 (3M L+850, 1.00 Floor)",32367,32367,33014,Level 3,
47,Total Telecommunications0 2.4(10),34308,,,,,
48,"Sunedison, Inc.","8.74 (1M L+750, 1.00 Floor)",13698.0,13648,13758,Level 2,
49,Total Utilities – Electric0 1.0(10),13648,,,,,
50,Total First Lien Secured Debt (excluding Revolvers and Letters of Credit)032.0(10),479549,,,,,
51,Revolvers and Letters of Credit,,,,,,
52,"American Media, Inc., Letter of Credit (16)(23)",L+900,154.0,0,0,Level 3,
53,"American Media, Inc., Revolver (16)(23)","10.34 (3M L+900, 1.00 Floor)",1244,1245,1275,Level 3,
54,"American Media, Inc., Revolver (16)(23)",12.25 (P+800),237,237,243,Level 3,
55,"American Media, Inc., Unfunded Revolver (16)(21)(23)",0.50 Unfunded,143,(39,0,Level 3,
56,"Simplifi Holdings, Inc., Unfunded Revolver (8)(9)(16)(21)(23)",0.50 Unfunded,2400,(72,(72,Level 3,
57,"Total Advertising, Printing & Publishing0 0.1(10)",1371,,,,,
58,"Erickson Inc, Letter of Credit (8)(9)(16)(23)",7.50,103.0,0,(2,Level 3,
59,"Erickson Inc, Letter of Credit (8)(9)(16)(23)",7.50,37,0,(1,Level 3,
60,"Erickson Inc, Letter of Credit (8)(9)(16)(23)",7.50,277,0,(4,Level 3,
61,"Erickson Inc, Letter of Credit (8)(9)(16)(23)",7.50,73,0,(1,Level 3,
62,"Erickson Inc, Letter of Credit (8)(9)(16)(23)",7.50,670,0,(10,Level 3,
63,"Erickson Inc, Letter of Credit (8)(9)(16)(23)",7.50,3,0,0,Level 3,
64,"Erickson Inc, Letter of Credit (8)(9)(16)(23)",7.50,180,0,(3,Level 3,
65,"Erickson Inc, Revolver (9)(16)(23)",8.84 (3M L+750),26062,26062,25672,Level 3,
66,"Erickson Inc, Unfunded Revolver (8)(9)(16)(21)(23)",0.50 Unfunded,17595,(514,(264,Level 3,
67,Total Aerospace & Defense0 1.7(10),25548,,,,,
68,"PSI Services, LLC, Revolver (9)(16)(23)","6.24 (1M L+500, 1.00 Floor)",278.0,278,273,Level 3,
69,"PSI Services, LLC, Unfunded Revolver (8)(9)(16)(21)(23)",0.50 Unfunded,119,(9,(1,Level 3,
70,"PSI Services, LLC, Unfunded Revolver (9)(16)(21)(23)",0.50 Unfunded,£,47.0,0,0,Level 3
71,"RA Outdoors, LLC, Unfunded Revolver (8)(9)(16)(21)(23)",0.50 Unfunded,1200,(24,(24,Level 3,
72,Total Business Services0 0.0(10),245,,,,,
73,"Avantor Performance Materials Holdings, LLC, Letter of Credit (8)(16)(23)",4.00,122.0,0,(1,Level 3,
74,"Avantor Performance Materials Holdings, LLC, Unfunded Revolver (8)(16)(21)(23)",0.50 Unfunded,4878,(555,(32,Level 3,
75,"Total Chemicals, Plastics & Rubber0 0.0(10)",(555,,,,,
76,"TricorBraun Holdings, Inc., Revolver (23)",6.50 (P+225),323.0,323,323,Level 3,
77,"TricorBraun Holdings, Inc., Unfunded Revolver (21)(23)",0.50 Unfunded,5303,(422,0,Level 3,
78,"Total Containers, Packaging & Glass0 0.0(10)",(99,,,,,
79,"Purchasing Power, LLC, Revolver (9)(16)(23)","9.24 (1M L + 800, 1.00 Floor)",2021.0,2021,2004,Level 3,
80,"Purchasing Power, LLC, Unfunded Revolver (8)(9)(16)(21)(23)",1.50 Unfunded,6329,(74,(53,Level 3,
81,"Ten-X, LLC, Unfunded Revolver (8)(21)(23)",0.50 Unfunded,4680,(421,(421,Level 3,
82,"Total Diversified Investment Vehicles, Banking, Finance, Real Estate0 0.1(10)",1526,,,,,
83,"Altasciences US Acquistion, Inc., Unfunded Revolver (8)(9)(16)(21)(23)(28)",0.25 Unfunded,1426.0,(30,(32,Level 3,
84,"Invuity, Inc., Revolver (9)(16)(23)","4.75 (1M L+325, 1.00 Floor)",1024,1024,1018,Level 3,
85,"Invuity, Inc., Unfunded Revolver (8)(9)(16)(21)(23)",0.50 Unfunded,976,(9,(5,Level 3,
86,"Oxford Immunotec, Inc., Unfunded Revolver (9)(16)(17)(21)(23)",0.50 Unfunded,1000,(4,0,Level 3,
87,"RiteDose Holdings I, Inc., Unfunded Revolver (8)(9)(16)(21)(23)",0.50 Unfunded,2000,(64,(65,Level 3,
88,"Teladoc, Inc., Unfunded Revolver (8)(16)(17)(21)(23)",0.50 Unfunded,1667,(67,(67,Level 3,
89,"Wright Medical Group, Inc., Revolver (9)(16)(17)(23)","5.49 (1M L+425, 0.75 Floor)",18333,18333,18333,Level 3,
90,"Wright Medical Group, Inc., Unfunded Revolver (9)(16)(17)(21)(23)",0.50 Unfunded,31667,(423,0,Level 3,
91,Total Healthcare & Pharmaceuticals0 1.3(10),18760,,,,,
92,"LabVantage Solutions Limited, Unfunded Revolver (8)(16)(17)(21)(23)",0.50 Unfunded,€,3435.0,(77,(41,Level 3
93,"Tibco Software Inc., Unfunded Revolver (8)(21)(23)",0.50 Unfunded,6000.0,0,(840,Level 3,
94,Total High Tech Industries0 -0.1(10),(77,,,,,
95,"Alliant Holdings Intermediate, LLC, Letter of Credit (8)(16)(23)",3.375,8.0,0,0,Level 3,
96,"Alliant Holdings Intermediate, LLC, Letter of Credit (8)(16)(23)",3.375,80,0,(3,Level 3,
97,"Alliant Holdings Intermediate, LLC, Letter of Credit (8)(16)(23)",3.375,8,0,0,Level 3,
98,"Alliant Holdings Intermediate, LLC, Letter of Credit (8)(16)(23)",3.375,37,0,(1,Level 3,
99,"Alliant Holdings Intermediate, LLC, Letter of Credit (8)(16)(23)",3.375,37,0,(1,Level 3,
100,"Alliant Holdings Intermediate, LLC, Letter of Credit (8)(16)(23)",3.375,17,0,(1,Level 3,
101,"Alliant Holdings Intermediate, LLC, Unfunded Revolver (8)(16)(21)(23)",0.50 Unfunded,14813,(981,(509,Level 3,
102,Total Insurance0 0.0(10),(981,,,,,
103,"SESAC Holdco II LLC, Unfunded Revolver (8)(16)(21)(23)",0.50 Unfunded,587.0,(46,(44,Level 3,
104,Total Media – Diversified & Production0 0.0(10),(46,,,,,
105,"UniTek Global Services Inc., Letter of Credit (16)(23)",7.50,7762.0,0,0,Level 3,
106,"UniTek Global Services Inc., Unfunded Revolver (16)(21)(23)",0.50 Unfunded,5000,0,0,Level 3,
107,Total Telecommunications0 0.0(10),0,,,,,
108,Total Revolvers and Letters of Credit03.1(10),45692.0,,,,,
109,Total First Lien Secured Debt035.1(10),525241.0,,,,,
110,Second Lien Secured Debt,,,,,,
111,A-L Parent LLC,"8.49 (1M L+725, 1.00 Floor)",10048.0,9957,10098,Level 3,
112,"Total Advertising, Printing & Publishing0 0.7(10)",9957,,,,,
113,PAE Holding Corporation,"10.74 (1M L+950, 1.00 Floor)",28097.0,27363,28272,Level 2,
114,Total Aerospace & Defense0 1.9(10),27363,,,,,
115,"K&N Parent, Inc.","9.99 (1M L+875, 1.00 Floor)",27000.0,26517,26730,Level 3,
116,Total Automotive0 1.8(10),26517,,,,,
117,"Access CIG, LLC","9.98 (1M L+875, 1.00 Floor)",50970.0,49356,50608,Level 3,
118,"Almonde, Inc (17)","8.57 (3M L+725, 1.00 Floor)",2316,2293,2364,Level 2,
119,Ambrosia Buyer Corp.,9.27 (3M L + 800),21429,20900,20896,Level 3,
120,"Appriss Holdings, Inc.","10.58 (3M L+925, 1.00 Floor)",23309,23104,23309,Level 3,
121,"Aptean, Inc.","10.84 (3M L+950, 1.00 Floor)",9548,9419,9613,Level 2,
122,"CT Technologies Intermediate Hldgs, Inc (9)","10.24 (1M L+900, 1.00 Floor)",31253,30387,30315,Level 3,
123,Electro Rent Corporation (9),"10.27 (1M L+900, 1.00 Floor)",52863,51338,51806,Level 3,
124,"Institutional Shareholder Services, Inc.","9.74 (1M L+850, 1.00 Floor)",8232,8173,8232,Level 3,
125,"Ministry Brands, LLC","10.49 (1M L+925, 1.00 Floor)",10000,9868,9859,Level 3,
126,"Poseidon Merger Sub, Inc.","9.81 (3M L+850, 1.00 Floor)",18000,17602,18000,Level 3,
127,"PSI Services, LLC (9)(16)","10.24 (1M L+900, 1.00 Floor)",25714,25018,25134,Level 3,
128,"RA Outdoors, LLC (9)(16)","9.99 (1M L+875, 1.00 Floor)",34200,33351,33345,Level 3,
129,"STG-Fairway Acquisitions, Inc.","10.57 (3M L+925, 1.00 Floor)",15000,14730,13499,Level 3,
130,"Velocity Technology Solutions, Inc.","9.58 (3M L+825, 1.25 Floor)",16500,16347,16583,Level 3,
131,Total Business Services0 21.3(10),311886,,,,,
132,"Avantor Performance Materials Holdings, LLC (16)","9.49 (1M L+825, 1.00 Floor)",1629.0,1614,1633,Level 3,
133,"Hare Bidco, Inc.","9.75 (3M L+875, 1.00 Floor)",€,13574.0,14402,15727,Level 3
134,"Total Chemicals, Plastics & Rubber0 1.2(10)",16016,,,,,
135,"Hayward Industries, Inc.",9.48 (1M L+825),25110.0,24618,24616,Level 3,
136,Total Consumer Goods – Durable0 1.7(10),24618,,,,,
137,"ABG Intermdiate Holdings 2, LLC","9.75 (1M L+775, 2.00 Floor)",8094.0,8033,8195,Level 2,
138,"Sequential Brands Group, Inc. (17)",10.24 (1M L+900),17336,17163,17096,Level 3,
139,Total Consumer Goods – Non-durable0 1.7(10),25196,,,,,
140,"Sprint Industrial Holdings, LLC (16)(30)",13.50 PIK,16163.0,15775,6491,Level 3,
141,"Sprint Industrial Holdings, LLC (16)(31)",13.50 PIK,1688,1688,1688,Level 3,
142,"Total Containers, Packaging & Glass0 0.6(10)",17463,,,,,
143,Armor Holding II LLC,"10.34 (3M L+900, 1.25 Floor)",8000.0,7930,8110,Level 3,
144,"Total Diversified Investment Vehicles, Banking, Finance, Real Estate0 0.6",7930,,,,,
145,"Grocery Outlet, Inc.","9.58 (3M L+825, 1.00 Floor)",25000.0,24761,25281,Level 2,
146,Total Food & Grocery0 1.7(10),24761,,,,,
147,"Avalign Technologies, Inc.","9.57 (6M L+825, 1.00 Floor)",5500.0,5446,5445,Level 3,
148,"BioClinica Holding I, LP","9.56 (3M L+825, 1.00 Floor)",24612,24175,24174,Level 2,
149,"Elements Behavioral Health, Inc.","13.32 (3M L+1200 PIK, 1.00 Floor)",11946,11909,9199,Level 3,
150,"Lanai Holdings III, Inc.","10.00 (6M L+850, 1.00 Floor)",17391,16954,16957,Level 3,
151,Total Healthcare & Pharmaceuticals0 3.8(10),58484,,,,,
152,"DigiCert Holding, Inc.","9.33 (3M L+800, 1.00 Floor)",20196.0,20095,20405,Level 2,
153,"Smokey Merger Sub, Inc. (9)","9.75 (3M L+875, 1.00 Floor)",30000,29145,29100,Level 3,
154,Total High Tech Industries0 3.4(10),49240,,,,,
155,SMG,"9.49 (1M L+825, 1.00 Floor)",19649.0,19649,19600,Level 2,
156,"Total Hotel, Gaming, Leisure, Restaurants0 1.3(10)",19649,,,,,
157,Confie Seguros Holding II Co.,"11.00 (1M L+975, 1.25 Floor)",21844.0,21791,21462,Level 2,
158,Total Insurance0 1.5(10),21791,,,,,
159,"ATS Consolidated, Inc.","9.74 (1M L+850, 1.00 Floor)",15000.0,14710,15038,Level 3,
160,MedPlast Holdings Inc.,"10.02 (3M L+875, 1.00 Floor)",8000,7816,7800,Level 3,
161,"Power Products, LLC (9)","10.31 (3M L+900, 1.00 Floor)",32500,31488,32022,Level 3,
162,"Total Manufacturing, Capital Equipment0 3.7(10)",54014,,,,,
163,SESAC Holdco II LLC (16),"8.49 (1M L+725, 1.00 Floor)",3241.0,3211,3237,Level 3,
164,Total Media – Diversified & Production0 0.2(10),3211,,,,,
165,"Parfums Holding Company, Inc.","10.09 (3M L+875, 1.00 Floor)",7000.0,6791,6872,Level 2,
166,Total Retail0 0.4(10),6791,,,,,
167,"Securus Technologies Holdings, Inc.","9.46 (1M L+825, 1.00 Floor)",12878.0,12749,12991,Level 2,
168,"Wave Holdco Merger Sub, Inc.","10.49 (1M L+925, 1.00 Floor)",10000,9792,9880,Level 3,
169,Total Telecommunications0 1.5(10),22541,,,,,
170,Total Second Lien Secured Debt049.0 (10),727428.0,,,,,
171,Total Secured Debt084.1(10),1252669.0,,,,,
172,Unsecured Debt,,,,,,
173,"U.S. Security Associates Holdings, Inc.",11.00,80000.0,80000,80000,Level 3,
174,Total Business Services0 5.4(10),80000,,,,,
175,"Sorenson Holdings, LLC (11)",13.85 Cash (13.85 PIK Toggle),52.0,35,46,Level 2,
176,Total Consumer Goods – Durable0 0.0(10),35,,,,,
177,UniTek Global Services Inc. (16),15.00 PIK,9203.0,9203,9387,Level 3,
178,Total Telecommunications0 0.7(10),9203,,,,,
179,"American Tire Distributors, Inc. (11)",10.25,14741.0,14803,15442,Level 2,
180,"Total Transportation – Cargo, Distribution0 1.1(10)",14803,,,,,
181,Total Unsecured Debt07.2(10),104041.0,,,,,
182,Total Corporate Debt091.3(10),1356710.0,,,,,
183,Structured Products and Other,,,,,,
184,"Craft 2014-1A, Credit-Linked Note (11)(17)",10.20 (3M L+965),33877.0,33740,33058,Level 3,
185,"Craft 2015-2, Credit-Linked Note (11)(17)",10.76 (3M L+925),26000,25777,25148,Level 3,
186,"Total Diversified Investment Vehicles, Banking, Finance, Real Estate0 4.0(10)",59517,,,,,
187,Asset Repackaging Trust Six B.V. (11)(17)(19),13.12,58411.0,25827,32148,Level 3,
188,Total Utilities – Electric0 2.1(10),25827,,,,,
189,Total Structured Products and Other06.1 (10),85344.0,,,,,
190,Equity,,,,,,
191,Common Equity/Interests,Shares,,,,,
192,"Skyline Data, News and Analytics LLC, Class A Common Unit (13)",4500000,4500.0,Level 3,,,
193,Total Business Services0 0.3(10),4500,,,,,
194,"Sorenson Holdings, LLC, Membership Interests (13)",586,424.0,Level 3,,,
195,Total Consumer Goods – Durable0 0.0(10),0,,,,,
196,"Accelerate Parent Corp., Common Stock (13)",1664045,1740.0,Level 3,,,
197,"Total Transportation – Cargo, Distribution0 0.2(10)",1714,,,,,
198,Total Common Equity/Interests0 0.5 (10),6214.0,,,,,
199,Warrants,Warrants,,,,,
200,"Sprint Industrial Holdings, LLC, Warrants (13)(29)",7341,0.0,Level 3,,,
201,"Total Containers, Packaging & Glass0 0.0(10)",0,,,,,
202,"Invuity, Inc., Warrants (9)(13)",16873,105.0,Level 3,,,
203,Total Healthcare & Pharmaceuticals0 0.0(10),80,,,,,
204,Total Warrants00.0 (10),80.0,,,,,
205,Total Equity00.5 (10),6294.0,,,,,
206,Total Non-Controlled/Non-Affiliated Investments097.9 (10),1448348.0,,,,,
207,Non-Controlled/Affiliated Investments (4),,,,,,
208,Corporate Debt,,,,,,
209,Secured Debt,,,,,,
210,First Lien Secured Debt,,,,,,
211,Solarplicity Group Limited (3)(17),8.00 PIK (8.00 Cash Toggle),£,130501.0,151662,134079,Level 3
212,Total Energy – Electricity0 9.1(10),151662,,,,,
213,Total First Lien Secured Debt09.1 (10),151662,,,,,
214,Total Secured Debt09.1 (10),151662.0,,,,,
215,Unsecured Debt,,,,,,
216,Solarplicity UK Holdings Limited (17),8.00 PIK (8.00 Cash Toggle),£,2000.0,2499,2684,Level 3
217,Total Energy – Electricity0 0.2(10),2499,,,,,
218,Total Unsecured Debt00.2 (10),2499.0,,,,,
219,Total Corporate Debt09.3 (10),154161.0,,,,,
220,Structured Products and Other,,,,,,
221,"Golden Bear 2016-R, LLC, Membership Interests (3)(17)",9/20/42,14905.0,Level 3,,,
222,"Ivy Hill Middle Market Credit Fund IX, Ltd., Subordinated Notes (3)(11)(17)(22)",17.16,12500.0,8834,8951,Level 3,
223,"Ivy Hill Middle Market Credit Fund X, Ltd., Subordinated Notes (3)(11)(17)(22)",14.95,14000,10667,10058,Level 3,
224,"Total Diversified Investment Vehicles, Banking, Finance, Real Estate0 2.3(10)",35960,,,,,
225,Total Structured Products and Other02.3 (10),35960.0,,,,,
226,Equity,,,,,,
227,Preferred Equity,Shares,,,,,
228,"Renew Financial LLC (f/k/a Renewable Funding, LLC), Series B Preferred Stock (13)",1505868,19028.0,Level 3,,,
229,"Renew Financial LLC (f/k/a Renewable Funding, LLC), Series D Preferred Stock (13)",436689,6751,Level 3,,,
230,Total Energy – Electricity0 1.8(10),13911,,,,,
231,Total Preferred Equity01.8 (10),13911,,,,,
232,Common Equity/Interests,Shares,,,,,
233,"AIC SPV Holdings II, LLC, Membership Interests (13)(15)(17)",534375,1140.0,Level 3,,,
234,"AMP Solar Group, Inc., Class A Common Unit (13)(17)",243646,5196,Level 3,,,
235,"Renew JV LLC, Membership Interests (13)(17)",3758815,5359,Level 3,,,
236,"Solarplicity Group Limited, Class B Common Shares (2)(3)(13)(17)(26)",2825,0,Level 3,,,
237,"Solarplicity UK Holdings Limited, Ordinary Shares (2)(13)(17)",2825,4934,Level 3,,,
238,Total Energy – Electricity0 1.1(10),17033,,,,,
239,"Pelican Energy, LLC, Membership Interests (13)(17)",1444,11796,Level 3,,,
240,Total Energy – Oil & Gas0 0.8(10),25018,,,,,
241,Total Common Equity/Interests01.9 (10),42051.0,,,,,
242,Total Equity03.7 (10),55962.0,,,,,
243,Total Non-Controlled/Affiliated Investments015.3 (10),246083,,,,,
244,Controlled Investments (5),,,,,,
245,Corporate Debt,,,,,,
246,Secured Debt,,,,,,
247,First Lien Secured Debt,,,,,,
248,First Lien Secured Debt (excluding Revolvers and Letters of Credit),,,,,,
249,"Glacier Oil & Gas Corp. (f/k/a Miller Energy Resources, Inc.) (16)(23)",8.00 Cash (10.00 PIK Toggle),15000.0,15000,15000,Level 3,
250,"Glacier Oil & Gas Corp. (f/k/a Miller Energy Resources, Inc.), Unfunded Delayed Draw (16)(21)(23)",0.00 Unfunded,5000,0,0,Level 3,
251,"SHD Oil & Gas, LLC, Tranche A Note (16)",14.00 (8.00 Cash plus 6.00 PIK),42148,42148,43412,Level 3,
252,"SHD Oil & Gas, LLC, Tranche B Note (14)(16)",14.00 PIK,68311,44380,29550,Level 3,
253,"SHD Oil & Gas, LLC, Tranche C Note (16)",12.00,15750,15749,16223,Level 3,
254,"SHD Oil & Gas, LLC, Unfunded Delayed Draw (16)(21)(23)",0.00 Unfunded,2250,0,0,Level 3,
255,Total Energy – Oil & Gas0 7.1(10),117277,,,,,
256,Total First Lien Secured Debt (excluding Revolvers and Letters of Credit)07.1 (10),117277,,,,,
257,Revolvers and Letters of Credit,,,,,,
258,"Merx Aviation Finance Assets Ireland Limited, Letter of Credit (16)(23)",2.25,3600.0,0,0,Level 3,
259,"Merx Aviation Finance, LLC, Letter of Credit (16)(23)",2.25,177,0,0,Level 3,
260,"Merx Aviation Finance, LLC, Revolver (16)(23)",12.00,386500,386500,386500,Level 3,
261,Total Aviation and Consumer Transport0 26.2(10),386500,,,,,
262,"Dynamic Product Tankers, LLC, Letter of Credit (17)(23)",2.25,2250.0,0,0,Level 3,
263,"Total Transportation – Cargo, Distribution0 0.0(10)",0,,,,,
264,Total Revolvers and Letters of Credit026.2 (10),386500.0,,,,,
265,Total First Lien Secured Debt033.3 (10),503777.0,,,,,
266,Second Lien Secured Debt,,,,,,
267,"Glacier Oil & Gas Corp. (f/k/a Miller Energy Resources, Inc.) (16)",10.00 PIK Toggle (8.00 Cash),29028.0,29028,29028,Level 3,
268,Total Energy – Oil & Gas0 2.0(10),29028,,,,,
269,Total Second Lien Secured Debt02.0 (10),29028.0,,,,,
270,Total Secured Debt035.3 (10),532805.0,,,,,
271,Total Corporate Debt035.3 (10),532805.0,,,,,
272,Equity,,,,,,
273,Common Equity/Interests,Shares,,,,,
274,"Merx Aviation Finance, LLC, Membership Interests",0,42664.0,Level 3,,,
275,Total Aviation and Consumer Transport02.8(10),15000,,,,,
276,"Glacier Oil & Gas Corp. (f/k/a Miller Energy Resources, Inc.), Common Stock (13)",5000000,17715.0,Level 3,,,
277,"SHD Oil & Gas, LLC, Series A Units (13)",7600000,0,Level 3,,,
278,Total Energy – Oil & Gas0 1.2(10),31491,,,,,
279,"Dynamic Product Tankers, LLC, Class A Units (13)(17)(24)",0,42811.0,Level 3,,,
280,"MSEA Tankers LLC, Class A Units (17)(25)",0,71442,Level 3,,,
281,"Total Transportation – Cargo, Distribution0 7.8(10)",122556,,,,,
282,Total Common Equity/Interests011.8 (10),169047.0,,,,,
283,Total Equity011.8 (10),169047.0,,,,,
284,Total Controlled Investments047.1 (10),701852.0,,,,,
285,Total Investments before Cash Equivalents and Option Contracts0160.3 (10),2396283.0,,,,,
