,Investment,Industry,Interest_Rate,Maturity_Date,Par_Shares,Cost,Fair_Value
25,"Nextech Systems, LLC (18)",High Tech Industries,"8.25 (3M L+725, 1.00 Floor)",6/22/21,22500,21968,22050
26,"Saba Software, Inc. (18)",High Tech Industries,"9.75 (1M L+875, 1.00 Floor)",3/30/21,9875,9875,9727
27,"SCM Insurance Services, Inc. (17)",Business Services,9.25,8/22/19,39480,33205,25228
28,"Spotted Hawk Development, LLC (14)",Energy – Oil & Gas,19.00 (13.00 Cash plus 6.00 PIK),12/31/19,88292,84380,63661
29,Telestream Holdings Corporation (18),High Tech Industries,"7.77 (3M L+677, 1.00 Floor)",1/15/20,30699,30699,30085
30,UniTek Global Services Inc. (16),Telecommunications,"9.50 (3M L+750 Cash plus 1.00 PIK, 1.00 Floor)",1/13/19,11650,11651,11651
31,UniTek Global Services Inc. (16),Telecommunications,"8.50 (3M L+750, 1.00 Floor)",1/13/19,32367,32367,31881
32,Revolvers and Letters of Credit,,,,,,
33,"Alliant Holdings Intermediate, LLC, Unfunded Revolver (8)(16)(21)(23)",Insurance,0.50 Unfunded,8/14/20,14794,"(1,322","(1,272"
34,"Alliant Holdings Intermediate, LLC, Letter of Credit (8)(16)(23)",Insurance,3.375,10/3/16,8,0,(1
35,"Alliant Holdings Intermediate, LLC, Letter of Credit (8)(16)(23)",Insurance,3.375,11/30/16,56,0,(5
36,"Alliant Holdings Intermediate, LLC, Letter of Credit (8)(16)(23)",Insurance,3.375,4/24/17,37,0,(3
37,"Alliant Holdings Intermediate, LLC, Letter of Credit (8)(16)(23)",Insurance,3.375,5/4/17,8,0,(1
38,"Alliant Holdings Intermediate, LLC, Letter of Credit (8)(16)(23)",Insurance,3.375,6/30/17,17,0,(2
39,"Alliant Holdings Intermediate, LLC, Letter of Credit (8)(16)(23)",Insurance,3.375,7/29/17,80,0,(7
40,"American Media, Inc., Revolver (16)(23)","Advertising, Printing & Publishing","8.50 (1M L+750, 1.00 Floor)",8/24/20,296,296,296
41,"American Media, Inc., Revolver (16)(23)","Advertising, Printing & Publishing","8.50 (1M L+750, 1.00 Floor)",8/24/20,711,711,711
42,"American Media, Inc., Unfunded Revolver (16)(21)(23)","Advertising, Printing & Publishing",0.50 Unfunded,8/24/20,565,(52,0
43,"American Media, Inc., Letter of Credit (16)(23)","Advertising, Printing & Publishing",7.50,8/24/20,206,0,0
44,"Avaya, Inc., Revolver",Telecommunications,5.25 (P+175),10/26/16,3303,3303,3303
45,"Confie Seguros Holding II Co., Revolver (16)(23)",Insurance,7.00 (P+350),11/9/17,615,615,606
46,"Confie Seguros Holding II Co., Unfunded Revolver (8)(16)(21)(23)",Insurance,0.50 Unfunded,11/9/17,3724,(131,(56
47,"Confie Seguros Holding II Co., Letter of Credit (8)(16)(23)",Insurance,4.50,1/13/17,161,0,(2
48,"Endologix, Inc., Revolver (9)(16)(17)(23)",Healthcare & Pharmaceuticals,"4.60 (1M L+410, 0.50 Floor)",7/29/20,56,56,55
49,"Endologix, Inc., Unfunded Revolver (8)(9)(16)(17)(21)(23)",Healthcare & Pharmaceuticals,0.50 Unfunded,7/29/20,4944,(24,(24
50,"LabVantage Solutions Limited, Unfunded Revolver (8)(16)(17)(21)(23)",High Tech Industries,0.50 Unfunded,12/29/20,3435,(102,(77
51,"My Alarm Center, LLC, Revolver (16)(23)",Business Services,11.00 (P+700),1/9/19,750,750,750
52,"My Alarm Center, LLC, Unfunded Revolver (16)(21)(23)",Business Services,0.35 Unfunded,1/9/19,5500,0,0
53,"Tibco Software Inc., Unfunded Revolver (8)(21)(23)",High Tech Industries,0.50 Unfunded,12/5/19,6000,(38,"(1,200"
54,"UniTek Global Services Inc., Unfunded Revolver (16)(21)(23)",Telecommunications,0.50 Unfunded,1/13/19,5000,0,0
55,"UniTek Global Services Inc., Letter of Credit (16)(23)",Telecommunications,7.50,1/13/19,8812,0,0
56,"UniTek Global Services Inc., Letter of Credit (16)(23)",Telecommunications,7.50,1/13/19,1850,0,0
57,Second Lien Secured Debt,,,,,,
58,1A Smart Start LLC,Consumer Services,"9.50 (3M L+850, 1.00 Floor)",8/22/22,35000,34384,34370
59,"Access CIG, LLC (16)",Business Services,"9.75 (3M L+875, 1.00 Floor)",10/17/22,35755,34268,34878
60,"Access CIG, LLC (16)",Business Services,"9.75 (3M L+875, 1.00 Floor)",10/17/22,15215,14659,14841
61,"Active Network, Inc. (16)",Business Services,"9.50 (3M L+850, 1.00 Floor)",11/15/21,19672,19601,19475
62,"Active Network, Inc. (16)",Business Services,"10.50 (3M L+950, 1.00 Floor)",11/15/21,6006,5886,5931
63,"Appriss Holdings, Inc.",Business Services,"10.25 (3M L+925, 1.00 Floor)",5/21/21,23309,23032,23309
64,Armor Holding II LLC,"Diversified Investment Vehicles, Banking, Finance, Real Estate","10.25 (3M L+900, 1.25 Floor)",12/26/20,8000,7895,7830
65,Asurion Corporation,Insurance,"8.50 (3M L+750, 1.00 Floor)",3/3/21,39590,39385,39458
66,Confie Seguros Holding II Co. (16),Insurance,"10.25 (1M L+900, 1.25 Floor)",5/8/19,22344,22262,22567
67,"Delta Educational Systems, Inc. (14)(16)",Education,16.00 PIK,5/12/17,7759,7460,0
68,"Delta Educational Systems, Inc. (14)(16)",Education,35.00 PIK,6/10/18,1538,1328,0
69,"Deltek, Inc.",Business Services,"9.50 (3M L+850, 1.00 Floor)",6/26/23,15086,14906,15303
70,"Elements Behavioral Health, Inc.",Healthcare & Pharmaceuticals,"13.00 (3M L+1200 PIK, 1.00 Floor)",2/11/20,10477,10418,8591
71,Garden Fresh Restaurant Corp. (14)(16),"Hotel, Gaming, Leisure, Restaurants","7.75 (3M L+625 PIK, 1.50 Floor)",1/1/19,9282,7746,0
72,Garden Fresh Restaurant Corp. (14)(16),"Hotel, Gaming, Leisure, Restaurants","15.00 (3M L+1350 PIK, 1.50 Floor)",1/1/19,49986,45904,0
73,"GCA Services Group, Inc.",Business Services,"10.00 (3M L+900, 1.00 Floor)",3/1/24,10000,9761,9975
74,"Grocery Outlet, Inc.",Food & Grocery,"9.25 (3M L+825, 1.00 Floor)",10/21/22,25000,24693,25000
75,"Infiltrator Systems Integrated, LLC","Manufacturing, Capital Equipment","9.75 (3M L+875, 1.00 Floor)",5/26/23,13889,13645,13958
76,"Institutional Shareholder Services, Inc.",Business Services,"8.50 (3M L+750, 1.00 Floor)",4/30/22,6640,6589,6375
77,"Kronos, Inc.",Business Services,"9.75 (3M L+850, 1.25 Floor)",4/30/20,9981,10094,10187
78,"Lanai Holdings III, Inc.",Healthcare & Pharmaceuticals,"9.50 (3M L+850, 1.00 Floor)",8/28/23,17391,16878,16956
79,"Landslide Holdings, Inc.",Business Services,"9.50 (3M L+850, 1.00 Floor)",9/21/23,18510,18140,18441
80,MSC Software Corp. (17),High Tech Industries,"8.50 (3M L+750, 1.00 Floor)",5/31/21,13448,13350,13179
81,"MW Industries, Inc.","Manufacturing, Capital Equipment","10.25 (3M L+925, 1.00 Floor)",12/28/20,20000,19522,19900
82,"Poseidon Merger Sub, Inc.",Business Services,"9.50 (3M L+850, 1.00 Floor)",8/15/23,18000,17535,17640
83,River Cree Enterprises LP (11)(17),"Hotel, Gaming, Leisure, Restaurants",11.00,1/20/21,19000,17913,14005
84,"Sequential Brands Group, Inc. (17)",Consumer Goods – Durable,9.52 (1M L+900),7/1/22,17600,17388,17389
85,"SiTV, Inc. (11)",Broadcasting & Subscription,10.375,7/1/19,2219,2219,1530
86,SMG,"Hotel, Gaming, Leisure, Restaurants","9.25 (3M L+825, 1.00 Floor)",2/27/21,19649,19649,19453
87,"Sprint Industrial Holdings, LLC","Containers, Packaging & Glass","11.25 (3M L+1000, 1.25 Floor)",11/14/19,16163,15586,9617
88,"Sterling Holdings Ultimate Parent, Inc.",Business Services,"9.25 (3M L+825, 1.00 Floor)",6/19/23,20000,19814,19600
89,"STG-Fairway Acquisitions, Inc.",Business Services,"10.25 (3M L+925, 1.00 Floor)",6/30/23,15000,14666,14250
90,"TMK Hawk Parent, Corp.","Transportation – Cargo, Distribution","8.50 (3M L+750, 1.00 Floor)",10/1/22,34000,33726,33660
91,"Velocity Technology Solutions, Inc.",Business Services,"9.50 (3M L+825, 1.25 Floor)",9/28/20,16500,16274,16088
92,"Wave Holdco Merger Sub, Inc.",Telecommunications,"10.25 (3M L+925, 1.00 Floor)",5/27/23,10000,9754,9750
93,Unsecured Debt,,,,,,
94,"American Tire Distributors, Inc. (11)","Transportation – Cargo, Distribution",10.25,3/1/22,14741,14814,13580
95,Canacol Energy Ltd. (17),Energy – Oil & Gas,"9.50 (3M L+850, 1.00 Floor)",12/31/19,75000,73602,72825
96,"Delta Educational Systems, Inc. (14)(16)",Education,16.00 PIK,5/12/17,22811,20665,0
97,"Lonestar Intermediate Super Holdings, LLC",Insurance,"10.00 Cash (3M L+900 Cash, 1.00 Floor) (3M L+975 PIK Toggle, 1.00 Floor)",8/10/21,4865,4817,4842
98,"Sorenson Holdings, LLC (11)",Consumer Goods – Durable,13.85 Cash (13.85 PIK Toggle),10/31/21,52,35,46
99,"U.S. Security Associates Holdings, Inc.",Business Services,11.00,7/28/18,135000,135000,135000
100,UniTek Global Services Inc. (16),Telecommunications,15.00 PIK,7/13/19,7934,7933,8013
101,Structured Products and Other,,,,,,
102,Asset Repackaging Trust Six B.V. (11)(17)(19),Utilities – Electric,13.87,5/18/27,58411,25460,32161
103,"Craft 2013-1, Credit-Linked Note (11)(16)(17)","Diversified Investment Vehicles, Banking, Finance, Real Estate",9.93 (3M L+925),4/17/22,25000,25049,24500
104,"Craft 2013-1, Credit-Linked Note (11)(16)(17)","Diversified Investment Vehicles, Banking, Finance, Real Estate",9.93 (3M L+925),4/17/22,7625,7713,7472
105,"Craft 2014-1A, Credit-Linked Note (11)(17)","Diversified Investment Vehicles, Banking, Finance, Real Estate",10.47 (3M L+965),5/15/21,42500,42413,41650
106,"Craft 2015-2, Credit-Linked Note (11)(17)","Diversified Investment Vehicles, Banking, Finance, Real Estate",9.93 (3M L+925),1/16/24,26000,25870,24700
107,"Dark Castle Holdings, LLC",Media – Diversified & Production,12.77,N/A,24395,1189,2244
108,"NXT Capital CLO 2014-1, LLC, Class E Notes (11)(17)","Diversified Investment Vehicles, Banking, Finance, Real Estate",6.21 (3M L+550),4/23/26,5000,4702,4251
109,Equity,,,,,,
110,Preferred Equity,Shares,,,,,
111,"Crowley Holdings, Inc., Series A Preferred Stock (11)","Transportation – Cargo, Distribution",12.00 (10.00 Cash plus 2.00 PIK),N/A,32500,34344,34344
112,"Gryphon Colleges Corp., Preferred Stock (13)(14)",Education,12.50 PIK,N/A,332500,6863,0
113,"Gryphon Colleges Corp., Preferred Stock (13)(14)",Education,13.50 PIK,N/A,12360,27686,0
114,"Sungevity Inc., Series D Preferred Stock (13)",Energy – Electricity,N/A,N/A,114678899,4396,4260
115,"Varietal Distribution Holdings, LLC, Class A Preferred Unit","Transportation – Cargo, Distribution",4.00 PIK,N/A,2594,2607,2607
116,Common Equity/Interests,Shares,,,,,
117,"Accelerate Parent Corp., Common Stock (13)","Transportation – Cargo, Distribution",N/A,N/A,1664046,1714,1460
118,"Clothesline Holdings, Inc., Common Stock (13)",Healthcare & Pharmaceuticals,N/A,N/A,6000,6000,0
119,"Explorer Coinvest, LLC, Common Stock (17)",Business Services,N/A,N/A,N/A,574,2203
120,"Garden Fresh Restaurant Holdings, LLC, Common Stock (13)","Hotel, Gaming, Leisure, Restaurants",N/A,N/A,50000,5000,0
121,"Gryphon Colleges Corp., Common Stock (13)",Education,N/A,N/A,17500,175,0
122,"Skyline Data, News and Analytics LLC, Class A Common Unit (13)",Business Services,N/A,N/A,4500000,4500,4500
123,"Sorenson Holdings, LLC, Membership Interests (13)",Consumer Goods – Durable,N/A,N/A,587,0,143
124,"Varietal Distribution Holdings, LLC, Class A Common Unit (13)","Transportation – Cargo, Distribution",N/A,N/A,28028,28,253
125,Warrants,Warrants,,,,,
126,"Gryphon Colleges Corp., Class A-1 Preferred Stock Warrants (13)",Education,N/A,N/A,45947,460,0
127,"Gryphon Colleges Corp., Class B-1 Preferred Stock Warrants (13)",Education,N/A,N/A,104314,1043,0
128,"Gryphon Colleges Corp., Common Stock Warrants (13)",Education,N/A,N/A,9820,98,0
129,"Spotted Hawk Development, LLC, Common Stock Warrants (13)",Energy – Oil & Gas,N/A,N/A,54545,852,0
130,Non-Controlled/Affiliated Investments (4),,,,,,
131,Corporate Debt,,,,,,
132,Secured Debt,,,,,,
133,First Lien Secured Debt,,,,,,
134,"Pelican Energy, LLC (14)(17)",Energy – Oil & Gas,10.00 PIK Toggle (10.00 Cash),12/31/18,29624,26665,14864
135,Unsecured Debt,,,,,,
136,"Venoco, Inc.",Energy – Oil & Gas,10.00 PIK,7/25/17,338,338,338
137,Structured Products and Other,,,,,,
138,"Golden Bear Warehouse LLC, Membership Interests (3)(17)","Diversified Investment Vehicles, Banking, Finance, Real Estate",N/A,N/A,40446,40446,73457
139,"Ivy Hill Middle Market Credit Fund IX, Ltd., Subordinated Notes (3)(11)(17)(22)","Diversified Investment Vehicles, Banking, Finance, Real Estate",16.70,10/18/25,12500,9588,9462
140,"Ivy Hill Middle Market Credit Fund X, Ltd., Subordinated Notes (3)(11)(17)(22)","Diversified Investment Vehicles, Banking, Finance, Real Estate",14.03,7/18/27,14000,11557,10863
141,"MCF CLO I, LLC, Membership Interests (3)(11)(17)(22)","Diversified Investment Vehicles, Banking, Finance, Real Estate",13.85,4/20/23,38918,31151,32530
142,"MCF CLO III, LLC, Class E Notes (11)(17)","Diversified Investment Vehicles, Banking, Finance, Real Estate",5.07 (3M L+445),1/20/24,12750,11630,10487
143,"MCF CLO III, LLC, Membership Interests (3)(11)(17)(22)","Diversified Investment Vehicles, Banking, Finance, Real Estate",20.40,1/20/24,41900,32706,33276
144,Equity,,,,,,
145,Preferred Equity,Shares,,,,,
146,"Renew Financial LLC (f/k/a Renewable Funding, LLC), Series B Preferred Stock (13)",Energy – Electricity,N/A,N/A,1505868,8343,20458
147,"Renew Financial LLC (f/k/a Renewable Funding, LLC), Series D Preferred Stock (13)",Energy – Electricity,N/A,N/A,436689,5568,5933
148,Common Equity/Interests,Shares,,,,,
149,"AIC SPV Holdings I, LLC, Membership Interests (15)(17)(23)","Diversified Investment Vehicles, Banking, Finance, Real Estate",N/A,N/A,N/A,68702,25327
150,"AMP Solar Group, Inc., Class A Common Unit (13)(17)",Energy – Electricity,N/A,N/A,243646,10000,890
151,"LVI Group Investments, LLC, Common Units (3)(13)",Environmental Industries,N/A,N/A,212460,17505,10951
152,"Pelican Energy, LLC, Membership Interests (13)(17)",Energy – Oil & Gas,N/A,N/A,1228,1099,0
153,"Venoco, Inc., LLC Units (13)",Energy – Oil & Gas,N/A,N/A,192177,40517,36321
154,Warrants,Warrants,,,,,
155,"Venoco, Inc., Series A Warrants (13)",Energy – Oil & Gas,N/A,N/A,23125,48170,2412
156,Controlled Investments (5),,,,,,
157,Corporate Debt,,,,,,
158,Secured Debt,,,,,,
159,First Lien Secured Debt,,,,,,
160,First Lien Secured Debt (excluding Revolvers and Letters of Credit),,,,,,
161,"Glacier Oil & Gas Corp. (f/k/a Miller Energy Resources, Inc.) (16)",Energy – Oil & Gas,8.00 Cash (10.00 PIK Toggle),3/29/19,6500,6500,6500
162,"Glacier Oil & Gas Corp. (f/k/a Miller Energy Resources, Inc.), Unfunded Delayed Draw (16)(21)(23)",Energy – Oil & Gas,0.00 Unfunded,3/29/19,3500,0,0
163,Solarplicity Group Limited (17),Energy – Electricity,12.50 Cash (12.50 PIK Toggle),11/30/22,141565,206416,184020
164,Revolvers and Letters of Credit,,,,,,
165,"Merx Aviation Finance, LLC, Revolver (16)",Aviation and Consumer Transport,12.00,10/31/18,399084,399084,399084
166,"Merx Aviation Finance, LLC, Unfunded Revolver (16)(21)",Aviation and Consumer Transport,0.00 Unfunded,10/31/18,100916,0,0
167,"Merx Aviation Finance, LLC, Letter of Credit (16)(23)",Aviation and Consumer Transport,2.25,7/13/17,177,0,0
168,"Merx Aviation Finance Assets Ireland Limited, Letter of Credit (16)(23)",Aviation and Consumer Transport,2.25,9/30/17,1800,0,0
169,"Merx Aviation Finance Assets Ireland Limited, Letter of Credit (16)(23)",Aviation and Consumer Transport,2.25,9/30/17,1800,0,0
170,Second Lien Secured Debt,,,,,,
171,"Glacier Oil & Gas Corp. (f/k/a Miller Energy Resources, Inc.) (16)",Energy – Oil & Gas,10.00 PIK Toggle (8.00 Cash),3/29/21,26276,26276,26276
172,Equity,,,,,,
173,Common Equity/Interests,Shares,,,,,
174,"Dynamic Product Tankers, LLC, Class A Units (17)(24)","Transportation – Cargo, Distribution",N/A,N/A,N/A,48106,44647
175,"Glacier Oil & Gas Corp. (f/k/a Miller Energy Resources, Inc.), Common Stock (13)",Energy – Oil & Gas,N/A,N/A,5000000,30078,23274
176,"Merx Aviation Finance, LLC, Membership Interests",Aviation and Consumer Transport,N/A,N/A,N/A,56504,83012
177,"MSEA Tankers LLC, Class A Units (17)(25)","Transportation – Cargo, Distribution",N/A,N/A,N/A,84500,83361
178,"Solarplicity Group Limited, Class B Common Shares (2)(13)(17)",Energy – Electricity,N/A,N/A,2825,2472,127
