,INVESTMENTS IN NON-CONTROLLED/NON-AFFILIATED  INVESTMENTS 0140.3,Par  Amount*,Fair  Value (1),
113,TOTAL PREFERRED EQUITY,40319,,
114,EQUITY03.6,,,
115,Common Equity/Interests03.0,,,
116,Accelerate Parent Corp. (American Tire Distributors) **,3125000,3560,
117,AHC Mezzanine LLC (Advanstar) **,0,643,
118,Altegrity Holding Corp. **,353399,1214,
119,"CA Holding, Inc. (Collect America, Ltd.) Series A ** ‡",25000,2498,
120,"CA Holding, Inc. (Collect America, Ltd.) Series AA ** ‡",4294,859,
121,"Caza Petroleum, Inc., Net Profits Interest **",0,771,
122,"Caza Petroleum, Inc., Overriding Royalty Interest **",0,160,
123,"Clothesline Holdings, Inc. (Angelica Corporation) **",6000,3608,
124,Explorer Coinvest LLC (Booz Allen) ** ‡,430,6950,
125,"Garden Fresh Restaurant Holding, LLC **",50000,0,
126,"Gryphon Colleges Corporation (Delta Educational Systems, Inc.) **",17500,0,
127,"GS Prysmian Co-Invest L.P. (Prysmian Cables & Systems) (2,3) ** ‡",0,141,
128,JV Note Holdco LLC (DSI Renal Inc.) **,9303,0,
129,"Pelican Energy, LLC, Net Profits Interest ** ‡",0,257,
130,"Penton Business Media Holdings, LLC **",124,17050,
131,"RC Coinvestment, LLC (Ranpak Corp.) **",50000,5923,
132,"Sorenson Communications Holdings, LLC Class A **",454828,1700,
133,Univar Inc. **,900000,9600,
134,"Varietal Distribution Holdings, LLC Class A **",28028,0,
135,Total Common Equity/Interests,55498,,
136,INVESTMENTS IN NON-CONTROLLED/ NON-AFFILIATED  INVESTMENTS0140.3,Warrants,Fair  Value (1),
137,Warrants00.6,,,
138,"CA Holding, Inc. (Collect America, Ltd.), Common ** ‡",7961,0,
139,"Energy & Exploration Partners, Inc., Common **",48077,2232,
140,"Fidji Luxco (BC) S.C.A., Common (FCI) (2) ** ‡",24862,5859,
141,"Gryphon Colleges Corporation (Delta Educational Systems, Inc.), Common **",9820,0,
142,"Gryphon Colleges Corporation (Delta Educational Systems, Inc.), Class A-1 Preferred **",45947,0,
143,"Gryphon Colleges Corporation (Delta Educational Systems, Inc.), Class B-1 Preferred **",104314,0,
144,"Osage Exploration & Development, Inc., Common ** ‡",1496843,1242,
145,"Spotted Hawk Development LLC, Common ** ‡",54545,1767,
146,Total Warrants,4942,,
147,TOTAL EQUITY,60440,,
148,Total Investments in Non-Controlled/ Non-Affiliated Investments,2634689,,
