,Industry,Company,Investment_Type,Interest_Rate,Maturity_Date,Par_Shares,Cost,Fair_Value,,
35,"Truck-Lite Co., LLC","Truck-Lite Co., LLC",First Lien Secured Debt - Revolver,"7.25 (3M L+625, 1.00 Floor)",12/13/24,218,218,217,(9)(23),
36,"Truck-Lite Co., LLC","Truck-Lite Co., LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,12/13/24,2729,(49),(8),(8)(9)  (21)(23),
37,"Truck-Lite Co., LLC","Truck-Lite Co., LLC",First Lien Secured Debt - Letters of Credit,6.25,12/01/21 - 12/21/21,105,0,0,(9)(23),
42,"Merx Aviation Finance, LLC","Merx Aviation Finance, LLC (5)",First Lien Secured Debt - Revolver,10.00,10/31/23,190500,190500,190500,(23),
43,"Merx Aviation Finance, LLC","Merx Aviation Finance, LLC (5)",First Lien Secured Debt - Letter of Credit,2.25,07/13/21,177,0,0,(23),
44,"Merx Aviation Finance, LLC","Merx Aviation Finance, LLC (5)",Common Equity - Membership Interests,N/A,N/A,N/A,120300,123841,(25),
47,Primeflight,"PrimeFlight Aviation Services, Inc.",First Lien Secured Debt,"7.25 (1M L+625, 1.00 Floor)",05/09/24,17447,17218,17194,(9),
51,Bolthouse Farms,"Wm. Bolthouse Farms, Inc.",Common Equity - Common Stock,N/A,N/A,"1,000,000 Shares",1001,1220,(13),
53,Eagle Foods,"Eagle Foods Family Group, LLC",First Lien Secured Debt,"7.50 (6M L+650, 1.00 Floor)",06/14/24,23292,23152,23292,(9),
54,Eagle Foods,"Eagle Foods Family Group, LLC",First Lien Secured Debt,"7.50 (2M L+650, 1.00 Floor)",06/14/24,83,82,83,(9),
55,Eagle Foods,"Eagle Foods Family Group, LLC",First Lien Secured Debt - Revolver,"7.50 (1M L+650, 1.00 Floor)",06/14/23,333,333,333,(9)(23),
56,Eagle Foods,"Eagle Foods Family Group, LLC",First Lien Secured Debt - Revolver,"7.50 (3M L+650, 1.00 Floor)",06/14/23,1167,1167,1167,(9)(23),
57,Eagle Foods,"Eagle Foods Family Group, LLC",First Lien Secured Debt - Revolver,"7.50 (6M L+650, 1.00 Floor)",06/14/23,583,583,583,(9)(23),
58,Eagle Foods,"Eagle Foods Family Group, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,06/14/23,1667,(16),0,(9)(21)  (23),
61,"Florida Food Products, Inc.","Florida Food Products, Inc.",First Lien Secured Debt,"7.50 (3M L+650, 1.00 Floor)",09/08/25,22647,22307,22534,(9),
62,"Florida Food Products, Inc.","Florida Food Products, Inc.",First Lien Secured Debt,"8.25 (3M L+725, 1.00 Floor)",09/08/25,2970,2798,2970,(9),
63,"Florida Food Products, Inc.","Florida Food Products, LLC",First Lien Secured Debt - Revolver,"7.50 (3M L+650, 1.00 Floor)",09/06/23,342,343,341,(9)(23),
64,"Florida Food Products, Inc.","Florida Food Products, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,09/06/23,1370,(19),(7),(8)(9)  (21)(23),
67,"Orgain, Inc.","Butterfly Fighter Co-Invest, L.P.",Common Equity - Membership Interests,N/A,N/A,"1,000,000 Shares",1005,1190,(13),
69,TNT Crust LLC,TNT Crust LLC,First Lien Secured Debt,"7.75 (3M L+675, 1.00 Floor)",11/06/23,21609,21287,21231,(9),
70,TNT Crust LLC,TNT Crust LLC,First Lien Secured Debt - Revolver,"7.75 (6M L+675, 1.00 Floor)",11/06/23,650,650,639,(9)(23),
71,TNT Crust LLC,TNT Crust LLC,First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,11/06/23,2602,(33),(46),(8)(9)  (21)(23),
72,TNT Crust LLC,TNT Crust LLC,Common Equity - Series A Units,N/A,N/A,244 Shares,30,247,(9)(13),
75,Turkey Hill,IC Holdings LLC,Common Equity - Series A Units,N/A,N/A,169 Shares,169,342,(9)(13),
76,Turkey Hill,THLP CO. LLC,First Lien Secured Debt,"7.00 (1M L+600, 1.00 Floor)",05/30/25,25152,24810,24774,(9),
77,Turkey Hill,THLP CO. LLC,First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,05/31/24,4494,(52),(67),(8)(9)  (21)(23),
82,Access Information,"Access CIG, LLC",Second Lien Secured Debt,7.84 (1M L+775),02/27/26,15900,15811,15724,,
84,Ambrosia Buyer Corp.,Ambrosia Buyer Corp.,Second Lien Secured Debt,9.00,08/28/25,21429,20059,9270,(14),
86,AML Rightsource,"Gabriel Partners, LLC",First Lien Secured Debt,"7.25 (3M L+625, 1.00 Floor)",09/21/26,15040,14739,14739,(9),
87,AML Rightsource,"Gabriel Partners, LLC",First Lien Secured Debt,"7.25 (6M L+625, 1.00 Floor)",09/21/26,10150,9931,9947,(9),
88,AML Rightsource,"Gabriel Partners, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,09/21/26,665,(14),(13),(8)(9)  (21)(23),
91,Claritas,"Claritas, LLC",First Lien Secured Debt,"6.75 (3M L+575, 1.00 Floor)",12/21/23,3721,3702,3684,(9),
92,Claritas,"Claritas, LLC",First Lien Secured Debt - Revolver,"6.75 (1M L+575, 1.00 Floor)",12/21/23,52,52,51,(9)(23),
93,Claritas,"Claritas, LLC",First Lien Secured Debt - Revolver,"6.75 (3M L+575, 1.00 Floor)",12/21/23,77,77,77,(9)(23),
94,Claritas,"Claritas, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,12/21/23,902,(5),(9),(8)(9)  (21)(23),
97,Continuum,"Continuum Global Solutions, LLC",First Lien Secured Debt - Revolver,"6.50 (1M L+550, 1.00 Floor)",02/15/22,2762,2762,2714,(9)(23),
98,Continuum,"Continuum Global Solutions, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,02/15/22,17238,(102),(302),(8)(9)  (21)(23),
99,Continuum,"Continuum Global Solutions, LLC",Preferred Equity - Preferred Equity,N/A,N/A,775 Shares,78,78,(9)(13),
102,Education Personnel,Arthur Bidco Limited,First Lien Secured Debt,"6.00 (1M GBPL+550, 0.50 Floor)",08/31/24,4035,5168,5488,(9)(17),
103,Education Personnel,Arthur Bidco Limited,First Lien Secured Debt - Revolver,"6.00 (1M GBPL+550, 0.50 Floor)",08/31/24,1471,1884,2000,(9)(17)  (23),
106,Electro Rent Corporation,Electro Rent Corporation,Second Lien Secured Debt,"10.00 (3M L+900, 1.00 Floor)",01/31/25,34235,33704,33893,(9),
108,Elo Touch,TGG TS Acquisition Company,First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,12/14/23,1750,0,(35),(8)(21)  (23),
110,Ensemble Health,"EHL Merger Sub, LLC",First Lien Secured Debt - Unfunded Revolver,0.25 Unfunded,08/01/24,4155,(235),(139),(8)(21)  (23),
112,Jacent,Jacent Strategic Merchandising,First Lien Secured Debt,"6.75 (3M L+575, 1.00 Floor)",04/23/24,22256,22068,21889,(9),
113,Jacent,Jacent Strategic Merchandising,First Lien Secured Debt - Revolver,"6.75 (3M L+575, 1.00 Floor)",04/23/24,2567,2567,2524,(9)(23),
114,Jacent,Jacent Strategic Merchandising,First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,04/23/24,933,(30),(15),(8)(9)  (21)(23),
115,Jacent,Jacent Strategic Merchandising,Common Equity - Common Stock,N/A,N/A,"5,000 Shares",500,250,(9)(13),
116,Jacent,"JSM Equity Investors, L.P.",Preferred Equity - Class P Partnership Units,N/A,N/A,114 Shares,11,11,(9)(13),
119,Jones & Frank,"JF Acquisition, LLC",First Lien Secured Debt,"6.50 (6M L+550, 1.00 Floor)",07/31/24,5272,5206,5209,(9),
120,Jones & Frank,"JF Acquisition, LLC",First Lien Secured Debt,"6.50 (12M L+550, 1.00 Floor)",07/31/24,7867,7770,7773,(9),
121,Jones & Frank,"JF Acquisition, LLC",First Lien Secured Debt,"6.50 (3M L+550, 1.00 Floor)",07/31/24,149,147,147,(9),
122,Jones & Frank,"JF Acquisition, LLC",First Lien Secured Debt - Revolver,"6.50 (12M L+550, 1.00 Floor)",07/31/24,942,942,930,(9)(23),
123,Jones & Frank,"JF Acquisition, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,07/31/24,628,(19),(7),(8)(9)  (21)(23),
126,MAKS,Trident Bidco Limited,First Lien Secured Debt,"6.50 (6M L+550, 1.00 Floor)",11/08/25,34125,33379,33842,(9)(17),
128,McLarens,Margaux Acquisition Inc.,First Lien Secured Debt,"6.50 (3M L+550, 1.00 Floor)",12/19/24,22995,22728,22857,(9),
129,McLarens,Margaux Acquisition Inc.,First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,12/19/24,1601,(19),(10),(8)(9)  (21)(23),
130,McLarens,Margaux UK Finance Limited,First Lien Secured Debt,"6.50 (3M GBPL+550, 1.00 Floor)",12/19/24,7164,8951,9836,(9)(17),
131,McLarens,Margaux UK Finance Limited,First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,12/19/24,541,(8),(5),(8)(9)  (17)(21)  (23),
134,Naviga,"Naviga Inc. (fka Newscycle Solutions, Inc.)",First Lien Secured Debt,"8.00 (3M L+700, 1.00 Floor)",12/29/22,12274,12150,12152,(9),
135,Naviga,"Naviga Inc. (fka Newscycle Solutions, Inc.)",First Lien Secured Debt - Revolver,"8.00 (1M L+700, 1.00 Floor)",12/29/22,280,280,277,(9)(23),
136,Naviga,"Naviga Inc. (fka Newscycle Solutions, Inc.)",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,12/29/22,220,(4),(2),(8)(9)  (21)(23),
139,"PSI Services, LLC","Lifelong Learner Holdings, LLC",First Lien Secured Debt,"6.75 (3M L+575, 1.00 Floor)",10/19/26,32453,31948,31042,(9),
140,"PSI Services, LLC","Lifelong Learner Holdings, LLC",First Lien Secured Debt - Revolver,"6.75 (3M L+575, 1.00 Floor)",10/20/25,2054,2054,1978,(9)(23),
141,"PSI Services, LLC","Lifelong Learner Holdings, LLC",First Lien Secured Debt - Revolver,"6.75 (2M L+575, 1.00 Floor)",10/20/25,179,179,173,(9)(23),
142,"PSI Services, LLC","Lifelong Learner Holdings, LLC",First Lien Secured Debt - Revolver,"6.75 (6M L+575, 1.00 Floor)",10/20/25,269,269,259,(9)(23),
143,"PSI Services, LLC","Lifelong Learner Holdings, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,10/20/25,484,(43),(18),(8)(9)  (21)(23),
144,"PSI Services, LLC","Lifelong Learner Holdings, LLC",First Lien Secured Debt - Unfunded Delayed Draw,1.00 Unfunded,10/19/26,2388,(18),(104),(8)(9)  (21)(23),
147,Soliant,"Soliant Health, Inc.",Common Equity - Membership Interests,N/A,N/A,300 Shares,300,528,(9),
149,"Transplace Holdings, Inc.","Transplace Holdings, Inc.",Second Lien Secured Debt,"9.75 (3M L+875, 1.00 Floor)",10/06/25,8599,8483,8556,,
151,US Legal Support,"US Legal Support Investment Holdings, LLC",Common Equity - Series A-1 Units,N/A,N/A,"631,972 Shares",632,720,(9)(13),
152,US Legal Support,"USLS Acquisition, Inc.",First Lien Secured Debt,"6.75 (3M L+575, 1.00 Floor)",12/02/24,24189,23907,23182,(9),
153,US Legal Support,"USLS Acquisition, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,12/02/24,1508,(18),(65),(8)(9)  (21)(23),
154,US Legal Support,"USLS Acquisition, Inc.",First Lien Secured Debt - Letters of Credit,5.75,10/15/21 - 06/06/22,101,0,(4),(8)(9)  (23),
159,Carbonfree Chemicals SPE I LLC (f/k/a Maxus Capital Carbon SPE I LLC),Carbonfree Chemicals Holdings LLC (4),Common Equity - Common Equity / Interest,N/A,N/A,"2,354 Shares",46295,36162,(13)(16)  (25),
160,Carbonfree Chemicals SPE I LLC (f/k/a Maxus Capital Carbon SPE I LLC),Carbonfree Chemicals SA LLC (4),Common Equity - Class B Units,N/A,N/A,"3,152 Shares",32434,0,(3)(13)  (16)(25),
163,Niacet Corporation,"Hare Bidco, Inc.",Second Lien Secured Debt,"9.75 (1M E+875, 1.00 Floor)",08/01/24,11351,12174,13427,,
165,"Westfall Technik, Inc.","Westfall Technik, Inc.",First Lien Secured Debt,"6.75 (1M L+575, 1.00 Floor)",09/13/24,15737,15561,15422,(9),
166,"Westfall Technik, Inc.","Westfall Technik, Inc.",First Lien Secured Debt - Revolver,"6.75 (1M L+575, 1.00 Floor)",09/13/24,1750,1750,1715,(9)(23),
167,"Westfall Technik, Inc.","Westfall Technik, Inc.",First Lien Secured Debt - Revolver,8.00 (P+475),09/13/24,135,135,132,(9)(23),
168,"Westfall Technik, Inc.","Westfall Technik, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,09/13/24,135,(22),(3),(8)(9)  (21)(23),
173,Englert,"Gutter Buyer, Inc.",First Lien Secured Debt,"7.25 (1M L+625, 1.00 Floor)",03/06/25,28612,28242,28283,(9),
174,Englert,"Gutter Buyer, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,03/06/24,2688,(37),(28),(8)(9)  (21)(23),
175,Englert,"Gutter Buyer, Inc.",First Lien Secured Debt - Letter of Credit,6.25,07/01/21,39,0,0,(9)(23),
176,Englert,"Gutter Holdings, LP",Common Equity - Common Stock,N/A,N/A,500 Shares,500,1346,(9)(13),
180,A&V,"A&V Holdings Midco, LLC",First Lien Secured Debt,"6.38 (3M L+538, 1.00 Floor)",03/10/27,10711,10387,10718,(10),
181,A&V,"A&V Holdings Midco, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,03/10/25,1505,(100),(60),(8)(21)  (23),
184,KDC,KDC US Holdings,First Lien Secured Debt - Revolver,3.35 (1M L+325),12/21/23,3535,3536,3483,(23),
185,KDC,KDC US Holdings,First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,12/21/23,2444,0,(36),(8)(21)  (23),
186,KDC,KDC US Holdings,First Lien Secured Debt - Letters of Credit,3.25,11/06/21 - 03/16/22,36,0,0,(23),
187,KDC,KDC US Holdings,First Lien Secured Debt - Letter of Credit,3.25,02/05/23,4,0,0,(23),
190,"KLO Holdings, LLC",1244311 B.C. Ltd. (4),First Lien Secured Debt,"6.00 (3M L+500, 1.00 Floor)",09/25/25,2985,2985,2832,(17),
191,"KLO Holdings, LLC",1244311 B.C. Ltd. (4),First Lien Secured Debt,"6.00 (3M L+500 PIK, 1.00 Floor)",09/25/25,1031,1031,972,(17),
192,"KLO Holdings, LLC",1244311 B.C. Ltd. (4),Common Equity - Common Stock,N/A,N/A,"1,000,032 Shares",1000,1551,(2)(13)  (17)(25),
193,"KLO Holdings, LLC",9357-5991 Quebec Inc. (4),First Lien Secured Debt,"11.25 (3M L+775 Cash plus 2.00 PIK, 1.50 Floor)",04/07/22,4059,0,0,(14),
196,Liqui-Box,"Liqui-Box Holdings, Inc.",First Lien Secured Debt - Revolver,6.75 (P+350),02/26/25,973,973,973,(23),
197,Liqui-Box,"Liqui-Box Holdings, Inc.",First Lien Secured Debt - Revolver,"5.50 (3M L+450, 1.00 Floor)",02/26/25,2136,2136,2136,(23),
198,Liqui-Box,"Liqui-Box Holdings, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,02/26/25,373,(26),0,(21)(23),
199,Liqui-Box,"Liqui-Box Holdings, Inc.",First Lien Secured Debt - Letter of Credit,4.50,06/30/22,47,0,0,(23),
200,Liqui-Box,"Liqui-Box Holdings, Inc.",First Lien Secured Debt - Letters of Credit,4.50,09/27/21 - 12/31/24,32,0,0,(23),
203,NSi Industries,"Wildcat BuyerCo, Inc.",First Lien Secured Debt,"6.00 (3M L+500, 1.00 Floor)",02/27/26,7156,6818,7099,,
204,NSi Industries,"Wildcat BuyerCo, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,02/27/26,717,(13),(6),(8)(21)  (23),
205,NSi Industries,"Wildcat BuyerCo, Inc.",First Lien Secured Debt - Unfunded Delayed Draw,1.00 Unfunded,02/27/26,2029,(28),(16),(8)(21)  (23),
206,NSi Industries,"Wildcat BuyerCo, Inc.",First Lien Secured Debt - Letter of Credit,5.00,08/30/21,8,0,0,(23),
207,NSi Industries,Wildcat Parent LP,Common Equity - Common Stock,N/A,N/A,"1,070 Shares",107,154,(13),
210,"Sorenson Holdings, LLC","Sorenson Holdings, LLC",Common Equity - Membership Interests,N/A,N/A,587 Shares,0,455,(10)(13),
214,3D Protein,"Protein For Pets Opco, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,05/31/24,2219,(34),0,(9)(21)  (23),
216,Beauty Industry Group (BIG),"BIG Buyer, LLC",First Lien Secured Debt,"7.50 (6M L+650, 1.00 Floor)",11/20/23,30401,29969,30169,(9),
217,Beauty Industry Group (BIG),"BIG Buyer, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,11/20/23,1806,(26),(14),(8)(9)  (21)(23),
218,Beauty Industry Group (BIG),"BIG Buyer, LLC",First Lien Secured Debt - Unfunded Delayed Draw,1.00 Unfunded,11/20/23,1000,(7),(8),(8)(9)  (21)(23),
221,Dan Dee,"Project Comfort Buyer, Inc.",First Lien Secured Debt,"8.00 (3M L+700, 1.00 Floor)",02/01/25,25937,25483,24878,(9),
222,Dan Dee,"Project Comfort Buyer, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,02/01/24,3462,(54),(150),(8)(9)  (21)(23),
223,Dan Dee,"Project Comfort Buyer, Inc.",Preferred Equity - Preferred Equity,N/A,N/A,"461,538 Shares",462,245,(9)(13),
226,LashCo,"Lash OpCo, LLC",First Lien Secured Debt,9.25 (P+600),03/18/26,10197,9974,10185,(9),
227,LashCo,"Lash OpCo, LLC",First Lien Secured Debt - Revolver,"8.00 (6M L+700, 1.00 Floor)",09/18/25,74,74,74,(9)(23),
228,LashCo,"Lash OpCo, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,09/18/25,623,(15),(2),(8)(9)  (21)(23),
231,Olaplex,"Olaplex, Inc.",First Lien Secured Debt,"7.50 (1M L+650, 1.00 Floor)",01/08/26,12221,12036,12253,(9),
232,Olaplex,"Olaplex, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,01/08/25,2300,(32),0,(9)(21)  (23),
235,"Sequential Brands Group, Inc.","Sequential Brands Group, Inc.",Second Lien Secured Debt,"9.75 (1M L+875, 1.00 Floor)",02/07/24,12658,12603,10386,(17),
239,Activ,"Activ Software Holdings, LLC",First Lien Secured Debt,"7.25 (6M L+625, 1.00 Floor)",05/04/27,30093,29507,29491,(9),
240,Activ,"Activ Software Holdings, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,05/04/27,2407,(47),(48),(8)(9)  (21)(23),
243,Bird,"Bird US Opco, LLC",First Lien Secured Debt,"10.00 (1M L+900, 1.00 Floor)",04/27/24,4960,4908,4886,(9),
244,Bird,"Bird US Opco, LLC",First Lien Secured Debt - Unfunded Delayed Draw,0.00 Unfunded,04/27/24,14600,(220),(219),(8)(9)  (21)(23),
247,Clarus Commerce,"Marlin DTC-LS Midco 2, LLC",First Lien Secured Debt,"7.50 (1M L+650, 1.00 Floor)",07/01/25,9129,9022,9066,,
248,Clarus Commerce,"Marlin DTC-LS Midco 2, LLC",First Lien Secured Debt,"7.50 (3M L+650, 1.00 Floor)",07/01/25,9950,9766,9881,,
249,Clarus Commerce,"Marlin DTC-LS Midco 2, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,07/01/25,685,(8),(5),(8)(21)  (23),
252,First Heritage,"First Heritage Credit, LLC",First Lien Secured Debt,4.84 (1M L+475),04/02/22,18000,17958,17912,(9),
253,First Heritage,"First Heritage Credit, LLC",First Lien Secured Debt - Revolver,5.59 (1M L+550),04/02/22,509,509,507,(9)(23),
254,First Heritage,"First Heritage Credit, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,04/02/22,3241,(9),(15),(8)(9)  (21)(23),
255,First Heritage,"First Heritage Credit, LLC",First Lien Secured Debt - Unfunded Delayed Draw,0.50 Unfunded,04/02/22,8250,(24),(40),(8)(9)  (21)(23),
258,Go Car Wash,Go Car Wash Management Corp.,First Lien Secured Debt,"7.00 (1M L+600, 1.00 Floor)",12/31/26,885,869,871,(9),
259,Go Car Wash,Go Car Wash Management Corp.,First Lien Secured Debt,"5.75 (1M L+475, 1.00 Floor)",12/31/26,4574,4509,4502,(9),
260,Go Car Wash,Go Car Wash Management Corp.,First Lien Secured Debt - Revolver,"7.00 (1M L+600, 1.00 Floor)",12/31/26,125,125,123,(9)(23),
261,Go Car Wash,Go Car Wash Management Corp.,First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,12/31/26,292,(3),(5),(8)(9)  (21)(23),
262,Go Car Wash,Go Car Wash Management Corp.,First Lien Secured Debt - Unfunded Delayed Draw,0.50 Unfunded,12/31/26,2577,(22),(40),(8)(9)  (21)(23),
265,Lending Point,LendingPoint LLC,First Lien Secured Debt,"11.50 (3M L+1050, 1.00 Floor)",12/30/25,11375,11273,11286,(9),
266,Lending Point,LendingPoint LLC,First Lien Secured Debt - Revolver,"6.75 (3M L+575, 1.00 Floor)",12/30/25,1000,991,992,(9)(23),
267,Lending Point,LendingPoint LLC,First Lien Secured Debt - Unfunded Delayed Draw,1.00 Unfunded,12/30/25,6125,(55),(48),(8)(9)  (21)(23),
270,Only About Children,Nemo (BC) Bidco Pty Ltd,First Lien Secured Debt,"7.75 (3M BBSW+675, 1.00 Floor)",04/06/24,A$,6768,4942,4929,(17)
271,Only About Children,Nemo (BC) Bidco Pty Ltd,First Lien Secured Debt - Unfunded Delayed Draw,3.04 Unfunded,04/06/24,A$,232,(5),(5),(8)(17)  (21)(23)
274,Paper Source,PaperShop HoldCo Inc.,First Lien Secured Debt,"8.00 (3M L+700, 1.00 Floor)",05/27/26,10607,10503,10501,(9),
275,Paper Source,PaperShop HoldCo Inc.,First Lien Secured Debt - Revolver,"8.00 (3M L+700, 1.00 Floor)",05/27/26,1175,1175,1163,(9)(23),
276,Paper Source,PaperShop HoldCo Inc.,First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,05/27/26,1907,(31),(19),(8)(9)  (21)(23),
279,"Pinstripe Holdings, LLC","Pinstripe Holdings, LLC",First Lien Secured Debt,"7.00 (3M L+600, 1.00 Floor)",01/17/25,6808,6727,6752,,
281,The Club Company,Eldrickco Limited,First Lien Secured Debt,"6.75 (6M GBPL+625, 0.50 Floor)",11/21/25,11148,14059,14830,(9)(17),
282,The Club Company,Eldrickco Limited,First Lien Secured Debt - Revolver,"6.75 (6M GBPL+625, 0.50 Floor)",05/21/25,356,411,476,(9)(17)  (23),
283,The Club Company,Eldrickco Limited,First Lien Secured Debt - Unfunded Delayed Draw,1.93 Unfunded,11/21/25,3934,(80),(168),(8)(9)  (17)(21)  (23),
286,US Auto,"U.S. Auto Finance, Inc.",First Lien Secured Debt,"6.25 (3M L+525, 1.00 Floor)",04/17/24,11778,11817,11759,(9),
287,US Auto,"U.S. Auto Finance, Inc.",First Lien Secured Debt - Revolver,"7.00 (3M L+600, 1.00 Floor)",04/17/24,4122,4122,4115,(9)(23),
288,US Auto,"U.S. Auto Finance, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,04/17/24,9212,(28),(15),(8)(9)  (21)(23),
289,US Auto,"U.S. Auto Finance, Inc.",First Lien Secured Debt - Unfunded Delayed Draw,0.50 Unfunded,04/17/24,8222,(16),0,(9)(21)  (23),
294,Celink,Compu-Link Corporation,First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,06/11/24,2273,(30),(20),(8)(9)  (21)(23),
295,Celink,"Peer Advisors, LLC",First Lien Secured Debt,"6.50 (1M L+550, 1.00 Floor)",06/11/24,17670,17435,17511,(9),
298,"Flock Financial, LLC","Flock SPV I, LLC",First Lien Secured Debt,"7.50 (1M L+650, 1.00 Floor)",12/31/22,12000,11972,11920,(9)(17),
299,"Flock Financial, LLC","Flock SPV I, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,12/31/22,5333,(4),(36),(8)(9)  (17)(21)  (23),
300,"Flock Financial, LLC","Flock SPV I, LLC",First Lien Secured Debt - Unfunded Delayed Draw,0.50 Unfunded,12/31/22,2667,(31),(18),(8)(9)  (17)(21)  (23),
303,Golden Bear,"Golden Bear 2016-R, LLC (4)",Structured Products and Other - Membership Interests,N/A,09/20/42,N/A,16812,11676,(3)(17),
305,"Purchasing Power, LLC","Purchasing Power Funding I, LLC",First Lien Secured Debt - Revolver,"7.50 (1M L+650, 1.00 Floor)",01/24/24,425,425,425,(9)(23),
