,new_Industry,INVESTMENTS IN NON-CONTROLLED/NON-AFFILIATED INVESTMENTS0120.3(10),Interest Rate (20),Maturity Date,Industry (9),Par Amount(12),Cost,Fair  Value (1),
19,,"UniTek Global Services Inc., (Unfunded Revolver) (16)(21)",0.500 Unfunded,1/13/19,Telecommunications,5000,0,0,
21,"APOLLO INVESTMENT CORPORATION  SCHEDULE OF INVESTMENTS (unaudited) (continued)  September 30, 2015  (in thousands, except share data)","APOLLO INVESTMENT CORPORATION  SCHEDULE OF INVESTMENTS (unaudited) (continued)  September 30, 2015  (in thousands, except share data)",,,,,,,
22,Letters of Credit0-0.0,Letters of Credit0-0.0,,,,,,,
23,,"Confie Seguros Holding II Co., Letter of Credit (8)(16)(23)",4.500,6/29/16,Insurance,500,0,(53,
24,,"Confie Seguros Holding II Co., Letter of Credit (8)(16)(23)",4.500,1/13/16,Insurance,336,0,(35,
25,,"Transfirst Holdings, Inc., Letter of Credit (8)(16)(23)",3.750,11/12/19,"Diversified Investment Vehicles, Banking, Finance, Real Estate",57,0,(2,
26,,"UniTek Global Services Inc., Letter of Credit (16)(23)",7.500,1/13/19,Telecommunications,15711,0,0,
27,,"UniTek Global Services Inc., Letter of Credit (16)(23)",7.500,1/13/19,Telecommunications,1850,0,0,
30,2nd Lien Secured Debt051.6,2nd Lien Secured Debt051.6,,,,,,,
31,,"Access CIG, LLC","9.750  (3M L+875, 1.00 Floor)",10/17/22,Business Services,35755,34096,34861,
32,,"Active Network, Inc.","9.500  (3M L+850, 1.00 Floor)",11/15/21,Business Services,19672,19591,18615,
33,,American Energy - Woodford LLC/AEW Finance Corp (11),12.000,12/30/20,Energy – Oil & Gas,3500,2409,1199,
34,,"Appriss Holdings, Inc.","9.250  (3M L+825, 1.00 Floor)",5/21/21,Business Services,32750,32299,32750,
35,,"Armor Holdings, Inc. (American Stock Transfer and Trust Company)","10.250  (3M L+900, 1.25 Floor)",12/26/20,"Diversified Investment Vehicles, Banking, Finance, Real Estate",8000,7876,7930,
36,,Asurion Corporation,"8.500  (3M L+750, 1.00 Floor)",3/3/21,Insurance,67590,67301,61507,
37,,"1A Smart Start, LLC","9.500  (3M L+850, 1.00 Floor)",8/19/22,Consumer Services,35000,34308,34300,
38,,Confie Seguros Holding II Co.,"10.250  (3M L+900, 1.25 Floor)",5/8/19,Insurance,22344,22236,22288,
39,,"Delta Educational Systems, Inc.",35.000 PIK,6/10/18,Education,1083,1083,1603,
40,,"Deltek, Inc.","9.500  (3M L+850, 1.00 Floor)",6/26/23,Business Services,33736,33243,33841,
41,,"Elements Behavioral Health, Inc.","11.750  (3M L+875 Cash / 2.000 PIK, 1.00 Floor)",2/11/20,Healthcare & Pharmaceuticals,9500,9426,9443,
42,,"Extraction Oil & Gas Holdings, LLC",11.000 & 10.000,5/29/19,Energy – Oil & Gas,52633,52000,52264,
43,,Garden Fresh Restaurant Corp. (16),"7.750  (3M L+625 PIK, 1.50 Floor)",1/1/19,"Hotel, Gaming, Leisure, Restaurants",8585,7034,6267,
44,,Garden Fresh Restaurant Corp. (16),"15.000  (12M L+1350 PIK, 1.50 Floor)",1/1/19,"Hotel, Gaming, Leisure, Restaurants",43037,41367,38303,
45,"APOLLO INVESTMENT CORPORATION  SCHEDULE OF INVESTMENTS (unaudited) (continued)  September 30, 2015  (in thousands, except share data)","APOLLO INVESTMENT CORPORATION  SCHEDULE OF INVESTMENTS (unaudited) (continued)  September 30, 2015  (in thousands, except share data)",,,,,,,
46,2nd Lien Secured Debt051.6 (continued),2nd Lien Secured Debt051.6 (continued),,,,,,,
47,,"GCA Services Group, Inc.","9.250  (3M L+800, 1.25 Floor)",11/2/20,Business Services,19333,19464,19333,
48,,"Grocery Outlet, Inc.","9.250  (3M L+825, 1.00 Floor)",10/21/22,Food & Grocery,28000,27614,27930,
49,,"GTCR Valor Companies, Inc.","9.500  (3M L+850, 1.00 Floor)",11/30/21,Business Services,35000,34685,34475,
50,,"Infiltrator Systems Integrated, LLC","9.750  (3M L+875, 1.00 Floor)",5/26/23,"Manufacturing, Capital Equipment",13889,13619,13819,
51,,"Institutional Shareholder Services, Inc.","8.500  (3M L+750, 1.00 Floor)",4/30/22,Business Services,6640,6582,6408,
52,,"Kronos, Inc.","9.750  (3M L+850, 1.25 Floor)",4/30/20,Business Services,4525,4502,4621,
53,,"MediaOcean, LLC","9.500  (3M L+850, 1.00 Floor)",8/15/23,Business Services,18000,17468,18000,
54,,"Miller Energy Resources, Inc. (17)(14)","14.750 (3M L+1075 Cash / 2.000 PIK, 2.000 Floor)",2/3/18,Energy – Oil & Gas,88568,88568,62978,
55,,MSC Software Corp. (17),"8.500  (3M L+750, 1.00 Floor)",5/31/21,High Tech Industries,13448,13333,13078,
56,,"Novolex Holdings, Inc.","9.750  (3M L+875, 1.00 Floor)",6/5/22,"Containers, Packaging & Glass",42045,41065,41782,
57,,Pabst Brewing Company,"9.250  (3M L+825, 1.00 Floor)",11/14/22,Consumer Goods – Durable,27000,26687,26663,
58,,"Premier Trailer Leasing, Inc.","10.000  (3M L+900, 1.00 Floor)",9/24/20,"Transportation – Cargo, Distribution",52000,51098,53040,
59,,River Cree Enterprises LP (11)(17),11.000,1/20/21,"Hotel, Gaming, Leisure, Restaurants",C$,23000,21683,17198
60,,"SiTV, Inc. (11)",10.375,7/1/19,Broadcasting & Subscription,2219,2219,1642,
61,,SMG,"9.250  (3M L+825, 1.00 Floor)",2/27/21,"Hotel, Gaming, Leisure, Restaurants",19900,19900,20000,
62,,"Sprint Industrial Holdings, LLC","11.250  (3M L+1000, 1.25 Floor)",11/14/19,"Containers, Packaging & Glass",16163,15431,12688,
63,,"SquareTwo Financial Corp. (Collect America, Ltd.) (17)",11.625,4/1/17,"Diversified Investment Vehicles, Banking, Finance, Real Estate",65152,64516,40720,
64,,"STG-Fairway Acquisitions, Inc.","10.250  (3M L+925, 1.00 Floor)",6/26/23,Business Services,15000,14633,14700,
65,,"TASC, Inc.",12.000,5/21/21,Aerospace & Defense,21815,21072,22197,
66,,"TMK Hawk Parent, Corp.","8.500  (3M L+750, 1.00 Floor)",10/1/22,"Transportation – Cargo, Distribution",34000,33692,34170,
67,"APOLLO INVESTMENT CORPORATION  SCHEDULE OF INVESTMENTS (unaudited) (continued)  September 30, 2015  (in thousands, except share data)","APOLLO INVESTMENT CORPORATION  SCHEDULE OF INVESTMENTS (unaudited) (continued)  September 30, 2015  (in thousands, except share data)",,,,,,,
68,2nd Lien Secured Debt051.6 (continued),2nd Lien Secured Debt051.6 (continued),,,,,,,
69,,"Transfirst Holdings, Inc.","9.000  (3M L+800, 1.00 Floor)",11/11/22,"Diversified Investment Vehicles, Banking, Finance, Real Estate",21840,21674,21663,
70,,"Velocity Technology Solutions, Inc.","9.000  (3M L+775, 1.25 Floor)",9/28/20,Business Services,16500,16230,16005,
71,,"Venoco, Inc.",8.875 Cash (12.000 PIK Toggle),2/28/19,Energy – Oil & Gas,35843,46020,28029,
72,,"Vertafore, Inc.","9.750  (3M L+825, 1.50 Floor)",10/27/17,Business Services,36436,36320,36755,
75,UNSECURED DEBT016.2,UNSECURED DEBT016.2,,,,,,,
76,,"Aerojet Rocketdyne Holdings, Inc. (formerly GenCorp, Inc.) (17)","9.500  (3M L+850, 1.00 Floor)",4/18/22,Aerospace & Defense,10500,10500,10500,
77,,"American Tire Distributors, Inc. (11)",10.250,3/1/22,"Transportation – Cargo, Distribution",24281,24281,24888,
78,,Canacol Energy Ltd. (17)(23),"9.500  (3M L+850, 1.00 Floor)",12/31/19,Energy – Oil & Gas,75000,73256,71813,
79,,"Delta Educational Systems, Inc.",16.000 PIK,5/12/17,Education,26128,25935,20314,
80,,"My Alarm Center, LLC",16.250 (13.000 Cash / 3.250 PIK),7/9/18,Business Services,4320,4320,4320,
81,,"Radio One, Inc. (11)",9.250,2/15/20,Broadcasting & Subscription,15804,15717,13611,
82,,"Sorenson Holdings, LLC (11)",13.000 Cash (13.000 PIK Toggle),10/31/21,Consumer Goods – Durable,68,45,68,
83,,Tibco Software Inc. (11),11.375,12/1/21,High Tech Industries,6984,6798,7001,
84,,"U.S. Security Associates Holdings, Inc.",11.000,7/28/18,Business Services,135000,135000,136350,
85,,UniTek Global Services Inc.,15.000 PIK,7/13/19,Telecommunications,6814,6814,6814,
88,STRUCTURED PRODUCTS AND OTHER010.7,STRUCTURED PRODUCTS AND OTHER010.7,,,,,,,
89,,Asset Repackaging Trust Six B.V. (11)(17)(19),13.945,5/18/27,Utilities – Electric,58411,25139,33294,
90,,"Craft 2013-1, Credit-Linked Note (11)(16)(17)",9.524  (3M L+925),4/17/22,"Diversified Investment Vehicles, Banking, Finance, Real Estate",25000,25071,24259,
91,,"Craft 2013-1, Credit-Linked Note (16)(17)",9.524  (3M L+925),4/17/22,"Diversified Investment Vehicles, Banking, Finance, Real Estate",7625,7736,7402,
92,,"Craft 2014-1A, Credit-Linked Note (11)(17)",9.924  (3M L+965),5/15/21,"Diversified Investment Vehicles, Banking, Finance, Real Estate",42500,42443,41516,
93,"APOLLO INVESTMENT CORPORATION  SCHEDULE OF INVESTMENTS (unaudited) (continued)  September 30, 2015  (in thousands, except share data)","APOLLO INVESTMENT CORPORATION  SCHEDULE OF INVESTMENTS (unaudited) (continued)  September 30, 2015  (in thousands, except share data)",,,,,,,
94,STRUCTURED PRODUCTS AND OTHER010.7 (continued),STRUCTURED PRODUCTS AND OTHER010.7 (continued),,,,,,,
95,,"Craft 2015-2, Credit-Linked Note (11)(17)",9.589  (3M L+925),1/16/24,"Diversified Investment Vehicles, Banking, Finance, Real Estate",26000,26000,24797,
96,,"Dark Castle Holdings, LLC",35.400,N/A,Media – Diversified & Production,24395,1189,2270,
97,,"JP Morgan Chase & Co., Credit-Linked Note (17)",12.531  (12M L+1225),12/20/21,"Diversified Investment Vehicles, Banking, Finance, Real Estate",43250,41727,42506,
98,,"NXT Capital CLO 2014-1, LLC, Class E Notes (11)(17)",5.777  (3M L+550),4/23/26,"Diversified Investment Vehicles, Banking, Finance, Real Estate",5000,4680,4462,
99,,"Renaissance Umiat, LLC, ACES Tax Receivable (15)(17)",11.240- 12.370,N/A,Energy – Oil & Gas,0,15296,15236,
101,,PREFERRED EQUITY01.6,Shares,,,,,,
102,,"CA Holding, Inc. (Collect America, Ltd.), Series A Preferred Stock (13)(17)",N/A,N/A,"Diversified Investment Vehicles, Banking, Finance, Real Estate",32961,788,0,
103,,"Crowley Holdings, Series A Preferred Stock (11)",12.000 (10.000 Cash / 2.000 PIK),N/A,"Transportation – Cargo, Distribution",22500,23310,23712,
104,,"Gryphon Colleges Corp. (Delta Educational Systems, Inc.), Preferred Stock (Convertible) (13)(14)",12.500 PIK,N/A,Education,332500,6863,0,
105,,"Gryphon Colleges Corp. (Delta Educational Systems, Inc.), Preferred Stock (13)(14)",13.500 PIK,5/12/18,Education,12360,27685,138,
106,,"Varietal Distribution Holdings, LLC, Class A Preferred Unit",8.000 PIK,N/A,"Transportation – Cargo, Distribution",3097,4842,4842,
108,"APOLLO INVESTMENT CORPORATION  SCHEDULE OF INVESTMENTS (unaudited) (continued)  September 30, 2015  (in thousands, except share data)","APOLLO INVESTMENT CORPORATION  SCHEDULE OF INVESTMENTS (unaudited) (continued)  September 30, 2015  (in thousands, except share data)",,,,,,,
109,EQUITY01.2,EQUITY01.2,,,,,,,
110,,Common Equity/Interests01.0,Shares,,,,,,
111,,"ATD Corporation (Accelerate Parent Corp), Common Stock",N/A,N/A,"Transportation – Cargo, Distribution",1664046,1714,2640,
112,,"CA Holding, Inc. (Collect America, Ltd.), Series A Common Stock (13)(17)",N/A,N/A,"Diversified Investment Vehicles, Banking, Finance, Real Estate",25000,2500,0,
113,,"CA Holding, Inc. (Collect America, Ltd.), Series AA Common Stock (13)(17)",N/A,N/A,"Diversified Investment Vehicles, Banking, Finance, Real Estate",4294,429,0,
114,,"Caza Petroleum Inc., Net Profits Interest (13)",N/A,N/A,Energy – Oil & Gas,0,1202,0,
115,,"Caza Petroleum Inc., Overriding Royalty Interest",N/A,N/A,Energy – Oil & Gas,0,339,34,
116,,"Clothesline Holdings, Inc. (Angelica Corporation), Common Stock (13)",N/A,N/A,Healthcare & Pharmaceuticals,6000,6000,1014,
117,,"Explorer Coinvest, LLC (Booz Allen), Common Stock (17)",N/A,N/A,Business Services,192,1468,4675,
118,,"Garden Fresh Restaurant Holdings, LLC., Common Stock (13)",N/A,N/A,"Hotel, Gaming, Leisure, Restaurants",50000,5000,0,
119,,"Gryphon Colleges Corp. (Delta Educational Systems, Inc.), Common Stock (13)",N/A,N/A,Education,17500,175,0,
120,,"Pelican Energy, LLC, Net Profits Interest (13)(17)",N/A,N/A,Energy – Oil & Gas,1098572,1099,0,
121,,"Skyline Data, News and Analytics LLC, Class A Common Unit (13)",N/A,N/A,Business Services,4500,4500,4500,
122,,"Sorenson Holdings, LLC, Membership Interests (13)",N/A,N/A,Consumer Goods – Durable,587,0,103,
123,,"Univar, Inc., Common Stock (13)",N/A,N/A,Wholesale,290015,5755,5264,
124,,"Varietal Distribution Holdings, LLC, Class A Common Unit (13)",N/A,N/A,"Transportation – Cargo, Distribution",28028,28,73,
126,"APOLLO INVESTMENT CORPORATION  SCHEDULE OF INVESTMENTS (unaudited) (continued)  September 30, 2015  (in thousands, except warrants)","APOLLO INVESTMENT CORPORATION  SCHEDULE OF INVESTMENTS (unaudited) (continued)  September 30, 2015  (in thousands, except warrants)",,,,,,,
127,Warrants00.2,Warrants00.2,,,,,,,
128,,"CA Holding, Inc. (Collect America, Ltd.), Common Stock Warrants (13)(17)",N/A,N/A,"Diversified Investment Vehicles, Banking, Finance, Real Estate",12255,8,0,
129,,"Energy & Exploration Partners, Inc., Common Stock Warrants (13)",N/A,N/A,Energy – Oil & Gas,60778,2374,0,
130,,"Fidji Luxco (BC) S.C.A., Common Stock Warrants (2)(13)(17)",N/A,N/A,High Tech Industries,18113,182,4105,
131,,"Gryphon Colleges Corp. (Delta Educational Systems, Inc.), Class A-1 Preferred Stock Warrants (13)",N/A,N/A,Education,45947,459,0,
132,,"Gryphon Colleges Corp. (Delta Educational Systems, Inc.), Class B-1 Preferred Stock Warrants (13)",N/A,N/A,Education,104314,1043,0,
133,,"Gryphon Colleges Corp. (Delta Educational Systems, Inc.), Common Stock Warrants (13)",N/A,N/A,Education,9820,98,0,
134,,"Osage Exploration & Development, Inc., Common Stock Warrants (13)(17)",N/A,N/A,Energy – Oil & Gas,1496843,0,0,
135,,"Spotted Hawk Development, LLC, Common Stock Warrants (13)",N/A,N/A,Energy – Oil & Gas,54545,852,222,
