,Industry / Company,Interest Rate (20),Par / Shares (12),Cost (28),Fair  Value (1)(29),
46,"Ministry Brands, LLC","11.34 (2M L+925, 1.00 Floor)",10000,9914,9977,
47,"Newscycle Solutions, Inc.","9.04 (1M L+700, 1.00 Floor)",15046,14796,14896,
48,"PSI Services, LLC","7.04 (1M L+500, 1.00 Floor)",4551,4488,4529,
49,"RA Outdoors, LLC","6.79 (1M L+475, 1.00 Floor)",7102,7001,6889,
50,"STG-Fairway Acquisitions, Inc.","11.29 (1M L+925, 1.00 Floor)",15000,14823,14400,
51,TGG TS Acquisition Company,0.50 Unfunded,1750,0,(44,
52,"Transplace Holdings, Inc.","10.80 (1M L+875, 1.00 Floor)",8599,8436,8427,
53,U.S. Legal Support,,,,,
54,"USLS Acquisition, Inc.","7.85 (3M L+575, 1.00 Floor)",24623,24234,24175,
55,"US Legal Support Investment Holdings, LLC","631,972 Shares",712,(9)(13),,
56,"Vertafore, Inc.",0.50 Unfunded,14576,"(1,294","(1,676",
57,Total Business Services,376928,,,,
58,"Chemicals, Plastics & Rubber",,,,,
59,Carbon Free Chemicals,,,,,
60,Carbonfree Caustic SPE LLC,5.00,12800.0,12800,12800,
61,Carbonfree Chemicals SPE I LLC (f/k/a Maxus Capital Carbon SPE I LLC),5.22 PIK,50305,50305,43076,
62,"Hare Bidco, Inc.",9.75 (1M E+875),€,13574.0,14486,
63,"Westfall Technik, Inc.","7.60 (3M L+575, 1.00 Floor)",15345,15172,15192,
64,"Total Chemical, Plastics & Rubber",103131,,,,
65,Construction & Building,,,,,
66,Englert,,,,,
67,"Gutter Buyer, Inc.","8.29 (1M L+625, 1.00 Floor)",23804.0,23265,23233,
68,"Gutter Holdings, LP",500 Shares,608,(9)(13),,
69,Total Construction & Building,23659,,,,
70,Consumer Goods – Durable,,,,,
71,"Hayward Industries, Inc.",10.29 (1M L+825),21919.0,21672,21480,
72,KDC US Holdings,0.25 Unfunded,5916,0,(477,
73,KLO Holdings,,,,,
74,9357-5991 Quebec Inc.,11.82 (3M L+775 Cash plus 2.00 PIK),9022,8653,2988,
75,KLO Acquisition LLC,11.82 (3M L+775 Cash plus 2.00 PIK),5474,5260,1813,
76,"Project Comfort Buyer, Inc.","9.19 (6M L+700, 1.00 Floor)",23472,22844,23003,
77,"Sorenson Holdings, LLC",587 Shares,472,(10)(13),,
78,Total Consumer Goods - Durable,59462,,,,
79,Consumer Goods – Non-durable,,,,,
80,"ABG Intermediate Holdings 2, LLC","9.79 (1M L+775, 1.00 Floor)",7229.0,7206,7243,
81,"BIG Buyer, LLC","8.54 (1M L+650, 1.00 Floor)",29117,28391,28824,
82,Lion Cashmere Midco Limited,"7.83 (6M L+575, 1.00 Floor)",13053,12844,12704,
83,"Protein For Pets Opco, LLC","7.12 (3M L+500, 1.00 Floor)",12781,12539,12525,
84,"Sequential Brands Group, Inc.",10.79 (1M L+875),12965,12871,12835,
85,Total Consumer Goods - Non-Durable,74899,,,,
86,Consumer Services,,,,,
87,1A Smart Start LLC,"10.29 (1M L+825, 1.00 Floor)",25100.0,24788,24751,
88,"First Heritage Credit, LLC",6.85 (1M L+475),16500,16362,16345,
89,"Marlin DTC-LS Midco 2, LLC","8.04 (3M L+600, 1.00 Floor)",9292,9136,9129,
90,Nemo (BC) Bidco Pty Ltd,"6.86 (1M BBSW+575, 1.00 Floor)",A$,6768.0,4916,(17)
91,"Paper Source, Inc.","9.15 (3M L+700, 1.00 Floor)",11918.0,11696,11679,
92,"Pinstripe Holdings, LLC",8.05 (3M L+600),6965,6842,6860,
93,"Tidewater Consumer Receivables, LLC",7.85 (1M L+575),11333,11237,11220,
94,"U.S. Auto Finance, Inc.",6.88 (3M L+475),20000,19923,19928,
95,Total Consumer Services,121589,,,,
96,"Containers, Packaging & Glass",,,,,
97,"TricorBraun Holdings, Inc.",5.29 (1M L+325),750.0,750,751,
98,"Total Containers, Packaging & Glass",531,,,,
99,"Diversified Investment Vehicles, Banking, Finance, Real Estate",,,,,
100,Alera Group Intermediate Holdings,6.54 (1M L+450),7980.0,7914,7908,
101,Celink,,,,,
102,Compu-Link Corporation,0.50 Unfunded,2273,(48,(51,
103,"Peer Advisors, LLC","7.54 (1M L+550, 1.00 Floor)",22443,21969,21935,
104,"Exeter Property Group, LLC",6.59 (1M L+450),4796,4731,4753,
105,"Flock SPV I, LLC",8.53 (1M L+650),10667,10609,10549,
106,"Golden Bear 2016-R, LLC (4)",09/20/42,16671,12203,(3)(17),
107,Mayfield Agency Borrower Inc.,10.54 (1M L+850),5000,4940,5044,
108,"Purchasing Power Funding I, LLC",8.54 (1M L+650),1596,1596,1596,
109,"Taupo River II, LLC","7.57 (3M L+525, 1.00 Floor)",14000,13975,13973,
110,"Ten-X, LLC",0.50 Unfunded,4680,(252,(275,
111,"Total Diversified Investment Vehicles, Banking, Finance, Real Estate",83333,,,,
112,Energy – Electricity,,,,,
113,"AMP Solar Group, Inc. (4)","243,646 Shares",8039.0,(13)(17),,
114,Renew Financial,,,,,
115,"AIC SPV Holdings II, LLC (4)","534,375 Shares",635,(15)(17),,
116,"Renew Financial LLC (f/k/a Renewable Funding, LLC) (4)","1,505,868 Shares",11371,(13),,
117,Renew JV LLC (4),3374,(13)(17),,,
118,Solarplicity Group,,,,,
119,Solarplicity Group Limited (4),11/30/22,4331.0,5811,1705,
120,Solarplicity UK Holdings Limited,4.00,£,5562.0,7637,(17)
121,Total Energy – Electricity,47132,,,,
122,Energy – Oil & Gas,,,,,
123,"Glacier Oil & Gas Corp. (f/k/a Miller Energy Resources, Inc.) (5)",8.00 Cash (10.00 PIK Toggle),6000.0,6000,6000,
124,"Pelican Energy, LLC (4)","1,444 Shares",3572.0,(13)(16)(17),,
125,"SHD Oil & Gas, LLC (5)",12.00,24000,24000,24720,
126,Total Energy – Oil & Gas,203754,,,,
127,Food & Grocery,,,,,
128,Bumble Bee Foods,,,,,
129,"Bumble Bee Holdings, Inc.",15.50 (P+850 Cash plus 2.00 PIK),15450.0,15234,14214,
130,Connors Bros Clover Leaf Seafoods Company,15.50 (P+850 Cash plus 2.00 PIK),4377,4316,4027,
131,Total Food & Grocery,19550,,,,
132,Healthcare & Pharmaceuticals,,,,,
133,Altasciences,,,,,
134,9360-1367 Quebec Inc.,"8.49 (3M L+625, 1.00 Floor)",C$,2369.0,1740,(9)(17)
135,"Altasciences US Acquistion, Inc.","8.37 (3M L+625, 1.00 Floor)",5110,5039,4918,
136,"Amerivet Partners Management, Inc.","7.79 (1M L+575, 1.00 Floor)",23185,22877,22692,
137,Analogic Corporation,"8.04 (1M L+600, 1.00 Floor)",27117,26582,26846,
138,Aptevo Therapeutics Inc.,"9.70 (1M L+760, 0.50 Floor)",8571,8773,8494,
139,AVG Intermediate Holdings LLC,"10.05 (1M L+800, 1.00 Floor)",10538,10406,10264,
140,"BioClinica Holding I, LP","10.44 (3M L+825, 1.00 Floor)",24612,24277,22828,
141,Cerus Corporation,"7.55 (1M L+545, 1.80 Floor)",12000,11946,12106,
142,Emmes Corporation,,,,,
143,"Emmes Blocker, Inc.",306 Shares,329,(9)(13),,
144,"The Emmes Company, LLC","7.60 (1M L+550, 1.00 Floor)",12184,12019,11940,
145,"FPG Services, LLC","7.60 (3M L+550, 1.00 Floor)",12600,12361,12348,
146,"GB001, Inc.","8.26 (1M L+615, 2.00 Floor)",6000,5953,6030,
147,"Genesis Healthcare, Inc.","8.13 (1M L+600, 0.50 Floor)",25000,24743,24770,
148,"HSI Halo Acquisition, Inc.","7.87 (3M L+575, 1.00 Floor)",23443,23211,23208,
149,"IMA Group Management Company, LLC","7.56 (3M L+550, 1.00 Floor)",4687,4644,4594,
150,Kure Pain,,,,,
151,"Clearway Corporation (f/k/a NP/Clearway Holdings, Inc.)",133 Shares,133,(9),,
152,"Kure Pain Holdings, Inc.","7.55 (1M L+550, 1.00 Floor)",22213,21886,21880,
153,"Lanai Holdings III, Inc.","10.76 (3M L+850, 1.00 Floor)",17391,17101,15652,
154,"LSCS Holdings, Inc",10.31 (3M L+825),19818,19444,19719,
155,Mannkind Corporation,"8.85 (1M L+675, 2.00 Floor)",13867,13800,13797,
156,"Maxor National Pharmacy Services, LLC","7.60 (3M L+550, 1.00 Floor)",24604,24182,24174,
157,Orchard Therapeutics plc,"8.10 (1M L+600, 1.00 Floor)",8333,8295,8292,
158,"Pace Health Companies, LLC","6.77 (3M L+450, 1.00 Floor)",500,490,489,
159,"Partner Therapeutics, Inc","8.75 (3M L+665, 1.00 Floor)",1667,1706,1667,
160,"PHS Buyer, Inc.","7.35 (3M L+525, 1.00 Floor)",12935,12676,12676,
161,"ProPharma Group Intermediate, LLC","7.79 (1M L+575, 0.50 Floor)",£,1864.0,2424,
162,"PTC Therapeutics, Inc","8.25 (1M L+615, 1.00 Floor)",10556,10535,10661,
163,"Rigel Pharmaceuticals, Inc.","7.15 (1M L+565, 1.50 Floor)",3000,2993,2992,
164,"RiteDose Holdings I, Inc.","8.82 (3M L+650, 1.00 Floor)",14738,14420,14337,
165,Royton Bidco Limited,"6.51 (3M L+575, 0.50 Floor)",£,15588.0,19744,(9)(17)
166,SSCP Spring Bidco Limited,"7.06 (6M L+625, 0.50 Floor)",£,88091.0,105115,(9)(17)
167,"Teladoc, Inc.",0.50 Unfunded,1306.0,(18,(52,
168,"Wright Medical Group, Inc.","9.95 (1M L+785, 1.00 Floor)",6667,6584,6667,
169,Total Healthcare & Pharmaceuticals,561833,,,,
170,High Tech Industries,,,,,
171,AMI US Holdings Inc.,"7.60 (1M L+550, 1.00 Floor)",21983.0,21579,21763,
172,"ChargePoint, Inc.","8.65 (1M L+655, 1.25 Floor)",10500,10421,10458,
173,ChyronHego Corporation,"7.43 (3M L+643, 1.00 Floor)",3725,3725,3725,
174,"DigiCert Holdings, Inc.","10.04 (1M L+800, 1.00 Floor)",12157,12111,12157,
175,"Digital Reasoning Systems, Inc.","8.34 (1M L+625, 2.00 Floor)",3750,3714,3712,
176,"FiscalNote, Inc.","10.04 (1M L+800, 1.00 Floor)",28125,27522,27350,
177,"International Cruise & Excursion Gallery, Inc.","7.29 (1M L+525, 1.00 Floor)",14813,14570,14701,
178,LabVantage Solutions,,,,,
179,LabVantage Solutions Inc.,"9.54 (1M L+750, 1.00 Floor)",10981,10891,10981,
180,LabVantage Solutions Limited,"8.50 (1M E+750, 1.00 Floor)",€,11114.0,11866,(17)
181,Magnate Holding Corp.,"8.10 (3M L+600, 1.00 Floor)",16670.0,16453,16352,
182,New Amsterdam Software BidCo LLC,5.00 (3M E+500),€,743.0,818,(9)
183,"Norvax, LLC","8.55 (1M L+650, 1.00 Floor)",31818,31029,31023,
184,"Omnitracs, LLC",0.50 Unfunded,3750,(235,(338,
185,Sirsi Corporation,"6.78 (1M L+475, 1.00 Floor)",6983,6890,6878,
186,Telestream Holdings Corporation,"7.61 (1M L+645, 1.00 Floor)",38284,38043,37519,
187,"Wall Street Systems Delaware, Inc.","7.26 (1M L+500, 2.00 Floor)",13998,13733,13936,
188,"ZPower, LLC","8.10 (1M L+775, 1.00 Floor)",6482,6576,6361,
189,Total High Tech Industries,279733,,,,
190,"Hotel, Gaming, Leisure, Restaurants",,,,,
191,GFRC Holdings LLC,"10.13 (1M L+800 Cash (L+800 PIK Toggle), 1.50 Floor)",2500.0,2500,2500,
192,"Total Hotel, Gaming, Leisure, Restaurants",2500,,,,
193,Insurance,,,,,
194,"AQ Sunshine, Inc.","7.60 (1M L+550, 1.00 Floor)",2129.0,2129,2088,
195,Ivy Finco Limited,5.71 (1M L+500),£,11066.0,13692,(9)(17)
196,Total Insurance,29979,,,,
197,"Manufacturing, Capital Equipment",,,,,
198,AVAD,,,,,
199,AVAD Canada Ltd.,"6.10 (1M L+400, 1.00 Floor)",1112.0,1112,1093,
200,"AVAD, LLC","9.85 (1M L+775, 1.00 Floor)",9170,9020,8983,
201,Kauffman,,,,,
202,"Kauffman Holdco, LLC","250,000 Shares",244,(9)(13),,
203,"Kauffman Intermediate, LLC","7.85 (3M L+575, 1.00 Floor)",16926,16610,16742,
204,MedPlast Holdings Inc.,9.85 (3M L+775),8000,7932,7500,
205,"Total Manufacturing, Capital Equipment",50918,,,,
206,Media – Diversified & Production,,,,,
207,"NW Entertainment, Inc.","9.12 (3M L+700, 1.00 Floor)",24000.0,23532,23520,
208,SESAC Holdco II LLC,0.50 Unfunded,587,(25,(6,
209,"Sonar Entertainment, Inc.","9.70 (1M L+760, 1.25 Floor)",8662,8555,8511,
210,Total Media – Diversified & Production,38631,,,,
211,Metals & Mining,,,,,
212,"Magnetation, LLC",10.20 (6M L+800 Cash (PIK Toggle)),1213.0,1134,509,
213,Total Metals & Mining,1134,,,,
214,Retail,,,,,
215,Rapid Displays Acquisition Corporation,"7.25 (3M L+500, 1.00 Floor)",10962.0,10751,10742,
216,"SI Holdings, Inc.","8.28 (3M L+600, 1.00 Floor)",21587,21168,21155,
217,Total Retail,33337,,,,
218,Telecommunications,,,,,
219,IPC,,,,,
220,IPC Corporation,"7.26 (3M L+500, 1.00 Floor)",10000.0,9944,8858,
221,IPC Information Systems UK Holdings Limited,"8.79 (3M L+650, 1.50 Floor)",562,536,534,
222,"Securus Technologies Holdings, Inc.","10.29 (1M L+825, 1.00 Floor)",12878,12780,11343,
223,Total Telecommunications,24064,,,,
224,"Transportation – Cargo, Distribution",,,,,
225,"Dynamic Product Tankers, LLC (5)",9.80 (3M L+700),42000.0,41850,42000,
226,MSEA Tankers LLC (5),61950,(17)(25),,,
227,"PT Intermediate Holdings III, LLC","10.04 (1M L+800, 1.00 Floor)",9375,9302,9375,
228,"Total Transportation – Cargo, Distribution",162908,,,,
229,Utilities – Electric,,,,,
230,Asset Repackaging Trust Six B.V.,12.81,58411.0,26728,34167,
231,Total Utilities – Electric,26728,,,,
232,Total Investments before Cash Equivalents,2889762.0,,,,
