,Industry / Company,Interest Rate (20),Maturity Date,Par/Shares (12),Cost (28),Fair Value (1)(29),,,
29,PrimeFlight,,,,,,,,
30,"PrimeFlight Aviation Services, Inc.",First Lien Secured Debt,"6.50 (1M L+550, 1.00 Floor)",05/09/24,13367,13184,12790,(9),
31,Total Aviation and Consumer Transport,334761,347731,,,,,,
32,"Beverage, Food & Tobacco",,,,,,,,
33,Bolthouse Farms,,,,,,,,
34,"Wm. Bolthouse Farms, Inc.",Common Equity/Interests - Common Stock,"1,000,000 Shares",1000.0,940,(13),,,
35,Eagle Foods,,,,,,,,
36,"Eagle Foods Family Group, LLC",First Lien Secured Debt,"8.68 (6M L+675, 1.00 Floor)",06/14/24,24562,24369,23703.0,(9),
37,"Florida Food Products, Inc.",,,,,,,,
38,"Florida Food Products, Inc.",First Lien Secured Debt,"8.20 (3M L+675, 1.00 Floor)",09/08/25,22938,22492,22594,(9),
39,"Florida Food Products, LLC",First Lien Secured Debt - Revolver,"7.75 (1M L+675, 1.00 Floor)",09/06/23,240,240,236,(9)(23),
40,"Orgain, Inc.",,,,,,,,
41,"Butterfly Fighter Co-Invest, L.P.",Common Equity/Interests - Membership Interests,"1,000,000 Shares",1000,1000.0,(13),,,
42,TNT Crust LLC,,,,,,,,
43,TNT Crust LLC,First Lien Secured Debt,"7.75 (1M L+675, 1.00 Floor)",11/06/23,20618,20318,20102,(9),
44,Turkey Hill,,,,,,,,
45,IC Holdings LLC,Common Equity/Interests - Series A Units,169 Shares,169,153.0,(9)(13),,,
46,THLP CO. LLC,First Lien Secured Debt,"6.50 (1M L+550, 1.00 Floor)",05/30/25,19562,19225,19268,(9),
47,"Total Beverage, Food & Tobacco",99172,98416,,,,,,
48,Business Services,,,,,,,,
49,Access Information,,,,,,,,
50,"Access CIG, LLC",Second Lien Secured Debt,9.53 (3M L+775),02/27/26,15900,15789.0,15299,,
51,Ambrosia Buyer Corp.,,,,,,,,
52,Ambrosia Buyer Corp.,Second Lien Secured Debt,"9.08 (3M L+800, 1.00 Floor)",08/28/25,21429,21066,17751,,
53,Claritas,,,,,,,,
54,"Claritas, LLC",First Lien Secured Debt,"7.45 (3M L+600, 1.00 Floor)",12/21/23,3845,3815,3787,(9),
55,Continuum,,,,,,,,
56,"Continuum Global Solutions, LLC",First Lien Secured Debt - Revolver,"7.08 (1M L+550, 1.00 Floor)",02/15/22,8791,8791,8527,(9)(23),
57,"CT Technologies Intermediate Holdings, Inc",,,,,,,,
58,"CT Technologies Intermediate Holdings, Inc",Second Lien Secured Debt,"10.45 (3M L+900, 1.00 Floor)",12/01/22,31253,30803,27815,(9),
59,Education Personnel,,,,,,,,
60,Education Personnel,First Lien Secured Debt,"5.42 (3M GBPL+475, 0.50 Floor)",08/31/24,£,4076,5190,4790.0,(9)(17)
61,Electro Rent Corporation,,,,,,,,
62,Electro Rent Corporation,Second Lien Secured Debt,"10.64 (3M L+900, 1.00 Floor)",01/31/25,34235,33546,33208,(9),
63,Elo Touch,,,,,,,,
64,TGG TS Acquisition Company,First Lien Secured Debt - Revolver,7.40 (3M L+650),12/14/23,500,500,480,(23),
65,Ensemble Health,,,,,,,,
66,"EHL Merger Sub, LLC",First Lien Secured Debt - Revolver,6.00 (P+275),08/01/24,1662,1662,1512,(23),
67,Jacent,,,,,,,,
68,Jacent Strategic Merchandising,First Lien Secured Debt,"7.36 (3M L+575, 1.00 Floor)",04/23/24,22579,22304,21315,(9),
69,Jones & Frank,,,,,,,,
70,"JF Acquisition, LLC",First Lien Secured Debt,"6.77 (3M L+550, 1.00 Floor)",07/31/24,5272,5179,5087,(9),
71,MAKS,,,,,,,,
72,Trident Bidco Limited,First Lien Secured Debt,"7.25 (1M L+625, 1.00 Floor)",11/08/25,35000,34019,33649,(9)(17),
73,McLarens,,,,,,,,
74,Margaux Acquisition Inc.,First Lien Secured Debt,"7.41 (3M L+550, 1.00 Floor)",12/19/24,18800,18526,17800,(9),
75,Margaux UK Finance Limited,First Lien Secured Debt,"6.50 (3M GBPL+550, 1.00 Floor)",12/19/24,£,5896,7332,6930.0,(9)(17)
76,"Ministry Brands, LLC",,,,,,,,
77,"Ministry Brands, LLC",Second Lien Secured Debt,"10.51 (2M L+925, 1.00 Floor)",06/02/23,10000,9925,9795,,
78,"Newscycle Solutions, Inc.",,,,,,,,
79,"Newscycle Solutions, Inc.",First Lien Secured Debt,"8.45 (3M L+700, 1.00 Floor)",12/29/22,14641,14434,14202,(9),
80,"PSI Services, LLC",,,,,,,,
81,"Lifelong Learner Holdings, LLC",First Lien Secured Debt,"6.75 (1M L+575, 1.00 Floor)",10/19/26,32865,32234,31334,(9),
82,"RA Outdoors, LLC (Active Outdoors)",,,,,,,,
83,"RA Outdoors, LLC",First Lien Secured Debt,"5.82 (6M L+475, 1.00 Floor)",09/11/24,6626,6542,6428,(9),
84,Soliant,,,,,,,,
85,"Soliant Holdings, LLC",First Lien Secured Debt,"6.50 (1M L+550, 1.00 Floor)",12/31/26,18064,17715,17587,(9),
86,"Soliant Health, Inc.",Common Equity/Interests - Common Stock,300 Shares,300,300.0,(9)(13),,,
87,"Transplace Holdings, Inc.",,,,,,,,
88,"Transplace Holdings, Inc.",Second Lien Secured Debt,"9.82 (3M L+875, 1.00 Floor)",10/06/25,8599,8449,8169,,
89,US Legal Support,,,,,,,,
90,"US Legal Support Investment Holdings, LLC",Common Equity/Interests - Series A-1 Units,"631,972 Shares",632,623.0,(9)(13),,,
91,"USLS Acquisition, Inc.",First Lien Secured Debt,"6.82 (6M L+575, 1.00 Floor)",12/02/24,24498,24111,23630,(9),
92,Vertafore,,,,,,,,
93,"Vertafore, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,06/30/23,14576,"(1,121)","(1,676)",(8)(21)(23),
94,Total Business Services,376459,360631,,,,,,
95,"Chemicals, Plastics & Rubber",,,,,,,,
96,Carbonfree Chemicals SPE I LLC (f/k/a Maxus Capital Carbon SPE I LLC),,,,,,,,
97,Carbonfree Caustic SPE LLC (4),First Lien Secured Debt,5.00,12/31/24,13111,13111.0,13111,,
98,Carbonfree Chemicals SPE I LLC (f/k/a Maxus Capital Carbon SPE I LLC) (4),First Lien Secured Debt,3.00,12/31/24,17057,17057,4389,,
99,Carbonfree Chemicals Holdings LLC (4),Common Equity/Interests - Common Stock,"1,446 Shares",30886,15105.0,(13),,,
100,Carbonfree Chemicals SA LLC (4),Common Equity/Interests - Class B Units,"1,313 Shares",15403,0.0,(13),,,
101,Niacet Corporation,,,,,,,,
102,"Hare Bidco, Inc.",Second Lien Secured Debt,9.75 (1M E+875),08/01/24,€,13574,14506,14671.0,
103,"Westfall Technik, Inc.",,,,,,,,
104,"Westfall Technik, Inc.",First Lien Secured Debt,"7.20 (3M L+575, 1.00 Floor)",09/13/24,15268,15033,14839,(9),
105,"Total Chemicals, Plastics & Rubber",108539,64370,,,,,,
106,Construction & Building,,,,,,,,
107,Englert,,,,,,,,
108,"Gutter Buyer, Inc.",First Lien Secured Debt,"7.25 (1M L+625, 1.00 Floor)",03/06/25,26915,26479.0,25873,(9),
109,"Gutter Holdings, LP",Common Equity/Interests - Common Stock,500 Shares,500,558.0,(9)(13),,,
110,Total Construction & Building,29611,28973,,,,,,
111,Consumer Goods – Durable,,,,,,,,
112,A&V,,,,,,,,
113,"A&V Holdings Midco, LLC",First Lien Secured Debt,"5.75 (3M L+475, 1.00 Floor)",03/10/27,11137,11027.0,11027,,
114,Dan Dee,,,,,,,,
115,"Project Comfort Buyer, Inc.",First Lien Secured Debt,"8.00 (6M L+700, 1.00 Floor)",02/03/25,26283,25665,24969,(9),
116,"Hayward Industries, Inc.",,,,,,,,
117,"Hayward Industries, Inc.",Second Lien Secured Debt,9.24 (1M L+825),08/04/25,21919,21693,20639,,
118,KDC,,,,,,,,
119,KDC US Holdings,First Lien Secured Debt - Revolver,5.50 (P+225),12/21/23,5731,5732,5173,(23),
120,"KLO Holdings, LLC",,,,,,,,
121,9357-5991 Quebec Inc.,First Lien Secured Debt,11.82 (3M L+775 Cash plus 2.00 PIK),04/07/22,9562,8653,2118,(13)(14),
122,KLO Acquisition LLC,First Lien Secured Debt,11.82 (3M L+775 Cash plus 2.00 PIK),04/07/22,5373,4838,30,(13)(14),
123,NSi Industries,,,,,,,,
124,"Wildcat BuyerCo, Inc.",First Lien Secured Debt,"7.14 (3M L+550, 1.00 Floor)",02/27/26,6087,5946,5946,,
125,Wildcat Parent LP,Common Equity/Interests - Common Stock,"1,000 Shares",100,100.0,(13),,,
126,Liqui-Box,,,,,,,,
127,"Liqui-Box Holdings, Inc.",First Lien Secured Debt - Revolver,"5.95 (3M L+450, 1.00 Floor)",02/26/25,475,475,470,(23),
128,"Sorenson Holdings, LLC",,,,,,,,
129,"Sorenson Holdings, LLC",Common Equity/Interests - Membership Interests,587 Shares,0,418.0,(10)(13),,,
130,Total Consumer Goods – Durable,88622,75009,,,,,,
131,Consumer Goods – Non-durable,,,,,,,,
132,3D Protein,,,,,,,,
133,"Protein For Pets Opco, LLC",First Lien Secured Debt,"6.00 (1M L+500, 1.00 Floor)",11/28/25,12717,12495.0,12399,(9),
134,Beauty Industry Group (BIG),,,,,,,,
135,"BIG Buyer, LLC",First Lien Secured Debt,"7.57 (6M L+650, 1.00 Floor)",11/20/23,22368,21889,21504,(9),
136,DMC,,,,,,,,
137,Lion Cashmere Midco Limited,First Lien Secured Debt,"6.75 (6M L+575, 1.00 Floor)",03/21/25,13053,12863,11969,(9)(17),
138,Olaplex,,,,,,,,
139,"Olaplex, Inc.",First Lien Secured Debt,"7.50 (1M L+650, 1.00 Floor)",01/08/26,26200,25696,25696,(9),
140,"Sequential Brands Group, Inc.",,,,,,,,
141,"Sequential Brands Group, Inc.",Second Lien Secured Debt,9.75 (1M L+875),02/07/24,12965,12882,12289,(17),
142,Total Consumer Goods – Non-durable,91886,89572,,,,,,
143,Consumer Services,,,,,,,,
144,1A Smart Start LLC,,,,,,,,
145,1A Smart Start LLC,Second Lien Secured Debt,"9.32 (3M L+825, 1.00 Floor)",08/22/22,25100,24842.0,24282,,
146,Clarus Commerce,,,,,,,,
147,"Marlin DTC-LS Midco 2, LLC",First Lien Secured Debt,"6.57 (6M L+550, 1.00 Floor)",07/01/25,9245,9103,8806,,
148,First Heritage,,,,,,,,
149,"First Heritage Credit, LLC",First Lien Secured Debt,6.33 (1M L+475),04/02/22,18450,18340,17959,(9),
150,Only About Children,,,,,,,,
151,Nemo (BC) Bidco Pty Ltd,First Lien Secured Debt,"6.75 (1M BBSW+575, 1.00 Floor)",04/06/24,A$,6768,4923,3894.0,(17)
152,Paper Source,,,,,,,,
153,"Paper Source, Inc.",First Lien Secured Debt,"8.78 (3M L+700, 1.00 Floor)",05/22/24,11620,11427,10981,(9),
154,"Pinstripe Holdings, LLC",,,,,,,,
155,"Pinstripe Holdings, LLC",First Lien Secured Debt,"7.08 (6M L+600, 1.00 Floor)",01/17/25,6930,6819,6547,,
156,The Club Company,,,,,,,,
157,Eldrickco Limited,First Lien Secured Debt,"6.04 (3M GBPL+550, 0.50 Floor)",11/21/25,£,750,938,869.0,(9)(17)
158,"Tidewater Consumer Receivables, LLC",,,,,,,,
159,"Tidewater Consumer Receivables, LLC",First Lien Secured Debt,7.33 (1M L+575),12/28/23,11333,11248,11090,(9)(17),
160,US Auto,,,,,,,,
161,"U.S. Auto Finance, Inc.",First Lien Secured Debt,6.33 (3M L+475),04/17/22,20893,20824,20351,(9),
162,Total Consumer Services,129079,123300,,,,,,
163,"Containers, Packaging & Glass",,,,,,,,
164,"TricorBraun Holdings, Inc.",,,,,,,,
165,"TricorBraun Holdings, Inc.",First Lien Secured Debt - Revolver,4.05 (1M L+325),11/30/21,1500,1500.0,1478,(23),
166,"Total Containers, Packaging & Glass",5081,5167,,,,,,
167,"Diversified Investment Vehicles, Banking, Finance, Real Estate",,,,,,,,
168,Celink,,,,,,,,
169,Compu-Link Corporation,First Lien Secured Debt - Revolver,"6.50 (1M L+550, 1.00 Floor)",06/11/24,45,3.0,44,(9)(23),
170,"Peer Advisors, LLC",First Lien Secured Debt,"6.50 (1M L+550, 1.00 Floor)",06/11/24,21875,21461,21138,(9),
171,"Exeter Property Group, LLC",,,,,,,,
172,"Exeter Property Group, LLC",First Lien Secured Debt,6.08 (1M L+450),08/28/24,4772,4714,4618,(9),
173,"Flock Financial, LLC",,,,,,,,
174,"Flock SPV I, LLC",First Lien Secured Debt,8.08 (1M L+650),08/30/22,13067,13018,12788,(9)(17),
175,Golden Bear,,,,,,,,
176,"Golden Bear 2016-R, LLC (4)",Structured Products and Other - Membership Interests,09/20/42,0,16729,9748,(3)(17),,
177,"Purchasing Power, LLC",,,,,,,,
178,"Purchasing Power Funding I, LLC",First Lien Secured Debt - Revolver,8.08 (1M L+650),01/24/22,4608,4608,4529,(9)(23),
179,"Taupo River II, LLC",,,,,,,,
180,"Taupo River II, LLC",First Lien Secured Debt,"7.16 (3M L+525, 1.00 Floor)",06/08/20,14000,13993,13966,(9)(17),
181,"Ten-X, LLC",,,,,,,,
182,"Ten-X, LLC",First Lien Secured Debt - Revolver,4.00 (1M L+325),09/29/22,3120,3120,2911,(23),
183,"Total Diversified Investment Vehicles, Banking, Finance, Real Estate",81149,73119,,,,,,
184,Education,,,,,,,,
185,NFA Group,,,,,,,,
186,SSCP Spring Bidco Limited,First Lien Secured Debt,"6.94 (6M GPBL+625, 0.50 Floor)",07/30/25,£,535,641.0,634,(9)(17)
187,Total Education,34595,34201,,,,,,
188,Energy – Electricity,,,,,,,,
189,"AMP Solar Group, Inc.",,,,,,,,
190,"AMP Solar Group, Inc. (4)",Common Equity/Interests - Class A Common Unit,"243,646 Shares",10000.0,8736,(13)(17),,,
191,"Renew Financial LLC (f/k/a Renewable Funding, LLC)",,,,,,,,
192,"AIC SPV Holdings II, LLC (4)",Preferred Equity - Preferred Stock,143 Shares,534,442.0,(15)(17),,,
193,"Renew Financial LLC (f/k/a Renewable Funding, LLC) (4)",Preferred Equity - Series B Preferred Stock,"1,505,868 Shares",8343,3284.0,(13),,,
194,Renew JV LLC (4),Common Equity/Interests - Membership Interests,"893,336 Shares",893,914.0,(13)(17),,,
195,Solarplicity Group Limited (f/k/a AMP Solar UK),,,,,,,,
196,Solarplicity UK Holdings Limited,First Lien Secured Debt,4.00,03/08/23,£,5562,7637,3787.0,(13)(14)(17)
197,Total Energy – Electricity,38840,19264,,,,,,
198,Energy – Oil & Gas,,,,,,,,
199,"Glacier Oil & Gas Corp. (f/k/a Miller Energy Resources, Inc.)",,,,,,,,
200,"Glacier Oil & Gas Corp. (f/k/a Miller Energy Resources, Inc.) (5)",Second Lien Secured Debt,10.00 PIK Toggle (8.00 Cash),03/29/21,37234,36926.0,14711,(13)(14),
201,Pelican,,,,,,,,
202,"Pelican Energy, LLC (4)",Common Equity/Interests - Membership Interests,"1,444 Shares",16822,2411.0,(13)(16)(17),,,
203,Spotted Hawk,,,,,,,,
204,"SHD Oil & Gas, LLC (5)",First Lien Secured Debt - Tranche C Note,12.00,07/31/21,24000,24000,24720,,
205,Total Energy – Oil & Gas,198615,64337,,,,,,
206,Environmental Industries,,,,,,,,
207,Denali,,,,,,,,
208,"Dispatch Acquisition Holdings, LLC",First Lien Secured Debt,"7.27 (3M L+550, 1.00 Floor)",01/29/27,16342,15983.0,15983,(9),
209,Ortega National Parks,,,,,,,,
210,"Ortega National Parks, LLC",First Lien Secured Debt,"6.32 (6M L+525, 1.00 Floor)",10/31/25,11229,11020,10551,(9),
211,Total Environmental Industries,30764,29811,,,,,,
212,Food & Grocery,,,,,,,,
213,Bumble Bee Foods S.À R.L.,,,,,,,,
214,Bumble Bee Holdings Inc,First Lien Secured Debt,01/31/24,443,0.0,430,,,
215,Connors Bros Clover Leaf Seafoods Company,First Lien Secured Debt,01/31/24,126,0,122,,,
216,Tonos US LLC,First Lien Secured Debt,"8.96 (3M L+725, 1.50 Floor)",01/31/24,15123,15319,14670,,
217,Total Food & Grocery,15319,15222,,,,,,
218,Healthcare & Pharmaceuticals,,,,,,,,
219,"Altasciences, Inc.",,,,,,,,
220,9360-1367 Quebec Inc.,First Lien Secured Debt,"8.49 (3M CADL+625, 1.00 Floor)",06/09/23,C$,2357,1734.0,1602,(9)(17)
221,"Altasciences US Acquistion, Inc.",First Lien Secured Debt,"7.32 (6M L+625, 1.00 Floor)",06/09/23,5959,5879,5765,(9),
222,American Veterinary Group,,,,,,,,
223,AVG Intermediate Holdings LLC,First Lien Secured Debt,"9.00 (1M L+800, 1.00 Floor)",02/08/24,11759,11642,11097,(9),
224,AmeriVet,,,,,,,,
225,"Amerivet Partners Management, Inc.",First Lien Secured Debt,"7.75 (1M L+675, 1.00 Floor)",06/05/24,26429,25944,25480,(9),
226,Amerivet Partners Parent LP,Common Equity/Interests - Class D Partnership Units,13 Shares,125,144.0,(9)(13),,,
227,Analogic,,,,,,,,
228,Analogic Corporation,First Lien Secured Debt,"6.25 (1M L+525, 1.00 Floor)",06/22/24,18215,17894,17851,(9),
229,"BioClinica Holding I, LP",,,,,,,,
230,"BioClinica Holding I, LP",Second Lien Secured Debt,"9.25 (1M L+825, 1.00 Floor)",10/21/24,24612,24303,23345,,
231,BK Medical,,,,,,,,
232,"BK Medical Holding Company, Inc.",First Lien Secured Debt,"6.25 (1M L+525, 1.00 Floor)",06/22/24,7304,7235,7234,(9),
233,CARE Fertility,,,,,,,,
234,Royton Bidco Limited,First Lien Secured Debt,"6.29 (3M GBPL+575, 0.50 Floor)",05/09/25,£,559,647,650.0,(9)(17)
235,Cerus,,,,,,,,
236,Cerus Corporation,First Lien Secured Debt,"7.25 (1M L+545, 1.80 Floor)",03/01/24,12000,11952,12146,(9)(17),
237,Dohmen Life Science Services,,,,,,,,
238,"LSCS Holdings, Inc",Second Lien Secured Debt,9.70 (3M L+825),03/16/26,19818,19473,18901,,
239,Emmes Corporation,,,,,,,,
240,"Emmes Blocker, Inc.",Common Equity/Interests - Common Stock,306 Shares,306,314.0,(9)(13),,,
241,"The Emmes Company, LLC",First Lien Secured Debt,"6.58 (1M L+500, 1.00 Floor)",03/03/25,12122,11973,11819,(9),
242,"Genesis Healthcare, Inc.",,,,,,,,
243,"Genesis Healthcare, Inc.",First Lien Secured Debt,"12.58 (1M L+1100, 1.00 Floor)",03/06/23,8370,8370,8197,(9),
244,Gossamer,,,,,,,,
245,"GB001, Inc.",First Lien Secured Debt,"8.15 (1M L+615, 2.00 Floor)",05/01/24,6000,5970,6049,(9)(17),
246,Health & Safety Institute,,,,,,,,
247,"HSI Halo Acquisition, Inc.",First Lien Secured Debt,"6.75 (1M L+575, 1.00 Floor)",08/31/26,25288,25053,24360,(9),
248,IMA Group,,,,,,,,
249,"IMA Group Management Company, LLC",First Lien Secured Debt,"6.57 (6M L+550, 1.00 Floor)",05/30/24,5126,5083,4921,,
250,IM Acquirer LLC,First Lien Secured Debt - Revolver,"6.50 (1M L+550, 1.00 Floor)",05/30/24,289,287,277,(23),
251,KureSmart,,,,,,,,
252,"Clearway Corporation (f/k/a NP/Clearway Holdings, Inc.)",Common Equity/Interests - Partnership Interests,133 Shares,133,120.0,(9)(13),,,
253,"Kure Pain Holdings, Inc.",First Lien Secured Debt,"6.50 (1M L+550, 1.00 Floor)",08/27/24,22102,21810,21015,(9),
254,"Lanai Holdings III, Inc. (Patterson Medical)",,,,,,,,
255,"Lanai Holdings III, Inc.",Second Lien Secured Debt,"10.28 (3M L+1050 PIK, 1.00 Floor)",08/28/23,17391,17138,14383,,
256,Mannkind Corporation,,,,,,,,
257,Mannkind Corporation,First Lien Secured Debt,"8.75 (1M L+675, 2.00 Floor)",08/01/24,13867,13806,13639,(9),
258,"Maxor National Pharmacy Services, LLC",,,,,,,,
259,"Maxor National Pharmacy Services, LLC",First Lien Secured Debt,"6.95 (3M L+550, 1.00 Floor)",11/22/23,24476,24107,23754,(9),
260,Medical Guardian,,,,,,,,
261,"Medical Guardian, LLC",First Lien Secured Debt,"9.50 (1M L+850, 1.00 Floor)",12/31/24,34286,33635,33600,(9),
262,Orchard,,,,,,,,
263,Orchard Therapeutics plc,First Lien Secured Debt,"7.58 (1M L+600, 1.00 Floor)",05/24/24,8333,8299,8257,(9)(17),
264,Ovation Fertility,,,,,,,,
265,"FPG Services, LLC",First Lien Secured Debt,"6.95 (3M L+550, 1.00 Floor)",06/13/25,12537,12319,11820,(9),
266,"Partner Therapeutics, Inc",,,,,,,,
267,"Partner Therapeutics, Inc",First Lien Secured Debt,"8.23 (1M L+665, 1.00 Floor)",01/01/23,10000,9896,9945,(9),
268,PHS,,,,,,,,
269,"PHS Buyer, Inc.",First Lien Secured Debt,"6.70 (3M L+525, 1.00 Floor)",01/31/25,12870,12636,12548,(9),
270,ProPharma,,,,,,,,
271,"ProPharma Group Intermediate, LLC",First Lien Secured Debt,"6.74 (1M L+575, 0.50 Floor)",07/12/23,€,6357,7196,6835.0,
272,"PTC Therapeutics, Inc",,,,,,,,
273,"PTC Therapeutics, Inc",First Lien Secured Debt,"7.73 (1M L+615, 1.00 Floor)",05/01/21,7389,7379,7463,(9)(17),
274,Radius Health,,,,,,,,
275,"Radius Health, Inc.",First Lien Secured Debt,"7.75 (1M L+575, 2.00 Floor)",06/01/24,3000,2993,2993,(9)(17),
276,RHA Health Services,,,,,,,,
277,"Pace Health Companies, LLC",First Lien Secured Debt,"5.95 (3M L+450, 1.00 Floor)",08/02/24,547,538,525,(9),
278,Rigel Pharmaceuticals,,,,,,,,
279,"Rigel Pharmaceuticals, Inc.",First Lien Secured Debt,"7.23 (1M L+565, 1.50 Floor)",09/01/24,3000,3001,2959,(9),
280,"RiteDose Holdings I, Inc.",,,,,,,,
281,"RiteDose Holdings I, Inc.",First Lien Secured Debt,"8.41 (3M L+650, 1.00 Floor)",09/13/23,14662,14387,14114,(9),
282,"Teladoc, Inc.",,,,,,,,
283,"Teladoc, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,07/14/20,1306,(6),0,(17)(21)(23),
284,"Wright Medical Group, Inc.",,,,,,,,
285,"Wright Medical Group, Inc.",First Lien Secured Debt,"9.43 (1M L+785, 1.00 Floor)",12/23/21,6667,6603,6733,(9)(17),
286,Total Healthcare & Pharmaceuticals,479239,464964,,,,,,
287,High Tech Industries,,,,,,,,
288,Acronis AG,,,,,,,,
289,Acronis AG,First Lien Secured Debt,"7.43 (1M L+585, 1.50 Floor)",12/18/24,21000,20901.0,20217,(9)(17),
290,American Megatrends,,,,,,,,
291,AMI US Holdings Inc.,First Lien Secured Debt,"6.83 (1M L+525, 1.00 Floor)",04/01/25,21872,21507,21216,(9),
292,"Calero Holdings, Inc.",,,,,,,,
293,"Telesoft Holdings, LLC",First Lien Secured Debt,"7.20 (3M L+575, 1.00 Floor)",12/16/25,22727,22240,21723,,
294,ChargePoint,,,,,,,,
295,"ChargePoint, Inc.",First Lien Secured Debt,"8.13 (1M L+655, 1.25 Floor)",06/01/23,10500,10432,10321,(9),
296,ChyronHego Corporation,,,,,,,,
297,ChyronHego Corporation,First Lien Secured Debt,7.43 (P+468),3/9/20,3725,3725,3650,(27),
298,Digital Reasoning,,,,,,,,
299,"Digital Reasoning Systems, Inc.",First Lien Secured Debt,"8.25 (1M L+625, 2.00 Floor)",08/01/24,3750,3721,3630,(9),
300,FiscalNote,,,,,,,,
301,"FiscalNote, Inc.",First Lien Secured Debt,"9.00 (1M L+800, 1.00 Floor)",08/21/23,28431,27905,27075,(9),
302,GoHealth,,,,,,,,
303,"Norvax, LLC",First Lien Secured Debt,"7.96 (3M L+650, 1.00 Floor)",09/15/25,31659,30939,30222,(9),
304,"International Cruise & Excursion Gallery, Inc.",,,,,,,,
305,"International Cruise & Excursion Gallery, Inc.",First Lien Secured Debt,"6.32 (3M L+525, 1.00 Floor)",06/06/25,14737,14517,13439,,
306,LabVantage Solutions,,,,,,,,
307,LabVantage Solutions Inc.,First Lien Secured Debt,"9.15 (1M L+750, 1.00 Floor)",12/29/20,10324,10274,10221,,
308,LabVantage Solutions Limited,First Lien Secured Debt,"8.50 (1M E+750, 1.00 Floor)",12/29/20,€,10513,11262,11420.0,(17)
309,Magnitude Software,,,,,,,,
310,New Amsterdam Software BidCo LLC,First Lien Secured Debt,"5.00 (3M E+500, 1.00 Floor)",05/01/26,€,743,819,783.0,(9)
311,MYCOM,,,,,,,,
312,Magnate Holding Corp.,First Lien Secured Debt,"7.32 (6M L+625, 1.00 Floor)",12/16/24,16587,16392,10597,(9)(17),
313,"Omnitracs, LLC",,,,,,,,
314,"Omnitracs, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,03/23/23,3750,(201),(375),(8)(21)(23),
315,Schlesinger Group,,,,,,,,
316,"Schlesinger Global, LLC",First Lien Secured Debt,"7.45 (3M L+600, 1.00 Floor)",07/12/25,8984,8764,8764,(9),
317,Simeio,,,,,,,,
318,"Simeio Group Holdings, Inc.",First Lien Secured Debt,"7.53 (3M L+575, 1.00 Floor)",01/30/26,8654,8528,8528,(9),
319,Sirsi Corporation,,,,,,,,
320,Sirsi Corporation,First Lien Secured Debt,"5.75 (1M L+475, 1.00 Floor)",03/15/24,6895,6813,6722,(9),
321,Springbrook,,,,,,,,
