,new_Industry,Industry / Company,Investment Type,Interest Rate (20),Maturity  Date,Par / Shares (12),Cost (28),Fair  Value (1)(29),,
37,,"Eagle Foods Family Group, LLC",First Lien Secured Debt - Revolver,"8.71 (3M L+650, 1.00 Floor)",06/14/23,917,917,898,(9)(23),
38,,"Eagle Foods Family Group, LLC",First Lien Secured Debt - Revolver,"8.72 (3M L+650, 1.00 Floor)",06/14/23,250,250,245,(9)(23),
39,,"Eagle Foods Family Group, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,06/14/23,2166,(31,(43,(8)(9)(21)(23),
40,,"Eagle Foods Family Group, LLC",26023,25702,,,,,,
41,Florida Food Products,Florida Food Products,,,,,,,,
42,,"Florida Food Products, Inc.",First Lien Secured Debt,"8.79 (1M L+675, 1.00 Floor)",09/08/25,23055,22565,22824,(9),
43,,"Florida Food Products, LLC",First Lien Secured Debt - Revolver,"8.79 (1M L+675, 1.00 Floor)",09/06/23,1473,1473,1458,(9)(23),
44,,"Florida Food Products, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,09/06/23,240,(34,(2,(8)(9)(21)(23),
45,,"Florida Food Products, LLC",24004,24280,,,,,,
46,,TNT Crust LLC,First Lien Secured Debt,"7.29 (1M L+525, 1.00 Floor)",11/06/23,10377,10183,10170,(9),
47,,TNT Crust LLC,First Lien Secured Debt,"7.29 (1M L+525, 1.00 Floor)",11/06/23,9038,8889,8857,(9),
48,,TNT Crust LLC,First Lien Secured Debt - Revolver,"7.30 (1M L+525, 1.00 Floor)",11/06/23,813,813,797,(9)(23),
49,,TNT Crust LLC,First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,11/06/23,2439,(57,(49,(8)(9)(21)(23),
50,,TNT Crust LLC,Common Equity/Interests - Series A Units,N/A,N/A,244 Shares,30,310,(9)(13),
51,,TNT Crust LLC,19858,20085,,,,,,
52,Turkey Hill,Turkey Hill,,,,,,,,
53,,IC Holdings LLC,Common Equity/Interests - Series A Units,N/A,N/A,169 Shares,169,155,(9)(13),
54,,THLP CO. LLC,First Lien Secured Debt,"7.54 (1M L+550, 1.00 Floor)",05/30/25,19562,19192,19366,(9),
55,,THLP CO. LLC,First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,05/31/24,4494,(84,(45,(8)(9)(21)(23),
56,,THLP CO. LLC,First Lien Secured Debt - Unfunded Delayed Draw,1.00 Unfunded,05/30/25,5618,(47,(56,(8)(9)(21)(23),
57,,THLP CO. LLC,19230,19420,,,,,,
58,,"Wm. Bolthouse Farms, Inc.",Common Equity/Interests - Common Stock,N/A,N/A,"1,000,000 Shares",1000,1000,(13),
60,Business Services,Business Services,,,,,,,,
61,,"Access CIG, LLC",Second Lien Secured Debt,10.07 (3M L+775),02/27/26,15900,15781,15900,(10),
62,,Aero Operating LLC,First Lien Secured Debt,"9.35 (1M L+725, 1.00 Floor)",12/29/22,36566,35954,36200,(9),
63,,Aero Operating LLC,First Lien Secured Debt - Revolver,11.25 (P+625),12/29/22,160,160,159,(9)(23),
64,,Aero Operating LLC,First Lien Secured Debt - Unfunded Revolver,1.00 Unfunded,12/29/22,3613,(78,(36,(8)(9)(21)(23),
65,,Aero Operating LLC,First Lien Secured Debt - Letters of Credit,L+400,4/30/20 - 6/21/20,1039,0,(10,(8)(9)(23),
66,,Aero Operating LLC,36036,36313,,,,,,
67,,Ambrosia Buyer Corp.,Second Lien Secured Debt,"10.20 (6M L+800, 1.00 Floor)",08/28/25,21429,21033,20756,,
68,,"Claritas, LLC",First Lien Secured Debt,"8.10 (3M L+600, 1.00 Floor)",12/21/23,3895,3860,3856,(9),
69,,"Claritas, LLC",First Lien Secured Debt - Revolver,"8.04 (1M L+600, 1.00 Floor)",12/21/23,258,258,255,(9)(23),
70,,"Claritas, LLC",First Lien Secured Debt - Revolver,10.00 (P+500),12/21/23,26,26,26,(9)(23),
71,,"Claritas, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,12/21/23,747,(9,(7,(8)(9)(21)(23),
72,,"Claritas, LLC",4135,4130,,,,,,
73,,"Continuum Global Solutions, LLC",First Lien Secured Debt - Revolver,"7.60 (1M L+550, 1.00 Floor)",02/15/22,5858,5858,5741,(9)(23),
74,,"Continuum Global Solutions, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,02/15/22,4911,(171,(98,(8)(9)(21)(23),
75,,"Continuum Global Solutions, LLC",Preferred Equity - Preferred Stock,N/A,N/A,620 Shares,62,62,(9)(13),
76,,"Continuum Global Solutions, LLC",5749,5705,,,,,,
77,,"CT Technologies Intermediate Holdings, Inc",First Lien Secured Debt,"6.29 (1M L+425, 1.00 Floor)",12/01/21,4437,3940,4066,(9)(10),
78,,"CT Technologies Intermediate Holdings, Inc",Second Lien Secured Debt,"11.04 (1M L+900, 1.00 Floor)",12/01/22,31253,30719,28128,(9),
79,,"CT Technologies Intermediate Holdings, Inc",34659,32194,,,,,,
80,,Education Personnel,First Lien Secured Debt,"5.51 (3M GBP L+475, 0.50 Floor)",08/31/24,£,4077,5178,4979,(9)(17)
81,,Education Personnel,First Lien Secured Debt - Revolver,"5.51 (3M GBP L+475, 0.50 Floor)",08/31/24,£,1471,1868,1796,(9)(17)(23)
82,,Education Personnel,First Lien Secured Debt - Unfunded Delayed Draw,1.66 Unfunded,08/31/24,£,4412,0,0,(9)(17)(21)(23)
83,,Education Personnel,7046,6775,,,,,,
84,,Electro Rent Corporation,Second Lien Secured Debt,"11.13 (2M L+900, 1.00 Floor)",01/31/25,34235,33485,33551,(9),
85,,"Ensemble RCM, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,08/01/24,4155,(388,(374,(8)(21)(23),
86,,Jacent Strategic Merchandising,First Lien Secured Debt,"8.01 (3M L+575, 1.00 Floor)",04/23/24,22693,22382,22350,(9),
87,,Jacent Strategic Merchandising,First Lien Secured Debt - Revolver,"7.85 (3M L+575, 1.00 Floor)",04/23/24,467,467,460,(9)(23),
88,,Jacent Strategic Merchandising,First Lien Secured Debt - Revolver,9.75 (P+475),04/23/24,933,933,919,(9)(23),
89,,Jacent Strategic Merchandising,First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,04/23/24,2100,(48,(32,(8)(9)(21)(23),
90,,Jacent Strategic Merchandising,Common Equity/Interests - Common Stock,N/A,N/A,"5,000 Shares",500,500,(9)(13),
91,,Jacent Strategic Merchandising,24234,24197,,,,,,
92,,"JF Acquisition, LLC",First Lien Secured Debt,"7.60 (3M L+550, 1.00 Floor)",07/31/24,5272,5168,5167,(9),
93,,"JF Acquisition, LLC",First Lien Secured Debt,"7.76 (3M L+550, 1.00 Floor)",07/31/24,8159,8002,7996,(9),
94,,"JF Acquisition, LLC",First Lien Secured Debt - Revolver,"7.75 (3M L+550, 1.00 Floor)",07/31/24,188,188,185,(9)(23),
95,,"JF Acquisition, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,07/31/24,1381,(30,(28,(8)(9)(21)(23),
96,,"JF Acquisition, LLC",13328,13320,,,,,,
97,McLarens Global Ltd,McLarens Global Ltd,,,,,,,,
98,,Margaux Acquisition Inc.,First Lien Secured Debt,"8.32 (3M L+600, 1.00 Floor)",12/19/24,18895,18590,18706,(9),
99,,Margaux Acquisition Inc.,First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,12/19/24,1601,(28,(16,(8)(9)(21)(23),
100,,Margaux Acquisition Inc.,First Lien Secured Debt - Unfunded Delayed Draw,1.00 Unfunded,12/19/24,4461,(101,(45,(8)(9)(21)(23),
101,,Margaux UK Finance Limited,First Lien Secured Debt,"7.00 (3M GBP L+600, 1.00 Floor)",12/19/24,£,5926,7357,7229,(9)(17)
102,,Margaux UK Finance Limited,First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,12/19/24,£,541,(12,(7,(8)(9)(17)(21)(23)
103,,Margaux UK Finance Limited,First Lien Secured Debt - Unfunded Delayed Draw,1.00 Unfunded,12/19/24,£,1353,(30,(17,(8)(9)(17)(21)(23)
104,,Margaux UK Finance Limited,25776,25850,,,,,,
105,,"Ministry Brands, LLC",Second Lien Secured Debt,"11.34 (2M L+925, 1.00 Floor)",06/02/23,10000,9914,9977,,
106,,"Newscycle Solutions, Inc.",First Lien Secured Debt,"9.04 (1M L+700, 1.00 Floor)",12/29/22,15046,14796,14896,(9),
107,,"Newscycle Solutions, Inc.",First Lien Secured Debt,"9.10 (1M L+700, 1.00 Floor)",12/29/22,1163,1150,1151,(9),
108,,"Newscycle Solutions, Inc.",First Lien Secured Debt - Revolver,"9.05 (1M L+700, 1.00 Floor)",12/29/22,400,400,396,(9)(23),
109,,"Newscycle Solutions, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,12/29/22,100,(8,(1,(8)(9)(21)(23),
110,,"Newscycle Solutions, Inc.",16338,16442,,,,,,
111,,"PSI Services, LLC",First Lien Secured Debt,"7.04 (1M L+500, 1.00 Floor)",01/20/23,4551,4488,4529,(9),
112,,"PSI Services, LLC",First Lien Secured Debt - Revolver,9.00 (P+400),01/20/22,278,278,277,(9)(23),
113,,"PSI Services, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,01/20/22,119,(5,(1,(8)(9)(21)(23),
114,,"PSI Services, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,01/20/22,£,47,0,0,(8)(9)(21)(23)
115,,"PSI Services, LLC",Second Lien Secured Debt,"11.04 (1M L+900, 1.00 Floor)",01/20/24,37893,37192,37935,(9),
116,,"PSI Services, LLC",41953,42740,,,,,,
117,,"RA Outdoors, LLC",First Lien Secured Debt,"6.79 (1M L+475, 1.00 Floor)",09/11/24,7102,7001,6889,(9),
118,,"RA Outdoors, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,09/09/22,1200,(14,(24,(8)(9)(21)(23),
119,,"RA Outdoors, LLC",Second Lien Secured Debt,"10.79 (1M L+875, 1.00 Floor)",09/11/25,34200,33563,32832,(9),
120,,"RA Outdoors, LLC",40550,39697,,,,,,
121,,"STG-Fairway Acquisitions, Inc.",Second Lien Secured Debt,"11.29 (1M L+925, 1.00 Floor)",06/30/23,15000,14823,14400,,
122,,TGG TS Acquisition Company,First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,12/14/23,1750,0,(44,(8)(21)(23),
123,,"Transplace Holdings, Inc.",Second Lien Secured Debt,"10.80 (1M L+875, 1.00 Floor)",10/06/25,8599,8436,8427,(10),
124,U.S. Legal Support,U.S. Legal Support,,,,,,,,
125,,"USLS Acquisition, Inc.",First Lien Secured Debt,"7.85 (3M L+575, 1.00 Floor)",12/02/24,24623,24234,24175,(9),
126,,"USLS Acquisition, Inc.",First Lien Secured Debt - Revolver,8.08 (3M L+575),12/02/24,536,536,526,(9)(23),
127,,"USLS Acquisition, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,12/02/24,986,(28,(18,(8)(9)(21)(23),
128,,"USLS Acquisition, Inc.",First Lien Secured Debt - Letters of Credit,5.75,10/15/19-06/06/20,86,0,(1,(8)(9)(23),
129,,"USLS Acquisition, Inc.",First Lien Secured Debt - Unfunded Delayed Draw,0.50 Unfunded,12/02/24,12,(40,0,(9)(21)(23),
130,,"US Legal Support Investment Holdings, LLC",Common Equity/Interests - Series A-1 Units,N/A,N/A,"631,972 Shares",632,712,(9)(13),
131,,"US Legal Support Investment Holdings, LLC",25334,25394,,,,,,
132,,"Vertafore, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,06/30/23,14576,"(1,294","(1,676",(8)(21)(23),
133,,"Vertafore, Inc.",First Lien Secured Debt - Letter of Credit,3.25,01/17/20,424,0,(49,(8)(23),
134,,"Vertafore, Inc.","(1,294","(1,725",,,,,,
136,"Chemicals, Plastics & Rubber","Chemicals, Plastics & Rubber",,,,,,,,
137,Carbon Free Chemicals,Carbon Free Chemicals,,,,,,,,
138,,Carbonfree Caustic SPE LLC,First Lien Secured Debt,5.00,12/31/21,12800,12800,12800,,
139,,Carbonfree Chemicals SPE I LLC (f/k/a Maxus Capital Carbon SPE I LLC),First Lien Secured Debt,5.22 PIK,12/31/21,50305,50305,43076,,
140,,Carbonfree Chemicals SPE I LLC (f/k/a Maxus Capital Carbon SPE I LLC),First Lien Secured Debt - Unfunded Delayed Draw,0.00 Unfunded,12/31/21,311,0,0,(21)(23),
141,,Carbonfree Chemicals SPE I LLC (f/k/a Maxus Capital Carbon SPE I LLC),Common Equity/Interests - Residual Interests,N/A,N/A,"9,000,000 Shares",9000,0,(13),
142,,Carbonfree Chemicals SPE I LLC (f/k/a Maxus Capital Carbon SPE I LLC),72105,55876,,,,,,
143,,"Hare Bidco, Inc.",Second Lien Secured Debt,9.75 (1M E+875),08/01/24,€,13574,14486,14651,
144,,"Westfall Technik, Inc.",First Lien Secured Debt,"7.60 (3M L+575, 1.00 Floor)",09/13/24,15345,15172,15192,(9),
145,,"Westfall Technik, Inc.",First Lien Secured Debt - Revolver,"7.68 (1M L+575, 1.00 Floor)",09/13/24,1615,1615,1599,(9)(23),
146,,"Westfall Technik, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,09/13/24,404,(33,(4,(8)(9)(21)(23),
147,,"Westfall Technik, Inc.",First Lien Secured Debt - Unfunded Delayed Draw,1.00 Unfunded,09/13/24,13502,(214,(135,(8)(9)(21)(23),
148,,"Westfall Technik, Inc.",16540,16652,,,,,,
150,Construction & Building,Construction & Building,,,,,,,,
151,Englert,Englert,,,,,,,,
152,,"Gutter Buyer, Inc.",First Lien Secured Debt,"8.29 (1M L+625, 1.00 Floor)",03/06/25,23804,23265,23233,(9),
153,,"Gutter Buyer, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,03/06/24,2727,(60,(65,(8)(9)(21)(23),
154,,"Gutter Buyer, Inc.",First Lien Secured Debt - Unfunded Delayed Draw,1.00 Unfunded,03/06/25,3409,(46,(49,(8)(9)(21)(23),
155,,"Gutter Holdings, LP",Common Equity/Interests - Common Stock,N/A,N/A,500 Shares,500,608,(9)(13),
157,Consumer Goods – Durable,Consumer Goods – Durable,,,,,,,,
158,,"Hayward Industries, Inc.",Second Lien Secured Debt,10.29 (1M L+825),08/04/25,21919,21672,21480,(10),
159,,KDC US Holdings,First Lien Secured Debt - Unfunded Revolver,0.25 Unfunded,12/21/23,5916,0,(477,(8)(21)(23),
160,,KDC US Holdings,First Lien Secured Debt - Letters of Credit,3.25,12/31/19 - 03/08/20,104,0,(9,(8)(23),
161,,KDC US Holdings,0,(486,,,,,,
162,KLO Holdings,KLO Holdings,,,,,,,,
163,,9357-5991 Quebec Inc.,First Lien Secured Debt,11.82 (3M L+775 Cash plus 2.00 PIK),04/07/22,9022,8653,2988,(13)(14),
164,,KLO Acquisition LLC,First Lien Secured Debt,11.82 (3M L+775 Cash plus 2.00 PIK),04/07/22,5474,5260,1813,(13)(14),
165,,KLO Acquisition LLC,13913,4801,,,,,,
166,,"Project Comfort Buyer, Inc.",First Lien Secured Debt,"9.19 (6M L+700, 1.00 Floor)",02/03/25,23472,22844,23003,(9),
167,,"Project Comfort Buyer, Inc.",First Lien Secured Debt - Revolver,"9.20 (6M L+700, 1.00 Floor)",02/01/24,692,692,678,(9)(23),
168,,"Project Comfort Buyer, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,02/01/24,2769,(90,(55,(8)(9)(21)(23),
169,,"Project Comfort Buyer, Inc.",First Lien Secured Debt - Unfunded Delayed Draw,0.50 Unfunded,02/03/25,2308,(31,(46,(8)(9)(21)(23),
170,,"Project Comfort Buyer, Inc.",Preferred Equity - Preferred Stock,N/A,N/A,"461,538 Shares",462,462,(9)(13),
171,,"Project Comfort Buyer, Inc.",23877,24042,,,,,,
172,,"Sorenson Holdings, LLC",Common Equity/Interests - Membership Interests,N/A,N/A,587 Shares,0,472,(10)(13),
174,Consumer Goods – Non-durable,Consumer Goods – Non-durable,,,,,,,,
175,,"ABG Intermediate Holdings 2, LLC",Second Lien Secured Debt,"9.79 (1M L+775, 1.00 Floor)",09/29/25,7229,7206,7243,(10),
176,,"BIG Buyer, LLC",First Lien Secured Debt,"8.54 (1M L+650, 1.00 Floor)",11/20/23,29117,28391,28824,(9),
177,,"BIG Buyer, LLC",First Lien Secured Debt - Revolver,"8.54 (1M L+650, 1.00 Floor)",11/20/23,722,722,715,(9)(23),
178,,"BIG Buyer, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,11/20/23,1083,(45,(11,(8)(9)(21)(23),
179,,"BIG Buyer, LLC",29068,29528,,,,,,
180,,Lion Cashmere Midco Limited,First Lien Secured Debt,"7.83 (6M L+575, 1.00 Floor)",03/21/25,13053,12844,12704,(9)(17),
181,,Lion Cashmere Midco Limited,First Lien Secured Debt - Revolver,5.25 (6M E+525),03/21/24,€,249,282,265,(9)(17)(23)
182,,Lion Cashmere Midco Limited,First Lien Secured Debt - Revolver,"5.75 (2M L+525, 1.00 Floor)",03/21/24,£,166,207,199,(9)(17)(23)
183,,Lion Cashmere Midco Limited,First Lien Secured Debt - Unfunded Revolver,1.84 Unfunded,03/21/24,€,773,(21,(21,(8)(9)(17)(21)(23)
184,,Lion Cashmere Midco Limited,First Lien Secured Debt - Unfunded Delayed Draw,2.01 Unfunded,03/21/25,€,2372,(43,(71,(8)(9)(17)(21)(23)
185,,Lion Cashmere Midco Limited,13269,13076,,,,,,
186,,"Protein For Pets Opco, LLC",First Lien Secured Debt,"7.12 (3M L+500, 1.00 Floor)",11/28/25,12781,12539,12525,(9),
187,,"Protein For Pets Opco, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,05/31/24,2219,(54,(44,(8)(9)(21)(23),
188,,"Protein For Pets Opco, LLC",12485,12481,,,,,,
189,,"Sequential Brands Group, Inc.",Second Lien Secured Debt,10.79 (1M L+875),02/07/24,12965,12871,12835,(17),
191,Consumer Services,Consumer Services,,,,,,,,
192,,1A Smart Start LLC,Second Lien Secured Debt,"10.29 (1M L+825, 1.00 Floor)",08/22/22,25100,24788,24751,,
193,,"First Heritage Credit, LLC",First Lien Secured Debt,6.85 (1M L+475),04/02/22,16500,16362,16345,(9),
194,,"First Heritage Credit, LLC",First Lien Secured Debt - Revolver,7.60 (1M L+550),04/02/22,780,780,773,(9)(23),
195,,"First Heritage Credit, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,04/02/22,2970,(31,(26,(8)(9)(21)(23),
196,,"First Heritage Credit, LLC",First Lien Secured Debt - Unfunded Delayed Draw,0.50 Unfunded,04/02/22,9750,(81,(92,(8)(9)(21)(23),
197,,"First Heritage Credit, LLC",17030,17000,,,,,,
198,,"Marlin DTC-LS Midco 2, LLC",First Lien Secured Debt,"8.04 (3M L+600, 1.00 Floor)",07/01/25,9292,9136,9129,,
199,,"Marlin DTC-LS Midco 2, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,07/01/25,685,(11,(12,(8)(21)(23),
200,,"Marlin DTC-LS Midco 2, LLC",9125,9117,,,,,,
201,,Nemo (BC) Bidco Pty Ltd,First Lien Secured Debt,"6.86 (1M BBSW+575, 1.00 Floor)",04/06/24,A$,6768,4916,4474,(17)
202,,Nemo (BC) Bidco Pty Ltd,First Lien Secured Debt - Unfunded Delayed Draw,2.59 Unfunded,04/06/24,A$,232,(8,(3,(8)(17)(21)(23)
203,,Nemo (BC) Bidco Pty Ltd,4908,4471,,,,,,
204,,"Paper Source, Inc.",First Lien Secured Debt,"9.15 (3M L+700, 1.00 Floor)",05/22/24,11918,11696,11679,(9),
205,,"Paper Source, Inc.",First Lien Secured Debt - Revolver,"9.03 (1M L+700, 1.00 Floor)",05/22/24,2795,2795,2739,(9)(23),
206,,"Paper Source, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,05/22/24,288,(57,(6,(8)(9)(21)(23),
207,,"Paper Source, Inc.",14434,14412,,,,,,
208,,"Pinstripe Holdings, LLC",First Lien Secured Debt,8.05 (3M L+600),01/17/25,6965,6842,6860,,
209,,"Tidewater Consumer Receivables, LLC",First Lien Secured Debt,7.85 (1M L+575),12/28/23,11333,11237,11220,(9)(17),
210,,"Tidewater Consumer Receivables, LLC",First Lien Secured Debt - Revolver,7.85 (1M L+575),12/28/23,790,790,782,(9)(17)(23),
211,,"Tidewater Consumer Receivables, LLC",First Lien Secured Debt - Unfunded Revolver,0.00 Unfunded,12/28/23,1543,(10,(15,(8)(9)(17)(21)(23),
212,,"Tidewater Consumer Receivables, LLC",12017,11987,,,,,,
213,,"U.S. Auto Finance, Inc.",First Lien Secured Debt,6.88 (3M L+475),04/17/22,20000,19923,19928,(9),
214,,"U.S. Auto Finance, Inc.",First Lien Secured Debt - Revolver,7.63 (3M L+550),04/17/22,12656,12656,12611,(9)(23),
215,,"U.S. Auto Finance, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,04/17/22,7344,(89,(26,(8)(9)(21)(23),
216,,"U.S. Auto Finance, Inc.",First Lien Secured Debt - Unfunded Delayed Draw,2.00 Unfunded,12/31/20,2000,(45,(27,(8)(9)(21)(23),
217,,"U.S. Auto Finance, Inc.",32445,32486,,,,,,
219,"Containers, Packaging & Glass","Containers, Packaging & Glass",,,,,,,,
220,,"TricorBraun Holdings, Inc.",First Lien Secured Debt - Revolver,5.29 (1M L+325),11/30/21,750,750,751,(23),
221,,"TricorBraun Holdings, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,11/30/21,4875,(219,0,(21)(23),
223,"Diversified Investment Vehicles, Banking, Finance, Real Estate","Diversified Investment Vehicles, Banking, Finance, Real Estate",,,,,,,,
224,,Alera Group Intermediate Holdings,First Lien Secured Debt,6.54 (1M L+450),08/01/25,7980,7914,7908,,
225,Celink,Celink,,,,,,,,
226,,Compu-Link Corporation,First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,06/11/24,2273,(48,(51,(8)(9)(21)(23),
227,,"Peer Advisors, LLC",First Lien Secured Debt,"7.54 (1M L+550, 1.00 Floor)",06/11/24,22443,21969,21935,(9),
228,,"Peer Advisors, LLC",21921,21884,,,,,,
229,,"Exeter Property Group, LLC",First Lien Secured Debt,6.59 (1M L+450),08/28/24,4796,4731,4753,(9),
230,,"Exeter Property Group, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,08/28/24,192,(3,(2,(8)(9)(21)(23),
231,,"Exeter Property Group, LLC",4728,4751,,,,,,
232,,"Flock SPV I, LLC",First Lien Secured Debt,8.53 (1M L+650),08/30/22,10667,10609,10549,(9)(17),
233,,"Flock SPV I, LLC",First Lien Secured Debt - Revolver,8.60 (1M L+650),08/30/22,1319,1319,1305,(9)(17)(23),
234,,"Golden Bear 2016-R, LLC (4)",Structured Products and Other - Membership Interests,N/A,09/20/42,0,16671,12203,(3)(17),
235,,Mayfield Agency Borrower Inc.,Second Lien Secured Debt,10.54 (1M L+850),03/02/26,5000,4940,5044,(10),
236,,"Purchasing Power Funding I, LLC",First Lien Secured Debt - Revolver,8.54 (1M L+650),01/24/22,1596,1596,1596,(9)(23),
237,,"Purchasing Power Funding I, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,01/24/22,7516,0,(1,(8)(9)(21)(23),
238,,"Purchasing Power Funding I, LLC",1596,1595,,,,,,
239,,"Taupo River II, LLC",First Lien Secured Debt,"7.57 (3M L+525, 1.00 Floor)",06/08/20,14000,13975,13973,(9)(17),
240,,"Ten-X, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,09/29/22,4680,(252,(275,(8)(21)(23),
242,Energy – Electricity,Energy – Electricity,,,,,,,,
