,new_Industry,Industry / Company,Investment Type,Interest Rate (20),Maturity Date,Par/Shares (12),Cost (26),Fair Value (1)(27),,
34,,"Truck-Lite Co., LLC",First Lien Secured Debt - Revolver,"7.25 (3M L+625, 1.00 Floor)",12/13/24,436,436,429,(9)(23),
35,,"Truck-Lite Co., LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,12/13/24,560,(56),(9),(8)(9)  (21)(23),
36,,"Truck-Lite Co., LLC",First Lien Secured Debt - Letter of Credit,6.25,11/30/21 - 12/21/21,94,0,(2),(8)(9)  (23),
37,,"TL Lighting Holdings, LLC",Common Equity - Equity,N/A,N/A,350 Shares,350,302,(9)(13),
38,,"TL Lighting Holdings, LLC",30767,30651,,,,,,
40,Aviation and Consumer Transport,Aviation and Consumer Transport,,,,,,,,
41,"Merx Aviation Finance, LLC","Merx Aviation Finance, LLC",,,,,,,,
42,,"Merx Aviation Finance, LLC (5)",First Lien Secured Debt - Revolver,10.00,10/31/23,200000,200000,200000,(23),
43,,"Merx Aviation Finance, LLC (5)",First Lien Secured Debt - Letter of Credit,2.25,07/13/21,177,0,0,(23),
44,,"Merx Aviation Finance, LLC (5)",Common Equity - Membership Interests,N/A,N/A,N/A,120300,124605,(25),
45,,"Merx Aviation Finance, LLC (5)",320300,324605,,,,,,
46,Primeflight,Primeflight,,,,,,,,
47,,"PrimeFlight Aviation Services, Inc.",First Lien Secured Debt,"6.50 (1M L+550, 1.00 Floor)",05/09/24,14683,14524,14301,(9),
48,,"PrimeFlight Aviation Services, Inc.",First Lien Secured Debt - Unfunded Delayed Draw,0.50 Unfunded,05/09/24,2842,(81),(74),(8)(9)  (21)(23),
49,,"PrimeFlight Aviation Services, Inc.",14443,14227,,,,,,
51,"Beverage, Food & Tobacco","Beverage, Food & Tobacco",,,,,,,,
52,Bolthouse Farms,Bolthouse Farms,,,,,,,,
53,,"Wm. Bolthouse Farms, Inc.",Common Equity - Common Stock,N/A,N/A,"1,000,000 Shares",1001,1230,(13),
54,Eagle Foods,Eagle Foods,,,,,,,,
55,,"Eagle Foods Family Group, LLC",First Lien Secured Debt,"7.50 (3M L+650, 1.00 Floor)",06/14/24,23958,23803,23599,(9),
56,,"Eagle Foods Family Group, LLC",First Lien Secured Debt - Unfunded Revolver,0.00 Unfunded,06/14/23,3750,(21),(56),(8)(9)  (21)(23),
57,,"Eagle Foods Family Group, LLC",23782,23543,,,,,,
58,"Florida Food Products, Inc.","Florida Food Products, Inc.",,,,,,,,
59,,"Florida Food Products, Inc.",First Lien Secured Debt,"7.50 (3M L+650, 1.00 Floor)",09/08/25,22764,22382,22536,(9),
60,,"Florida Food Products, Inc.",First Lien Secured Debt,"8.25 (3M L+725, 1.00 Floor)",09/08/25,2985,2792,2985,(9),
61,,"Florida Food Products, LLC",First Lien Secured Debt - Revolver,"7.50 (3M L+650, 1.00 Floor)",09/06/23,479,479,475,(9)(23),
62,,"Florida Food Products, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,09/06/23,1233,(23),(12),(8)(9)  (21)(23),
63,,"Florida Food Products, LLC",25630,25984,,,,,,
64,"Orgain, Inc.","Orgain, Inc.",,,,,,,,
65,,"Butterfly Fighter Co-Invest, L.P.",Common Equity - Membership Interests,N/A,N/A,"1,000,000 Shares",1005,1555,(13),
66,TNT Crust LLC,TNT Crust LLC,,,,,,,,
67,,TNT Crust LLC,First Lien Secured Debt,"7.75 (3M L+675, 1.00 Floor)",11/06/23,20428,20153,20123,(9),
68,,TNT Crust LLC,First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,11/06/23,3252,(40),(49),(8)(9)  (21)(23),
69,,TNT Crust LLC,Common Equity - Series A Units,N/A,N/A,244 Shares,30,285,(9)(13),
70,,TNT Crust LLC,20143,20359,,,,,,
71,Turkey Hill,Turkey Hill,,,,,,,,
72,,IC Holdings LLC,Common Equity - Series A Units,N/A,N/A,169 Shares,169,385,(9)(13),
73,,THLP CO. LLC,First Lien Secured Debt,"7.00 (1M L+600, 1.00 Floor)",05/30/25,19562,19273,19366,(9),
74,,THLP CO. LLC,First Lien Secured Debt,"7.00 (12M L+600, 1.00 Floor)",05/30/25,2787,2762,2759,(9),
75,,THLP CO. LLC,First Lien Secured Debt,8.25 (P+500),05/30/25,8,8,8,(9),
76,,THLP CO. LLC,First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,05/31/24,4494,(61),(45),(8)(9)  (21)(23),
77,,THLP CO. LLC,First Lien Secured Debt - Unfunded Delayed Draw,1.00 Unfunded,05/30/25,2809,(41),(28),(8)(9)  (21)(23),
78,,THLP CO. LLC,22110,22445,,,,,,
80,Business Services,Business Services,,,,,,,,
81,Access Information,Access Information,,,,,,,,
82,,"Access CIG, LLC",Second Lien Secured Debt,7.98 (3M L+775),02/27/26,15900,15802,15704,,
83,Ambrosia Buyer Corp.,Ambrosia Buyer Corp.,,,,,,,,
84,,Ambrosia Buyer Corp.,Second Lien Secured Debt,"9.00 (1M L+800, 1.00 Floor)",08/28/25,21429,21018,10097,(13)(14),
85,AML Rightsource,AML Rightsource,,,,,,,,
86,,"Gabriel Partners, LLC",First Lien Secured Debt,"7.25 (6M L+625, 1.00 Floor)",09/21/26,8117,7925,7885,(9),
87,,"Gabriel Partners, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,09/21/26,665,(16),(19),(8)(9)  (21)(23),
88,,"Gabriel Partners, LLC",First Lien Secured Debt - Unfunded Delayed Draw,0.75 Unfunded,09/21/26,1197,(19),(34),(8)(9)  (21)(23),
89,,"Gabriel Partners, LLC",7890,7832,,,,,,
90,Claritas,Claritas,,,,,,,,
91,,"Claritas, LLC",First Lien Secured Debt,"7.00 (3M L+600, 1.00 Floor)",12/21/23,3771,3747,3723,(9),
92,,"Claritas, LLC",First Lien Secured Debt - Revolver,"7.00 (3M L+600, 1.00 Floor)",12/21/23,387,387,382,(9)(23),
93,,"Claritas, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,12/21/23,644,(6),(8),(8)(9)  (21)(23),
94,,"Claritas, LLC",4128,4097,,,,,,
95,Continuum,Continuum,,,,,,,,
96,,"Continuum Global Solutions, LLC",First Lien Secured Debt - Revolver,"6.50 (1M L+550, 1.00 Floor)",02/15/22,1728,1728,1690,(9)(23),
97,,"Continuum Global Solutions, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,02/15/22,18272,(182),(411),(8)(9)  (21)(23),
98,,"Continuum Global Solutions, LLC",Preferred Equity - Preferred Equity,N/A,N/A,775 Shares,78,78,(9)(13),
99,,"Continuum Global Solutions, LLC",1624,1357,,,,,,
100,Education Personnel,Education Personnel,,,,,,,,
101,,Arthur Bidco Limited,First Lien Secured Debt,"5.25 (3M GBPL+475, 0.50 Floor)",08/31/24,£,4035,5156,5249,(9)(17)
102,,Arthur Bidco Limited,First Lien Secured Debt - Revolver,"5.25 (3M GBPL+475, 0.50 Floor)",08/31/24,£,1471,1879,1912,(9)(17)  (23)
103,,Arthur Bidco Limited,7035,7161,,,,,,
104,Electro Rent Corporation,Electro Rent Corporation,,,,,,,,
105,,Electro Rent Corporation,Second Lien Secured Debt,"10.00 (3M L+900, 1.00 Floor)",01/31/25,34235,33639,33551,(9),
106,Elo Touch,Elo Touch,,,,,,,,
107,,TGG TS Acquisition Company,First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,12/14/23,1750,0,(56),(8)(21)  (23),
108,Ensemble Health,Ensemble Health,,,,,,,,
109,,"EHL Merger Sub, LLC",First Lien Secured Debt - Unfunded Revolver,0.25 Unfunded,08/01/24,4155,(273),(141),(8)(21)  (23),
110,Jacent,Jacent,,,,,,,,
111,,Jacent Strategic Merchandising,First Lien Secured Debt,"6.75 (3M L+575, 1.00 Floor)",04/23/24,22409,22186,21640,(9),
112,,Jacent Strategic Merchandising,First Lien Secured Debt - Revolver,"6.75 (3M L+575, 1.00 Floor)",04/23/24,2567,2567,2479,(9)(23),
113,,Jacent Strategic Merchandising,First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,04/23/24,933,(35),(32),(8)(9)  (21)(23),
114,,Jacent Strategic Merchandising,Common Equity - Common Stock,N/A,N/A,"5,000 Shares",500,291,(9)(13),
115,,"JSM Equity Investors, L.P.",Preferred Equity - Class P Partnership Units,N/A,N/A,114 Shares,11,11,(9)(13)  (25),
116,,"JSM Equity Investors, L.P.",25229,24389,,,,,,
117,Jones & Frank,Jones & Frank,,,,,,,,
118,,"JF Acquisition, LLC",First Lien Secured Debt,"6.50 (12M L+550, 1.00 Floor)",07/31/24,13139,12949,12815,(9),
119,,"JF Acquisition, LLC",First Lien Secured Debt,"6.50 (3M L+550, 1.00 Floor)",07/31/24,190,187,185,(9),
120,,"JF Acquisition, LLC",First Lien Secured Debt - Revolver,"6.50 (12M L+550, 1.00 Floor)",07/31/24,628,628,612,(9)(23),
121,,"JF Acquisition, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,07/31/24,941,(22),(23),(8)(9)  (21)(23),
122,,"JF Acquisition, LLC",13742,13589,,,,,,
123,MAKS,MAKS,,,,,,,,
124,,Trident Bidco Limited,First Lien Secured Debt,"6.50 (6M L+550, 1.00 Floor)",11/08/25,34563,33722,33726,(9)(17),
125,McLarens,McLarens,,,,,,,,
126,,Margaux Acquisition Inc.,First Lien Secured Debt,"6.75 (3M L+575, 1.00 Floor)",12/19/24,23110,22803,22814,(9),
127,,Margaux Acquisition Inc.,First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,12/19/24,1601,(21),(18),(8)(9)  (21)(23),
128,,Margaux UK Finance Limited,First Lien Secured Debt,"6.75 (3M GBPL+575, 1.00 Floor)",12/19/24,£,7201,8979,9749,(9)(17)
129,,Margaux UK Finance Limited,First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,12/19/24,£,541,(9),(8),(8)(9)  (17)(21)  (23)
130,,Margaux UK Finance Limited,31752,32537,,,,,,
131,"Newscycle Solutions, Inc.","Newscycle Solutions, Inc.",,,,,,,,
132,,"Newscycle Solutions, Inc.",First Lien Secured Debt,"8.00 (3M L+700, 1.00 Floor)",12/29/22,9842,9743,9645,(9),
133,,"Newscycle Solutions, Inc.",First Lien Secured Debt - Revolver,"8.00 (1M L+700, 1.00 Floor)",12/29/22,300,295,290,(9)(23),
134,,"Newscycle Solutions, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,12/29/22,200,0,0,(9)(21)  (23),
135,,"Newscycle Solutions, Inc.",10038,9935,,,,,,
136,"PSI Services, LLC","PSI Services, LLC",,,,,,,,
137,,"Lifelong Learner Holdings, LLC",First Lien Secured Debt,"6.75 (3M L+575, 1.00 Floor)",10/19/26,32618,32062,31348,(9),
138,,"Lifelong Learner Holdings, LLC",First Lien Secured Debt - Revolver,"6.75 (3M L+575, 1.00 Floor)",10/20/25,1039,1039,1005,(9)(23),
139,,"Lifelong Learner Holdings, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,10/20/25,1946,(48),(64),(8)(9)  (21)(23),
140,,"Lifelong Learner Holdings, LLC",First Lien Secured Debt - Unfunded Delayed Draw,1.00 Unfunded,10/19/26,2388,(20),(93),(8)(9)  (21)(23),
141,,"Lifelong Learner Holdings, LLC",33033,32196,,,,,,
142,"RA Outdoors, LLC (Active Outdoors)","RA Outdoors, LLC (Active Outdoors)",,,,,,,,
143,,"RA Outdoors, LLC",First Lien Secured Debt,"5.75 (6M L+475, 1.00 Floor)",09/11/24,6542,6473,6444,(9),
144,,"RA Outdoors, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,09/09/22,1200,(8),(6),(8)(9)  (21)(23),
145,,"RA Outdoors, LLC",Second Lien Secured Debt,"9.75 (6M L+875, 1.00 Floor)",09/11/25,31950,31479,31151,(9),
146,,"RA Outdoors, LLC",37944,37589,,,,,,
147,Soliant,Soliant,,,,,,,,
148,,"Soliant Holdings, LLC",First Lien Secured Debt,"6.50 (1M L+550, 1.00 Floor)",12/31/26,17928,17621,17614,(9),
149,,"Soliant Holdings, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,12/31/24,1936,(31),(21),(8)(9)  (21)(23),
150,,"Soliant Health, Inc.",Common Equity - Membership Interests,N/A,N/A,300 Shares,300,320,(9)(13),
151,,"Soliant Health, Inc.",17890,17913,,,,,,
152,"Transplace Holdings, Inc.","Transplace Holdings, Inc.",,,,,,,,
153,,"Transplace Holdings, Inc.",Second Lien Secured Debt,"9.75 (3M L+875, 1.00 Floor)",10/06/25,8599,8469,8470,,
154,US Legal Support,US Legal Support,,,,,,,,
155,,"US Legal Support Investment Holdings, LLC",Common Equity - Series A-1 Units,N/A,N/A,"631,972 Shares",632,480,(9)(13),
156,,"USLS Acquisition, Inc.",First Lien Secured Debt,"6.75 (3M L+575, 1.00 Floor)",12/02/24,24312,23988,22721,(9),
157,,"USLS Acquisition, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,12/02/24,1508,(21),(101),(8)(9)  (21)(23),
158,,"USLS Acquisition, Inc.",First Lien Secured Debt - Letter of Credit,5.75,05/23/21 - 12/31/21,101,0,(6),(8)(9)  (23),
159,,"USLS Acquisition, Inc.",First Lien Secured Debt - Unfunded Delayed Draw,0.50 Unfunded,12/02/24,670,(7),(26),(8)(9)  (21)(23),
160,,"USLS Acquisition, Inc.",24592,23068,,,,,,
162,"Chemicals, Plastics & Rubber","Chemicals, Plastics & Rubber",,,,,,,,
163,Carbonfree Chemicals SPE I LLC (f/k/a Maxus Capital Carbon SPE I LLC),Carbonfree Chemicals SPE I LLC (f/k/a Maxus Capital Carbon SPE I LLC),,,,,,,,
164,,Carbonfree Chemicals Holdings LLC (4),Common Equity - Common Equity / Interest,N/A,N/A,"2,288 Shares",45427,25145,(13)(16)  (25),
165,,Carbonfree Chemicals SA LLC (4),Common Equity - Class B Units,N/A,N/A,"3,152 Shares",32460,0,(3)(13)  (16)(25),
166,,Carbonfree Chemicals SA LLC (4),77887,25145,,,,,,
167,Niacet Corporation,Niacet Corporation,,,,,,,,
168,,"Hare Bidco, Inc.",Second Lien Secured Debt,"9.75 (1M E+875, 1.00 Floor)",08/01/24,€,11351,12157,13820,
169,"Westfall Technik, Inc.","Westfall Technik, Inc.",,,,,,,,
170,,"Westfall Technik, Inc.",First Lien Secured Debt,"7.25 (1M L+625, 1.00 Floor)",09/13/24,15820,15616,15241,(9),
171,,"Westfall Technik, Inc.",First Lien Secured Debt - Revolver,"7.25 (1M L+625, 1.00 Floor)",09/13/24,1750,1750,1685,(9)(23),
172,,"Westfall Technik, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,09/13/24,269,(25),(10),(8)(9)  (21)(23),
173,,"Westfall Technik, Inc.",17341,16916,,,,,,
175,Construction & Building,Construction & Building,,,,,,,,
176,Englert,Englert,,,,,,,,
177,,"Gutter Buyer, Inc.",First Lien Secured Debt,"7.25 (1M L+625, 1.00 Floor)",03/06/25,28387,28005,27705,(9),
178,,"Gutter Buyer, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,03/06/24,2688,(43),(63),(8)(9)  (21)(23),
179,,"Gutter Buyer, Inc.",First Lien Secured Debt - Letter of Credit,6.25,07/01/21,39,0,(1),(8)(9)  (23),
180,,"Gutter Buyer, Inc.",First Lien Secured Debt - Unfunded Delayed Draw,1.00 Unfunded,03/06/25,368,(36),(9),(8)(9)  (21)(23),
181,,"Gutter Holdings, LP",Common Equity - Common Stock,N/A,N/A,500 Shares,500,1107,(9)(13),
183,Consumer Goods – Durable,Consumer Goods – Durable,,,,,,,,
184,A&V,A&V,,,,,,,,
185,,"A&V Holdings Midco, LLC",First Lien Secured Debt,"6.38 (6M L+538, 1.00 Floor)",03/10/27,10997,10641,10271,,
186,,"A&V Holdings Midco, LLC",First Lien Secured Debt - Unfunded Revolver,0.375 Unfunded,03/10/25,1505,(113),(138),(8)(21)  (23),
187,,"A&V Holdings Midco, LLC",10528,10133,,,,,,
188,"Hayward Industries, Inc.","Hayward Industries, Inc.",,,,,,,,
189,,"Hayward Industries, Inc.",Second Lien Secured Debt,8.40 (1M L+825),08/04/25,21919,21725,21770,,
190,KDC,KDC,,,,,,,,
191,,KDC US Holdings,First Lien Secured Debt - Unfunded Revolver,0.25 Unfunded,12/21/23,5912,0,(107),(8)(21)  (23),
192,,KDC US Holdings,First Lien Secured Debt - Letter of Credit,3.00,02/05/21,£,7,0,0,(23)
193,,KDC US Holdings,First Lien Secured Debt - Letter of Credit,3.00,03/08/21 - 12/31/21,102,0,(2),(8)(23),
194,,KDC US Holdings,0,(109),,,,,,
195,"KLO Holdings, LLC","KLO Holdings, LLC",,,,,,,,
196,,1244311 B.C. Ltd. (4),First Lien Secured Debt,"6.00 (1M L+500 PIK, 1.00 Floor)",09/25/25,1000,1000,935,(17),
197,,1244311 B.C. Ltd. (4),First Lien Secured Debt,"6.00 (1M L+500, 1.00 Floor)",09/25/25,3000,3000,2824,(17),
198,,1244311 B.C. Ltd. (4),Common Equity - Common Stock,N/A,N/A,"1,000,032 Shares",1000,1444,(2)(13)  (17)(25),
199,,9357-5991 Quebec Inc. (4),First Lien Secured Debt,11.55 (3M L+775 Cash plus 2.00 PIK),04/07/22,3836,0,0,(13)(14),
200,,9357-5991 Quebec Inc. (4),5000,5203,,,,,,
201,Liqui-Box,Liqui-Box,,,,,,,,
202,,"Liqui-Box Holdings, Inc.",First Lien Secured Debt - Revolver,"5.50 (3M L+450, 1.00 Floor)",02/26/25,1661,1661,1656,(23),
203,,"Liqui-Box Holdings, Inc.",First Lien Secured Debt - Revolver,6.75 (P+350),02/26/25,190,190,189,(23),
204,,"Liqui-Box Holdings, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,02/26/25,1635,(30),(5),(8)(21)  (23),
205,,"Liqui-Box Holdings, Inc.",First Lien Secured Debt - Letter of Credit,4.50,06/30/21,€,42,0,0,(23)
206,,"Liqui-Box Holdings, Inc.",First Lien Secured Debt - Letter of Credit,4.50,09/27/21 - 12/31/24,32,0,0,(23),
207,,"Liqui-Box Holdings, Inc.",1821,1840,,,,,,
208,NSi Industries,NSi Industries,,,,,,,,
209,,"Wildcat BuyerCo, Inc.",First Lien Secured Debt,"6.25 (3M L+525, 1.00 Floor)",02/27/26,7192,6938,7070,,
210,,"Wildcat BuyerCo, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,02/27/26,717,(14),(12),(8)(21)  (23),
211,,"Wildcat BuyerCo, Inc.",First Lien Secured Debt - Letter of Credit,5.50,08/30/21,8,0,0,(23),
212,,"Wildcat BuyerCo, Inc.",First Lien Secured Debt - Unfunded Delayed Draw,1.00 Unfunded,02/27/26,2032,(31),(35),(8)(21)  (23),
213,,Wildcat Parent LP,Common Equity - Common Stock,N/A,N/A,"1,070 Shares",107,129,(13)(25),
214,,Wildcat Parent LP,7000,7152,,,,,,
215,"Sorenson Holdings, LLC","Sorenson Holdings, LLC",,,,,,,,
216,,"Sorenson Holdings, LLC",Common Equity - Membership Interests,N/A,N/A,587 Shares,0,493,(10)(13),
218,Consumer Goods – Non-durable,Consumer Goods – Non-durable,,,,,,,,
219,3D Protein,3D Protein,,,,,,,,
220,,"Protein For Pets Opco, LLC",First Lien Secured Debt,"6.00 (3M L+500, 1.00 Floor)",11/28/25,11487,11313,11372,(9),
221,,"Protein For Pets Opco, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,05/31/24,2219,(39),(22),(8)(9)  (21)(23),
222,,"Protein For Pets Opco, LLC",11274,11350,,,,,,
223,Beauty Industry Group (BIG),Beauty Industry Group (BIG),,,,,,,,
224,,"BIG Buyer, LLC",First Lien Secured Debt,"7.50 (6M L+650, 1.00 Floor)",11/20/23,22198,21820,21878,(9),
225,,"BIG Buyer, LLC",First Lien Secured Debt - Revolver,"7.50 (1M L+650, 1.00 Floor)",11/20/23,843,843,821,(9)(23),
226,,"BIG Buyer, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,11/20/23,963,(31),(25),(8)(9)  (21)(23),
227,,"BIG Buyer, LLC",22632,22674,,,,,,
228,Dan Dee,Dan Dee,,,,,,,,
229,,"Project Comfort Buyer, Inc.",First Lien Secured Debt,9.25 (P+600),02/01/25,173,170,165,(9),
230,,"Project Comfort Buyer, Inc.",First Lien Secured Debt,"8.00 (12M L+700, 1.00 Floor)",02/01/25,26457,25931,25187,(9),
231,,"Project Comfort Buyer, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,02/01/24,3462,(64),(177),(8)(9)  (21)(23),
232,,"Project Comfort Buyer, Inc.",First Lien Secured Debt - Unfunded Delayed Draw,1.00 Unfunded,02/01/25,2308,(24),(111),(8)(9)  (21)(23),
233,,"Project Comfort Buyer, Inc.",Preferred Equity - Preferred Equity,N/A,N/A,"461,538 Shares",462,171,(9)(13),
234,,"Project Comfort Buyer, Inc.",26475,25235,,,,,,
235,DMC,DMC,,,,,,,,
236,,Lion Cashmere Midco Limited,First Lien Secured Debt,"6.25 (6M L+525, 1.00 Floor)",03/21/25,13053,12892,12533,(9)(17),
237,,Lion Cashmere Midco Limited,First Lien Secured Debt,5.25 (6M E+525),03/21/25,€,534,578,627,(9)(17)
238,,Lion Cashmere Midco Limited,First Lien Secured Debt - Revolver,4.75 (6M E+475),03/21/24,€,605,674,712,(9)(17)  (23)
239,,Lion Cashmere Midco Limited,First Lien Secured Debt - Unfunded Revolver,1.75 Unfunded,03/21/24,€,581,(15),(27),(8)(9)  (17)(21)  (23)
240,,Lion Cashmere Midco Limited,First Lien Secured Debt - Unfunded Delayed Draw,1.93 Unfunded,03/21/25,€,1838,(18),(90),(8)(9)  (17)(21)  (23)
241,,Lion Cashmere Midco Limited,14111,13755,,,,,,
242,LashCo,LashCo,,,,,,,,
243,,"Lash OpCo, LLC",First Lien Secured Debt,9.25 (P+600),03/18/26,10248,10001,9967,(9),
244,,"Lash OpCo, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,09/18/25,697,(16),(20),(8)(9)  (21)(23),
245,,"Lash OpCo, LLC",9985,9947,,,,,,
246,Olaplex,Olaplex,,,,,,,,
247,,"Olaplex, Inc.",First Lien Secured Debt,"7.50 (1M L+650, 1.00 Floor)",01/08/26,12379,12171,12379,(9),
248,,"Olaplex, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,01/08/25,2300,(37),0,(9)(21)  (23),
249,,"Olaplex, Inc.",12134,12379,,,,,,
250,"Sequential Brands Group, Inc.","Sequential Brands Group, Inc.",,,,,,,,
251,,"Sequential Brands Group, Inc.",Second Lien Secured Debt,"9.75 (1M L+875, 1.00 Floor)",02/07/24,12880,12813,12300,(17),
253,Consumer Services,Consumer Services,,,,,,,,
254,Clarus Commerce,Clarus Commerce,,,,,,,,
255,,"Marlin DTC-LS Midco 2, LLC",First Lien Secured Debt,"6.50 (6M L+550, 1.00 Floor)",07/01/25,9175,9055,9032,,
256,,"Marlin DTC-LS Midco 2, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,07/01/25,685,(9),(11),(8)(21)  (23),
257,,"Marlin DTC-LS Midco 2, LLC",9046,9021,,,,,,
258,First Heritage,First Heritage,,,,,,,,
259,,"First Heritage Credit, LLC",First Lien Secured Debt,4.90 (1M L+475),04/02/22,16500,16431,16319,(9),
260,,"First Heritage Credit, LLC",First Lien Secured Debt - Revolver,5.65 (1M L+550),04/02/22,2744,2744,2715,(9)(23),
261,,"First Heritage Credit, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,04/02/22,1006,(16),(11),(8)(9)  (21)(23),
262,,"First Heritage Credit, LLC",First Lien Secured Debt - Unfunded Delayed Draw,0.50 Unfunded,04/02/22,9750,(41),(107),(8)(9)  (21)(23),
263,,"First Heritage Credit, LLC",19118,18916,,,,,,
264,Go Car Wash,Go Car Wash,,,,,,,,
265,,Go Car Wash Management Corp.,First Lien Secured Debt,"6.75 (1M L+575, 1.00 Floor)",12/31/26,1667,1638,1629,(9),
