,Industry/Company,Investment_Type,Interest_Rate,Maturity_Date,Par_Shares,Cost,Fair_Value,,
24,"Truck-Lite Co., LLC",First Lien Secured Debt,"7.32% (6M L+625, 1.00% Floor)",12/14/26,25085,24532,24558,(9),
25,"Truck-Lite Co., LLC",First Lien Secured Debt - Revolver,"7.32% (6M L+625, 1.00% Floor)",12/13/24,654,654,643,(9)(23),
26,"Truck-Lite Co., LLC",First Lien Secured Debt - Revolver,"7.25% (6M L+625, 1.00% Floor)",12/13/24,436,436,429,(9)(23),
27,"Truck-Lite Co., LLC",First Lien Secured Debt - Unfunded Revolver,0.50% Unfunded,12/13/24,1868,(64),(31),(8)(9)  (21)(23),
28,"Truck-Lite Co., LLC",First Lien Secured Debt - Letters of Credit,6.25%,11/30/20 - 12/21/20,94,-,(2),(8)(9)  (23),
29,"Truck-Lite Co., LLC",First Lien Secured Debt - Unfunded Delayed Draw,1.00% Unfunded,12/14/26,3707,(80),(78),(8)(9)  (21)(23),
30,"TL Lighting Holdings, LLC",Common Equity - Equity,N/A,N/A,350 Shares,350,321,(9)(13)  (28),
31,Aviation and Consumer Transport,,,,,,,,
32,"Merx Aviation Finance, LLC",,,,,,,,
33,"Merx Aviation Finance, LLC (5)",First Lien Secured Debt - Revolver,10.00%,10/31/23,200000,200000,200000,(23),
34,"Merx Aviation Finance, LLC (5)",First Lien Secured Debt - Letter of Credit,2.25%,07/13/20,177,-,-,(23),
35,"Merx Aviation Finance, LLC (5)",Common Equity - Membership Interests,N/A,N/A,N/A,120300,129481,(28),
36,Primeflight,,,,,,,,
37,"PrimeFlight Aviation Services, Inc.",First Lien Secured Debt,"6.50% (1M L+550, 1.00% Floor)",05/09/24,14731,14549,14177,(9),
38,"PrimeFlight Aviation Services, Inc.",First Lien Secured Debt - Unfunded Delayed Draw,0.50% Unfunded,05/09/24,2842,(93),(107),(8)(9)  (21)(23),
39,"Beverage, Food & Tobacco",,,,,,,,
40,Bolthouse Farms,,,,,,,,
41,"Wm. Bolthouse Farms, Inc.",Common Equity - Common Stock,N/A,N/A,"1,000,000 Shares",1000,940,(13),
42,Eagle Foods,,,,,,,,
43,"Eagle Foods Family Group, LLC",First Lien Secured Debt,"7.75% (3M L+675, 1.00% Floor)",06/14/24,24501,24318,23765,(9),
44,"Eagle Foods Family Group, LLC",First Lien Secured Debt - Revolver,"7.75% (1M L+675, 1.00% Floor)",06/14/23,167,167,162,(9)(23),
45,"Eagle Foods Family Group, LLC",First Lien Secured Debt - Revolver,"7.75% (3M L+675, 1.00% Floor)",06/14/23,1167,1167,1132,(9)(23),
46,"Eagle Foods Family Group, LLC",First Lien Secured Debt - Unfunded Revolver,0.50% Unfunded,06/14/23,2417,(25),(73),(8)(9)  (21)(23),
47,"Florida Food Products, Inc.",,,,,,,,
48,"Florida Food Products, Inc.",First Lien Secured Debt,"7.75% (3M L+675, 1.00% Floor)",09/08/25,22880,22455,22651,(9),
49,"Florida Food Products, LLC",First Lien Secured Debt - Revolver,"7.75% (3M L+675, 1.00% Floor)",09/06/23,1712,1685,1695,(9)(23),
50,"Orgain, Inc.",,,,,,,,
51,"Butterfly Fighter Co-Invest, L.P.",Common Equity - Membership Interests,N/A,N/A,"1,000,000 Shares",1000,1026,(13)(28),
52,TNT Crust LLC,,,,,,,,
53,TNT Crust LLC,First Lien Secured Debt,"7.75% (1M L+675, 1.00% Floor)",11/06/23,26408,26003,25747,(9),
54,TNT Crust LLC,First Lien Secured Debt - Revolver,"7.75% (1M L+675, 1.00% Floor)",11/06/23,260,260,254,(9)(23),
55,TNT Crust LLC,First Lien Secured Debt - Unfunded Revolver,0.50% Unfunded,11/06/23,2992,(47),(75),(8)(9)  (21)(23),
56,TNT Crust LLC,Common Equity - Series A Units,N/A,N/A,244 Shares,30,280,(9)(13),
57,Turkey Hill,,,,,,,,
58,IC Holdings LLC,Common Equity - Series A Units,N/A,N/A,169 Shares,169,233,(9)(13),
59,THLP CO. LLC,First Lien Secured Debt,"6.50% (1M L+550, 1.00% Floor)",05/30/25,19562,19241,19366,(9),
60,THLP CO. LLC,First Lien Secured Debt,7.75% (P+450),05/30/25,22,22,22,(9),
61,Business Services,,,,,,,,
62,Access Information,,,,,,,,
63,"Access CIG, LLC",Second Lien Secured Debt,7.92% (1M L+775),02/27/26,15900,15794,15542,,
64,Ambrosia Buyer Corp.,,,,,,,,
65,Ambrosia Buyer Corp.,Second Lien Secured Debt,"9.08% (6M L+800, 1.00% Floor)",08/28/25,21429,21082,16815,,
66,Claritas,,,,,,,,
67,"Claritas, LLC",First Lien Secured Debt,"7.00% (3M L+600, 1.00% Floor)",12/21/23,3820,3792,3763,(9),
68,"Claritas, LLC",First Lien Secured Debt - Revolver,"7.00% (1M L+600, 1.00% Floor)",12/21/23,258,258,254,(9)(23),
69,"Claritas, LLC",First Lien Secured Debt - Revolver,"7.00% (3M L+600, 1.00% Floor)",12/21/23,232,232,228,(9)(23),
70,"Claritas, LLC",First Lien Secured Debt - Revolver,"7.00% (2M L+600, 1.00% Floor)",12/21/23,258,258,254,(9)(23),
71,"Claritas, LLC",First Lien Secured Debt - Unfunded Revolver,0.50% Unfunded,12/21/23,284,(7),(4),(8)(9)  (21)(23),
72,Continuum,,,,,,,,
73,"Continuum Global Solutions, LLC",First Lien Secured Debt - Revolver,"6.50% (1M L+550, 1.00% Floor)",02/15/22,2851,2851,2766,(9)(23),
74,"Continuum Global Solutions, LLC",First Lien Secured Debt - Unfunded Revolver,0.50% Unfunded,02/15/22,17149,(264),(514),(8)(9)  (21)(23),
75,"Continuum Global Solutions, LLC",Preferred Equity - Preferred Equity,N/A,N/A,775 Shares,78,78,(9)(13),
76,"CT Technologies Intermediate Holdings, Inc",,,,,,,,
77,"CT Technologies Intermediate Holdings, Inc",Second Lien Secured Debt,"10.00% (3M L+900, 1.00% Floor)",12/01/22,31253,30845,28753,(9),
78,Education Personnel,,,,,,,,
79,Education Personnel,First Lien Secured Debt,"5.25% (3M GBPL+475, 0.50% Floor)",08/31/24,4076,5196,4805,(9)(17),
80,Education Personnel,First Lien Secured Debt - Revolver,"5.25% (3M GBPL+475, 0.50% Floor)",08/31/24,1471,1875,1732,(9)(17)  (23),
81,Electro Rent Corporation,,,,,,,,
82,Electro Rent Corporation,Second Lien Secured Debt,"10.00% (3M L+900, 1.00% Floor)",01/31/25,34235,33576,33208,(9),
83,Elo Touch,,,,,,,,
84,TGG TS Acquisition Company,First Lien Secured Debt - Unfunded Revolver,0.50% Unfunded,12/14/23,1750,-,(65),(8)(21)  (23),
85,Ensemble Health,,,,,,,,
86,"EHL Merger Sub, LLC",First Lien Secured Debt - Revolver,5.50% (P+225),08/01/24,1662,1662,1569,(23),
87,"EHL Merger Sub, LLC",First Lien Secured Debt - Unfunded Revolver,0.25% Unfunded,08/01/24,2493,(311),(140),(8)(21)  (23),
88,Jacent,,,,,,,,
89,Jacent Strategic Merchandising,First Lien Secured Debt,"6.75% (3M L+575, 1.00% Floor)",04/23/24,22522,22264,21217,(9),
90,Jacent Strategic Merchandising,First Lien Secured Debt - Revolver,"6.82% (3M L+575, 1.00% Floor)",04/23/24,467,467,439,(9)(23),
91,Jacent Strategic Merchandising,First Lien Secured Debt - Revolver,"6.75% (3M L+575, 1.00% Floor)",04/23/24,2100,2100,1976,(9)(23),
92,Jacent Strategic Merchandising,First Lien Secured Debt - Unfunded Revolver,0.50% Unfunded,04/23/24,933,(40),(55),(8)(9)  (21)(23),
93,Jacent Strategic Merchandising,Common Equity - Common Stock,N/A,N/A,"5,000 Shares",500,150,(9)(13),
94,"JSM Equity Investors, L.P.",Preferred Equity - Class P Partnership Units,N/A,N/A,114 Shares,11,11,(9)(13)  (28),
95,Jones & Frank,,,,,,,,
96,"JF Acquisition, LLC",First Lien Secured Debt,"6.50% (12M L+550, 1.00% Floor)",07/31/24,13139,12923,12772,(9),
97,"JF Acquisition, LLC",First Lien Secured Debt,"6.50% (3M L+550, 1.00% Floor)",07/31/24,231,227,224,(9),
98,"JF Acquisition, LLC",First Lien Secured Debt - Revolver,"6.50% (12M L+550, 1.00% Floor)",07/31/24,628,628,610,(9)(23),
99,"JF Acquisition, LLC",First Lien Secured Debt - Unfunded Revolver,0.50% Unfunded,07/31/24,941,(26),(27),(8)(9)  (21)(23),
100,MAKS,,,,,,,,
101,Trident Bidco Limited,First Lien Secured Debt,"7.25% (1M L+625, 1.00% Floor)",11/08/25,35000,34062,33887,(9)(17),
102,McLarens,,,,,,,,
103,Margaux Acquisition Inc.,First Lien Secured Debt,"6.50% (3M L+550, 1.00% Floor)",12/19/24,3157,3157,3072,(9),
104,Margaux Acquisition Inc.,First Lien Secured Debt,"6.64% (3M L+550, 1.00% Floor)",12/19/24,423,423,412,(9),
105,Margaux Acquisition Inc.,First Lien Secured Debt,"6.93% (3M L+550, 1.00% Floor)",12/19/24,18753,18494,18247,(9),
106,Margaux Acquisition Inc.,First Lien Secured Debt - Revolver,"6.50% (1M L+550, 1.00% Floor)",12/19/24,1601,1577,1560,(9)(23),
107,Margaux Acquisition Inc.,First Lien Secured Debt - Unfunded Delayed Draw,1.00% Unfunded,12/19/24,881,(87),(23),(8)(9)  (21)(23),
108,Margaux UK Finance Limited,First Lien Secured Debt,"6.50% (3M GBPL+550, 1.00% Floor)",12/19/24,7234,9006,8708,(9)(17),
109,Margaux UK Finance Limited,First Lien Secured Debt - Revolver,"6.50% (1M GBPL+550, 1.00% Floor)",12/19/24,538,632,647,(9)(17)  (23),
110,Margaux UK Finance Limited,First Lien Secured Debt - Unfunded Revolver,0.50% Unfunded,12/19/24,4,(10),-,(8)(9)  (17)(21)  (23),
111,"Newscycle Solutions, Inc.",,,,,,,,
112,"Newscycle Solutions, Inc.",First Lien Secured Debt,"8.00% (3M L+700, 1.00% Floor)",12/29/22,14438,14253,14005,(9),
113,"Newscycle Solutions, Inc.",First Lien Secured Debt,"8.43% (3M L+700, 1.00% Floor)",12/29/22,1116,1106,1082,(9),
114,"Newscycle Solutions, Inc.",First Lien Secured Debt - Revolver,"8.00% (3M L+700, 1.00% Floor)",12/29/22,500,494,485,(9)(23),
115,"PSI Services, LLC",,,,,,,,
116,"Lifelong Learner Holdings, LLC",First Lien Secured Debt,"6.75% (1M L+575, 1.00% Floor)",10/19/26,32782,32177,30717,(9),
117,"Lifelong Learner Holdings, LLC",First Lien Secured Debt - Revolver,"6.75% (1M L+575, 1.00% Floor)",10/20/25,740,740,699,(9)(23),
118,"Lifelong Learner Holdings, LLC",First Lien Secured Debt - Revolver,"6.75% (3M L+575, 1.00% Floor)",10/20/25,299,299,282,(9)(23),
119,"RA Outdoors, LLC (Active Outdoors)",,,,,,,,
120,"RA Outdoors, LLC",First Lien Secured Debt,"5.82% (6M L+475, 1.00% Floor)",09/11/24,6576,6497,6444,(9),
121,"RA Outdoors, LLC",First Lien Secured Debt - Unfunded Revolver,0.50% Unfunded,09/09/22,1200,(11),(12),(8)(9)  (21)(23),
122,"RA Outdoors, LLC",Second Lien Secured Debt,"9.82% (6M L+875, 1.00% Floor)",09/11/25,31950,31429,30991,(9),
123,Soliant,,,,,,,,
124,"Soliant Holdings, LLC",First Lien Secured Debt,"6.50% (1M L+550, 1.00% Floor)",12/31/26,18018,17684,17273,(9),
125,"Soliant Holdings, LLC",First Lien Secured Debt - Unfunded Revolver,0.50% Unfunded,12/31/24,1936,(35),(61),(8)(9)  (21)(23),
126,"Soliant Health, Inc.",Common Equity - Membership Interests,N/A,N/A,300 Shares,300,288,(9)(13)  (28),
127,"Transplace Holdings, Inc.",,,,,,,,
128,"Transplace Holdings, Inc.",Second Lien Secured Debt,"9.82% (6M L+875, 1.00% Floor)",10/06/25,8599,8456,8169,,
129,US Legal Support,,,,,,,,
130,"US Legal Support Investment Holdings, LLC",Common Equity - Series A-1 Units,N/A,N/A,"631,972 Shares",632,594,(9)(13),
131,"USLS Acquisition, Inc.",First Lien Secured Debt,"6.82% (6M L+575, 1.00% Floor)",12/02/24,24437,24071,23529,(9),
132,"USLS Acquisition, Inc.",First Lien Secured Debt - Revolver,"6.82% (6M L+575, 0.00% Floor)",12/02/24,1522,1499,1426,(9)(23),
133,"USLS Acquisition, Inc.",First Lien Secured Debt - Letters of Credit,5.75%,10/15/20 - 06/06/21,86,-,(5),(8)(9)  (23),
134,Vertafore,,,,,,,,
135,"Vertafore, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50% Unfunded,06/30/23,14576,"(1,035)","(1,676)",(8)(21)  (23),
136,"Vertafore, Inc.",First Lien Secured Debt - Letter of Credit,3.25%,01/17/21,424,-,(49),(8)(23),
137,"Chemicals, Plastics & Rubber",,,,,,,,
138,Carbonfree Chemicals SPE I LLC (f/k/a Maxus Capital Carbon SPE I LLC),,,,,,,,
139,Carbonfree Caustic SPE LLC (4),First Lien Secured Debt,5% PIK,12/31/24,13277,13111,7500,(14),
140,Carbonfree Chemicals SPE I LLC (f/k/a Maxus Capital Carbon SPE I LLC) (4),First Lien Secured Debt,3% PIK,12/31/24,17186,17057,-,(14),
141,Carbonfree Chemicals Holdings LLC (4),Common Equity - Common Equity / Interest,N/A,N/A,"1,446 Shares",30886,15105,(13)(28),
142,Carbonfree Chemicals SA LLC (4),Common Equity - Class B Units,N/A,N/A,"1,313 Shares",15403,-,(3)(13)  (28),
143,Niacet Corporation,,,,,,,,
144,"Hare Bidco, Inc.",Second Lien Secured Debt,"9.75% (3M E+875, 1.00% Floor)",08/01/24,13574,14516,15093,,
145,"Westfall Technik, Inc.",,,,,,,,
146,"Westfall Technik, Inc.",First Lien Secured Debt,"6.75% (3M L+575, 1.00% Floor)",09/13/24,15899,15672,15315,(9),
147,"Westfall Technik, Inc.",First Lien Secured Debt - Revolver,"6.75% (3M L+575, 1.00% Floor)",09/13/24,135,106,130,(9)(23),
148,"Westfall Technik, Inc.",First Lien Secured Debt - Revolver,8.00% (P+475),09/13/24,269,269,259,(9)(23),
149,"Westfall Technik, Inc.",First Lien Secured Debt - Revolver,"6.75% (2M L+575, 1.00% Floor)",09/13/24,1615,1615,1556,(9)(23),
150,"Westfall Technik, Inc.",First Lien Secured Debt - Unfunded Delayed Draw,1.00% Unfunded,09/13/24,12829,(106),(471),(8)(9)  (21)(23),
151,Construction & Building,,,,,,,,
152,Englert,,,,,,,,
153,"Gutter Buyer, Inc.",First Lien Secured Debt,"7.25% (1M L+625, 1.00% Floor)",03/06/25,26847,26435,26006,(9),
154,"Gutter Buyer, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50% Unfunded,03/06/24,2727,(50),(74),(8)(9)  (21)(23),
155,"Gutter Buyer, Inc.",First Lien Secured Debt - Unfunded Delayed Draw,1.00% Unfunded,03/06/25,2045,(40),(64),(8)(9)  (21)(23),
156,"Gutter Holdings, LP",Common Equity - Common Stock,N/A,N/A,500 Shares,500,684,(9)(13),
157,Consumer Goods – Durable,,,,,,,,
158,A&V,,,,,,,,
159,"A&V Holdings Midco, LLC",First Lien Secured Debt,"6.38% (3M L+538, 1.00% Floor)",03/10/27,11283,10895,10087,,
160,"A&V Holdings Midco, LLC",First Lien Secured Debt - Unfunded Revolver,0.375% Unfunded,03/10/25,1505,(127),(160),(8)(21)  (23),
161,Dan Dee,,,,,,,,
162,"Project Comfort Buyer, Inc.",First Lien Secured Debt,9.25% (P+600),02/01/25,694,678,657,(9),
163,"Project Comfort Buyer, Inc.",First Lien Secured Debt,"8.00% (12M L+700, 1.00% Floor)",02/01/25,26284,25697,24893,(9),
164,"Project Comfort Buyer, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50% Unfunded,02/01/24,3461,(75),(194),(8)(9)  (21)(23),
165,"Project Comfort Buyer, Inc.",First Lien Secured Debt - Unfunded Delayed Draw,1.00% Unfunded,02/01/25,2308,(26),(122),(8)(9)  (21)(23),
166,"Project Comfort Buyer, Inc.",Preferred Equity - Preferred Equity,N/A,N/A,"461,538 Shares",462,222,(9)(13),
167,"Hayward Industries, Inc.",,,,,,,,
168,"Hayward Industries, Inc.",Second Lien Secured Debt,8.43% (1M L+825),08/04/25,21919,21704,20678,,
169,KDC,,,,,,,,
170,KDC US Holdings,First Lien Secured Debt - Revolver,3.17% (1M L+300),12/21/23,3323,3323,3202,(23),
171,KDC US Holdings,First Lien Secured Debt - Unfunded Revolver,0.25% Unfunded,12/21/23,2545,-,(93),(8)(21)  (23),
172,KDC US Holdings,First Lien Secured Debt - Letter of Credit,3.00%,02/05/21,10,-,-,(23),
173,KDC US Holdings,First Lien Secured Debt - Letters of Credit,3.00%,11/06/20 - 03/16/21,142,20,(5),(8)(23),
174,Knowlton Development Corporation Inc.,First Lien Secured Debt,3.93% (1M L+375),12/22/25,15000,14563,14558,(17),
175,"KLO Holdings, LLC",,,,,,,,
176,9357-5991 Quebec Inc.,First Lien Secured Debt,11.82% (3M L+775 Cash plus 2.00% PIK),04/07/22,9838,8653,2157,(13)(14),
177,KLO Acquisition LLC,First Lien Secured Debt,11.82% (3M L+775 Cash plus 2.00% PIK),04/07/22,5497,4808,-,(13)(14),
178,Liqui-Box,,,,,,,,
179,"Liqui-Box Holdings, Inc.",First Lien Secured Debt - Revolver,"5.50% (3M L+450, 1.00% Floor)",02/26/25,2136,2136,2085,(23),
180,"Liqui-Box Holdings, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50% Unfunded,02/26/25,1351,(33),(32),(8)(21)  (23),
181,"Liqui-Box Holdings, Inc.",First Lien Secured Debt - Letters of Credit,4.50%,09/27/20 - 10/01/20,32,-,-,(23),
182,"Liqui-Box Holdings, Inc.",First Lien Secured Debt - Letter of Credit,4.50%,06/30/21,42,-,(1),(8)(23),
183,NSi Industries,,,,,,,,
184,"Wildcat BuyerCo, Inc.",First Lien Secured Debt,"6.50% (3M L+550, 1.00% Floor)",02/27/26,7229,7060,6939,,
185,"Wildcat BuyerCo, Inc.",First Lien Secured Debt - Revolver,"6.89% (3M L+550, 1.00% Floor)",02/27/26,232,232,223,(23),
186,"Wildcat BuyerCo, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50% Unfunded,02/27/26,485,(15),(19),(8)(21)  (23),
187,"Wildcat BuyerCo, Inc.",First Lien Secured Debt - Letter of Credit,5.50%,02/27/26,8,-,-,(23),
188,"Wildcat BuyerCo, Inc.",First Lien Secured Debt - Unfunded Delayed Draw,1.00% Unfunded,02/27/26,2029,(34),(81),(8)(21)  (23),
189,Wildcat Parent LP,Common Equity - Common Stock,N/A,N/A,"1,070 Shares",107,112,(13)(28),
190,"Sorenson Holdings, LLC",,,,,,,,
191,"Sorenson Holdings, LLC",Common Equity - Membership Interests,N/A,N/A,587 Shares,-,426,(10)(13),
192,Consumer Goods – Non-durable,,,,,,,,
193,3D Protein,,,,,,,,
194,"Protein For Pets Opco, LLC",First Lien Secured Debt,"6.00% (1M L+500, 1.00% Floor)",11/28/25,12685,12473,12368,(9),
195,"Protein For Pets Opco, LLC",First Lien Secured Debt - Unfunded Revolver,0.50% Unfunded,05/31/24,2219,(45),(55),(8)(9)  (21)(23),
196,Beauty Industry Group (BIG),,,,,,,,
197,"BIG Buyer, LLC",First Lien Secured Debt,"7.57% (6M L+650, 1.00% Floor)",11/20/23,22311,21866,21606,(9),
198,"BIG Buyer, LLC",First Lien Secured Debt - Revolver,"7.71% (6M L+650, 1.00% Floor)",11/20/23,602,602,575,(9)(23),
199,"BIG Buyer, LLC",First Lien Secured Debt - Unfunded Revolver,0.50% Unfunded,11/20/23,1204,(37),(54),(8)(9)  (21)(23),
200,DMC,,,,,,,,
201,Lion Cashmere Midco Limited,First Lien Secured Debt,"7.00% (6M L+600, 1.00% Floor)",03/21/25,13053,12873,12172,(9)(17),
202,Lion Cashmere Midco Limited,First Lien Secured Debt,6.00% (6M E+600),03/21/25,534,578,559,(9)(17),
203,Lion Cashmere Midco Limited,First Lien Secured Debt - Revolver,5.25% (6M E+525),03/21/24,937,1031,987,(9)(17)  (23),
204,Lion Cashmere Midco Limited,First Lien Secured Debt - Revolver,5.25% (6M L+525),03/21/24,249,264,262,(9)(17)  (23),
205,Lion Cashmere Midco Limited,First Lien Secured Debt - Unfunded Delayed Draw,2.10% Unfunded,03/21/25,1838,(21),(140),(8)(9)  (17)(21)  (23),
206,Olaplex,,,,,,,,
207,"Olaplex, Inc.",First Lien Secured Debt,"7.50% (1M L+650, 1.00% Floor)",01/08/26,26036,25557,25128,(9),
208,"Olaplex, Inc.",First Lien Secured Debt - Revolver,"7.50% (1M L+650, 1.00% Floor)",01/08/25,3800,3731,3681,(9)(23),
209,"Sequential Brands Group, Inc.",,,,,,,,
210,"Sequential Brands Group, Inc.",Second Lien Secured Debt,"9.75% (1M L+875, 1.00% Floor)",02/07/24,12965,12887,12297,(17),
211,Consumer Services,,,,,,,,
212,1A Smart Start LLC,,,,,,,,
213,1A Smart Start LLC,Second Lien Secured Debt,"9.32% (6M L+825, 1.00% Floor)",08/22/22,15100,14961,14513,,
214,Clarus Commerce,,,,,,,,
215,"Marlin DTC-LS Midco 2, LLC",First Lien Secured Debt,"7.07% (6M L+600, 1.00% Floor)",07/01/25,9222,9087,8939,,
216,"Marlin DTC-LS Midco 2, LLC",First Lien Secured Debt - Unfunded Revolver,0.50% Unfunded,07/01/25,685,(10),(21),(8)(21)  (23),
217,First Heritage,,,,,,,,
218,"First Heritage Credit, LLC",First Lien Secured Debt,4.92% (1M L+475),04/02/22,16500,16403,16111,(9),
219,"First Heritage Credit, LLC",First Lien Secured Debt - Revolver,5.67% (1M L+550),04/02/22,549,549,537,(9)(23),
220,"First Heritage Credit, LLC",First Lien Secured Debt - Unfunded Revolver,0.50% Unfunded,04/02/22,3201,(22),(73),(8)(9)  (21)(23),
221,"First Heritage Credit, LLC",First Lien Secured Debt - Unfunded Delayed Draw,0.50% Unfunded,04/02/22,9750,(57),(230),(8)(9)  (21)(23),
222,Only About Children,,,,,,,,
223,Nemo (BC) Bidco Pty Ltd,First Lien Secured Debt,"6.75% (6M BBSW+575, 1.00% Floor)",04/06/24,A$,6768,4926,4427,(17)
224,Nemo (BC) Bidco Pty Ltd,First Lien Secured Debt - Unfunded Delayed Draw,2.59% Unfunded,04/06/24,A$,232,(7),(8),(8)(17)  (21)(23)
225,Paper Source,,,,,,,,
226,"Paper Source, Inc.",First Lien Secured Debt,"8.00% (3M L+700, 1.00% Floor)",05/22/24,11471,11292,10209,(9),
227,"Paper Source, Inc.",First Lien Secured Debt - Revolver,9.25% (P+600),05/22/24,1890,1890,1701,(9)(23),
228,"Paper Source, Inc.",First Lien Secured Debt - Revolver,"8.00% (3M L+700, 1.00% Floor)",05/22/24,616,569,555,(9)(23),
229,"Paper Source, Inc.",First Lien Secured Debt - Revolver,"8.22% (3M L+700, 1.00% Floor)",05/22/24,575,575,518,(9)(23),
230,"Pinstripe Holdings, LLC",,,,,,,,
231,"Pinstripe Holdings, LLC",First Lien Secured Debt,"7.08% (6M L+600, 1.00% Floor)",01/17/25,6912,6807,6646,,
232,The Club Company,,,,,,,,
233,Eldrickco Limited,First Lien Secured Debt,"6.00% (6M GBPL+550, 0.50% Floor)",11/21/25,10664,13329,12337,(9)(17),
234,Eldrickco Limited,First Lien Secured Debt - Revolver,"5.50% (6M GBPL+500, 0.50% Floor)",05/21/25,345,394,401,(9)(17)  (23),
235,Eldrickco Limited,First Lien Secured Debt - Unfunded Delayed Draw,1.93% Unfunded,11/21/25,3991,(99),(278),(8)(9)  (17)(21)  (23),
236,"Tidewater Consumer Receivables, LLC",,,,,,,,
237,"Tidewater Consumer Receivables, LLC",First Lien Secured Debt,5.92% (1M L+575),12/28/23,10067,9997,9891,(9)(17),
238,US Auto,,,,,,,,
239,"U.S. Auto Finance, Inc.",First Lien Secured Debt,"6.50% (3M L+550, 1.00% Floor)",04/17/22,20386,20361,20020,(9),
240,"U.S. Auto Finance, Inc.",First Lien Secured Debt - Revolver,"7.25% (3M L+625, 1.00% Floor)",04/17/22,13605,13605,13361,(9)(23),
241,"U.S. Auto Finance, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50% Unfunded,04/17/22,6395,(62),(114),(8)(9)  (21)(23),
242,"Containers, Packaging & Glass",,,,,,,,
243,"TricorBraun Holdings, Inc.",,,,,,,,
244,"TricorBraun Holdings, Inc.",First Lien Secured Debt - Revolver,4.38% (3M L+325),11/30/21,1500,1500,1490,(23),
245,"TricorBraun Holdings, Inc.",First Lien Secured Debt - Revolver,3.56% (3M L+325),11/30/21,2250,2250,2235,(23),
246,"TricorBraun Holdings, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50% Unfunded,11/30/21,1875,(143),(13),(8)(21)  (23),
247,"Diversified Investment Vehicles, Banking, Finance, Real Estate",,,,,,,,
248,Celink,,,,,,,,
249,Compu-Link Corporation,First Lien Secured Debt - Unfunded Revolver,0.50% Unfunded,06/11/24,2273,(40),(73),(8)(9)  (21)(23),
250,"Peer Advisors, LLC",First Lien Secured Debt,"6.50% (1M L+550, 1.00% Floor)",06/11/24,21591,21207,20900,(9),
251,"Exeter Property Group, LLC",,,,,,,,
252,"Exeter Property Group, LLC",First Lien Secured Debt,4.67% (1M L+450),08/28/24,4760,4706,4614,(9),
253,"Exeter Property Group, LLC",First Lien Secured Debt - Unfunded Revolver,0.50% Unfunded,08/28/24,192,(2),(6),(8)(9)  (21)(23),
254,"Flock Financial, LLC",,,,,,,,
