,Investment,Industry,Interest  Rate (20),Maturity  Date,Par (12),Cost,Fair  Value (1),
26,"SCM Insurance Services, Inc. (17)",Business Services,9.25,8/22/19,C$,39480,33118,26101
27,"Spotted Hawk Development, LLC (14)",Energy – Oil & Gas,19.00 (13.00 Cash plus 6.00 PIK),9/12/16,86959,84380,63840,
28,Telestream Holdings Corporation (18),High Tech Industries,"7.77 (3M L+677, 1.00 Floor)",1/15/20,30894,30894,30276,
29,UniTek Global Services Inc. (16),Telecommunications,"9.50 (3M L+750 Cash plus 1.00 PIK, 1.00 Floor)",1/13/19,11845,11845,11845,
30,UniTek Global Services Inc. (16),Telecommunications,11.00 (P+650 Cash plus 1.00 PIK),1/13/19,2250,2250,2250,
31,UniTek Global Services Inc. (16),Telecommunications,"8.50 (3M L+750, 1.00 Floor)",1/13/19,32367,32367,31396,
32,"Venoco, Inc., Unfunded Delayed Draw (8)(16)(23)",Energy – Oil & Gas,1.00 Unfunded,12/31/16,10956,(79,(110,
33,"Venoco, Inc. (16)",Energy – Oil & Gas,12.00,2/28/19,40517,40517,33062,
35,Revolvers and Letters of Credit,,,,,,,
36,"Alliant Holdings Intermediate, LLC, Revolver (16)(23)",Insurance,3.95 (1M L+350),8/14/20,1875,1875,1704,
37,"Alliant Holdings Intermediate, LLC, Unfunded Revolver (8)(16)(21)(23)",Insurance,0.50 Unfunded,8/14/20,13016,"(1,408","(1,184",
38,"Alliant Holdings Intermediate, LLC, Letter of Credit (8)(16)(23)",Insurance,3.375,10/3/16,8,0,(1,
39,"Alliant Holdings Intermediate, LLC, Letter of Credit (8)(16)(23)",Insurance,3.375,11/30/16,56,0,(5,
40,"Alliant Holdings Intermediate, LLC, Letter of Credit (8)(16)(23)",Insurance,3.375,4/24/17,37,0,(3,
41,"Alliant Holdings Intermediate, LLC, Letter of Credit (8)(16)(23)",Insurance,3.375,5/4/17,8,0,(1,
42,"Avaya, Inc., Revolver (23)",Telecommunications,5.25 (P+175),10/26/16,3303,3303,3303,
43,"Confie Seguros Holding II Co., Revolver (16)(23)",Insurance,4.95 (1M L+450),11/9/17,2470,2470,2371,
44,"Confie Seguros Holding II Co., Revolver (16)(23)",Insurance,7.00 (P+350),11/9/17,750,750,720,
45,"Confie Seguros Holding II Co., Unfunded Revolver (8)(16)(21)(23)",Insurance,0.50 Unfunded,11/9/17,1137,(161,(45,
46,"Confie Seguros Holding II Co., Letter of Credit (8)(16)(23)",Insurance,4.50,1/13/17,143,0,(6,
47,"LabVantage Solutions Limited, Unfunded Revolver (8)(16)(17)(21)(23)",High Tech Industries,0.50 Unfunded,12/29/20,€,3435,(108,(124
48,"My Alarm Center, LLC, Revolver (16)(23)",Business Services,11.00 (P+700),1/9/19,292,292,292,
49,"My Alarm Center, LLC, Unfunded Revolver (16)(21)(23)",Business Services,0.35 Unfunded,1/9/19,5958,0,0,
50,"Tibco Software Inc., Revolver (16)(23)",High Tech Industries,4.45 (1M L+400),12/5/19,960,960,768,
51,"Tibco Software Inc., Unfunded Revolver (8)(16)(21)(23)",High Tech Industries,0.50 Unfunded,12/5/19,5040,(41,"(1,008",
52,"UniTek Global Services Inc., Unfunded Revolver (16)(21)(23)",Telecommunications,0.50 Unfunded,1/13/19,5000,0,0,
53,"UniTek Global Services Inc., Letter of Credit (16)(23)",Telecommunications,7.50,1/13/19,8812,0,0,
54,"UniTek Global Services Inc., Letter of Credit (16)(23)",Telecommunications,7.50,1/13/19,1850,0,0,
57,Second Lien Secured Debt,,,,,,,
58,1A Smart Start LLC,Consumer Services,"9.50 (3M L+850, 1.00 Floor)",8/22/22,35000,34365,34335,
59,"Access CIG, LLC (16)",Business Services,"9.75 (3M L+875, 1.00 Floor)",10/17/22,35755,34223,33668,
60,"Access CIG, LLC (16)",Business Services,"9.75 (3M L+875, 1.00 Floor)",10/17/22,15215,14642,14327,
61,"Active Network, Inc.",Business Services,"9.50 (3M L+850, 1.00 Floor)",11/15/21,19672,19598,19279,
62,"Appriss Holdings, Inc.",Business Services,"9.25 (3M L+825, 1.00 Floor)",5/21/21,32750,32348,32160,
63,Armor Holding II LLC,"Diversified Investment Vehicles, Banking, Finance, Real Estate","10.25 (3M L+900, 1.25 Floor)",12/26/20,8000,7890,7840,
64,Asurion Corporation,Insurance,"8.50 (3M L+750, 1.00 Floor)",3/3/21,39590,39375,38303,
65,Confie Seguros Holding II Co. (16),Insurance,"10.25 (1M L+900, 1.25 Floor)",5/8/19,22344,22255,21450,
66,"Delta Educational Systems, Inc. (14)(16)",Education,35.00 PIK,6/10/18,1408,1328,0,
67,"Delta Educational Systems, Inc. (14)(16)",Education,16.00 PIK,5/12/17,7500,7460,0,
68,"Deltek, Inc.",Business Services,"9.50 (3M L+850, 1.00 Floor)",6/26/23,15086,14900,15256,
69,"Elements Behavioral Health, Inc.",Healthcare & Pharmaceuticals,"13.00 (3M L+1200 PIK, 1.00 Floor)",2/11/20,10140,10077,8619,
70,"Extraction Oil & Gas Holdings, LLC",Energy – Oil & Gas,10.00 and 11.00,5/29/19,52633,52110,52567,
71,Garden Fresh Restaurant Corp. (14)(16),"Hotel, Gaming, Leisure, Restaurants","7.75 (3M L+625 PIK, 1.50 Floor)",1/1/19,9103,7746,4005,
72,Garden Fresh Restaurant Corp. (14)(16),"Hotel, Gaming, Leisure, Restaurants","15.00 (1M L+1350 PIK, 1.50 Floor)",1/1/19,48159,45904,0,
73,"GCA Services Group, Inc.",Business Services,"10.00 (3M L+900, 1.00 Floor)",3/1/24,10000,9756,9900,
74,"Grocery Outlet, Inc.",Food & Grocery,"9.25 (3M L+825, 1.00 Floor)",10/21/22,25000,24683,24000,
75,"Infiltrator Systems Integrated, LLC","Manufacturing, Capital Equipment","9.75 (3M L+875, 1.00 Floor)",5/26/23,13889,13638,13784,
76,"Institutional Shareholder Services, Inc.",Business Services,"8.50 (3M L+750, 1.00 Floor)",4/30/22,6640,6587,6441,
77,"Kronos, Inc.",Business Services,"9.75 (3M L+850, 1.25 Floor)",4/30/20,9981,10102,10125,
78,"Lanai Holdings III, Inc.",Healthcare & Pharmaceuticals,"9.50 (3M L+850, 1.00 Floor)",8/28/23,17391,16870,16870,
79,MSC Software Corp. (17),High Tech Industries,"8.50 (3M L+750, 1.00 Floor)",5/31/21,13448,13346,11431,
80,"MW Industries, Inc.","Manufacturing, Capital Equipment","10.25 (3M L+925, 1.00 Floor)",12/23/20,20000,19500,19500,
81,"Poseidon Merger Sub, Inc.",Business Services,"9.50 (3M L+850, 1.00 Floor)",8/15/23,18000,17518,17640,
82,"Premier Trailer Leasing, Inc.","Transportation – Cargo, Distribution","10.00 (3M L+900, 1.00 Floor)",9/24/20,52000,51209,53040,
83,River Cree Enterprises LP (11)(17),"Hotel, Gaming, Leisure, Restaurants",11.00,1/20/21,C$,23000,21684,16979
84,"SiTV, Inc. (11)",Broadcasting & Subscription,10.375,7/1/19,2219,2219,1720,
85,SMG,"Hotel, Gaming, Leisure, Restaurants","9.25 (3M L+825, 1.00 Floor)",2/27/21,19649,19649,18912,
86,"Sprint Industrial Holdings, LLC","Containers, Packaging & Glass","11.25 (3M L+1000, 1.25 Floor)",11/14/19,16163,15546,11556,
87,"Sterling Holdings Ultimate Parent, Inc.",High Tech Industries,"9.25 (3M L+825, 1.00 Floor)",6/19/23,20000,19809,19600,
88,"STG-Fairway Acquisitions, Inc.",Business Services,"10.25 (3M L+925, 1.00 Floor)",6/30/23,15000,14658,14250,
89,"TASC, Inc. (16)",Aerospace & Defense,12.00,5/21/21,2704,2597,2728,
90,"TASC, Inc. (16)",Aerospace & Defense,12.00,5/21/21,7058,6939,7120,
91,"TMK Hawk Parent, Corp.","Transportation – Cargo, Distribution","8.50 (3M L+750, 1.00 Floor)",10/1/22,34000,33717,33915,
92,"Velocity Technology Solutions, Inc.",Business Services,"9.50 (3M L+825, 1.25 Floor)",9/28/20,16500,16263,16088,
93,"Venoco, Inc. (11)(14)(16)",Energy – Oil & Gas,8.875 Cash (12.00 PIK Toggle),2/28/19,37993,48170,14165,
96,Unsecured Debt,,,,,,,
97,"American Tire Distributors, Inc. (11)","Transportation – Cargo, Distribution",10.25,3/1/22,14741,14816,12981,
98,Canacol Energy Ltd. (17),Energy – Oil & Gas,"9.50 (3M L+850, 1.00 Floor)",12/31/19,75000,73512,72150,
99,"Delta Educational Systems, Inc. (14)(16)",Education,16.00 PIK,5/12/17,21888,20665,0,
100,"Sorenson Holdings, LLC (11)",Consumer Goods – Durable,13.00 Cash (13.00 PIK Toggle),10/31/21,52,35,49,
101,Tibco Software Inc. (11)(16),High Tech Industries,11.375,12/1/21,4984,4863,3965,
102,"U.S. Security Associates Holdings, Inc.",Business Services,11.00,7/28/18,135000,135000,136350,
103,UniTek Global Services Inc. (16),Telecommunications,15.00 PIK,7/13/19,7641,7641,7641,
106,Structured Products and Other,,,,,,,
107,Asset Repackaging Trust Six B.V. (11)(17)(19),Utilities – Electric,13.87,5/18/27,58411,25375,30319,
108,"Craft 2013-1, Credit-Linked Note (11)(16)(17)","Diversified Investment Vehicles, Banking, Finance, Real Estate",9.88 (3M L+925),4/17/22,25000,25065,23761,
109,"Craft 2013-1, Credit-Linked Note (16)(17)","Diversified Investment Vehicles, Banking, Finance, Real Estate",9.88 (3M L+925),4/17/22,7625,7722,7250,
110,"Craft 2014-1A, Credit-Linked Note (11)(17)","Diversified Investment Vehicles, Banking, Finance, Real Estate",10.28 (3M L+965),5/15/21,42500,42436,40252,
111,"Craft 2015-2, Credit-Linked Note (11)(17)","Diversified Investment Vehicles, Banking, Finance, Real Estate",9.88 (3M L+925),1/16/24,26000,25902,24207,
112,"Dark Castle Holdings, LLC",Media – Diversified & Production,12.77,N/A,24395,1190,1095,
113,"JP Morgan Chase & Co., Credit-Linked Note (17)","Diversified Investment Vehicles, Banking, Finance, Real Estate",12.90 (1M L+1225),12/20/21,43250,41337,42976,
114,"NXT Capital CLO 2014-1, LLC, Class E Notes (11)(17)","Diversified Investment Vehicles, Banking, Finance, Real Estate",6.14 (3M L+550),4/23/26,5000,4696,3935,
116,Equity,,,,,,,
117,Preferred Equity,Shares,,,,,,
118,"Crowley Holdings, Inc., Series A Preferred Stock (11)","Transportation – Cargo, Distribution",12.00 (10.00 Cash plus 2.00 PIK),N/A,32500,34173,34286,
119,"Gryphon Colleges Corp., Preferred Stock (13)(14)",Education,12.50 PIK,N/A,332500,6863,0,
120,"Gryphon Colleges Corp., Preferred Stock (13)(14)",Education,13.50 PIK,N/A,12360,27685,0,
121,"Sungevity Inc., Series D Preferred Stock (13)",Energy – Electricity,N/A,N/A,114678899,4171,3750,
122,"Varietal Distribution Holdings, LLC, Class A Preferred Unit","Transportation – Cargo, Distribution",4.00 PIK,N/A,3097,3110,3110,
124,Common Equity/Interests,Shares,,,,,,
125,"Accelerate Parent Corp., Common Stock (13)","Transportation – Cargo, Distribution",N/A,N/A,1664046,1714,1790,
126,"Clothesline Holdings, Inc., Common Stock (13)",Healthcare & Pharmaceuticals,N/A,N/A,6000,6000,321,
127,"Explorer Coinvest, LLC, Common Stock (17)",Business Services,N/A,N/A,N/A,574,2066,
128,"Garden Fresh Restaurant Holdings, LLC, Common Stock (13)","Hotel, Gaming, Leisure, Restaurants",N/A,N/A,50000,5000,0,
129,"Gryphon Colleges Corp., Common Stock (13)",Education,N/A,N/A,17500,175,0,
130,"Skyline Data, News and Analytics LLC, Class A Common Unit (13)",Business Services,N/A,N/A,4500000,4500,4500,
131,"Sorenson Holdings, LLC, Membership Interests (13)",Consumer Goods – Durable,N/A,N/A,587,0,135,
132,"Varietal Distribution Holdings, LLC, Class A Common Unit (13)","Transportation – Cargo, Distribution",N/A,N/A,28028,28,312,
134,Warrants,Warrants,,,,,,
135,"Gryphon Colleges Corp., Class A-1 Preferred Stock Warrants (13)",Education,N/A,N/A,45947,460,0,
136,"Gryphon Colleges Corp., Class B-1 Preferred Stock Warrants (13)",Education,N/A,N/A,104314,1043,0,
137,"Gryphon Colleges Corp., Common Stock Warrants (13)",Education,N/A,N/A,9820,98,0,
138,"Spotted Hawk Development, LLC, Common Stock Warrants (13)",Energy – Oil & Gas,N/A,N/A,54545,852,0,
142,Non-Controlled/Affiliated Investments (4),,,,,,,
143,Corporate Debt,,,,,,,
144,Secured Debt,,,,,,,
145,First Lien Secured Debt,,,,,,,
146,"Pelican Energy, LLC (14)(17)",Energy – Oil & Gas,10.00 Cash (10.00 PIK Toggle),12/31/18,28886,26665,15116,
150,Structured Products and Other,,,,,,,
151,"Golden Bear Warehouse LLC, Membership Interests (3)(17)","Diversified Investment Vehicles, Banking, Finance, Real Estate",N/A,N/A,27590,27590,46353,
152,"Ivy Hill Middle Market Credit Fund IX, Ltd., Subordinated Notes (3)(11)(17)(22)","Diversified Investment Vehicles, Banking, Finance, Real Estate",17.42,10/18/25,12500,9861,9681,
153,"Ivy Hill Middle Market Credit Fund X, Ltd., Subordinated Notes (3)(11)(17)(22)","Diversified Investment Vehicles, Banking, Finance, Real Estate",14.53,7/18/27,14000,11835,11357,
154,"MCF CLO I, LLC, Membership Interests (3)(11)(17)(22)","Diversified Investment Vehicles, Banking, Finance, Real Estate",10.64,4/20/23,38918,32625,32671,
155,"MCF CLO III, LLC, Class E Notes (11)(17)","Diversified Investment Vehicles, Banking, Finance, Real Estate",5.07 (3M L+445),1/20/24,12750,11600,10043,
156,"MCF CLO III, LLC, Membership Interests (3)(11)(17)(22)","Diversified Investment Vehicles, Banking, Finance, Real Estate",9.76,1/20/24,41900,34057,31543,
158,Equity,,,,,,,
159,Preferred Equity,Shares,,,,,,
160,"Renew Financial LLC (f/k/a Renewable Funding, LLC), Series B Preferred Stock (13)",Energy – Electricity,N/A,N/A,1505868,8343,20459,
161,"Renew Financial LLC (f/k/a Renewable Funding, LLC), Series D Preferred Stock (13)",Energy – Electricity,N/A,N/A,436689,5568,5933,
163,Common Equity/Interests,Shares,,,,,,
164,"AIC SPV Holdings I, LLC (15)(17)(23)","Diversified Investment Vehicles, Banking, Finance, Real Estate",N/A,N/A,N/A,47392,25212,
165,"AMP Solar Group, Inc., Class A Common Unit (13)(17)",Energy – Electricity,N/A,N/A,243646,10000,2314,
166,"LVI Group Investments, LLC, Common Units (3)(13)",Environmental Industries,N/A,N/A,212460,17505,14204,
167,"Pelican Energy, LLC, Membership Interests (13)(17)",Energy – Oil & Gas,N/A,N/A,1228,1099,0,
171,Controlled Investments (5),,,,,,,
172,Corporate Debt,,,,,,,
173,Secured Debt,,,,,,,
174,First Lien Secured Debt,,,,,,,
175,First Lien Secured Debt (excluding Revolvers and Letters of Credit),,,,,,,
176,"Glacier Oil & Gas Corp. (f/k/a Miller Energy Resources, Inc.) (16)",Energy – Oil & Gas,8.00 Cash (10.00 PIK Toggle),3/29/19,3000,3000,3000,
177,"Glacier Oil & Gas Corp. (f/k/a Miller Energy Resources, Inc.), Unfunded Delayed Draw (16)(21)(23)",Energy – Oil & Gas,0.00 Unfunded,3/29/19,7000,0,0,
178,Solarplicity Group Limited (17),Energy – Electricity,12.50 Cash (12.50 PIK Toggle),11/30/22,£,114965,171323,151963
180,Revolvers and Letters of Credit,,,,,,,
181,"Merx Aviation Finance, LLC, Revolver (16)",Aviation and Consumer Transport,12.00,10/31/18,399084,399084,399084,
182,"Merx Aviation Finance, LLC, Unfunded Revolver (16)(21)",Aviation and Consumer Transport,0.00 Unfunded,10/31/18,100916,0,0,
183,"Merx Aviation Finance, LLC, Letter of Credit (16)(23)",Aviation and Consumer Transport,2.25,7/13/16,177,0,0,
184,"Merx Aviation Finance Assets Ireland Limited, Letter of Credit (16)(23)",Aviation and Consumer Transport,2.25,9/30/16,1800,0,0,
185,"Merx Aviation Finance Assets Ireland Limited, Letter of Credit (16)(23)",Aviation and Consumer Transport,2.25,9/30/16,1800,0,0,
188,Second Lien Secured Debt,,,,,,,
189,"Glacier Oil & Gas Corp. (f/k/a Miller Energy Resources, Inc.) (16)",Energy – Oil & Gas,8.00 Cash (10.00 PIK Toggle),3/29/21,25630,25630,25630,
193,Equity,,,,,,,
194,Common Equity/Interests,Shares,,,,,,
195,"Dynamic Product Tankers, LLC, Class A Units (17)(24)","Transportation – Cargo, Distribution",N/A,N/A,N/A,48106,47738,
196,"Glacier Oil & Gas Corp. (f/k/a Miller Energy Resources, Inc.), Common Stock (13)",Energy – Oil & Gas,N/A,N/A,5000000,30079,24676,
197,"Merx Aviation Finance, LLC, Membership Interests",Aviation and Consumer Transport,N/A,N/A,N/A,62754,89014,
198,"MSEA Tankers LLC, Class A Units (9)(17)","Transportation – Cargo, Distribution",N/A,N/A,N/A,85000,85699,
199,"Solarplicity Group Limited, Class B Common Shares (2)(13)(17)",Energy – Electricity,N/A,N/A,2825,2472,1293,
