,Investment,Interest  Rate (20),Maturity  Date,Par (12),Cost,Fair  Value (1),
28,"My Alarm Center, LLC, Term Loan C (16)(23)","9.23 (1M L+800, 1.00 Floor)",1/9/19,3554,3554,3554,
29,"My Alarm Center, LLC, Unfunded Term Loan C (16)(21)(23)",0.35 Unfunded,1/9/19,558,0,0,
30,"Nextech Systems, LLC (18)","8.40 (3M L+725, 1.00 Floor)",6/22/21,21575,21145,21144,
31,Novadaq Technologies Inc. (9)(16)(17),"8.25 (1M L+720, 0.50 Floor)",1/1/22,3333,3332,3510,
32,"Novadaq Technologies Inc., Unfunded Delayed Draw (9)(16)(17)(21)(23)",0.00 Unfunded,1/1/22,6667,(30,0,
33,"Oxford Immunotec, Inc. (9)(16)(17)",8.65 (1M L+760),10/1/21,9750,9793,9824,
34,"PSI Services, LLC (9)(16)","6.22 (1M L+500, 1.00 Floor)",1/20/23,4142,4046,4067,
35,"PSI Services, LLC (9)(16)",8.25 (P+425),1/20/23,10,10,10,
36,"PTC Therapeutics, Inc (9)(16)(17)","7.20 (1M L+615, 1.00 Floor)",5/1/21,12667,12606,12603,
37,"PTC Therapeutics, Inc, Unfunded Delayed Draw (8)(9)(16)(17)(21)(23)",0.00 Unfunded,5/1/21,6333,0,(32,
38,"SCM Insurance Services, Inc. (17)",9.25,8/22/19,C$,39480.0,33483,27254
39,"SunEdison, Inc.","8.72 (1M L+750, 1.00 Floor)",5/2/18,14339,14263,14375,
40,Telestream Holdings Corporation (18),"7.61 (3M L +6.45, 1.00 Floor)",3/24/22,37026,36670,36285,
41,UniTek Global Services Inc. (16),"9.80 (3M L+750 Cash plus 1.00 PIK, 1.00 Floor)",1/13/19,1936,1936,1936,
42,UniTek Global Services Inc. (16),"9.80 (3M L+850, 1.00 Floor)",1/13/19,32367,32367,33014,
43,Westinghouse Electric Co LLC (9)(16),"7.50 (1M L+625, 1.00 Floor)",3/31/18,40000,39175,40000,
44,Total First Lien Secured Debt (excluding Revolvers and Letters of Credit)031.5 (10),480168,464862,,,,
45,Revolvers and Letters of Credit,,,,,,
46,"Alliant Holdings Intermediate, LLC, Letter of Credit (8)(16)(23)",3.375,4/23/18,37.0,0,(2,
47,"Alliant Holdings Intermediate, LLC, Letter of Credit (8)(16)(23)",3.375,5/4/17,8,0,0,
48,"Alliant Holdings Intermediate, LLC, Letter of Credit (8)(16)(23)",3.375,7/29/17,80,0,(4,
49,"Alliant Holdings Intermediate, LLC, Letter of Credit (8)(16)(23)",3.375,10/3/17,8,0,0,
50,"Alliant Holdings Intermediate, LLC, Letter of Credit (8)(16)(23)",3.375,11/30/17,37,0,(2,
51,"Alliant Holdings Intermediate, LLC, Revolver (16)(23)",4.52 (1M L+350),8/14/20,1125,1125,1076,
52,"Alliant Holdings Intermediate, LLC, Unfunded Revolver (8)(16)(21)(23)",0.50 Unfunded,8/14/20,13705,"(1,068",(603,
53,"Altasciences / 9360-1367 Quebec Inc., Revolver (9)(16)(17)(23)","7.55 (1M L+625, 1.00 Floor)",6/9/23,143,143,139,
54,"Altasciences US Acquistion, Inc., Revolver (9)(16)(23)","7.55 (1M L+625, 1.00 Floor)",6/9/23,143,143,139,
55,"Altasciences US Acquistion, Inc., Unfunded Revolver (8)(9)(16)(21)(23)(28)",0.25 Unfunded,6/9/23,1141,(32,(26,
56,"American Media, Inc., Letter of Credit (16)(23)",7.50,8/24/20,153,0,0,
57,"American Media, Inc., Revolver (16)(23)","8.80 (3M L+750, 1.00 Floor)",8/24/20,652,652,652,
58,"American Media, Inc., Revolver (16)(23)",10.75 (L+750),8/24/20,593,592,593,
59,"American Media, Inc., Unfunded Revolver (16)(21)(23)",0.50 Unfunded,8/24/20,380,(42,0,
60,"Avantor Performance Materials Holdings, LLC, Letter of Credit (8)(16)(23)",4.00,3/10/18,72,0,0,
61,"Avantor Performance Materials Holdings, LLC, Unfunded Revolver (8)(16)(21)(23)",0.50 Unfunded,3/10/22,4928,(586,(27,
62,"Erickson Inc., Letter of Credit (8)(9)(16)(23)",7.50,4/1/18,277,0,(4,
63,"Erickson Inc., Letter of Credit (8)(9)(16)(23)",7.50,10/31/17,73,0,(1,
64,"Erickson Inc., Letter of Credit (8)(9)(16)(23)",7.50,11/28/17,670,0,(10,
65,"Erickson Inc., Letter of Credit (8)(9)(16)(23)",7.50,7/11/17,7,0,0,
66,"Erickson Inc., Letter of Credit (8)(9)(16)(23)",7.50,10/17/17,178,0,(3,
67,"Erickson Inc., Letter of Credit (8)(9)(16)(23)",7.50,9/28/17,14,0,0,
68,"Erickson Inc., Letter of Credit (8)(9)(16)(23)",7.50,6/25/18,3,0,0,
69,"Erickson Inc., Letter of Credit (8)(9)(16)(23)",7.50,11/7/17,20,0,0,
70,"Erickson Inc., Letter of Credit (8)(9)(16)(23)",7.50,12/31/17,180,0,(3,
71,"Erickson Inc., Revolver (9)(16)(23)",8.67 (3M L+750),4/28/22,23973,23636,23614,
72,"Erickson Inc., Unfunded Revolver (8)(9)(16)(21)(23)",0.50 Unfunded,4/28/22,19605,(213,(294,
73,"Invuity, Inc., Revolver (9)(16)(23)","4.75 (1M L+325, 1.00 Floor)",3/1/22,850,850,846,
74,"Invuity, Inc., Unfunded Revolver (8)(9)(16)(21)(23)",0.50 Unfunded,3/1/22,1150,(9,(6,
75,"LabVantage Solutions Limited, Unfunded Revolver (8)(16)(17)(21)(23)",0.50 Unfunded,12/29/20,€,3435.0,(83,(39
76,"My Alarm Center, LLC, Revolver (16)(23)",11.25 (P+900),1/9/19,5083,5083,5083,
77,"My Alarm Center, LLC, Unfunded Revolver (16)(21)(23)",0.35 Unfunded,1/9/19,1167,0,0,
78,"Novadaq Technologies Inc., Unfunded Revolver (8)(9)(16)(17)(21)(23)",0.50 Unfunded,1/1/22,3000,(14,(2,
79,"Oxford Immunotec, Inc., Unfunded Revolver (9)(16)(17)(21)(23)",0.50 Unfunded,10/1/21,1000,(4,0,
80,"PSI Services, LLC, Revolver (9)(16)(23)","6.22 (1M L+500, 1.00 Floor)",1/20/22,198,198,195,
81,"PSI Services, LLC, Unfunded Revolver (8)(9)(16)(21)(23)",0.50 Unfunded,1/20/22,198,(9,(4,
82,"PSI Services, LLC, Unfunded Revolver (9)(16)(21)(23)",0.50 Unfunded,1/20/22,£,47.0,0,0
83,"SESAC Holdco II LLC, Unfunded Revolver (8)(16)(21)(23)",0.50 Unfunded,2/23/22,587,(49,(44,
84,"Tibco Software Inc., Unfunded Revolver (8)(21)(23)",0.50 Unfunded,12/5/19,6000,(29,(840,
85,"TricorBraun Holdings, Inc., Revolver (16)(23)",6.25 (P+225),11/30/21,1410,1410,1412,
86,"TricorBraun Holdings, Inc., Unfunded Revolver (16)(21)(23)",0.50 Unfunded,11/30/21,4215,(447,0,
87,"UniTek Global Services Inc., Letter of Credit (16)(23)",7.50,1/13/19,7762,0,0,
88,"UniTek Global Services Inc., Unfunded Revolver (16)(21)(23)",0.50 Unfunded,1/13/19,5000,0,0,
89,"Wright Medical Group, Inc., Revolver (9)(16)(17)(23)","5.48 (1M L+425, 0.75 Floor)",12/23/21,7667,7667,7590,
90,"Wright Medical Group, Inc., Unfunded Revolver (8)(9)(16)(17)(21)(23)",0.50 Unfunded,12/23/21,42333,(448,(423,
91,Total Revolvers and Letters of Credit02.6 (10),38466.0,39002,,,,
92,Total First Lien Secured Debt034.1 (10),518634.0,503864,,,,
93,Second Lien Secured Debt,,,,,,
94,"Access CIG, LLC (16)","9.92 (1M L+875, 1.00 Floor)",10/17/22,50970.0,49277,50589,
95,"Active Network, LLC","10.73 (1M L+950, 1.00 Floor)",11/15/21,17875,17720,17853,
96,A-L Parent LLC,"8.48 (1M L+725, 1.00 Floor)",12/2/24,10048,9954,10098,
97,"Almonde, Inc (17)","8.25 (3M L+725, 1.00 Floor)",6/13/25,2316,2293,2360,
98,"Appriss Holdings, Inc.","10.55 (3M L+925, 1.00 Floor)",5/21/21,23309,23090,23309,
99,"Aptean, Inc.","10.80 (1M L+950, 1.00 Floor)",12/20/23,9548,9414,9577,
100,Armor Holding II LLC,"10.30 (3M L+900, 1.25 Floor)",12/26/20,8000,7925,8080,
101,Asurion Corporation,"8.73 (1M L+750, 1.00 Floor)",3/3/21,39590,39426,39837,
102,"ATS Consolidated, Inc.","9.50 (3M L+850, 1.00 Floor)",5/30/25,15000,14701,14963,
103,"Avantor Performance Materials Holdings, LLC (16)","9.48 (3M L+825, 1.00 Floor)",3/10/25,1629,1613,1641,
104,"BioClinica Holding I, LP","9.56 (3M L+825, 1.00 Floor)",10/21/24,24612,24159,24120,
105,Confie Seguros Holding II Co.,"11.05 (3M L+975, 1.25 Floor)",5/8/19,22344,22283,22009,
106,"CT Technologies Intermediate Holdings, Inc. (9)","10.22 (1M L+900, 1.00 Floor)",12/1/22,31253,30347,30315,
107,Electro Rent Corporation (9),"10.23 (1M L+900, 1.00 Floor)",1/31/25,18333,17812,17967,
108,"Elements Behavioral Health, Inc.","13.18 (3M L+1200 PIK, 1.00 Floor)",2/11/20,11557,11515,9477,
109,"Erie Acquisition Holdings, Inc.","10.20 (3M L+900, 1.00 Floor)",3/1/24,16250,16039,16189,
110,"Grocery Outlet, Inc.","9.55 (3M L+825, 1.00 Floor)",10/21/22,25000,24749,25250,
111,"Hare Bidco, Inc.","9.75 (3M L+875, 1.00 Floor)",8/1/24,€,13574.0,14391,15171
112,"Institutional Shareholder Services, Inc.","9.72 (3M L+850, 1.00 Floor)",4/30/22,8232,8169,8273,
113,"K&N Parent, Inc.","9.98 (1M L+875, 1.00 Floor)",10/21/24,30000,29444,29925,
114,"Lanai Holdings III, Inc.","9.73 (1M L+850, 1.00 Floor)",8/28/23,17391,16936,17043,
115,MedPlast Holdings Inc.,"9.88 (3M L+875, 1.00 Floor)",6/6/23,8000,7808,7800,
116,"Ministry Brands, LLC (16)","10.48 (1M L+925, 1.00 Floor)",6/2/23,10000,9863,9854,
117,"MW Industries, Inc.","10.55 (3M L+925, 1.00 Floor)",12/28/20,20000,19610,20100,
118,PAE Holding Corporation,"10.73 (1M L+950, 1.00 Floor)",10/20/23,28097,27334,28378,
119,"Parfums Holding Company, Inc.","9.75 (3M L+875, 1.00 Floor)",6/30/25,8000,7760,7840,
120,"Poseidon Merger Sub, Inc.","9.67 (3M L+850, 1.00 Floor)",8/15/23,18000,17585,18000,
121,"Power Products, LLC (9)","10.34 (6M L+900, 1.00 Floor)",12/20/23,32500,31448,32009,
122,"PSI Services, LLC (9)(16)","10.22 (1M L+900, 1.00 Floor)",1/20/24,25714,24991,25119,
123,"Securus Technologies Holdings, Inc.","9.25 (1M L+825, 1.00 Floor)",6/20/25,12878,12749,12991,
124,"Sequential Brands Group, Inc. (17)",10.09 (1M L+900),7/1/22,17424,17241,17174,
125,SESAC Holdco II LLC (16),"8.37 (3M L+725, 1.00 Floor)",2/24/25,3241,3210,3254,
126,SMG,"9.55 (3M L+825, 1.00 Floor)",2/27/21,19649,19649,19625,
127,"Smokey Merger Sub, Inc. (9)","9.75 (3M L+875, 1.00 Floor)",5/24/24,30000,29113,29100,
128,"Sprint Industrial Holdings, LLC (16)(30)",13.5 PIK,11/14/19,16163,15733,6700,
129,"Sprint Industrial Holdings, LLC (16)(31)",13.5 PIK,11/14/19,1106,1106,1106,
130,"STG-Fairway Acquisitions, Inc.","10.45 (3M L+925, 1.00 Floor)",6/30/23,15000,14718,13200,
131,"TMK Hawk Parent, Corp.","8.73 (1M L+750, 1.00 Floor)",10/1/22,34000,33776,34000,
132,"Velocity Technology Solutions, Inc.","9.55 (3M L+825, 1.25 Floor)",9/28/20,16500,16335,16459,
133,"Wave Holdco Merger Sub, Inc.","10.48 (1M L+925, 1.00 Floor)",5/27/23,10000,9783,9877,
134,Total Second Lien Secured Debt047.8 (10),711069.0,706632,,,,
135,Total Secured Debt081.9 (10),1229703.0,1210496,,,,
136,Unsecured Debt,,,,,,
137,"American Tire Distributors, Inc. (11)",10.25,3/1/22,14741.0,14806,15337,
138,"Sorenson Holdings, LLC (11)",13.85 Cash (13.85 PIK Toggle),10/31/21,52,35,49,
139,"U.S. Security Associates Holdings, Inc.",11.00,7/28/18,135000,135000,135000,
140,UniTek Global Services Inc. (16),15.00 PIK,7/13/19,8867,8867,9044,
141,Total Unsecured Debt010.8 (10),158708.0,159430,,,,
142,Total Corporate Debt092.7 (10),1388411.0,1369926,,,,
143,Structured Products and Other,,,,,,
144,Asset Repackaging Trust Six B.V. (11)(17)(19),13.11,5/18/27,58411.0,25730,31979,
145,"Craft 2014-1A, Credit-Linked Note (11)(17)",11.26 (3M L+965),5/15/21,42500,42345,41939,
146,"Craft 2015-2, Credit-Linked Note (11)(17)",10.57 (3M L+925),1/16/24,26000,25827,24893,
147,Total Structured Products and Other06.7 (10),93902.0,98811,,,,
148,Equity,,,,,,
149,Preferred Equity,Shares,,,,,
150,"Sungevity Inc., Series D Preferred Stock (13)",114678899,4408,0.0,,,
151,Total Preferred Equity00.0 (10),4408.0,0,,,,
152,Common Equity/Interests,Shares,,,,,
153,"Accelerate Parent Corp., Common Stock (13)",1664045,1714,1930.0,,,
154,"GFRC Holdings LLC, Membership Interests (13)",2500000,0,0,,,
155,"Skyline Data, News and Analytics LLC, Class A Common Unit (13)",4500000,4500,4500,,,
156,"Sorenson Holdings, LLC, Membership Interests (13)",586,0,433,,,
157,Total Common Equity/Interests00.5 (10),6214.0,6863,,,,
158,Warrants,Warrants,,,,,
159,"Invuity, Inc., Warrants (9)",16873,80,82.0,,,
160,"Sprint Industrial Holdings, LLC, Warrants (29)",7341,0,0,,,
161,Total Warrants00.0 (10),80.0,82,,,,
162,Total Equity0 0.5 (10),10702.0,6945,,,,
163,Total Non-Controlled/Non-Affiliated Investments099.9 (10),1493015,1475682,,,,
164,Non-Controlled/Affiliated Investments (4),,,,,,
165,Corporate Debt,,,,,,
166,Secured Debt,,,,,,
167,First Lien Secured Debt,,,,,,
168,Solarplicity Group Limited (3)(17),8.00 PIK (8.00 Cash Toggle),11/30/22,£,125468.0,146598,124297
169,Total First Lien Secured Debt08.4 (10),146598,124297.0,,,,
170,Total Secured Debt08.4 (10),146598.0,124297,,,,
171,Unsecured Debt,,,,,,
172,Solarplicity UK Holdings Limited (17),8.00 PIK (8.00 Cash Toggle),2/24/22,£,2000.0,2499,2598
173,Total Unsecured Debt00.2 (10),2499,2598.0,,,,
174,Total Corporate Debt08.6 (10),149097.0,126895,,,,
175,Structured Products and Other,,,,,,
176,"Golden Bear 2016-R, LLC, Membership Interests (3)(17)",9/20/42,0.0,16458,17364,,
177,"Ivy Hill Middle Market Credit Fund IX, Ltd., Subordinated Notes (3)(11)(17)(22)",13.34,10/18/25,12500,8963,9283,
178,"Ivy Hill Middle Market Credit Fund X, Ltd., Subordinated Notes (3)(11)(17)(22)",11.25,7/26/27,14000,10845,10406,
179,Total Structured Products and Other02.5 (10),36266.0,37053,,,,
180,Equity,,,,,,
181,Preferred Equity,Shares,,,,,
182,"Renew Financial LLC (f/k/a Renewable Funding, LLC), Series B Preferred Stock (13)",1505868,8343,18665.0,,,
183,"Renew Financial LLC (f/k/a Renewable Funding, LLC), Series D Preferred Stock (13)",436689,5568,7090,,,
184,Total Preferred Equity01.7 (10),13911.0,25755,,,,
185,Common Equity/Interests,Shares,,,,,
186,"AIC SPV Holdings II, LLC, Membership Interests (13)(15)(17)",534,1456.0,,,,
187,"AMP Solar Group, Inc., Class A Common Unit (13)(17)",243646,10000,5116,,,
188,"Pelican Energy, LLC, Membership Interests (13)(17)",1444,27764,15603,,,
189,"Renew JV LLC, Membership Interests (13)(17)",2527756,2792,3550,,,
190,"Solarplicity Group Limited, Class B Common Shares (2)(3)(13)(17)(26)",2825,2472,0,,,
191,"Solarplicity UK Holdings Limited, Ordinary Shares (2)(13)(17)",2825,4,4721,,,
192,Total Common Equity/Interests02.1 (10),43566.0,30446,,,,
193,Warrants,Warrants,,,,,
194,Total Warrants00.0 (10),0.0,0,,,,
195,Total Equity03.8 (10),57477.0,56201,,,,
196,Total Non-Controlled/Affiliated Investments014.9 (10),242840.0,220149,,,,
197,Controlled Investments (5),,,,,,
198,Corporate Debt,,,,,,
199,Secured Debt,,,,,,
200,First Lien Secured Debt,,,,,,
201,First Lien Secured Debt (excluding Revolvers and Letters of Credit),,,,,,
202,"Glacier Oil & Gas Corp. (f/k/a Miller Energy Resources, Inc.) (16)(23)",8.00 Cash (10.00 PIK Toggle),3/29/19,12500.0,12500,12500,
203,"Glacier Oil & Gas Corp. (f/k/a Miller Energy Resources, Inc.) (16)(21)(23)",0.00 Unfunded,3/29/19,7500,0,0,
204,"SHD Oil & Gas, LLC, Tranche A Note (16)",14.00 (8.00 Cash plus 6.00 PIK),12/31/19,41511,41511,42756,
205,"SHD Oil & Gas, LLC, Tranche B Note (14)(16)",14.00 PIK,12/31/19,65951,44380,26741,
206,"SHD Oil & Gas, LLC, Tranche C Note (16)",12.00,12/31/19,15750,15750,16223,
207,"SHD Oil & Gas, LLC, Unfunded Tranche C Note (16)(21)(23)",0.00 Unfunded,12/31/19,2250,0,0,
208,Total First Lien Secured Debt (excluding Revolvers and Letters of Credit)06.6 (10),114141,98220,,,,
209,Revolvers and Letters of Credit,,,,,,
210,"Dynamic Product Tankers, LLC, Letter of Credit (17)(23)",2.25,9/20/17,2250.0,0,0,
211,"Merx Aviation Finance Assets Ireland Limited, Letter of Credit (16)(23)",2.25,9/30/17,3600,0,0,
212,"Merx Aviation Finance, LLC, Letter of Credit (16)(23)",2.25,7/13/17,177,0,0,
213,"Merx Aviation Finance, LLC, Revolver (16)(23)",12.00,10/31/18,413834,413834,413834,
214,Total Revolvers and Letters of Credit028.0 (10),413834.0,413834,,,,
215,Total First Lien Secured Debt034.6 (10),527975.0,512054,,,,
216,Second Lien Secured Debt,,,,,,
217,"Glacier Oil & Gas Corp. (f/k/a Miller Energy Resources, Inc.) (16)",10.00 PIK Toggle (8.00 Cash),3/29/21,28314.0,28314,28314,
218,Total Second Lien Secured Debt01.9 (10),28314.0,28314,,,,
219,Total Secured Debt036.5 (10),556289.0,540368,,,,
220,Total Corporate Debt036.5 (10),556289.0,540368,,,,
221,Equity,,,,,,
222,Common Equity/Interests,Shares,,,,,
223,"Dynamic Product Tankers, LLC, Class A Units (17)(24)",0,48106,42778.0,,,
224,"Glacier Oil & Gas Corp. (f/k/a Miller Energy Resources, Inc.), Common Stock (13)",5000000,30078,17154,,,
225,"Merx Aviation Finance, LLC, Membership Interests",0,19204,49017,,,
226,"MSEA Tankers LLC, Class A Units (17)(25)",0,74451,71431,,,
227,"SHD Oil & Gas, LLC, Series A Units (13)",7600000,1411,0,,,
228,Total Common Equity/Interests012.2 (10),173250.0,180380,,,,
229,Total Equity012.2 (10),173250.0,180380,,,,
230,Total Controlled Investments048.7 (10),729539.0,720748,,,,
231,Total Investments before Cash Equivalents0163.5 (10),2465394.0,2416579,,,,
