,INVESTMENTS IN NON-CONTROLLED/NON-AFFILIATED INVESTMENTS 0137.3,Par Amount*,Fair  Value (1),
35,"Armor Holdings, Inc. (American Stock Transfer and Trust Company), L+900, 12/26/20",8000,8020,
36,"Bennu Oil & Gas, LLC, L+900, 11/1/18",12098,12219,
37,"BJ's Wholesale Club, Inc, L+750, 3/26/20",20000,20463,
38,"Brock Holdings III, Inc., L+825, 3/16/18",19500,19866,
39,"Confie Seguros Holding II Co., L+900, 5/8/19",27344,27617,
40,"Consolidated Precision Products Corp., L+775, 4/30/21",8940,9108,
41,"Del Monte Foods Co, L+725, 7/26/21",15140,15348,
42,"Deltek, Inc., L+875, 10/10/19",27273,27682,
43,"Digital Insight Corporation, L+775, 8/1/20",7820,7986,
44,"Garden Fresh Restaurant Corp., 7.25 PIK, 1/1/19 †",7525,5117,
45,"Garden Fresh Restaurant Corp., 14.50 PIK, 1/1/19 †",33305,29641,
46,"GCA Services Group, Inc., L+800, 11/1/20",22838,23194,
47,"Grocery Outlet Inc., L+925, 6/17/19",8674,8847,
48,"HD Vest Inc., L+800, 6/18/19 ‡",9396,9302,
49,"Healogics, Inc., L+800, 2/5/20",10000,10225,
50,"Insight Pharmaceuticals, LLC, L+1175, 8/25/17",15448,15217,
51,"Kronos, Inc., L+850, 4/30/20",76920,79997,
52,"Learfield Communications, Inc., L+775, 10/8/21",15000,15375,
53,"Ranpak Corp., L+725, 4/23/20",22000,22660,
54,"River Cree Enterprises LP, 11.00, 1/20/21  t  ‡",CAD,32996,34176
55,"Sedgwick Holdings, Inc., L+700, 12/12/18",15225.0,15510,
56,"SESAC Holdco II LLC, L+875, 7/12/19",10750,11019,
57,"Sprint Industrial Holdings, LLC, L+1000, 11/14/19",14163,14305,
58,"SquareTwo Financial Corp. (Collect America, Ltd.), 11.625, 4/1/17 ‡",51079,53218,
59,"Transfirst Holdings Inc., L+975, 6/27/18",64750,65681,
60,"TriNet HR Corporation, L+775, 2/20/21",7130,7170,
61,"U.S. Renal Care, Inc., L+900, 1/3/20 †",11927,12151,
62,"U.S. Renal Care, Inc., L+750, 7/3/20 †",10100,10264,
63,"Valerus Compression Services, LP, 11.50, 3/26/18",40000,41200,
64,"Vertafore, Inc., L+825, 10/29/17",50436,51445,
65,Total 2nd Lien Secured Debt,732233,,
66,Unfunded Revolver Obligations0 (0.4),,,
67,"Advantage Sales & Marketing, Inc., (Revolver) L+400, 12/17/15 (8)",5500.0,(413,
68,"Avaya, Inc., (Revolver) L+275, 10/26/16 (8)",36785,"(3,035",
69,"BMC Software Inc., (Revolver), L+400, 9/10/18 (8)",30760,"(2,153",
70,"Confie Seguros Holding II Co., (Revolver), L+525, 11/9/17 (8)",4500,(495,
71,"Reichhold Holdings International B.V., (Revolver) L+600, 12/19/16 ‡",12500,0,
72,"Salix Pharmaceuticals, Ltd., (Revolver) L+300, 1/2/19 ‡(8)",25000,"(2,000",
73,"UniTek Global Services Inc., (Revolver) L+925, 4/15/16",26946,0,
74,Total Unfunded Revolver Obligations,"(11,829",,
75,TOTAL SECURED DEBT,1390166,,
76,UNSECURED DEBT053.6,,,
77,"Allied Nevada Gold Corp., 8.75, 6/1/19  t  ‡",CAD,15350.0,10229
78,"Altegrity, Inc., 0.00, 8/2/16 †",3545.0,1276,
79,"Altegrity, Inc., 12.00, 11/1/15 †  t",44000,40095,
80,"American Tire Distributors, Inc., 11.50, 6/1/18",25000,25670,
81,"BCA Osprey II Limited (British Car Auctions), 12.50 PIK,  8/17/17 †‡",£,33142,34764
82,"BCA Osprey II Limited (British Car Auctions), 12.50 PIK,  8/17/17 †‡",€,17473,17564
83,"Ceridian Corp., 12.25 Cash or 13.00 PIK, 11/15/15 †",14420.0,14555,
84,"Ceridian Corp., 11.25, 11/15/15 †",35800,36136,
85,"Ceridian Corp., 11.00, 3/15/21 †  t",34000,39100,
86,"CRC Health Corp., 10.75, 2/1/16",13000,13073,
87,"Delta Educational Systems, Inc., 16.00 (10.00 Cash/ 6.00 PIK), 5/12/17",21361,20218,
88,"Denver Parent Corp.(Venoco), 12.25, 8/15/18  t",25000,24563,
89,"Energy & Exploration Partners, Inc., 15.00, 4/8/18 †",25000,23823,
90,"Energy & Exploration Partners, Inc., 15.00, 12/12/18 †",4464,4254,
91,"Exova Limited, 10.50, 10/15/18 †‡  t",£,27202,32347
92,"Exova Limited, 10.50, 10/15/18 †‡",4655,8365,
93,"First Data Corp., 11.25, 1/15/21 †  t",67000.0,74161,
94,"First Data Corp., 10.625, 6/15/21 †  t",10000,10941,
95,"First Data Corp., 11.25, 3/31/16 †",17941,18019,
96,"First Data Corp., 12.625, 1/15/21 †",5000,5888,
97,"inVentiv Health, Inc., 11.00, 8/15/18  t",146000,129757,
98,"Lonestar Intermediate Super Holdings, LLC (Asurion), L+950,  9/2/19",55125,57054,
99,"Niacet Corporation, 13.00, 8/28/18",12500,12500,
100,"PetroBakken Energy Ltd. (Lightstream Resources Ltd), 8.625, 2/1/20 ‡  t",59082,60042,
101,"Prospect Holding Co LLC, 10.25, 10/1/18 ‡  t",7500,7087,
102,UNSECURED DEBT (continued)053.6,,,
103,"Symbion Inc., 11.00, 8/23/15",8508.0,8550,
104,"Tervita Corporation, 10.875, 2/15/18  t  ‡",26000,26390,
105,"U.S. Security Associates Holdings, Inc., 11.00, 7/28/18",135000,138510,
106,"Univar Inc., 10.50, 6/30/18",20000,20000,
107,"Varietal Distribution, 10.75, 6/30/17 †  t",€,15098,16267
108,"Varietal Distribution, 10.75, 6/30/17 †  t",22204.0,22648,
109,"Venoco, Inc., 8.875, 2/15/19",38050,37859,
110,"Wind Acquisition Holdings, 12.25 PIK, 7/15/17 ‡  t",37500,39813,
111,TOTAL UNSECURED DEBT,1023516,,
112,TOTAL CORPORATE DEBT,2413682,,
113,STRUCTURED PRODUCTS AND OTHER04.8,,,
114,"Craft CLO Ltd., L+925, 4/17/20 ‡",20000.0,20171,
115,"Dark Castle Holdings, LLC",32415,10058,
116,"JP Morgan Chase & Co, Credit-Linked Note, L+1225, 12/20/21 ‡",43250,43250,
117,"Renaissance Umiat, LLC, ACES, Tax Receivable ****‡",0,8816,
118,"Westbrook CLO Ltd., Series 2006-1A, Class E, L+370, 12/20/20 ‡",11000,10395,
119,TOTAL STRUCTURED PRODUCTS AND OTHER,88116,,
120,PREFERRED EQUITY02.1,Shares,,
121,"CA Holding, Inc. (Collect America, Ltd.) Series A **‡",7961,1592.0,
122,"Crowley Holdings, Series A, 12.00 (10.00 Cash / 2.00 PIK)",22500,22500,
123,"Gryphon Colleges Corporation (Delta Educational Systems, Inc.), 13.50 PIK, ***",12360,13192,
124,"Gryphon Colleges Corporation (Delta Educational Systems, Inc.), 12.50 PIK ***",332500,0,
125,"Varietal Distribution Holdings, LLC, Class A, 8.00 PIK",3097,2976,
126,TOTAL PREFERRED EQUITY,63022,,
127,EQUITY02.5,,,
128,Common Equity/Interests01.8,,,
129,Accelerate Parent Corp. (American Tire Distributors) **,3125000,4340.0,
130,"AHC Mezzanine, LLC (Advanstar) **",0,590,
131,Altegrity Holding Corp. **,353399,338,
132,"CA Holding, Inc. (Collect America, Ltd.) Series A **‡",25000,1731,
133,"CA Holding, Inc. (Collect America, Ltd.) Series AA **‡",4294,859,
134,"Caza Petroleum, Inc., Net Profits Interest **",0,886,
135,"Caza Petroleum, Inc., Overriding Royalty Interest **",0,266,
136,"Clothesline Holdings, Inc. (Angelica Corporation) **",6000,3348,
137,"Explorer Coinvest, LLC (Booz Allen) **‡",373,6645,
138,"Garden Fresh Restaurant Holding, LLC **",50000,0,
139,"Gryphon Colleges Corporation (Delta Educational Systems, Inc.) **",17500,0,
140,"GS Prysmian Co-Invest L.P. (Prysmian Cables & Systems) (2,3) **‡",0,28,
141,"JV Note Holdco, LLC (DSI Renal Inc.) **",9303,0,
142,"Pelican Energy, LLC, Net Profits Interest **‡",0,286,
143,"RC Coinvestment, LLC (Ranpak Corp.) **",50000,7060,
144,"Sorenson Communications Holdings, LLC, Class A **",454828,230,
145,"Univar, Inc. **",900000,8480,
146,"Varietal Distribution Holdings, LLC, Class A **",28028,0,
147,Total Common Equity/Interests,50860,,
148,Warrants00.7,Warrants,,
149,"CA Holding, Inc. (Collect America, Ltd.), Common **‡",7961,0.0,
150,"Energy & Exploration Partners, Inc., Common **",48077,2021,
151,"Energy & Exploration Partners, Inc., Common **",5684,80,
152,"Fidji Luxco (BC) S.C.A., Common (FCI) (2) **‡",24862,6956,
153,"Gryphon Colleges Corporation (Delta Educational Systems, Inc.), Common **",9820,0,
154,"Gryphon Colleges Corporation (Delta Educational Systems, Inc.), Class A-1 Preferred **",45947,0,
155,"Gryphon Colleges Corporation (Delta Educational Systems, Inc.), Class B-1 Preferred **",104314,0,
156,"Osage Exploration & Development, Inc., Common **‡",1496843,1171,
157,"Spotted Hawk Development LLC, Common **‡",54545,3139,
158,Total Warrants,5019,,
159,TOTAL EQUITY,55879,,
160,Total Investments in Non-Controlled/ Non-Affiliated Investments,2620699,,
