,Industry/Company,Investment_Type,Interest_Rate,Maturity_Date,Par_Shares,Cost,Fair_Value,,
24,Arlington Industries Group Limited,First Lien Secured Debt - Unfunded Delayed Draw,1.00% Unfunded,03/29/24,1300,(29),(45),(8)(9)(17)(21)(23),
25,Crowne Automotive,,,,,,,,
26,"Vari-Form Group, LLC",First Lien Secured Debt,L+11.00% (7.00% Cash plus 4.00% PIK),02/02/23,5860,938,762,(9)(13)(14),
27,Vari-Form Inc.,First Lien Secured Debt,L+11.00% (7.00% Cash plus 4.00% PIK),02/02/23,2446,391,318,(9)(13)(14),
28,"K&N Parent, Inc.",,,,,,,,
29,"K&N Parent, Inc.",Second Lien Secured Debt,"10.55% (1M L+875, 1.00% Floor)",10/21/24,23765,23474,22683,,
30,"Truck-Lite Co., LLC",,,,,,,,
31,"Truck-Lite Co., LLC",First Lien Secured Debt,"8.14% (3M L+625, 1.00% Floor)",12/14/26,77647,75720,75720,(9),
32,"Truck-Lite Co., LLC",First Lien Secured Debt - Unfunded Revolver,0.50% Unfunded,12/13/24,7993,(198),(200),(8)(9)(21)(23),
33,"Truck-Lite Co., LLC",First Lien Secured Debt - Unfunded Delayed Draw,1.00% Unfunded,12/14/26,11419,(283),(285),(8)(9)(21)(23),
34,"TL Lighting Holdings, LLC",Common Equity/Interests - Equity,N/A,N/A,350 Shares,350,350,(9)(13),
35,Aviation and Consumer Transport,,,,,,,,
36,"Merx Aviation Finance, LLC",,,,,,,,
37,"Merx Aviation Finance, LLC (5)",First Lien Secured Debt - Revolver,12.00%,10/31/23,305300,305300,305300,(23),
38,"Merx Aviation Finance, LLC (5)",First Lien Secured Debt - Letter of Credit,2.25%,07/13/20,177,-,-,(23),
39,"Merx Aviation Finance, LLC (5)",Common Equity - Membership Interests,N/A,N/A,N/A,15000,57760,,
40,Primeflight,,,,,,,,
41,"PrimeFlight Aviation Services, Inc.",First Lien Secured Debt,"7.24% (1M L+550, 1.00% Floor)",05/09/24,12450,12266,12266,(9),
42,"PrimeFlight Aviation Services, Inc.",First Lien Secured Debt - Unfunded Delayed Draw,0.50% Unfunded,05/09/24,5133,(98),(103),(8)(9)(21)(23),
43,"Beverage, Food & Tobacco",,,,,,,,
44,Bolthouse Farms,,,,,,,,
45,"Wm. Bolthouse Farms, Inc.",Common Equity/Interests - Common Stock,N/A,N/A,"1,000,000 Shares",1000,1000,(13),
46,Eagle Foods,,,,,,,,
47,"Eagle Foods Family Group, LLC",First Lien Secured Debt,"8.43% (6M L+650, 1.00% Floor)",06/14/24,24562,24357,23826,(9),
48,"Eagle Foods Family Group, LLC",First Lien Secured Debt,"8.44% (3M L+650, 1.00% Floor)",06/14/24,63,62,61,(9),
49,"Eagle Foods Family Group, LLC",First Lien Secured Debt - Revolver,"8.70% (6M L+650, 1.00% Floor)",06/14/23,333,333,323,(9)(23),
50,"Eagle Foods Family Group, LLC",First Lien Secured Debt - Revolver,"8.71% (6M L+650, 1.00% Floor)",06/14/23,83,83,81,(9)(23),
51,"Eagle Foods Family Group, LLC",First Lien Secured Debt - Revolver,"8.72% (6M L+650, 1.00% Floor)",06/14/23,250,250,243,(9)(23),
52,"Eagle Foods Family Group, LLC",First Lien Secured Debt - Unfunded Revolver,0.50% Unfunded,06/14/23,3083,(29),(93),(8)(9)(21)(23),
53,"Florida Food Products, Inc.",,,,,,,,
54,"Florida Food Products, Inc.",First Lien Secured Debt,"8.55% (1M L+675, 1.00% Floor)",09/08/25,22997,22529,22767,(9),
55,"Florida Food Products, LLC",First Lien Secured Debt - Revolver,"8.55% (1M L+675, 1.00% Floor)",09/06/23,1473,1473,1458,(9)(23),
56,"Florida Food Products, LLC",First Lien Secured Debt - Unfunded Revolver,0.50% Unfunded,09/06/23,240,(32),(2),(8)(9)(21)(23),
57,"Orgain, Inc.",,,,,,,,
58,"Butterfly Fighter Co-Invest, L.P.",Common Equity/Interests - Membership Interests,N/A,N/A,"1,000,000 Shares",1000,1000,(13),
59,TNT Crust LLC,,,,,,,,
60,TNT Crust LLC,First Lien Secured Debt,"7.05% (1M L+525, 1.00% Floor)",11/06/23,19366,19045,18978,(9),
61,TNT Crust LLC,First Lien Secured Debt - Revolver,"7.05% (1M L+525, 1.00% Floor)",11/06/23,1724,1724,1689,(9)(23),
62,TNT Crust LLC,First Lien Secured Debt - Unfunded Revolver,0.50% Unfunded,11/06/23,1528,(54),(31),(8)(9)(21)(23),
63,TNT Crust LLC,Common Equity/Interests - Series A Units,N/A,N/A,244 Shares,30,292,(9)(13),
64,Turkey Hill,,,,,,,,
65,IC Holdings LLC,Common Equity/Interests - Series A Units,N/A,N/A,169 Shares,169,154,(9)(13),
66,THLP CO. LLC,First Lien Secured Debt,"7.30% (1M L+550, 1.00% Floor)",05/30/25,19562,19208,19366,(9),
67,THLP CO. LLC,First Lien Secured Debt - Revolver,9.25% (P+450),05/31/24,449,449,445,(9)(23),
68,THLP CO. LLC,First Lien Secured Debt - Unfunded Revolver,0.50% Unfunded,05/31/24,4045,(79),(40),(8)(9)(21)(23),
69,THLP CO. LLC,First Lien Secured Debt - Unfunded Delayed Draw,1.00% Unfunded,05/30/25,5618,(40),(56),(8)(9)(21)(23),
70,Business Services,,,,,,,,
71,Access Information,,,,,,,,
72,"Access CIG, LLC",Second Lien Secured Debt,9.44% (1M L+775),02/27/26,15900,15785,15860,(10),
73,Aero Operating LLC,,,,,,,,
74,Aero Operating LLC,First Lien Secured Debt,"8.94% (1M L+725, 1.00% Floor)",12/29/22,36329,35768,35966,(9),
75,Aero Operating LLC,First Lien Secured Debt - Revolver,11.00% (P+625),12/29/22,2920,2920,2890,(9)(23),
76,Aero Operating LLC,First Lien Secured Debt - Unfunded Revolver,1.00% Unfunded,12/29/22,669,(72),(7),(8)(9)(21)(23),
77,Aero Operating LLC,First Lien Secured Debt - Letters of Credit,L+400,04/30/20 - 07/30/20,1123,-,(11),(8)(9)(23),
78,Aero Operating LLC,First Lien Secured Debt - Letter of Credit,L+725,07/30/20,101,-,(1),(8)(9)(23),
79,Ambrosia Buyer Corp.,,,,,,,,
80,Ambrosia Buyer Corp.,Second Lien Secured Debt,"9.80% (1M L+800, 1.00% Floor)",08/28/25,21429,21049,20670,,
81,Claritas,,,,,,,,
82,"Claritas, LLC",First Lien Secured Debt,"7.94% (3M L+600, 1.00% Floor)",12/21/23,3870,3838,3831,(9),
83,"Claritas, LLC",First Lien Secured Debt - Revolver,"7.79% (1M L+600, 1.00% Floor)",12/21/23,155,155,153,(9)(23),
84,"Claritas, LLC",First Lien Secured Debt - Revolver,"7.80% (1M L+600, 1.00% Floor)",12/21/23,258,258,255,(9)(23),
85,"Claritas, LLC",First Lien Secured Debt - Unfunded Revolver,0.50% Unfunded,12/21/23,619,(9),(6),(8)(9)(21)(23),
86,Continuum,,,,,,,,
87,"Continuum Global Solutions, LLC",First Lien Secured Debt - Revolver,"7.19% (1M L+550, 1.00% Floor)",02/15/22,8726,8726,8552,(9)(23),
88,"Continuum Global Solutions, LLC",First Lien Secured Debt - Unfunded Revolver,0.50% Unfunded,02/15/22,2043,(153),(41),(8)(9)(21)(23),
89,"Continuum Global Solutions, LLC",Preferred Equity - Preferred Equity,N/A,N/A,620 Shares,62,62,(9)(13),
90,"CT Technologies Intermediate Holdings, Inc",,,,,,,,
91,"CT Technologies Intermediate Holdings, Inc",Second Lien Secured Debt,"10.80% (1M L+900, 1.00% Floor)",12/01/22,31253,30761,28128,(9),
92,Education Personnel,,,,,,,,
93,Education Personnel,First Lien Secured Debt,"5.54% (3M GBPL+475, 0.50% Floor)",08/31/24,4076,5184,5354,(9)(17),
94,Education Personnel,First Lien Secured Debt - Revolver,"5.54% (3M GBPL+475, 0.50% Floor)",08/31/24,1471,1870,1932,(9)(17)(23),
95,Electro Rent Corporation,,,,,,,,
96,Electro Rent Corporation,Second Lien Secured Debt,"10.92% (3M L+900, 1.00% Floor)",01/31/25,34235,33515,33551,(9),
97,Elo Touch,,,,,,,,
98,TGG TS Acquisition Company,First Lien Secured Debt - Unfunded Revolver,0.50% Unfunded,12/14/23,1750,-,(44),(8)(21)(23),
99,Ensemble Health,,,,,,,,
100,"EHL Merger Sub, LLC",First Lien Secured Debt - Unfunded Revolver,0.25% Unfunded,10/01/24,4155,(349),(374),(8)(21)(23),
101,Jacent,,,,,,,,
102,Jacent Strategic Merchandising,First Lien Secured Debt,"7.67% (3M L+575, 1.00% Floor)",04/23/24,22636,22343,22229,(9),
103,Jacent Strategic Merchandising,First Lien Secured Debt - Revolver,"7.55% (1M L+575, 1.00% Floor)",04/23/24,117,117,115,(9)(23),
104,Jacent Strategic Merchandising,First Lien Secured Debt - Revolver,"7.67% (3M L+575, 1.00% Floor)",04/23/24,1167,1167,1146,(9)(23),
105,Jacent Strategic Merchandising,First Lien Secured Debt - Revolver,"7.69% (3M L+575, 1.00% Floor)",04/23/24,1050,1050,1031,(9)(23),
106,Jacent Strategic Merchandising,First Lien Secured Debt - Unfunded Revolver,0.50% Unfunded,04/23/24,1167,(45),(21),(8)(9)(21)(23),
107,Jacent Strategic Merchandising,Common Equity/Interests - Common Stock,N/A,N/A,"5,000 Shares",500,491,(9)(13),
108,Jones & Frank,,,,,,,,
109,"JF Acquisition, LLC",First Lien Secured Debt,"7.43% (3M L+550, 1.00% Floor)",07/31/24,8139,7989,7981,(9),
110,"JF Acquisition, LLC",First Lien Secured Debt,"7.46% (3M L+550, 1.00% Floor)",07/31/24,5272,5174,5168,(9),
111,"JF Acquisition, LLC",First Lien Secured Debt - Revolver,9.25% (P+450),07/31/24,439,439,431,(9)(23),
112,"JF Acquisition, LLC",First Lien Secured Debt - Revolver,"7.43% (3M L+550, 1.00% Floor)",07/31/24,188,188,185,(9)(23),
113,"JF Acquisition, LLC",First Lien Secured Debt - Unfunded Revolver,0.50% Unfunded,07/31/24,941,(29),(19),(8)(9)(21)(23),
114,MAKS,,,,,,,,
115,Trident Bidco Limited,First Lien Secured Debt,"8.05% (1M L+625, 1.00% Floor)",11/08/25,35000,33976,33976,(9)(17),
116,McLarens,,,,,,,,
117,Margaux Acquisition Inc.,First Lien Secured Debt,"7.60% (3M L+550, 1.00% Floor)",12/19/24,17482,17192,17281,(9),
118,Margaux Acquisition Inc.,First Lien Secured Debt,"8.10% (3M L+600, 1.00% Floor)",12/19/24,1366,1366,1350,(9),
119,Margaux Acquisition Inc.,First Lien Secured Debt - Unfunded Revolver,0.50% Unfunded,12/19/24,1601,(27),(17),(8)(9)(21)(23),
120,Margaux Acquisition Inc.,First Lien Secured Debt - Unfunded Delayed Draw,1.00% Unfunded,12/19/24,4461,(97),(52),(8)(9)(21)(23),
121,Margaux UK Finance Limited,First Lien Secured Debt,"6.50% (3M GBPL+550, 1.00% Floor)",12/19/24,5911,7345,7739,(9)(17),
122,Margaux UK Finance Limited,First Lien Secured Debt - Unfunded Revolver,0.50% Unfunded,12/19/24,541,(11),(8),(8)(9)(17)(21)(23),
123,Margaux UK Finance Limited,First Lien Secured Debt - Unfunded Delayed Draw,1.00% Unfunded,12/19/24,1353,(28),(21),(8)(9)(17)(21)(23),
124,"Ministry Brands, LLC",,,,,,,,
125,"Ministry Brands, LLC",Second Lien Secured Debt,"11.08% (2M L+925, 1.00% Floor)",06/02/23,10000,9919,9943,,
126,"Newscycle Solutions, Inc.",,,,,,,,
127,"Newscycle Solutions, Inc.",First Lien Secured Debt,"8.80% (1M L+700, 1.00% Floor)",12/29/22,14843,14615,14695,(9),
128,"Newscycle Solutions, Inc.",First Lien Secured Debt,"8.69% (1M L+700, 1.00% Floor)",12/29/22,1147,1136,1136,(9),
129,"Newscycle Solutions, Inc.",First Lien Secured Debt - Revolver,10.75% (P+600),12/29/22,40,40,40,(9)(23),
130,"Newscycle Solutions, Inc.",First Lien Secured Debt - Revolver,"8.80% (1M L+700, 1.00% Floor)",12/29/22,400,400,396,(9)(23),
131,"Newscycle Solutions, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50% Unfunded,12/29/22,60,(7),(1),(8)(9)(21)(23),
132,"PSI Services, LLC",,,,,,,,
133,"Lifelong Learner Holdings, LLC",First Lien Secured Debt,"7.49% (1M L+575, 1.00% Floor)",10/19/26,28657,28100,28098,(9),
134,"Lifelong Learner Holdings, LLC",First Lien Secured Debt,"7.54% (1M L+575, 1.00% Floor)",10/19/26,1578,1563,1547,(9),
135,"Lifelong Learner Holdings, LLC",First Lien Secured Debt,"7.66% (3M L+575, 1.00% Floor)",10/19/26,2713,2686,2660,(9),
136,"Lifelong Learner Holdings, LLC",First Lien Secured Debt - Revolver,"7.69% (3M L+575, 1.00% Floor)",10/20/25,299,299,293,(9)(23),
137,"Lifelong Learner Holdings, LLC",First Lien Secured Debt - Unfunded Revolver,0.50% Unfunded,10/20/25,2687,(58),(52),(8)(9)(21)(23),
138,"Lifelong Learner Holdings, LLC",First Lien Secured Debt - Unfunded Delayed Draw,0.00% Unfunded,10/19/26,4067,(79),(80),(8)(9)(21)(23),
139,"RA Outdoors, LLC (Active Outdoors)",,,,,,,,
140,"RA Outdoors, LLC",First Lien Secured Debt,"6.55% (1M L+475, 1.00% Floor)",09/11/24,6627,6537,6494,(9),
141,"RA Outdoors, LLC",First Lien Secured Debt - Unfunded Revolver,0.50% Unfunded,09/09/22,1200,(13),(12),(8)(9)(21)(23),
142,"RA Outdoors, LLC",Second Lien Secured Debt,"10.55% (1M L+875, 1.00% Floor)",09/11/25,31950,31380,30992,(9),
143,Soliant,,,,,,,,
144,"Soliant Holdings, LLC",First Lien Secured Debt,"7.30% (1M L+550, 1.00% Floor)",12/31/26,18064,17703,17702,(9),
145,"Soliant Health, Inc.",Common Equity/Interests - Membership Interests,N/A,N/A,300 Shares,300,300,(9)(13),
146,"STG-Fairway Acquisitions, Inc.",,,,,,,,
147,"STG-Fairway Acquisitions, Inc.",Second Lien Secured Debt,"11.05% (1M L+925, 1.00% Floor)",06/30/23,15000,14835,14850,,
148,"Transplace Holdings, Inc.",,,,,,,,
149,"Transplace Holdings, Inc.",Second Lien Secured Debt,"10.55% (1M L+875, 1.00% Floor)",10/06/25,8599,8443,8169,(10),
150,US Legal Support,,,,,,,,
151,"US Legal Support Investment Holdings, LLC",Common Equity/Interests - Series A-1 Units,N/A,N/A,"631,972 Shares",632,692,(9)(13),
152,"USLS Acquisition, Inc.",First Lien Secured Debt,"7.69% (3M L+575, 1.00% Floor)",12/02/24,24560,24152,24135,(9),
153,"USLS Acquisition, Inc.",First Lien Secured Debt - Revolver,7.69% (3M L+575),12/02/24,536,536,526,(9)(23),
154,"USLS Acquisition, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50% Unfunded,12/02/24,986,(26),(17),(8)(9)(21)(23),
155,"USLS Acquisition, Inc.",First Lien Secured Debt - Letters of Credit,5.75%,06/06/20 - 12/21/20,86,-,(1),(8)(9)(23),
156,Vertafore,,,,,,,,
157,"Vertafore, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50% Unfunded,06/30/23,14576,"(1,207)","(1,676)",(8)(21)(23),
158,"Vertafore, Inc.",First Lien Secured Debt - Letter of Credit,3.25%,01/17/20,424,-,(49),(8)(23),
159,"Chemicals, Plastics & Rubber",,,,,,,,
160,Carbonfree Chemicals,,,,,,,,
161,Carbonfree Caustic SPE LLC (4),First Lien Secured Debt,5.00%,12/31/24,13111,13111,13111,,
162,Carbonfree Chemicals Holdings LLC (4),Common Equity/Interests,N/A,N/A,"1,381 Shares",30011,14982,(13),
163,Carbonfree Chemicals SA LLC (4),Common Equity/Interests - Class B Units,N/A,N/A,175 Shares,14266,10163,(13),
164,Carbonfree Chemicals SPE I LLC (f/k/a Maxus Capital Carbon SPE I LLC) (4),First Lien Secured Debt,5.22% PIK,12/31/24,16900,16900,16900,,
165,Niacet Corporation,,,,,,,,
166,"Hare Bidco, Inc.",Second Lien Secured Debt,9.75% (1M E+875),08/01/24,13574,14496,15085,,
167,"Westfall Technik, Inc.",,,,,,,,
168,"Westfall Technik, Inc.",First Lien Secured Debt,"7.67% (3M L+575, 1.00% Floor)",09/13/24,673,666,666,(9),
169,"Westfall Technik, Inc.",First Lien Secured Debt,"7.69% (3M L+575, 1.00% Floor)",09/13/24,15306,15058,15153,(9),
170,"Westfall Technik, Inc.",First Lien Secured Debt - Revolver,"7.40% (3M L+550, 1.00% Floor)",09/13/24,135,135,133,(9)(23),
171,"Westfall Technik, Inc.",First Lien Secured Debt - Revolver,9.50% (P+475),09/13/24,1615,1615,1599,(9)(23),
172,Construction & Building,,,,,,,,
173,Englert,,,,,,,,
174,"Gutter Buyer, Inc.",First Lien Secured Debt,"8.05% (1M L+625, 1.00% Floor)",03/06/25,26983,26524,26451,(9),
175,"Gutter Buyer, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50% Unfunded,03/06/24,2727,(57),(53),(8)(9)(21)(23),
176,"Gutter Buyer, Inc.",First Lien Secured Debt - Unfunded Delayed Draw,1.00% Unfunded,03/06/25,2045,(44),(40),(8)(9)(21)(23),
177,"Gutter Holdings, LP",Common Equity/Interests - Common Stock,N/A,N/A,500 Shares,500,663,(9),
178,Consumer Goods – Durable,,,,,,,,
179,Dan Dee,,,,,,,,
180,"Project Comfort Buyer, Inc.",First Lien Secured Debt,"9.19% (6M L+700, 1.00% Floor)",02/03/25,23324,22729,22624,(9),
181,"Project Comfort Buyer, Inc.",First Lien Secured Debt - Revolver,"9.20% (6M L+700, 1.00% Floor)",02/01/24,692,692,672,(9)(23),
182,"Project Comfort Buyer, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50% Unfunded,02/01/24,2769,(85),(83),(8)(9)(21)(23),
183,"Project Comfort Buyer, Inc.",First Lien Secured Debt - Unfunded Delayed Draw,0.50% Unfunded,02/03/25,2308,(29),(69),(8)(9)(21)(23),
184,"Project Comfort Buyer, Inc.",Preferred Equity - Preferred Equity,N/A,N/A,"461,538 Shares",462,402,(9)(13),
185,"Hayward Industries, Inc.",,,,,,,,
186,"Hayward Industries, Inc.",Second Lien Secured Debt,10.05% (1M L+825),08/04/25,21919,21682,21531,,
187,KDC,,,,,,,,
188,KDC US Holdings,First Lien Secured Debt - Unfunded Revolver,0.25% Unfunded,12/21/23,5912,-,(450),(8)(21)(23),
189,KDC US Holdings,First Lien Secured Debt - Letters of Credit,3.25%,03/08/20 - 12/31/20,108,-,(8),(8)(23),
190,"KLO Holdings, LLC",,,,,,,,
191,9357-5991 Quebec Inc.,First Lien Secured Debt,11.82% (3M L+775 Cash plus 2.00% PIK),04/07/22,9290,8653,2523,(13)(14),
192,KLO Acquisition LLC,First Lien Secured Debt,11.82% (3M L+775 Cash plus 2.00% PIK),04/07/22,5677,5300,1542,(13)(14),
193,"Sorenson Holdings, LLC",,,,,,,,
194,"Sorenson Holdings, LLC",Common Equity/Interests - Membership Interests,N/A,N/A,587 Shares,-,470,(10)(13),
195,Consumer Goods – Non-durable,,,,,,,,
196,3D Protein,,,,,,,,
197,"Protein For Pets Opco, LLC",First Lien Secured Debt,"6.80% (1M L+500, 1.00% Floor)",11/28/25,12749,12517,12494,(9),
198,"Protein For Pets Opco, LLC",First Lien Secured Debt - Unfunded Revolver,0.50% Unfunded,05/31/24,2219,(51),(44),(8)(9)(21)(23),
199,"Authentic Brands Group, LLC",,,,,,,,
200,"ABG Intermediate Holdings 2, LLC",Second Lien Secured Debt,"9.55% (1M L+775, 1.00% Floor)",09/29/25,7230,7207,7238,(10),
201,Beauty Industry Group (BIG),,,,,,,,
202,"BIG Buyer, LLC",First Lien Secured Debt,"8.30% (1M L+650, 1.00% Floor)",11/20/23,22424,21912,22200,(9),
203,"BIG Buyer, LLC",First Lien Secured Debt - Unfunded Revolver,0.50% Unfunded,11/20/23,1806,(42),(18),(8)(9)(21)(23),
204,DMC,,,,,,,,
205,Lion Cashmere Midco Limited,First Lien Secured Debt,"7.83% (6M L+575, 1.00% Floor)",03/21/25,13053,12854,12715,(9)(17),
206,Lion Cashmere Midco Limited,First Lien Secured Debt - Revolver,5.25% (6M E+525),03/21/24,249,282,273,(9)(17)(23),
207,Lion Cashmere Midco Limited,First Lien Secured Debt - Revolver,"6.05% (6M L+525, 1.00% Floor)",03/21/24,36,44,46,(9)(17)(23),
208,Lion Cashmere Midco Limited,First Lien Secured Debt - Unfunded Revolver,1.84% Unfunded,03/21/24,901,(20),(24),(8)(9)(17)(21)(23),
209,Lion Cashmere Midco Limited,First Lien Secured Debt - Unfunded Delayed Draw,2.01% Unfunded,03/21/25,2372,(41),(73),(8)(9)(17)(21)(23),
210,"Sequential Brands Group, Inc.",,,,,,,,
211,"Sequential Brands Group, Inc.",Second Lien Secured Debt,10.55% (1M L+875),02/07/24,12965,12876,12841,(17),
212,Consumer Services,,,,,,,,
213,1A Smart Start LLC,,,,,,,,
214,1A Smart Start LLC,Second Lien Secured Debt,"10.05% (1M L+825, 1.00% Floor)",08/22/22,25100,24815,24708,,
215,Clarus Commerce,,,,,,,,
216,"Marlin DTC-LS Midco 2, LLC",First Lien Secured Debt,"7.80% (1M L+600, 1.00% Floor)",07/01/25,9268,9120,9164,,
217,"Marlin DTC-LS Midco 2, LLC",First Lien Secured Debt - Unfunded Revolver,0.50% Unfunded,07/01/25,685,(11),(8),(8)(21)(23),
218,First Heritage,,,,,,,,
219,"First Heritage Credit, LLC",First Lien Secured Debt,6.44% (1M L+475),04/02/22,16500,16376,16360,(9),
220,"First Heritage Credit, LLC",First Lien Secured Debt - Revolver,7.19% (1M L+550),04/02/22,2613,2613,2593,(9)(23),
221,"First Heritage Credit, LLC",First Lien Secured Debt - Unfunded Revolver,0.50% Unfunded,04/02/22,1137,(28),(9),(8)(9)(21)(23),
222,"First Heritage Credit, LLC",First Lien Secured Debt - Unfunded Delayed Draw,0.50% Unfunded,04/02/22,9750,(73),(83),(8)(9)(21)(23),
223,Only About Children,,,,,,,,
224,Nemo (BC) Bidco Pty Ltd,First Lien Secured Debt,"6.75% (1M BBSW+575, 1.00% Floor)",04/06/24,A$,6768,4919,4662,(17)
225,Nemo (BC) Bidco Pty Ltd,First Lien Secured Debt - Unfunded Delayed Draw,2.59% Unfunded,04/06/24,A$,232,(8),(3),(8)(17)(21)(23)
226,Paper Source,,,,,,,,
227,"Paper Source, Inc.",First Lien Secured Debt,"8.93% (3M L+700, 1.00% Floor)",05/22/24,11769,11562,11416,(9),
228,"Pinstripe Holdings, LLC",,,,,,,,
229,"Pinstripe Holdings, LLC",First Lien Secured Debt,"7.80% (1M L+600, 1.00% Floor)",01/17/25,6948,6830,6843,,
230,The Club Company,,,,,,,,
231,Eldrickco Limited,First Lien Secured Debt,"6.29% (3M GBPL+550, 0.50% Floor)",11/21/25,8965,11245,11527,(9)(17),
232,Eldrickco Limited,First Lien Secured Debt,"6.30% (3M GBPL+550, 0.50% Floor)",11/21/25,603,793,787,(9)(17),
233,Eldrickco Limited,First Lien Secured Debt - Unfunded Revolver,1.75% Unfunded,05/21/25,345,(13),(13),(8)(9)(17)(21)(23),
234,Eldrickco Limited,First Lien Secured Debt - Unfunded Delayed Draw,1.93% Unfunded,11/21/25,5086,(108),(101),(8)(9)(17)(21)(23),
235,"Tidewater Consumer Receivables, LLC",,,,,,,,
236,"Tidewater Consumer Receivables, LLC",First Lien Secured Debt,7.44% (1M L+575),12/28/23,11333,11243,11220,(9)(17),
237,"Tidewater Consumer Receivables, LLC",First Lien Secured Debt - Revolver,7.44% (1M L+575),12/28/23,790,790,782,(9)(17)(23),
238,"Tidewater Consumer Receivables, LLC",First Lien Secured Debt - Unfunded Revolver,0.00% Unfunded,12/28/23,1543,(9),(15),(8)(9)(17)(21)(23),
239,US Auto,,,,,,,,
240,"U.S. Auto Finance, Inc.",First Lien Secured Debt,6.66% (3M L+475),04/17/22,20000,19941,19836,(9),
241,"U.S. Auto Finance, Inc.",First Lien Secured Debt,6.71% (1M L+475),04/17/22,1000,1000,993,(9),
242,"U.S. Auto Finance, Inc.",First Lien Secured Debt - Revolver,7.41% (3M L+550),04/17/22,17261,17261,17120,(9)(23),
243,"U.S. Auto Finance, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50% Unfunded,04/17/22,2739,(80),(22),(8)(9)(21)(23),
244,"U.S. Auto Finance, Inc.",First Lien Secured Debt - Unfunded Delayed Draw,2.00% Unfunded,12/31/20,2000,(36),(22),(8)(9)(21)(23),
245,"Containers, Packaging & Glass",,,,,,,,
246,"TricorBraun Holdings, Inc.",,,,,,,,
247,"TricorBraun Holdings, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50% Unfunded,11/30/21,5625,(194),-,(21)(23),
248,"Diversified Investment Vehicles, Banking, Finance, Real Estate",,,,,,,,
249,Alera Group Holdings,,,,,,,,
250,Alera Group Intermediate Holdings,First Lien Secured Debt,6.30% (1M L+450),08/01/25,2972,2910,2972,(10),
251,Celink,,,,,,,,
252,Compu-Link Corporation,First Lien Secured Debt - Unfunded Revolver,0.50% Unfunded,06/11/24,2273,(45),(51),(8)(9)(21)(23),
253,"Peer Advisors, LLC",First Lien Secured Debt,"7.30% (1M L+550, 1.00% Floor)",06/11/24,22159,21715,21660,(9),
254,"Exeter Property Group, LLC",,,,,,,,
255,"Exeter Property Group, LLC",First Lien Secured Debt,6.19% (1M L+450),08/28/24,4784,4723,4743,(9),
