,Industry/Company,Investment_Type,Interest_Rate,Maturity_Date,Par_Shares,Cost,Fair_Value,,
153,"Wildcat BuyerCo, Inc.",First Lien Secured Debt,"L+500, 1.00% Floor",02/27/26,3171,896,1126,(21)(23)  (28),
154,"Wildcat BuyerCo, Inc.",First Lien Secured Debt - Revolver,"L+500, 1.00% Floor",02/27/26,725,(12),(3),(8)(21)(23),
155,Wildcat Parent LP,Common Equity - Common Stock,N/A,N/A,"1,070 Shares",107,161,(13),
156,"Sorenson Holdings, LLC",,,,,,,,
157,"Sorenson Holdings, LLC",Common Equity - Membership Interests,N/A,N/A,587 Shares,-,411,(10)(13),
159,Consumer Goods – Non-durable,,,,,,,,
160,3D Protein,,,,,,,,
161,"Protein For Pets Opco, LLC",First Lien Secured Debt - Revolver,"L+500, 1.00% Floor",05/31/24,2219,(31),-,(9)(21)(23),
162,Beauty Industry Group (BIG),,,,,,,,
163,"Big Buyer, LLC",First Lien Secured Debt,"L+650, 1.00% Floor",11/20/23,30373,29985,30285,(9)(26),
164,"Big Buyer, LLC",First Lien Secured Debt,"L+650, 1.00% Floor",11/20/23,1000,(6),(3),(8)(9)(21)  (23),
165,"Big Buyer, LLC",First Lien Secured Debt - Revolver,"L+650, 1.00% Floor",11/20/23,1806,(23),(5),(8)(9)(21)  (23),
166,Dan Dee,,,,,,,,
167,"Project Comfort Buyer, Inc.",First Lien Secured Debt,"L+700, 1.00% Floor",02/01/25,25590,25167,24564,(9)(28),
168,"Project Comfort Buyer, Inc.",First Lien Secured Debt - Revolver,"L+700, 1.00% Floor",02/01/24,3462,1106,1008,(9)(21)(23)  (28),
169,"Project Comfort Buyer, Inc.",Preferred Equity - Preferred Equity,N/A,N/A,"461,538 Shares",462,258,(9)(13),
170,LashCo,,,,,,,,
171,"Lash OpCo, LLC",First Lien Secured Debt,"L+700, 1.00% Floor",03/18/26,20000,19557,19558,(9)(26),
172,"Lash OpCo, LLC",First Lien Secured Debt,"P+600, 1.00% Floor",03/18/26,10171,9956,9946,(9)(34),
173,"Lash OpCo, LLC",First Lien Secured Debt - Revolver,"L+700, 1.00% Floor",09/18/25,1503,190,207,(9)(21)(23)  (26)(29),
174,Olaplex,,,,,,,,
175,"Olaplex, Inc.",First Lien Secured Debt,"L+625, 1.00% Floor",01/08/26,12142,11967,12256,(9)(26),
176,"Olaplex, Inc.",First Lien Secured Debt - Revolver,"L+650, 1.00% Floor",01/08/25,2300,(30),-,(9)(21)(23),
177,"Sequential Brands Group, Inc.",,,,,,,,
178,"Sequential Brands Group, Inc.",First Lien Secured Debt,"L+500, 1.00% Floor",01/28/22,6964,6535,6537,(17)(21)  (23)(26),
179,"Sequential Brands Group, Inc.",Second Lien Secured Debt,8.75%,02/07/24,12658,12606,11545,(13)(14)  (17),
181,Consumer Services,,,,,,,,
182,Activ,,,,,,,,
183,"Activ Software Holdings, LLC",First Lien Secured Debt,"L+625, 1.00% Floor",05/04/27,30018,29450,29403,(9)(29),
184,"Activ Software Holdings, LLC",First Lien Secured Debt - Revolver,"L+625, 1.00% Floor",05/04/27,2407,(45),(49),(8)(9)(21)  (23),
185,Bird,,,,,,,,
186,"Bird US Opco, LLC",First Lien Secured Debt,"L+900, 1.00% Floor",04/27/24,15055,4464,4474,(9)(23)(26),
187,Clarus Commerce,,,,,,,,
188,"Marlin DTC-LS Midco 2, LLC",First Lien Secured Debt,"L+650, 1.00% Floor",07/01/25,22262,21923,22080,(26)(28),
189,"Marlin DTC-LS Midco 2, LLC",First Lien Secured Debt - Revolver,"L+600, 1.00% Floor",07/01/25,685,(8),(5),(8)(21)(23),
190,First Heritage,,,,,,,,
191,"First Heritage Credit, LLC",First Lien Secured Debt,"L+475, 0.00% Floor",04/02/22,26250,17971,17948,(9)(21)(23)  (26),
192,"First Heritage Credit, LLC",First Lien Secured Debt - Revolver,"L+550, 0.00% Floor",04/02/22,3750,1942,1946,(9)(21)(23)  (26),
193,Go Car Wash,,,,,,,,
194,Go Car Wash Management Corp.,First Lien Secured Debt,"L+550, 1.00% Floor",12/31/26,8023,7870,7902,(9)(26),
195,Go Car Wash Management Corp.,First Lien Secured Debt,"L+550, 1.00% Floor",12/31/26,3462,154,102,(9)(21)(23)  (26),
196,Go Car Wash Management Corp.,First Lien Secured Debt - Revolver,"L+550, 1.00% Floor",12/31/26,417,288,285,(9)(21)(23)  (26),
197,Lending Point,,,,,,,,
198,LendingPoint LLC,First Lien Secured Debt,"L+1050, 1.00% Floor",12/30/25,17500,11218,11225,(9)(21)(23)  (28),
199,LendingPoint LLC,First Lien Secured Debt,"L+575, 1.00% Floor",12/30/25,4167,3153,3157,(9)(21)(23)  (28),
200,LendingPoint LLC,First Lien Secured Debt - Revolver,"L+575, 1.00% Floor",12/30/25,8333,5059,5066,(9)(21)(23)  (28),
201,Only About Children,,,,,,,,
202,Nemo (BC) Bidco Pty Ltd,First Lien Secured Debt,"BBSW+625, 0.00% Floor",04/06/24,A$,6008,4395,4212,(17)(33)
203,Nemo (BC) Bidco Pty Ltd,First Lien Secured Debt,"BBSW+625, 0.00% Floor",04/06/24,A$,992,545,527,(17)(21) (23)(33)
204,Paper Source,,,,,,,,
205,Papershop Holdco Inc.,First Lien Secured Debt,"L+700, 1.00% Floor",05/27/26,10607,10505,10501,(9)(28),
206,Papershop Holdco Inc.,First Lien Secured Debt - Revolver,"L+700, 1.00% Floor",05/27/26,2671,1355,1354,(9)(21)(23)  (28),
207,Papershop Holdco Inc.,First Lien Secured Debt - Revolver,"P+600, 1.00% Floor",05/27/26,411,407,407,(9)(21)(23)  (34),
208,"Pinstripe Holdings, LLC",,,,,,,,
209,"Pinstripe Holdings, LLC",First Lien Secured Debt,"L+550, 1.00% Floor",01/17/25,6791,6714,6780,(28),
210,The Club Company,,,,,,,,
211,Eldrickco Limited,First Lien Secured Debt,"GBPL+625, 0.50% Floor",11/21/25,9393,11936,12202,(9)(17)(32),
212,Eldrickco Limited,First Lien Secured Debt,"GBPL+625, 0.50% Floor",11/21/25,5690,2064,2133,(9)(17)(23)  (32),
213,Eldrickco Limited,First Lien Secured Debt - Revolver,"GBPL+625, 0.50% Floor",05/21/25,356,411,462,(9)(17)(23)  (32),
214,US Auto,,,,,,,,
215,"U.S. Auto Finance, Inc.",First Lien Secured Debt,"L+525, 0.00% Floor",04/17/24,20000,4623,4558,(9)(21)(23)  (28),
216,"U.S. Auto Finance, Inc.",First Lien Secured Debt - Revolver,"L+600, 0.00% Floor",04/17/24,13333,4515,4507,(9)(21)(23)  (28),
218,"Diversified Investment Vehicles, Banking, Finance, Real Estate",,,,,,,,
219,Celink,,,,,,,,
220,Compu-Link Corporation,First Lien Secured Debt - Revolver,"L+550, 1.00% Floor",06/11/24,2273,(28),(16),(8)(9)(21)  (23),
221,"Peer Advisors, LLC",First Lien Secured Debt,"L+550, 1.00% Floor",06/11/24,17670,17451,17543,(9)(26),
222,"Flock Financial, LLC",,,,,,,,
223,"Flock SPV I, LLC",First Lien Secured Debt,"L+650, 1.00% Floor",12/31/22,14667,11991,12000,(9)(17)(21)  (23)(26),
224,"Flock SPV I, LLC",First Lien Secured Debt - Revolver,"L+650, 1.00% Floor",12/31/22,5333,(36),-,(9)(17)(21)  (23),
225,Golden Bear,,,,,,,,
226,"Golden Bear 2016-R, LLC (4)",Structured Products and Other - Membership Interests,N/A,09/20/42,N/A,16837,10795,(3)(17),
227,"Purchasing Power, LLC",,,,,,,,
228,"Purchasing Power Funding I, LLC",First Lien Secured Debt - Revolver,"L+650, 0.00% Floor",01/24/24,9113,-,-,(9)(21)(23),
229,Spectrum Automotive,,,,,,,,
230,CC SAG Holdings Corp.,First Lien Secured Debt,"L+575, 0.75% Floor",06/29/28,11405,11236,11234,(9)(28),
231,CC SAG Holdings Corp.,First Lien Secured Debt,"L+575, 0.75% Floor",06/29/28,3147,(22),(47),(8)(9)(21)  (23),
232,CC SAG Holdings Corp.,First Lien Secured Debt - Revolver,"L+575, 0.75% Floor",06/29/27,420,(6),(6),(8)(9)(21)  (23),
233,"Ten-X, LLC",,,,,,,,
234,"Ten-X, LLC",First Lien Secured Debt - Revolver,"L+325, 0.00% Floor",09/29/22,4680,4596,4526,(23)(26),
236,Education,,,,,,,,
237,NFA Group,,,,,,,,
238,SSCP Spring Bidco Limited,First Lien Secured Debt,"GBPL+625, 0.00% Floor",07/30/25,30000,36255,40223,(9)(17)(32),
240,Energy – Electricity,,,,,,,,
241,"Renew Financial LLC (f/k/a Renewable Funding, LLC)",,,,,,,,
242,"AIC SPV Holdings II, LLC (4)",Preferred Equity - Preferred Stock,N/A,N/A,"534,375 Shares",534,439,(15)(17)(25),
243,"Renew Financial LLC (f/k/a Renewable Funding, LLC) (4)",Preferred Equity - Series B Preferred Stock,N/A,N/A,"1,505,868 Shares",8343,-,(13)(25),
244,"Renew Financial LLC (f/k/a Renewable Funding, LLC) (4)",Preferred Equity - Series D Preferred Stock,N/A,N/A,"436,689 Shares",5568,-,(13)(25),
245,"Renew Financial LLC (f/k/a Renewable Funding, LLC) (4)",Preferred Equity - Series E Preferred Stock,N/A,N/A,"441,576 Shares",1902,4994,(13)(17)  (25),
246,Renew JV LLC (4),Common Equity - Membership Interests,N/A,N/A,"548,175 Shares",548,629,(13)(17)  (25),
247,Solarplicity Group Limited (f/k/a AMP Solar UK),,,,,,,,
248,Solarplicity UK Holdings Limited,First Lien Secured Debt,4.00%,03/08/23,5562,7357,2167,(14)(17),
249,Solarplicity UK Holdings Limited,Preferred Equity - Preferred Stock,N/A,N/A,"4,286 Shares",5623,-,(2)(13)(17),
250,Solarplicity UK Holdings Limited,Common Equity - Ordinary Shares,N/A,N/A,"2,825 Shares",4,-,(2)(13)(17),
252,Energy – Oil & Gas,,,,,,,,
253,"Glacier Oil & Gas Corp. (f/k/a Miller Energy Resources, Inc.)",,,,,,,,
254,"Glacier Oil & Gas Corp. (f/k/a Miller Energy Resources, Inc.) (5)",Second Lien Secured Debt,10.00% PIK,03/31/23,15000,15000,4922,(14),
255,"Glacier Oil & Gas Corp. (f/k/a Miller Energy Resources, Inc.) (5)",Common Equity - Common Stock,N/A,N/A,"10,000,000 Shares",30078,-,(13)(25),
256,Pelican,,,,,,,,
257,"Pelican Energy, LLC (4)",Common Equity - Membership Interests,N/A,N/A,"1,444 Shares",16764,2170,(13)(16)  (17)(25),
258,Spotted Hawk,,,,,,,,
259,"SHD Oil & Gas, LLC (5)",First Lien Secured Debt - Tranche C Note,12.00%,06/30/22,24728,24728,25470,,
260,"SHD Oil & Gas, LLC (5)",Common Equity - Series C Units,N/A,N/A,"50,952,525 Shares",44065,6740,(13)(16) (25),
261,"SHD Oil & Gas, LLC (5)",Common Equity - Series A Units,N/A,N/A,"7,600,000 Shares",1411,-,(13)(16) (25),
263,Environmental Industries,,,,,,,,
264,Ortega National Parks,,,,,,,,
265,"Ortega National Parks, LLC",First Lien Secured Debt,"L+525, 1.00% Floor",10/31/25,8994,8875,8725,(9)(29),
266,"Ortega National Parks, LLC",First Lien Secured Debt,"L+525, 1.00% Floor",10/31/25,6596,340,197,(9)(23)(29),
267,"Ortega National Parks, LLC",First Lien Secured Debt - Revolver,"L+525, 1.00% Floor",10/31/25,1366,(29),(41),(8)(9)(21)  (23),
269,Healthcare & Pharmaceuticals,,,,,,,,
270,83bar,,,,,,,,
271,"83Bar, Inc.",First Lien Secured Debt,"L+575, 1.50% Floor",07/02/26,5000,4976,4975,(9)(26),
272,Akoya,,,,,,,,
273,"Akoya Biosciences, Inc.",First Lien Secured Debt,"L+635, 1.50% Floor",10/27/25,9750,9771,9750,(9)(26),
274,"Akoya Biosciences, Inc.",First Lien Secured Debt,"L+635, 1.50% Floor",10/27/25,1500,(7),-,(9)(23),
275,AmeriVet,,,,,,,,
276,"Amerivet Partners Management, Inc.",First Lien Secured Debt,"L+475, 1.00% Floor",06/05/24,25580,25284,25037,(9)(29),
277,"Amerivet Partners Management, Inc.",First Lien Secured Debt,"L+475, 1.00% Floor",06/05/24,8116,7957,7944,(9)(26)(27)  (28)(29),
278,"Amerivet Partners Management, Inc.",First Lien Secured Debt - Revolver,"L+475, 1.00% Floor",06/05/24,806,(9),(17),(8)(9)(21)  (23),
279,AmeriVet Partners Parent LP,Common Equity - Class D Partnership Units,N/A,N/A,13 Shares,125,234,(9)(13),
280,Analogic,,,,,,,,
281,Analogic Corporation,First Lien Secured Debt,"L+525, 1.00% Floor",06/22/24,17941,17735,17672,(9)(26),
282,Analogic Corporation,First Lien Secured Debt - Revolver,"L+525, 1.00% Floor",06/22/23,1826,(16),(27),(8)(9)(21)  (23),
283,BK Medical,,,,,,,,
284,"BK Medical Holding Company, Inc.",First Lien Secured Debt,"L+525, 1.00% Floor",06/22/24,7195,7150,7195,(9)(26),
285,"BK Medical Holding Company, Inc.",First Lien Secured Debt - Revolver,"L+525, 1.00% Floor",06/22/24,783,(4),-,(9)(21)(23),
286,CARE Fertility,,,,,,,,
287,Royton Bidco Limited,First Lien Secured Debt,"GBPL+625, 0.50% Floor",05/09/25,15354,19651,20529,(9)(17)(31),
288,Royton Bidco Limited,First Lien Secured Debt,"GBPL+625, 0.50% Floor",05/09/25,4412,2655,2847,(9)(17)(21)  (23)(31),
289,Cerus,,,,,,,,
