,new_Industry,Industry / Company,Investment Type,Interest Rate,Maturity Date,Par/Shares (12),Cost (35),Fair Value (1)(36),,
37,,"Merx Aviation Finance, LLC (5)",Common Equity - Membership Interests,N/A,N/A,N/A,35800,43241,(25),
38,,"Merx Aviation Finance, LLC (5)",310800,318241,,,,,,
39,Primeflight,Primeflight,,,,,,,,
40,,"PrimeFlight Aviation Services, Inc.",First Lien Secured Debt,"L+625, 1.00 Floor",05/09/24,17384,17186,17281,(9)(26),
42,"Beverage, Food & Tobacco","Beverage, Food & Tobacco",,,,,,,,
43,Berner Foods,Berner Foods,,,,,,,,
44,,"Berner Food & Beverage, LLC",First Lien Secured Debt,"L+650, 1.00 Floor",07/30/27,31041,30375,30886,(9)(29),
45,,"Berner Food & Beverage, LLC",First Lien Secured Debt - Revolver,"L+650, 1.00 Floor",07/30/26,2247,529,565,(9)(21)(23)  (29),
46,,"Berner Food & Beverage, LLC",First Lien Secured Debt - Revolver,P+550,07/30/26,634,621,631,(9)(23)(34),
47,,"Berner Food & Beverage, LLC",31525,32082,,,,,,
48,Bolthouse Farms,Bolthouse Farms,,,,,,,,
49,,"Wm. Bolthouse Farms, Inc.",Common Equity - Common Stock,N/A,N/A,"1,000,000 Shares",1001,990,(13),
50,Hive,Hive,,,,,,,,
51,,"FCP-Hive Holdings, LLC",Preferred Equity - Preferred Equity,N/A,N/A,589 Shares,448,475,(9)(13)(25),
52,,"FCP-Hive Holdings, LLC",Common Equity - Common Stock,N/A,N/A,589 Shares,3,50,(9)(13)(25),
53,,"Hive Intermediate, LLC",First Lien Secured Debt,"L+600, 1.00 Floor",09/22/27,17166,16849,16995,(9)(26),
54,,"Hive Intermediate, LLC",First Lien Secured Debt - Revolver,"L+600, 1.00 Floor",09/22/27,2326,422,442,(9)(21)(23)  (26),
55,,"Hive Intermediate, LLC",17722,17962,,,,,,
56,"Orgain, Inc.","Orgain, Inc.",,,,,,,,
57,,"Butterfly Fighter Co-Invest, L.P.",Common Equity - Membership Interests,N/A,N/A,"1,000,000 Shares",1005,1000,,
58,Rise Baking,Rise Baking,,,,,,,,
59,,Ultimate Baked Goods Midco LLC,First Lien Secured Debt,"L+625, 1.00 Floor",08/13/27,26757,26121,26096,(9)(29),
60,,Ultimate Baked Goods Midco LLC,First Lien Secured Debt - Revolver,"L+625, 1.00 Floor",08/13/27,3243,1626,1623,(9)(20)(21)  (23)(28)(29),
61,,Ultimate Baked Goods Midco LLC,27747,27719,,,,,,
62,TNT Crust LLC,TNT Crust LLC,,,,,,,,
63,,TNT Crust LLC,First Lien Secured Debt,"L+675, 1.00 Floor",11/06/23,21655,21406,21113,(9)(28),
64,,TNT Crust LLC,First Lien Secured Debt - Revolver,"L+675 Cash plus 1.00 PIK, 1.00 Floor",11/06/23,3252,3069,3011,(9)(21)(23)  (28)(29),
65,,TNT Crust LLC,Common Equity - Series A Units,N/A,N/A,244 Shares,30,136,(9)(13),
66,,TNT Crust LLC,24505,24260,,,,,,
67,Turkey Hill,Turkey Hill,,,,,,,,
68,,IC Holdings LLC,Common Equity - Series A Units,N/A,N/A,169 Shares,169,273,(9)(13),
69,,THLP CO. LLC,First Lien Secured Debt,"L+600, 1.00 Floor",05/31/25,25124,24811,24369,(9)(26),
70,,THLP CO. LLC,First Lien Secured Debt - Revolver,P+500,05/31/24,4494,2878,2787,(9)(20)(21)  (23)(34),
71,,THLP CO. LLC,27858,27429,,,,,,
73,Business Services,Business Services,,,,,,,,
74,Access Information,Access Information,,,,,,,,
75,,"Access CIG, LLC",Second Lien Secured Debt,"L+775, 0.00 Floor",02/27/26,15900,15820,15764,(26),
76,AlpineX,AlpineX,,,,,,,,
77,,"Alpinex Opco, LLC",First Lien Secured Debt,"L+600, 1.00 Floor",12/27/27,16383,11633,11632,(9)(21)(23)  (28),
78,,"Alpinex Opco, LLC",First Lien Secured Debt - Revolver,"L+600, 1.00 Floor",12/27/27,1117,(22),(22),(8)(9)(21)  (23),
79,,"Alpinex Opco, LLC",11611,11610,,,,,,
80,Ambrosia Buyer Corp.,Ambrosia Buyer Corp.,,,,,,,,
81,,Ambrosia Buyer Corp.,Second Lien Secured Debt,9.00,08/28/25,21429,19069,5657,(14),
82,AML Rightsource,AML Rightsource,,,,,,,,
83,,"Gabriel Partners, LLC",First Lien Secured Debt,"L+600, 1.00 Floor",09/21/26,31531,30951,31291,(9)(29),
84,,"Gabriel Partners, LLC",First Lien Secured Debt - Revolver,"L+625, 1.00 Floor",09/21/26,665,(14),(5),(8)(9)(21)  (23),
85,,"Gabriel Partners, LLC",30937,31286,,,,,,
86,Claritas,Claritas,,,,,,,,
87,,"Claritas, LLC",First Lien Secured Debt,"L+575, 1.00 Floor",12/21/23,3671,3656,3635,(9)(26),
88,,"Claritas, LLC",First Lien Secured Debt - Revolver,"L+575, 1.00 Floor",12/21/23,1031,73,67,(9)(21)(23)  (26),
89,,"Claritas, LLC",3729,3702,,,,,,
90,Continuum,Continuum,,,,,,,,
91,,"Continuum Global Solutions, LLC",First Lien Secured Debt - Revolver,"L+550, 1.00 Floor",10/29/24,20000,11728,11463,(9)(21)(23)  (26),
92,,"Continuum Global Solutions, LLC",Preferred Equity - Preferred Equity,N/A,N/A,775 Shares,78,78,(9)(13),
93,,"Continuum Global Solutions, LLC",11806,11541,,,,,,
94,Electro Rent Corporation,Electro Rent Corporation,,,,,,,,
95,,Electro Rent Corporation,Second Lien Secured Debt,"L+900, 1.00 Floor",01/31/25,34235,33764,34064,(9)(28),
96,Elo Touch,Elo Touch,,,,,,,,
97,,TGG TS Acquisition Company,First Lien Secured Debt - Revolver,"L+650, 0.00 Floor",12/14/23,1750,250,216,(21)(23)(26),
98,Ensemble Health,Ensemble Health,,,,,,,,
99,,"EHL Merger Sub, LLC",First Lien Secured Debt - Revolver,"L+325, 0.00 Floor",08/01/24,4155,(198),(119),(8)(21)(23),
100,Jacent,Jacent,,,,,,,,
101,,Jacent Strategic Merchandising,First Lien Secured Debt,"L+625, 1.00 Floor",04/23/24,22142,21983,21743,(9)(28)(29),
102,,Jacent Strategic Merchandising,First Lien Secured Debt - Revolver,"L+625, 1.00 Floor",04/23/24,3500,3469,3430,(9)(21)(23)  (28)(29),
103,,Jacent Strategic Merchandising,Common Equity - Common Stock,N/A,N/A,"5,000 Shares",500,144,(9)(13),
104,,"JSM Equity Investors, L.P.",Preferred Equity - Class P Partnership Units,N/A,N/A,114 Shares,11,11,(9)(13),
105,,"JSM Equity Investors, L.P.",25963,25328,,,,,,
106,Jones & Frank,Jones & Frank,,,,,,,,
107,,"JF Acquisition, LLC",First Lien Secured Debt,"L+550, 1.00 Floor",07/31/24,13234,13094,13083,(9)(28)(30),
108,,"JF Acquisition, LLC",First Lien Secured Debt - Revolver,"L+550, 1.00 Floor",07/31/24,1569,1427,1426,(9)(21)(23)  (28)(30),
109,,"JF Acquisition, LLC",14521,14509,,,,,,
110,MAKS,MAKS,,,,,,,,
111,,Trident Bidco Limited,First Lien Secured Debt,"L+550, 1.00 Floor",11/08/25,33688,33033,33677,(9)(17)(29),
112,Naviga,Naviga,,,,,,,,
113,,"Naviga Inc. (fka Newscycle Solutions, Inc.)",First Lien Secured Debt,"L+700, 1.00 Floor",12/29/22,12213,12130,12183,(9)(28),
114,,"Naviga Inc. (fka Newscycle Solutions, Inc.)",First Lien Secured Debt - Revolver,"L+700, 1.00 Floor",12/29/22,500,277,279,(9)(21)(23)  (26),
115,,"Naviga Inc. (fka Newscycle Solutions, Inc.)",12407,12462,,,,,,
116,PSE,PSE,,,,,,,,
117,,"Graffiti Buyer, Inc.",First Lien Secured Debt,"L+575, 1.00 Floor",08/10/27,8435,5686,5653,(9)(21)(23)  (28),
118,,"Graffiti Buyer, Inc.",First Lien Secured Debt - Revolver,"L+575, 1.00 Floor",08/10/27,1307,215,213,(9)(21)(23)  (27),
119,,"Graffiti Parent, LP",Common Equity - Common Stock,N/A,N/A,"2,439 Shares",244,241,(9)(13)(25),
120,,"Graffiti Parent, LP",6145,6107,,,,,,
121,"PSI Services, LLC","PSI Services, LLC",,,,,,,,
122,,"Lifelong Learner Holdings, LLC",First Lien Secured Debt,"L+575, 1.00 Floor",10/19/26,34062,33587,32430,(9)(28)(29),
123,,"Lifelong Learner Holdings, LLC",First Lien Secured Debt - Revolver,"L+575, 1.00 Floor",10/20/25,2985,2945,2861,(9)(21)(23)  (28),
124,,"Lifelong Learner Holdings, LLC",36532,35291,,,,,,
125,Soliant,Soliant,,,,,,,,
126,,"Soliant Health, Inc.",Common Equity - Membership Interests,N/A,N/A,300 Shares,300,863,(9),
127,US Legal Support,US Legal Support,,,,,,,,
128,,"US Legal Support Investment Holdings, LLC",Common Equity - Series A-1 Units,N/A,N/A,"631,972 Shares",632,986,(9)(13),
129,,"USLS Acquisition, Inc.",First Lien Secured Debt,"L+550, 1.00 Floor",12/02/24,24064,23827,23616,(9)(28),
130,,"USLS Acquisition, Inc.",First Lien Secured Debt - Revolver,"L+550, 1.00 Floor",12/02/24,1501,200,186,(9)(20)(21)  (23)(28),
131,,"USLS Acquisition, Inc.",First Lien Secured Debt - Revolver,"P+475, 1.00 Floor",12/02/24,107,106,105,(9)(23)(34),
132,,"USLS Acquisition, Inc.",24765,24893,,,,,,
134,"Chemicals, Plastics & Rubber","Chemicals, Plastics & Rubber",,,,,,,,
135,Carbonfree Chemicals SPE I LLC (f/k/a Maxus Capital Carbon SPE I LLC),Carbonfree Chemicals SPE I LLC (f/k/a Maxus Capital Carbon SPE I LLC),,,,,,,,
136,,Carbonfree Chemicals Holdings LLC (4),Common Equity - Common Equity / Interest,N/A,N/A,"2,354 Shares",46295,44990,(3)(13)(16)  (25),
137,,Carbonfree Chemicals SA LLC (4),Common Equity - Class B Units,N/A,N/A,"3,152 Shares",32434,0,(3)(13)(16)  (25),
138,,Carbonfree Chemicals SA LLC (4),78729,44990,,,,,,
139,"Westfall Technik, Inc.","Westfall Technik, Inc.",,,,,,,,
140,,"Westfall Technik, Inc.",First Lien Secured Debt,"L+575, 1.00 Floor",09/13/24,15656,15504,15300,(9)(28),
141,,"Westfall Technik, Inc.",First Lien Secured Debt,"L+625, 1.00 Floor",09/13/24,5653,5561,5558,(9)(28),
142,,"Westfall Technik, Inc.",First Lien Secured Debt - Revolver,"L+575, 1.00 Floor",09/13/24,2019,2001,1973,(9)(23)(28),
143,,"Westfall Technik, Inc.",23066,22831,,,,,,
145,Construction & Building,Construction & Building,,,,,,,,
146,Englert,Englert,,,,,,,,
147,,"Gutter Buyer, Inc.",First Lien Secured Debt,"L+575, 1.00 Floor",03/06/25,28466,28140,28147,(9)(26),
148,,"Gutter Buyer, Inc.",First Lien Secured Debt - Revolver,P+475,03/06/24,2727,380,371,(9)(20)(21)  (23)(34),
149,,"Gutter Holdings, LP",Common Equity - Common Stock,N/A,N/A,500 Shares,500,1049,(9),
151,Consumer Goods – Durable,Consumer Goods – Durable,,,,,,,,
152,A&V,A&V,,,,,,,,
153,,"A&V Holdings Midco, LLC",First Lien Secured Debt - Revolver,"L+450, 1.00 Floor",03/10/25,1505,(87),(54),(8)(21)(23),
154,KDC,KDC,,,,,,,,
155,,KDC US Holdings,First Lien Secured Debt - Revolver,"L+325, 0.00 Floor",12/21/23,6020,4909,4838,(20)(21)(23)  (26),
156,"KLO Holdings, LLC","KLO Holdings, LLC",,,,,,,,
157,,1244311 B.C. Ltd. (4),First Lien Secured Debt,"L+500, 1.00 Floor",09/30/25,2978,2978,2795,(17)(28),
158,,1244311 B.C. Ltd. (4),First Lien Secured Debt,"L+500 PIK, 1.00 Floor",09/30/25,1062,1062,991,(17)(28),
159,,1244311 B.C. Ltd. (4),Common Equity - Common Stock,N/A,N/A,"1,000,032 Shares",1000,886,(13)(17)(19)  (25),
160,,GSC Technologies Inc. (4),First Lien Secured Debt,"L+500 Cash plus 5.00 PIK, 1.00 Floor",09/30/25,211,211,196,(17)(28),
161,,GSC Technologies Inc. (4),5251,4868,,,,,,
162,Liqui-Box,Liqui-Box,,,,,,,,
163,,"Liqui-Box Holdings, Inc.",First Lien Secured Debt - Revolver,"L+450, 1.00 Floor",02/26/25,3204,1640,1658,(20)(21)(23)  (28),
164,,"Liqui-Box Holdings, Inc.",First Lien Secured Debt - Revolver,"P+350, 1.00 Floor",02/26/25,356,354,356,(23)(34),
165,,"Liqui-Box Holdings, Inc.",1994,2014,,,,,,
166,NSi Industries,NSi Industries,,,,,,,,
167,,"Wildcat BuyerCo, Inc.",First Lien Secured Debt,"L+575, 1.00 Floor",02/27/26,15771,12789,12890,(21)(23)(28),
168,,"Wildcat BuyerCo, Inc.",First Lien Secured Debt - Revolver,"L+575, 1.00 Floor",02/27/26,725,(11),(17),(8)(21)(23),
169,,Wildcat Parent LP,Common Equity - Common Stock,N/A,N/A,"1,070 Shares",107,160,(13),
170,,Wildcat Parent LP,12885,13033,,,,,,
171,"Sorenson Holdings, LLC","Sorenson Holdings, LLC",,,,,,,,
172,,"Sorenson Holdings, LLC",Common Equity - Membership Interests,N/A,N/A,587 Shares,0,390,(10)(13),
174,Consumer Goods – Non-durable,Consumer Goods – Non-durable,,,,,,,,
175,3D Protein,3D Protein,,,,,,,,
176,,"Protein For Pets Opco, LLC",First Lien Secured Debt - Revolver,"L+500, 1.00 Floor",05/31/24,2219,(28),0,(9)(21)(23),
177,Dan Dee,Dan Dee,,,,,,,,
178,,"Project Comfort Buyer, Inc.",First Lien Secured Debt,"L+700, 1.00 Floor",02/01/25,25243,24852,24304,(9)(28),
179,,"Project Comfort Buyer, Inc.",First Lien Secured Debt - Revolver,"L+700, 1.00 Floor",02/01/24,3462,1111,1019,(9)(21)(23)  (26),
180,,"Project Comfort Buyer, Inc.",Preferred Equity - Preferred Equity,N/A,N/A,"461,538 Shares",462,55,(9)(13),
181,,"Project Comfort Buyer, Inc.",26425,25378,,,,,,
182,LashCo,LashCo,,,,,,,,
183,,"Lash OpCo, LLC",First Lien Secured Debt,"L+700, 1.00 Floor",03/18/26,34950,30481,30414,(9)(21)(23)  (26),
184,,"Lash OpCo, LLC",First Lien Secured Debt,P+600,03/18/26,10146,9942,9918,(9)(34),
185,,"Lash OpCo, LLC",First Lien Secured Debt - Revolver,"L+700, 1.00 Floor",09/18/25,1612,(50),(36),(8)(9)(21)  (23),
186,,"Lash OpCo, LLC",40373,40296,,,,,,
187,Olaplex,Olaplex,,,,,,,,
188,,"Olaplex, Inc.",First Lien Secured Debt,"L+625, 1.00 Floor",01/08/26,12063,11898,12184,(9)(26),
189,,"Olaplex, Inc.",First Lien Secured Debt - Revolver,"L+650, 1.00 Floor",01/08/25,2300,(28),0,(9)(21)(23),
190,,"Olaplex, Inc.",11870,12184,,,,,,
191,Paladone,Paladone,,,,,,,,
192,,Paladone Group Bidco Limited,First Lien Secured Debt,"L+575, 1.00 Floor",11/12/27,8003,5981,6038,(9)(17)(23)  (28),
193,,Paladone Group Bidco Limited,First Lien Secured Debt - Revolver,"L+575, 1.00 Floor",11/12/27,£,353,(9),(5),(8)(9)(17)  (21)(23)
194,,Paladone Group Bidco Limited,First Lien Secured Debt - Revolver,"L+575, 1.00 Floor",11/12/27,1412,255,268,(9)(17)(21)  (23)(28),
195,,Paladone Group Holdings Limited,Common Equity - Common Stock,N/A,N/A,"94,151 Shares",94,94,(9)(13)(17)  (25),
196,,Paladone Group Holdings Limited,6321,6395,,,,,,
197,"Sequential Brands Group, Inc.","Sequential Brands Group, Inc.",,,,,,,,
198,,Gainline Galaxy Holdings LLC,Common Equity - Common Stock,N/A,N/A,"10,854 Shares",2041,2033,(13)(16)(17)  (25),
199,,Sequential Avia Holdings LLC,Second Lien Secured Debt,"L+500, 1.00 Floor",11/12/26,1717,1715,1717,(17)(26),
200,,"Sequential Brands Group, Inc.",First Lien Secured Debt,"L+500, 1.00 Floor",01/28/22,448,46,46,(17)(21)(23)  (26),
201,,"Sequential Brands Group, Inc.",Second Lien Secured Debt,8.75,02/07/24,1293,236,241,(14)(17),
202,,"Sequential Brands Group, Inc.",4038,4037,,,,,,
204,Consumer Services,Consumer Services,,,,,,,,
205,Activ,Activ,,,,,,,,
206,,"Activ Software Holdings, LLC",First Lien Secured Debt,"L+625, 1.00 Floor",05/04/27,29943,29399,29479,(9)(30),
207,,"Activ Software Holdings, LLC",First Lien Secured Debt - Revolver,"L+625, 1.00 Floor",05/04/27,2407,(43),(37),(8)(9)(21)  (23),
208,,"Activ Software Holdings, LLC",29356,29442,,,,,,
209,Bird,Bird,,,,,,,,
210,,"Bird US Opco, LLC",First Lien Secured Debt,"L+750, 1.00 Floor",10/12/24,50000,15615,16203,(9)(23)(26),
211,Clarus Commerce,Clarus Commerce,,,,,,,,
212,,"Marlin DTC-LS Midco 2, LLC",First Lien Secured Debt,"L+650, 1.00 Floor",07/01/25,22214,21877,22038,(29),
213,,"Marlin DTC-LS Midco 2, LLC",First Lien Secured Debt - Revolver,"L+600, 1.00 Floor",07/01/25,685,8,(5),(8)(21)(23),
214,,"Marlin DTC-LS Midco 2, LLC",21885,22033,,,,,,
215,First Heritage,First Heritage,,,,,,,,
216,,"First Heritage Credit, LLC",First Lien Secured Debt,"L+475, 0.00 Floor",04/02/22,26250,19492,19474,(9)(21)(23)  (26),
217,,"First Heritage Credit, LLC",First Lien Secured Debt - Revolver,"L+550, 0.00 Floor",04/02/22,3750,2458,2459,(9)(21)(23)  (26),
218,,"First Heritage Credit, LLC",21950,21933,,,,,,
219,Go Car Wash,Go Car Wash,,,,,,,,
220,,Go Car Wash Management Corp.,First Lien Secured Debt,"L+575, 1.00 Floor",12/31/26,11465,8114,8089,(9)(21)(23)  (26),
221,,Go Car Wash Management Corp.,First Lien Secured Debt - Revolver,"L+575, 1.00 Floor",12/31/26,417,(3),(6),(8)(9)(21)  (23),
222,,Go Car Wash Management Corp.,8111,8083,,,,,,
223,Lending Point,Lending Point,,,,,,,,
224,,LendingPoint LLC,First Lien Secured Debt,"L+1050, 1.00 Floor",12/30/25,17500,13411,13452,(9)(21)(23)  (28),
225,,LendingPoint LLC,First Lien Secured Debt,"L+575, 1.00 Floor",12/30/25,4167,3155,3169,(9)(21)(23)  (28),
226,,LendingPoint LLC,First Lien Secured Debt - Revolver,"L+575, 1.00 Floor",12/30/25,8333,6590,6617,(9)(21)(23)  (28),
227,,LendingPoint LLC,23156,23238,,,,,,
228,Only About Children,Only About Children,,,,,,,,
229,,Nemo (BC) Bidco Pty Ltd,First Lien Secured Debt,"BBSW+675, 1.00 Floor",04/06/24,A$,7000,4945,4763,(17)(21)(23)  (33)
230,Paper Source,Paper Source,,,,,,,,
231,,Papershop Holdco Inc.,First Lien Secured Debt,"L+700, 1.00 Floor",05/27/26,10607,10509,10501,(9)(28),
232,,Papershop Holdco Inc.,First Lien Secured Debt - Revolver,"L+700, 1.00 Floor",05/27/26,1705,1365,1364,(9)(21)(23)  (26)(28),
233,,Papershop Holdco Inc.,First Lien Secured Debt - Revolver,P+600,05/27/26,1377,1364,1363,(9)(23)(34),
234,,Papershop Holdco Inc.,13238,13228,,,,,,
235,The Club Company,The Club Company,,,,,,,,
236,,Eldrickco Limited,First Lien Secured Debt,"SON+625, 0.50 Floor",11/26/25,£,15083,14021,14436,(9)(17)(21)  (23)(31)
237,,Eldrickco Limited,First Lien Secured Debt - Revolver,"SON+625, 0.50 Floor",11/26/25,£,356,411,465,(9)(17)(23)  (31)
238,,Eldrickco Limited,First Lien Secured Debt - Revolver,"SON+625, 0.50 Floor",05/26/25,£,345,0,(9),(8)(9)(17)  (21)(23)(31)
239,,Eldrickco Limited,14432,14892,,,,,,
240,US Auto,US Auto,,,,,,,,
241,,"U.S. Auto Finance, Inc.",First Lien Secured Debt,"L+525, 1.00 Floor",04/17/24,20000,4623,4556,(9)(21)(23)  (28),
242,,"U.S. Auto Finance, Inc.",First Lien Secured Debt - Revolver,"L+600, 1.00 Floor",04/17/24,13333,10995,10976,(9)(21)(23)  (28),
243,,"U.S. Auto Finance, Inc.",15618,15532,,,,,,
245,"Diversified Investment Vehicles, Banking, Finance, Real Estate","Diversified Investment Vehicles, Banking, Finance, Real Estate",,,,,,,,
246,Celink,Celink,,,,,,,,
247,,Compu-Link Corporation,First Lien Secured Debt - Revolver,"L+550, 1.00 Floor",06/11/24,2273,(25),(24),(8)(9)(21)  (23),
248,,"Peer Advisors, LLC",First Lien Secured Debt,"L+550, 1.00 Floor",06/11/24,17670,17468,17487,(9)(26),
249,,"Peer Advisors, LLC",17443,17463,,,,,,
250,"Flock Financial, LLC","Flock Financial, LLC",,,,,,,,
251,,"Flock SPV I, LLC",First Lien Secured Debt,"L+650, 1.00 Floor",12/31/22,14667,11997,12000,(9)(17)(21)  (23)(26),
252,,"Flock SPV I, LLC",First Lien Secured Debt - Revolver,"L+650, 1.00 Floor",12/31/22,5333,(28),0,(9)(17)(21)  (23),
253,,"Flock SPV I, LLC",11969,12000,,,,,,
254,Golden Bear,Golden Bear,,,,,,,,
255,,"Golden Bear 2016-R, LLC (4)",Structured Products and Other - Membership Interests,N/A,09/20/42,N/A,16987,10821,(3)(17),
256,"Purchasing Power, LLC","Purchasing Power, LLC",,,,,,,,
257,,"Purchasing Power Funding I, LLC",First Lien Secured Debt - Revolver,"L+650, 0.00 Floor",01/24/24,9113,1640,1640,(9)(21)(23)  (27),
258,Spectrum Automotive,Spectrum Automotive,,,,,,,,
259,,Shelby 2021 Holdings Corp.,First Lien Secured Debt,"L+575, 0.75 Floor",06/29/28,14521,12219,12263,(9)(21)(23)  (26)(27)(28),
260,,Shelby 2021 Holdings Corp.,First Lien Secured Debt - Revolver,"L+575, 0.75 Floor",06/29/27,420,(6),(4),(8)(9)(21)  (23),
261,,Shelby 2021 Holdings Corp.,12213,12259,,,,,,
262,"Ten-X, LLC","Ten-X, LLC",,,,,,,,
263,,"Ten-X, LLC",First Lien Secured Debt - Revolver,P+225,09/29/22,4680,4617,4572,(23)(34),
265,Education,Education,,,,,,,,
266,NFA Group,NFA Group,,,,,,,,
267,,SSCP Spring Bidco Limited,First Lien Secured Debt,"GBPL+600, 0.50 Floor",07/30/25,£,30000,36295,40407,(9)(17)(32)
269,Energy – Electricity,Energy – Electricity,,,,,,,,
270,"Renew Financial LLC (f/k/a Renewable Funding, LLC)","Renew Financial LLC (f/k/a Renewable Funding, LLC)",,,,,,,,
271,,"AIC SPV Holdings II, LLC (4)",Preferred Equity - Preferred Stock,N/A,N/A,"534,375 Shares",534,417,(15)(17)(25),
272,,"Renew Financial LLC (f/k/a Renewable Funding, LLC) (4)",Preferred Equity - Series B Preferred Stock,N/A,N/A,"1,505,868 Shares",8343,0,(13)(25),
273,,"Renew Financial LLC (f/k/a Renewable Funding, LLC) (4)",Preferred Equity - Series D Preferred Stock,N/A,N/A,"436,689 Shares",5568,0,(13)(25),
274,,"Renew Financial LLC (f/k/a Renewable Funding, LLC) (4)",Preferred Equity - Series E Preferred Stock,N/A,N/A,"441,576 Shares",1902,4984,(13)(17)(25),
275,,Renew JV LLC (4),Common Equity - Membership Interests,N/A,N/A,"513,215 Shares",513,635,(13)(17)(25),
276,,Renew JV LLC (4),16860,6036,,,,,,
277,Solarplicity Group Limited (f/k/a AMP Solar UK),Solarplicity Group Limited (f/k/a AMP Solar UK),,,,,,,,
278,,Solarplicity UK Holdings Limited,First Lien Secured Debt,4.00,03/08/23,£,5562,7231,1791,(14)(17)
279,,Solarplicity UK Holdings Limited,Preferred Equity - Preferred Stock,N/A,N/A,"4,286 Shares",5623,0,(2)(13)(17),
280,,Solarplicity UK Holdings Limited,Common Equity - Ordinary Shares,N/A,N/A,"2,825 Shares",4,0,(2)(13)(17),
281,,Solarplicity UK Holdings Limited,12858,1791,,,,,,
283,Energy – Oil & Gas,Energy – Oil & Gas,,,,,,,,
284,"Glacier Oil & Gas Corp. (f/k/a Miller Energy Resources, Inc.)","Glacier Oil & Gas Corp. (f/k/a Miller Energy Resources, Inc.)",,,,,,,,
285,,"Glacier Oil & Gas Corp. (f/k/a Miller Energy Resources, Inc.) (5)",Second Lien Secured Debt,10.00 PIK,03/31/23,11556,10980,6116,(14),
286,,"Glacier Oil & Gas Corp. (f/k/a Miller Energy Resources, Inc.) (5)",Common Equity - Common Stock,N/A,N/A,"10,000,000 Shares",30078,0,(13)(25),
