,Industry / Company,Interest Rate (20),Par/Shares (12),Cost (27),Fair Value  (1)(28),,
220,"Midwest Vision Partners Management, LLC","7.25 (3M L+625, 1.00 Floor)",2599,2574,2573,(9),
221,Orchard,,,,,,
222,Orchard Therapeutics plc,"6.95 (1M L+595, 1.00 Floor)",11000,10962,11000,(9)(17),
223,Ovation Fertility,,,,,,
224,"FPG Services, LLC","6.50 (3M L+550, 1.00 Floor)",13866,13655,13791,(9),
225,Paragon 28,,,,,,
226,"Paragon 28, Inc.","7.00 (1M L+600, 1.00 Floor)",2500,2488,2488,(9),
227,"Partner Therapeutics, Inc",,,,,,
228,"Partner Therapeutics, Inc","7.65 (1M L+665, 1.00 Floor)",10000,9943,9975,(9),
229,PHS,,,,,,
230,"PHS Buyer, Inc.","6.25 (3M L+525, 1.00 Floor)",10203,10065,9948,(9),
231,Radius Health,,,,,,
232,"Radius Health, Inc.","7.75 (1M L+575, 2.00 Floor)",29000,28664,28652,(9)(17),
233,RHA Health Services,,,,,,
234,"Pace Health Companies, LLC","5.50 (3M L+450, 1.00 Floor)",3905,3870,3897,(9),
235,Rigel Pharmaceuticals,,,,,,
236,"Rigel Pharmaceuticals, Inc.","7.15 (1M L+565, 1.50 Floor)",6000,6017,6048,(9),
237,"RiteDose Holdings I, Inc.",,,,,,
238,"RiteDose Holdings I, Inc.","7.50 (3M L+650, 1.00 Floor)",13293,13133,13293,(9),
239,High Tech Industries,,,,,,
240,Acronis AG,,,,,,
241,Acronis AG,"7.85 (1M L+635, 1.50 Floor)",21000,20927,21000,(9)(17),
242,American Megatrends,,,,,,
243,AMI US Holdings Inc.,"6.50 (1M L+550, 1.00 Floor)",21596,21325,21596,(9),
244,"Calero Holdings, Inc.",,,,,,
245,"Telesoft Holdings, LLC","6.75 (3M L+575, 1.00 Floor)",22443,22066,22185,,
246,ChyronHego Corporation,,,,,,
247,ChyronHego Corporation (5),"6.00 (3M L+350 Cash plus 1.50 PIK, 1.00 Floor)",84311,82120,81781,,
248,Dairy.com,,,,,,
249,Momentx Corporation,"6.50 (1M L+550, 1.00 Floor)",13743,13469,13468,(9),
250,Digital.ai,,,,,,
251,"Digital.ai Software Holdings, Inc.","8.00 (3M L+700, 1.00 Floor)",22524,21892,22186,(9),
252,GoHealth,,,,,,
253,"Norvax, LLC",0.50 Unfunded,3182,(51),0,(9)(21)  (23),
254,"International Cruise & Excursion Gallery, Inc.",,,,,,
255,"International Cruise & Excursion Gallery, Inc.","6.25 (3M L+525, 1.00 Floor)",14550,14385,13613,,
256,LabVantage Solutions,,,,,,
257,LabVantage Solutions Inc.,"8.50 (1M L+750, 1.00 Floor)",3165,3161,3165,,
258,LabVantage Solutions Limited,"8.50 (1M E+750, 1.00 Floor)",€,5763,6193,6834,(17)
259,Magnitude Software,,,,,,
260,New Amsterdam Software BidCo LLC,"5.75 (3M E+475, 1.00 Floor)",€,728,805,855,(9)
261,Modern Campus,,,,,,
262,"Destiny Solutions U.S., Inc.","6.75 (3M L+575, 1.00 Floor)",15733,15376,15372,(26),
263,"RMCF IV CIV XXXV, L.P.",482 Shares,1000,(13),,,
264,MYCOM,,,,,,
265,Magnate Holding Corp.,"7.75 (3M L+625 Cash plus 1 PIK, 0.50 Floor)",18467,18324,16139,(9)(17),
266,"New Era Technology, Inc.",,,,,,
267,"New Era Technology, Inc.","7.25 (3M L+625, 1.00 Floor)",15420,15129,15119,(9),
268,Pro Vigil,,,,,,
269,"Pro-Vigil Holding Company, LLC","9.50 (1M L+850, 1.00 Floor)",7980,7769,7870,(9),
270,Schlesinger Group,,,,,,
271,"Schlesinger Global, LLC","8.00 (3M L+600 Cash plus 1.00 PIK, 1.00 Floor)",9906,9722,9696,(9),
272,Simeio,,,,,,
273,"Simeio Group Holdings, Inc.","6.25 (1M L+525, 1.00 Floor)",8546,8448,8410,(9),
274,Sirsi Corporation,,,,,,
275,Sirsi Corporation,"5.75 (3M L+475, 1.00 Floor)",6142,6092,6065,(9),
276,"Sontiq, Inc.",,,,,,
277,"Sontiq, Inc.","8.50 (3M L+750, 1.00 Floor)",14131,13867,13881,(9),
278,Springbrook,,,,,,
279,"Springbrook Holding Company, LLC","6.75 (3M L+575, 1.00 Floor)",9729,9599,9615,,
280,Tax Slayer,,,,,,
281,"MEP-TS Midco, LLC","7.50 (3M L+650, 1.00 Floor)",34,33,34,(9),
282,Telnyx,,,,,,
283,Telnyx LLC,"7.75 (1M L+625, 1.50 Floor)",5250,5226,5382,(9),
284,Insurance,,,,,,
285,High Street Insurance,,,,,,
286,"High Street Buyer, Inc.","6.75 (6M L+600, 0.75 Floor)",16476,16214,16146,(9),
287,PGM Holdings Corporation,,,,,,
288,"Turbo Buyer, Inc.","7.00 (3M L+600, 1.00 Floor)",19377,19011,18989,(9),
289,Relation Insurance,,,,,,
290,"AQ Sunshine, Inc.","7.00 (3M L+600, 1.00 Floor)",26019,25583,26060,(9),
291,"Manufacturing, Capital Equipment",,,,,,
292,"AVAD, LLC",,,,,,
293,"AVAD, LLC",10/02/23,869,0,(9)(23),,
294,"Surf Opco, LLC","5.00 (1M L+400, 1.00 Floor)",8886,8886,8886,(9)(23),
295,Kauffman,,,,,,
296,"Kauffman Holdco, LLC","250,000 Shares",53,(9)(13),,,
297,"Kauffman Intermediate, LLC","7.50 (3M L+650, 1.00 Floor)",16621,16407,16000,(9),
298,MedPlast Holdings Inc.,,,,,,
299,"Viant Medical Holdings, Inc. (fka MedPlast Holdings, Inc.)",7.85 (1M L+775),8000,7950,7486,,
300,Media – Diversified & Production,,,,,,
301,New Wave Entertainment,,,,,,
302,"NW Entertainment, Inc.","10.00 (3M L+700 Cash plus 2.00 PIK, 1.00 Floor)",27145,26821,26199,(9)(19),
303,Nitro World Entertainment,,,,,,
304,NWE OPCO LP,"8.50 (1M L+650, 2.00 Floor)",4755,4743,4755,(9),
305,Sonar Entertainment,,,,,,
306,"Sonar Entertainment, Inc.","8.85 (1M L+760, 1.25 Floor)",4548,4538,3907,(9),
307,Retail,,,,,,
308,IPS,,,,,,
309,"SI Holdings, Inc.","7.00 (3M L+600, 1.00 Floor)",31244,30810,30722,(9),
310,Telecommunications,,,,,,
311,IPC Corporation,,,,,,
312,IPC Corporation,5.19 (3M L+500),10000,9997,9450,(9),
313,IPC Information Systems UK Holdings Limited,"8.00 (3M L+650, 1.50 Floor)",1405,1402,1368,(9)(17),
314,"Securus Technologies Holdings, Inc.",,,,,,
315,"Securus Technologies Holdings, Inc.","9.25 (3M L+825, 1.00 Floor)",12878,12808,11268,,
316,"Transportation – Cargo, Distribution",,,,,,
317,Beacon Mobility,,,,,,
318,Beacon Mobility Corp.,"5.75 (3M L+475, 1.00 Floor)",6163,6163,6039,(9),
319,"Dynamic Product Tankers (Prime), LLC",,,,,,
320,"Dynamic Product Tankers, LLC (5)",5.16 (6M L+500),22000,22000,22000,(17),
321,Heniff and Superior,,,,,,
322,"Heniff Holdco, LLC","6.75 (3M L+575, 1.00 Floor)",30686,30184,29655,(9),
323,MSEA Tankers LLC,,,,,,
324,MSEA Tankers LLC (5),53739,(17)(18)  (25),,,,
325,Wholesale,,,,,,
326,Banner Solutions,,,,,,
327,"Banner Buyer, LLC","6.75 (1M L+575, 1.00 Floor)",15416,15234,15303,(9),
328,"Banner Parent Holdings, Inc","6,125 Shares",636,(9)(13),,,
329,Total Investments before Cash Equivalents,2753246,,,,,
