,Industry/Company,Industry,Par_Shares,Cost,Fair_Value
45,"Confie Seguros Holding II Co., 4.50%, 1/13/15 (8)",Insurance,33,-,(3)
46,"UniTek Global Services Inc., 9.25%, 3/26/15",Telecommunications,3000,-,-
47,"UniTek Global Services Inc., 9.25%, 3/18/15",Telecommunications,1000,-,-
48,"UniTek Global Services Inc., 9.25%, 3/18/15",Telecommunications,2700,-,-
49,"UniTek Global Services Inc., 9.25%, 12/15/14",Telecommunications,5446,-,-
50,2nd Lien Secured Debt-47.9%,,,,
51,"Active Network, Inc., L+850, 11/15/21",Business Services,25000,24879,25344
52,"Applied Systems, Inc., L+650, 1/24/22",Business Services,9110,9043,9281
53,"Aptean, Inc., L+750, 2/26/21",Business Services,11322,11153,11478
54,"Armor Holdings, Inc. (American Stock Transfer and Trust Company), L+900, 12/26/20",Financial Services,8000,7851,8000
55,"Asurion Corporation, L+750, 3/3/21",Insurance,90400,89050,93413
56,"Bennu Oil & Gas, LLC, L+900, 11/1/18",Oil and Gas,8999,8927,9123
57,"BJ's Wholesale Club, Inc, L+750, 3/26/20",Retail,20000,19904,20537
58,"Brock Holdings III, Inc., L+825, 3/16/18",Environmental Services,19500,19245,19805
59,"Confie Seguros Holding II Co., L+900, 5/8/19",Insurance,27344,27096,27566
60,"Consolidated Precision Products Corp., L+775, 4/30/21",Aerospace and Defense,8940,8897,9096
61,"Del Monte Foods Co, L+725, 8/18/21","Beverage, Food, and Tobacco",12140,12019,12110
62,"Deltek, Inc., L+875, 10/10/19",Business Services,27273,27023,27887
63,"Elements Behavioral Health, Inc., L+825, 2/11/20",Healthcare,9500,9407,9500
64,"Flexera Software LLC, L+700, 4/2/21",Business Services,7000,6965,7053
65,"Garden Fresh Restaurant Corp., L+575 PIK, 1/1/19 †",Restaurants,7661,5618,5210
66,"Garden Fresh Restaurant Corp., L+1300 PIK, 1/1/19 †",Restaurants,34513,32326,30716
67,"APOLLO INVESTMENT CORPORATION  SCHEDULE OF INVESTMENTS (continued)  March 31, 2014  (in thousands)",,,,
68,2nd Lien Secured Debt-47.9% (continued),,,,
69,"GCA Services Group, Inc., L+800, 11/1/20",Diversified Service,22838,22940,23194
70,"Grocery Outlet Inc., L+925, 6/17/19",Grocery,8674,8526,8847
71,"HD Vest Inc., L+800, 6/18/19 ‡",Financial Services,9396,9290,9302
72,"Healogics, Inc., L+800, 2/5/20",Healthcare,10000,10109,10242
73,"IMG Worldwide, Inc., L+725, 3/21/22",Leisure,2167,2145,2199
74,"Insight Pharmaceuticals, LLC., L+1175, 8/25/17",Consumer Products,15448,15243,15139
75,"Kronos, Inc., L+850, 4/30/20",Business Services,92516,91531,96332
76,"Landslide Holdings, Inc., L+725, 2/25/21",Business Services,5630,5588,5672
77,"Learfield Communications, Inc, L+775, 10/8/21",Media,15000,14856,15375
78,"Miller Energy Resources, Inc., L+975, 2/3/18 ‡",Oil and Gas,87500,85804,85750
79,"Ranpak Corp., L+725, 4/23/20",Packaging,22000,21802,22522
80,"River Cree Enterprises LP, 11.00%, 1/20/21  t  ‡","Hotels, Motels, Inns and Gaming","CAD 33,000",31110,31767
81,"SESAC Holdco II LLC, L+875, 4/9/14",Broadcasting & Entertainment,10750,10758,10978
82,"Sprint Industrial Holdings, LLC, L+1000, 11/14/19","Containers, Packaging, and Glass",14163,13928,14305
83,"SquareTwo Financial Corp. (Collect America, Ltd.), 11.625%, 4/1/17 ‡",Financial Services,61079,59929,61690
84,"Stadium Management Corp, L+825, 2/27/21",Business Services,19900,19900,20348
85,"Tectum Holdings, Inc, L+800/P+700, 3/12/19",Auto Sector,17670,17582,17626
86,"Transfirst Holdings Inc., L+650, 6/27/18",Financial Services,59750,59601,60422
87,"TriMark USA, LLC, L+900, 8/12/19",Distribution,27000,26470,27338
88,"U.S. Renal Care, Inc., L+900, 1/3/20 †",Healthcare,11927,11980,12195
89,"U.S. Renal Care, Inc., L+750, 7/3/20 †",Healthcare,12120,11930,12325
90,"Velocity Technology Solutions, Inc., L+775, 9/28/20",Business Services,16500,16170,16170
91,"Vertafore, Inc., L+825, 10/27/17",Business Services,50436,50167,51397
92,"Walter Energy Inc., 11.00%, 4/1/20  t  ‡",Mining,27798,26308,25192
93,"APOLLO INVESTMENT CORPORATION  SCHEDULE OF INVESTMENTS (continued)  March 31, 2014  (in thousands)",,,,
94,UNSECURED DEBT-45.9%,,,,
95,"Altegrity, Inc., 0.00%, 8/2/16 †",Diversified Service,3545,2664,957
96,"Altegrity, Inc., 12.00%, 11/1/15  t  †",Diversified Service,14667,14667,13567
97,"American Energy - Utica LLC, 3.50%, 3/1/21  t",Oil and Gas,10868,10868,11031
98,"American Tire Distributors, Inc., 11.50%, 6/1/18  t  †",Distribution,25000,25000,25700
99,"American Tire Distributors, Inc., 11.50%, 6/1/18 †",Distribution,40000,39321,41120
100,"Artsonig Pty Ltd, 11.50%, 4/1/19  t‡",Transportation,20000,19701,20025
101,"BCA Osprey II Limited (British Car Auctions), 12.50% PIK, 8/17/17 †‡",Transportation,20948,33173,36058
102,"BCA Osprey II Limited (British Car Auctions), 12.50% PIK, 8/17/17 †‡",Transportation,12721,17489,18102
103,"Ceridian Corp., 12.25% Cash or 13.00% PIK, 11/15/15 †",Diversified Service,14420,14420,14562
104,"Ceridian Corp., 11.25%, 11/15/15 †",Diversified Service,35800,35800,36154
105,"Ceridian Corp., 11.00%, 3/15/21  t  †",Diversified Service,34000,34000,39335
106,"CRC Health Corp., 10.75%, 2/1/16",Healthcare,13000,13079,13077
107,"Delta Educational Systems, Inc., 16.00% (10.00% Cash/ 6.00% PIK), 5/12/17",Education,21684,21353,20708
108,"Denver Parent Corp. (Venoco), 12.25%, 8/15/18  t",Oil and Gas,15000,14633,15150
109,"Energy & Exploration Partners, Inc., 15.00%, 4/8/18 †",Oil and Gas,25000,22410,23750
110,"Energy & Exploration Partners, Inc., 15.00%, 12/12/18 †",Oil and Gas,4464,4263,4241
111,"Energy & Exploration Partners, Inc., 15.00%, 12/12/18 †",Oil and Gas,2679,2469,2545
112,"Energy & Exploration Partners, Inc., 15.00%, 3/27/19 †",Oil and Gas,8036,7650,7634
113,"Exova Limited, 10.50%, 5/20/14  t  †‡",Business Services,18000,28165,33010
114,"Exova Limited, 10.50%, 5/20/14 †‡",Business Services,4655,6606,8537
115,"First Data Corp., 11.25%, 1/15/21 †",Financial Services,67000,66977,76548
116,"First Data Corp., 10.625%, 6/15/21 †",Financial Services,10000,10000,11288
117,"First Data Corp., 12.625%, 1/15/21 †",Financial Services,5000,5641,5963
118,"inVentiv Health, Inc., 11.00%, 8/15/18  t",Healthcare,106500,106500,98646
119,"My Alarm Center, LLC, 16.25% (12.00% Cash / 4.25%PIK), 7/9/18",Business Services,4101,4101,4101
120,"Niacet Corporation, 13.00%, 8/28/18",Chemicals,12500,12500,12625
121,"PetroBakken Energy Ltd., 8.625%, 2/1/20  t  ‡",Oil and Gas,44082,44390,44206
122,"Prospect Holding Co LLC, 10.25%, 10/1/18  t",Financial Services,20000,19106,19450
123,"Radio One Inc, 9.25%, 2/15/20  t  ‡",Broadcasting & Entertainment,14804,14804,15778
124,"Symbion Inc., 11.00%, 8/23/15",Healthcare,8488,8501,8538
125,"Tervita Corporation, 10.875%, 2/15/18  t  ‡",Environmental Services,22438,21739,22662
126,"U.S. Security Associates Holdings, Inc., 11.00%, 7/28/18",Business Services,135000,135000,139590
127,"Univar Inc., 10.50%, 6/30/18",Distribution,20000,20000,19960
128,"Varietal Distribution, 10.75%, 6/30/17  t  †",Distribution,11574,15092,16111
129,"Varietal Distribution, 10.75%, 6/30/17  t  †",Distribution,22204,21908,22426
130,"Venoco, Inc., 8.875%, 2/15/19",Oil and Gas,38050,38463,38573
131,"APOLLO INVESTMENT CORPORATION  SCHEDULE OF INVESTMENTS (continued)  March 31, 2014  (in thousands)",,,,
132,STRUCTURED PRODUCTS AND OTHER-3.9%,,,,
133,"Craft 2013-1,Credit Linked Note, L+925, 4/17/22 ‡",Diversified Investment Vehicle,20000,20000,19802
134,"Dark Castle Holdings, LLC",Media,25302,2094,3077
135,"JP Morgan Chase & Co, Credit-Linked Note, L+1225, 12/20/21 ‡",Diversified Investment Vehicle,43250,43010,42935
136,"Renaissance Umiat, LLC, ACES, Tax Receivable ****‡",Oil and Gas,-,7153,7799
137,"Renaissance Umiat, LLC, ACES, Tax Receivable ****‡",Oil and Gas,-,6351,6391
138,PREFERRED EQUITY-2.0%,Shares,,,
139,"CA Holding, Inc. (Collect America, Ltd.) Series A **‡",Financial Services,7961,788,1592
140,"Crowley Holdings, Series A, 12.00% (10.00% Cash / 2.00% PIK)",Cargo Transport,22500,22623,22620
141,"Gryphon Colleges Corporation (Delta Educational Systems, Inc.), 13.50% PIK***",Education,12360,27685,13802
142,"Gryphon Colleges Corporation (Delta Educational Systems, Inc.), 12.50% PIK ***",Education,332500,6863,-
143,"Varietal Distribution Holdings, LLC, Class A, 8.00% PIK",Distribution,3097,5288,3275
144,EQUITY-2.3%,,,,
145,Common Equity/Interests-1.8%,,,,
146,Accelerate Parent Corp. (American Tire Distributors) **,Distribution,3225514,3276,4710
147,"AHC Mezzanine, LLC (Advanstar) **",Media,25016,1063,350
148,Altegrity Holding Corp. **,Diversified Service,353399,13797,-
149,"CA Holding, Inc. (Collect America, Ltd.), Series A **‡",Financial Services,25000,2500,1380
150,"CA Holding, Inc. (Collect America, Ltd.), Series AA **‡",Financial Services,4294,430,859
151,"Caza Petroleum Inc., Net Profits Interest **",Oil and Gas,-,940,946
152,"Caza Petroleum Inc., Overriding Royalty Interest **",Oil and Gas,-,265,228
153,"Clothesline Holdings, Inc. (Angelica Corporation) **",Healthcare,6000,6000,3282
154,"Explorer Coinvest, LLC (Booz Allen) **‡",Business Services,340,2603,6958
155,"Garden Fresh Restaurant Holdings, LLC. **",Restaurants,50000,5000,138
156,"Gryphon Colleges Corp. (Delta Educational Systems, Inc.) **",Education,17500,175,-
157,"GS Prysmian Co-Invest L.P. (Prysmian Cables & Systems), Limited Partnership **‡(2)(3)",Manufacturing,-,-,17
158,"JV Note Holdco, LLC (DSI Renal Inc.) **",Healthcare,9303,85,-
159,"Pelican Energy, LLC, Net Profit Interest **‡",Oil and Gas,696656,697,477
160,"RC Coinvestment, LLC (Ranpak Corp.) **",Packaging,50000,5000,7674
161,"Sorenson Communications Holdings, LLC, Class A **",Consumer Products,454828,45,61
162,Univar Inc. **,Distribution,900000,9000,9680
163,"Varietal Distribution Holdings, LLC Class A **",Distribution,28028,28,-
164,"APOLLO INVESTMENT CORPORATION  SCHEDULE OF INVESTMENTS (continued)  March 31, 2014  (in thousands, except warrants)",,,,
165,Warrants-0.5%,,,,
166,"CA Holding, Inc. (Collect America, Ltd.), Common Stock Warrants **‡",Financial Services,7961,8,-
167,"Energy & Exploration Partners, Inc., Common Stock Warrants**",Oil and Gas,60778,2374,1829
168,"Fidji Luxco (BC) S.C.A., Common Stock Warrants **‡(2)",Electronics,18113,182,5069
169,"Gryphon Colleges Corp. (Delta Educational Systems, Inc.), Common Stock Warrants**",Education,9820,98,-
170,"Gryphon Colleges Corp. (Delta Educational Systems, Inc.), Class A-1 Preferred Stock Warrants**",Education,45947,459,-
171,"Gryphon Colleges Corp. (Delta Educational Systems, Inc.), Class B-1 Preferred Stock Warrants**",Education,104314,1043,-
172,"Osage Exploration & Development, Inc., Common Stock Warrants **‡",Oil and Gas,1496843,-,1398
173,"Spotted Hawk Development LLC, Common Stock Warrants **‡",Oil and Gas,54545,852,2304
