,Investment,Interest  Rate (20),Par (12),Fair  Value (1),
27,UniTek Global Services Inc. (16),"8.500 (3M L+750, 1.00 Floor)",32367,30748,
28,"Venoco, Inc.",12.000,40517,36465,
29,Total First Lien Secured Debt (excluding Revolvers and Letters of Credit),744010.0,,,
30,Funded and Unfunded Revolver Obligations00.1,,,,
31,"Alliant Holdings, Unfunded Revolver (8)(21)(23)",0.500 Unfunded,15000.0,"(1,485",
32,"Avaya, Inc., Revolver",2.963 (12M L+275),3303,3105,
33,"CIT Group, Inc., Unfunded Revolver (8)(17)(21)(23)",0.625 Unfunded,25000,(875,
34,"Confie Seguros Holding II Co., Revolver (16)(23)",7.000 (3M P+350),750,660,
35,"Confie Seguros Holding II Co., Revolver (16)(23)",4.924 (3M L+450),470,414,
36,"Confie Seguros Holding II Co., Unfunded Revolver (8)(16)(21)(23)",0.500 Unfunded,3194,(384,
37,"My Alarm Center, LLC, Unfunded Revolver (16)(21)(23)",0.350 Unfunded,6250,0,
38,"Tibco Software Inc., Revolver (16)(23)",4.230 (12M L+400),1440,1332,
39,"Tibco Software Inc., Unfunded Revolver (8)(21)(23)",0.500 Unfunded,4560,(342,
40,"Transfirst Holdings, Inc., Unfunded Revolver (8)(16)(21)(23)",0.500 Unfunded,2943,(88,
41,"UniTek Global Services Inc., Unfunded Revolver (16)(21)(23)",0.500 Unfunded,5000,0,
42,Total Funded and Unfunded Revolver Obligations,3904.0,,,
43,Letters of Credit00.0,,,,
44,"Confie Seguros Holding II Co., Letter of Credit (8)(16)(23)",4.500,86.0,(10,
45,"Transfirst Holdings, Inc., Letter of Credit (8)(16)(23)",3.750,57,(2,
46,"UniTek Global Services Inc., Letter of Credit (16)(23)",7.500,8813,0,
47,"UniTek Global Services Inc., Letter of Credit (16)(23)",7.500,1850,0,
48,Total Letters of Credit,0.0,,,
49,Total First Lien Secured Debt,747914.0,,,
50,Second Lien Secured Debt052.8,,,,
51,1A Smart Start LLC,"9.500 (3M L+850, 1.00 Floor)",35000.0,34055,
52,"Access CIG, LLC","9.750 (3M L+875, 1.00 Floor)",50970,49696,
53,"Active Network, Inc.","9.500 (3M L+850, 1.00 Floor)",19672,18197,
54,"Appriss Holdings, Inc.","9.250 (3M L+825, 1.00 Floor)",32750,32750,
55,Armor Holding II LLC,"10.250 (3M L+900, 1.25 Floor)",8000,7800,
56,Asurion Corporation,"8.500 (3M L+750, 1.00 Floor)",67590,58211,
57,Confie Seguros Holding II Co.,"10.250 (3M L+900, 1.25 Floor)",22344,22149,
58,"Delta Educational Systems, Inc.",35.000 PIK,1182,2301,
59,"Deltek, Inc.","9.500 (3M L+850, 1.00 Floor)",28086,27735,
60,"Elements Behavioral Health, Inc.","11.750 (3M L+875 Cash, 2.000 PIK, 1.00 Floor)",9534,9482,
61,"Extraction Oil & Gas Holdings, LLC",11.000 & 10.000,52633,52264,
62,Garden Fresh Restaurant Corp. (16),"7.750 (3M L+625 PIK, 1.50 Floor)",8755,6391,
63,Garden Fresh Restaurant Corp. (16),"15.000 (12M L+1350 PIK, 1.50 Floor)",44687,35750,
64,"GCA Services Group, Inc.","9.250 (3M L+800, 1.25 Floor)",26197,25870,
65,"Grocery Outlet, Inc.","9.250 (3M L+825, 1.00 Floor)",28000,27580,
66,"GTCR Valor Companies, Inc.","9.500 (3M L+850, 1.00 Floor)",35000,33644,
67,"Infiltrator Systems Integrated, LLC","9.750 (3M L+875, 1.00 Floor)",13889,13819,
68,"Institutional Shareholder Services, Inc.","8.500 (3M L+750, 1.00 Floor)",6640,6341,
69,"Kronos, Inc.","9.750 (3M L+850, 1.25 Floor)",3512,3506,
70,"Miller Energy Resources, Inc. (13)(14)(17)","14.750 (3M L+1075 Cash, 2.000 PIK, 2.000 Floor)",89021,63757,
71,MSC Software Corp. (17),"8.500 (3M L+750, 1.00 Floor)",13448,11834,
72,"Novolex Holdings, Inc.","9.750 (3M L+875, 1.00 Floor)",42045.0,40153,
73,Pabst Brewing Company,"9.250 (3M L+825, 1.00 Floor)",27000,26460,
74,"Poseidon Merger Sub, Inc.","9.500 (3M L+850, 1.00 Floor)",18000,18000,
75,"Premier Trailer Leasing, Inc.","10.000 (3M L+900, 1.00 Floor)",52000,53040,
76,River Cree Enterprises LP (11)(17),11.000,C$,21684,16516.0
77,"SiTV, Inc. (11)",10.375,2219,1786,
78,SMG,"9.250 (3M L+825, 1.00 Floor)",19900,20000,
79,"Sprint Industrial Holdings, LLC","11.250 (3M L+1000, 1.25 Floor)",16163,12365,
80,SquareTwo Financial Corp. (17),11.625,65152,37462,
81,"STG-Fairway Acquisitions, Inc.","10.250 (3M L+925, 1.00 Floor)",15000,14400,
82,"TASC, Inc.",12.000,21815,22142,
83,"TMK Hawk Parent, Corp.","8.500 (3M L+750, 1.00 Floor)",34000,33660,
84,"Transfirst Holdings, Inc.","9.000 (3M L+800, 1.00 Floor)",27840,27283,
85,"U.S. Renal Care, Inc.","9.000 (3M L+800, 1.00 Floor)",3000,2948,
86,"Velocity Technology Solutions, Inc.","9.000 (3M L+775, 1.25 Floor)",16500,15881,
87,"Venoco, Inc.",8.875 (12.000 PIK Toggle),35843,25090,
88,Total Second Lien Secured Debt,1010012.0,,,
89,Total Secured Debt,1757926.0,,,
90,Unsecured Debt016.6,,,,
91,"Aerojet Rocketdyne Holdings, Inc. (formerly GenCorp, Inc.) (17)","9.500 (3M L+850, 1.00 Floor)",6500.0,6500,
92,"American Tire Distributors, Inc. (11)",10.250,29741,27399,
93,Canacol Energy Ltd. (17)(23),"9.500 (3M L+850, 1.000 Unfunded, 1.00 Floor)",75000,71400,
94,"Delta Educational Systems, Inc.",16.000 PIK,27181,18862,
95,"Radio One, Inc. (11)",9.250,15804,12367,
96,"Sorenson Holdings, LLC (11)",13.000 (13.000 PIK Toggle),68,69,
97,Tibco Software Inc. (11),11.375,6984,5849,
98,"U.S. Security Associates Holdings, Inc.",11.000,135000,136350,
99,UniTek Global Services Inc.,15.000 PIK,7093,7093,
100,Total Unsecured Debt,301338.0,,,
101,Total Corporate Debt,2059264.0,,,
102,Structured Products and Other010.6,,,,
103,"Asset Repackaging Trust Six B.V., Credit-Linked Note (11)(17)(19)",13.832,58411.0,32224,
104,"Craft 2013-1, Credit-Linked Note (11)(16)(17)",9.565 (3M L+925),25000,23754,
105,"Craft 2013-1, Credit-Linked Note (16)(17)",9.565 (3M L+925),7625,7248,
106,"Craft 2014-1A, Credit-Linked Note (11)(17)",10.012 (3M L+965),42500,40692,
107,"Craft 2015-2, Credit-Linked Note (11)(17)",9.567 (3M L+925),26000,24981,
108,"Dark Castle Holdings, LLC",31.240,1189,,
109,"JP Morgan Chase & Co., Credit-Linked Note (17)",12.595 (12M L+1225),43250,42594,
110,"NXT Capital CLO 2014-1, LLC, Class E Notes (11)(17)",5.816 (3M L+550),5000,4072,
111,"Renaissance Umiat, LLC, ACES Tax Receivable (15)(17)",15.250 to 17.460,5393,,
112,Total Structured Products and Other,179259.0,,,
113,Equity04.5,,,,
114,Preferred Equity02.9,Shares,,,
115,"Crowley Holdings, Series A Preferred Stock (11)","12.000 (10.000 Cash, 2.000 PIK)",33839,,
116,"Gryphon Colleges Corp, Preferred Stock (13)(14)",12.500 PIK,6863,,
117,"Gryphon Colleges Corp, Preferred Stock (13)(14)",13.500 PIK,12360,0,
118,"Sungevity Inc, Series D Preferred Stock (13)",114678899,11250,,
119,"Varietal Distribution Holdings, LLC, Class A Preferred Unit",8.000 PIK,4207,,
120,Total Preferred Equity,83844.0,,,
121,Common Equity/Interests01.1,Shares,,,
122,"Accelerate Parent Corp, Common Stock",1664046,2570.0,,
123,"AMP Solar Group, Inc., Class A Common Unit (13)(17)",166974,7000,,
124,"Clothesline Holdings, Inc., Common Stock (13)",6000,701,,
125,"Explorer Coinvest, LLC, Common Stock (17)",133,3826,,
126,"Garden Fresh Restaurant Holdings, LLC, Common Stock (13)",50000,0,,
127,"Gryphon Colleges Corp, Common Stock (13)",17500,0,,
128,"Pelican Energy, LLC, Net Profits Interest (13)(17)",1098572,0,,
129,"Skyline Data, News and Analytics LLC, Class A Common Unit (13)",4500,4500,,
130,"Sorenson Holdings, LLC, Membership Interests (13)",587,139,,
131,"Varietal Distribution Holdings, LLC, Class A Common Unit (13)",28028,237,,
132,Total Common Equity/Interests,26537.0,,,
133,Warrants00.5,Warrants,,,
134,"Energy & Exploration Partners, Inc., Common Stock Warrants (13)",60778,0.0,,
135,"Fidji Luxco (BC) S.C.A., Common Stock Warrants (2)(13)(17)",12427,8041,,
136,"Gryphon Colleges Corp, Class A-1 Preferred Stock Warrants (13)",45947,0,,
137,"Gryphon Colleges Corp, Class B-1 Preferred Stock Warrants (13)",104314,0,,
138,"Gryphon Colleges Corp, Common Stock Warrants (13)",9820,0,,
139,"Osage Exploration & Development, Inc., Common Stock Warrants (13)(17)",1496843,0,,
140,"Spotted Hawk Development, LLC, Common Stock Warrants (13)",54545,0,,
141,Total Warrants,4951.0,,,
142,Total Equity,115332.0,,,
143,Total Non-Controlled/Non-Affiliated Investments,2353855.0,,,
144,Non-Controlled/Affiliated Investments014.5 (4)(10),,,,
145,Structured Products and Other08.5,,,,
146,"Golden Bear Warehouse LLC, Membership Interests (3)(17)",26438.0,35409,,
147,"Highbridge Loan Management 3-2014, Ltd., Subordinated Notes (3)(11)(17)(22)",17.510,8163,5412,
148,"Ivy Hill Middle Market Credit Fund IX, Ltd., Subordinated Notes (3)(11)(17)(22)",17.200,12500,10276,
149,"Ivy Hill Middle Market Credit Fund X, Ltd., Subordinated Notes (3)(11)(17)(22)",12.490,14000,10807,
150,"Jamestown CLO I Ltd., Subordinated Notes (11)(17)(22)",0.000,4325,2142,
151,"MCF CLO I, LLC, Membership Interests (3)(11)(17)(22)",20.270,38918,35138,
152,"MCF CLO III, LLC, Class E Notes (3)(11)(17)",4.737 (3M L+445),12750,10523,
153,"MCF CLO III, LLC, Membership Interests (3)(11)(17)(22)",20.080,41900,35384,
154,"Slater Mill Loan Fund LP, LP Certificates (3)(11)(17)(22)",0.000,5335,,
155,Total Structured Products and Other,143769.0,,,
156,Equity06.0,,,,
157,Preferred Equity02.0,Shares,,,
158,"Renewable Funding Group, Inc., Series B Preferred Stock (13)",1505868,20450.0,,
159,"Renewable Funding Group, Inc., Series D Preferred Stock (13)",436689,13013,,
160,Total Preferred Equity,13911.0,,,
161,Common Equity/Interests04.0,Shares,,,
162,"Generation Brands Holdings, Inc., Basic Common Stock (3)(13)",9007,8314.0,,
163,"Generation Brands Holdings, Inc., Series 2L Common Stock (3)(13)",36700,33878,,
164,"Generation Brands Holdings, Inc., Series H Common Stock (3)(13)",7500,6924,,
165,"LVI Group Investments, LLC, Common Units (13)",212460,20513,,
166,Total Common Equity/Interests,31045.0,,,
167,Total Equity,44956.0,,,
168,Total Non-Controlled/Affiliated Investments,188725.0,,,
169,Controlled Investments042.9 (5)(10),,,,
170,Corporate Debt029.6,,,,
171,Secured Debt029.6,,,,
172,First Lien Secured Debt029.6,,,,
173,First Lien Secured Debt (excluding Revolvers and Letters of Credit)08.4,,,,
174,Solarplicity Group Limited (17),12.500 (12.500 PIK Toggle),£,150754,145988
175,Total First Lien Secured Debt (excluding Revolvers and Letters of Credit),150754.0,,,
176,Funded and Unfunded Revolver Obligations021.2,,,,
177,"Merx Aviation Finance, LLC, Revolver (16)(23)",12.000,365084.0,365084,
178,"Merx Aviation Finance, LLC, Unfunded Revolver (16)(23)",0.000 Unfunded,34916,0,
179,Total Funded and Unfunded Revolver Obligations,365084.0,,,
180,Letters of Credit00.0,,,,
181,"Merx Aviation Finance, LLC, Letter of Credit (16)(23)",2.250,177.0,0,
182,"Merx Aviation Finance Assets Ireland Limited, Letter of Credit (16)(23)",2.250,1800,0,
183,"Merx Aviation Finance Assets Ireland Limited, Letter of Credit (16)(23)",2.250,1800,0,
184,Total Letters of Credit,0.0,,,
185,Total First Lien Secured Debt,515838.0,,,
186,Total Secured Debt,515838.0,,,
187,Total Corporate Debt,515838.0,,,
188,Equity013.3,,,,
189,Common Equity/Interests013.3,Shares,,,
190,"Dynamic Product Tankers, LLC, Class A Units (17)(24)",38756,,,
191,"Merx Aviation Finance, LLC, Membership Interests",73854,,,
192,"MSEA Tankers LLC, Class A Units (17)(25)",85000,,,
193,"Solarplicity Group Limited, Class B Common Shares (2)(13)(17)",2825,2394,,
194,Total Common Equity/Interests,200082.0,,,
195,Total Equity,200082.0,,,
196,Total Controlled Investments,715920.0,,,
197,Total Investments0178.0 (6)(7),3258500.0,,,
