,Industry / Company,Interest Rate,Par/Shares (12),Cost (33),Fair Value (1)(34),,
225,Ovation Fertility,,,,,,
226,"FPG Services, LLC","L+550, 1.00 Floor",19031,14119,14276,(9)(21)(23)  (28),
227,Paragon 28,,,,,,
228,"Paragon 28, Inc.","L+600, 1.00 Floor",10000,7472,7475,(9)(23)(26),
229,"Partner Therapeutics, Inc",,,,,,
230,"Partner Therapeutics, Inc","L+665, 1.00 Floor",10000,9976,9950,(9)(26),
231,PHS,,,,,,
232,"PHS Buyer, Inc.","L+600, 1.00 Floor",25115,24711,24612,(9)(28),
233,Radius Health,,,,,,
234,"Radius Health, Inc.","L+575, 2.00 Floor",33833,28736,28459,(9)(17)(23)  (26),
235,RHA Health Services,,,,,,
236,"Pace Health Companies, LLC","L+450, 1.00 Floor",3768,3729,3736,(9)(28),
237,Rigel Pharmaceuticals,,,,,,
238,"Rigel Pharmaceuticals, Inc.","L+565, 1.50 Floor",9000,9011,9051,(9)(26),
239,Unchained Labs,,,,,,
240,"Unchained Labs, LLC","L+550, 1.00 Floor",6760,1848,1854,(9)(21)(23)  (26),
241,"WellDyneRx, LLC",,,,,,
242,"WelldyneRX, LLC","SOFR+675, 0.75 Floor",18077,17720,17715,(9)(27),
243,High Tech Industries,,,,,,
244,Acronis AG,,,,,,
245,ACRONIS AG,"L+535, 1.50 Floor",21000,20941,20962,(9)(17)(26),
246,American Megatrends,,,,,,
247,AMI US Holdings Inc.,"L+525, 1.00 Floor",21430,21211,21430,(9)(26),
248,"Calero Holdings, Inc.",,,,,,
249,"Telesoft Holdings, LLC","L+575, 1.00 Floor",22273,21952,22141,(28),
250,ChyronHego Corporation,,,,,,
251,ChyronHego Corporation (5),"L+350 Cash plus 1.50 PIK, 1.00 Floor",85277,84170,84424,(28),
252,Dairy.com,,,,,,
253,Momentx Corporation,"L+575, 1.00 Floor",13640,13395,13265,(9)(28),
254,Digital.ai,,,,,,
255,"Digital.ai Software Holdings, Inc.","L+700, 1.00 Floor",22355,21810,22080,(9)(28),
256,GoHealth,,,,,,
257,"Norvax, LLC","L+650, 1.00 Floor",3182,2428,2461,(9)(21)(23)  (26)(28),
258,"International Cruise & Excursion Gallery, Inc.",,,,,,
259,"International Cruise & Excursion Gallery, Inc.","L+535, 1.00 Floor",14438,14305,13642,(26),
260,Modern Campus,,,,,,
261,"Destiny Solutions U.S., Inc.","L+600, 1.00 Floor",25573,25024,25126,(26),
262,"RMCF IV CIV XXXV, L.P.",482 Shares,1430,(13)(24),,,
263,MYCOM,,,,,,
264,Magnate Holding Corp.,"L+625, 0.50 Floor",19164,19050,18817,(9)(17)(28),
265,"New Era Technology, Inc.",,,,,,
266,"New Era Technology, Inc.","L+625, 1.00 Floor",23794,21315,21221,(9)(21)(23)  (28),
267,Pro Vigil,,,,,,
268,"Pro-Vigil Holding Company, LLC","L+850, 1.00 Floor",9910,9724,9808,(9)(28),
269,Schlesinger Group,,,,,,
270,"Schlesinger Global, LLC","L+600 Cash plus 1.00 PIK, 1.00 Floor",9882,9730,9747,(9)(28),
271,Simeio,,,,,,
272,"Simeio Group Holdings, Inc.","L+550, 1.00 Floor",8178,8099,8076,(9)(26),
273,Sirsi Corporation,,,,,,
274,Sirsi Corporation,"L+450, 1.00 Floor",5456,5423,5440,(9)(26),
275,Springbrook,,,,,,
276,"Springbrook Holding Company, LLC","L+550, 1.00 Floor",15933,15724,15786,(28),
277,Tax Slayer,,,,,,
278,"MEP-TS Midco, LLC","L+600, 1.00 Floor",13379,13139,13245,(9)(29),
279,Telnyx,,,,,,
280,Telnyx LLC,"L+625, 1.50 Floor",5250,5230,5277,(9)(26),
281,UpStack,,,,,,
282,Upstack Holdco Inc.,"L+550, 1.00 Floor",31914,27581,27995,(9)(21)(23)  (29),
283,"Hotel, Gaming, Leisure, Restaurants",,,,,,
284,Guernsey,,,,,,
285,Guernsey Holdings SDI LA LLC,6.95,9904,9812,9811,(9),
286,Taco Cabana,,,,,,
287,"YTC Enterprises, LLC","L+625, 1.00 Floor",9942,9835,9843,(9)(26),
288,Insurance,,,,,,
289,High Street Insurance,,,,,,
290,"High Street Buyer, Inc.","L+600, 0.75 Floor",30113,29607,29586,(9)(26),
291,PGM Holdings Corporation,,,,,,
292,"Turbo Buyer, Inc.","L+600, 1.00 Floor",19230,18930,18889,(9)(29),
293,Relation Insurance,,,,,,
294,"AQ Sunshine, Inc.","L+600, 1.00 Floor",34858,31093,31447,(9)(21)(23)  (26)(28)(29),
295,"Manufacturing, Capital Equipment",,,,,,
296,"AVAD, LLC",,,,,,
297,"Surf Opco, LLC","L+400, 1.00 Floor",16667,11564,11419,(9)(20)(21)  (23)(26),
298,Kauffman,,,,,,
299,"Kauffman Holdco, LLC","250,000 Shares",98,(9)(13),,,
300,"Kauffman Intermediate, LLC","L+650, 1.00 Floor",16281,16114,15843,(9)(30),
301,MedPlast Holdings Inc.,,,,,,
302,"Viant Medical Holdings, Inc. (fka MedPlast Holdings, Inc.)","L+775, 0.00 Floor",8000,7959,7607,(26),
303,Media – Diversified & Production,,,,,,
304,New Wave Entertainment,,,,,,
305,"NW Entertainment, Inc.","L+750 Cash plus 2.00 PIK, 1.00 Floor",29195,28940,29186,(9)(28),
306,Nitro World Entertainment,,,,,,
307,NWE OPCO LP,"L+650, 2.00 Floor",4579,4573,4572,(9)(26),
308,Sonar Entertainment,,,,,,
309,"Sonar Entertainment, Inc.","L+760, 1.25 Floor",2475,2474,2019,(9)(11)(26),
310,Retail,,,,,,
311,IPS,,,,,,
312,"SI Holdings, Inc.","L+600, 1.00 Floor",31005,30645,30780,(9)(26),
313,Telecommunications,,,,,,
314,"Securus Technologies Holdings, Inc.",,,,,,
315,"Securus Technologies Holdings, Inc.","L+825, 1.00 Floor",7128,7119,6843,(28),
316,"Transportation – Cargo, Distribution",,,,,,
317,Beacon Mobility,,,,,,
318,Beacon Mobility Corp.,"L+550, 1.00 Floor",28266,13227,13429,(9)(21)(23)  (28),
319,"Dynamic Product Tankers (Prime), LLC",,,,,,
320,"Dynamic Product Tankers, LLC (5)",44432,(13)(17)(19)(24),,,,
321,Heniff and Superior,,,,,,
322,"Heniff Holdco, LLC","L+575, 1.00 Floor",30453,30019,29582,(9)(26),
323,MSEA Tankers LLC,,,,,,
324,MSEA Tankers LLC (5),50258,(17)(18)(24),,,,
325,Wholesale,,,,,,
326,Banner Solutions,,,,,,
327,"Banner Buyer, LLC","L+575, 1.00 Floor",17751,15111,15171,(9)(21)(23)  (26),
328,"Banner Parent Holdings, Inc.","6,125 Shares",539,(9)(13),,,
329,Thomas Scientific,,,,,,
330,"BSP-TS, LP",185 Shares,190,(9)(13)(24),,,
331,"Thomas Scientific, LLC","L+625, 1.00 Floor",31785,26056,26283,(9)(21)(23)  (29),
332,Total Investments,2745829,(6)(7),,,,
