,Industry/Company,Interest_Rate,Maturity_Date,Industry,Par_Shares,Cost,Fair_Value
56,"UniTek Global Services, Inc., Letter of Credit (13)(16)",9.250%,3/26/15,Telecommunications,12500,-,-
57,"Walter Energy, Inc., Letter of Credit (8)(9)(13)(16)(17)",5.500%,9/18/14- 7/4/15,Mining,86,-,(6)
58,"Walter Energy, Inc., Letter of Credit (8)(9)(13)(16)(17)",5.500%,11/28/15-8/31/15,Mining,192,-,(11)
59,"APOLLO INVESTMENT CORPORATION  SCHEDULE OF INVESTMENTS (unaudited) (continued)  September 30, 2014  (in thousands, except shares)",,,,,,
60,2nd Lien Secured Debt-50.5%,,,,,,
61,"Active Network, Inc.","9.50% (L+850, 1.00% Floor)",11/15/21,Business Services,20419,20325,20553
62,"American Energy - Utica, LLC (10)","11.00% (L+950, 1.50% Floor)",9/30/18,Oil and Gas,11020,10920,11571
63,"Aptean, Inc.","8.50% (L+750, 1.00% Floor)",2/26/21,Business Services,11322,11162,11280
64,"Armor Holdings, Inc. (American Stock Transfer and Trust Company)","10.25% (L+900, 1.25% Floor)",12/26/20,Financial Services,8000,7859,7920
65,Asurion Corporation,"8.50% (L+750, 1.00% Floor)",3/3/21,Insurance,90400,89123,91756
66,"BancTec Group, LLC (17)","11.75% (L+1075, 1.00% Floor)",4/3/20,Business Services,40000,39249,39200
67,Confie Seguros Holding II Co.,"10.25% (L+900, 1.25% Floor)",5/8/19,Insurance,33844,33599,34140
68,Consolidated Precision Products Corp.,"8.75% (L+775, 1.00% Floor)",4/30/21,Aerospace and Defense,8940,8899,8974
69,Del Monte Foods Co.,"8.25% (L+725, 1.00% Floor)",8/18/21,"Beverage, Food, and Tobacco",2146,2126,1959
70,"Deltek, Inc.","10.00% (L+875, 1.25% Floor)",10/10/19,Business Services,27273,27041,27546
71,"Elements Behavioral Health, Inc.","9.25% (L+825, 1.00% Floor)",2/11/20,Healthcare,9500,9413,9500
72,"Flexera Software, LLC","8.00% (L+700, 1.00% Floor)",4/2/21,Business Services,4250,4230,4186
73,Garden Fresh Restaurant Corp. (16),"14.50% (L+1300 PIK, 1.50% Floor)",1/1/19,Restaurants,37075,35046,32997
74,Garden Fresh Restaurant Corp. (16),"7.25% (L+575 PIK , 1.50% Floor)",1/1/19,Restaurants,7943,6051,5401
75,"GCA Services Group, Inc.","9.25% (L+800, 1.25% Floor)",11/1/20,Diversified Service,22838,22933,22838
76,"Genex Holdings, Inc.","8.75% (L+775, 1.00% Floor)",5/30/22,Healthcare,2320,2294,2308
77,"Grocery Outlet, Inc.","11.50% (L+925 or P+800, 3.50% Floor)",6/17/19,Grocery,8674,8537,8847
78,"GTCR Valor Companies, Inc.","9.50% (L+850, 1.00% Floor)",11/21/21,Business Services,35000,35000,34825
79,"HD Vest, Inc. (17)","9.25% (L+800, 1.25% Floor)",6/18/19,Financial Services,9396,9304,9396
80,"Institutional Shareholder Services, Inc.","8.50% (L+750, 1.00% Floor)",4/30/22,Financial Services,9640,9547,9592
81,"inVentiv Health, Inc. (11)",10.00% (12.00% PIK Toggle),8/15/18,Healthcare,11682,11682,10835
82,"Kronos, Inc.","9.75% (L+850, 1.25% Floor)",4/30/20,Business Services,92516,91593,95523
83,"Learfield Communications, Inc.","8.75% (L+775, 1.00% Floor)",10/8/21,Media,15000,14863,14981
84,"Miller Energy Resources, Inc. (17)","11.75% (L+975, 2.00% Floor)",2/3/18,Oil and Gas,87500,85983,85750
85,MSC Software Corp. (17),"8.50% (L+750, 1.00% Floor)",5/28/21,Business Services,20448,20250,20141
86,"NVA Holdings, Inc.","8.00% (L+700, 1.00% Floor)",8/14/22,Healthcare,7780,7742,7761
87,"Premier Trailer Leasing, Inc.","10.00% (L+900, 1.00% Floor)",9/24/20,Financial Services,52000,50962,50960
88,"APOLLO INVESTMENT CORPORATION  SCHEDULE OF INVESTMENTS (unaudited) (continued)  September 30, 2014  (in thousands, except shares)",,,,,,
89,2nd Lien Secured Debt-50.5% (continued),,,,,,
90,Ranpak Corp. (16),"8.50% (L+725, 1.25% Floor)",4/23/20,Packaging,22000,21814,22165
91,Ranpak Corp. (16),"8.25% (L+725, 1.00% Floor)",9/22/22,Packaging,16654,16571,16633
92,"RegionalCare Hospital Partners, Inc.","10.50% (L+950, 1.00% Floor)",10/23/19,Healthcare,7000,6646,7070
93,River Cree Enterprises LP (11)(17),11.000%,1/20/21,"Hotels, Motels, Inns and Gaming",33000,31110,32076
94,"SiTV, Inc. (11)",10.375%,7/1/19,Cable Television,2219,2219,2200
95,"Sprint Industrial Holdings, LLC","11.25% (L+1000, 1.25% Floor)",11/14/19,"Containers, Packaging, and Glass",14163,13943,14305
96,"SquareTwo Financial Corp. (Collect America, Ltd.) (17)",11.625%,4/1/17,Financial Services,66079,65040,66244
97,Stadium Management Corp.,"9.25% (L+825, 1.00% Floor)",2/27/21,Business Services,19900,19900,20099
98,"TASC, Inc.",12.000%,5/21/21,Aerospace and Defense,13435,12783,13065
99,TMK Hawk Parent Corp.,"8.50% (L+750, 1.00% Floor)",8/22/22,Distribution,34000,33660,33830
100,"Transfirst Holdings, Inc.","8.00% (L+700, 1.00% Floor)",6/27/18,Financial Services,12500,12472,12438
101,"U.S. Renal Care, Inc. (16)","10.25% (L+900, 1.25% Floor)",1/3/20,Healthcare,11927,11977,12091
102,"U.S. Renal Care, Inc. (16)","8.50% (L+750, 1.00% Floor)",1/3/20,Healthcare,12120,11944,12302
103,"Velocity Technology Solutions, Inc.","9.00% (L+775, 1.25% Floor)",9/28/20,Business Services,16500,16189,16170
104,"Vertafore, Inc.","9.75% (L+825, 1.50% Floor)",10/27/17,Business Services,50436,50199,50877
105,"Walter Energy, Inc. (11)(17)",11.000%,4/1/20,Mining,22554,21182,10713
106,"Xand Operations, LLC","8.50% (L+750, 1.00% Floor)",5/13/20,Telecommunications,20000,19810,19800
107,UNSECURED DEBT-30.1%,,,,,,
108,American Energy - Woodford LLC/AEW Finance Corp. (11),9.000%,9/15/22,Oil and Gas,5000,4796,4654
109,"American Tire Distributors, Inc. (11)(16)",11.500%,6/1/18,Distribution,25000,25000,25500
110,"American Tire Distributors, Inc. (11)(16)",11.500%,6/1/18,Distribution,40000,39386,40800
111,Artsonig Pty Ltd. (11)(17),11.50% (12.00% PIK Toggle),4/1/19,Transportation,20000,19723,20350
112,BCA Osprey II Limited (British Car Auctions) (16)(17),12.50% PIK,8/17/17,Transportation,23566,37638,39580
113,BCA Osprey II Limited (British Car Auctions) (16)(17),12.50% PIK,8/17/17,Transportation,14333,19748,18758
114,Ceridian Corp. (11),11.000%,3/15/21,Diversified Service,34000,34000,38831
115,"Delta Educational Systems, Inc.",16.00% (10.00% Cash/ 6.00% PIK),5/12/17,Education,22334,22046,21608
116,Denver Parent Corp. (Venoco),12.25% (13.00% PIK Toggle),8/15/18,Oil and Gas,8988,8809,8269
117,First Data Corp.,11.250%,1/15/21,Financial Services,43601,43581,49773
118,"inVentiv Health, Inc. (11)",10.000%,8/15/18,Healthcare,25685,25685,20869
119,"APOLLO INVESTMENT CORPORATION  SCHEDULE OF INVESTMENTS (unaudited) (continued)  September 30, 2014  (in thousands, except shares)",,,,,,
120,UNSECURED DEBT-30.1% (continued),,,,,,
121,"My Alarm Center, LLC",16.25% (12.00% Cash / 4.25%PIK),7/9/18,Business Services,4145,4145,4145
122,Niacet Corporation,13.000%,8/28/18,Chemicals,12500,12500,12625
123,PetroBakken Energy Ltd. (11)(17),8.625%,2/1/20,Oil and Gas,48121,49583,47760
124,"Radio One, Inc. (11)(17)",9.250%,2/15/20,Broadcasting & Entertainment,14804,14804,14776
125,"Sorenson Communications Holdings, LLC (11)",13.00% PIK,10/31/21,Consumer Products,68,45,69
126,"Symbion, Inc.",11.000%,8/23/15,Healthcare,8467,8476,8381
127,"U.S. Security Associates Holdings, Inc.",11.000%,7/28/18,Business Services,135000,135000,137430
128,"Univar, Inc.",10.500%,6/30/18,Distribution,20000,20000,20000
129,"VWR Funding, Inc. (11)(16)",10.750%,6/30/17,Distribution,22204,21947,22204
130,"VWR Funding, Inc. (11)(16)",10.750%,6/30/17,Distribution,11574,15080,14621
131,"Venoco, Inc.",8.875%,2/15/19,Oil and Gas,54996,55020,50528
132,STRUCTURED PRODUCTS AND OTHER-8.3%,,,,,,
133,"Asset Repackaging Trust Six B.V., Credit-Linked Note (17)",N/A,5/15/27,Utilities,58411,24842,30391
134,"Craft 2013-1, Credit-Linked Note (11)(16)(17)",9.476% (L+925),4/17/22,Diversified Investment Vehicle,25000,25100,24513
135,"Craft 2013-1, Credit-Linked Note (16)(17)",9.476% (L+925),4/17/22,Diversified Investment Vehicle,7625,7756,7477
136,"Craft 2014-1A, Credit-Linked Note (11)(17)",9.891% (L+965),5/15/21,Diversified Investment Vehicle,42500,42496,41982
137,"Dark Castle Holdings, LLC",N/A,N/A,Media,24395,1189,2862
138,"JP Morgan Chase & Co., Credit-Linked Note (17)",12.481% (L+1225),12/20/21,Diversified Investment Vehicle,43250,42548,43584
139,"NXT Capital CLO 2014-1, LLC (11)(17)",5.804% (L+550),4/23/26,Diversified Investment Vehicle,5000,4660,4652
140,"Renaissance Umiat, LLC, ACES Tax Receivable (15)(17)",N/A,N/A,Oil and Gas,-,14610,15268
141,PREFERRED EQUITY-2.2%,Shares,,,,,
142,"CA Holding, Inc. (Collect America, Ltd.), Series A Preferred Stock (13)(17)",N/A,N/A,Financial Services,7961,788,1592
143,"Crowley Holdings, Series A Preferred Stock",12.00% (10.00% Cash/2.00% PIK),N/A,Cargo Transport,22500,22850,22795
144,"Gryphon Colleges Corp. (Delta Educational Systems, Inc.), Preferred Stock (Convertible) (14)",12.50% PIK,N/A,Education,332500,6863,-
145,"Gryphon Colleges Corp. (Delta Educational Systems, Inc.), Preferred Stock (14)",13.50% PIK,5/12/18,Education,12360,27685,15744
146,"Varietal Distribution Holdings, LLC, Class A Preferred Unit",8.00% PIK,N/A,Distribution,3097,5502,4326
147,"APOLLO INVESTMENT CORPORATION  SCHEDULE OF INVESTMENTS (unaudited) (continued)  September 30, 2014  (in thousands, except shares)",,,,,,
148,EQUITY-2.2%,,,,,,
149,Common Equity/Interests-1.7%,Shares,,,,,
150,"AHC Mezzanine, LLC (Advanstar), Common Stock (13)",N/A,N/A,Media,25016,1063,620
151,"ATD Corporation (Accelerate Parent Corp.), Common Stock (13)",N/A,N/A,Distribution,3225514,3276,4680
152,"CA Holding, Inc. (Collect America, Ltd.), Series A Common Stock (13)(17)",N/A,N/A,Financial Services,25000,2500,-
153,"CA Holding, Inc. (Collect America, Ltd.), Series AA Common Stock (13)(17)",N/A,N/A,Financial Services,4294,429,208
154,"Caza Petroleum, Inc., Net Profits Interest (13)",N/A,N/A,Oil and Gas,-,1202,1584
155,"Caza Petroleum, Inc., Overriding Royalty Interest (13)",N/A,N/A,Oil and Gas,-,339,328
156,"Clothesline Holdings, Inc. (Angelica Corporation), Common Stock (13)",N/A,N/A,Healthcare,6000,6000,1600
157,"Explorer Coinvest, LLC (Booz Allen), Common Stock (13)(17)",N/A,N/A,Business Services,295,2259,6423
158,"Garden Fresh Restaurant Holdings, LLC., Common Stock (13)",N/A,N/A,Restaurants,50000,5000,-
159,"Gryphon Colleges Corp. (Delta Educational Systems, Inc.), Common Stock (13)",N/A,N/A,Education,17500,175,-
160,"JV Note Holdco, LLC (DSI Renal, Inc.), Common Equity / Interest (13)",N/A,N/A,Healthcare,9303,85,-
161,"Pelican Energy, LLC, Net Profit Interest (13)(17)",N/A,N/A,Oil and Gas,1048811,1050,1245
162,"RC Coinvestment, LLC (Ranpak Corp.), Common Stock (13)",N/A,N/A,Packaging,50000,5000,9750
163,"Sorenson Communications Holdings, LLC, Class A Common Stock (13)",N/A,N/A,Consumer Products,587,-,71
164,"Univar, Inc., Common Stock (13)",N/A,N/A,Distribution,900000,9000,9040
165,"Varietal Distribution Holdings, LLC, Class A Common Unit (13)",N/A,N/A,Distribution,28028,28,-
166,"APOLLO INVESTMENT CORPORATION  SCHEDULE OF INVESTMENTS (unaudited) (continued)  September 30, 2014  (in thousands, except warrants)",,,,,,
167,Warrants-0.5%,,,,,,
168,"CA Holding, Inc. (Collect America, Ltd.), Common Stock Warrants (13)(17)",N/A,N/A,Financial Services,7961,8,-
169,"Energy & Exploration Partners, Inc., Common Stock Warrants (13)",N/A,N/A,Oil and Gas,60778,2374,1075
170,"Fidji Luxco (BC) S.C.A., Common Stock Warrants (2)(13)(17)",N/A,N/A,Electronics,18113,182,4646
171,"Gryphon Colleges Corp. (Delta Educational Systems, Inc.), Class A-1 Preferred Stock Warrants (13)",N/A,N/A,Education,45947,459,-
172,"Gryphon Colleges Corp. (Delta Educational Systems, Inc.), Class B-1 Preferred Stock Warrants (13)",N/A,N/A,Education,104314,1043,-
173,"Gryphon Colleges Corp. (Delta Educational Systems, Inc.), Common Stock Warrants (13)",N/A,N/A,Education,9820,98,-
174,"Osage Exploration & Development, Inc., Common Stock Warrants (13)(17)",N/A,N/A,Oil and Gas,1496843,-,814
175,"Spotted Hawk Development, LLC, Common Stock Warrants (13)",N/A,N/A,Oil and Gas,54545,852,4236
