,Industry/Company,Investment_Type,Interest_Rate,Maturity_Date,Par_Shares,Cost,Fair_Value,,
31,"Access CIG, LLC",Second Lien Secured Debt,10.25 (1M L+775),02/27/26,15900,15771,15741,(10),
32,Aero Operating LLC,First Lien Secured Debt,"9.75 (1M L+725, 1.00 Floor)",12/29/22,37040,36325,36669,(9),
33,Aero Operating LLC,First Lien Secured Debt - Revolver,9.75 (1M L+725),12/29/22,2663,2663,2636,(9)(23),
34,Aero Operating LLC,First Lien Secured Debt - Unfunded Revolver,1.00 Unfunded,12/29/22,2032,(90,(20,(8)(9)(21)(23),
35,Aero Operating LLC,First Lien Secured Debt - Letter of Credit,7.25,5/4/2019- 6/21/19,118,0,(1,(8)(9)(23),
36,Ambrosia Buyer Corp.,Second Lien Secured Debt,"10.50 (1M L+ 800, 1.00 Floor)",08/28/25,21429,20999,20975,,
37,"Aptean, Inc.",Second Lien Secured Debt,"12.11 (3M L+950, 1.00 Floor)",12/20/23,11148,11064,11148,(10),
38,"Claritas, LLC",First Lien Secured Debt,"8.50 (1M L+600, 1.00 Floor)",12/21/23,3944,3905,3905,(9),
39,"Claritas, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,12/21/23,1031,(10,(10,(8)(9)(21)(23),
40,"Continuum Global Solutions, LLC",First Lien Secured Debt - Revolver,"8.00 (1M L+550, 1.00 Floor)",02/15/22,6219,6219,6095,(9)(23),
41,"Continuum Global Solutions, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,02/15/22,4550,(207,(91,(8)(9)(21)(23),
42,"Continuum Global Solutions, LLC",Preferred Equity - Preferred Stock,N/A,N/A,620 Shares,62,62,(9)(13),
43,"CT Technologies Intermediate Holdings, Inc",First Lien Secured Debt,"6.75 (1M L+425, 1.00 Floor)",12/01/21,4460,3853,3897,(9)(10),
44,"CT Technologies Intermediate Holdings, Inc",Second Lien Secured Debt,"11.50 (1M L+900, 1.00 Floor)",12/01/22,31253,30636,29378,(9),
45,Education Personnel,First Lien Secured Debt,"5.60 (3M GBP L+475, 0.50 Floor)",08/31/24,4118,5219,5315,(9)(17),
46,Education Personnel,First Lien Secured Debt - Revolver,"5.60 (3M GBP L+475, 0.50 Floor)",08/31/24,1471,1864,1898,(9)(17)(23),
47,Education Personnel,First Lien Secured Debt - Unfunded Delayed Draw,1.66 Unfunded,08/31/24,4412,0,0,(9)(17)(21)(23),
48,Electro Rent Corporation,Second Lien Secured Debt,"11.60 (3M L+900, 1.00 Floor)",01/31/25,34235,33427,33551,(9),
49,McLarens Global Ltd.,,,,,,,,
50,Margaux Acquisition Inc.,First Lien Secured Debt,"8.18 (3M L+600, 1.00 Floor)",12/19/24,17614,17279,17262,(9),
51,Margaux Acquisition Inc.,First Lien Secured Debt,"8.60 (3M L+600, 1.00 Floor)",12/19/24,1373,1373,1345,(9),
52,Margaux Acquisition Inc.,First Lien Secured Debt - Revolver,8.60 (3M L+600),12/19/24,172,172,168,(9)(23),
53,Margaux Acquisition Inc.,First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,12/19/24,1430,(31,(29,(8)(9)(21)(23),
54,Margaux Acquisition Inc.,First Lien Secured Debt - Unfunded Delayed Draw,1.00 Unfunded,12/19/24,4461,(111,(89,(8)(9)(21)(23),
55,Margaux UK Finance Limited,First Lien Secured Debt,"8.59 (3M L+600, 1.00 Floor)",12/19/24,5955,7381,7605,(9)(17),
56,Margaux UK Finance Limited,First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,12/19/24,541,(13,(14,(8)(9)(17)(21)(23),
57,Margaux UK Finance Limited,First Lien Secured Debt - Unfunded Delayed Draw,1.00 Unfunded,12/19/24,1353,(33,(35,(8)(9)(17)(21)(23),
58,"Ministry Brands, LLC",Second Lien Secured Debt,"11.88 (1M L+925, 1.00 Floor)",06/02/23,10000,9902,10050,,
59,"Newscycle Solutions, Inc.",First Lien Secured Debt,"9.50 (1M L+700, 1.00 Floor)",12/29/22,16646,16334,16479,(9),
60,"Newscycle Solutions, Inc.",First Lien Secured Debt - Revolver,"9.50 (1M L+700, 1.00 Floor)",12/29/22,160,160,158,(9)(23),
61,"Newscycle Solutions, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,12/29/22,340,(9,(3,(8)(9)(21)(23),
62,"PSI Services, LLC",First Lien Secured Debt,"7.50 (1M L+500, 1.00 Floor)",01/20/23,4575,4502,4552,(9),
63,"PSI Services, LLC",First Lien Secured Debt - Revolver,"7.48 (1M L+500, 1.00 Floor)",01/20/22,119,119,119,(9)(23),
64,"PSI Services, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,01/20/22,278,(6,(1,(8)(9)(21)(23),
65,"PSI Services, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,01/20/22,47,0,0,(8)(9)(21)(23),
66,"PSI Services, LLC",Second Lien Secured Debt,"11.50 (1M L+900, 1.00 Floor)",01/20/24,37893,37117,37925,(9),
67,"RA Outdoors, LLC",First Lien Secured Debt,"7.25 (1M L+475, 1.00 Floor)",09/11/24,7138,7027,6995,(9),
68,"RA Outdoors, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,09/09/22,1176,(17,(24,(8)(9)(21)(23),
69,"RA Outdoors, LLC",First Lien Secured Debt - Letter of Credit,4.75,08/28/19,24,0,0,(8)(9)(23),
70,"RA Outdoors, LLC",Second Lien Secured Debt,"11.25 (1M L+875, 1.00 Floor)",09/11/25,34200,33510,33345,(9),
71,"STG-Fairway Acquisitions, Inc.",Second Lien Secured Debt,"11.75 (1M L+925, 1.00 Floor)",06/30/23,15000,14800,14325,(10),
72,TGG TS Acquisition Company,First Lien Secured Debt - Revolver,8.99 (1M L+650),12/14/23,690,690,673,(23),
73,TGG TS Acquisition Company,First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,12/14/23,1060,0,(27,(8)(21)(23),
74,"Transplace Holdings, Inc.",Second Lien Secured Debt,"11.23 (1M L+875, 1.00 Floor)",10/06/25,8599,8422,8448,(10),
75,U.S. Legal Support,,,,,,,,
76,"USLS Acquisition, Inc.",First Lien Secured Debt,"8.38 (3M L+575, 1.00 Floor)",12/02/24,20049,19670,19658,(9),
77,"USLS Acquisition, Inc.",First Lien Secured Debt,"8.35 (3M L+575, 1.00 Floor)",12/02/24,1099,1088,1077,(9),
78,"USLS Acquisition, Inc.",First Lien Secured Debt - Revolver,8.38 (3M L+575),12/02/24,536,536,526,(9)(23),
79,"USLS Acquisition, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,12/02/24,986,(30,(19,(8)(9)(21)(23),
80,"USLS Acquisition, Inc.",First Lien Secured Debt - Unfunded Delayed Draw,0.50 Unfunded,12/02/24,3591,(44,(70,(8)(9)(21)(23),
81,"USLS Acquisition, Inc.",First Lien Secured Debt - Letter of Credit,5.75,12/02/24,86,0,(1,(8)(9)(23),
82,"US Legal Support Investment Holdings, LLC",Common Equity/Interests - Series A-1 Units,N/A,N/A,"602,978 Shares",603,696,(9)(13),
83,"Vertafore, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,06/30/23,14576,"(1,467","(1,531",(8)(21)(23),
84,"Vertafore, Inc.",First Lien Secured Debt - Letter of Credit,3.25,01/17/20,424,0,(45,(8)(23),
85,"Chemicals, Plastics & Rubber",,,,,,,,
86,Carbon Free Chemicals,,,,,,,,
87,Carbonfree Chemicals SPE I LLC (f/k/a Maxus Capital Carbon SPE I LLC),First Lien Secured Debt,5.215 PIK,12/31/21,50305,50305,47806,,
88,Carbonfree Chemicals SPE I LLC (f/k/a Maxus Capital Carbon SPE I LLC),First Lien Secured Debt - Unfunded Delayed Draw,0.00 Unfunded,12/31/21,2911,0,0,(21)(23),
89,Carbonfree Chemicals SPE I LLC (f/k/a Maxus Capital Carbon SPE I LLC),Common Equity/Interests - Residual Interests,N/A,N/A,"9,000,000 shares",9000,0,(13),
90,Carbonfree Caustic SPE LLC,First Lien Secured Debt,5.00,12/31/21,10200,10200,10200,,
91,"Hare Bidco, Inc.",Second Lien Secured Debt,9.75 (3M E+875),08/01/24,13574,14465,14937,,
92,"Westfall Technik, Inc.",First Lien Secured Debt,"7.85 (3M L+525, 1.00 Floor)",09/13/24,12318,12158,12071,(9),
93,"Westfall Technik, Inc.",First Lien Secured Debt - Revolver,"7.69 (3M L+500, 1.00 Floor)",09/13/24,135,135,132,(9)(23),
94,"Westfall Technik, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,09/13/24,1885,(37,(38,(8)(9)(21)(23),
95,"Westfall Technik, Inc.",First Lien Secured Debt - Unfunded Delayed Draw,1.00 Unfunded,09/13/24,3140,(98,(63,(8)(9)(21)(23),
96,Construction & Building,,,,,,,,
97,Englert,,,,,,,,
98,"Gutter Buyer, Inc.",First Lien Secured Debt,"8.73 (1M L+625, 1.00 Floor)",03/06/25,23864,23274,23268,(9),
99,"Gutter Buyer, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,03/06/24,2727,(67,(68,(8)(9)(21)(23),
100,"Gutter Buyer, Inc.",First Lien Secured Debt - Unfunded Delayed Draw,0.00 Unfunded,03/06/25,3409,(51,(85,(8)(9)(21)(23),
101,"Gutter Holdings, LP",Common Equity/Interests - Common Stock,N/A,N/A,500 shares,500,478,(9)(13),
102,Consumer Goods – Durable,,,,,,,,
103,"Hayward Industries, Inc.",Second Lien Secured Debt,10.75 (1M L+825),08/04/25,21918,21649,21589,,
104,KDC US Holdings,First Lien Secured Debt - Revolver,5.75 (1M L+325),12/21/23,1204,1204,1099,(23),
105,KDC US Holdings,First Lien Secured Debt - Unfunded Revolver,0.00 Unfunded,12/21/23,4712,0,(409,(8)(21)(23),
106,KDC US Holdings,First Lien Secured Debt - Letters of Credit,3.25,12/31/19- 03/08/20,104,0,(9,(8)(23),
107,KLO Holdings,,,,,,,,
108,9357-5991 Quebec Inc.,First Lien Secured Debt,"10.25 (1M L+775, 1.50 Floor)",04/07/22,8763,8697,8282,,
109,KLO Acquisition LLC,First Lien Secured Debt,"10.25 (1M L+775, 1.50 Floor)",04/07/22,5073,5035,4795,,
110,"Project Comfort Buyer, Inc.",First Lien Secured Debt,"9.81 (6M L+700, 1.00 Floor)",02/03/25,23769,23075,23056,(9),
111,"Project Comfort Buyer, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,02/01/24,3462,(100,(104,(8)(9)(21)(23),
112,"Project Comfort Buyer, Inc.",First Lien Secured Debt - Unfunded Delayed Draw,0.50 Unfunded,02/03/25,2308,(34,(69,(8)(9)(21)(23),
113,"Project Comfort Buyer, Inc.",Preferred Equity - Preferred Stock,N/A,N/A,"461,538 Shares",462,462,(9)(13),
114,"Sorenson Holdings, LLC",Common Equity/Interests - Membership Interests,N/A,N/A,587 Shares,0,470,(10)(13),
115,Consumer Goods – Non-Durable,,,,,,,,
116,"ABG Intermediate Holdings 2, LLC",Second Lien Secured Debt,"10.25 (1M L+775, 1.00 Floor)",09/29/25,7371,7345,7298,(10),
117,"BIG Buyer, LLC",First Lien Secured Debt,"9.10 (3M L+650, 1.00 Floor)",11/20/23,29264,28503,28970,(9),
118,"BIG Buyer, LLC",First Lien Secured Debt - Revolver,"9.10 (3M L+650, 1.00 Floor)",11/20/23,271,271,268,(9)(23),
119,"BIG Buyer, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,11/20/23,1535,(50,(15,(8)(9)(21)(23),
120,"BIG Buyer, LLC",First Lien Secured Debt - Unfunded Delayed Draw,3.25 Unfunded,11/20/23,1368,(75,(14,(8)(9)(21)(23),
121,Lion Cashmere Midco Limited,First Lien Secured Debt,"8.42 (6M L+575, 1.00 Floor)",03/21/25,13053,12825,12694,(9)(17),
122,Lion Cashmere Midco Limited,First Lien Secured Debt - Revolver,"7.92 (6M L+525, 1.00 Floor)",03/21/24,225,256,246,(9)(17)(23),
123,Lion Cashmere Midco Limited,First Lien Secured Debt - Unfunded Revolver,1.84 Unfunded,03/21/24,960,(23,(30,(8)(9)(17)(21)(23),
124,Lion Cashmere Midco Limited,First Lien Secured Debt - Unfunded Delayed Draw,2.01 Unfunded,03/21/25,2372,(47,(73,(8)(9)(17)(21)(23),
125,Reddy Ice Corporation,First Lien Secured Debt,"10.00 (1M L+750, 1.00 Floor)",06/30/23,31316,30917,31026,(9),
126,Reddy Ice Corporation,First Lien Secured Debt - Revolver,12.00 (P+650),06/30/23,1045,1045,1036,(9)(23),
127,Reddy Ice Corporation,First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,06/30/23,1874,(37,(17,(8)(9)(21)(23),
128,Reddy Ice Corporation,First Lien Secured Debt - Letter of Credit,4.50,04/05/19,9750,0,(90,(8)(9)(23),
129,Reddy Ice Corporation,First Lien Secured Debt - Unfunded Delayed Draw,0.00 Unfunded,06/30/23,2681,(11,(25,(8)(9)(21)(23),
130,"Sequential Brands Group, Inc.",Second Lien Secured Debt,11.24 (1M L+875),02/07/24,13052,12947,12919,(17),
131,Consumer Services,,,,,,,,
132,1A Smart Start LLC,Second Lien Secured Debt,"10.75 (1M L+825, 1.00 Floor)",08/22/22,25100,24734,24708,,
133,Nemo (BC) Bidco Pty Ltd,First Lien Secured Debt,"7.65 (1M BBSW+575, 1.00 Floor)",04/06/24,A$,6768,4909,4712,(17)
134,Nemo (BC) Bidco Pty Ltd,First Lien Secured Debt - Unfunded Delayed Draw,2.59 Unfunded,04/06/24,A$,232,(9,(2,(8)(17)(21)(23)
135,"Pinstripe Holdings, LLC",First Lien Secured Debt,8.50 (2M L+600),01/17/25,7000,6864,6895,,
136,"Tidewater Consumer Receivables, LLC",First Lien Secured Debt,8.25 (1M L+575),12/28/23,11333,11226,11220,(9)(17),
137,"Containers, Packaging & Glass",,,,,,,,
138,"Sprint Industrial Holdings, LLC",Second Lien Secured Debt,13.5 PIK,11/14/19,21782,18107,15912,(13)(14),
139,"Sprint Industrial Holdings, LLC",Common Equity/Interests - Warrants,N/A,N/A,"7,341 Warrants",0,0,(13)(26),
140,"TricorBraun Holdings, Inc.",First Lien Secured Debt - Revolver,7.75 (P+225),11/30/21,1628,1628,1630,(23),
141,"TricorBraun Holdings, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,11/30/21,3998,(270,0,(21)(23),
142,"Diversified Investment Vehicles, Banking, Finance, Real Estate",,,,,,,,
143,Alera Group Intermediate Holdings,First Lien Secured Debt - Unfunded Delayed Draw,1.00 Unfunded,08/01/25,28000,(242,(252,(8)(21)(23),
144,"Exeter Property Group, LLC",First Lien Secured Debt,7.00 (1M L+450),08/28/24,4808,4737,4736,(9),
145,"Exeter Property Group, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,08/28/24,192,(3,(3,(8)(9)(21)(23),
146,"Flock SPV I, LLC",First Lien Secured Debt,9.00 (1M L+650),08/30/22,9333,9265,9251,(9)(17),
147,"Flock SPV I, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,08/30/22,1333,(11,(12,(8)(9)(17)(21)(23),
148,"Flock SPV I, LLC",First Lien Secured Debt - Unfunded Delayed Draw,0.50 Unfunded,08/30/22,9333,(91,(83,(8)(9)(17)(21)(23),
149,"Golden Bear 2016-R, LLC (4)",Structured Products and Other - Membership Interests,N/A,09/20/42,0,16645,12936,(3)(17),
150,Mayfield Agency Borrower Inc.,Second Lien Secured Debt,11.00 (1M L+850),03/02/26,5000,4935,4913,(10),
151,"Purchasing Power, LLC",First Lien Secured Debt,8.00 (1M L+550),05/09/19,17100,17099,17087,(9),
152,"Purchasing Power, LLC",First Lien Secured Debt - Revolver,7.99 (1M L+550),05/09/19,3000,2998,2998,(9)(23),
153,"Purchasing Power, LLC",First Lien Secured Debt - Unfunded Delayed Draw,0.50 Unfunded,05/09/19,9900,(14,(7,(8)(9)(21)(23),
154,"Taupo River II, LLC",First Lien Secured Debt,"7.84 (3M L+525, 1.00 Floor)",06/08/20,14000,13956,13955,(9)(17),
155,"Ten-X, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,09/29/22,4680,(295,(310,(8)(21)(23),
156,Energy – Electricity,,,,,,,,
157,"AMP Solar Group, Inc. (4)",Common Equity/Interests - Class A Common Unit,N/A,N/A,"243,646 Shares",10000,6236,(13)(17),
158,Renew Financial,,,,,,,,
159,"AIC SPV Holdings II, LLC (4)",Preferred Equity - Preferred Stock,N/A,N/A,143 Shares,534,440,(17)(15),
160,"Renew Financial LLC (f/k/a Renewable Funding, LLC) (4)",Preferred Equity - Series B Preferred Stock,N/A,N/A,"1,505,868 Shares",8343,14573,(13),
161,"Renew Financial LLC (f/k/a Renewable Funding, LLC) (4)",Preferred Equity - Series D Preferred Stock,N/A,N/A,"436,689 Shares",5568,5890,(13),
162,Renew JV LLC (4),Common Equity/Interests - Membership Interests,N/A,N/A,N/A,1796,2296,(13)(17),
163,Solarplicity Group,,,,,,,,
164,Solarplicity Group Limited (4),First Lien Secured Debt,N/A,11/30/22,4331,5811,1990,(3)(17),
165,Solarplicity UK Holdings Limited,First Lien Secured Debt,4.00,03/08/23,5562,7637,7173,(17),
166,Solarplicity UK Holdings Limited,Preferred Equity - Preferred Stock,N/A,N/A,"4,286 Shares",5861,4922,(2)(13)(17),
167,Solarplicity UK Holdings Limited,Common Equity/Interests - Ordinary Shares,N/A,N/A,"2,825 Shares",4,223,(2)(13)(17),
168,Energy – Oil & Gas,,,,,,,,
169,"Glacier Oil & Gas Corp. (f/k/a Miller Energy Resources, Inc.) (5)",First Lien Secured Debt,8.00 Cash (10.00 PIK Toggle),03/29/20,9000,9000,9000,,
170,"Glacier Oil & Gas Corp. (f/k/a Miller Energy Resources, Inc.) (5)",Second Lien Secured Debt,10.00 PIK Toggle (8.00 Cash),03/29/21,33705,33705,33705,,
171,"Glacier Oil & Gas Corp. (f/k/a Miller Energy Resources, Inc.) (5)",Common Equity/Interests - Common Stock,N/A,N/A,"5,000,000 Shares",30078,3346,(13),
172,"Pelican Energy, LLC (4)",Common Equity/Interests - Membership Interests,N/A,N/A,"1,444 Shares",18375,5320,(13)(16)(17),
173,"SHD Oil & Gas, LLC (5)",First Lien Secured Debt - Tranche C Note,12.00,03/31/20,20400,20400,21012,,
174,"SHD Oil & Gas, LLC (5)",First Lien Secured Debt - Tranche A Note,4.00,03/31/20,45457,45457,46821,,
175,"SHD Oil & Gas, LLC (5)",First Lien Secured Debt - Tranche B Note,3.00 PIK,03/31/20,81956,44380,39432,(13)(14),
176,"SHD Oil & Gas, LLC (5)",First Lien Secured Debt - Unfunded Delayed Draw,0.00 Unfunded,03/31/20,1600,0,0,(21)(23),
177,"SHD Oil & Gas, LLC (5)",Common Equity/Interests - Series A Units,N/A,N/A,"7,600,000 Shares",1411,0,(13)(16),
178,Food & Grocery,,,,,,,,
179,Bumble Bee Foods,,,,,,,,
180,"Bumble Bee Holdings, Inc.",First Lien Secured Debt,"10.64 (3M L+800, 1.00 Floor)",08/15/23,15351,15110,14890,,
181,Connors Bros Clover Leaf Seafoods Company,First Lien Secured Debt,"10.64 (3M L+800, 1.00 Floor)",08/15/23,4349,4281,4219,,
182,"Grocery Outlet, Inc.",Second Lien Secured Debt,9.85 (3M L+725),10/22/26,10500,10400,10474,(10),
183,Healthcare & Pharmaceuticals,,,,,,,,
184,Altasciences,,,,,,,,
185,9360-1367 Quebec Inc.,First Lien Secured Debt,"8.49 (3M L+625, 1.00 Floor)",06/09/23,2394,1755,1725,(9)(17),
186,"Altasciences US Acquisition, Inc.",First Lien Secured Debt,"8.88 (3M L+625, 1.00 Floor)",06/09/23,5182,5101,4988,(9),
187,"Altasciences US Acquisition, Inc.",First Lien Secured Debt,"8.85 (3M L+625, 1.00 Floor)",06/09/23,922,922,887,(9),
188,"Altasciences US Acquisition, Inc.",First Lien Secured Debt - Revolver,"8.86 (3M L+625, 1.00 Floor)",06/09/23,535,535,515,(9)(23),
189,"Altasciences US Acquisition, Inc.",First Lien Secured Debt - Unfunded Revolver,0.25 Unfunded,06/09/23,891,(22,(33,(8)(9)(21)(23)(27),
190,"Altasciences US Acquisition, Inc.",First Lien Secured Debt - Unfunded Delayed Draw,0.50 Unfunded,06/09/23,1929,(25,(72,(8)(9)(21)(23)(27),
191,"Amerivet Partners Management, Inc.",First Lien Secured Debt,"8.25 (1M L+575, 1.00 Floor)",06/05/24,14372,14145,14046,(9),
192,"Amerivet Partners Management, Inc.",First Lien Secured Debt,10.25 (P+475),06/05/24,1635,1619,1598,(9),
193,"Amerivet Partners Management, Inc.",First Lien Secured Debt - Revolver,10.25 (P+475),06/05/24,81,81,79,(9)(23),
194,"Amerivet Partners Management, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,06/05/24,725,(17,(16,(8)(9)(21)(23),
195,"Amerivet Partners Management, Inc.",First Lien Secured Debt - Unfunded Delayed Draw,0.50 Unfunded,06/05/24,10141,(214,(230,(8)(9)(21)(23),
196,Analogic Corporation,First Lien Secured Debt,"8.50 (1M L+600, 1.00 Floor)",06/22/24,27254,26661,26982,(9),
197,Analogic Corporation,First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,06/22/23,2609,(55,(26,(8)(9)(21)(23),
198,Aptevo Therapeutics Inc.,First Lien Secured Debt,"10.10 (1M L+760, 0.50 Floor)",02/01/23,8571,8730,8521,(9),
199,"Argon Medical Devices Holdings, Inc.",Second Lien Secured Debt,"10.50 (1M L+800, 1.00 Floor)",01/23/26,19600,19516,19306,(10),
200,AVG Intermediate Holdings LLC,First Lien Secured Debt,12.50 (P+700),02/08/24,15000,14672,14651,(9),
201,AVG Intermediate Holdings LLC,First Lien Secured Debt - Unfunded Delayed Draw,1.00 Unfunded,02/08/24,14500,(317,(338,(8)(9)(21)(23),
202,"BioClinica Holding I, LP",Second Lien Secured Debt,"11.00 (3M L+825, 1.00 Floor)",10/21/24,24612,24251,22151,(10),
203,Cerus Corporation,First Lien Secured Debt,"7.95 (1M L+545, 1.80 Floor)",03/01/24,12000,11940,11940,(9)(17),
204,Cerus Corporation,First Lien Secured Debt - Unfunded Revolver,0.00 Unfunded,03/01/24,500,(1,(4,(8)(9)(17)(21)(23),
205,Cerus Corporation,First Lien Secured Debt - Unfunded Delayed Draw,0.00 Unfunded,03/01/24,9000,(44,(46,(8)(9)(17)(21)(23),
206,Emmes Corporation,,,,,,,,
207,"Emmes Blocker, Inc.",Common Equity/Interests - Common Stock,N/A,N/A,306 Shares,306,306,(9)(13),
208,"The Emmes Company, LLC",First Lien Secured Debt,"8.00 (1M L+550, 1.00 Floor)",03/03/25,12245,12064,11939,(9),
209,"The Emmes Company, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,03/03/25,2449,(36,(61,(8)(9)(21)(23),
210,"Genesis Healthcare, Inc.",First Lien Secured Debt,"8.59 (3M L+600, 0.50 Floor)",03/06/23,25000,24705,24713,(9),
211,"Genesis Healthcare, Inc.",First Lien Secured Debt,"13.59 (3M L+1100, 1.00 Floor)",03/06/23,9130,8987,9026,(9),
212,"Lanai Holdings III, Inc.",Second Lien Secured Debt,"11.24 (3M L+850, 1.00 Floor)",08/28/23,17391,17064,15652,(10),
213,"LSCS Holdings, Inc",Second Lien Secured Debt,10.83 (2M L+825),03/16/26,19818,19415,19718,,
214,"Maxor National Pharmacy Services, LLC",First Lien Secured Debt,"8.60 (3M L+600, 1.00 Floor)",11/22/23,24732,24257,24278,(9),
215,"Maxor National Pharmacy Services, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,11/22/22,1558,(28,(28,(8)(9)(21)(23),
216,"Partner Therapeutics, Inc",First Lien Secured Debt,"9.15 (1M L+665, 1.00 Floor)",01/01/23,10000,9859,9785,(9),
217,"Partner Therapeutics, Inc",Preferred Equity - Preferred Stock,N/A,N/A,"55,556 Shares",333,333,(9),
218,"Partner Therapeutics, Inc",Common Equity/Interests - Warrants,N/A,N/A,"33,333 Warrants",135,93,(9)(13),
219,"PHS Buyer, Inc.",First Lien Secured Debt,"7.99 (3M L+525, 1.00 Floor)",01/31/25,13000,12716,12708,(9),
