,Industry / Company,Interest Rate (20),Par / Shares (12),Cost (29),Fair  Value (1) (30),
197,"Sonar Entertainment, Inc.","10.00 (1M L+760, 1.25 Floor)",8964,8840,8807,
198,Total Media – Diversified & Production,18941,,,,
199,Metals & Mining,,,,,
200,"Magnetation, LLC",10.32 (3M L+800 Cash (PIK  Toggle)),1213.0,1134,530,
201,Total Metals & Mining,1134,,,,
202,Telecommunications,,,,,
203,IPC Corporation,"7.58 (3M L+500, 1.00 Floor)",10000.0,9936,8888,
204,"Securus Technologies Holdings, Inc.","10.58 (3M L+825, 1.00 Floor)",12878,12776,11848,
205,Total Telecommunications,22712,,,,
206,"Transportation – Cargo, Distribution",,,,,
207,"Dynamic Product Tankers, LLC (5)",9.33 (3M L+700),42000.0,41840,42000,
208,MSEA Tankers LLC (5),74450,(17)(25),,,
209,"PT Intermediate Holdings III, LLC","10.33 (3M L+800, 1.00 Floor)",9375,9299,9094,
210,"Total Transportation – Cargo, Distribution",175395,,,,
211,Utilities – Electric,,,,,
212,Asset Repackaging Trust Six B.V.,12.06,58411.0,26602,32564,
213,Total Utilities – Electric,26602,,,,
214,Total Investments before Cash Equivalents,2683123.0,,,,
