,Industry/Company,Investment_Type,Interest_Rate,Maturity_Date,Par_Shares,Cost,Fair_Value,
41,"Newscycle Solutions, Inc.",First Lien Secured Debt - Revolver,"9.10% (1M L+700, 1.00% Floor)",12/29/22,160,160,158,(9)(23)
42,"Newscycle Solutions, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50% Unfunded,12/29/22,340,(13),(3),(8)(9)(21)(23)
43,"PSI Services, LLC",First Lien Secured Debt,"7.09% (1M L+500, 1.00% Floor)",01/20/23,4609,4522,4565,(9)
44,"PSI Services, LLC",First Lien Secured Debt - Unfunded Revolver,0.50% Unfunded,01/20/22,397,(7),(4),(8)(9)(21)(23)
45,"PSI Services, LLC",First Lien Secured Debt - Unfunded Revolver,0.50% Unfunded,01/20/22,47,-,-,(9)(21)(23)
46,"PSI Services, LLC",Second Lien Secured Debt,"11.09% (1M L+900, 1.00% Floor)",01/20/24,33452,32688,32796,(9)
47,"RA Outdoors, LLC",First Lien Secured Debt,"6.84% (1M L+475, 1.00% Floor)",09/11/24,7192,7065,7121,(9)
48,"RA Outdoors, LLC",First Lien Secured Debt - Unfunded Revolver,0.50% Unfunded,09/09/22,1200,(20),(12),(8)(9)(21)(23)
49,"RA Outdoors, LLC",Second Lien Secured Debt,"10.84% (1M L+875, 1.00% Floor)",09/11/25,34200,33430,33515,(9)
50,Skyline Data/Dodge Data,,,,,,,
51,Dodge Data & Analytics LLC,First Lien Secured Debt,"11.09% (3M L+875, 1.00% Floor)",10/31/19,48209,47950,48210,
52,"Skyline Data, News and Analytics LLC",Common Equity/Interests - Class A Common Unit,N/A,N/A,"4,500,000 Shares",4500,4500,(13)
53,"STG-Fairway Acquisitions, Inc.",Second Lien Secured Debt,"11.34% (1M L+925, 1.00% Floor)",06/30/23,15000,14765,14400,(10)
54,"Transplace Holdings, Inc.",Second Lien Secured Debt,"10.80% (1M L+875, 1.00% Floor)",10/06/25,13599,13288,13735,(10)
55,"U.S. Security Associates Holdings, Inc.",Unsecured Debt,11.00%,01/28/20,80000,80000,80000,
56,"Chemicals, Plastics & Rubber",,,,,,,
57,Carbon Free Chemicals,,,,,,,
58,Carbonfree Chemicals SPE I LLC (f/k/a Maxus Capital Carbon SPE I LLC),First Lien Secured Debt,5.215% PIK,09/30/20,51805,51805,46457,
59,Carbonfree Chemicals SPE I LLC (f/k/a Maxus Capital Carbon SPE I LLC),Common Equity/Partnership Interests - Residual Interests,N/A,09/30/20,7500,7500,-,(13)
60,Carbonfree Caustic SPE LLC,Unfunded Delayed Draw - Promissory Note,N/A,06/30/20,6111,-,-,(21)(23)
61,"Hare Bidco, Inc.",Second Lien Secured Debt,"9.75% (3M E+875, 1.00% Floor)",08/01/24,13574,14434,15532,
62,Consumer Goods – Durable,,,,,,,
63,"Hayward Industries, Inc.",Second Lien Secured Debt,10.34% (1M L+825),08/04/25,25110,24664,24660,
64,KLO Holdings,,,,,,,
65,9357-5991 Quebec Inc.,First Lien Secured Debt,"11.75% (1M L+975, 0.75% Floor)",04/07/22,9203,9117,8857,
66,KLO Acquisition LLC,First Lien Secured Debt,"11.88% (1M L+975, 0.75% Floor)",04/07/22,5363,5312,5161,
67,"Sorenson Holdings, LLC",Common Equity/Interests - Membership Interests,N/A,N/A,587 Shares,-,471,(13)
68,Consumer Goods – Non-Durable,,,,,,,
69,"ABG Intermediate Holdings 2, LLC",Second Lien Secured Debt,"9.84% (1M L+775, 1.00% Floor)",09/29/25,11232,11168,11260,(10)
70,"ABG Intermediate Holdings 2, LLC",Second Lien Secured Debt - Unfunded Delayed Draw,0.3875% Unfunded,09/29/25,1139,-,-,(21)(23)
71,"Sequential Brands Group, Inc.",Second Lien Secured Debt,11.09% (1M L+900),07/01/22,17072,16929,17168,(17)
72,Consumer Services,,,,,,,
73,1A Smart Start LLC,Second Lien Secured Debt,"10.34% (1M L+825, 1.00% Floor)",08/22/22,25100,24654,24645,
74,"Containers, Packaging & Glass",,,,,,,
75,"Sprint Industrial Holdings, LLC",Second Lien Secured Debt,13.5% PIK,11/14/19,19714,18107,11770,(13)(14)
76,"Sprint Industrial Holdings, LLC",Common Equity/Interests - Warrants,N/A,N/A,"7,341 Warrants",-,-,(13)(26)
77,"TricorBraun Holdings, Inc.",First Lien Secured Debt - Revolver,7.25% (P+225),11/30/21,450,450,451,(23)
78,"TricorBraun Holdings, Inc.",First Lien Secured Debt - Revolver,5.34% (1M L+325),11/30/21,1500,1500,1503,(23)
79,"Diversified Investment Vehicles, Banking, Finance, Real Estate",,,,,,,
80,Armor Holding II LLC,Second Lien Secured Debt,"11.09% (1M L+900, 1.25% Floor)",12/26/20,8000,7946,8070,(10)
81,Craft 2014-1A,Structured Products and Other - Credit-Linked Note,N/A,05/15/21,42500,-,-,(11)(17)
82,Craft 2015-2,Structured Products and Other - Credit-Linked Note,10.62% (3M L+925),01/16/24,24998,25599,24998,(11)(17)
83,"Golden Bear 2016-R, LLC (3)(4)",Structured Products and Other - Membership Interests,N/A,09/20/42,-,16548,13634,(17)
84,Mayfield Agency Borrower Inc.,Second Lien Secured Debt,"10.59% (1M L+850, 1.00% Floor)",03/02/26,5000,4928,4978,(10)
85,"Purchasing Power, LLC",First Lien Secured Debt - Revolver,"10.09% (1M L + 800, 1.00% Floor)",07/10/19,2179,2179,2167,(9)(23)
86,"Purchasing Power, LLC",First Lien Secured Debt - Unfunded Revolver,0.75% Unfunded,07/10/19,2321,(23),(12),(8)(9)(21)(23)
87,"Ten-X, LLC",First Lien Secured Debt - Unfunded Revolver,0.50% Unfunded,09/29/22,4680,(358),(366),(8)(21)(23)
88,Energy – Electricity,,,,,,,
89,"AMP Solar Group, Inc. (4)",Common Equity/Interests - Class A Common Unit,N/A,N/A,"243,646 Shares",10000,5114,(13)(17)
90,Renew Financial,,,,,,,
91,"AIC SPV Holdings II, LLC (4)",Preferred Equity - Preferred Stock,N/A,N/A,143 Shares,534,886,(15)(17)
92,"Renew Financial LLC (f/k/a Renewable Funding, LLC) (4)",Preferred Equity - Series B Preferred Stock,N/A,N/A,"1,505,868 Shares",8343,18809,(13)
93,"Renew Financial LLC (f/k/a Renewable Funding, LLC) (4)",Preferred Equity - Series D Preferred Stock,N/A,N/A,"436,689 Shares",5568,6620,(13)
94,Renew JV LLC (4),Common Equity/Interests - Membership Interests,N/A,N/A,N/A,3065,5207,(13)(17)
95,Solarplicity Group,,,,,,,
96,Solarplicity Group Limited (3)(4),First Lien Secured Debt,N/A,11/30/22,4331,5811,5705,(13)(17)
97,Solarplicity UK Holdings Limited,First Lien Secured Debt,4.00%,03/08/23,5562,7636,7317,(17)
98,Solarplicity UK Holdings Limited,Preferred Equity - Preferred Stock,N/A,N/A,"4,286 Shares",5862,4752,(2)(13)(17)
99,Solarplicity UK Holdings Limited,Common Equity/Interests - Ordinary Shares,N/A,N/A,"2,825 Shares",4,974,(2)(13)(17)
100,Westinghouse Electric Co LLC,First Lien Secured Debt,"6.63% (1M L+450, 1.00% Floor)",01/11/19,30000,30000,30000,(9)
101,Energy – Oil & Gas,,,,,,,
102,"Glacier Oil & Gas Corp. (f/k/a Miller Energy Resources, Inc.) (5)",First Lien Secured Debt,8.00% Cash (10.00% PIK Toggle),03/29/19,15000,15000,15000,
103,"Glacier Oil & Gas Corp. (f/k/a Miller Energy Resources, Inc.) (5)",Second Lien Secured Debt,10.00% PIK (8.00% Cash Toggle),03/29/21,31279,31279,31279,
104,"Pelican Energy, LLC (4)",Common Equity/Interests - Membership Interests,N/A,N/A,"1,444 Shares",20108,8148,(13)(17)(29)
105,"SHD Oil & Gas, LLC (5)",First Lien Secured Debt - Tranche A Note,14.00% (8.00% Cash plus 6.00% PIK),12/31/19,44095,44095,45417,
106,"SHD Oil & Gas, LLC (5)",First Lien Secured Debt - Tranche B Note,14.00% PIK,12/31/19,75823,44380,45470,(13)(14)
107,"SHD Oil & Gas, LLC (5)",First Lien Secured Debt - Tranche C Note,12.00%,12/31/19,19200,19200,19776,
108,"SHD Oil & Gas, LLC (5)",First Lien Secured Debt - Unfunded Delayed Draw,0.00% Unfunded,12/31/19,2800,-,-,(21)(23)
109,"SHD Oil & Gas, LLC (5)",Common Equity/Interests - Series A Units,N/A,N/A,"7,600,000 Shares",1411,-,(13)(29)
110,Food & Grocery,,,,,,,
111,Bumble Bee Foods,,,,,,,
112,"Bumble Bee Holdings, Inc.",First Lien Secured Debt,"10.33% (3M L+800, 1.00% Floor)",08/15/23,15468,15193,15158,
113,Connors Bros Clover Leaf Seafoods Company,First Lien Secured Debt,"10.33% (3M L+800, 1.00% Floor)",08/15/23,4382,4304,4294,
114,"Grocery Outlet, Inc.",Second Lien Secured Debt,"10.34% (1M L+825, 1.00% Floor)",10/21/22,25000,24796,25250,(10)
115,Healthcare & Pharmaceuticals,,,,,,,
116,Altasciences,,,,,,,
117,9360-1367 Quebec Inc.,First Lien Secured Debt,"8.58% (3M L+625, 1.00% Floor)",06/09/23,2891,2838,2805,(9)(17)
118,9360-1367 Quebec Inc.,First Lien Secured Debt,"7.94% (3M L+625, 1.00% Floor)",06/09/23,2412,1763,1779,(9)(17)
119,"Altasciences US Acquisition, Inc.",First Lien Secured Debt,"8.58% (3M L+625, 1.00% Floor)",06/09/23,5222,5124,5066,(9)
120,"Altasciences US Acquisition, Inc.",First Lien Secured Debt - Revolver,"8.61% (3M L+625, 1.00% Floor)",06/09/23,107,107,104,(9)(23)(28)
121,"Altasciences US Acquisition, Inc.",First Lien Secured Debt - Unfunded Revolver,0.25% Unfunded,06/09/23,1319,(26),(40),(8)(9)(21)(23)(28)
122,"Altasciences US Acquisition, Inc.",First Lien Secured Debt - Unfunded Delayed Draw,0.50% Unfunded,06/09/23,2851,(29),(86),(8)(9)(21)(23)(28)
123,"Amerivet Partners Management, Inc.",First Lien Secured Debt,"7.85% (1M L+575, 1.00% Floor)",06/05/24,6045,5895,5895,(9)
124,"Amerivet Partners Management, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50% Unfunded,06/05/24,806,(21),(20),(8)(9)(21)(23)
125,"Amerivet Partners Management, Inc.",First Lien Secured Debt - Unfunded Delayed Draw,0.50% Unfunded,06/05/24,20149,(225),(499),(8)(9)(21)(23)
126,Analogic Corporation,First Lien Secured Debt,"8.33% (3M L+600, 1.00% Floor)",06/22/24,27391,26710,27117,(9)
127,Analogic Corporation,First Lien Secured Debt - Unfunded Revolver,0.50% Unfunded,06/22/23,2609,(67),(26),(8)(9)(21)(23)
128,Aptevo Therapeutics Inc.,First Lien Secured Debt,"9.69% (1M L+760, 0.50% Floor)",02/01/21,8571,8739,8563,(9)
129,"Argon Medical Devices Holdings, Inc.",Second Lien Secured Debt,"10.09% (1M L+800, 1.00% Floor)",01/23/26,21300,21198,21580,(10)
130,"Avalign Technologies, Inc.",Second Lien Secured Debt,"10.38% (6M L+825, 1.00% Floor)",09/02/24,5500,5451,5459,(10)
131,"BioClinica Holding I, LP",Second Lien Secured Debt,"10.63% (3M L+825, 1.00% Floor)",10/21/24,24612,24213,22889,(10)
132,"Genesis Healthcare, Inc.",First Lien Secured Debt,"8.34% (3M L+600, 0.50% Floor)",03/06/23,25000,24649,24652,(9)
133,"Genesis Healthcare, Inc.",First Lien Secured Debt - Revolver,"8.36% (3M L+600, 0.50% Floor)",03/06/23,9966,9966,9828,(9)(23)
134,"Genesis Healthcare, Inc.",First Lien Secured Debt - Revolver,"5.86% (3M L+350, 0.50% Floor)",03/06/23,10336,10336,10192,(9)(23)
135,"Genesis Healthcare, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50% Unfunded,03/06/23,40567,(773),(562),(8)(9)(21)(23)
136,"Genesis Healthcare, Inc.",First Lien Secured Debt - Unfunded Delayed Draw,2.00% Unfunded,03/06/23,9131,(171),(127),(8)(9)(21)(23)
137,"Elements Behavioral Health, Inc.",Second Lien Secured Debt,"15.09% (3M L+1275 PIK, 1.00% Floor)",02/11/20,12353,11911,-,(13)(14)
138,"Invuity, Inc.",First Lien Secured Debt,"8.59% (1M L+650, 1.50% Floor)",03/01/22,10000,9875,9750,(9)
139,"Invuity, Inc.",First Lien Secured Debt - Revolver,"5.34% (1M L+325, 1.50% Floor)",03/01/22,809,809,799,(9)(23)
140,"Invuity, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50% Unfunded,03/01/22,1191,(7),(15),(8)(9)(21)(23)
141,"Invuity, Inc.",Common Equity/Interests - Warrants,N/A,N/A,"32,803 Warrants",180,69,(9)(13)
142,"Lanai Holdings III, Inc.",Second Lien Secured Debt,"10.86% (3M L+850, 1.00% Floor)",08/28/23,17391,17009,16696,(10)
143,"LSCS Holdings, Inc",Second Lien Secured Debt,10.58% (3M L+825),03/16/26,20455,20010,20351,
144,"LSCS Holdings, Inc",Second Lien Secured Debt,10.34% (1M L+825),03/16/26,3864,3780,3844,
145,"LSCS Holdings, Inc",Second Lien Secured Debt - Unfunded Delayed Draw,0.00% Unfunded,03/16/26,682,(15),(3),(8)(21)(23)
146,"Maxor National Pharmacy Services, LLC",First Lien Secured Debt,"8.33% (3M L+600, 1.00% Floor)",11/22/23,21523,21039,21327,(9)
147,"Maxor National Pharmacy Services, LLC",First Lien Secured Debt - Unfunded Revolver,0.50% Unfunded,11/22/22,1557,(11),(14),(8)(9)(21)(23)
148,"Oxford Immunotec, Inc.",First Lien Secured Debt,"9.69% (1M L+760, 0.50% Floor)",10/01/21,9750,9918,9950,(9)(17)
149,"Oxford Immunotec, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50% Unfunded,10/01/21,1000,(3),-,(9)(17)(21)(23)
150,"Partner Therapeutics, Inc",First Lien Secured Debt,"8.74% (1M L+665, 1.00% Floor)",01/01/23,10000,9831,9845,(9)
151,"Partner Therapeutics, Inc",Preferred Equity - Preferred Stock,N/A,N/A,"55,556 Shares",333,333,(9)
152,"Partner Therapeutics, Inc",Common Equity/Interests - Warrants,N/A,N/A,"33,333 Warrants",135,102,(9)(13)
153,"PTC Therapeutics, Inc",First Lien Secured Debt,"8.24% (1M L+615, 1.00% Floor)",05/01/21,12667,12622,12793,(9)(17)
154,"PTC Therapeutics, Inc",First Lien Secured Debt - Unfunded Delayed Draw,0.00% Unfunded,05/01/21,6333,(22),-,(9)(17)(21)(23)
155,"RiteDose Holdings I, Inc.",First Lien Secured Debt,"8.84% (3M L+650, 1.00% Floor)",09/13/23,14925,14504,14367,(9)
156,"RiteDose Holdings I, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50% Unfunded,09/13/22,2000,(55),(66),(8)(9)(21)(23)
157,"Teladoc, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50% Unfunded,07/14/20,1306,(44),(1),(8)(17)(21)(23)
158,"Teladoc, Inc.",First Lien Secured Debt - Letters of Credit,7.25%,1/12/19 - 5/15/20,360,-,-,(8)(17)(23)
159,"TherapeuticsMD, Inc.",First Lien Secured Debt,"9.84% (1M L+775, 2.00% Floor)",05/01/23,22500,22290,22275,(9)(17)
160,"TherapeuticsMD, Inc.",First Lien Secured Debt - Unfunded Delayed Draw,0.00% Unfunded,05/01/23,37500,(370),(375),(8)(9)(17)(21)(23)
161,"Wright Medical Group, Inc.",First Lien Secured Debt,"9.94% (1M L+785, 1.00% Floor)",12/23/21,6667,6539,6533,(9)(17)
162,"Wright Medical Group, Inc.",First Lien Secured Debt - Revolver,"6.34% (1M L+425, 0.75% Floor)",12/23/21,11933,11933,11933,(9)(17)(23)
163,"Wright Medical Group, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50% Unfunded,12/23/21,38067,(348),-,(9)(17)(21)(23)
164,"Wright Medical Group, Inc.",First Lien Secured Debt - Unfunded Delayed Draw,0.00% Unfunded,12/23/21,6667,(89),(133),(8)(9)(17)(21)(23)
165,High Tech Industries,,,,,,,
166,"BCPE Burgundy Merger Sub, Inc.",First Lien Secured Debt,5.58% (1M L+350),06/22/25,30000,30000,30000,
167,"BCPE Burgundy Merger Sub, Inc.",Second Lien Secured Debt,9.58% (1M L+750),06/22/26,12500,12500,12500,
168,"BCPE Burgundy Merger Sub, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50% Unfunded,06/22/23,3333,-,-,(21)(23)
169,ChyronHego Corporation,First Lien Secured Debt,"7.43% (3M L+643, 1.00% Floor)",03/09/20,35044,34776,33643,(18)
170,"DigiCert Holdings, Inc.",Second Lien Secured Debt,"10.09% (1M L+800, 1.00% Floor)",10/31/25,20196,20103,19780,(10)
171,"International Cruise & Excursion Gallery, Inc.",First Lien Secured Debt,"7.58% (3M L+525, 1.00% Floor)",06/06/25,15000,14701,14703,
172,LabVantage Solutions,,,,,,,
173,LabVantage Solutions Inc.,First Lien Secured Debt,"9.59% (1M L+750, 1.00% Floor)",12/29/20,13500,13279,13365,
174,LabVantage Solutions Limited,First Lien Secured Debt,"8.50% (1M E+750, 1.00% Floor)",12/29/20,12367,13089,14295,(17)
175,LabVantage Solutions Limited,First Lien Secured Debt - Revolver,"8.50% (1M E+750, 1.00% Floor)",12/29/20,609,750,704,(17)(23)
176,LabVantage Solutions Limited,First Lien Secured Debt - Unfunded Revolver,0.50% Unfunded,12/29/20,2827,(57),(33),(8)(17)(21)(23)
177,"Omnitracs, LLC",First Lien Secured Debt - Unfunded Revolver,0.50% Unfunded,03/23/23,3750,(319),(338),(8)(21)(23)
178,"Smokey Merger Sub, Inc.",Second Lien Secured Debt,"10.82% (3M L+850, 1.00% Floor)",05/24/24,30000,29240,29400,(9)
179,Telestream Holdings Corporation,First Lien Secured Debt,"7.61% (3M L +645, 1.00% Floor)",03/24/22,36655,36372,35738,(18)
180,Tibco Software Inc.,First Lien Secured Debt - Unfunded Revolver,0.50% Unfunded,12/05/19,6000,(17),(840),(8)(21)(23)
181,"ZPower, LLC",First Lien Secured Debt,"9.84% (1M L+775, 1.00% Floor)",07/01/22,6667,6634,6624,(9)
182,"ZPower, LLC",First Lien Secured Debt - Unfunded Delayed Draw,0.00% Unfunded,07/01/22,1667,(7),(11),(8)(9)(21)(23)
183,"Hotel, Gaming, Leisure, Restaurants",,,,,,,
184,GFRC Holdings LLC,First Lien Secured Debt,"10.30% (3M L+800 Cash (L+800 PIK Toggle), 1.50% Floor)",02/01/22,2500,2500,2500,
185,Insurance,,,,,,,
186,Confie Seguros Holding II Co.,Second Lien Secured Debt,"11.81% (3M L+950, 1.25% Floor)",05/08/19,21844,21815,21298,(10)
187,"Manufacturing, Capital Equipment",,,,,,,
188,MedPlast Holdings Inc.,Second Lien Secured Debt,"10.80% (2M L+875, 1.00% Floor)",06/06/23,8000,7840,8080,(10)
189,MedPlast Holdings Inc.,Second Lien Secured Debt,10.09% (3M L+775),07/02/26,8000,7920,8080,(10)
190,"Power Products, LLC",Second Lien Secured Debt,"11.36% (3M L+900, 1.00% Floor)",12/20/23,32500,31608,32236,(9)
191,Media – Diversified & Production,,,,,,,
192,SESAC Holdco II LLC,First Lien Secured Debt - Unfunded Revolver,0.50% Unfunded,02/23/22,587,(39),(44),(8)(21)(23)
193,SESAC Holdco II LLC,Second Lien Secured Debt,"9.34% (1M L+725, 1.00% Floor)",02/24/25,3241,3214,3224,(10)
194,Metals & Mining,,,,,,,
195,"Magnetation, LLC",First Lien Secured Debt,10.34% (3M L+800 Cash (PIK Toggle)),12/31/19,1352,1273,405,(13)(14)
196,Telecommunications,,,,,,,
197,IPC Corporation,First Lien Secured Debt,"7.34% (3M L+500, 1.00% Floor)",08/06/21,10000,9905,9900,(9)
198,"Securus Technologies Holdings, Inc.",Second Lien Secured Debt,"10.34% (1M L+825, 1.00% Floor)",11/01/25,12878,12760,12932,(10)
199,UniTek Global Services Inc.,First Lien Secured Debt,"10.83% (3M L+850, 1.00% Floor)",01/13/19,30597,30597,31515,
200,UniTek Global Services Inc.,First Lien Secured Debt - Unfunded Revolver,0.50% Unfunded,01/13/19,5000,-,-,(21)(23)
201,UniTek Global Services Inc.,First Lien Secured Debt - Letters of Credit,7.50%,01/13/19,5749,-,-,(23)
202,UniTek Global Services Inc.,Unsecured Debt,15.00% PIK,07/13/19,10290,10290,10599,
203,"Wave Holdco Merger Sub, Inc.",Second Lien Secured Debt,13.25% (P+825),05/27/23,10000,9819,9993,
204,"Transportation – Cargo, Distribution",,,,,,,
205,"Dynamic Product Tankers, LLC (5)",First Lien Secured Debt,9.33% (3M L+700),06/30/23,42000,41800,42000,(17)
206,"Dynamic Product Tankers, LLC (5)",First Lien Secured Debt - Letters of Credit,2.25%,9/20/18 - 1/31/21,2750,-,-,(17)(23)
207,"Dynamic Product Tankers, LLC (5)",Common Equity/Interests - Class A Units,N/A,N/A,N/A,48106,40075,(17)(24)
208,MSEA Tankers LLC (5),Common Equity/Interests - Class A Units,N/A,N/A,N/A,74450,72278,(17)(25)
209,"PT Intermediate Holdings III, LLC",Second Lien Secured Debt,"10.33% (3M L+800, 1.00% Floor)",12/08/25,9375,9287,9516,(10)
210,Utilities – Electric,,,,,,,
211,Asset Repackaging Trust Six B.V.,Structured Products and Other,12.81%,05/18/27,58411,26137,28741,(11)(17)(19)
