,INVESTMENTS IN NON-CONTROLLED/NON-AFFILIATED INVESTMENTS0138.0 (18),Maturity Date,Industry,Par Amount(12),Fair  Value (1),
41,Confie Seguros Holding II Co.,5/8/19,Insurance,33844,34140,
42,Consolidated Precision Products Corp.,4/30/21,Aerospace and Defense,8940,8974,
43,Del Monte Foods Co.,8/18/21,"Beverage, Food, and Tobacco",2146,1959,
44,"Deltek, Inc.",10/10/19,Business Services,27273,27546,
45,"Elements Behavioral Health, Inc.",2/11/20,Healthcare,9500,9500,
46,"Flexera Software, LLC",4/2/21,Business Services,4250,4186,
47,Garden Fresh Restaurant Corp. (16),1/1/19,Restaurants,37075,32997,
48,Garden Fresh Restaurant Corp. (16),1/1/19,Restaurants,7943,5401,
49,"GCA Services Group, Inc.",11/1/20,Diversified Service,22838,22838,
50,"Genex Holdings, Inc.",5/30/22,Healthcare,2320,2308,
51,"Grocery Outlet, Inc.",6/17/19,Grocery,8674,8847,
52,"GTCR Valor Companies, Inc.",11/21/21,Business Services,35000,34825,
53,"HD Vest, Inc. (17)",6/18/19,Financial Services,9396,9396,
54,"Institutional Shareholder Services, Inc.",4/30/22,Financial Services,9640,9592,
55,"inVentiv Health, Inc. (11)",8/15/18,Healthcare,11682,10835,
56,"Kronos, Inc.",4/30/20,Business Services,92516,95523,
57,"Learfield Communications, Inc.",10/8/21,Media,15000,14981,
58,"Miller Energy Resources, Inc. (17)",2/3/18,Oil and Gas,87500,85750,
59,MSC Software Corp. (17),5/28/21,Business Services,20448,20141,
60,"NVA Holdings, Inc.",8/14/22,Healthcare,7780,7761,
61,"Premier Trailer Leasing, Inc.",9/24/20,Financial Services,52000,50960,
62,"APOLLO INVESTMENT CORPORATION  SCHEDULE OF INVESTMENTS (unaudited) (continued)  September 30, 2014  (in thousands, except shares)",,,,,
63,2nd Lien Secured Debt050.5 (continued),,,,,
64,Ranpak Corp. (16),4/23/20,Packaging,22000.0,22165,
65,Ranpak Corp. (16),9/22/22,Packaging,16654,16633,
66,"RegionalCare Hospital Partners, Inc.",10/23/19,Healthcare,7000,7070,
67,River Cree Enterprises LP (11)(17),1/20/21,"Hotels, Motels, Inns and Gaming",CAD,31110,32076
68,"SiTV, Inc. (11)",7/1/19,Cable Television,2219.0,2200,
69,"Sprint Industrial Holdings, LLC",11/14/19,"Containers, Packaging, and Glass",14163,14305,
70,"SquareTwo Financial Corp. (Collect America, Ltd.) (17)",4/1/17,Financial Services,66079,66244,
71,Stadium Management Corp.,2/27/21,Business Services,19900,20099,
72,"TASC, Inc.",5/21/21,Aerospace and Defense,13435,13065,
73,TMK Hawk Parent Corp.,8/22/22,Distribution,34000,33830,
74,"Transfirst Holdings, Inc.",6/27/18,Financial Services,12500,12438,
75,"U.S. Renal Care, Inc. (16)",1/3/20,Healthcare,11927,12091,
76,"U.S. Renal Care, Inc. (16)",1/3/20,Healthcare,12120,12302,
77,"Velocity Technology Solutions, Inc.",9/28/20,Business Services,16500,16170,
78,"Vertafore, Inc.",10/27/17,Business Services,50436,50877,
79,"Walter Energy, Inc. (11)(17)",4/1/20,Mining,22554,10713,
80,"Xand Operations, LLC",5/13/20,Telecommunications,20000,19800,
81,Total 2nd Lien Secured Debt,1043192,1042818,,,
82,TOTAL SECURED DEBT,1976428,1965412,,,
83,UNSECURED DEBT030.1,,,,,
84,American Energy - Woodford LLC/AEW Finance Corp. (11),9/15/22,Oil and Gas,5000.0,4654,
85,"American Tire Distributors, Inc. (11)(16)",6/1/18,Distribution,25000,25500,
86,"American Tire Distributors, Inc. (11)(16)",6/1/18,Distribution,40000,40800,
87,Artsonig Pty Ltd. (11)(17),4/1/19,Transportation,20000,20350,
88,BCA Osprey II Limited (British Car Auctions) (16)(17),8/17/17,Transportation,£,37638,39580
89,BCA Osprey II Limited (British Car Auctions) (16)(17),8/17/17,Transportation,€,19748,18758
90,Ceridian Corp. (11),3/15/21,Diversified Service,34000.0,38831,
91,"Delta Educational Systems, Inc.",5/12/17,Education,22334,21608,
92,Denver Parent Corp. (Venoco),8/15/18,Oil and Gas,8988,8269,
93,First Data Corp.,1/15/21,Financial Services,43601,49773,
94,"inVentiv Health, Inc. (11)",8/15/18,Healthcare,25685,20869,
95,"APOLLO INVESTMENT CORPORATION  SCHEDULE OF INVESTMENTS (unaudited) (continued)  September 30, 2014  (in thousands, except shares)",,,,,
96,UNSECURED DEBT030.1 (continued),,,,,
97,"My Alarm Center, LLC",7/9/18,Business Services,4145.0,4145,
98,Niacet Corporation,8/28/18,Chemicals,12500,12625,
99,PetroBakken Energy Ltd. (11)(17),2/1/20,Oil and Gas,48121,47760,
100,"Radio One, Inc. (11)(17)",2/15/20,Broadcasting & Entertainment,14804,14776,
101,"Sorenson Communications Holdings, LLC (11)",10/31/21,Consumer Products,68,69,
102,"Symbion, Inc.",8/23/15,Healthcare,8467,8381,
103,"U.S. Security Associates Holdings, Inc.",7/28/18,Business Services,135000,137430,
104,"Univar, Inc.",6/30/18,Distribution,20000,20000,
105,"VWR Funding, Inc. (11)(16)",6/30/17,Distribution,22204,22204,
106,"VWR Funding, Inc. (11)(16)",6/30/17,Distribution,€,15080,14621
107,"Venoco, Inc.",2/15/19,Oil and Gas,54996.0,50528,
108,TOTAL UNSECURED DEBT,617012,621531,,,
109,TOTAL CORPORATE DEBT,2593440,2586943,,,
110,STRUCTURED PRODUCTS AND OTHER08.3,,,,,
111,"Asset Repackaging Trust Six B.V., Credit-Linked Note (17)",5/15/27,Utilities,58411.0,30391,
112,"Craft 2013-1, Credit-Linked Note (11)(16)(17)",4/17/22,Diversified Investment Vehicle,25000,24513,
113,"Craft 2013-1, Credit-Linked Note (16)(17)",4/17/22,Diversified Investment Vehicle,7625,7477,
114,"Craft 2014-1A, Credit-Linked Note (11)(17)",5/15/21,Diversified Investment Vehicle,42500,41982,
115,"Dark Castle Holdings, LLC",Media,24395,1189,,
116,"JP Morgan Chase & Co., Credit-Linked Note (17)",12/20/21,Diversified Investment Vehicle,43250,43584,
117,"NXT Capital CLO 2014-1, LLC (11)(17)",4/23/26,Diversified Investment Vehicle,5000,4652,
118,"Renaissance Umiat, LLC, ACES Tax Receivable (15)(17)",Oil and Gas,0,14610,,
119,TOTAL STRUCTURED PRODUCTS AND OTHER,163201,170729,,,
120,PREFERRED EQUITY02.2,,,,,
121,"CA Holding, Inc. (Collect America, Ltd.), Series A Preferred Stock (13)(17)",Financial Services,7961,788,,
122,"Crowley Holdings, Series A Preferred Stock",Cargo Transport,22500,22850,,
123,"Gryphon Colleges Corp. (Delta Educational Systems, Inc.), Preferred Stock (Convertible) (14)",Education,332500,6863,,
124,"Gryphon Colleges Corp. (Delta Educational Systems, Inc.), Preferred Stock (14)",5/12/18,Education,12360,15744,
125,"Varietal Distribution Holdings, LLC, Class A Preferred Unit",Distribution,3097,5502,,
126,TOTAL PREFERRED EQUITY,63688,44457,,,
127,"APOLLO INVESTMENT CORPORATION  SCHEDULE OF INVESTMENTS (unaudited) (continued)  September 30, 2014  (in thousands, except shares)",,,,,
128,EQUITY02.2,,,,,
129,Common Equity/Interests01.7,Shares,,,,
130,"AHC Mezzanine, LLC (Advanstar), Common Stock (13)",Media,25016,1063,,
131,"ATD Corporation (Accelerate Parent Corp.), Common Stock (13)",Distribution,3225514,3276,,
132,"CA Holding, Inc. (Collect America, Ltd.), Series A Common Stock (13)(17)",Financial Services,25000,2500,,
133,"CA Holding, Inc. (Collect America, Ltd.), Series AA Common Stock (13)(17)",Financial Services,4294,429,,
134,"Caza Petroleum, Inc., Net Profits Interest (13)",Oil and Gas,0,1202,,
135,"Caza Petroleum, Inc., Overriding Royalty Interest (13)",Oil and Gas,0,339,,
136,"Clothesline Holdings, Inc. (Angelica Corporation), Common Stock (13)",Healthcare,6000,6000,,
137,"Explorer Coinvest, LLC (Booz Allen), Common Stock (13)(17)",Business Services,295,2259,,
138,"Garden Fresh Restaurant Holdings, LLC., Common Stock (13)",Restaurants,50000,5000,,
139,"Gryphon Colleges Corp. (Delta Educational Systems, Inc.), Common Stock (13)",Education,17500,175,,
140,"JV Note Holdco, LLC (DSI Renal, Inc.), Common Equity / Interest (13)",Healthcare,9303,85,,
141,"Pelican Energy, LLC, Net Profit Interest (13)(17)",Oil and Gas,1048811,1050,,
142,"RC Coinvestment, LLC (Ranpak Corp.), Common Stock (13)",Packaging,50000,5000,,
143,"Sorenson Communications Holdings, LLC, Class A Common Stock (13)",Consumer Products,587,0,,
144,"Univar, Inc., Common Stock (13)",Distribution,900000,9000,,
145,"Varietal Distribution Holdings, LLC, Class A Common Unit (13)",Distribution,28028,28,,
146,Total Common Equity/Interests,37406,35549,,,
147,"APOLLO INVESTMENT CORPORATION  SCHEDULE OF INVESTMENTS (unaudited) (continued)  September 30, 2014  (in thousands, except warrants)",,,,,
148,Warrants00.5,,,,,
149,"CA Holding, Inc. (Collect America, Ltd.), Common Stock Warrants (13)(17)",Financial Services,7961,8,,
150,"Energy & Exploration Partners, Inc., Common Stock Warrants (13)",Oil and Gas,60778,2374,,
151,"Fidji Luxco (BC) S.C.A., Common Stock Warrants (2)(13)(17)",Electronics,18113,182,,
152,"Gryphon Colleges Corp. (Delta Educational Systems, Inc.), Class A-1 Preferred Stock Warrants (13)",Education,45947,459,,
153,"Gryphon Colleges Corp. (Delta Educational Systems, Inc.), Class B-1 Preferred Stock Warrants (13)",Education,104314,1043,,
154,"Gryphon Colleges Corp. (Delta Educational Systems, Inc.), Common Stock Warrants (13)",Education,9820,98,,
155,"Osage Exploration & Development, Inc., Common Stock Warrants (13)(17)",Oil and Gas,1496843,0,,
156,"Spotted Hawk Development, LLC, Common Stock Warrants (13)",Oil and Gas,54545,852,,
157,Total Warrants,5016,10771,,,
158,TOTAL EQUITY,42422,46320,,,
159,Total Investments in Non-Controlled/ Non-Affiliated Investments,2862751,2848449,,,
