,0,1,2,3,4,5,6,8,9,10,11,12,13,14,15,16,17,18,19,20
61,,,First Lien Secured Debt - Unfunded Revolver,,0.50 Unfunded,,01/20/22,£,47.0,,,0,,,0,,,(9)(21)(23),,
62,,,Second Lien Secured Debt,,"10.56 (1M L+900, 1.00 Floor)",,01/20/24,25714,,,25046,,,25148,,,(9),,,
63,,,,,,,,,,29320,,,29441,,,,,,,
64,"RA Outdoors, LLC",,First Lien Secured Debt,,"6.21 (1M L+475, 1.00 Floor)",,09/11/24,7229,,,7090,,,7156,,,(9),,,
65,,,First Lien Secured Debt - Unfunded Revolver,,0.50 Unfunded,,09/09/22,1200,,,(23,,,(12,,,(8)(9)(21)(23),,,
66,,,Second Lien Secured Debt,,"10.21 (1M L+875, 1.00 Floor)",,09/11/25,34200,,,33377,,,33516,,,(9),,,
67,,,,,,,,,,40444,,,40660,,,,,,,
68,Industry / Company,,Investment Type,,Interest Rate (20),,Maturity  Date,Par / Shares (12),,Cost (30),,Fair  Value (1) (31),,,,,,,,
69,Dodge Data/Skyline Data,,,,,,,,,,,,,,,,,,,
70,Dodge Data & Analytics LLC,,First Lien Secured Debt,,"10.50 (3M L+875, 1.75 Floor)",,10/31/19,49722,,,49355,,,48354,,,,,,
71,"Skyline Data, News and Analytics LLC",,Common Equity/Interests - Class A Common Unit,,,,,"4,500,000 Shares",,,4500,,,4500,,,(13),,,
72,,,,,,,,,,53855,,,52854,,,,,,,
73,"STG-Fairway Acquisitions, Inc.",,Second Lien Secured Debt,,"10.73 (3M L+925, 1.00 Floor)",,06/30/23,15000,,,14741,,,14400,,,,,,
74,"Transplace Holdings, Inc.",,Second Lien Secured Debt,,"10.31 (1M L+875, 1.00 Floor)",,10/06/25,15000,,,14634,,,15094,,,(10),,,
75,"U.S. Security Associates Holdings, Inc.",,Unsecured Debt,,11.00,,01/28/20,80000,,,80000,,,80000,,,,,,
76,Total Business Services,,,,442618,,,443065,,,,,,,,,,,,
77,"Chemicals, Plastics & Rubber",,,,,,,,,,,,,,,,,,,
78,Carbon Free Chemicals,,,,,,,,,,,,,,,,,,,
79,Carbonfree Chemicals SPE I LLC (f/k/a Maxus Capital Carbon SPE I LLC),,First Lien Secured Debt,,5.215 PIK,,06/30/20,,59305.0,,,,59305,,,,49036,,,
80,Carbonfree Caustic SPE LLC,,Unfunded Delayed Draw - Promissory Note,,0.00 Unfunded,,06/30/20,6111,,,0,,,0,,,(23),,,
81,,,,,,,,,,59305,,,49036,,,,,,,
82,"Hare Bidco, Inc.",,Second Lien Secured Debt,,"9.75 (3M L+875, 1.00 Floor)",,08/01/24,€,13574.0,,,14412,,,15974,,,,,
83,"Total Chemical, Plastics & Rubber",,,,73717,,,65010,,,,,,,,,,,,
84,Consumer Goods – Durable,,,,,,,,,,,,,,,,,,,
85,"Hayward Industries, Inc.",,Second Lien Secured Debt,,9.82 (1M L+825),,08/04/25,,25110.0,,,,24633,,,,24630,,,
86,KLO Holdings,,,,,,,,,,,,,,,,,,,
87,9357-5991 Quebec Inc.,,First Lien Secured Debt,,"9.31 (1M L+775, 1.25 Floor)",,04/07/22,9382,,,9281,,,9279,,,,,,
88,KLO Acquisition LLC,,First Lien Secured Debt,,"9.31 (1M L+775, 1.25 Floor)",,04/07/22,5431,,,5373,,,5372,,,,,,
89,,,,,,,,,,14654,,,14651,,,,,,,
90,"Sorenson Holdings, LLC",,Common Equity/Interests - Membership Interests,,,,,587 Shares,,,0,,,470,,,(10)(13),,,
91,Total Consumer Goods - Durable,,,,39287,,,39751,,,,,,,,,,,,
92,Consumer Goods – Non-Durable,,,,,,,,,,,,,,,,,,,
93,"ABG Intermediate Holdings 2, LLC",,Second Lien Secured Debt,,"9.44 (3M L+775, 1.00 Floor)",,09/29/25,,8094.0,,,,8034,,,,8215,,,(10)
94,"Sequential Brands Group, Inc.",,Second Lien Secured Debt,,10.46 (1M L+900),,07/01/22,17248,,,17085,,,16933,,,(17),,,
95,Total Consumer Goods - Non-Durable,,,,25119,,,25148,,,,,,,,,,,,
96,Consumer Services,,,,,,,,,,,,,,,,,,,
97,1A Smart Start LLC,,Second Lien Secured Debt,,11.75 (P+725),,08/22/22,,25100.0,,,,24601,,,,24598,,,
98,Total Consumer Services,,,,24601,,,24598,,,,,,,,,,,,
99,"Containers, Packaging & Glass",,,,,,,,,,,,,,,,,,,
100,"Sprint Industrial Holdings, LLC",,Second Lien Secured Debt,,13.5 PIK,,11/14/19,,18451.0,,,,18107,,,,9069,,,
101,,,Common Equity/Interests - Warrants,,,,,"7,341 Warrants",,,0,,,0,,,(13)(29),,,
102,,,,,,,,,,18107,,,9069,,,,,,,
103,"TricorBraun Holdings, Inc.",,First Lien Secured Debt - Revolver,,6.75 (P+225),,11/30/21,1523,,,1523,,,1526,,,(23),,,
104,,,First Lien Secured Debt - Unfunded Revolver,,0.50 Unfunded,,11/30/21,4103,,,(396,,,0,,,(21)(23),,,
105,,,1127,,,1526.0,,,,,,,,,,,,,,
106,"Total Containers, Packaging & Glass",,,,19234,,,10595,,,,,,,,,,,,
107,Industry / Company,,Investment Type,,Interest Rate (20),,Maturity  Date,Par / Shares (12),,Cost (30),,Fair  Value (1) (31),,,,,,,,
108,"Diversified Investment Vehicles, Banking, Finance, Real Estate",,,,,,,,,,,,,,,,,,,
109,Armor Holding II LLC,,Second Lien Secured Debt,,"10.70 (3M L+900, 1.25 Floor)",,12/26/20,,8000.0,,,,7936,,,,8110,,,(10)
110,Craft 2014-1A,,Structured Products and Other - Credit-Linked Note,,8.12 (3M L+965),,05/15/21,27130,,,27697,,,26959,,,(11)(17),,,
111,Craft 2015-2,,Structured Products and Other - Credit-Linked Note,,9.55 (3M L+925),,01/16/24,24869,,,25746,,,24375,,,(11)(17),,,
112,"Golden Bear 2016-R, LLC (3)(4)",,Structured Products and Other - Membership Interests,,,,09/20/42,0,,,16459,,,15233,,,(17),,,
113,"Purchasing Power, LLC",,First Lien Secured Debt - Revolver,,"9.56 (1M L + 800, 1.00 Floor)",,07/10/19,17158,,,17158,,,17024,,,(9)(23),,,
114,,,First Lien Secured Debt - Unfunded Revolver,,0.75 Unfunded,,07/10/19,2942,,,(169,,,(23,,,(8)(9)(21)(23),,,
115,,,,,,,,,,16989,,,17001,,,,,,,
116,"Ten-X, LLC",,First Lien Secured Debt - Revolver,,"5.25 (1M L+375, 1.00 Floor)",,09/29/22,520,,,520,,,475,,,(23),,,
117,,,First Lien Secured Debt - Unfunded Revolver,,0.50 Unfunded,,09/29/22,4160,,,(400,,,(357,,,(8)(21)(23),,,
118,,,,,,,,,,120,,,118,,,,,,,
119,"Total Diversified Investment Vehicles, Banking, Finance, Real Estate",,,,94947,,,91796,,,,,,,,,,,,
120,Energy – Electricity,,,,,,,,,,,,,,,,,,,
121,"AMP Solar Group, Inc. (4)",,Common Equity/Interests - Class A Common Unit,,,,,"243,646 Shares",,,10000,,,5114,,,(13)(17),,,
122,Renew Financial,,,,,,,,,,,,,,,,,,,
123,"AIC SPV Holdings II, LLC (4)",,Common Equity/Interests - Membership Interests,,,,,"534,375 Shares",,,,534,,,,1042.0,,,(13)(17)(15),
124,"Renew Financial LLC (f/k/a Renewable Funding, LLC) (4)",,Preferred Equity - Series B Preferred Stock,,,,,"1,505,868 Shares",,,8343,,,19027,,,(13),,,
125,,,Preferred Equity - Series D Preferred Stock,,,,,"436,689 Shares",,,5568,,,6663,,,(13),,,
126,Renew JV LLC (4),,Common Equity/Interests - Membership Interests,,,,,"2,115,665 Shares",,,2116,,,3019,,,(13)(17),,,
127,,,,,,,,,,16561,,,29751,,,,,,,
128,Solarplicity Group,,,,,,,,,,,,,,,,,,,
129,Solarplicity Group Limited (3)(4),,First Lien Secured Debt,,8.00 PIK (8.00 Cash Toggle),,11/30/22,£,129626.0,,,150352,,,125714,,,(17),,
130,,,Common Equity/Interests - Class B Common Shares,,,,,"2,825 Shares",,,2472,,,0,,,(2)(13)(17)(26),,,
131,Solarplicity UK Holdings Limited (4),,Unsecured Debt,,8.00 PIK (8.00 Cash Toggle),,02/24/22,£,2000.0,,,2499,,,2705,,,(17),,
132,,,Common Equity/Interests - Ordinary Shares,,,,,"2,825 Shares",,,4,,,5212,,,(2)(13)(17),,,
133,,,,,,,,,,155327,,,133631,,,,,,,
134,Westinghouse Electric Co LLC,,First Lien Secured Debt,,"7.82 (1M L+625, 1.00 Floor)",,03/31/18,40000,,,39727,,,40000,,,(9),,,
135,Total Energy – Electricity,,,,221615,,,208496,,,,,,,,,,,,
136,Energy – Oil & Gas,,,,,,,,,,,,,,,,,,,
137,"Glacier Oil & Gas Corp. (f/k/a Miller Energy Resources, Inc.) (5)",,First Lien Secured Debt,,8.00 Cash (10.00 PIK Toggle),,03/29/19,,15000.0,,,,15000,,,,15000,,,(23)
138,,,First Lien Secured Debt - Unfunded Delayed Draw,,0.00 Unfunded,,03/29/19,5000,,,0,,,0,,,(21)(23),,,
139,,,Second Lien Secured Debt,,10.00 PIK (8.00 Cash Toggle),,03/29/21,29760,,,29760,,,29760,,,,,,
140,Industry / Company,,Investment Type,,Interest Rate (20),,Maturity  Date,Par / Shares (12),,Cost (30),,Fair  Value (1) (31),,,,,,,,
141,,,Common Equity/Interests - Common Stock,,,,,"5,000,000 Shares",,,30078,,,19995,,,(13),,,
142,,,,,,,,,,74838,,,64755,,,,,,,
143,"Pelican Energy, LLC (4)",,Common Equity/Interests - Membership Interests,,,,,"1,444 Shares",,,24730,,,11755,,,(13)(17),,,
144,"SHD Oil & Gas, LLC (5)",,First Lien Secured Debt - Tranche A Note,,14.00 (8.00 Cash plus 6.00 PIK),,12/31/19,42794,,,42794,,,44078,,,,,,
145,,,First Lien Secured Debt - Tranche B Note,,14.00 PIK,,12/31/19,70755,,,44380,,,33738,,,(13)(14),,,
146,,,First Lien Secured Debt - Tranche C Note,,12.00,,12/31/19,18000,,,18000,,,18540,,,,,,
147,,,Common Equity/Interests - Series A Units,,,,,"7,600,000 Shares",,,1411,,,0,,,(13),,,
148,,,,,,,,,,106585,,,96356,,,,,,,
149,Total Energy – Oil & Gas,,,,206153,,,172866,,,,,,,,,,,,
150,Food & Grocery,,,,,,,,,,,,,,,,,,,
151,Bumble Bee Foods,,,,,,,,,,,,,,,,,,,
152,"Bumble Bee Holdings, Inc.",,First Lien Secured Debt,,"9.44 (3M L+800, 1.00 Floor)",,08/15/23,,15546.0,,,,15249,,,,15235,,,
153,Connors Bros Clover Leaf Seafoods Company,,First Lien Secured Debt,,"9.44 (3M L+800, 1.00 Floor)",,08/15/23,4404,,,4320,,,4316,,,,,,
154,,,,,,,,,,19569,,,19551,,,,,,,
155,"Grocery Outlet, Inc.",,Second Lien Secured Debt,,"9.94 (3M L+825, 1.00 Floor)",,10/21/22,25000,,,24772,,,25125,,,(10),,,
156,Total Food & Grocery,,,,44341,,,44676,,,,,,,,,,,,
157,Healthcare & Pharmaceuticals,,,,,,,,,,,,,,,,,,,
158,Altasciences,,,,,,,,,,,,,,,,,,,
159,9360-1367 Quebec Inc.,,First Lien Secured Debt,,"7.94 (3M L+625, 1.00 Floor)",,06/09/23,C$,2430.0,,,,1773,,,,1896,,,(9)(17)
160,,,First Lien Secured Debt,,"7.94 (3M L+625, 1.00 Floor)",,06/09/23,,2913.0,,,2854,,,2848,,,(9)(17),,
161,"Altasciences US Acquisition, Inc.",,First Lien Secured Debt,,"7.94 (3M L+625, 1.00 Floor)",,06/09/23,5261,,,5154,,,5143,,,(9),,,
162,,,First Lien Secured Debt - Revolver,,"7.94 (3M L+625, 1.00 Floor)",,06/09/23,285,,,285,,,279,,,(9)(23)(28),,,
163,,,First Lien Secured Debt - Unfunded Delayed Draw,,0.50 Unfunded,,06/09/23,2851,,,(32,,,(64,,,(8)(9)(21)(23)(28),,,
164,,,First Lien Secured Debt - Unfunded Revolver,,0.25 Unfunded,,06/09/23,1141,,,(29,,,(27,,,(8)(9)(21)(23)(28),,,
165,,,,,,,,,,10005,,,10075,,,,,,,
166,Aptevo Therapeutics Inc.,,First Lien Secured Debt,,9.16 (1M L+760),,02/01/21,8571,,,8671,,,8506,,,(9),,,
167,"Argon Medical Devices Holdings, Inc.",,Second Lien Secured Debt,,"9.38 (3M L+800, 1.00 Floor)",,10/27/25,21600,,,21492,,,21708,,,(10),,,
168,"Avalign Technologies, Inc.",,Second Lien Secured Debt,,"9.71 (6M L+825, 1.00 Floor)",,09/02/24,5500,,,5448,,,5514,,,,,,
169,"BioClinica Holding I, LP",,Second Lien Secured Debt,,"9.63 (3M L+825, 1.00 Floor)",,10/21/24,24612,,,24189,,,23874,,,(10),,,
170,"Elements Behavioral Health, Inc.",,Second Lien Secured Debt,,"14.44 (3M L+1275, 1.00 Floor)",,02/11/20,12353,,,11911,,,865,,,(13)(14),,,
171,"Invuity, Inc.",,First Lien Secured Debt,,"8.07 (1M L+650, 1.50 Floor)",,03/01/22,10000,,,9834,,,9808,,,(9),,,
172,,,First Lien Secured Debt - Revolver,,"4.82 (1M L+325, 1.50 Floor)",,03/01/22,969,,,969,,,964,,,(9)(23),,,
173,,,First Lien Secured Debt - Unfunded Revolver,,0.50 Unfunded,,03/01/22,1031,,,(8,,,(5,,,(8)(9)(21)(23),,,
174,,,Warrants - Warrants,,,,,"32,803 Warrants",,,180,,,129,,,(9),,,
175,,,,,,,,,,10975,,,10896,,,,,,,
176,Industry / Company,,Investment Type,,Interest Rate (20),,Maturity  Date,Par / Shares (12),,Cost (30),,Fair  Value (1) (31),,,,,,,,
177,"Lanai Holdings III, Inc.",,Second Lien Secured Debt,,"9.98 (3M L+850, 1.00 Floor)",,08/28/23,17391,,,16973,,,16087,,,(10),,,
178,"Maxor National Pharmacy Services, LLC",,First Lien Secured Debt,,"7.53 (1M L+600, 1.00 Floor)",,11/22/23,21631,,,21100,,,21418,,,(9),,,
179,,,First Lien Secured Debt - Revolver,,"7.59 (2M L+600, 1.00 Floor)",,11/22/22,175,,,175,,,174,,,(9)(23),,,
180,,,First Lien Secured Debt - Unfunded Revolver,,0.50 Unfunded,,11/22/22,1383,,,(31,,,(13,,,(8)(9)(21)(23),,,
181,,,,,,,,,,21244,,,21579,,,,,,,
182,"Oxford Immunotec, Inc.",,First Lien Secured Debt,,9.16 (1M L+760),,10/01/21,9750,,,9855,,,9887,,,(9)(17),,,
183,,,First Lien Secured Debt - Unfunded Revolver,,0.50 Unfunded,,10/01/21,1000,,,(4,,,0,,,(9)(17)(21)(23),,,
184,,,,,,,,,,9851,,,9887,,,,,,,
185,"PTC Therapeutics, Inc",,First Lien Secured Debt,,"7.71 (1M L+615, 1.00 Floor)",,05/01/21,12667,,,12614,,,12667,,,(9)(17),,,
186,,,First Lien Secured Debt - Unfunded Delayed Draw,,0.00 Unfunded,,05/01/21,6333,,,(26,,,0,,,(9)(17)(21)(23),,,
187,,,,,,,,,,12588,,,12667,,,,,,,
188,"RiteDose Holdings I, Inc.",,First Lien Secured Debt,,"8.19 (3M L + 650, 1.00 Floor)",,09/13/23,15000,,,14537,,,14786,,,(9),,,
189,,,First Lien Secured Debt - Unfunded Revolver,,0.50 Unfunded,,09/13/22,2000,,,(61,,,(28,,,(8)(9)(21)(23),,,
190,,,,,,,,,,14476,,,14758,,,,,,,
191,"Teladoc, Inc.",,First Lien Secured Debt - Unfunded Revolver,,0.50 Unfunded,,07/14/20,1667,,,(57,,,(67,,,(8)(17)(21)(23),,,
192,"Wright Medical Group, Inc.",,First Lien Secured Debt - Revolver,,"5.81 (1M L+425, 0.75 Floor)",,12/23/21,18333,,,18333,,,18333,,,(9)(17)(23),,,
193,,,First Lien Secured Debt - Unfunded Revolver,,0.50 Unfunded,,12/23/21,31667,,,(398,,,0,,,(9)(17)(21)(23),,,
194,,,,,,,,,,17935,,,18333,,,,,,,
195,Total Healthcare & Pharmaceuticals,,,,185701,,,174682,,,,,,,,,,,,
196,High Tech Industries,,,,,,,,,,,,,,,,,,,
197,ChyronHego Corporation,,First Lien Secured Debt,,"7.43 (3M L+643, 1.00 Floor)",,03/09/20,,35510.0,,,,35159,,,,34089,,,(18)
198,"DigiCert Holdings, Inc.",,Second Lien Secured Debt,,"9.63 (3M L+800, 1.00 Floor)",,10/31/25,20196,,,20097,,,20316,,,(10),,,
199,LabVantage Solutions,,,,,,,,,,,,,,,,,,,
200,LabVantage Solutions Inc.,,First Lien Secured Debt,,"9.56 (1M L+800, 1.00 Floor)",,12/29/20,13875,,,13602,,,13736,,,,,,
201,LabVantage Solutions Limited,,First Lien Secured Debt,,"9.00 (3M E+800, 1.00 Floor)",,12/29/20,€,12711.0,,,13402,,,15111,,,(17),,
202,,,First Lien Secured Debt - Unfunded Revolver,,0.50 Unfunded,,12/29/20,€,3435.0,,,(70,,,(41,,,(8)(17)(21)(23),,
203,,,,,,,,,,26934,,,28806,,,,,,,
204,"Nextech Systems, LLC",,First Lien Secured Debt,,"8.40 (1M L+725, 1.00 Floor)",,06/22/21,21294,,,20923,,,21081,,,(18),,,
205,"Smokey Merger Sub, Inc.",,Second Lien Secured Debt,,"10.21 (3M L+875, 1.00 Floor)",,05/24/24,30000,,,29177,,,29250,,,(9),,,
206,Telestream Holdings Corporation,,First Lien Secured Debt,,"7.61 (3M L +645, 1.00 Floor)",,03/24/22,36840,,,36521,,,36104,,,(18),,,
207,Tibco Software Inc.,,First Lien Secured Debt - Unfunded Revolver,,0.50 Unfunded,,12/05/19,6000,,,(23,,,(840,,,(8)(21)(23),,,
208,Total High Tech Industries,,,,168788,,,168806,,,,,,,,,,,,
209,"Hotel, Gaming, Leisure, Restaurants",,,,,,,,,,,,,,,,,,,
210,GFRC Holdings LLC,,First Lien Secured Debt,,"9.56 (1M L+800 Cash (L+800 PIK Toggle), 1.50 Floor)",,02/01/22,,2500.0,,,,2500,,,,2475,,,
211,SMG,,Second Lien Secured Debt,,11.75 (P+725),,02/27/21,19649,,,19649,,,19723,,,(10),,,
212,"Total Hotel, Gaming, Leisure, Restaurants",,,,22149,,,22198,,,,,,,,,,,,
213,Industry / Company,,Investment Type,,Interest Rate (20),,Maturity  Date,Par / Shares (12),,Cost (30),,Fair  Value (1) (31),,,,,,,,
214,Insurance,,,,,,,,,,,,,,,,,,,
215,"Alliant Holdings Intermediate, LLC",,First Lien Secured Debt - Letter of Credit,,3.375,,04/23/18,,37.0,,,,0,,,,(1,,,(8)(23)
216,,,First Lien Secured Debt - Letter of Credit,,3.375,,07/30/18,96,,,0,,,(4,,,(8)(23),,,
217,,,First Lien Secured Debt - Letter of Credit,,3.375,,05/31/19,8,,,0,,,0,,,(8)(23),,,
218,,,First Lien Secured Debt - Letter of Credit,,3.375,,11/30/18,38,,,0,,,(1,,,(8)(23),,,
219,,,First Lien Secured Debt - Letter of Credit,,3.375,,05/04/18,8,,,0,,,0,,,(8)(23),,,
220,,,First Lien Secured Debt - Revolver,,7.00 (P+250),,08/14/20,1125,,,1125,,,1090,,,(23),,,
221,,,First Lien Secured Debt - Unfunded Revolver,,0.50 Unfunded,,08/14/20,13688,,,(895,,,(431,,,(8)(21)(23),,,
222,,,,,,,,,,230,,,653,,,,,,,
223,Confie Seguros Holding II Co.,,Second Lien Secured Debt,,"10.98 (3M L+950, 1.25 Floor)",,05/08/19,21844,,,21799,,,21162,,,(10),,,
224,Total Insurance,,,,22029,,,21815,,,,,,,,,,,,
225,"Manufacturing, Capital Equipment",,,,,,,,,,,,,,,,,,,
226,"ATS Consolidated, Inc.",,Second Lien Secured Debt,,"10.11 (2M L+850, 1.00 Floor)",,05/30/25,,15000.0,,,,14720,,,,15113,,,(10)
227,MedPlast Holdings Inc.,,Second Lien Secured Debt,,"10.23 (2M L+875, 1.00 Floor)",,06/06/23,8000,,,7824,,,7800,,,,,,
228,"Power Products, LLC",,Second Lien Secured Debt,,"10.36 (3M L+900, 1.00 Floor)",,12/20/23,32500,,,31528,,,32214,,,(9),,,
229,"Total Manufacturing, Capital Equipment",,,,54072,,,55127,,,,,,,,,,,,
230,Media – Diversified & Production,,,,,,,,,,,,,,,,,,,
231,SESAC Holdco II LLC,,First Lien Secured Debt - Unfunded Revolver,,0.50 Unfunded,,02/23/22,,587.0,,,,(44,,,,(44,,,(8)(21)(23)
232,,,Second Lien Secured Debt,,"8.73 (3M L+725, 1.00 Floor)",,02/24/25,3241,,,3212,,,3197,,,,,,
233,Total Media – Diversified & Production,,,,3168,,,3153,,,,,,,,,,,,
234,Metals & Mining,,,,,,,,,,,,,,,,,,,
