,Industry / Company,Interest Rate (20),Par / Shares (12),Cost (29),Fair  Value (1) (30),
35,Electro Rent Corporation,"11.60 (3M L+900, 1.00 Floor)",34235,33427,33551,
36,McLarens Global Ltd.,,,,,
37,Margaux Acquisition Inc.,"8.18 (3M L+600, 1.00 Floor)",17614,17279,17262,
38,Margaux UK Finance Limited,"8.59 (3M L+600, 1.00 Floor)",£,5955.0,7381,(9)(17)
39,"Ministry Brands, LLC","11.88 (1M L+925, 1.00 Floor)",10000,9902,10050,
40,"Newscycle Solutions, Inc.","9.50 (1M L+700, 1.00 Floor)",16646,16334,16479,
41,"PSI Services, LLC","7.50 (1M L+500, 1.00 Floor)",4575,4502,4552,
42,"RA Outdoors, LLC","7.25 (1M L+475, 1.00 Floor)",7138,7027,6995,
43,"STG-Fairway Acquisitions, Inc.","11.75 (1M L+925, 1.00 Floor)",15000,14800,14325,
44,TGG TS Acquisition Company,8.99 (1M L+650),690,690,673,
45,"Transplace Holdings, Inc.","11.23 (1M L+875, 1.00 Floor)",8599,8422,8448,
46,U.S. Legal Support,,,,,
47,"USLS Acquisition, Inc.","8.38 (3M L+575, 1.00 Floor)",20049,19670,19658,
48,"US Legal Support Investment Holdings, LLC","602,978 Shares",696,(9)(13),,
49,"Vertafore, Inc.",0.50 Unfunded,14576,"(1,467","(1,531",
50,Total Business Services,350624,,,,
51,"Chemicals, Plastics & Rubber",,,,,
52,Carbon Free Chemicals,,,,,
53,Carbonfree Chemicals SPE I LLC (f/k/a Maxus Capital Carbon SPE I LLC),5.215 PIK,50305.0,50305,47806,
54,Carbonfree Caustic SPE LLC,5.00,10200,10200,10200,
55,"Hare Bidco, Inc.",9.75 (3M E+875),€,13574.0,14465,
56,"Westfall Technik, Inc.","7.85 (3M L+525, 1.00 Floor)",12318,12158,12071,
57,"Total Chemical, Plastics & Rubber",96128,,,,
58,Construction & Building,,,,,
59,Englert,,,,,
60,"Gutter Buyer, Inc.","8.73 (1M L+625, 1.00 Floor)",23864.0,23274,23268,
61,"Gutter Holdings, LP",500 shares,478,(9)(13),,
62,Total Construction & Building,23656,,,,
63,Consumer Goods – Durable,,,,,
64,"Hayward Industries, Inc.",10.75 (1M L+825),21918.0,21649,21589,
65,KDC US Holdings,5.75 (1M L+325),1204,1204,1099,
66,KLO Holdings,,,,,
67,9357-5991 Quebec Inc.,"10.25 (1M L+775, 1.50 Floor)",8763,8697,8282,
68,KLO Acquisition LLC,"10.25 (1M L+775, 1.50 Floor)",5073,5035,4795,
69,"Project Comfort Buyer, Inc.","9.81 (6M L+700, 1.00 Floor)",23769,23075,23056,
70,"Sorenson Holdings, LLC",587 Shares,470,(10)(13),,
71,Total Consumer Goods - Durable,59988,,,,
72,Consumer Goods – Non-Durable,,,,,
73,"ABG Intermediate Holdings 2, LLC","10.25 (1M L+775, 1.00 Floor)",7371.0,7345,7298,
74,"BIG Buyer, LLC","9.10 (3M L+650, 1.00 Floor)",29264,28503,28970,
75,Lion Cashmere Midco Limited,"8.42 (6M L+575, 1.00 Floor)",13053,12825,12694,
76,Reddy Ice Corporation,"10.00 (1M L+750, 1.00 Floor)",31316,30917,31026,
77,"Sequential Brands Group, Inc.",11.24 (1M L+875),13052,12947,12919,
78,Total Consumer Goods - Non-Durable,93866,,,,
79,Consumer Services,,,,,
80,1A Smart Start LLC,"10.75 (1M L+825, 1.00 Floor)",25100.0,24734,24708,
81,Nemo (BC) Bidco Pty Ltd,"7.65 (1M BBSW+575, 1.00 Floor)",A$,6768.0,4909,(17)
82,"Pinstripe Holdings, LLC",8.50 (2M L+600),7000,6864,6895,
83,"Tidewater Consumer Receivables, LLC",8.25 (1M L+575),11333,11226,11220,
84,Total Consumer Services,48505,,,,
85,"Containers, Packaging & Glass",,,,,
86,"Sprint Industrial Holdings, LLC",13.5 PIK,21782.0,18107,15912,
87,"TricorBraun Holdings, Inc.",7.75 (P+225),1628,1628,1630,
88,"Total Containers, Packaging & Glass",19465,,,,
89,"Diversified Investment Vehicles, Banking, Finance, Real Estate",,,,,
90,Alera Group Intermediate Holdings,1.00 Unfunded,28000.0,(242,(252,
91,"Exeter Property Group, LLC",7.00 (1M L+450),4808,4737,4736,
92,"Flock SPV I, LLC",9.00 (1M L+650),9333,9265,9251,
93,"Golden Bear 2016-R, LLC (4)",09/20/42,16645,12936,(3)(17),
94,Mayfield Agency Borrower Inc.,11.00 (1M L+850),5000,4935,4913,
95,"Purchasing Power, LLC",8.00 (1M L+550),17100,17099,17087,
96,"Taupo River II, LLC","7.84 (3M L+525, 1.00 Floor)",14000,13956,13955,
97,"Ten-X, LLC",0.50 Unfunded,4680,(295,(310,
98,"Total Diversified Investment Vehicles, Banking, Finance, Real Estate",68979,,,,
99,Energy – Electricity,,,,,
100,"AMP Solar Group, Inc. (4)","243,646 Shares",6236.0,(13)(17),,
101,Renew Financial,,,,,
102,"AIC SPV Holdings II, LLC (4)",143 Shares,440,(17)(15),,
103,"Renew Financial LLC (f/k/a Renewable Funding, LLC) (4)","1,505,868 Shares",14573,(13),,
104,Renew JV LLC (4),1796,(13)(17),,,
105,Solarplicity Group,,,,,
106,Solarplicity Group Limited (4),11/30/22,4331.0,5811,1990,
107,Solarplicity UK Holdings Limited,4.00,£,5562.0,7637,(17)
108,Total Energy – Electricity,45554,,,,
109,Energy – Oil & Gas,,,,,
110,"Glacier Oil & Gas Corp. (f/k/a Miller Energy Resources, Inc.) (5)",8.00 Cash (10.00 PIK Toggle),9000.0,9000,9000,
111,"Pelican Energy, LLC (4)","1,444 Shares",5320,(13)(16)(17),,
112,"SHD Oil & Gas, LLC (5)",12.00,20400,20400,21012,
113,Total Energy – Oil & Gas,202806,,,,
114,Food & Grocery,,,,,
115,Bumble Bee Foods,,,,,
116,"Bumble Bee Holdings, Inc.","10.64 (3M L+800, 1.00 Floor)",15351.0,15110,14890,
117,Connors Bros Clover Leaf Seafoods Company,"10.64 (3M L+800, 1.00 Floor)",4349,4281,4219,
118,"Grocery Outlet, Inc.",9.85 (3M L+725),10500,10400,10474,
119,Total Food & Grocery,29791,,,,
120,Healthcare & Pharmaceuticals,,,,,
121,Altasciences,,,,,
122,9360-1367 Quebec Inc.,"8.49 (3M L+625, 1.00 Floor)",C$,2394.0,1755,(9)(17)
123,"Altasciences US Acquisition, Inc.","8.88 (3M L+625, 1.00 Floor)",5182,5101,4988,
124,"Amerivet Partners Management, Inc.","8.25 (1M L+575, 1.00 Floor)",14372,14145,14046,
125,Analogic Corporation,"8.50 (1M L+600, 1.00 Floor)",27254,26661,26982,
126,Aptevo Therapeutics Inc.,"10.10 (1M L+760, 0.50 Floor)",8571,8730,8521,
127,"Argon Medical Devices Holdings, Inc.","10.50 (1M L+800, 1.00 Floor)",19600,19516,19306,
128,AVG Intermediate Holdings LLC,12.50 (P+700),15000,14672,14651,
129,"BioClinica Holding I, LP","11.00 (3M L+825, 1.00 Floor)",24612,24251,22151,
130,Cerus Corporation,"7.95 (1M L+545, 1.80 Floor)",12000,11940,11940,
131,Emmes Corporation,,,,,
132,"Emmes Blocker, Inc.",306 Shares,306,(9)(13),,
133,"The Emmes Company, LLC","8.00 (1M L+550, 1.00 Floor)",12245,12064,11939,
134,"Genesis Healthcare, Inc.","8.59 (3M L+600, 0.50 Floor)",25000,24705,24713,
135,"Lanai Holdings III, Inc.","11.24 (3M L+850, 1.00 Floor)",17391,17064,15652,
136,"LSCS Holdings, Inc",10.83 (2M L+825),19818,19415,19718,
137,"Maxor National Pharmacy Services, LLC","8.60 (3M L+600, 1.00 Floor)",24732,24257,24278,
138,"Partner Therapeutics, Inc","9.15 (1M L+665, 1.00 Floor)",10000,9859,9785,
139,"PHS Buyer, Inc.","7.99 (3M L+525, 1.00 Floor)",13000,12716,12708,
140,"ProPharma Group Intermediate, LLC","8.50 (1M L+600, 0.50 Floor)",11062,10957,10951,
141,"PTC Therapeutics, Inc","8.65 (1M L+615, 1.00 Floor)",12666,12633,12792,
142,"RiteDose Holdings I, Inc.","9.09 (3M L+650, 1.00 Floor)",14813,14454,14377,
143,"Teladoc, Inc.",0.50 Unfunded,1306,(29,0,
144,"TherapeuticsMD, Inc.","10.25 (1M L+775, 1.50 Floor)",22500,22459,22275,
145,"Wright Medical Group, Inc.","10.35 (1M L+785, 1.00 Floor)",6666,6565,6666,
146,Total Healthcare & Pharmaceuticals,369032,,,,
147,High Tech Industries,,,,,
148,API Healthcare Holding Corporation,1.00 Unfunded,5000.0,(96,0,
149,"ChargePoint, Inc.","9.05 (1M L+655, 1.25 Floor)",10500,10410,10422,
150,ChyronHego Corporation,"7.43 (3M L+643, 1.00 Floor)",34346,34200,32286,
151,"DigiCert Holdings, Inc.","10.50 (1M L+800, 1.00 Floor)",12157,12107,11998,
152,"FiscalNote, Inc.","10.50 (1M L+800, 1.00 Floor)",28125,27446,27352,
153,"International Cruise & Excursion Gallery, Inc.","7.75 (1M L+525, 1.00 Floor)",14888,14622,14776,
154,LabVantage Solutions,,,,,
155,LabVantage Solutions Inc.,"10.00 (1M L+750, 1.00 Floor)",11543,11411,11428,
156,LabVantage Solutions Limited,"8.50 (E+750, 1.00 Floor)",€,11630.0,12373,(17)
157,Magnate Holding Corp.,"8.60 (3M L+600, 1.00 Floor)",16670,16433,16430,
158,"Omnitracs, LLC",0.50 Unfunded,3750,(268,(338,
159,Sirsi Corporation,"7.23 (1M L+475, 1.00 Floor)",7071,6966,6965,
160,Telestream Holdings Corporation,"7.61 (6M L+645, 1.00 Floor)",35980,35754,35261,
161,Tibco Software Inc.,0.50 Unfunded,6000,(8,(450,
162,"ZPower, LLC","10.25 (1M L+775, 1.00 Floor)",6666,6711,6617,
163,Total High Tech Industries,192595,,,,
164,"Hotel, Gaming, Leisure, Restaurants",,,,,
165,GFRC Holdings LLC,"10.63 (3M L+800 Cash (L+800 PIK Toggle), 1.50 Floor)",2500.0,2500,2500,
166,"Total Hotel, Gaming, Leisure, Restaurants",2500,,,,
167,"Manufacturing, Capital Equipment",,,,,
168,AVAD,,,,,
169,AVAD Canada Ltd.,"6.50 (1M L+400, 1.00 Floor)",636.0,636,626,
170,"AVAD, LLC","10.25 (1M L+775, 1.00 Floor)",9653,9476,9457,
171,MedPlast Holdings Inc.,10.35 (3M L+775),8000,7927,8000,
172,"Total Manufacturing, Capital Equipment",29389,,,,
173,Media – Diversified & Production,,,,,
174,SESAC Holdco II LLC,0.50 Unfunded,587.0,(31,(44,
175,"Sonar Entertainment, Inc.","10.10 (1M L+760, 1.25 Floor)",9267,9125,9104,
176,Total Media – Diversified & Production,17818,,,,
177,Metals & Mining,,,,,
178,"Magnetation, LLC",10.60 (3M L+800 Cash (PIK Toggle)),1225.0,1146,221,
179,Total Metals & Mining,1146,,,,
180,Telecommunications,,,,,
181,IPC Corporation,"7.76 (3M L+500, 1.00 Floor)",10000.0,9928,8888,
182,"Securus Technologies Holdings, Inc.","10.75 (1M L+825, 1.00 Floor)",12878,12772,12653,
183,Total Telecommunications,22700,,,,
184,"Transportation – Cargo, Distribution",,,,,
185,"Dynamic Product Tankers, LLC (5)",9.60 (3M L+700),42000.0,41830,42000,
186,MSEA Tankers LLC (5),74450,(17)(25),,,
187,"PT Intermediate Holdings III, LLC","10.60 (3M L+800, 1.00 Floor)",9375,9296,9281,
188,"Total Transportation – Cargo, Distribution",175382,,,,
189,Utilities – Electric,,,,,
190,Asset Repackaging Trust Six B.V.,12.05,58411.0,26480,32659,
191,Total Utilities – Electric,26480,,,,
192,Total Investments before Cash Equivalents and Option Contracts,2458111.0,,,,
