,INVESTMENTS IN NON-CONTROLLED/NON-AFFILIATED INVESTMENTS0120.3(10),Maturity Date,Industry (9),Par Amount(12),Fair  Value (1),
35,"Armor Holdings, Inc. (American Stock Transfer and Trust Company)",12/26/20,"Diversified Investment Vehicles, Banking, Finance, Real Estate",8000,7930,
36,Asurion Corporation,3/3/21,Insurance,67590,61507,
37,"1A Smart Start, LLC",8/19/22,Consumer Services,35000,34300,
38,Confie Seguros Holding II Co.,5/8/19,Insurance,22344,22288,
39,"Delta Educational Systems, Inc.",6/10/18,Education,1083,1603,
40,"Deltek, Inc.",6/26/23,Business Services,33736,33841,
41,"Elements Behavioral Health, Inc.",2/11/20,Healthcare & Pharmaceuticals,9500,9443,
42,"Extraction Oil & Gas Holdings, LLC",5/29/19,Energy – Oil & Gas,52633,52264,
43,Garden Fresh Restaurant Corp. (16),1/1/19,"Hotel, Gaming, Leisure, Restaurants",8585,6267,
44,Garden Fresh Restaurant Corp. (16),1/1/19,"Hotel, Gaming, Leisure, Restaurants",43037,38303,
45,"APOLLO INVESTMENT CORPORATION  SCHEDULE OF INVESTMENTS (unaudited) (continued)  September 30, 2015  (in thousands, except share data)",,,,,
46,2nd Lien Secured Debt051.6 (continued),,,,,
47,"GCA Services Group, Inc.",11/2/20,Business Services,19333.0,19333,
48,"Grocery Outlet, Inc.",10/21/22,Food & Grocery,28000,27930,
49,"GTCR Valor Companies, Inc.",11/30/21,Business Services,35000,34475,
50,"Infiltrator Systems Integrated, LLC",5/26/23,"Manufacturing, Capital Equipment",13889,13819,
51,"Institutional Shareholder Services, Inc.",4/30/22,Business Services,6640,6408,
52,"Kronos, Inc.",4/30/20,Business Services,4525,4621,
53,"MediaOcean, LLC",8/15/23,Business Services,18000,18000,
54,"Miller Energy Resources, Inc. (17)(14)",2/3/18,Energy – Oil & Gas,88568,62978,
55,MSC Software Corp. (17),5/31/21,High Tech Industries,13448,13078,
56,"Novolex Holdings, Inc.",6/5/22,"Containers, Packaging & Glass",42045,41782,
57,Pabst Brewing Company,11/14/22,Consumer Goods – Durable,27000,26663,
58,"Premier Trailer Leasing, Inc.",9/24/20,"Transportation – Cargo, Distribution",52000,53040,
59,River Cree Enterprises LP (11)(17),1/20/21,"Hotel, Gaming, Leisure, Restaurants",C$,21683,17198.0
60,"SiTV, Inc. (11)",7/1/19,Broadcasting & Subscription,2219,1642,
61,SMG,2/27/21,"Hotel, Gaming, Leisure, Restaurants",19900,20000,
62,"Sprint Industrial Holdings, LLC",11/14/19,"Containers, Packaging & Glass",16163,12688,
63,"SquareTwo Financial Corp. (Collect America, Ltd.) (17)",4/1/17,"Diversified Investment Vehicles, Banking, Finance, Real Estate",65152,40720,
64,"STG-Fairway Acquisitions, Inc.",6/26/23,Business Services,15000,14700,
65,"TASC, Inc.",5/21/21,Aerospace & Defense,21815,22197,
66,"TMK Hawk Parent, Corp.",10/1/22,"Transportation – Cargo, Distribution",34000,34170,
67,"APOLLO INVESTMENT CORPORATION  SCHEDULE OF INVESTMENTS (unaudited) (continued)  September 30, 2015  (in thousands, except share data)",,,,,
68,2nd Lien Secured Debt051.6 (continued),,,,,
69,"Transfirst Holdings, Inc.",11/11/22,"Diversified Investment Vehicles, Banking, Finance, Real Estate",21840.0,21663,
70,"Velocity Technology Solutions, Inc.",9/28/20,Business Services,16500,16005,
71,"Venoco, Inc.",2/28/19,Energy – Oil & Gas,35843,28029,
72,"Vertafore, Inc.",10/27/17,Business Services,36436,36755,
73,Total 2nd Lien Secured Debt,1022344.0,943065,,,
74,TOTAL SECURED DEBT,1808842.0,1655611,,,
75,UNSECURED DEBT016.2,,,,,
76,"Aerojet Rocketdyne Holdings, Inc. (formerly GenCorp, Inc.) (17)",4/18/22,Aerospace & Defense,10500.0,10500,
77,"American Tire Distributors, Inc. (11)",3/1/22,"Transportation – Cargo, Distribution",24281,24888,
78,Canacol Energy Ltd. (17)(23),12/31/19,Energy – Oil & Gas,75000,71813,
79,"Delta Educational Systems, Inc.",5/12/17,Education,26128,20314,
80,"My Alarm Center, LLC",7/9/18,Business Services,4320,4320,
81,"Radio One, Inc. (11)",2/15/20,Broadcasting & Subscription,15804,13611,
82,"Sorenson Holdings, LLC (11)",10/31/21,Consumer Goods – Durable,68,68,
83,Tibco Software Inc. (11),12/1/21,High Tech Industries,6984,7001,
84,"U.S. Security Associates Holdings, Inc.",7/28/18,Business Services,135000,136350,
85,UniTek Global Services Inc.,7/13/19,Telecommunications,6814,6814,
86,TOTAL UNSECURED DEBT,302666.0,295679,,,
87,TOTAL CORPORATE DEBT,2111508.0,1951290,,,
88,STRUCTURED PRODUCTS AND OTHER010.7,,,,,
89,Asset Repackaging Trust Six B.V. (11)(17)(19),5/18/27,Utilities – Electric,58411.0,33294,
90,"Craft 2013-1, Credit-Linked Note (11)(16)(17)",4/17/22,"Diversified Investment Vehicles, Banking, Finance, Real Estate",25000,24259,
91,"Craft 2013-1, Credit-Linked Note (16)(17)",4/17/22,"Diversified Investment Vehicles, Banking, Finance, Real Estate",7625,7402,
92,"Craft 2014-1A, Credit-Linked Note (11)(17)",5/15/21,"Diversified Investment Vehicles, Banking, Finance, Real Estate",42500,41516,
93,"APOLLO INVESTMENT CORPORATION  SCHEDULE OF INVESTMENTS (unaudited) (continued)  September 30, 2015  (in thousands, except share data)",,,,,
94,STRUCTURED PRODUCTS AND OTHER010.7 (continued),,,,,
95,"Craft 2015-2, Credit-Linked Note (11)(17)",1/16/24,"Diversified Investment Vehicles, Banking, Finance, Real Estate",26000.0,24797,
96,"Dark Castle Holdings, LLC",Media – Diversified & Production,24395,1189,,
97,"JP Morgan Chase & Co., Credit-Linked Note (17)",12/20/21,"Diversified Investment Vehicles, Banking, Finance, Real Estate",43250,42506,
98,"NXT Capital CLO 2014-1, LLC, Class E Notes (11)(17)",4/23/26,"Diversified Investment Vehicles, Banking, Finance, Real Estate",5000,4462,
99,"Renaissance Umiat, LLC, ACES Tax Receivable (15)(17)",Energy – Oil & Gas,0,15296,,
100,TOTAL STRUCTURED PRODUCTS AND OTHER,189281.0,195742,,,
101,PREFERRED EQUITY01.6,,,,,
102,"CA Holding, Inc. (Collect America, Ltd.), Series A Preferred Stock (13)(17)","Diversified Investment Vehicles, Banking, Finance, Real Estate",32961,788,,
103,"Crowley Holdings, Series A Preferred Stock (11)","Transportation – Cargo, Distribution",22500,23310,,
104,"Gryphon Colleges Corp. (Delta Educational Systems, Inc.), Preferred Stock (Convertible) (13)(14)",Education,332500,6863,,
105,"Gryphon Colleges Corp. (Delta Educational Systems, Inc.), Preferred Stock (13)(14)",5/12/18,Education,12360,138,
106,"Varietal Distribution Holdings, LLC, Class A Preferred Unit","Transportation – Cargo, Distribution",3097,4842,,
107,TOTAL PREFERRED EQUITY,63488.0,28692,,,
108,"APOLLO INVESTMENT CORPORATION  SCHEDULE OF INVESTMENTS (unaudited) (continued)  September 30, 2015  (in thousands, except share data)",,,,,
109,EQUITY01.2,,,,,
110,Common Equity/Interests01.0,Shares,,,,
111,"ATD Corporation (Accelerate Parent Corp), Common Stock","Transportation – Cargo, Distribution",1664046,1714,,
112,"CA Holding, Inc. (Collect America, Ltd.), Series A Common Stock (13)(17)","Diversified Investment Vehicles, Banking, Finance, Real Estate",25000,2500,,
113,"CA Holding, Inc. (Collect America, Ltd.), Series AA Common Stock (13)(17)","Diversified Investment Vehicles, Banking, Finance, Real Estate",4294,429,,
114,"Caza Petroleum Inc., Net Profits Interest (13)",Energy – Oil & Gas,0,1202,,
115,"Caza Petroleum Inc., Overriding Royalty Interest",Energy – Oil & Gas,0,339,,
116,"Clothesline Holdings, Inc. (Angelica Corporation), Common Stock (13)",Healthcare & Pharmaceuticals,6000,6000,,
117,"Explorer Coinvest, LLC (Booz Allen), Common Stock (17)",Business Services,192,1468,,
118,"Garden Fresh Restaurant Holdings, LLC., Common Stock (13)","Hotel, Gaming, Leisure, Restaurants",50000,5000,,
119,"Gryphon Colleges Corp. (Delta Educational Systems, Inc.), Common Stock (13)",Education,17500,175,,
120,"Pelican Energy, LLC, Net Profits Interest (13)(17)",Energy – Oil & Gas,1098572,1099,,
121,"Skyline Data, News and Analytics LLC, Class A Common Unit (13)",Business Services,4500,4500,,
122,"Sorenson Holdings, LLC, Membership Interests (13)",Consumer Goods – Durable,587,0,,
123,"Univar, Inc., Common Stock (13)",Wholesale,290015,5755,,
124,"Varietal Distribution Holdings, LLC, Class A Common Unit (13)","Transportation – Cargo, Distribution",28028,28,,
125,Total Common Equity/Interests,30209.0,18303,,,
126,"APOLLO INVESTMENT CORPORATION  SCHEDULE OF INVESTMENTS (unaudited) (continued)  September 30, 2015  (in thousands, except warrants)",,,,,
127,Warrants00.2,,,,,
128,"CA Holding, Inc. (Collect America, Ltd.), Common Stock Warrants (13)(17)","Diversified Investment Vehicles, Banking, Finance, Real Estate",12255,8,,
129,"Energy & Exploration Partners, Inc., Common Stock Warrants (13)",Energy – Oil & Gas,60778,2374,,
130,"Fidji Luxco (BC) S.C.A., Common Stock Warrants (2)(13)(17)",High Tech Industries,18113,182,,
131,"Gryphon Colleges Corp. (Delta Educational Systems, Inc.), Class A-1 Preferred Stock Warrants (13)",Education,45947,459,,
132,"Gryphon Colleges Corp. (Delta Educational Systems, Inc.), Class B-1 Preferred Stock Warrants (13)",Education,104314,1043,,
133,"Gryphon Colleges Corp. (Delta Educational Systems, Inc.), Common Stock Warrants (13)",Education,9820,98,,
134,"Osage Exploration & Development, Inc., Common Stock Warrants (13)(17)",Energy – Oil & Gas,1496843,0,,
135,"Spotted Hawk Development, LLC, Common Stock Warrants (13)",Energy – Oil & Gas,54545,852,,
136,Total Warrants,5016.0,4327,,,
137,TOTAL EQUITY,35225.0,22630,,,
138,Total Investments in Non-Controlled/ Non-Affiliated Investments,2399503.0,2198354,,,
