,INVESTMENTS IN NON-CONTROLLED/NON-AFFILIATED INVESTMENTS0136.8,Maturity Date,Industry,Par Amount*,Fair  Value (1),
65,"Sprint Industrial Holdings, LLC",11/14/19,"Containers, Packaging, and Glass",14163,14305,
66,"SquareTwo Financial Corp. (Collect America, Ltd.) ‡",4/1/17,Financial Services,66079,63436,
67,Stadium Management Corp.,2/27/21,Business Services,19900,20248,
68,"TASC, Inc.",5/23/21,Aerospace and Defense,14077,13971,
69,"Tectum Holdings, Inc",3/12/19,Auto Sector,17670,17648,
70,"Transfirst Holdings, Inc.",6/27/18,Financial Services,22500,22669,
71,"TriMark USA, LLC",8/12/19,Distribution,27000,27337,
72,"U.S. Renal Care, Inc. †",1/3/20,Healthcare,11927,12136,
73,"U.S. Renal Care, Inc. †",7/3/20,Healthcare,12120,12302,
74,"Velocity Technology Solutions, Inc.",9/28/20,Business Services,16500,16170,
75,"Vertafore, Inc.",10/27/17,Business Services,50436,51487,
76,"Walter Energy, Inc.  t  ‡",4/1/20,Mining,22554,18823,
77,Winebow Group,1/1/22,"Beverage, Food, and Tobacco",2582,2588,
78,"Xand Operations, LLC",5/13/20,Telecommunications,20000,19800,
79,Total 2nd Lien Secured Debt,1025745,1043053,,,
80,TOTAL SECURED DEBT,1777043,1807705,,,
81,"APOLLO INVESTMENT CORPORATION  SCHEDULE OF INVESTMENTS (unaudited) (continued)  June 30, 2014  (in thousands, except shares)",,,,,
82,UNSECURED DEBT038.2,,,,,
83,"American Tire Distributors, Inc.  t  †",6/1/18,Distribution,25000.0,25500,
84,"American Tire Distributors, Inc. †",6/1/18,Distribution,40000,40800,
85,Artsonig Pty Ltd.  t  ‡,4/1/19,Transportation,20000,19900,
86,BCA Osprey II Limited (British Car Auctions) †‡,8/17/17,Transportation,€,19731,20370
87,BCA Osprey II Limited (British Car Auctions) †‡,8/17/17,Transportation,£,37603,41826
88,Ceridian Corp.  t  †,3/15/21,Diversified Service,34000.0,39334,
89,Ceridian Corp. †,11/15/15,Diversified Service,35800,35830,
90,Ceridian Corp. †,11/15/15,Diversified Service,14420,14432,
91,"Delta Educational Systems, Inc.",5/12/17,Education,22001,21088,
92,Denver Parent Corp. (Venoco)  t,8/15/18,Oil and Gas,15000,14512,
93,"Energy & Exploration Partners, Inc. †",4/8/18,Oil and Gas,25000,23750,
94,"Energy & Exploration Partners, Inc. †",12/12/18,Oil and Gas,4464,4241,
95,"Energy & Exploration Partners, Inc. †",12/12/18,Oil and Gas,2679,2545,
96,"Energy & Exploration Partners, Inc. †",3/27/19,Oil and Gas,8036,7634,
97,First Data Corp.,1/15/21,Financial Services,67000,78348,
98,"inVentiv Health, Inc.  t",8/15/18,Healthcare,65250,62069,
99,"My Alarm Center, LLC",7/9/18,Business Services,4145,4145,
100,Niacet Corporation,8/28/18,Chemicals,12500,12625,
101,PetroBakken Energy Ltd.  t  ‡,2/1/20,Oil and Gas,44045,46412,
102,"Radio One, Inc.  t  ‡",2/15/20,Broadcasting & Entertainment,14804,16155,
103,"Sorenson Communications Holdings, LLC  t",10/31/21,Consumer Products,68,63,
104,"Symbion, Inc.",8/23/15,Healthcare,8488,8555,
105,"U.S. Security Associates Holdings, Inc.",7/28/18,Business Services,135000,137570,
106,"Univar, Inc.",6/30/18,Distribution,20000,20000,
107,Varietal Distribution  t  †,6/30/17,Distribution,22204,22204,
108,Varietal Distribution  t  †,6/30/17,Distribution,€,15086,15846
109,"Venoco, Inc.",2/15/19,Oil and Gas,55824.0,54638,
110,TOTAL UNSECURED DEBT,763203,790392,,,
111,TOTAL CORPORATE DEBT,2540246,2598097,,,
112,STRUCTURED PRODUCTS AND OTHER07.0,,,,,
113,"Craft 2013-1, Credit-Linked Note †‡",4/17/22,Diversified Investment Vehicle,25000.0,24553,
114,"Craft 2013-1, Credit-Linked Note †‡",4/17/22,Diversified Investment Vehicle,7625,7541,
115,"Craft 2014-1A, Credit-Linked Note ‡",5/15/21,Diversified Investment Vehicle,38500,37898,
116,"Dark Castle Holdings, LLC",Media,24395,1189,,
117,"JP Morgan Chase & Co., Credit-Linked Note ‡",12/20/21,Diversified Investment Vehicle,43250,43382,
118,"NXT Capital CLO 2014-1, LLC ‡",4/23/26,Diversified Investment Vehicle,5000,4652,
119,"Renaissance Umiat, LLC, ACES Tax Receivable ****‡",Oil and Gas,0,7153,,
120,"Renaissance Umiat, LLC, ACES Tax Receivable ****‡",Oil and Gas,0,16967,,
121,TOTAL STRUCTURED PRODUCTS AND OTHER,144109,145691,,,
122,"APOLLO INVESTMENT CORPORATION  SCHEDULE OF INVESTMENTS (unaudited) (continued)  June 30, 2014  (in thousands, except shares)",,,,,
123,PREFERRED EQUITY02.0,,,,,
124,"CA Holding, Inc. (Collect America, Ltd.), Series A Preferred Stock ‡",Financial Services,7961,788,,
125,"Crowley Holdings, Series A Preferred Stock",Cargo Transport,22500,22736,,
126,"Gryphon Colleges Corp. (Delta Educational Systems, Inc.), Preferred Stock (Convertible) ***",Education,332500,6863,,
127,"Gryphon Colleges Corp. (Delta Educational Systems, Inc.), Preferred Stock ***",Education,12360,27686,,
128,"Varietal Distribution Holdings, LLC, Class A Preferred Unit",Distribution,3097,5393,,
129,TOTAL PREFERRED EQUITY,63466,41294,,,
130,EQUITY02.2,,,,,
131,Common Equity/Interests01.7,,,,,
132,"AHC Mezzanine, LLC (Advanstar), Common Stock **",Media,25016,1063,,
133,"ATD Corporation (Accelerate Parent Corp.), Common Stock **",Distribution,3225514,3276,,
134,"CA Holding, Inc. (Collect America, Ltd.), Series A Common Stock **‡",Financial Services,25000,2500,,
135,"CA Holding, Inc. (Collect America, Ltd.), Series AA Common Stock **‡",Financial Services,4294,429,,
136,"Caza Petroleum, Inc., Net Profits Interest **",Oil and Gas,0,1202,,
137,"Caza Petroleum, Inc., Overriding Royalty Interest **",Oil and Gas,0,339,,
138,"Clothesline Holdings, Inc. (Angelica Corporation), Common Stock **",Healthcare,6000,6000,,
139,"Explorer Coinvest, LLC (Booz Allen), Common Stock **‡",Business Services,295159,2259,,
140,"Garden Fresh Restaurant Holdings, LLC., Common Stock **",Restaurants,50000,5000,,
141,"Gryphon Colleges Corp. (Delta Educational Systems, Inc.), Common Stock **",Education,17500,175,,
142,"GS Prysmian Co-Invest L.P. (Prysmian Cables & Systems), Limited Partnership (2)(3)**‡",Manufacturing,0,0,,
143,"JV Note Holdco, LLC (DSI Renal, Inc.), Common Equity / Interest **",Healthcare,9303,85,,
144,"Pelican Energy, LLC, Net Profit Interest **‡",Oil and Gas,941633,942,,
145,"RC Coinvestment, LLC (Ranpak Corp.), Common Stock **",Packaging,50000,5000,,
146,"Sorenson Communications Holdings, LLC, Class A Common Stock **",Consumer Products,587,0,,
147,"Univar, Inc., Common Stock **",Distribution,900000,9000,,
148,"Varietal Distribution Holdings, LLC, Class A Common Unit **",Distribution,28028,28,,
149,Total Common Equity/Interests,37298,35090,,,
150,"APOLLO INVESTMENT CORPORATION  SCHEDULE OF INVESTMENTS (unaudited) (continued)  June 30, 2014  (in thousands, except warrants)",,,,,
151,Warrants00.5,,,,,
152,"CA Holding, Inc. (Collect America, Ltd.), Common Stock Warrants **‡",Financial Services,7961,8,,
153,"Energy & Exploration Partners, Inc., Common Stock Warrants **",Oil and Gas,60778,2374,,
154,"Fidji Luxco (BC) S.C.A., Common Stock Warrants (2)**‡",Electronics,18113,182,,
155,"Gryphon Colleges Corp. (Delta Educational Systems, Inc.), Class A-1 Preferred Stock Warrants **",Education,45947,459,,
156,"Gryphon Colleges Corp. (Delta Educational Systems, Inc.), Class B-1 Preferred Stock Warrants **",Education,104314,1043,,
157,"Gryphon Colleges Corp. (Delta Educational Systems, Inc.), Common Stock Warrants **",Education,9820,98,,
158,"Osage Exploration & Development, Inc., Common Stock Warrants **‡",Oil and Gas,1496843,0,,
159,"Spotted Hawk Development, LLC, Common Stock Warrants **‡",Oil and Gas,54545,852,,
160,Total Warrants,5016,9455,,,
161,TOTAL EQUITY,42314,44545,,,
162,Total Investments in Non-Controlled/ Non-Affiliated Investments,2790135,2829627,,,
