,Industry/Company,Industry,Par_Shares,Cost,Fair_Value
98,"Univar Inc., 10.50%, 6/30/18",Distribution,20000,20000,19940
99,"Varietal Distribution, 10.75%, 6/30/17 †   ̈",Distribution,11574,15104,16090
100,"Varietal Distribution, 10.75%, 6/30/17 †   ̈",Distribution,22204,21871,22804
101,"Wind Acquisition Holdings, 12.25%, 7/15/17   ̈  ‡",Telecommunications,20000,20918,19875
102,STRUCTURED PRODUCTS AND OTHER-3.0%,,,,
103,"Craft CLO Ltd., L+925, 4/17/20 ‡",Diversified  Investment Vehicle,20000,20000,20000
104,"Dark Castle Holdings, LLC",Media,33450,10343,10492
105,"Renaissance Umiat, LLC, ACES, Tax Receivable ** **** ‡",Oil & Gas,-,14844,15073
106,"Westbrook CLO Ltd., Series 2006-1A, Class E, L+370, 12/20/20   ̈  ‡",Diversified  Investment Vehicle,11000,7508,10203
108,PREFERRED EQUITY-0.7%,,,,
109,"CA Holding, Inc. (Collect America, Ltd.) Series A ** ‡",Financial Services,7961,788,1592
110,"Gryphon Colleges Corporation (Delta Educational Systems, Inc.), 13.50% PIK, ***",Education,12360,27686,8707
111,"Gryphon Colleges Corporation (Delta Educational Systems, Inc.), 12.50% PIK ***",Education,332500,6863,-
112,"Varietal Distribution Holdings, LLC, Class A, 8.00% PIK",Distribution,3097,5083,2852
113,EQUITY-3.5%,,,,
114,Common Equity/Interests-2.8%,,,,
115,Accelerate Parent Corp. (American Tire Distributors) **,Distribution,3125000,3125,3910
116,"AHC Mezzanine, LLC (Advanstar) **",Media,-,1063,820
117,Altegrity Holding Corp. **,Diversified Service,353399,13797,731
118,"CA Holding, Inc. (Collect America, Ltd.) Series A ** ‡",Financial Services,25000,2500,2245
119,"CA Holding, Inc. (Collect America, Ltd.) Series AA ** ‡",Financial Services,4294,429,859
120,"Caza Petroleum, Inc., Net Profits Interest **",Oil & Gas,-,679,607
121,"Caza Petroleum, Inc., Overriding Royalty Interest **",Oil & Gas,-,191,223
122,"Clothesline Holdings, Inc. (Angelica Corporation) **",Healthcare,6000,6000,3628
123,"Explorer Coinvest, LLC (Booz Allen) ** ‡",Business Services,430,3292,7726
124,"Garden Fresh Restaurant Holding, LLC **",Restaurants,50000,5000,-
125,"Gryphon Colleges Corporation (Delta Educational Systems, Inc.) **",Education,17500,175,-
126,"GS Prysmian Co-Invest L.P. (Prysmian Cables & Systems) (2,3) ** ‡",Manufacturing,-,-,135
127,"JV Note Holdco, LLC (DSI Renal Inc.) **",Healthcare,9303,85,-
128,"Pelican Energy, LLC, Net Profits Interest ** ‡",Oil & Gas,-,375,293
129,"Penton Business Media Holdings, LLC **",Printing  &Publishing,124,4950,15000
130,"RC Coinvestment, LLC (Ranpak Corp.) **",Packaging,50000,5000,6311
131,"Sorenson Communications Holdings, LLC, Class A **",Consumer Products,454828,45,290
132,"Univar, Inc. **",Distribution,900000,9000,9570
133,"Varietal Distribution Holdings, LLC, Class A **",Distribution,28028,28,-
135,Warrants-0.7%,,,,
136,"CA Holding, Inc. (Collect America, Ltd.), Common ** ‡",Financial Services,7961,8,-
137,"Energy & Exploration Partners, Inc., Common **",Oil & Gas,48077,2232,2232
138,"Fidji Luxco (BC) S.C.A., Common (FCI) (2) ** ‡",Electronics,24862,250,6101
139,"Gryphon Colleges Corporation (Delta Educational Systems, Inc.), Common **",Education,9820,98,-
140,"Gryphon Colleges Corporation (Delta Educational Systems, Inc.), Class A-1 Preferred **",Education,45947,459,-
141,"Gryphon Colleges Corporation (Delta Educational Systems, Inc.), Class B-1 Preferred **",Education,104314,1043,-
142,"Osage Exploration & Development, Inc., Common ** ‡",Oil & Gas,1496843,-,1458
143,"Spotted Hawk Development LLC, Common ** ‡",Oil & Gas,54545,852,2733
