,Company,Business Description,Investment,Interest,Acquisition Date,Amortized Cost,Fair Value
53,"Acrisure, LLC, Acrisure Investors FO, LLC and Acrisure Investors SO, LLC (22)",Retail insurance advisor and brokerage,Second lien senior secured loan ($4.4 par due 11/2024),10.54% (Libor + 9.25%/Q),5/10/2017,4.4,4.4
54,"Acrisure, LLC, Acrisure Investors FO, LLC and Acrisure Investors SO, LLC (22)",Retail insurance advisor and brokerage,Second lien senior secured loan ($9.7 par due 11/2024),10.55% (Libor + 9.25%/Q),11/22/2016,9.7,9.7
55,"Acrisure, LLC, Acrisure Investors FO, LLC and Acrisure Investors SO, LLC (22)",Retail insurance advisor and brokerage,Second lien senior secured loan ($88.6 par due 11/2024),10.55% (Libor + 9.25%/Q),11/22/2016,88.6,88.6
56,"Acrisure, LLC, Acrisure Investors FO, LLC and Acrisure Investors SO, LLC (22)",Retail insurance advisor and brokerage,Second lien senior secured loan ($15.0 par due 11/2024),10.55% (Libor + 9.25%/Q),5/10/2017,15.0,15.0
57,"Acrisure, LLC, Acrisure Investors FO, LLC and Acrisure Investors SO, LLC (22)",Retail insurance advisor and brokerage,"Membership interests (8,502,697 units)",0,11/18/2016,10.8,10.8
58,"Acrisure, LLC, Acrisure Investors FO, LLC and Acrisure Investors SO, LLC (22)",Retail insurance advisor and brokerage,"Membership interests (2,125,674 units)",0,11/18/2016,2.7,2.7
59,"BeyondTrust Software, Inc. (22)",Management software solutions provider,First lien senior secured loan ($29.4 par due 9/2019),8.00% (Libor + 7.00%/Q),1/3/2017,29.1,28.6
60,"BluePay Processing, LLC",Payment processing solutions provider,Second lien senior secured loan ($32.8 par due 8/2022),9.67% (Libor + 8.50%/Q),1/3/2017,32.8,32.8
61,Brandtone Holdings Limited (9),Mobile communications and marketing services provider,First lien senior secured loan ($4.7 par due 11/2018),0,5/11/2015,4.5,0.0
62,Brandtone Holdings Limited (9),Mobile communications and marketing services provider,First lien senior secured loan ($3.1 par due 2/2019),0,5/11/2015,2.9,0.0
63,Brandtone Holdings Limited (9),Mobile communications and marketing services provider,"Warrant to purchase up to 184,003 units of convertible preferred shares (expires 8/2026)",0,5/11/2015,0.0,0.0
64,"CallMiner, Inc.",Provider of cloud-based conversational analytics solutions,Second lien senior secured loan ($1.3 par due 5/2018),10.70% (Libor + 9.50%/M),7/23/2014,1.3,1.3
65,"CallMiner, Inc.",Provider of cloud-based conversational analytics solutions,Second lien senior secured loan ($0.8 par due 8/2018),10.70% (Libor + 9.50%/M),7/23/2014,0.8,0.8
66,"CallMiner, Inc.",Provider of cloud-based conversational analytics solutions,"Warrant to purchase up to 2,350,636 shares of Series 1 preferred stock (expires 7/2024)",0,7/23/2014,0.0,0.0
67,"Cast & Crew Payroll, LLC",Payroll and accounting services provider to the entertainment industry,Second lien senior secured loan ($26.7 par due 8/2023),9.05% (Libor + 7.75%/Q),1/3/2017,26.7,26.7
68,"Clearwater Analytics, LLC (22)","Provider of integrated cloud-based investment portfolio management, accounting, reporting and analytics software",First lien senior secured revolving loan ($0.6 par due 9/2022),8.72% (Libor + 7.50%/Q),9/1/2016,0.6,0.6
69,"CMW Parent LLC (fka Black Arrow, Inc.)",Multiplatform media firm,Series A units (32 units),0,9/11/2015,0.0,0.0
70,"Columbo Midco Limited, Columbo Bidco Limited and Columbo Topco Limited (8)(9)","Compliance, accounting and tax consulting services provider","Preferred stock (34,028,135 shares)",0,1/3/2017,2.3,6.3
71,"Columbo Midco Limited, Columbo Bidco Limited and Columbo Topco Limited (8)(9)","Compliance, accounting and tax consulting services provider","Preferred stock (17,653,253 shares)",0,1/3/2017,21.6,24.3
72,"Columbo Midco Limited, Columbo Bidco Limited and Columbo Topco Limited (8)(9)","Compliance, accounting and tax consulting services provider","Preferred stock (3,232,666 shares)",0,1/3/2017,4.0,4.4
73,"Command Alkon, Incorporated and CA Note Issuer, LLC",Software solutions provider to the ready-mix concrete industry,Second lien senior secured loan ($10.0 par due 8/2020),9.48% (Libor + 8.25%/Q),9/28/2012,10.0,10.0
74,"Command Alkon, Incorporated and CA Note Issuer, LLC",Software solutions provider to the ready-mix concrete industry,Second lien senior secured loan ($11.5 par due 8/2020),9.37% (Libor + 8.25%/Q),9/28/2012,11.5,11.5
75,"Command Alkon, Incorporated and CA Note Issuer, LLC",Software solutions provider to the ready-mix concrete industry,Second lien senior secured loan ($26.5 par due 8/2020),9.48% (Libor + 8.25%/Q),9/28/2012,26.5,26.5
76,"Command Alkon, Incorporated and CA Note Issuer, LLC",Software solutions provider to the ready-mix concrete industry,Senior subordinated loan ($25.0 par due 8/2021),14.00% PIK,8/8/2014,25.0,25.0
77,"Compusearch Software Systems, Inc.",Provider of enterprise software and services for organizations in the public sector,Second lien senior secured loan ($51.0 par due 11/2021),9.93% (Libor + 8.75%/Q),1/3/2017,51.0,51.0
78,"Compuware Parent, LLC",Web and mobile cloud performance testing and monitoring services provider,"Class A-1 common stock (4,132 units)",0,12/15/2014,2.3,1.8
79,"Compuware Parent, LLC",Web and mobile cloud performance testing and monitoring services provider,"Class B-1 common stock (4,132 units)",0,12/15/2014,0.5,0.4
80,"Compuware Parent, LLC",Web and mobile cloud performance testing and monitoring services provider,"Class C-1 common stock (4,132 units)",0,12/15/2014,0.3,0.2
81,"Compuware Parent, LLC",Web and mobile cloud performance testing and monitoring services provider,"Class A-2 common stock (4,132 units)",0,12/15/2014,0.0,0.0
82,"Compuware Parent, LLC",Web and mobile cloud performance testing and monitoring services provider,"Class B-2 common stock (4,132 units)",0,12/15/2014,0.0,0.0
83,"Compuware Parent, LLC",Web and mobile cloud performance testing and monitoring services provider,"Class C-2 common stock (4,132 units)",0,12/15/2014,0.0,0.0
84,Convergint Technologies LLC (22),"Integrated services provider for security, fire and life safety",Second lien senior secured loan ($11.0 par due 12/2020),9.82% (Libor + 8.50%/Q),1/3/2017,11.0,11.0
85,Convergint Technologies LLC (22),"Integrated services provider for security, fire and life safety",Second lien senior secured loan ($6.0 par due 12/2020),9.91% (Libor + 8.50%/Q),1/3/2017,6.0,6.0
86,Convergint Technologies LLC (22),"Integrated services provider for security, fire and life safety",Second lien senior secured loan ($11.0 par due 12/2020),9.92% (Libor + 8.50%/Q),1/3/2017,11.0,11.0
87,Convergint Technologies LLC (22),"Integrated services provider for security, fire and life safety",Second lien senior secured loan ($75.0 par due 12/2020),9.43% (Libor + 8.00%/Q),1/3/2017,75.0,75.0
88,"Datapipe, Inc.",Data center provider,Second lien senior secured loan ($29.5 par due 9/2019),9.17% (Libor + 8.00%/Q),1/3/2017,28.5,28.6
89,"Directworks, Inc. and Co-Exprise Holdings, Inc.",Provider of cloud-based software solutions for direct materials sourcing and supplier management for manufacturers,First lien senior secured loan ($1.9 par due 4/2018),10.25% (Libor + 9.25%/M),12/19/2014,1.9,1.7
90,"Directworks, Inc. and Co-Exprise Holdings, Inc.",Provider of cloud-based software solutions for direct materials sourcing and supplier management for manufacturers,"Warrant to purchase up to 1,875,000 shares of Series 1 preferred stock (expires 12/2024)",0,12/19/2014,0.0,0.0
91,"DTI Holdco, Inc. and OPE DTI Holdings, Inc. (22)",Provider of legal process outsourcing and managed services,First lien senior secured loan ($4.1 par due 9/2023),6.42% (Libor + 5.25%/Q),9/23/2016,4.1,4.1
92,"DTI Holdco, Inc. and OPE DTI Holdings, Inc. (22)",Provider of legal process outsourcing and managed services,"Class A common stock (7,500 shares)",0,8/19/2014,7.5,6.8
93,"DTI Holdco, Inc. and OPE DTI Holdings, Inc. (22)",Provider of legal process outsourcing and managed services,"Class B common stock (7,500 shares)",0,8/19/2014,0.0,0.0
94,"Emergency Communications Network, LLC (22)",Provider of mission critical emergency mass notification solutions,First lien senior secured loan ($61.2 par due 6/2023),7.30% (Libor + 6.25%/Q),6/1/2017,60.7,60.6
95,"Entertainment Partners, LLC and Entertainment Partners Canada Inc. (22)",Provider of entertainment workforce and production management solutions,First lien senior secured loan ($7.7 par due 5/2022),6.50% (Libor + 5.50%/Q),5/8/2017,7.3,7.6
96,"Entertainment Partners, LLC and Entertainment Partners Canada Inc. (22)",Provider of entertainment workforce and production management solutions,First lien senior secured loan ($12.8 par due 5/2023),6.81% (Libor + 5.75%/Q),5/8/2017,12.8,12.7
97,"Entertainment Partners, LLC and Entertainment Partners Canada Inc. (22)",Provider of entertainment workforce and production management solutions,First lien senior secured loan ($15.2 par due 5/2023),6.81% (Libor + 5.75%/Q),5/8/2017,15.2,15.1
98,"Entertainment Partners, LLC and Entertainment Partners Canada Inc. (22)",Provider of entertainment workforce and production management solutions,First lien senior secured loan ($14.6 par due 5/2023),6.93% (Libor + 5.75%/Q),5/8/2017,14.6,14.5
99,"Entertainment Partners, LLC and Entertainment Partners Canada Inc. (22)",Provider of entertainment workforce and production management solutions,First lien senior secured loan ($17.4 par due 5/2023),6.93% (Libor + 5.75%/Q),5/8/2017,17.4,17.2
100,"Entertainment Partners, LLC and Entertainment Partners Canada Inc. (22)",Provider of entertainment workforce and production management solutions,First lien senior secured loan ($14.6 par due 5/2023),7.19% (Libor + 5.75%/Q),5/8/2017,14.6,14.5
101,"Entertainment Partners, LLC and Entertainment Partners Canada Inc. (22)",Provider of entertainment workforce and production management solutions,First lien senior secured loan ($17.4 par due 5/2023),7.19% (Libor + 5.75%/Q),5/8/2017,17.4,17.2
102,"EN Engineering, L.L.C. (22)","National utility services firm providing engineering and consulting services to natural gas, electric power and other energy and industrial end markets",First lien senior secured revolving loan,0,6/30/2015,0.0,0.0
103,"Faction Holdings, Inc. and The Faction Group LLC (fka PeakColo Holdings, Inc.) (22)",Wholesaler of cloud-based software applications and services,First lien senior secured loan ($8.0 par due 1/2021),10.41% (Libor + 9.25%/M),1/6/2017,8.0,8.0
104,"Faction Holdings, Inc. and The Faction Group LLC (fka PeakColo Holdings, Inc.) (22)",Wholesaler of cloud-based software applications and services,"Warrant to purchase up to 5,185 shares of Series A preferred stock (expires 1/2027)",0,1/6/2017,0.0,0.2
105,"Faction Holdings, Inc. and The Faction Group LLC (fka PeakColo Holdings, Inc.) (22)",Wholesaler of cloud-based software applications and services,"Warrant to purchase up to 1,481 shares of Series A preferred stock (expires 12/2025)",0,12/3/2015,0.0,0.1
106,"Faction Holdings, Inc. and The Faction Group LLC (fka PeakColo Holdings, Inc.) (22)",Wholesaler of cloud-based software applications and services,"Warrant to purchase up to 2,037 shares of Series A preferred stock (expires 11/2024)",0,11/3/2014,0.1,0.1
107,"First Insight, Inc.",Software company providing merchandising and pricing solutions to companies worldwide,"Warrant to purchase up to 122,827 units of Series C preferred stock (expires 3/2024)",0,3/20/2014,0.0,0.0
108,Flexera Software LLC,"Provider of software and software applications that manages application usage, compliance and security risk",Second lien senior secured loan ($5.0 par due 4/2021),8.30% (Libor + 7.00%/Q),1/3/2017,4.8,5.0
109,"GTCR Valor Companies, Inc.",Public relations software as service provider,Second lien senior secured loan ($100.0 par due 6/2024),10.69% (Libor + 9.50%/Q),1/3/2017,98.1,100.0
110,IfByPhone Inc.,Voice-based marketing automation software provider,"Warrant to purchase up to 124,300 shares of Series C preferred stock (expires 10/2022)",0,10/15/2012,0.1,0.1
111,"Infogix, Inc. and Infogix Parent Corporation",Enterprise data analytics and integrity software solutions provider,First lien senior secured loan ($54.6 par due 12/2021),7.80% (Libor + 6.50%/Q),1/3/2017,54.6,54.6
112,"Infogix, Inc. and Infogix Parent Corporation",Enterprise data analytics and integrity software solutions provider,First lien senior secured loan ($34.9 par due 12/2021),7.80% (Libor + 6.50%/Q),1/3/2017,34.9,34.9
113,"Infogix, Inc. and Infogix Parent Corporation",Enterprise data analytics and integrity software solutions provider,"Series A preferred stock (2,475 shares)",0,1/3/2017,2.5,2.8
114,"Infogix, Inc. and Infogix Parent Corporation",Enterprise data analytics and integrity software solutions provider,"Common stock (1,297,768 shares)",0,1/3/2017,0.0,1.7
115,"Inmar, Inc.","Technology-driven solutions provider for retailers, wholesalers and manufacturers",Second lien senior secured loan ($28.3 par due 5/2025),11.25% (Base Rate + 7.00%/Q),4/25/2017,27.9,27.9
116,Interactions Corporation,Developer of a speech recognition software based customer interaction system,Second lien senior secured loan ($5.9 par due 3/2021),9.85% (Libor + 8.60%/M),6/16/2015,5.8,5.9
117,Interactions Corporation,Developer of a speech recognition software based customer interaction system,Second lien senior secured loan ($19.1 par due 3/2021),9.85% (Libor + 8.60%/M),6/16/2015,18.9,19.2
118,Interactions Corporation,Developer of a speech recognition software based customer interaction system,"Warrant to purchase up to 68,187 shares of Series G-3 convertible preferred stock (expires 6/2022)",0,6/16/2015,0.3,0.3
119,"InterVision Systems, LLC and InterVision Holdings, LLC","Provider of cloud based IT solutions, infrastructure and services",First lien senior secured loan ($32.5 par due 5/2022),10.06% (Libor + 8.65%/Q),5/31/2017,32.5,32.5
120,"InterVision Systems, LLC and InterVision Holdings, LLC","Provider of cloud based IT solutions, infrastructure and services","Class A membership units (1,000 units)",0,5/31/2017,1.0,1.0
121,"iParadigms Holdings, LLC",Anti-plagiarism software provider to the education market,Second lien senior secured loan ($39.5 par due 7/2022),8.55% (Libor + 7.25%/Q),1/3/2017,38.8,38.7
122,"iPipeline, Inc., Internet Pipeline, Inc. and iPipeline Holdings, Inc. (22)",Provider of SaaS-based software solutions to the insurance and financial services industry,First lien senior secured loan ($6.7 par due 8/2022),7.42% (Libor + 6.25%/Q),6/15/2017,6.7,6.7
123,"iPipeline, Inc., Internet Pipeline, Inc. and iPipeline Holdings, Inc. (22)",Provider of SaaS-based software solutions to the insurance and financial services industry,First lien senior secured loan ($46.4 par due 8/2022),8.48% (Libor + 7.25%/Q),8/4/2015,46.4,46.4
124,"iPipeline, Inc., Internet Pipeline, Inc. and iPipeline Holdings, Inc. (22)",Provider of SaaS-based software solutions to the insurance and financial services industry,First lien senior secured loan ($14.7 par due 8/2022),8.48% (Libor + 7.25%/Q),8/4/2015,14.7,14.7
125,"iPipeline, Inc., Internet Pipeline, Inc. and iPipeline Holdings, Inc. (22)",Provider of SaaS-based software solutions to the insurance and financial services industry,"Preferred stock (1,100 shares)",0,8/4/2015,1.1,2.9
126,"iPipeline, Inc., Internet Pipeline, Inc. and iPipeline Holdings, Inc. (22)",Provider of SaaS-based software solutions to the insurance and financial services industry,"Common stock (668,781 shares)",0,8/4/2015,0.0,0.0
127,IQMS,Provider of enterprise resource planning and manufacturing execution software for small and midsized manufacturers,First lien senior secured loan ($27.8 par due 3/2022),9.48% (Libor + 8.25%/Q),3/28/2017,27.8,27.8
128,IQMS,Provider of enterprise resource planning and manufacturing execution software for small and midsized manufacturers,First lien senior secured loan ($10.0 par due 3/2022),9.48% (Libor + 8.25%/Q),3/28/2017,10.0,10.0
129,"Iron Bow Technologies, LLC",Provider and value added reseller of information technology products and solutions,Second lien senior secured loan ($9.9 par due 2/2021),12.80% (Libor + 11.75%/Q),1/3/2017,9.9,9.9
130,"IronPlanet, Inc.",Online auction platform provider for used heavy equipment,"Warrant to purchase to up to 133,333 shares of Series C preferred stock (expires 9/2023)",0,9/23/2013,0.2,0.2
131,"Itel Laboratories, Inc. (22)",Data services provider for building materials to property insurance industry,"Preferred units (1,798,391 units)",0,6/29/2012,1.0,1.6
132,LLSC Holdings Corporation (dba Lawrence Merchandising Services) (8),Marketing services provider,"Series A preferred stock (9,000 shares)",0,1/3/2017,19.2,20.6
133,LLSC Holdings Corporation (dba Lawrence Merchandising Services) (8),Marketing services provider,"Common stock (1,000 shares)",0,1/3/2017,0.0,0.0
134,LLSC Holdings Corporation (dba Lawrence Merchandising Services) (8),Marketing services provider,Warrant to purchase up to 675 shares of common stock (expires 9/2017),0,1/3/2017,0.0,0.0
135,Miles 33 (Finance) Limited (8)(9),Software provider to the regional media industry and magazines,First lien senior secured loan ($1.6 par due 9/2018),6.75% (Libor + 6.50%/Q),1/3/2017,1.5,1.6
136,Miles 33 (Finance) Limited (8)(9),Software provider to the regional media industry and magazines,First lien senior secured loan ($3.9 par due 9/2018),6.75% (Libor + 6.50%/Q),1/3/2017,3.7,3.9
137,Miles 33 (Finance) Limited (8)(9),Software provider to the regional media industry and magazines,Senior subordinated loan ($16.3 par due 9/2021),4.75% (Libor + 4.50%/Q),1/3/2017,9.5,16.0
138,Miles 33 (Finance) Limited (8)(9),Software provider to the regional media industry and magazines,"Preferred stock (19,500,000 shares)",0,1/3/2017,0.0,0.0
139,Miles 33 (Finance) Limited (8)(9),Software provider to the regional media industry and magazines,"Preferred stock (900,000 shares)",0,1/3/2017,0.0,0.0
140,Miles 33 (Finance) Limited (8)(9),Software provider to the regional media industry and magazines,"Common stock (600,000 shares)",0,1/3/2017,0.0,0.0
141,"Ministry Brands, LLC and MB Parent HoldCo, L.P. (22)",Software and payment services provider to faith-based institutions,First lien senior secured loan ($6.5 par due 12/2022),6.23% (Libor + 5.00%/Q),4/6/2017,6.5,6.5
142,"Ministry Brands, LLC and MB Parent HoldCo, L.P. (22)",Software and payment services provider to faith-based institutions,First lien senior secured loan ($16.7 par due 12/2022),6.23% (Libor + 5.00%/Q),4/6/2017,16.6,16.7
143,"Ministry Brands, LLC and MB Parent HoldCo, L.P. (22)",Software and payment services provider to faith-based institutions,Second lien senior secured loan ($2.9 par due 6/2023),10.48% (Libor + 9.25%/Q),4/6/2017,2.9,2.9
144,"Ministry Brands, LLC and MB Parent HoldCo, L.P. (22)",Software and payment services provider to faith-based institutions,Second lien senior secured loan ($9.2 par due 6/2023),10.48% (Libor + 9.25%/Q),4/6/2017,9.2,9.2
145,"Ministry Brands, LLC and MB Parent HoldCo, L.P. (22)",Software and payment services provider to faith-based institutions,Second lien senior secured loan ($16.6 par due 6/2023),10.48% (Libor + 9.25%/Q),12/2/2016,16.6,16.6
146,"Ministry Brands, LLC and MB Parent HoldCo, L.P. (22)",Software and payment services provider to faith-based institutions,Second lien senior secured loan ($90.0 par due 6/2023),10.48% (Libor + 9.25%/Q),12/2/2016,89.3,90.0
147,"Ministry Brands, LLC and MB Parent HoldCo, L.P. (22)",Software and payment services provider to faith-based institutions,"Class A units (500,000 units)",0,12/2/2016,5.0,6.8
148,"Mitchell International, Inc.",Provider of mission-critical software and solutions to the property and casualty claims industry,Second lien senior secured loan ($17.0 par due 10/2021),8.67% (Libor + 7.50%/Q),1/3/2017,17.0,17.0
149,"MVL Group, Inc. (8)",Marketing research provider,Senior subordinated loan ($0.5 par due 7/2012),0,4/1/2010,0.2,0.2
150,"MVL Group, Inc. (8)",Marketing research provider,"Common stock (560,716 shares)",0,4/1/2010,0.0,0.0
151,"NAS, LLC, Nationwide Marketing Group, LLC and Nationwide Administrative Services, Inc.","Buying and marketing services organization for appliance, furniture and consumer electronics dealers",Second lien senior secured loan ($24.1 par due 12/2021),9.80% (Libor + 8.75%/Q),6/1/2015,24.1,23.6
152,"Novetta Solutions, LLC","Provider of advanced analytics solutions for the government, defense and commercial industries",First lien senior secured loan ($12.8 par due 10/2022),6.30% (Libor + 5.00%/Q),1/3/2017,12.3,12.3
153,"Novetta Solutions, LLC","Provider of advanced analytics solutions for the government, defense and commercial industries",Second lien senior secured loan ($31.0 par due 10/2023),9.80% (Libor + 8.50%/Q),1/3/2017,28.4,28.2
154,Palermo Finance Corporation (22),"Provider of mission-critical integrated public safety software and services to local, state, and federal agencies",First lien senior secured revolving loan,0,4/17/2017,0.0,0.0
155,Palermo Finance Corporation (22),"Provider of mission-critical integrated public safety software and services to local, state, and federal agencies",First lien senior secured loan ($14.1 par due 4/2023),5.66% (Libor + 4.50%/Q),4/17/2017,13.9,13.9
156,Palermo Finance Corporation (22),"Provider of mission-critical integrated public safety software and services to local, state, and federal agencies",Second lien senior secured loan ($54.3 par due 10/2023),9.66% (Libor + 8.50%/Q),4/17/2017,54.3,54.3
157,"Park Place Technologies, LLC",Provider of third party hardware maintenance and support services for IT data centers,Second lien senior secured loan ($41.5 par due 12/2022),10.22% (Libor + 9.00%/Q),1/3/2017,41.5,41.5
158,"PayNearMe, Inc.",Electronic cash payment system provider,"Warrant to purchase up to 195,726 shares of Series E preferred stock (expires 3/2023)",0,3/11/2016,0.2,0.0
