,Industry,Company,Business Description,Investment,Interest,Acquisition Date,Amortized Cost,Fair Value
65,Healthcare-Services,"Young Innovations, Inc.",Dental supplier and equipment manufacturer,"Senior secured loan ($14,423 par due 1/2019)",5.75% (Libor + 4.50%/Q),1/31/2013,14423,14423
66,Healthcare-Services,"Young Innovations, Inc.",Dental supplier and equipment manufacturer,"Senior secured loan ($21,291 par due 1/2019)",5.75% (Libor + 4.50%/Q),1/31/2013,21291,21291
67,Healthcare-Services,"Young Innovations, Inc.",Dental supplier and equipment manufacturer,,,,963352,963126
68,Education,"American Academy Holdings, LLC","Provider of education, training, certification, networking, and consulting services to medical coders and other healthcare professionals","Senior secured revolving loan ($4,850 par due 3/2019)",6.00% (Libor + 5.00%/Q),3/18/2011,4850,4850
69,Education,"American Academy Holdings, LLC","Provider of education, training, certification, networking, and consulting services to medical coders and other healthcare professionals","Senior secured loan ($7,781 par due 3/2019)",6.00% (Libor + 5.00%/Q),3/18/2011,7781,7781
70,Education,"American Academy Holdings, LLC","Provider of education, training, certification, networking, and consulting services to medical coders and other healthcare professionals","Senior secured loan ($60,600 par due 3/2019)",6.00% (Libor + 5.00%/Q),3/18/2011,60600,60600
71,Education,"American Academy Holdings, LLC","Provider of education, training, certification, networking, and consulting services to medical coders and other healthcare professionals","Senior secured loan ($4,759 par due 3/2019)",6.00% (Libor + 5.00%/Q),3/18/2011,4759,4759
72,Education,"American Academy Holdings, LLC","Provider of education, training, certification, networking, and consulting services to medical coders and other healthcare professionals","Senior secured loan ($10,306 par due 3/2019)",6.00% (Libor + 5.00%/Q),3/18/2011,10306,10306
73,Education,"American Academy Holdings, LLC","Provider of education, training, certification, networking, and consulting services to medical coders and other healthcare professionals","Senior secured loan ($5,970 par due 3/2019)",6.00% (Libor + 5.00%/Q),3/18/2011,5970,5970
74,Education,Campus Management Corp. and Campus Management Acquisition Corp. (6),Education software developer,"Preferred stock (485,159 shares)",,2/8/2008,10520,2044
75,Education,"Community Education Centers, Inc.",Offender re-entry and in-prison treatment services provider,"Senior secured loan ($14,643 par due 12/2014)",6.25% (Libor + 5.25%/Q),12/10/2010,14643,14643
76,Education,"Community Education Centers, Inc.",Offender re-entry and in-prison treatment services provider,Senior secured loan ($357 par due 12/2014),7.50% (Base Rate + 4.25%/Q),12/10/2010,357,357
77,Education,"Community Education Centers, Inc.",Offender re-entry and in-prison treatment services provider,"Junior secured loan ($10,304 par due 12/2015)","15.27% (Libor + 8.50% Cash, 6.50% PIK/Q)",12/10/2010,10304,9480
78,Education,"Community Education Centers, Inc.",Offender re-entry and in-prison treatment services provider,"Junior secured loan ($34,145 par due 12/2015)","15.28% (Libor + 8.50% Cash, 6.50% PIK/Q)",12/10/2010,34145,31414
79,Education,"Community Education Centers, Inc.",Offender re-entry and in-prison treatment services provider,"Warrants to purchase up to 654,618 shares",,12/10/2010,0,7
80,Education,eInstruction Corporation,"Developer, manufacturer and retailer of educational products","Senior secured loan ($17,000 par due 7/2014)",,4/1/2010,15257,0
81,Education,eInstruction Corporation,"Developer, manufacturer and retailer of educational products","Senior subordinated loan ($34,637 par due 1/2015)",,4/1/2010,24151,0
82,Education,eInstruction Corporation,"Developer, manufacturer and retailer of educational products","Common stock (2,406 shares)",,4/1/2010,926,0
83,Education,"ELC Acquisition Corp., ELC Holdings Corporation, and Excelligence Learning Corporation (6)","Developer, manufacturer and retailer of educational products","Preferred stock (99,492 shares)",12.00% PIK,8/1/2011,11208,12482
84,Education,"ELC Acquisition Corp., ELC Holdings Corporation, and Excelligence Learning Corporation (6)","Developer, manufacturer and retailer of educational products","Common stock (50,800 shares)",,8/1/2011,51,4546
85,Education,"Infilaw Holding, LLC",Operator of for-profit law schools,Senior secured revolving loan,0,8/25/2011,0,0
86,Education,"Infilaw Holding, LLC",Operator of for-profit law schools,Senior secured loan ($1 par due 8/2016),9.50% (Libor + 8.50%/Q),8/25/2011,1,1
87,Education,"Infilaw Holding, LLC",Operator of for-profit law schools,"Senior secured loan ($19,014 par due 8/2016)",9.50% (Libor + 8.50%/Q),8/25/2011,19014,19014
88,Education,"Infilaw Holding, LLC",Operator of for-profit law schools,"Series A preferred units (124,890 units)",9.50% (Libor + 8.50%/Q),8/25/2011,124890,124890
89,Education,"Infilaw Holding, LLC",Operator of for-profit law schools,Series B preferred stock (3.91 units),,10/19/2012,9245,10258
90,Education,"Instituto de Banca y Comercio, Inc.",Private school operator,"Senior secured loan ($15,000 par due 6/2015)",10.50% (Libor + 8.25%/Q),4/24/2013,14966,15000
91,Education,"Instituto de Banca y Comercio, Inc.",Private school operator,"Senior secured loan ($40,062 par due 6/2015)",10.50% (Libor + 8.25%/Q),4/24/2013,39971,40062
92,Education,"Instituto de Banca y Comercio, Inc.",Private school operator,"Series B preferred stock (1,750,000 shares)",,8/5/2010,5000,7695
93,Education,"Instituto de Banca y Comercio, Inc.",Private school operator,"Series C preferred stock (2,512,586 shares)",,6/7/2010,689,0
94,Education,"Instituto de Banca y Comercio, Inc.",Private school operator,Common stock (20 shares),,6/7/2010,0,0
95,Education,"Lakeland Tours, LLC",Educational travel provider,"Senior secured revolving loan ($9,844 par due 12/2016)",5.25% (Libor + 4.25%/Q),10/4/2011,9844,9844
96,Education,"Lakeland Tours, LLC",Educational travel provider,"Senior secured loan ($58,826 par due 12/2016)",9.25% (Libor + 8.25%/Q),10/4/2011,58685,58826
97,Education,"Lakeland Tours, LLC",Educational travel provider,"Senior secured loan ($1,726 par due 12/2016)",5.25% (Libor + 4.25%/Q),10/4/2011,1722,1727
98,Education,"Lakeland Tours, LLC",Educational travel provider,"Senior secured loan ($40,362 par due 12/2016)",9.25% (Libor + 8.25%/Q),10/4/2011,40265,40362
99,Education,"Lakeland Tours, LLC",Educational travel provider,"Senior secured loan ($8,632 par due 12/2016)",5.25% (Libor + 4.25%/Q),10/4/2011,8612,8632
100,Education,"Lakeland Tours, LLC",Educational travel provider,"Common stock (5,000 shares)",,10/4/2011,5000,5112
101,Education,"R3 Education, Inc. and EIC Acquisitions Corp.",Medical school operator,"Preferred stock (8,800 shares)",,7/30/2008,2200,1936
102,Education,"R3 Education, Inc. and EIC Acquisitions Corp.",Medical school operator,Common membership interest (26.27% interest),,9/21/2007,15800,29905
103,Education,"R3 Education, Inc. and EIC Acquisitions Corp.",Medical school operator,"Warrants to purchase up to 27,890 shares",,12/8/2009,0,0
104,Education,"RuffaloCODY, LLC",Provider of student fundraising and enrollment management services,"Senior secured loan ($53,268 par due 5/2019)",5.50% (Libor + 4.25%/Q),5/29/2013,53268,53268
105,Education,"RuffaloCODY, LLC",Provider of student fundraising and enrollment management services,,,,625000,595771
106,Services-Other,Capital Investments and Ventures Corp.,SCUBA diver training and certification provider,"Senior secured loan ($52,586 par due 8/2018)",8.50% (Libor + 7.25%/Q),8/9/2012,52586,52586
107,Services-Other,Capital Investments and Ventures Corp.,SCUBA diver training and certification provider,"Senior secured loan ($9,589 par due 8/2018)",8.50% (Libor + 7.25%/Q),8/9/2012,9589,9589
108,Services-Other,Capital Investments and Ventures Corp.,SCUBA diver training and certification provider,"Senior secured loan ($9,565 par due 8/2018)",8.50% (Libor + 7.25%/Q),8/9/2012,9565,9565
109,Services-Other,"Competitor Group, Inc. and Calera XVI, LLC",Endurance sports media and event operator,"Senior secured revolving loan ($2,850 par due 11/2018)",10.00% (Base Rate + 6.75%/Q),11/30/2012,2850,2707
110,Services-Other,"Competitor Group, Inc. and Calera XVI, LLC",Endurance sports media and event operator,Senior secured revolving loan ($900 par due 11/2018),9.00% (Libor + 7.75%/Q),11/30/2012,900,855
111,Services-Other,"Competitor Group, Inc. and Calera XVI, LLC",Endurance sports media and event operator,"Senior secured loan ($24,377 par due 11/2018)",9.00% (Libor + 7.75%/Q),11/30/2012,24377,23159
112,Services-Other,"Competitor Group, Inc. and Calera XVI, LLC",Endurance sports media and event operator,"Senior secured loan ($29,850 par due 11/2018)",9.00% (Libor + 7.75%/Q),11/30/2012,29850,28357
113,Services-Other,"Competitor Group, Inc. and Calera XVI, LLC",Endurance sports media and event operator,"Membership units (2,500,000 units)",,11/30/2012,2510,1282
114,Services-Other,"ISS #2, LLC","Provider of repairs, refurbishments and services to the broader industrial end user markets","Senior secured loan ($60,000 par due 6/2018)",6.50% (Libor + 5.50%/Q),6/5/2013,60000,60000
115,Services-Other,"Massage Envy, LLC",Franchisor in the massage industry,"Senior secured loan ($29,554 par due 9/2018)",8.50% (Libor + 7.25%/A),9/27/2012,29554,29554
116,Services-Other,"Massage Envy, LLC",Franchisor in the massage industry,"Senior secured loan ($49,927 par due 9/2018)",8.50% (Libor + 7.25%/A),9/27/2012,49927,49927
117,Services-Other,"Massage Envy, LLC",Franchisor in the massage industry,"Common stock (3,000,000 shares)",,9/27/2012,3000,3281
118,Services-Other,"McKenzie Sports Products, LLC","Designer, manufacturer and distributor of taxidermy forms and supplies",Senior secured loan ($35 par due 3/2017),7.00% (Base Rate + 3.75%/Q),3/30/2012,35,35
119,Services-Other,"McKenzie Sports Products, LLC","Designer, manufacturer and distributor of taxidermy forms and supplies","Senior secured loan ($1,782",6.00% (Libor + 4.75%/Q),3/30/2012,1782,1782
120,Services-Other,"McKenzie Sports Products, LLC","Designer, manufacturer and distributor of taxidermy forms and supplies",Senior secured loan ($59 par due 3/2017),7.00% (Base Rate + 3.75%/M),3/30/2012,59,59
121,Services-Other,"McKenzie Sports Products, LLC","Designer, manufacturer and distributor of taxidermy forms and supplies","Senior secured loan ($9,314 par due 3/2017)",6.00% (Libor + 4.75%/Q),3/30/2012,9314,9314
122,Services-Other,Spin Holdco Inc.,Laundry service and equipment provider,"Junior secured loan ($140,000 par due 5/2020)",9.00% (Libor + 7.75%/M),5/14/2013,140000,140000
123,Services-Other,The Dwyer Group (6),Operator of multiple franchise concepts primarily related to home maintenance or repairs,"Senior subordinated loan ($25,590 par due 6/2018)","12.00% Cash, 1.50% PIK",12/22/2010,25590,25590
124,Services-Other,The Dwyer Group (6),Operator of multiple franchise concepts primarily related to home maintenance or repairs,"Series A preferred units (13,292,377 units)",8.00% PIK,12/22/2010,6591,15967
125,Services-Other,"Wash Multifamily Laundry Systems, LLC",Laundry service and equipment provider,"Junior secured loan ($78,000 par due 2/2020)",9.75% (Libor + 8.50%/Q),2/21/2013,78000,78000
126,Services-Other,"Wash Multifamily Laundry Systems, LLC",Laundry service and equipment provider,,,,536079,541609
127,Business Services,"Access CIG, LLC",Records and information management services provider,Senior secured loan ($995 par due 10/2017),7.00% (Libor + 5.75%/Q),10/5/2012,995,995
128,Business Services,"Access CIG, LLC",Records and information management services provider,Senior secured loan ($3 par due 10/2017),8.00% (Base Rate + 4.75%/Q),10/5/2012,3,3
129,Business Services,"Cast & Crew Payroll, LLC and Centerstage Co-Investors, L.L.C. (6)",Payroll and accounting services provider to the entertainment industry,"Senior secured loan ($19,500 par due 12/2017)",7.50% (Libor + 6.50%/Q),12/24/2012,19500,19500
130,Business Services,"Cast & Crew Payroll, LLC and Centerstage Co-Investors, L.L.C. (6)",Payroll and accounting services provider to the entertainment industry,"Senior secured loan ($48,750 par due 12/2017)",7.50% (Libor + 6.50%/Q),12/24/2012,48750,48750
131,Business Services,"Cast & Crew Payroll, LLC and Centerstage Co-Investors, L.L.C. (6)",Payroll and accounting services provider to the entertainment industry,"Class A membership units (2,500,000 units)",,12/24/2012,2500,2521
132,Business Services,"Cast & Crew Payroll, LLC and Centerstage Co-Investors, L.L.C. (6)",Payroll and accounting services provider to the entertainment industry,"Class B membership units (2,500,000 units)",,12/24/2012,2500,2521
133,Business Services,"CIBT Investment Holdings, LLC",Expedited travel document processing services,"Class A shares (2,500 shares)",,12/15/2011,2500,3615
134,Business Services,CitiPostal Inc. (7),Document storage and management services,Senior secured loan ($528 par due 12/2013),"8.50% Cash, 5.50% PIK",4/1/2010,528,504
135,Business Services,CitiPostal Inc. (7),Document storage and management services,"Senior secured loan ($54,044 par due 12/2013)","8.50% Cash, 5.50% PIK",4/1/2010,54044,51672
136,Business Services,CitiPostal Inc. (7),Document storage and management services,"Senior subordinated loan ($18,645 par due 12/2015)",,4/1/2010,13038,0
137,Business Services,CitiPostal Inc. (7),Document storage and management services,"Common stock (37,024 shares)",,4/1/2010,0,0
138,Business Services,"Command Alkon, Inc.",Software solutions provider to the ready-mix concrete industry,"Junior secured loan ($39,130 par due 3/2018)",9.75% (Libor + 8.50%/Q),9/28/2012,39130,39130
139,Business Services,"Cornerstone Records Management, LLC",Physical records storage and management service provider,"Senior secured loan ($16,737 par due 12/2015)",9.50% (Libor + 8.00%/Q),8/12/2011,16737,16402
140,Business Services,"Coverall North America, Inc.",Commercial janitorial services provider,Letter of credit facility,,1/17/2013,0,0
141,Business Services,"HCPro, Inc. and HCP Acquisition Holdings, LLC (7)",Healthcare compliance advisory services,"Senior subordinated loan ($17,470 par due 8/2014)",,3/5/2013,5500,5500
142,Business Services,"HCPro, Inc. and HCP Acquisition Holdings, LLC (7)",Healthcare compliance advisory services,"Class A units (15,043,110 units)",,6/26/2008,13543,0
143,Business Services,IfByPhone Inc.,Voice-based marketing automation software provider,"Senior secured loan ($1,933 par due 11/2015)",11.00%,10/15/2012,1866,1933
144,Business Services,IfByPhone Inc.,Voice-based marketing automation software provider,"Senior secured loan ($1,000 par due 1/2016)",11.00%,10/15/2012,1000,1000
145,Business Services,IfByPhone Inc.,Voice-based marketing automation software provider,"Warrant to purchase up to 124,300 shares of Series C preferred stock",,10/15/2012,88,88
146,Business Services,"Impact Innovations Group, LLC",IT consulting and outsourcing services,Member interest (50.00% interest),,4/1/2010,0,200
147,Business Services,"Investor Group Services, LLC (6)",Business consulting for private equity and corporate clients,Limited liability company membership interest (8.5% interest),,6/22/2006,0,632
148,Business Services,"Itel Laboratories, Inc.",Data services provider for building materials to property insurance industry,"Senior secured loan ($21,550 par due 6/2018)",6.00% (Libor + 4.75%/Q),6/29/2012,21550,21550
149,Business Services,"Itel Laboratories, Inc.",Data services provider for building materials to property insurance industry,"Preferred units (1,798,391 units)",,6/29/2012,1000,998
150,Business Services,"Multi-Ad Services, Inc. (6)",Marketing services and software provider,"Preferred units (1,725,280 units)",,4/1/2010,788,2071
151,Business Services,"Multi-Ad Services, Inc. (6)",Marketing services and software provider,"Common units (1,725,280 units)",,4/1/2010,0,0
152,Business Services,"MVL Group, Inc. (7)",Marketing research provider,"Senior subordinated loan ($37,232 par due 7/2012)",,4/1/2010,34636,5683
153,Business Services,"MVL Group, Inc. (7)",Marketing research provider,Junior subordinated loan ($185 par due 7/2012),,4/1/2010,0,0
154,Business Services,"MVL Group, Inc. (7)",Marketing research provider,"Common stock (560,716 shares)",,4/1/2010,0,0
155,Business Services,"NComputing, Inc.",Desktop virtualization hardware and software technology service provider,"Senior secured loan ($6,500 par due 7/2016)",10.50%,3/20/2013,6500,6500
156,Business Services,"NComputing, Inc.",Desktop virtualization hardware and software technology service provider,"Warrant to purchase up to 462,726 shares of Series C preferred stock",,3/20/2013,0,39
157,Business Services,"Pillar Processing LLC and PHL Investors, Inc. (6)",Mortgage services,"Senior secured loan ($6,375 par due 11/2018)",,7/31/2008,5887,6375
158,Business Services,"Pillar Processing LLC and PHL Investors, Inc. (6)",Mortgage services,"Senior secured loan ($7,375 par due 5/2019)",,11/20/2007,6137,487
159,Business Services,"Pillar Processing LLC and PHL Investors, Inc. (6)",Mortgage services,Class A common stock (576 shares),,7/31/2012,3768,0
160,Business Services,"Powersport Auctioneer Holdings, LLC",Powersport vehicle auction operator,"Common units (1,972 units)",,3/2/2012,1000,749
161,Business Services,"Prommis Holdings, LLC",Bankruptcy and foreclosure processing services,"Class B common units (1,727 units)",,6/12/2012,0,0
162,Business Services,R2 Acquisition Corp.,Marketing services,"Common stock (250,000 shares)",,5/29/2007,250,169
163,Business Services,"Rainstor, Inc.",Database solution provider designed to manage Big Data for large enterprises at the lowest total cost,"Senior secured loan ($3,000 par due 4/2016)",11.25%,3/28/2013,2919,3000
164,Business Services,"Rainstor, Inc.",Database solution provider designed to manage Big Data for large enterprises at the lowest total cost,"Warrant to purchase up to 142,210 shares of Series C preferred stock",,3/28/2013,88,91
165,Business Services,"Strident Holding, Inc.",Recovery audit services provider to commercial and governmental healthcare payors,"Senior secured loan ($7,639 par due 7/2018)",6.50% (Libor + 5.25%/Q),7/26/2012,7639,7639
166,Business Services,"Strident Holding, Inc.",Recovery audit services provider to commercial and governmental healthcare payors,"Senior secured loan ($9,603 par due 7/2018)",6.50% (Libor + 5.25%/Q),7/26/2012,9603,9603
167,Business Services,Summit Business Media Parent Holding Company LLC,Business media consulting services,Limited liability company membership interest (45.98% interest),,5/20/2011,0,1479
