,Company,Business Description,Investment,Interest,Amortized Cost,Fair Value
30,"DNAnexus, Inc.",Bioinformatics company,"Warrants to purchase up to 909,092 units of Series C preferred stock",0,0,0
31,"Genocea Biosciences, Inc.",Vaccine discovery technology company,"Common stock (31,500 shares)",0,0,220
32,"GI Advo Opco, LLC",Behavioral treatment services provider,"First lien senior secured loan ($13,890 par due 6/2017)",6.00% (Libor + 4.75%/Q),14182,13890
33,"GI Advo Opco, LLC",Behavioral treatment services provider,First lien senior secured loan ($69 par due 6/2017),7.00% (Base Rate + 3.75%/Q),70,69
34,"Global Healthcare Exchange, LLC and GHX Ultimate Parent Corp.",On-demand supply chain automation solutions provider,"First lien senior secured loan ($231,250 par due 3/2020)",8.50% (Libor + 7.50%/Q),229626,231250
35,"Global Healthcare Exchange, LLC and GHX Ultimate Parent Corp.",On-demand supply chain automation solutions provider,"Class A common stock (2,475 shares)",0,2991,2991
36,"Global Healthcare Exchange, LLC and GHX Ultimate Parent Corp.",On-demand supply chain automation solutions provider,Class B common stock (938 shares),0,30,2417
37,"Greenphire, Inc. and RMCF III CIV XXIX, L.P",Software provider for clinical trial management,"First lien senior secured loan ($4,000 par due 12/2018)",9.00% (Libor + 8.00%/Q),4000,4000
38,"Greenphire, Inc. and RMCF III CIV XXIX, L.P",Software provider for clinical trial management,Limited partnership interest (99.90% interest),0,999,999
39,"INC Research Mezzanine Co-Invest, LLC",Pharmaceutical and biotechnology consulting services,"Common units (1,410,000 units)",0,1512,4287
40,Intermedix Corporation,Revenue cycle management provider to the emergency healthcare industry,"Second lien senior secured loan ($112,000 par due 6/2020)",9.25% (Libor + 8.25%/Q),112000,110880
41,"LM Acquisition Holdings, LLC(8)",Developer and manufacturer of medical equipment,Class A units (426 units),0,1000,1721
42,"MC Acquisition Holdings I, LLC",Healthcare professional provider,"Class A units (1,338,314 units)",0,1338,1863
43,"Monte Nido Holdings, LLC",Outpatient eating disorder treatment provider,"First lien senior secured loan ($44,750 par due 12/2019)",8.00% (Libor + 7.00%/M),44750,42065
44,MW Dental Holding Corp.,Dental services provider,"First lien senior secured loan ($6,485 par due 4/2017)",8.50% (Libor + 7.00%/M),6485,6485
45,MW Dental Holding Corp.,Dental services provider,"First lien senior secured loan ($24,484 par due 4/2017)",8.50% (Libor + 7.00%/M),24484,24484
46,MW Dental Holding Corp.,Dental services provider,"First lien senior secured loan ($48,238 par due 4/2017)",8.50% (Libor + 7.00%/M),48238,48238
47,MW Dental Holding Corp.,Dental services provider,"First lien senior secured loan ($19,949 par due 4/2017)",8.50% (Libor + 7.00%/M),19949,19949
48,"My Health Direct, Inc.",Healthcare scheduling exchange software solution provider,"First lien senior secured loan ($3,000 par due 1/2018)",10.75%,2907,3000
49,"My Health Direct, Inc.",Healthcare scheduling exchange software solution provider,"Warrant to purchase up to 4,548 shares of Series D preferred stock",0,39,39
50,Napa Management Services Corporation,Anesthesia management services provider,"First lien senior secured loan ($13,000 par due 2/2019)",6.00% (Libor + 5.00%/Q),13000,13000
51,Napa Management Services Corporation,Anesthesia management services provider,"First lien senior secured loan ($80,234 par due 2/2019)",6.00% (Libor + 5.00%/Q),80234,80234
52,Napa Management Services Corporation,Anesthesia management services provider,"First lien senior secured loan ($33,266 par due 2/2019)",6.00% (Libor + 5.00%/Q),33215,33266
53,Napa Management Services Corporation,Anesthesia management services provider,"Common units (5,345 units)",0,5764,11760
54,"Netsmart Technologies, Inc. and NS Holdings, Inc.",Healthcare technology provider,"First lien senior secured loan ($2,760 par due 12/2017)",8.75% (Libor + 7.50%/Q),2760,2760
55,"Netsmart Technologies, Inc. and NS Holdings, Inc.",Healthcare technology provider,"First lien senior secured loan ($34,912 par due 12/2017)",8.75% (Libor + 7.50%/Q),34912,34912
56,"Netsmart Technologies, Inc. and NS Holdings, Inc.",Healthcare technology provider,"Common stock (2,500,000 shares)",0,2500,5426
57,"New Trident Holdcorp, Inc.",Outsourced mobile diagnostic healthcare service provider,"Second lien senior secured loan ($80,000 par due 7/2020)",10.25% (Libor + 9.00%/Q),78667,78400
58,"Nodality, Inc.",Biotechnology company,"First lien senior secured loan ($8,000 par due 2/2018)",8.90%,7768,8000
59,"Nodality, Inc.",Biotechnology company,"First lien senior secured loan ($3,000 par due 8/2018)",8.90%,2900,3000
60,"Nodality, Inc.",Biotechnology company,"Warrant to purchase up to 164,179 shares of Series B preferred stock",0,0,41
61,"OmniSYS Acquisition Corporation, OmniSYS, LLC, and OSYS Holdings, LLC",Provider of technology-enabled solutions to pharmacies,"First lien senior secured loan ($20,475 par due 11/2018)",8.50% (Libor + 7.50%/Q),20475,20475
62,"OmniSYS Acquisition Corporation, OmniSYS, LLC, and OSYS Holdings, LLC",Provider of technology-enabled solutions to pharmacies,Limited liability company membership interest (1.57%),0,1000,1258
63,"PerfectServe, Inc.",Communications software platform provider for hospitals and physician practices,First lien senior secured revolving loan ($500 par due 6/2015),7.50%,500,500
64,"PerfectServe, Inc.",Communications software platform provider for hospitals and physician practices,"First lien senior secured loan ($2,500 par due 10/2017)",10.00%,2479,2500
65,"PerfectServe, Inc.",Communications software platform provider for hospitals and physician practices,"First lien senior secured loan ($3,372 par due 4/2017)",10.00%,3348,3372
66,"PerfectServe, Inc.",Communications software platform provider for hospitals and physician practices,"Warrants to purchase up to 34,113 units of Series C preferred stock",0,0,84
67,"PGA Holdings, Inc.","Provider of patient surveys, management reports and national databases for the integrated healthcare delivery system",Preferred stock (333 shares),0,125,21
68,"PGA Holdings, Inc.","Provider of patient surveys, management reports and national databases for the integrated healthcare delivery system","Common stock (16,667 shares)",0,167,1051
69,PhyMED Management LLC,Provider of anesthesia services,"First lien senior secured loan ($10,000 par due 11/2020)",5.25% (Libor + 4.25%/M),9927,10000
70,"Physiotherapy Associates Holdings, Inc.",Physical therapy provider,"Class A common stock (100,000 shares)",0,3090,2465
71,"POS I Corp. (fka Vantage Oncology, Inc.)",Radiation oncology care provider,"Common stock (62,157 shares)",0,4670,1222
72,"Reed Group Holdings, LLC",Medical disability management services provider,Equity interests,0,0,0
73,"Respicardia, Inc.",Developer of implantable therapies to improve cardiovascular health,"First lien senior secured loan ($1,400 par due 7/2015)",11.00%,1399,1400
74,"Respicardia, Inc.",Developer of implantable therapies to improve cardiovascular health,"Warrants to purchase up to 99,094 shares of Series C preferred stock",0,38,28
75,"Sage Products Holdings III, LLC",Patient infection control and preventive care solutions provider,"Second lien senior secured loan ($120,000 par due 6/2020)",9.25% (Libor + 8.00%/Q),119775,120000
76,"Sarnova HC, LLC, Tri-Anim Health Services, Inc., and BEMS Holdings, LLC",Distributor of emergency medical service and respiratory products,"Second lien senior secured loan ($60,000 par due 9/2018)",8.75% (Libor + 8.00%/M),60000,60000
77,"SurgiQuest, Inc.",Medical device company,"Warrants to purchase up to 54,672 shares of Series D-4 convertible preferred stock",0,0,0
78,"U.S. Anesthesia Partners, Inc.",Anesthesiology service provider,"First lien senior secured loan ($49,725 par due 12/2019)",6.00% (Libor + 5.00%/Q),49725,49725
79,"U.S. Anesthesia Partners, Inc.",Anesthesiology service provider,"Second lien senior secured loan ($50,000 par due 9/2020)",9.00% (Libor + 8.00%/Q),50000,50000
80,"Young Innovations, Inc.",Dental supplies and equipment manufacturer,"Second lien senior secured loan ($45,000 par due 7/2019)",9.00% (Libor + 8.00%/Q),45000,45000
81,American Residential Services L.L.C.,"Heating, ventilation and air conditioning services provider","Second lien senior secured loan ($50,000 par due 12/2021)",9.00% (Libor + 8.00%/Q),49534,50000
82,Capital Investments and Ventures Corp.,SCUBA diver training and certification provider,"First lien senior secured loan ($60,654 par due 8/2020)",8.00% (Base Rate + 4.75%/Q),60334,60654
83,Capital Investments and Ventures Corp.,SCUBA diver training and certification provider,"First lien senior secured loan ($21,181 par due 8/2020)",8.00% (Base Rate + 4.75%/Q),21181,21181
84,Capital Investments and Ventures Corp.,SCUBA diver training and certification provider,"First lien senior secured loan ($7,534 par due 8/2020)",8.00% (Base Rate + 4.75%/Q),7534,7534
85,"Community Education Centers, Inc.",Offender re-entry and in-prison treatment services provider,"First lien senior secured loan ($14,130 par due 3/2015)",6.25% (Libor + 5.25%/Q),14130,14130
86,"Community Education Centers, Inc.",Offender re-entry and in-prison treatment services provider,First lien senior secured loan ($156 par due 3/2015),7.50% (Base Rate + 4.25%/Q),156,156
87,"Community Education Centers, Inc.",Offender re-entry and in-prison treatment services provider,"Second lien senior secured loan ($48,377 par due 12/2015)",0,47169,39858
88,"Community Education Centers, Inc.",Offender re-entry and in-prison treatment services provider,"Warrants to purchase up to 654,618 shares",0,0,0
89,"Competitor Group, Inc. and Calera XVI, LLC",Endurance sports media and event operator,"First lien senior secured revolving loan ($2,850 par due 11/2018)",10.00% (Base Rate + 6.75%/Q),2850,2565
90,"Competitor Group, Inc. and Calera XVI, LLC",Endurance sports media and event operator,First lien senior secured revolving loan ($900 par due 11/2018),9.00% (Libor + 7.75%/Q),900,810
91,"Competitor Group, Inc. and Calera XVI, LLC",Endurance sports media and event operator,"First lien senior secured loan ($24,444 par due 11/2018)","10.50% (Libor + 7.75% Cash, 1.50% PIK /Q)",24444,21999
92,"Competitor Group, Inc. and Calera XVI, LLC",Endurance sports media and event operator,"First lien senior secured loan ($29,931 par due 11/2018)","10.50% (Libor + 7.75% Cash, 1.50% PIK /Q)",29931,26938
93,"Competitor Group, Inc. and Calera XVI, LLC",Endurance sports media and event operator,"Membership units (2,500,000 units)",0,2519,275
94,"Crown Health Care Laundry Services, Inc. and Crown Laundry Holdings, LLC(6)",Provider of outsourced linen management solutions to the healthcare industry,First lien senior secured revolving loan ($700 par due 3/2019),8.25% (Libor + 7.00%/Q),700,700
95,"Crown Health Care Laundry Services, Inc. and Crown Laundry Holdings, LLC(6)",Provider of outsourced linen management solutions to the healthcare industry,"First lien senior secured loan ($24,316 par due 3/2019)",8.25% (Libor + 7.00%/Q),24316,24316
96,"Crown Health Care Laundry Services, Inc. and Crown Laundry Holdings, LLC(6)",Provider of outsourced linen management solutions to the healthcare industry,"Class A preferred units (2,475,000 units)",0,2475,2723
97,"Crown Health Care Laundry Services, Inc. and Crown Laundry Holdings, LLC(6)",Provider of outsourced linen management solutions to the healthcare industry,"Class B common units (275,000 units)",0,275,303
98,"Dwyer Acquisition Parent, Inc. and TDG Group Holding Company",Operator of multiple franchise concepts primarily related to home maintenance or repairs,"Senior subordinated loan ($52,670 par due 2/2020)",11.00%,52670,52670
99,"Dwyer Acquisition Parent, Inc. and TDG Group Holding Company",Operator of multiple franchise concepts primarily related to home maintenance or repairs,"Common stock (30,000 shares)",0,3000,3439
100,"GHS Interactive Security, LLC and LG Security Holdings, LLC",Originates residential security alarm contracts,"First lien senior secured loan ($8,578 par due 5/2018)",7.50% (Libor + 6.00%/S),8626,8578
101,"GHS Interactive Security, LLC and LG Security Holdings, LLC",Originates residential security alarm contracts,"Class A membership units (1,560,000 units)",0,1607,728
102,"Massage Envy, LLC",Franchisor in the massage industry,"First lien senior secured loan ($28,245 par due 9/2018)",8.50% (Libor + 7.25%/Q),28245,28245
103,"Massage Envy, LLC",Franchisor in the massage industry,"First lien senior secured loan ($47,716 par due 9/2018)",8.50% (Libor + 7.25%/Q),47716,47716
104,"Massage Envy, LLC",Franchisor in the massage industry,"Common stock (3,000,000 shares)",0,3000,4306
105,"McKenzie Sports Products, LLC","Designer, manufacturer and distributor of hunting-related supplies","First lien senior secured loan ($84,500 par due 9/2020)",6.75% (Libor + 5.75%/M),84500,83654
106,"OpenSky Project, Inc.",Social commerce platform operator,"First lien senior secured loan ($3,000 par due 9/2017)",10.00%,2960,3000
107,"OpenSky Project, Inc.",Social commerce platform operator,"Warrant to purchase up to 46,996 shares of Series D preferred stock",0,48,48
108,PODS Funding Corp. II,Storage and warehousing,"First lien senior secured loan ($3,899 par due 12/2018)",7.00% (Libor + 6.00%/Q),3899,3899
109,PODS Funding Corp. II,Storage and warehousing,"First lien senior secured loan ($33,989 par due 12/2018)",7.00% (Libor + 6.00%/Q),33989,33989
110,Spin HoldCo Inc.,Laundry service and equipment provider,"Second lien senior secured loan ($140,000 par due 5/2020)",8.00% (Libor + 7.00%/M),140000,137200
111,"TWH Water Treatment Industries, Inc., TWH Filtration Industries, Inc. and TWH Infrastructure Industries, Inc.","Wastewater infrastructure repair, treatment and filtration company","First lien senior secured loan ($2,240 par due 10/2019)",10.25% (Libor + 9.25%/Q),2240,2240
112,"TWH Water Treatment Industries, Inc., TWH Filtration Industries, Inc. and TWH Infrastructure Industries, Inc.","Wastewater infrastructure repair, treatment and filtration company","First lien senior secured loan ($36,400 par due 10/2019)",10.25% (Libor + 9.25%/Q),36400,36400
113,"United Road Towing, Inc.",Towing company,Warrants to purchase up to 607 shares,0,0,0
114,"Wash Multifamily Laundry Systems, LLC",Laundry service and equipment provider,"Second lien senior secured loan ($78,000 par due 2/2020)",7.75% (Libor + 6.75%/Q),78000,78000
115,"Feradyne Outdoors, LLC and Bowhunter Holdings, LLC",Provider of branded archery and bowhunting accessories,"First lien senior secured loan ($50,100 par due 3/2019)",6.55% (Libor + 5.55%/Q),50100,50100
116,"Feradyne Outdoors, LLC and Bowhunter Holdings, LLC",Provider of branded archery and bowhunting accessories,"First lien senior secured loan ($6,953 par due 3/2019)",4.00% (Libor + 3.00%/Q),6953,6953
117,"Feradyne Outdoors, LLC and Bowhunter Holdings, LLC",Provider of branded archery and bowhunting accessories,Common units (300 units),0,3000,2573
118,"Implus Footcare, LLC",Provider of footwear and other accessories,Preferred stock (455 shares),6.00% PIK,4740,4740
119,"Implus Footcare, LLC",Provider of footwear and other accessories,Common stock (455 shares),0,0,1414
120,Indra Holdings Corp.,"Designer, marketer, and distributor of rain and cold weather products","Second lien senior secured loan ($80,000 par due 11/2021)",8.50% (Libor + 7.50%/Q),78814,79199
121,"Matrixx Initiatives, Inc. and Wonder Holdings Acquisition Corp.",Developer and marketer of OTC healthcare products,"Warrants to purchase up to 1,489 shares of preferred stock",0,0,921
122,"Matrixx Initiatives, Inc. and Wonder Holdings Acquisition Corp.",Developer and marketer of OTC healthcare products,"Warrants to purchase up to 1,654,678 shares of common stock",0,0,0
123,"Oak Parent, Inc.",Manufacturer of athletic apparel,"First lien senior secured loan ($30,256 par due 4/2018)",7.50% (Libor + 7.00%/Q),30172,30256
124,"Oak Parent, Inc.",Manufacturer of athletic apparel,First lien senior secured loan ($157 par due 4/2018),9.25% (Base Rate + 6.00%/Q),157,157
125,"Oak Parent, Inc.",Manufacturer of athletic apparel,"First lien senior secured loan ($8,551 par due 4/2018)",7.50% (Libor + 7.00%/Q),8527,8551
126,"Oak Parent, Inc.",Manufacturer of athletic apparel,First lien senior secured loan ($44 par due 4/2018),9.25% (Base Rate + 6.00%/Q),44,44
127,"PG-ACP Co-Invest, LLC","Supplier of medical uniforms, specialized medical footwear and accessories","Class A membership units (1,000,0000 units)",0,1000,1444
128,"Plantation Products, LLC, Seed Holdings, Inc. and Flora Parent, Inc.",Provider of branded lawn and garden products,"First lien senior secured revolving loan ($9,007 par due 12/2020)",5.00% (Libor + 4.00%/Q),9007,9007
129,"Plantation Products, LLC, Seed Holdings, Inc. and Flora Parent, Inc.",Provider of branded lawn and garden products,"First lien senior secured loan ($79,000 par due 12/2020)",5.00% (Libor + 4.00%/Q),78545,79000
130,"Plantation Products, LLC, Seed Holdings, Inc. and Flora Parent, Inc.",Provider of branded lawn and garden products,"Second lien senior secured loan ($66,000 par due 6/2021)",9.94% (Libor + 8.94%/Q),65620,66000
131,"Plantation Products, LLC, Seed Holdings, Inc. and Flora Parent, Inc.",Provider of branded lawn and garden products,"Common stock (30,000 shares)",0,3000,3000
132,"Shock Doctor, Inc. and BRP Hold 14, LLC","Developer, marketer and distributor of sports protection equipment and accessories.","First lien senior secured loan ($1,333 par due 3/2020)",8.75% (Libor + 7.75%/Q),1333,1333
133,"Shock Doctor, Inc. and BRP Hold 14, LLC","Developer, marketer and distributor of sports protection equipment and accessories.","First lien senior secured loan ($5,721 par due 3/2020)",8.75% (Libor + 7.75%/Q),5721,5721
134,"Shock Doctor, Inc. and BRP Hold 14, LLC","Developer, marketer and distributor of sports protection equipment and accessories.","First lien senior secured loan ($53,729 par due 3/2020)",8.75% (Libor + 7.75%/Q),53729,53729
135,"Shock Doctor, Inc. and BRP Hold 14, LLC","Developer, marketer and distributor of sports protection equipment and accessories.","First lien senior secured loan ($19,950 par due 3/2020)",8.75% (Libor + 7.75%/Q),19950,19950
136,"Shock Doctor, Inc. and BRP Hold 14, LLC","Developer, marketer and distributor of sports protection equipment and accessories.","Class A preferred units (50,000 units)",0,5000,5529
137,"The Step2 Company, LLC(7)",Toy manufacturer,"Second lien senior secured loan ($27,583 par due 9/2019)",10.00% PIK,27463,27583
138,"The Step2 Company, LLC(7)",Toy manufacturer,"Second lien senior secured loan ($4,500 par due 9/2019)",10.00%,4500,4500
139,"The Step2 Company, LLC(7)",Toy manufacturer,"Second lien senior secured loan ($37,207 par due 9/2019)",0,30802,9043
140,"The Step2 Company, LLC(7)",Toy manufacturer,"Common units (1,116,879 units)",0,24,0
141,"The Step2 Company, LLC(7)",Toy manufacturer,"Class B common units (126,278,000 units)",0,0,0
142,"The Step2 Company, LLC(7)",Toy manufacturer,"Warrants to purchase up to 3,157,895 units",0,0,0
143,"Varsity Brands Holding Co., Inc., Hercules Achievement, Inc., Hercules Achievement Holdings, Inc., and Hercules VB Holdings, Inc.","Leading manufacturer and distributor of textiles, apparel & luxury goods","Second lien senior secured loan ($180,000 par due 12/2022)",9.75% (Libor + 8.75%/M),178200,180000
144,"Varsity Brands Holding Co., Inc., Hercules Achievement, Inc., Hercules Achievement Holdings, Inc., and Hercules VB Holdings, Inc.","Leading manufacturer and distributor of textiles, apparel & luxury goods","Common stock (3,353,371 shares)",0,4147,4147
145,"Varsity Brands Holding Co., Inc., Hercules Achievement, Inc., Hercules Achievement Holdings, Inc., and Hercules VB Holdings, Inc.","Leading manufacturer and distributor of textiles, apparel & luxury goods","Common stock (3,353,371 shares)",0,3353,3353
146,Woodstream Corporation,Pet products manufacturer,First lien senior secured loan ($12 par due 8/2016),7.00% (Base Rate + 3.75%/Q),12,12
147,Woodstream Corporation,Pet products manufacturer,"First lien senior secured loan ($4,804 par due 8/2016)",6.00% (Libor + 5.00%/Q),4804,4804
148,Woodstream Corporation,Pet products manufacturer,"Senior subordinated loan ($80,000 par due 2/2017)",11.50%,78178,80000
149,Woodstream Corporation,Pet products manufacturer,"Common stock (4,254 shares)",0,1222,2816
150,"Alphabet Energy, Inc.",Technology developer to convert waste-heat into electricity,"First lien senior secured loan ($1,960 par due 7/2017)",9.50%,1894,1960
151,"Alphabet Energy, Inc.",Technology developer to convert waste-heat into electricity,"First lien senior secured loan ($2,880 par due 7/2017)",9.62%,2683,2880
152,"Alphabet Energy, Inc.",Technology developer to convert waste-heat into electricity,"Series B preferred stock (74,449 shares)",0,250,250
153,"Alphabet Energy, Inc.",Technology developer to convert waste-heat into electricity,"Warrant to purchase up to 59,524 units of Series B preferred stock",0,146,125
154,Bicent (California) Holdings LLC,Gas turbine power generation facilities operator,"Senior subordinated loan ($49,706 par due 2/2021)",8.25% (Libor + 7.25%/Q),49706,49706
155,"Brush Power, LLC",Gas turbine power generation facilities operator,"First lien senior secured loan ($1,730 par due 8/2020)",7.50% (Base Rate + 4.25%/Q),1730,1730
156,"Brush Power, LLC",Gas turbine power generation facilities operator,"First lien senior secured loan ($86,384 par due 8/2020)",6.25% (Libor + 5.25%/Q),86384,86384
157,"CPV Maryland Holding Company II, LLC",Gas turbine power generation facilities operator,"Senior subordinated loan ($42,838 par due 12/2020)","5.00% Cash, 5.00% PIK",42838,42838
158,"CPV Maryland Holding Company II, LLC",Gas turbine power generation facilities operator,Warrant to purchase up to 4 units of common stock,0,0,200
159,"DESRI VI Management Holdings, LLC",Wind and solar power generation facility operator,"Senior subordinated loan ($26,500 par due 12/2021)",9.75%,26500,26500
160,"DESRI VI Management Holdings, LLC",Wind and solar power generation facility operator,Non-controlling units (10.0 units),0,1483,1483
161,"DESRI Wind Development Acquisition Holdings, L.L.C.",Wind and solar power generation facility operator,"Senior subordinated loan ($14,750 par due 8/2021)",9.25%,14750,14750
162,"DESRI Wind Development Acquisition Holdings, L.L.C.",Wind and solar power generation facility operator,Non-controlling units (7.5 units),0,806,806
163,"Green Energy Partners, Stonewall LLC and Panda Stonewall Intermediate Holdings II LLC",Gas turbine power generation facilities operator,"Senior subordinated loan ($81,500 par due 12/2021)",13.25%,81500,81500
164,"Joule Unlimited Technologies, Inc. and Stichting Joule Global Foundation",Renewable fuel and chemical production developer,"First lien senior secured loan ($5,909 par due 2/2017)",10.00%,5873,5909
165,"Joule Unlimited Technologies, Inc. and Stichting Joule Global Foundation",Renewable fuel and chemical production developer,"Warrant to purchase up to 32,051 shares of Series C-2 preferred stock",0,0,39
166,"La Paloma Generating Company, LLC","Natural gas fired, combined cycle plant operator","Second lien senior secured loan ($10,000 par due 2/2020)",9.25% (Libor + 8.25%/Q),9652,9400
167,Moxie Liberty LLC,Gas turbine power generation facilities operator,"First lien senior secured loan ($100,000 par due 8/2020)",7.50% (Libor + 6.50%/Q),98900,100000
168,Moxie Patriot LLC,Gas turbine power generation facilities operator,"First lien senior secured loan ($100,000 par due 12/2020)",6.75% (Libor + 5.75%/Q),99000,100000
169,"Panda Sherman Power, LLC",Gas turbine power generation facilities operator,"First lien senior secured loan ($32,429 par due 9/2018)",9.00% (Libor + 7.50%/Q),32429,32429
170,"Panda Temple Power II, LLC",Gas turbine power generation facilities operator,"First lien senior secured loan ($20,000 par due 4/2019)",7.25% (Libor + 6.00%/Q),19852,20000
171,"Panda Temple Power, LLC",Gas turbine power generation facilities operator,"First lien senior secured loan ($60,000 par due 7/2018)",11.50% (Libor + 10.00%/Q),58719,60000
172,PERC Holdings 1 LLC,"Operator of recycled energy, combined heat and power, and energy efficiency facilities","Class B common units (21,653,543 units)",0,21654,21654
173,2329497 Ontario Inc.(8),Outsourced data center infrastructure and related services provider,"Second lien senior secured loan ($42,480 par due 6/2019)",10.50% (Libor + 9.25%/M),43323,36006
174,"BlackArrow, Inc.",Advertising and data solutions software platform provider,"First lien senior secured loan ($8,000 par due 9/2017)",9.25%,7782,8000
175,"BlackArrow, Inc.",Advertising and data solutions software platform provider,"Warrant to purchase up to 517,386 units of Series C preferred stock",0,0,76
176,"CallMiner, Inc.",Provider of cloud-based conversational analytics solutions,"First lien senior secured loan ($4,000 par due 5/2018)",10.00%,3973,4000
177,"CallMiner, Inc.",Provider of cloud-based conversational analytics solutions,"First lien senior secured loan ($2,000 par due 9/2018)",10.00%,1986,2000
178,"CallMiner, Inc.",Provider of cloud-based conversational analytics solutions,"Warrant to purchase up to 2,350,636 shares of Series 1 preferred stock",0,0,0
179,"Cast & Crew Payroll, LLC and Centerstage Co-Investors, L.L.C.(6)",Payroll and accounting services provider to the entertainment industry,"First lien senior secured loan ($27,930 par due 10/2019)",4.00% (Libor + 3.00%/Q),27930,27930
180,"Cast & Crew Payroll, LLC and Centerstage Co-Investors, L.L.C.(6)",Payroll and accounting services provider to the entertainment industry,"First lien senior secured loan ($53,569 par due 10/2019)",7.00% (Libor + 6.00%/Q),53569,53569
181,"Cast & Crew Payroll, LLC and Centerstage Co-Investors, L.L.C.(6)",Payroll and accounting services provider to the entertainment industry,"First lien senior secured loan ($41,813 par due 10/2019)",7.00% (Libor + 6.00%/Q),41813,41813
