,Industry,Company,Business Description,Investment,Interest,Amortized Cost,Fair Value
34,Healthcare Services,"Greenphire, Inc. and RMCF III CIV XXIX, L.P(25)",Software provider for clinical trial management,"First lien senior secured loan ($4,000 par due 12/2018)",9.00% (Libor + 8.00%/M),4000,4000
35,Healthcare Services,"Greenphire, Inc. and RMCF III CIV XXIX, L.P(25)",,Limited partnership interest (99.90% interest),,999,999
36,Healthcare Services,"INC Research Mezzanine Co-Invest, LLC",Pharmaceutical and biotechnology consulting services,"Common units (1,410,000 units)",,0,3352
37,Healthcare Services,Intermedix Corporation,Revenue cycle management provider to the emergency healthcare industry,"Second lien senior secured loan ($112,000 par due 6/2020)",9.25% (Libor + 8.25%/Q),112000,108640
38,Healthcare Services,"LM Acquisition Holdings, LLC(9)",Developer and manufacturer of medical equipment,Class A units (426 units),,660,1732
39,Healthcare Services,"MC Acquisition Holdings I, LLC",Healthcare professional provider,"Class A units (1,338,314 shares)",,1338,1491
40,Healthcare Services,MW Dental Holding Corp.(25),Dental services provider,"First lien senior secured revolving loan ($3,500 par due 4/2017)",8.50% (Libor + 7.00%/M),3500,3500
41,Healthcare Services,MW Dental Holding Corp.(25),,"First lien senior secured loan ($22,616 par due 4/2017)",8.50% (Libor + 7.00%/M),22616,22616
42,Healthcare Services,MW Dental Holding Corp.(25),,"First lien senior secured loan ($24,233 par due 4/2017)",8.50% (Libor + 7.00%/M),24233,24233
43,Healthcare Services,MW Dental Holding Corp.(25),,"First lien senior secured loan ($47,743 par due 4/2017)",8.50% (Libor + 7.00%/M),47743,47743
44,Healthcare Services,MW Dental Holding Corp.(25),,"First lien senior secured loan ($19,744 par due 4/2017)",8.50% (Libor + 7.00%/M),19744,19744
45,Healthcare Services,"My Health Direct, Inc.(25)",Healthcare scheduling exchange software solution provider,"First lien senior secured loan ($2,500 par due 1/2018)",10.75%,2450,2500
46,Healthcare Services,"My Health Direct, Inc.(25)",,"Warrant to purchase up to 4,548 shares of Series D preferred stock",,39,40
47,Healthcare Services,Napa Management Services Corporation,Anesthesia management services provider,"First lien senior secured loan ($16,000 par due 2/2019)",9.03% (Libor + 8.03%/Q),16000,16000
48,Healthcare Services,Napa Management Services Corporation,,"First lien senior secured loan ($54,000 par due 2/2019)",9.03% (Libor + 8.03%/Q),53961,54000
49,Healthcare Services,Napa Management Services Corporation,,"Common units (5,345 units)",,5764,17350
50,Healthcare Services,"Netsmart Technologies, Inc. and NS Holdings, Inc.",Healthcare technology provider,"Second lien senior secured loan ($90,000 par due 8/2019)",10.50% (Libor + 9.50%/Q),90000,90000
51,Healthcare Services,"Netsmart Technologies, Inc. and NS Holdings, Inc.",,"Common stock (2,500,000 shares)",,760,4450
52,Healthcare Services,"New Trident Holdcorp, Inc.",Outsourced mobile diagnostic healthcare service provider,"Second lien senior secured loan ($80,000 par due 7/2020)",10.25% (Libor + 9.00%/Q),78906,76000
53,Healthcare Services,"Nodality, Inc.",Biotechnology company,First lien senior secured loan ($700 par due 2/2018),,700,636
54,Healthcare Services,"Nodality, Inc.",,First lien senior secured loan ($150 par due 2/2018),,0,0
55,Healthcare Services,"Nodality, Inc.",,"First lien senior secured loan ($7,019 par due 2/2018)",,6860,1053
56,Healthcare Services,"Nodality, Inc.",,"First lien senior secured loan ($2,910 par due 8/2018)",,2834,437
57,Healthcare Services,"Nodality, Inc.",,"Warrant to purchase up to 225,746 shares of Series B preferred stock",,0,0
58,Healthcare Services,"OmniSYS Acquisition Corporation, OmniSYS, LLC, and OSYS Holdings, LLC(25)",Provider of technology-enabled solutions to pharmacies,"First lien senior secured loan ($12,288 par due 11/2018)",8.50% (Libor + 7.50%/Q),12288,12288
59,Healthcare Services,"OmniSYS Acquisition Corporation, OmniSYS, LLC, and OSYS Holdings, LLC(25)",,"First lien senior secured loan ($6,906 par due 11/2018)",8.50% (Libor + 7.50%/Q),6906,6906
60,Healthcare Services,"OmniSYS Acquisition Corporation, OmniSYS, LLC, and OSYS Holdings, LLC(25)",,Limited liability company membership interest (1.57%),,1000,1197
61,Healthcare Services,"Patterson Medical Supply, Inc.",Distributor of rehabilitation supplies and equipment,"Second lien senior secured loan ($19,000 par due 8/2023)",8.75% (Libor + 7.75%/Q),18816,18430
62,Healthcare Services,"PerfectServe, Inc.(25)",Communications software platform provider for hospitals and physician practices,"First lien senior secured loan ($9,000 par due 3/2020)",9.00% (Libor + 8.00%/M),8661,9000
63,Healthcare Services,"PerfectServe, Inc.(25)",,"First lien senior secured loan ($2,000 par due 7/2020)",9.00% (Libor + 8.00%/M),1960,2000
64,Healthcare Services,"PerfectServe, Inc.(25)",,"Warrant to purchase up to 28,428 units of Series C preferred stock",,180,211
65,Healthcare Services,"PerfectServe, Inc.(25)",,"Warrant to purchase up to 34,113 units of Series C preferred stock",,0,253
66,Healthcare Services,PhyMED Management LLC,Provider of anesthesia services,"Second lien senior secured loan ($47,239 par due 5/2021)",9.75% (Libor + 8.75%/Q),46516,46294
67,Healthcare Services,"Physiotherapy Associates Holdings, Inc.",Physical therapy provider,"Class A common stock (100,000 shares)",,3090,8900
68,Healthcare Services,"POS I Corp. (fka Vantage Oncology, Inc.)",Radiation oncology care provider,"Common stock (62,157 shares)",,4670,935
69,Healthcare Services,"Reed Group Holdings, LLC",Medical disability management services provider,Equity interests,,0,0
70,Healthcare Services,"Respicardia, Inc.",Developer of implantable therapies to improve cardiovascular health,"Warrant to purchase up to 99,094 shares of Series C preferred stock",,38,28
71,Healthcare Services,"Sage Products Holdings III, LLC",Patient infection control and preventive care solutions provider,"Second lien senior secured loan ($108,679 par due 6/2020)",9.25% (Libor + 8.00%/Q),108513,108679
72,Healthcare Services,"Sarnova HC, LLC, Tri-Anim Health Services, Inc., and BEMS Holdings, LLC",Distributor of emergency medical service and respiratory products,"Second lien senior secured loan ($60,000 par due 9/2018)",8.75% (Libor + 8.00%/M),60000,60000
73,Healthcare Services,"SurgiQuest, Inc.",Medical device manufacturer,"Warrant to purchase up to 54,672 shares of Series D-4 convertible preferred stock",,0,331
74,Healthcare Services,"Transaction Data Systems, Inc.",Pharmacy management software provider,"Second lien senior secured loan ($27,500 par due 6/2022)",9.25% (Libor + 8.25%/Q),27500,26950
75,Healthcare Services,"U.S. Anesthesia Partners, Inc.",Anesthesiology service provider,"Second lien senior secured loan ($23,500 par due 9/2020)",10.25% (Libor + 9.25%/Q),23500,23500
76,Healthcare Services,"U.S. Anesthesia Partners, Inc.",,"Second lien senior secured loan ($50,000 par due 9/2020)",10.25% (Libor + 9.25%/Q),50000,50000
77,Healthcare Services,"Urgent Cares of America Holdings I, LLC and FastMed Holdings I, LLC(25)",Operator of urgent care clinics,"First lien senior secured loan ($14,000 par due 12/2022)",7.00% (Libor + 6.00%/M),14000,13860
78,Healthcare Services,"Urgent Cares of America Holdings I, LLC and FastMed Holdings I, LLC(25)",,"First lien senior secured loan ($54,725 par due 12/2022)",7.00% (Libor + 6.00%/M),54725,54178
79,Healthcare Services,"Urgent Cares of America Holdings I, LLC and FastMed Holdings I, LLC(25)",,"Preferred units (6,000,000 units)",,6000,6412
80,Healthcare Services,"Urgent Cares of America Holdings I, LLC and FastMed Holdings I, LLC(25)",,"Series A common units (2,000,000 units)",,2000,1828
81,Healthcare Services,"Urgent Cares of America Holdings I, LLC and FastMed Holdings I, LLC(25)",,"Series C common units (800,507 units)",,0,589
82,Healthcare Services,"VistaPharm, Inc. and Vertice Pharma UK Parent Limited",Manufacturer and distributor of generic pharmaceutical products,"First lien senior secured loan ($20,000 par due 12/2021)",8.00% (Base Rate + 4.50%/Q),20000,20000
83,Healthcare Services,"VistaPharm, Inc. and Vertice Pharma UK Parent Limited",,"Preferred shares (40,662 shares)",,407,407
84,Healthcare Services,"Young Innovations, Inc.",Dental supplies and equipment manufacturer,"Second lien senior secured loan ($45,000 par due 7/2019)",9.00% (Libor + 8.00%/Q),45000,45000
85,Healthcare Services,"Young Innovations, Inc.",,,,1326411,1325821
86,Other Services,American Residential Services L.L.C.,"Heating, ventilation and air conditioning services provider","Second lien senior secured loan ($50,000 par due 12/2021)",9.00% (Libor + 8.00%/Q),49600,50000
87,Other Services,"Community Education Centers, Inc. and CEC Parent Holdings LLC(8)",Offender re-entry and in-prison treatment services provider,"First lien senior secured loan ($13,949 par due 12/2017)",6.25% (Libor + 5.25%/Q),13949,13949
88,Other Services,"Community Education Centers, Inc. and CEC Parent Holdings LLC(8)",,First lien senior secured loan ($337 par due 12/2017),7.75% (Base Rate + 4.25%/Q),337,337
89,Other Services,"Community Education Centers, Inc. and CEC Parent Holdings LLC(8)",,"Second lien senior secured loan ($21,895 par due 6/2018)",15.42% (Libor + 15.00%/Q),21895,21895
90,Other Services,"Community Education Centers, Inc. and CEC Parent Holdings LLC(8)",,"Class A senior preferred units (7,846 units)",,9384,9467
91,Other Services,"Community Education Centers, Inc. and CEC Parent Holdings LLC(8)",,"Class A junior preferred units (26,154 units)",,20168,12080
92,Other Services,"Community Education Centers, Inc. and CEC Parent Holdings LLC(8)",,Class A common units (134 units),,0,0
93,Other Services,"Competitor Group, Inc. and Calera XVI, LLC(25)",Endurance sports media and event operator,"First lien senior secured revolving loan ($4,950 par due 11/2018)",,4950,3713
94,Other Services,"Competitor Group, Inc. and Calera XVI, LLC(25)",,"First lien senior secured loan ($52,349 par due 11/2018)",,52216,39262
95,Other Services,"Competitor Group, Inc. and Calera XVI, LLC(25)",,"Membership units (2,522,512 units)",,2523,0
96,Other Services,"Crown Health Care Laundry Services, Inc. and Crown Laundry Holdings, LLC(7)(25)",Provider of outsourced healthcare linen management solutions,First lien senior secured revolving loan ($500 par due 3/2019),7.25% (Libor + 6.00%/Q),500,500
97,Other Services,"Crown Health Care Laundry Services, Inc. and Crown Laundry Holdings, LLC(7)(25)",,"First lien senior secured loan ($23,371 par due 3/2019)",7.25% (Libor + 6.00%/Q),23371,23371
98,Other Services,"Crown Health Care Laundry Services, Inc. and Crown Laundry Holdings, LLC(7)(25)",,"Class A preferred units (2,475,000 units)",,2475,3522
99,Other Services,"Crown Health Care Laundry Services, Inc. and Crown Laundry Holdings, LLC(7)(25)",,"Class B common units (275,000 units)",,275,391
100,Other Services,"Dwyer Acquisition Parent, Inc. and TDG Group Holding Company",Operator of multiple franchise concepts primarily related to home maintenance or repairs,"Senior subordinated loan ($31,500 par due 2/2020)",11.00%,31500,31500
101,Other Services,"Dwyer Acquisition Parent, Inc. and TDG Group Holding Company",,"Senior subordinated loan ($52,670 par due 2/2020)",11.00%,52670,52670
102,Other Services,"Dwyer Acquisition Parent, Inc. and TDG Group Holding Company",,"Common stock (32,843 shares)",,3378,4113
103,Other Services,"Massage Envy, LLC(25)",Franchisor in the massage industry,"First lien senior secured loan ($8,017 par due 9/2018)",8.50% (Libor + 7.25%/Q),8017,8017
104,Other Services,"Massage Envy, LLC(25)",,"First lien senior secured loan ($46,434 par due 9/2018)",8.50% (Libor + 7.25%/Q),46434,46434
105,Other Services,"Massage Envy, LLC(25)",,"First lien senior secured loan ($19,469 par due 9/2018)",8.50% (Libor + 7.25%/Q),19469,19469
106,Other Services,"Massage Envy, LLC(25)",,"Common stock (3,000,000 shares)",,3000,5077
107,Other Services,"McKenzie Sports Products, LLC(25)","Designer, manufacturer and distributor of hunting-related supplies","First lien senior secured loan ($39,500 par due 9/2020)",6.75% (Libor + 5.75%/M),39500,37920
108,Other Services,"McKenzie Sports Products, LLC(25)",,"First lien senior secured loan ($45,000 par due 9/2020)",6.75% (Libor + 5.75%/M),45000,43200
109,Other Services,"OpenSky Project, Inc. and OSP Holdings, Inc.",Social commerce platform operator,"First lien senior secured loan ($2,100 par due 9/2017)",10.00%,2083,2100
110,Other Services,"OpenSky Project, Inc. and OSP Holdings, Inc.",,"Warrant to purchase up to 159,496 shares of Series D preferred stock",,48,0
111,Other Services,"Osmose Holdings, Inc.",Provider of structural integrity management services to transmission and distribution infrastructure,"Second lien senior secured loan ($25,000 par due 8/2023)",8.75% (Libor + 7.75%/Q),24521,24250
112,Other Services,"PODS, LLC",Storage and warehousing,"Second lien senior secured loan ($17,500 par due 2/2023)",9.25% (Libor + 8.25%/Q),17343,17500
113,Other Services,Spin HoldCo Inc.,Laundry service and equipment provider,"Second lien senior secured loan ($140,000 par due 5/2020)",8.00% (Libor + 7.00%/Q),140000,131600
114,Other Services,"Surface Dive, Inc.",SCUBA diver training and certification provider,"Second lien senior secured loan ($53,686 par due 1/2022)",9.00% (Libor + 8.00%/Q),53686,53686
115,Other Services,"Surface Dive, Inc.",,"Second lien senior secured loan ($72,000 par due 1/2022)",10.25% (Libor + 9.25%/Q),71612,72000
116,Other Services,"TWH Water Treatment Industries, Inc., TWH Filtration Industries, Inc. and TWH Infrastructure Industries, Inc.(25)","Wastewater infrastructure repair, treatment and filtration holding company","First lien senior secured loan ($2,240 par due 10/2019)",10.25% (Libor + 9.25%/Q),2240,2218
117,Other Services,"TWH Water Treatment Industries, Inc., TWH Filtration Industries, Inc. and TWH Infrastructure Industries, Inc.(25)",,"First lien senior secured loan ($36,400 par due 10/2019)",10.25% (Libor + 9.25%/Q),36400,36036
118,Other Services,"U.S. Security Associates Holdings, Inc",Security guard service provider,"Senior subordinated loan ($25,000 par due 7/2018)",11.00%,25000,25000
119,Other Services,WASH Multifamily Acquisition Inc. and Coinamatic Canada Inc.,Laundry service and equipment provider,"Second lien senior secured loan ($3,726 par due 5/2023)",8.00% (Libor + 7.00%/Q),3657,3540
120,Other Services,WASH Multifamily Acquisition Inc. and Coinamatic Canada Inc.,,"Second lien senior secured loan ($21,274 par due 5/2023)",8.00% (Libor + 7.00%/Q),20880,20210
121,Other Services,WASH Multifamily Acquisition Inc. and Coinamatic Canada Inc.,,,,848081,815027
122,Consumer Products,"Feradyne Outdoors, LLC and Bowhunter Holdings, LLC",Provider of branded archery and bowhunting accessories,"First lien senior secured loan ($4,500 par due 3/2019)",4.00% (Libor + 3.00%/Q),4500,4365
123,Consumer Products,"Feradyne Outdoors, LLC and Bowhunter Holdings, LLC",,"First lien senior secured loan ($9,500 par due 3/2019)",6.55% (Libor + 5.55%/Q),9500,9120
124,Consumer Products,"Feradyne Outdoors, LLC and Bowhunter Holdings, LLC",,"First lien senior secured loan ($6,742 par due 3/2019)",4.00% (Libor + 3.00%/Q),6742,6540
125,Consumer Products,"Feradyne Outdoors, LLC and Bowhunter Holdings, LLC",,"First lien senior secured loan ($50,100 par due 3/2019)",6.55% (Libor + 5.55%/Q),50100,48096
126,Consumer Products,"Feradyne Outdoors, LLC and Bowhunter Holdings, LLC",,Common units (373 units),,3733,3390
127,Consumer Products,Indra Holdings Corp.,"Designer, marketer, and distributor of rain and cold weather products","Second lien senior secured loan ($80,000 par due 11/2021)",8.50% (Libor + 7.50%/Q),78987,72000
128,Consumer Products,"Matrixx Initiatives, Inc. and Wonder Holdings Acquisition Corp.",Developer and marketer of OTC healthcare products,"Warrant to purchase up to 1,654,678 shares of common stock",,0,505
129,Consumer Products,"Matrixx Initiatives, Inc. and Wonder Holdings Acquisition Corp.",,"Warrant to purchase up to 1,120 shares of preferred stock",,0,1342
130,Consumer Products,"Oak Parent, Inc.",Manufacturer of athletic apparel,"First lien senior secured loan ($2,586 par due 4/2018)",7.61% (Libor + 7.00%/Q),2582,2586
131,Consumer Products,"Oak Parent, Inc.",,"First lien senior secured loan ($8,232 par due 4/2018)",7.61% (Libor + 7.00%/Q),8216,8232
132,Consumer Products,"PG-ACP Co-Invest, LLC","Supplier of medical uniforms, specialized medical footwear and accessories","Class A membership units (1,000,0000 units)",,1000,1937
133,Consumer Products,"Plantation Products, LLC, Seed Holdings, Inc. and Flora Parent, Inc.",Provider of branded lawn and garden products,"Second lien senior secured loan ($66,000 par due 6/2021)",9.54% (Libor + 8.54%/Q),65683,66000
134,Consumer Products,"Plantation Products, LLC, Seed Holdings, Inc. and Flora Parent, Inc.",,"Common stock (30,000 shares)",,3000,4138
135,Consumer Products,SHO Holding I Corporation,Manufacturer and distributor of slip resistant footwear,"Second lien senior secured loan ($100,000 par due 4/2023)",9.50% (Libor + 8.50%/Q),97497,98000
136,Consumer Products,"Shock Doctor, Inc. and Shock Doctor Holdings, LLC(7)","Developer, marketer and distributor of sports protection equipment and accessories","Second lien senior secured loan ($89,425 par due 10/2021)",11.50% (Libor + 10.50%/Q),89425,89425
137,Consumer Products,"Shock Doctor, Inc. and Shock Doctor Holdings, LLC(7)",,"Class A preferred units (50,000 units)",,5000,5299
138,Consumer Products,"Shock Doctor, Inc. and Shock Doctor Holdings, LLC(7)",,"Class C preferred units (50,000 units)",,5000,5299
139,Consumer Products,The Hygenic Corporation,"Designer, manufacturer and marketer of branded wellness products","Second lien senior secured loan ($70,000 par due 4/2021)",9.75% (Libor + 8.75%/Q),70000,68600
140,Consumer Products,"The Step2 Company, LLC(8)",Toy manufacturer,"Second lien senior secured loan ($27,583 par due 9/2019)",10.00%,27484,27583
141,Consumer Products,"The Step2 Company, LLC(8)",,"Second lien senior secured loan ($4,500 par due 9/2019)",10.00%,4500,4500
142,Consumer Products,"The Step2 Company, LLC(8)",,"Second lien senior secured loan ($43,196 par due 9/2019)",,30802,12527
143,Consumer Products,"The Step2 Company, LLC(8)",,"Common units (1,116,879 units)",,24,0
144,Consumer Products,"The Step2 Company, LLC(8)",,"Class B common units (126,278,000 units)",,0,0
145,Consumer Products,"The Step2 Company, LLC(8)",,"Warrant to purchase up to 3,157,895 units",,0,0
146,Consumer Products,"Varsity Brands Holding Co., Inc., Hercules Achievement, Inc., Hercules Achievement Holdings, Inc. and Hercules VB Holdings, Inc.","Leading manufacturer and distributor of textiles, apparel & luxury goods","Second lien senior secured loan ($55,576 par due 12/2022)",9.75% (Libor + 8.75%/Q),55090,55576
147,Consumer Products,"Varsity Brands Holding Co., Inc., Hercules Achievement, Inc., Hercules Achievement Holdings, Inc. and Hercules VB Holdings, Inc.",,"Second lien senior secured loan ($91,697 par due 12/2022)",9.75% (Libor + 8.75%/Q),90901,91697
148,Consumer Products,"Varsity Brands Holding Co., Inc., Hercules Achievement, Inc., Hercules Achievement Holdings, Inc. and Hercules VB Holdings, Inc.",,"Common stock (3,353,370 shares)",,3353,4372
149,Consumer Products,"Varsity Brands Holding Co., Inc., Hercules Achievement, Inc., Hercules Achievement Holdings, Inc. and Hercules VB Holdings, Inc.",,"Common stock (3,353,371 shares)",,4147,5406
150,Consumer Products,"Varsity Brands Holding Co., Inc., Hercules Achievement, Inc., Hercules Achievement Holdings, Inc. and Hercules VB Holdings, Inc.",,,,717266,696535
151,Power Generation,"Alphabet Energy, Inc.",Technology developer to convert waste-heat into electricity,"First lien senior secured loan ($3,900 par due 7/2017)",9.62%,3773,3900
152,Power Generation,"Alphabet Energy, Inc.",,"Series B preferred stock (74,449 shares)",,250,400
153,Power Generation,"Alphabet Energy, Inc.",,"Warrant to purchase up to 59,524 units of Series B preferred stock",,146,120
154,Power Generation,Bicent (California) Holdings LLC,Gas turbine power generation facilities operator,"Senior subordinated loan ($49,507 par due 2/2021)",8.25% (Libor + 7.25%/Q),49507,49507
155,Power Generation,"Brush Power, LLC",Gas turbine power generation facilities operator,"First lien senior secured loan ($44,863 par due 8/2020)",6.25% (Libor + 5.25%/Q),44863,44863
156,Power Generation,"Brush Power, LLC",,First lien senior secured loan ($500 par due 8/2020),7.75% (Base Rate + 4.25%/Q),500,500
157,Power Generation,"Brush Power, LLC",,"First lien senior secured loan ($2,271 par due 8/2020)",6.25% (Libor + 5.25%/Q),2271,2271
158,Power Generation,"Brush Power, LLC",,First lien senior secured loan ($6 par due 8/2020),7.75% (Base Rate + 4.25%/Q),6,6
159,Power Generation,"Brush Power, LLC",,"First lien senior secured loan ($9,720 par due 8/2020)",6.25% (Libor + 5.25%/Q),9720,9720
160,Power Generation,"Brush Power, LLC",,First lien senior secured loan ($108 par due 8/2020),7.75% (Base Rate + 4.25%/Q),108,108
161,Power Generation,"CPV Maryland Holding Company II, LLC",Gas turbine power generation facilities operator,"Senior subordinated loan ($44,460 par due 12/2020)","5.00% Cash, 5.00% PIK",44460,41348
162,Power Generation,"CPV Maryland Holding Company II, LLC",,Warrant to purchase up to 4 units of common stock,,0,200
163,Power Generation,"DESRI VI Management Holdings, LLC",Wind power generation facility operator,"Senior subordinated loan ($25,000 par due 12/2021)",9.75%,25000,25000
164,Power Generation,"DESRI VI Management Holdings, LLC",,Non-Controlling units (10.0 units),,1483,1378
165,Power Generation,"Grant Wind Holdings II, LLC",Wind power generation facility,"Senior subordinated loan ($23,400 par due 7/2016)",10.00%,23400,23400
166,Power Generation,"Green Energy Partners, Stonewall LLC and Panda Stonewall Intermediate Holdings II LLC",Gas turbine power generation facilities operator,"First lien senior secured loan ($25,000 par due 11/2021)",6.50% (Libor + 5.50%/Q),24753,23000
167,Power Generation,"Green Energy Partners, Stonewall LLC and Panda Stonewall Intermediate Holdings II LLC",,"Senior subordinated loan ($18,508 par due 12/2021)","8.00% Cash, 5.25% PIK",18508,17398
168,Power Generation,"Green Energy Partners, Stonewall LLC and Panda Stonewall Intermediate Holdings II LLC",,"Senior subordinated loan ($86,519 par due 12/2021)","8.00% Cash, 5.25% PIK",86519,81328
169,Power Generation,"Joule Unlimited Technologies, Inc. and Stichting Joule Global Foundation(25)",Renewable fuel and chemical production developer,"First lien senior secured loan ($10,000 par due 10/2018)",10.00% (Libor + 9.00%/M),9881,10000
170,Power Generation,"Joule Unlimited Technologies, Inc. and Stichting Joule Global Foundation(25)",,"Warrant to purchase up to 32,051 shares of Series C-2 preferred stock",,0,13
171,Power Generation,"La Paloma Generating Company, LLC","Natural gas fired, combined cycle plant operator","Second lien senior secured loan ($10,000 par due 2/2020)",,9469,3000
172,Power Generation,Moxie Liberty LLC,Gas turbine power generation facilities operator,"First lien senior secured loan ($35,000 par due 8/2020)",7.50% (Libor + 6.50%/Q),34714,33250
173,Power Generation,Moxie Patriot LLC,Gas turbine power generation facilities operator,"First lien senior secured loan ($35,000 par due 12/2020)",6.75% (Libor + 5.75%/Q),34720,32550
174,Power Generation,Panda Power Annex Fund Hummel Holdings II LLC,Gas turbine power generation facilities operator,"Senior subordinated loan ($73,566 par due 10/2016)",12.00% PIK,73068,73566
175,Power Generation,"Panda Sherman Power, LLC",Gas turbine power generation facilities operator,"First lien senior secured loan ($32,104 par due 9/2018)",9.00% (Libor + 7.50%/Q),32104,28893
176,Power Generation,"Panda Temple Power II, LLC",Gas turbine power generation facilities operator,"First lien senior secured loan ($20,000 par due 4/2019)",7.25% (Libor + 6.00%/Q),19887,17800
177,Power Generation,"Panda Temple Power, LLC",Gas turbine power generation facilities operator,"First lien senior secured loan ($24,813 par due 3/2022)",7.25% (Libor + 6.25%/Q),23654,22083
