,Company,Business Description,Investment,Interest,Acquisition Date,Amortized Cost,Fair Value
20,"CT Technologies Intermediate Holdings, Inc. and CT Technologies Holdings LLC (6)",Healthcare analysis services provider,"First lien senior secured loan ($2,226 par due 3/2017)",7.75% (Libor + 6.50%/M),3/15/2011,2226,2226
21,"CT Technologies Intermediate Holdings, Inc. and CT Technologies Holdings LLC (6)",Healthcare analysis services provider,"Class A common stock (9,679 shares)",0,6/15/2007,4000,6448
22,"CT Technologies Intermediate Holdings, Inc. and CT Technologies Holdings LLC (6)",Healthcare analysis services provider,"Class C common stock (1,546 shares)",0,6/15/2007,0,1778
23,"Dialysis Newco, Inc.",Dialysis provider,"First lien senior secured loan ($27,245 par due 8/2020)",6.50% (Base Rate + 3.25%/Q),8/16/2013,27245,27245
24,"Dialysis Newco, Inc.",Dialysis provider,"Second lien senior secured loan ($56,500 par due 2/2021)",9.75% (Libor + 8.50%/Q),8/16/2013,56500,56500
25,"Genocea Biosciences, Inc.",Vaccine discovery technology company,"First lien senior secured loan ($3,500 par due 4/2017)",8.00%,9/30/2013,3430,3500
26,"Genocea Biosciences, Inc.",Vaccine discovery technology company,"Warrant to purchase up to 689,655 shares of Series C convertible preferred stock",0,9/30/2013,0,0
27,"INC Research, Inc.",Pharmaceutical and biotechnology consulting services,"Common stock (1,410,000 shares)",0,9/27/2010,1512,1381
28,Intermedix Corporation,Revenue cycle management provider to the emergency healthcare industry,"Second lien senior secured loan ($112,000 par due 6/2019)",10.25% (Libor + 9.00%/Q),12/27/2012,112000,112000
29,"JHP Group Holdings, Inc.",Marketer and manufacturer of branded and generic specialty pharmaceutical products,"Series A preferred stock (1,000,000 shares)",6.00% PIK,2/19/2013,1000,1470
30,"LM Acquisition Holdings, LLC",Developer and manufacturer of medical equipment,Class A units (426 units),0,9/27/2013,1000,1000
31,"Magnacare Holdings, Inc., Magnacare Administrative Services, LLC, and Magnacare, LLC",Healthcare professional provider,"First lien senior secured loan ($135,610 par due 3/2018)",9.00% (Libor + 8.00%/Q),9/15/2010,136251,135610
32,"Magnacare Holdings, Inc., Magnacare Administrative Services, LLC, and Magnacare, LLC",Healthcare professional provider,"First lien senior secured loan ($57,017 par due 3/2018)",9.00% (Libor + 8.00%/Q),9/15/2010,57017,57017
33,"Magnacare Holdings, Inc., Magnacare Administrative Services, LLC, and Magnacare, LLC",Healthcare professional provider,"First lien senior secured loan ($4,747 par due 3/2018)",9.00% (Libor + 8.00%/Q),3/16/2012,4747,4747
34,MW Dental Holding Corp.,Dental services provider,"First lien senior secured revolving loan ($3,500 par due 4/2017)",8.50% (Libor + 7.00%/M),4/12/2011,3500,3500
35,MW Dental Holding Corp.,Dental services provider,"First lien senior secured loan ($57,605 par due 4/2017)",8.50% (Libor + 7.00%/M),4/12/2011,57605,57605
36,MW Dental Holding Corp.,Dental services provider,"First lien senior secured loan ($48,881 par due 4/2017)",8.50% (Libor + 7.00%/M),4/12/2011,48881,48881
37,MW Dental Holding Corp.,Dental services provider,"First lien senior secured loan ($9,825 par due 4/2017)",8.50% (Libor + 7.00%/M),4/12/2011,9825,9825
38,Napa Management Services Corporation,Anesthesia management services provider,"First lien senior secured loan ($23,555 par due 4/2018)",6.50% (Libor + 5.25%/Q),4/15/2011,23555,23555
39,Napa Management Services Corporation,Anesthesia management services provider,"First lien senior secured loan ($33,350 par due 4/2018)",6.50% (Libor + 5.25%/Q),4/15/2011,33283,33350
40,Napa Management Services Corporation,Anesthesia management services provider,"Common units (5,000 units)",0,4/15/2011,5000,7140
41,"Netsmart Technologies, Inc. and NS Holdings, Inc.",Healthcare technology provider,"First lien senior secured loan ($2,851 par due 12/2017)",7.25% (Libor + 6.00%/Q),12/18/2012,2851,2851
42,"Netsmart Technologies, Inc. and NS Holdings, Inc.",Healthcare technology provider,"First lien senior secured loan ($36,492 par due 12/2017)",7.25% (Libor + 6.00%/Q),12/18/2012,36492,36492
43,"Netsmart Technologies, Inc. and NS Holdings, Inc.",Healthcare technology provider,"Common stock (2,500,000 shares)",0,6/21/2010,2500,2539
44,"New Trident Holdcorp, Inc.",Provider of outsourced mobile diagnostic healthcare services,"Second lien senior secured loan ($80,000 par due 7/2020)",10.25% (Libor + 9.00%/Q),8/6/2013,78425,80000
45,OnCURE Medical Corp.,Radiation oncology care provider,"Common stock (857,143 shares)",0,8/18/2006,3000,0
46,"Passport Health Communications, Inc., Passport Holding Corp. and Prism Holding Corp.",Healthcare technology provider,"Series A preferred stock (1,594,457 shares)",10.00% PIK,7/30/2008,5560,7025
47,"Passport Health Communications, Inc., Passport Holding Corp. and Prism Holding Corp.",Healthcare technology provider,"Common stock (16,106 shares)",0,7/30/2008,100,0
48,"PG Mergersub, Inc. and PGA Holdings, Inc.","Provider of patient surveys, management reports and national databases for the integrated healthcare delivery system","Second lien senior secured loan ($21,316 par due 10/2018)",8.25% (Libor + 7.00%/Q),4/19/2012,21316,21316
49,"PG Mergersub, Inc. and PGA Holdings, Inc.","Provider of patient surveys, management reports and national databases for the integrated healthcare delivery system",Preferred stock (333 shares),0,3/12/2008,125,16
50,"PG Mergersub, Inc. and PGA Holdings, Inc.","Provider of patient surveys, management reports and national databases for the integrated healthcare delivery system","Common stock (16,667 shares)",0,3/12/2008,167,821
51,"POS I Corp. (fka Vantage Oncology, Inc.)",Radiation oncology care provider,"Common stock (62,157 shares)",0,2/3/2011,4670,2263
52,"RCHP, Inc.",Operator of general acute care hospitals,"First lien senior secured loan ($14,925 par due",7.00% (Libor + 5.75%/Q),11/4/2011,14925,14925
53,"RCHP, Inc.",Operator of general acute care hospitals,"First lien senior secured loan ($60,670 par due 11/2018)",7.00% (Libor + 5.75%/Q),11/4/2011,60647,60670
54,"RCHP, Inc.",Operator of general acute care hospitals,"Second lien senior secured loan ($85,000 par due 5/2019)",11.50% (Libor + 10.00%/Q),11/4/2011,85000,85000
55,"Reed Group, Ltd.",Medical disability management services provider,Equity interests,0,4/1/2010,0,0
56,"Respicardia, Inc.",Developer of implantable therapies to improve cardiovascular health,"First lien senior secured loan ($4,400 par due 7/2015)",11.00%,6/28/2012,4383,4400
57,"Respicardia, Inc.",Developer of implantable therapies to improve cardiovascular health,"Warrants to purchase up to 99,094 shares of Series C preferred stock",0,6/28/2012,38,29
58,"Sage Products Holdings III, LLC",Patient infection control and preventive care solutions provider,"Second lien senior secured loan ($75,000 par due 6/2020)",9.25% (Libor + 8.00%/Q),12/13/2012,75000,75000
59,"Sorbent Therapeutics, Inc.",Orally-administered drug developer,"First lien senior secured loan ($6,500 par due 9/2016)",10.25%,4/23/2013,6500,6500
60,"Sorbent Therapeutics, Inc.",Orally-administered drug developer,"Warrant to purchase up to 727,272 shares of Series C preferred stock",0,4/23/2013,0,25
61,"Soteria Imaging Services, LLC (6)",Outpatient medical imaging provider,Second lien senior secured loan ($916 par due 11/2010),0,4/1/2010,714,71
62,"Soteria Imaging Services, LLC (6)",Outpatient medical imaging provider,"Second lien senior secured loan ($1,309 par due 11/2010)",0,4/1/2010,1095,101
63,"Soteria Imaging Services, LLC (6)",Outpatient medical imaging provider,"Preferred member units (1,823,179 units)",0,4/1/2010,0,0
64,"SurgiQuest, Inc.",Medical device company,"First lien senior secured loan ($6,767 par due 10/2016)",10.00%,9/28/2012,6596,6767
65,"SurgiQuest, Inc.",Medical device company,"First lien senior secured loan ($2,000 par due 10/2017)",10.69%,9/28/2012,1950,2000
66,"SurgiQuest, Inc.",Medical device company,"Warrants to purchase up to 54,672 shares of Series D-4 convertible preferred stock",0,9/28/2012,0,0
67,"U.S. Anesthesia Partners, Inc.",Anesthesiology service provider,"First lien senior secured loan ($14,925 par due 12/2018)",6.50% (Libor + 5.50%/Q),12/27/2012,14925,14925
68,"Young Innovations, Inc.",Dental supplies and equipment manufacturer,First lien senior secured loan ($30 par due 1/2019),6.75% (Base Rate + 3.50%/Q),1/31/2013,30,30
69,"Young Innovations, Inc.",Dental supplies and equipment manufacturer,First lien senior secured loan ($20 par due 1/2019),6.75% (Base Rate + 3.50%/Q),1/31/2013,20,20
70,"Young Innovations, Inc.",Dental supplies and equipment manufacturer,"First lien senior secured loan ($20,576 par due 1/2019)",5.75% (Libor + 4.50%/M),1/31/2013,20576,20576
71,"Young Innovations, Inc.",Dental supplies and equipment manufacturer,"First lien senior secured loan ($13,938 par due 1/2019)",5.75% (Libor + 4.50%/M),1/31/2013,13938,13938
72,"Access CIG, LLC",Records and information management services provider,First lien senior secured loan ($992 par due 10/2017),7.00% (Libor + 5.75%/Q),10/5/2012,992,992
73,"BluePay Processing, Inc.",Technology-enabled payment processing solutions provider,"First lien senior secured loan ($7,500 par due 8/2019)",5.00% (Libor + 4.00%/Q),8/30/2013,7500,7500
74,"Cast & Crew Payroll, LLC and Centerstage Co-Investors, L.L.C. (6)",Payroll and accounting services provider to the entertainment industry,"First lien senior secured loan ($18,360 par due 12/2017)",7.50% (Libor + 6.50%/Q),12/24/2012,18360,18360
75,"Cast & Crew Payroll, LLC and Centerstage Co-Investors, L.L.C. (6)",Payroll and accounting services provider to the entertainment industry,First lien senior secured loan ($890 par due 12/2017),8.75% (Base Rate + 5.50%/Q),12/24/2012,890,890
76,"Cast & Crew Payroll, LLC and Centerstage Co-Investors, L.L.C. (6)",Payroll and accounting services provider to the entertainment industry,"First lien senior secured loan ($45,900 par due 12/2017)",7.50% (Libor + 6.50%/Q),12/24/2012,45900,45900
77,"Cast & Crew Payroll, LLC and Centerstage Co-Investors, L.L.C. (6)",Payroll and accounting services provider to the entertainment industry,"First lien senior secured loan ($2,225 par due",8.75% (Base Rate + 5.50%/Q),12/24/2012,2225,2225
78,"Cast & Crew Payroll, LLC and Centerstage Co-Investors, L.L.C. (6)",Payroll and accounting services provider to the entertainment industry,"Class A membership units (2,500,000 units)",0,12/24/2012,2500,2748
79,"Cast & Crew Payroll, LLC and Centerstage Co-Investors, L.L.C. (6)",Payroll and accounting services provider to the entertainment industry,"Class B membership units (2,500,000 units)",0,12/24/2012,2500,2748
80,"CIBT Investment Holdings, LLC",Expedited travel document processing services,"Class A shares (2,500 shares)",0,12/15/2011,2500,3587
81,CitiPostal Inc. (7),Document storage and management services,First lien senior secured revolving loan ($500 par due 12/2013),6.50% (Libor + 4.50%/M),4/1/2010,500,500
82,CitiPostal Inc. (7),Document storage and management services,"First lien senior secured loan ($53,623 par due 12/2013)","8.50% Cash, 5.50% PIK",4/1/2010,53623,53623
83,CitiPostal Inc. (7),Document storage and management services,"Senior subordinated loan ($19,399 par due 12/2015)",0,4/1/2010,13038,1655
84,CitiPostal Inc. (7),Document storage and management services,"Common stock (37,024 shares)",0,4/1/2010,0,0
85,"Command Alkon, Inc.",Software solutions provider to the ready-mix concrete industry,"Second lien senior secured loan ($39,130 par due 3/2018)",9.75% (Libor + 8.50%/Q),9/28/2012,39130,39130
86,"Cornerstone Records Management, LLC",Physical records storage and management service provider,"First lien senior secured loan ($16,397 par due 12/2015)",9.50% (Libor + 8.00%/Q),8/12/2011,16397,16397
87,"Coverall North America, Inc.",Commercial janitorial services provider,Letter of credit facility,0,1/17/2013,0,0
88,"HCPro, Inc. and HCP Acquisition Holdings, LLC (7)",Healthcare compliance advisory services,"Senior subordinated loan ($8,907 par due 8/2014)",0,3/5/2013,2691,552
89,"HCPro, Inc. and HCP Acquisition Holdings, LLC (7)",Healthcare compliance advisory services,"Class A units (14,293,110 units)",0,6/26/2008,12793,0
90,IfByPhone Inc.,Voice-based marketing automation software provider,"First lien senior secured loan ($1,733 par due 11/2015)",11.00%,10/15/2012,1678,1733
91,IfByPhone Inc.,Voice-based marketing automation software provider,First lien senior secured loan ($933 par due 1/2016),11.00%,10/15/2012,933,933
92,IfByPhone Inc.,Voice-based marketing automation software provider,"Warrant to purchase up to 124,300 shares of Series C preferred stock",0,10/15/2012,88,71
93,"Impact Innovations Group, LLC",IT consulting and outsourcing services,Member interest (50.00% interest),0,4/1/2010,0,200
94,"Investor Group Services, LLC (6)",Business consulting for private equity and corporate clients,Limited liability company membership interest (8.5% interest),0,6/22/2006,0,624
95,"IronPlanet, Inc.",Online auction platform provider for used heavy equipment,"First lien senior secured loan ($5,000 par due 7/2017)",9.25%,9/24/2013,4687,4800
96,"IronPlanet, Inc.",Online auction platform provider for used heavy equipment,"Warrant to purchase to up to 133,333 shares of Series C preferred stock",0,9/24/2013,214,214
97,"Itel Laboratories, Inc.",Data services provider for building materials to property insurance industry,"Preferred units (1,798,391 units)",0,6/29/2012,1000,1052
98,"Keynote Systems, Inc. and Hawaii Ultimate Parent Corp., Inc.",Web and mobile cloud performance testing and monitoring services provider,"First lien senior secured loan ($175,000 par due 2/2020)",9.50% (Libor + 8.50%/S),8/22/2013,175000,175000
99,"Keynote Systems, Inc. and Hawaii Ultimate Parent Corp., Inc.",Web and mobile cloud performance testing and monitoring services provider,"Class A common stock (2,970 shares)",0,8/22/2013,2970,2970
100,"Keynote Systems, Inc. and Hawaii Ultimate Parent Corp., Inc.",Web and mobile cloud performance testing and monitoring services provider,"Class B common stock (1,956,522 shares)",0,8/22/2013,30,30
101,"Multi-Ad Services, Inc. (6)",Marketing services and software provider,"Preferred units (1,725,280 units)",0,4/1/2010,788,2102
102,"Multi-Ad Services, Inc. (6)",Marketing services and software provider,"Common units (1,725,280 units)",0,4/1/2010,0,0
103,"MVL Group, Inc. (7)",Marketing research provider,"Senior subordinated loan ($37,467 par due 7/2012)",0,4/1/2010,34636,6952
104,"MVL Group, Inc. (7)",Marketing research provider,Junior subordinated loan ($185 par due 7/2012),0,4/1/2010,0,0
105,"MVL Group, Inc. (7)",Marketing research provider,"Common stock (560,716 shares)",0,4/1/2010,0,0
106,"NComputing, Inc.",Desktop virtualization hardware and software,"First lien senior secured loan ($6,500 par due",10.50%,3/20/2013,6500,6500
107,"NComputing, Inc.",Desktop virtualization hardware and software,"Warrant to purchase up to 462,726 shares of Series C preferred stock",0,3/20/2013,0,6
108,"Pillar Processing LLC and PHL Investors, Inc. (6)",Mortgage services,"First lien senior secured loan ($6,262 par due 11/2018)",0,7/31/2008,5688,4764
109,"Pillar Processing LLC and PHL Investors, Inc. (6)",Mortgage services,"First lien senior secured loan ($7,375 par due 5/2019)",0,11/20/2007,5862,0
110,"Pillar Processing LLC and PHL Investors, Inc. (6)",Mortgage services,Class A common stock (576 shares),0,7/31/2012,3768,0
111,"Powersport Auctioneer Holdings, LLC",Powersport vehicle auction operator,"Common units (1,972 units)",0,3/2/2012,1000,816
112,"PSSI Holdings, LLC",Provider of mission-critical outsourced cleaning and sanitation services to the food processing industry,"First lien senior secured loan ($1,000 par due 6/2018)",6.00% (Libor + 5.00%/Q),8/7/2013,1000,1000
113,R2 Acquisition Corp.,Marketing services,"Common stock (250,000 shares)",0,5/29/2007,250,141
114,"Rainstor, Inc.",Database solutions provider,"First lien senior secured loan ($3,000 par due 4/2016)",11.25%,3/28/2013,2925,3000
115,"Rainstor, Inc.",Database solutions provider,"Warrant to purchase up to 142,210 shares of Series C preferred stock",0,3/28/2013,88,70
116,"Strident Holding, Inc.",Recovery audit services provider to commercial and governmental healthcare payors,"First lien senior secured loan ($7,639 par due 7/2018)",6.50% (Libor + 5.25%/Q),7/26/2012,7639,7639
117,"Strident Holding, Inc.",Recovery audit services provider to commercial and governmental healthcare payors,"First lien senior secured loan ($9,603 par due 7/2018)",6.50% (Libor + 5.25%/Q),7/26/2012,9603,9603
118,Summit Business Media Parent Holding Company LLC,Business media consulting services,Limited liability company membership interest (45.98% interest),0,5/20/2011,0,1489
119,"TOA Technologies, Inc.","Cloud based, mobile workforce management applications provider","First lien senior secured loan ($12,892 par due 11/2016)",10.25%,10/31/2012,12404,12892
120,"TOA Technologies, Inc.","Cloud based, mobile workforce management applications provider","Warrant to purchase up to 2,509,770 shares of Series D preferred stock",0,10/31/2012,605,1032
121,"Tripwire, Inc.",IT security software provider,"First lien senior secured loan ($104,950 par due 5/2018)",8.00% (Libor + 6.75%/Q),5/23/2011,104950,104950
122,"Tripwire, Inc.",IT security software provider,"First lien senior secured loan ($49,875 par due 5/2018)",8.00% (Libor + 6.75%/Q),5/23/2011,49875,49875
123,"Tripwire, Inc.",IT security software provider,"First lien senior secured loan ($9,975 par due 5/2018)",8.00% (Libor + 6.75%/Q),5/23/2011,9975,9975
124,"Tripwire, Inc.",IT security software provider,"Class A common stock (2,970 shares)",0,5/23/2011,2970,7555
125,"Tripwire, Inc.",IT security software provider,"Class B common stock (2,655,638 shares)",0,5/23/2011,30,76
126,"Venturehouse-Cibernet Investors, LLC",Financial settlement services for intercarrier wireless roaming,Equity interest,0,4/1/2010,0,0
127,"VSS-Tranzact Holdings, LLC (6)",Management consulting services,Common membership interest (5.98% interest),0,10/26/2007,10204,3479
128,"X Plus Two Solutions, Inc. and X Plus One Solutions, Inc.",Provider of open and integrated software for digital marketing optimization,"First lien senior secured revolving loan ($5,640 par due 9/2014)",8.50%,4/1/2013,5640,5640
129,"X Plus Two Solutions, Inc. and X Plus One Solutions, Inc.",Provider of open and integrated software for digital marketing optimization,"First lien senior secured loan ($7,000 par due 10/2016)",10.00%,4/1/2013,6618,6720
130,"X Plus Two Solutions, Inc. and X Plus One Solutions, Inc.",Provider of open and integrated software for digital marketing optimization,"Warrant to purchase up to 999,167 shares of Series C preferred stock",0,4/1/2013,284,284
131,"American Academy Holdings, LLC","Provider of education, training, certification, networking, and consulting services to medical coders and other healthcare professionals","First lien senior secured revolving loan ($4,850 par due 3/2019)",6.00% (Libor + 5.00%/Q),3/18/2011,4850,4850
132,"American Academy Holdings, LLC","Provider of education, training, certification, networking, and consulting services to medical coders and other healthcare professionals","First lien senior secured loan ($59,236 par due 3/2019)",6.00% (Libor + 5.00%/Q),3/18/2011,59236,59236
133,"American Academy Holdings, LLC","Provider of education, training, certification, networking, and consulting services to medical coders and other healthcare professionals","First lien senior secured loan ($4,651 par due 3/2019)",6.00% (Libor + 5.00%/Q),3/18/2011,4651,4651
134,Campus Management Corp. and Campus Management Acquisition Corp. (6),Education software developer,"Preferred stock (485,159 shares)",0,2/8/2008,10520,1942
135,"Community Education Centers, Inc.",Offender re-entry and in-prison treatment services provider,"First lien senior secured loan ($14,643 par due 12/2014)",6.25% (Libor + 5.25%/Q),12/10/2010,14643,14643
136,"Community Education Centers, Inc.",Offender re-entry and in-prison treatment services provider,"Second lien senior secured loan ($34,706 par due 12/2015)","15.27% (Libor + 8.50% Cash, 6.50% PIK/Q)",12/10/2010,34706,33665
137,"Community Education Centers, Inc.",Offender re-entry and in-prison treatment services provider,"Second lien senior secured loan ($10,475 par due 12/2015)","15.28% (Libor + 8.50% Cash, 6.50% PIK/Q)",12/10/2010,10475,10161
138,"Community Education Centers, Inc.",Offender re-entry and in-prison treatment services provider,"Warrants to purchase up to 654,618 shares",0,12/10/2010,0,1090
139,"ELC Acquisition Corp., ELC Holdings Corporation, and Excelligence Learning Corporation (6)","Developer, manufacturer and retailer of educational products","Preferred stock (99,492 shares)",12.00% PIK,8/1/2011,9949,9949
140,"ELC Acquisition Corp., ELC Holdings Corporation, and Excelligence Learning Corporation (6)","Developer, manufacturer and retailer of educational products","Common stock (50,800 shares)",0,8/1/2011,0,2307
141,"Infilaw Holding, LLC",Operator of for-profit law schools,First lien senior secured revolving loan,0,8/25/2011,0,0
142,"Infilaw Holding, LLC",Operator of for-profit law schools,First lien senior secured loan ($1 par due 8/2016),9.50% (Libor + 8.50%/Q),8/25/2011,1,1
143,"Infilaw Holding, LLC",Operator of for-profit law schools,"First lien senior secured loan ($18,943 par due 8/2016)",9.50% (Libor + 8.50%/Q),8/25/2011,18943,18943
144,"Infilaw Holding, LLC",Operator of for-profit law schools,"Series A preferred units (124,890 units)",9.50% (Libor + 8.50%/Q),8/25/2011,124890,124890
145,"Infilaw Holding, LLC",Operator of for-profit law schools,Series B preferred units (3.91 units),0,10/19/2012,9245,10652
146,"Instituto de Banca y Comercio, Inc.",Private school operator,"First lien senior secured loan ($39,760 par due 6/2015)",10.50% (Libor + 8.25%/Q),4/24/2013,39681,38965
147,"Instituto de Banca y Comercio, Inc.",Private school operator,"First lien senior secured loan ($14,887 par due 6/2015)",10.50% (Libor + 8.25%/Q),4/24/2013,14858,14589
148,"Instituto de Banca y Comercio, Inc.",Private school operator,"Series B preferred stock (1,750,000 shares)",0,8/5/2010,5000,7990
149,"Instituto de Banca y Comercio, Inc.",Private school operator,"Series C preferred stock (2,512,586 shares)",0,6/7/2010,689,0
150,"Instituto de Banca y Comercio, Inc.",Private school operator,Common stock (20 shares),0,6/7/2010,0,0
151,"Lakeland Tours, LLC",Educational travel provider,"First lien senior secured revolving loan ($18,000 par due 12/2016)",5.25% (Libor + 4.25%/Q),10/4/2011,18000,18000
152,"Lakeland Tours, LLC",Educational travel provider,"First lien senior secured loan ($27,000 par due 12/2016)",8.50% (Libor + 7.50%/Q),10/4/2011,27000,27000
153,"Lakeland Tours, LLC",Educational travel provider,"First lien senior secured loan ($61,326 par due 12/2016)",8.50% (Libor + 7.50%/Q),10/4/2011,61244,61326
154,"Lakeland Tours, LLC",Educational travel provider,"First lien senior secured loan ($3,968 par due 12/2016)",5.25% (Libor + 4.25%/Q),10/4/2011,3963,3968
155,"Lakeland Tours, LLC",Educational travel provider,"First lien senior secured loan ($40,362 par due 12/2016)",8.50% (Libor + 7.50%/Q),10/4/2011,40271,40362
156,"Lakeland Tours, LLC",Educational travel provider,"First lien senior secured loan ($8,465 par due 12/2016)",5.25% (Libor + 4.25%/Q),10/4/2011,8446,8465
157,"Lakeland Tours, LLC",Educational travel provider,"Common stock (5,000 shares)",0,10/4/2011,5000,5336
158,"R3 Education, Inc. and EIC",Medical school operator,"Preferred stock (8,800",0,7/30/2008,2200,1936
159,"R3 Education, Inc. and EIC",Medical school operator,Common membership interest (26.27% interest),0,9/21/2007,15800,30205
160,"R3 Education, Inc. and EIC",Medical school operator,"Warrants to purchase up to 27,890 shares",0,12/8/2009,0,0
161,"RuffaloCODY, LLC",Provider of student fundraising and enrollment management services,"First lien senior secured loan ($30,693 par due 5/2019)",5.50% (Libor + 4.25%/Q),5/29/2013,30693,30693
162,Capital Investments and Ventures Corp.,SCUBA diver training and certification provider,"First lien senior secured loan ($26,956 par due 8/2018)",7.00% (Libor + 5.75%/Q),8/9/2012,26956,26956
163,Capital Investments and Ventures Corp.,SCUBA diver training and certification provider,"First lien senior secured loan ($34,719 par due 8/2018)",7.00% (Libor + 5.75%/Q),8/9/2012,34719,34719
164,Capital Investments and Ventures Corp.,SCUBA diver training and certification provider,"First lien senior secured loan ($9,488 par due 8/2018)",7.00% (Libor + 5.75%/Q),8/9/2012,9488,9488
165,"Competitor Group, Inc. and Calera XVI, LLC",Endurance sports media and event operator,"First lien senior secured revolving loan ($2,850 par due 11/2018)",10.00% (Base Rate + 6.75%/Q),11/30/2012,2850,2565
166,"Competitor Group, Inc. and Calera XVI, LLC",Endurance sports media and event operator,First lien senior secured revolving loan ($900 par due 11/2018),9.00% (Libor + 7.75%/Q),11/30/2012,900,810
167,"Competitor Group, Inc. and Calera XVI, LLC",Endurance sports media and event operator,"First lien senior secured loan ($24,379 par due 11/2018)","10.00% (Libor + 7.75% Cash, 1.00% PIK/Q)",11/30/2012,24379,21941
168,"Competitor Group, Inc. and Calera XVI, LLC",Endurance sports media and event operator,"First lien senior secured loan ($29,851 par due 11/2018)","10.00% (Libor + 7.75% Cash, 1.00% PIK/Q)",11/30/2012,29851,26866
169,"Competitor Group, Inc. and Calera XVI, LLC",Endurance sports media and event operator,"Membership units (2,500,000 units)",0,11/30/2012,2510,658
170,"ISS #2, LLC","Provider of repairs, refurbishments and services to the broader industrial end user markets","First lien senior secured loan ($14,962 par due 6/2018)",6.50% (Libor + 5.50%/Q),6/5/2013,14962,14962
171,"ISS #2, LLC","Provider of repairs, refurbishments and services to the broader industrial end user markets","First lien senior secured loan ($44,887 par due 6/2018)",6.50% (Libor + 5.50%/Q),6/5/2013,44887,44887
172,"Massage Envy, LLC",Franchisor in the massage industry,"First lien senior secured loan ($29,366 par due 9/2018)",8.50% (Libor + 7.25%/Q),9/27/2012,29366,29366
173,"Massage Envy, LLC",Franchisor in the massage industry,"First lien senior secured loan ($49,609 par due 9/2018)",8.50% (Libor + 7.25%/Q),9/27/2012,49609,49609
174,"Massage Envy, LLC",Franchisor in the massage industry,"Common stock (3,000,000 shares)",0,9/27/2012,3000,3421
175,"McKenzie Sports Products, LLC","Designer, manufacturer and distributor of taxidermy forms and supplies","First lien senior secured loan ($9,314 par due 3/2017)",6.00% (Libor + 4.75%/M),3/30/2012,9314,9314
176,"McKenzie Sports Products, LLC","Designer, manufacturer and distributor of taxidermy forms and supplies",First lien senior secured loan ($11 par due 3/2017),7.00% (Base Rate + 3.75%/M),3/30/2012,11,11
