,Company,Business Description,Investment,Interest,Acquisition Date,Amortized Cost,Fair Value
34,"INC Research, Inc.",Pharmaceutical and biotechnology consulting services,"Common stock (1,410,000 shares)",0,9/27/2010,1512,1846
35,Intermedix Corporation,Revenue cycle management provider to the emergency healthcare industry,"Second lien senior secured loan ($112,000 par due 6/2020)",9.25% (Libor + 8.25%/Q),12/27/2012,112000,112000
36,"LM Acquisition Holdings, LLC (8)",Developer and manufacturer of medical equipment,Class A units (426 units),0,9/27/2013,1000,1024
37,"MC Acquisition Holdings I, LLC",Healthcare professional provider,"Class A units (1,000,000 units)",0,1/17/2014,1000,1000
38,"Monte Nido Holdings, LLC",Outpatient eating disorder treatment provider,"First lien senior secured loan ($44,750 par due 12/2019)",7.75% (Libor + 6.75%/Q),12/20/2013,44750,44750
39,MW Dental Holding Corp.,Dental services provider,"First lien senior secured loan ($1,000 par due 4/2017)",8.50% (Libor + 7.00%/M),4/12/2011,1000,1000
40,MW Dental Holding Corp.,Dental services provider,"First lien senior secured loan ($35,004 par due 4/2017)",8.50% (Libor + 7.00%/M),4/12/2011,35004,35004
41,MW Dental Holding Corp.,Dental services provider,"First lien senior secured loan ($48,609 par due 4/2017)",8.50% (Libor + 7.00%/M),4/12/2011,48609,48609
42,MW Dental Holding Corp.,Dental services provider,"First lien senior secured loan ($9,771 par due 4/2017)",8.50% (Libor + 7.00%/M),4/12/2011,9771,9771
43,Napa Management Services Corporation,Anesthesia management services provider,"First lien senior secured loan ($66,734 par due 2/2019)",6.00% (Libor + 5.00%/Q),4/15/2011,66734,66734
44,Napa Management Services Corporation,Anesthesia management services provider,"First lien senior secured loan ($33,266 par due 2/2019)",6.00% (Libor + 5.00%/Q),4/15/2011,33206,33266
45,Napa Management Services Corporation,Anesthesia management services provider,"Common units (5,345 units)",0,4/15/2011,5623,8717
46,National Healing Corporation and National Healing Holding Corp.,Wound care service and equipment provider,"Second lien senior secured loan ($10,000 par due 2/2020)",9.25% (Libor + 8.00%/Q),12/13/2013,10285,10200
47,National Healing Corporation and National Healing Holding Corp.,Wound care service and equipment provider,"Preferred stock (869,565 shares)",0,12/13/2013,1296,1462
48,"Netsmart Technologies, Inc. and NS Holdings, Inc.",Healthcare technology provider,"First lien senior secured loan ($2,817 par due 12/2017)",8.75% (Libor + 7.50%/Q),12/18/2012,2817,2817
49,"Netsmart Technologies, Inc. and NS Holdings, Inc.",Healthcare technology provider,"First lien senior secured loan ($36,027 par due 12/2017)",8.75% (Libor + 7.50%/Q),12/18/2012,36027,36027
50,"Netsmart Technologies, Inc. and NS Holdings, Inc.",Healthcare technology provider,"Common stock (2,500,000 shares)",0,6/21/2010,2500,3715
51,"New Trident Holdcorp, Inc.",Outsourced mobile diagnostic healthcare service provider,"Second lien senior secured loan ($80,000 par due 7/2020)",10.25% (Libor + 9.00%/Q),8/6/2013,78505,80000
52,"OmniSYS Acquisition Corporation, OmniSYS, LLC, and OSYS Holdings, LLC",Provider of technology-enabled solutions to pharmacies,"First lien senior secured loan ($20,869 par due 11/2018)",8.50% (Libor + 7.50%/Q),11/21/2013,20869,20869
53,"OmniSYS Acquisition Corporation, OmniSYS, LLC, and OSYS Holdings, LLC",Provider of technology-enabled solutions to pharmacies,Limited liability company membership interest (1.57%),0,11/21/2013,1000,1031
54,"PerfectServe, Inc.",Communications software platform provider for hospitals and physician practices,"First lien senior secured loan ($3,500 par due 4/2017)",10.00%,12/26/2013,3467,3500
55,"PerfectServe, Inc.",Communications software platform provider for hospitals and physician practices,"Warrants to purchase up to 34,113 units of Series C preferred stock",0,12/26/2013,0,70
56,"PG Mergersub, Inc. and PGA Holdings, Inc.","Provider of patient surveys, management reports and national databases for the integrated healthcare delivery system","Second lien senior secured loan ($2,368 par due 10/2018)",8.25% (Libor + 7.00%/M),12/13/2013,2435,2368
57,"PG Mergersub, Inc. and PGA Holdings, Inc.","Provider of patient surveys, management reports and national databases for the integrated healthcare delivery system","Second lien senior secured loan ($21,316 par due 10/2018)",8.25% (Libor + 7.00%/M),4/19/2012,21316,21316
58,"PG Mergersub, Inc. and PGA Holdings, Inc.","Provider of patient surveys, management reports and national databases for the integrated healthcare delivery system",Preferred stock (333 shares),0,3/12/2008,125,18
59,"PG Mergersub, Inc. and PGA Holdings, Inc.","Provider of patient surveys, management reports and national databases for the integrated healthcare delivery system","Common stock (16,667 shares)",0,3/12/2008,167,892
60,"Physiotherapy Associates Holdings, Inc.",Outpatient rehabilitation physical therapy provider,"Class A common stock (100,000 shares)",0,12/13/2013,3090,3090
61,"POS I Corp. (fka Vantage Oncology, Inc.)",Radiation oncology care provider,"Common stock (62,157 shares)",0,2/3/2011,4670,1043
62,"RCHP, Inc.",Operator of general acute care hospitals,"First lien senior secured loan ($4,875 par due 11/2018)",7.00% (Libor + 5.75%/Q),11/4/2011,4875,4875
63,"RCHP, Inc.",Operator of general acute care hospitals,"First lien senior secured loan ($60,365 par due 11/2018)",7.00% (Libor + 5.75%/Q),11/4/2011,60344,60365
64,"RCHP, Inc.",Operator of general acute care hospitals,"First lien senior secured loan ($9,975 par due 11/2018)",7.00% (Libor + 5.75%/Q),11/4/2011,9975,9975
65,"RCHP, Inc.",Operator of general acute care hospitals,"Second lien senior secured loan ($85,000 par due 5/2019)",11.50% (Libor + 10.00%/Q),11/4/2011,85000,85850
66,"Reed Group, Ltd.",Medical disability management services provider,Equity interests,0,4/1/2010,0,0
67,"Respicardia, Inc.",Developer of implantable therapies to improve cardiovascular health,"First lien senior secured loan ($3,200 par due 7/2015)",11.00%,6/28/2012,3191,3200
68,"Respicardia, Inc.",Developer of implantable therapies to improve cardiovascular health,"Warrants to purchase up to 99,094 shares of Series C preferred stock",0,6/26/2012,38,29
69,"Sage Products Holdings III, LLC",Patient infection control and preventive care solutions provider,"Second lien senior secured loan ($75,000 par due 6/2020)",9.25% (Libor + 8.00%/Q),12/13/2012,75000,75000
70,"Sorbent Therapeutics, Inc.",Orally-administered drug developer,"First lien senior secured loan ($6,370 par due 9/2016)",10.25%,4/23/2013,6370,6370
71,"Sorbent Therapeutics, Inc.",Orally-administered drug developer,"Warrant to purchase up to 727,272 shares of Series C Preferred Stock",0,4/23/2013,0,25
72,"SurgiQuest, Inc.",Medical device company,"First lien senior secured revolving loan ($2,200 par due 9/2014)",8.50%,9/28/2012,2200,2200
73,"SurgiQuest, Inc.",Medical device company,"First lien senior secured loan ($5,726 par due 10/2017)",10.00%,9/28/2012,5603,5726
74,"SurgiQuest, Inc.",Medical device company,"First lien senior secured loan ($2,000 par due 10/2017)",10.69%,9/28/2012,1957,2000
75,"SurgiQuest, Inc.",Medical device company,"Warrants to purchase up to 54,672 shares of Series D-4 convertible preferred stock",0,9/28/2012,0,0
76,"U.S. Anesthesia Partners, Inc.",Anesthesiology service provider,"First lien senior secured loan ($29,925 par due 12/2019)",7.25% (Base Rate + 4.00%/Q),12/31/2013,29925,29925
77,"Young Innovations, Inc.",Dental supplies and equipment manufacturer,"First lien senior secured loan ($9,445 par due 1/2019)",5.75% (Libor + 4.50%/Q),1/31/2013,9445,9445
78,"Young Innovations, Inc.",Dental supplies and equipment manufacturer,First lien senior secured loan ($8 par due 1/2019),6.75% (Base Rate + 3.50%/Q),1/31/2013,8,8
79,"Young Innovations, Inc.",Dental supplies and equipment manufacturer,"First lien senior secured loan ($12,958 par due 1/2019)",5.75% (Libor + 4.50%/Q),1/31/2013,12958,12958
80,"Young Innovations, Inc.",Dental supplies and equipment manufacturer,First lien senior secured loan ($12 par due 1/2019),6.75% (Base Rate + 3.50%/Q),1/31/2013,12,12
81,2329497 Ontario Inc. (8),Provider of outsourced data center infrastructure and related services,"Second lien senior secured loan ($45,000 par due 6/2019)",10.50% (Libor + 9.25%/M),12/13/2013,43496,41557
82,"Access CIG, LLC",Records and information management services provider,First lien senior secured loan ($988 par due 10/2017),7.00% (Libor + 5.75%/M),10/5/2012,988,988
83,"BlackArrow, Inc.",Advertising and data solutions software platform provider for the television and video industry,"First lien senior secured loan ($8,000 par due 9/2017)",9.25%,3/13/2014,7723,7920
84,"BlackArrow, Inc.",Advertising and data solutions software platform provider for the television and video industry,"Warrants to purchase up to 517,386 shares of Series C preferred stock",0,3/13/2014,0,76
85,"BluePay Processing, Inc.",Technology-enabled payment processing solutions provider,"First lien senior secured loan ($5,970 par due 8/2019)",5.00% (Libor + 4.00%/Q),8/30/2013,5970,5970
86,"BluePay Processing, Inc.",Technology-enabled payment processing solutions provider,First lien senior secured loan ($15 par due 8/2019),6.25% (Base Rate + 3.00%/Q),8/30/2013,15,15
87,"Cast & Crew Payroll, LLC and Centerstage Co-Investors, L.L.C. (6)",Payroll and accounting services provider to the entertainment industry,"First lien senior secured loan ($12,934 par due 12/2017)",5.75% (Libor + 4.75%/Q),12/24/2012,12934,12934
88,"Cast & Crew Payroll, LLC and Centerstage Co-Investors, L.L.C. (6)",Payroll and accounting services provider to the entertainment industry,"First lien senior secured loan ($44,671 par due 12/2017)",5.75% (Libor + 4.75%/Q),12/24/2012,44671,44671
89,"Cast & Crew Payroll, LLC and Centerstage Co-Investors, L.L.C. (6)",Payroll and accounting services provider to the entertainment industry,"Class A membership units (2,500,000 units)",0,12/24/2012,2500,4634
90,"Cast & Crew Payroll, LLC and Centerstage Co-Investors, L.L.C. (6)",Payroll and accounting services provider to the entertainment industry,"Class B membership units (2,500,000 units)",0,12/24/2012,2500,4634
91,"CIBT Investment Holdings, LLC",Expedited travel document processing services,"Class A shares (2,500 shares)",0,12/15/2011,2500,3758
92,CitiPostal Inc. (7),Document storage and management services,"First lien senior secured revolving loan ($2,500 par due 12/2014)",6.50% (Libor + 4.50%/M),4/1/2010,2500,2500
93,CitiPostal Inc. (7),Document storage and management services,"First lien senior secured loan ($53,846 par due 12/2014)",0,4/1/2010,52041,41500
94,CitiPostal Inc. (7),Document storage and management services,"Senior subordinated loan ($21,027 par due 12/2015)",0,4/1/2010,13038,0
95,CitiPostal Inc. (7),Document storage and management services,"Common stock (37,024 shares)",0,4/1/2010,0,0
96,"Command Alkon, Inc.",Software solutions provider to the ready-mix concrete industry,"Second lien senior secured loan ($10,000 par due 3/2018)",8.75% (Libor + 7.50%/Q),9/28/2012,10000,10000
97,"Command Alkon, Inc.",Software solutions provider to the ready-mix concrete industry,"Second lien senior secured loan ($26,500 par due 5/2019)",8.75% (Libor + 7.50%/S),9/28/2012,26500,26500
98,"Coverall North America, Inc.",Commercial janitorial services provider,Letter of credit facility,0,1/17/2013,0,0
99,"First Insight, Inc.",SaaS company providing merchandising and pricing solutions to companies worldwide,"First lien senior secured loan ($3,500 par due 4/2017)",9.50%,3/20/2014,3396,3465
100,"First Insight, Inc.",SaaS company providing merchandising and pricing solutions to companies worldwide,"Warrants to purchase up to 122,827 shares of Series C preferred stock",0,3/20/2014,0,7
101,"GHS Interactive Security, LLC and LG Security Holdings, LLC",Originates residential security alarm contracts,"First lien senior secured loan ($3,915 par due 5/2018)",7.50% (Libor + 6.00%/S),12/13/2013,3973,3954
102,"GHS Interactive Security, LLC and LG Security Holdings, LLC",Originates residential security alarm contracts,"Class A membership units (1,560,000 units)",0,12/13/2013,1607,432
103,"HCPro, Inc. and HCP Acquisition Holdings, LLC (7)",Healthcare compliance advisory services,"Senior subordinated loan ($9,100 par due 8/2014)",0,3/5/2013,2691,0
104,"HCPro, Inc. and HCP Acquisition Holdings, LLC (7)",Healthcare compliance advisory services,"Class A units (14,293,110 units)",0,6/26/2008,12793,0
105,IfByPhone Inc.,Voice-based marketing automation software provider,"First lien senior secured loan ($1,333 par due 11/2015)",11.00%,10/15/2012,1300,1333
106,IfByPhone Inc.,Voice-based marketing automation software provider,First lien senior secured loan ($733 par due 1/2016),11.00%,10/15/2012,733,733
107,IfByPhone Inc.,Voice-based marketing automation software provider,"Warrant to purchase up to 124,300 shares of Series C preferred stock",0,10/15/2012,88,61
108,"Investor Group Services, LLC (6)",Business consulting for private equity and corporate clients,Limited liability company membership interest (8.5% interest),0,6/22/2006,0,630
109,"IronPlanet, Inc.",Online auction platform provider for used heavy equipment,"First lien senior secured revolving loan ($5,000 par due 9/2015)",8.00%,9/24/2013,5000,5000
110,"IronPlanet, Inc.",Online auction platform provider for used heavy equipment,"First lien senior secured loan ($7,500 par due 7/2017)",9.25%,9/24/2013,7172,7350
111,"IronPlanet, Inc.",Online auction platform provider for used heavy equipment,"Warrant to purchase to up to 133,333 shares of Series C preferred stock",0,9/24/2013,214,242
112,"Itel Laboratories, Inc.",Data services provider for building materials to property insurance industry,"Preferred units (1,798,391 units)",0,6/29/2012,1000,1143
113,"Keynote Systems, Inc. and Hawaii Ultimate Parent Corp., Inc.",Web and mobile cloud performance testing and monitoring services provider,"First lien senior secured loan ($183,175 par due 2/2020)",9.50% (Libor + 8.50%/S),8/22/2013,183175,183175
114,"Keynote Systems, Inc. and Hawaii Ultimate Parent Corp., Inc.",Web and mobile cloud performance testing and monitoring services provider,"Class A common stock (2,970 shares)",0,8/22/2013,2970,3924
115,"Keynote Systems, Inc. and Hawaii Ultimate Parent Corp., Inc.",Web and mobile cloud performance testing and monitoring services provider,"Class B common stock (1,956,522 shares)",0,8/22/2013,30,40
116,"Market Track Holdings, LLC",Business media consulting services company,"Preferred stock (1,500 shares)",0,12/13/2013,1982,2097
117,"Market Track Holdings, LLC",Business media consulting services company,"Common stock (15,000 shares)",0,12/13/2013,1982,2097
118,"MSC.Software Corporation and Maximus Holdings, LLC",Provider of software simulation tools and related services,"First lien senior secured loan ($42,187 par due 11/2017)",8.50% (Libor + 7.25%/Q),12/13/2013,43357,43242
119,"MSC.Software Corporation and Maximus Holdings, LLC",Provider of software simulation tools and related services,"Warrants to purchase up to 1,050,013 shares of common stock",0,12/13/2013,424,1506
120,"Multi-Ad Services, Inc. (6)",Marketing services and software provider,"Preferred units (1,725,280 units)",0,4/1/2010,788,2178
121,"Multi-Ad Services, Inc. (6)",Marketing services and software provider,"Common units (1,725,280 units)",0,4/1/2010,0,0
122,"MVL Group, Inc. (7)",Marketing research provider,"Senior subordinated loan ($33,576 par due 7/2012)",0,4/1/2010,30266,2485
123,"MVL Group, Inc. (7)",Marketing research provider,Junior subordinated loan ($185 par due 7/2012),0,4/1/2010,0,0
124,"MVL Group, Inc. (7)",Marketing research provider,"Common stock (560,716 shares)",0,4/1/2010,0,0
125,"NComputing, Inc.",Desktop virtualization hardware and software technology service provider,"Warrant to purchase up to 462,726 shares of Series C preferred stock",0,3/20/2013,0,45
126,"Pillar Processing LLC, PHL Investors, Inc., and PHL Holding Co. (6)",Mortgage services,"First lien senior secured loan ($3,993 par due 11/2018)",0,7/31/2008,3248,2145
127,"Pillar Processing LLC, PHL Investors, Inc., and PHL Holding Co. (6)",Mortgage services,"First lien senior secured loan ($7,375 par due 5/2019)",0,11/20/2007,5592,0
128,"Pillar Processing LLC, PHL Investors, Inc., and PHL Holding Co. (6)",Mortgage services,Class A common stock (576 shares),0,7/31/2012,3768,0
129,"Platform Acquisition, Inc.",Data center and managed cloud services provider,"Common stock (48,604 shares)",0,12/13/2013,7536,7919
130,"Powersport Auctioneer Holdings, LLC",Powersport vehicle auction operator,"Common units (1,972 units)",0,3/2/2012,1000,955
131,"PSSI Holdings, LLC",Provider of mission-critical outsourced cleaning and sanitation,First lien senior secured loan ($956 par due 6/2018),6.00% (Libor + 5.00%/S),8/7/2013,956,956
132,R2 Acquisition Corp.,Marketing services,"Common stock (250,000 shares)",0,5/29/2007,250,177
133,"Rainstor, Inc.",Database solution provider designed to manage Big Data for large enterprises at the lowest total cost,"First lien senior secured loan ($2,500 par due 4/2016)",11.25%,3/28/2013,2446,2500
134,"Rainstor, Inc.",Database solution provider designed to manage Big Data for large enterprises at the lowest total cost,"Warrant to purchase up to 142,210 shares of Series C preferred stock",0,3/28/2013,88,70
135,Ship Investor & Cy S.C.A. (8),Payment processing company,"Common stock (936,693 shares)",0,12/13/2013,2698,2774
136,Summit Business Media Parent Holding Company LLC,Business media consulting services,Limited liability company membership interest (45.98% interest),0,5/20/2011,0,1620
137,"TOA Technologies, Inc.","Cloud based, mobile workforce management applications provider","First lien senior secured loan ($12,242 par due 11/2016)",10.25%,10/31/2012,11843,12242
138,"TOA Technologies, Inc.","Cloud based, mobile workforce management applications provider","Warrant to purchase up to 2,509,770 shares of Series D preferred stock",0,10/31/2012,605,1189
139,"Tripwire, Inc.",IT security software provider,"First lien senior secured loan ($84,950 par due 5/2018)",7.00% (Libor + 5.75%/Q),5/23/2011,84950,84950
140,"Tripwire, Inc.",IT security software provider,"First lien senior secured loan ($49,875 par due 5/2018)",7.00% (Libor + 5.75%/Q),5/23/2011,49875,49875
141,"Tripwire, Inc.",IT security software provider,"First lien senior secured loan ($9,975 par due 5/2018)",7.00% (Libor + 5.75%/Q),5/23/2011,9975,9975
142,"Tripwire, Inc.",IT security software provider,"Class B common stock (2,655,638 shares)",0,5/23/2011,30,84
143,"Tripwire, Inc.",IT security software provider,"Class A common stock (2,970 shares)",0,5/23/2011,2970,8348
144,Velocity Holdings Corp.,Hosted enterprise resource planning application management services provider,"Common units (1,713,546 units)",0,12/13/2013,4503,4597
145,"Venturehouse-Cibernet Investors, LLC",Financial settlement services for intercarrier wireless roaming,Equity interest,0,4/1/2010,0,0
146,"VSS-Tranzact Holdings, LLC (6)",Management consulting services,Common membership interest (5.98% interest),0,10/26/2007,10204,8677
147,"X Plus Two Solutions, Inc. and X Plus One Solutions, Inc.",Provider of open and integrated software for digital marketing optimization,"First lien senior secured revolving loan ($8,600 par due 9/2014)",8.50%,4/1/2013,8600,8600
148,"X Plus Two Solutions, Inc. and X Plus One Solutions, Inc.",Provider of open and integrated software for digital marketing optimization,"First lien senior secured loan ($6,788 par due 3/2017)",10.00%,4/1/2013,6470,6788
149,"X Plus Two Solutions, Inc. and X Plus One Solutions, Inc.",Provider of open and integrated software for digital marketing optimization,"First lien senior secured loan ($2,000 par due 10/2017)",10.00%,3/28/2014,1781,1820
150,"X Plus Two Solutions, Inc. and X Plus One Solutions, Inc.",Provider of open and integrated software for digital marketing optimization,"Warrant to purchase up to 586,178 shares of Series C preferred stock",0,3/28/2014,180,180
151,"X Plus Two Solutions, Inc. and X Plus One Solutions, Inc.",Provider of open and integrated software for digital marketing optimization,"Warrant to purchase up to 999,167 shares of Series C preferred stock",0,4/1/2013,284,306
152,Capital Investments and Ventures Corp.,SCUBA diver training and certification provider,"First lien senior secured loan ($24,080 par due 8/2018)",7.00% (Libor + 5.75%/Q),8/9/2012,24080,24080
153,Capital Investments and Ventures Corp.,SCUBA diver training and certification provider,"First lien senior secured loan ($8,565 par due 8/2018)",7.00% (Libor + 5.75%/Q),8/9/2012,8565,8565
154,"Community Education Centers, Inc.",Offender re-entry and in-prison treatment services provider,"First lien senior secured loan ($13,571 par due 12/2014)",6.25% (Libor + 5.25%/Q),12/10/2010,13571,13571
155,"Community Education Centers, Inc.",Offender re-entry and in-prison treatment services provider,First lien senior secured loan ($714 par due 12/2014),7.50% (Base Rate + 4.25%/S),12/10/2010,714,714
156,"Community Education Centers, Inc.",Offender re-entry and in-prison treatment services provider,"Second lien senior secured loan ($35,798 par due 12/2015)","15.23% (Libor + 10.00% Cash, 5.00% PIK/Q)",12/10/2010,35798,34008
157,"Community Education Centers, Inc.",Offender re-entry and in-prison treatment services provider,"Second lien senior secured loan ($10,790 par due 12/2015)","15.23% (Libor + 10.00% Cash, 5.00% PIK/Q)",12/10/2010,10790,10250
158,"Community Education Centers, Inc.",Offender re-entry and in-prison treatment services provider,"Warrants to purchase up to 654,618 shares",0,12/10/2010,0,0
159,"Competitor Group, Inc. and Calera XVI, LLC",Endurance sports media and event operator,"First lien senior secured revolving loan ($2,850 par due 11/2018)",10.00% (Base Rate + 6.75%/Q),11/30/2012,2850,2565
160,"Competitor Group, Inc. and Calera XVI, LLC",Endurance sports media and event operator,First lien senior secured revolving loan ($900 par due 11/2018),9.00% (Libor + 7.75%/Q),11/30/2012,900,810
161,"Competitor Group, Inc. and Calera XVI, LLC",Endurance sports media and event operator,"First lien senior secured loan ($24,300 par due 11/2018)","10.00% (Libor + 7.75% Cash, 1.00% PIK /Q)",11/30/2012,24300,21870
162,"Competitor Group, Inc. and Calera XVI, LLC",Endurance sports media and event operator,"First lien senior secured loan ($29,755 par due 11/2018)","10.00% (Libor + 7.75% Cash, 1.00% PIK /Q)",11/30/2012,29756,26780
163,"Competitor Group, Inc. and Calera XVI, LLC",Endurance sports media and event operator,"Membership units (2,500,000 units)",0,11/30/2012,2513,371
164,"Crown Health Care Laundry Services, LLC and Crown Laundry Holdings, LLC (6)",Provider of outsourced healthcare linen management solutions,First lien senior secured revolving loan,0,3/13/2014,0,0
165,"Crown Health Care Laundry Services, LLC and Crown Laundry Holdings, LLC (6)",Provider of outsourced healthcare linen management solutions,"First lien senior secured loan ($24,500 par due 3/2019)",8.25% (Libor + 7.00%/Q),3/13/2014,24500,24500
166,"Crown Health Care Laundry Services, LLC and Crown Laundry Holdings, LLC (6)",Provider of outsourced healthcare linen management solutions,"Class A preferred units (2,475,000 units)",0,3/13/2014,2475,2475
167,"Crown Health Care Laundry Services, LLC and Crown Laundry Holdings, LLC (6)",Provider of outsourced healthcare linen management solutions,"Class B common units (275,000 units)",0,3/13/2014,275,275
168,"Fox Hill Holdings, Inc.",Third party claims administrator on behalf of insurance carriers,"First lien senior secured loan ($60,519 par due 6/2018)",6.75% (Libor + 5.75%/Q),1/31/2014,60519,60519
169,"Fox Hill Holdings, Inc.",Third party claims administrator on behalf of insurance carriers,"First lien senior secured loan ($7,135 par due 6/2018)",8.00% (Base Rate + 4.75%/Q),10/31/2013,7135,7135
170,"ISS #2, LLC","Provider of repairs, refurbishments and services to the broader industrial end user markets","First lien senior secured loan ($14,913 par due 6/2018)",6.50% (Libor + 5.50%/Q),6/5/2013,14913,14913
171,"ISS #2, LLC","Provider of repairs, refurbishments and services to the broader industrial end user markets","First lien senior secured loan ($44,662 par due 6/2018)",6.50% (Libor + 5.50%/Q),6/5/2013,44662,44662
172,"Massage Envy, LLC",Franchisor in the massage industry,"First lien senior secured loan ($28,989 par due 9/2018)",8.50% (Libor + 7.25%/Q),9/27/2012,28989,28989
173,"Massage Envy, LLC",Franchisor in the massage industry,"First lien senior secured loan ($48,973 par due 9/2018)",8.50% (Libor + 7.25%/Q),9/27/2012,48973,48973
174,"Massage Envy, LLC",Franchisor in the massage industry,"Common stock (3,000,000 shares)",0,9/27/2012,3000,3595
175,"McKenzie Sports Products, LLC","Designer, manufacturer and distributor of taxidermy forms and supplies",First lien senior secured loan ($37 par due 3/2017),7.00% (Base Rate + 3.75%/M),3/30/2012,37,37
