,Company,Business Description,Investment,Interest,Acquisition Date,Amortized Cost,Fair Value
97,Insightful Science,"Provider of data analysis, statistics, and visualization software solutions for scientific research applications",First lien senior secured loan ($7.6 par due 4/2027),6.50% (Libor + 5.50%/Q),11/29/2021,7.6,7.5
98,Insightful Science,"Provider of data analysis, statistics, and visualization software solutions for scientific research applications",Senior subordinated loan ($39.2 par due 4/2032),10.50% PIK,4/28/2021,39.2,38.8
99,Insightful Science,"Provider of data analysis, statistics, and visualization software solutions for scientific research applications","Preferred units (1,828,645 units)",14.00% PIK,4/28/2021,50.5,50.5
100,"IV Rollover Holdings, LLC","Provider of cloud based IT solutions, infrastructure and services","Class B units (170,490 units)",0,5/31/2017,0.0,0.1
101,"IV Rollover Holdings, LLC","Provider of cloud based IT solutions, infrastructure and services","Class X units (5,000,000 units)",0,5/31/2017,2.1,2.2
102,"Majesco and Magic Topco, L.P. (16)",Insurance software provider,First lien senior secured loan ($42.2 par due 9/2027),8.25% (Libor + 7.25%/Q),9/21/2020,42.2,42.2
103,"Majesco and Magic Topco, L.P. (16)",Insurance software provider,"Class A units (2,539 units)",9.00% PIK,9/21/2020,2.8,4.0
104,"Majesco and Magic Topco, L.P. (16)",Insurance software provider,"Class B units (570,625 units)",0,9/21/2020,0.0,0.0
105,"Ministry Brands Holdings, LLC and RCP MB Investments B, L.P. (16)",Software and payment services provider to faith-based institutions,First lien senior secured loan ($72.7 par due 12/2028),6.25% (Libor + 5.50%/Q),12/30/2021,72.7,72.0
106,"Ministry Brands Holdings, LLC and RCP MB Investments B, L.P. (16)",Software and payment services provider to faith-based institutions,"Limited partner interests (9,574,000 interests)",0,12/30/2021,9.6,9.6
107,"Ministry Brands, LLC and MB Parent HoldCo, L.P. (dba Community Brands) (16)",Software and payment services provider to non-profit institutions,First lien senior secured revolving loan ($5.0 par due 12/2022),7.25% (Base Rate + 4.00%/Q),12/2/2016,5.0,5.0
108,"Ministry Brands, LLC and MB Parent HoldCo, L.P. (dba Community Brands) (16)",Software and payment services provider to non-profit institutions,First lien senior secured loan ($9.2 par due 12/2022),5.00% (Libor + 4.00%/M),4/6/2017,9.2,9.2
109,"Ministry Brands, LLC and MB Parent HoldCo, L.P. (dba Community Brands) (16)",Software and payment services provider to non-profit institutions,First lien senior secured loan ($4.7 par due 12/2022),5.00% (Libor + 4.00%/M),8/22/2017,4.7,4.7
110,"Ministry Brands, LLC and MB Parent HoldCo, L.P. (dba Community Brands) (16)",Software and payment services provider to non-profit institutions,Second lien senior secured loan ($106.6 par due 6/2023),10.25% (Libor + 9.25%/M),12/2/2016,106.4,106.6
111,"Ministry Brands, LLC and MB Parent HoldCo, L.P. (dba Community Brands) (16)",Software and payment services provider to non-profit institutions,Second lien senior secured loan ($13.9 par due 6/2023),10.25% (Libor + 9.25%/M),4/6/2017,13.9,13.9
112,"Ministry Brands, LLC and MB Parent HoldCo, L.P. (dba Community Brands) (16)",Software and payment services provider to non-profit institutions,Second lien senior secured loan ($17.9 par due 6/2023),10.25% (Libor + 9.25%/M),8/22/2017,17.9,17.9
113,"Ministry Brands, LLC and MB Parent HoldCo, L.P. (dba Community Brands) (16)",Software and payment services provider to non-profit institutions,Second lien senior secured loan ($48.9 par due 6/2023),9.00% (Libor + 8.00%/M),4/18/2018,48.9,48.9
114,"Ministry Brands, LLC and MB Parent HoldCo, L.P. (dba Community Brands) (16)",Software and payment services provider to non-profit institutions,"Class A units (500,000 units)",0,12/2/2016,5.0,7.2
115,"Mitchell International, Inc.","Provider of technology, connectivity, and information solutions to the property and casualty insurance industry",Second lien senior secured loan ($91.2 par due 10/2029),7.00% (Libor + 6.50%/M),10/1/2021,90.3,91.6
116,"MMIT Holdings, LLC (16)",Provider of market intelligence and analysis for the pharmaceutical industry,First lien senior secured revolving loan ($0.6 par due 9/2027),7.25% (Libor + 6.25%/Q),9/15/2021,0.6,0.6
117,"MMIT Holdings, LLC (16)",Provider of market intelligence and analysis for the pharmaceutical industry,First lien senior secured loan ($18.2 par due 9/2027),7.25% (Libor + 6.25%/Q),9/15/2021,18.2,18.0
118,"MMIT Holdings, LLC (16)",Provider of market intelligence and analysis for the pharmaceutical industry,First lien senior secured loan ($13.7 par due 9/2027),7.25% (Libor + 6.25%/Q),10/21/2021,13.7,13.6
119,MRI Software LLC (16),Provider of real estate and investment management software,First lien senior secured loan ($51.5 par due 2/2026),6.50% (Libor + 5.50%/Q),2/10/2020,51.5,51.5
120,MRI Software LLC (16),Provider of real estate and investment management software,First lien senior secured loan ($4.5 par due 2/2026),6.50% (Libor + 5.50%/Q),8/28/2020,4.5,4.5
121,OpenMarket Inc.,Provider of cloud-based mobile engagement platform,First lien senior secured loan ($50.7 par due 9/2026),7.00% (Libor + 6.25%/Q),9/17/2021,50.7,50.1
122,"Paya, Inc and GTCR-Ultra Holdings LLC (16)",Provider of payment processing and merchant acquiring solutions,"Class B units (2,878,372 units)",0,8/1/2017,0.0,2.1
123,"PayNearMe, Inc.",Electronic cash payment system provider,"Warrant to purchase up to 195,726 shares of Series E preferred stock (expires 3/2023)",0,3/11/2016,0.2,0.0
124,"PDI TA Holdings, Inc., Peachtree Parent, Inc. and Insight PDI Holdings, LLC (16)",Provider of enterprise management software for the convenience retail and petroleum wholesale market,First lien senior secured loan ($53.5 par due 10/2024),5.50% (Libor + 4.50%/Q),3/19/2019,53.5,53.5
125,"PDI TA Holdings, Inc., Peachtree Parent, Inc. and Insight PDI Holdings, LLC (16)",Provider of enterprise management software for the convenience retail and petroleum wholesale market,Second lien senior secured loan ($7.2 par due 10/2025),9.50% (Libor + 8.50%/Q),12/7/2021,7.2,7.2
126,"PDI TA Holdings, Inc., Peachtree Parent, Inc. and Insight PDI Holdings, LLC (16)",Provider of enterprise management software for the convenience retail and petroleum wholesale market,Second lien senior secured loan ($70.1 par due 10/2025),9.50% (Libor + 8.50%/Q),3/19/2019,70.1,70.1
127,"PDI TA Holdings, Inc., Peachtree Parent, Inc. and Insight PDI Holdings, LLC (16)",Provider of enterprise management software for the convenience retail and petroleum wholesale market,Second lien senior secured loan ($8.3 par due 10/2025),9.50% (Libor + 8.50%/Q),12/17/2020,8.3,8.3
128,"PDI TA Holdings, Inc., Peachtree Parent, Inc. and Insight PDI Holdings, LLC (16)",Provider of enterprise management software for the convenience retail and petroleum wholesale market,Second lien senior secured loan ($8.7 par due 10/2025),9.50% (Libor + 8.50%/B),4/27/2021,8.7,8.7
129,"PDI TA Holdings, Inc., Peachtree Parent, Inc. and Insight PDI Holdings, LLC (16)",Provider of enterprise management software for the convenience retail and petroleum wholesale market,"Series A preferred stock (13,656 shares)",13.25% PIK,3/19/2019,19.5,19.7
130,"PDI TA Holdings, Inc., Peachtree Parent, Inc. and Insight PDI Holdings, LLC (16)",Provider of enterprise management software for the convenience retail and petroleum wholesale market,"Class A units (2,062,493 units)",0,3/19/2019,2.1,2.9
131,"Pegasus Global Enterprise Holdings, LLC, Mekone Blocker Acquisition, Inc. and Mekone Parent, LLC (16)",Provider of plant maintenance and scheduling software,First lien senior secured loan ($0.2 par due 5/2025),6.25% (Libor + 5.25%/Q),5/29/2019,0.2,0.2
132,"Pegasus Global Enterprise Holdings, LLC, Mekone Blocker Acquisition, Inc. and Mekone Parent, LLC (16)",Provider of plant maintenance and scheduling software,First lien senior secured loan ($0.1 par due 5/2025),6.75% (Libor + 5.75%/Q),6/24/2020,0.1,0.1
133,"Pegasus Global Enterprise Holdings, LLC, Mekone Blocker Acquisition, Inc. and Mekone Parent, LLC (16)",Provider of plant maintenance and scheduling software,First lien senior secured loan ($29.9 par due 5/2025),6.75% (Libor + 5.75%/Q),10/16/2020,29.9,29.9
