,Company,Business Description,Investment,Interest,Acquisition Date,Amortized Cost,Fair Value
19,"AxelaCare Holdings, Inc. and AxelaCare Investment Holdings, L.P.",Provider of home infusion services,"Preferred units (8,218,160 units)",0,4/12/2013,866,617
20,"AxelaCare Holdings, Inc. and AxelaCare Investment Holdings, L.P.",Provider of home infusion services,"Common units (83,010 units)",0,4/12/2013,17,6
21,"California Forensic Medical Group, Incorporated (28)",Correctional facility healthcare operator,"First lien senior secured loan ($48,495 par due 11/2018)",9.25% (Libor + 8.00%/Q),11/16/2012,48495,48495
22,"CCS Intermediate Holdings, LLC and CCS Group Holdings, LLC (28)",Correctional facility healthcare operator,"First lien senior secured revolving loan ($2,625 par due 7/2019)",6.25% (Base Rate + 3.00%/Q),7/23/2014,2625,2572
23,"CCS Intermediate Holdings, LLC and CCS Group Holdings, LLC (28)",Correctional facility healthcare operator,"First lien senior secured loan ($6,702 par due 7/2021)",5.00% (Libor + 4.00%/Q),7/23/2014,6672,6568
24,"CCS Intermediate Holdings, LLC and CCS Group Holdings, LLC (28)",Correctional facility healthcare operator,"Second lien senior secured loan ($135,000 par due 7/2022)",9.38% (Libor + 8.38%/Q),7/23/2014,133764,133650
25,"CCS Intermediate Holdings, LLC and CCS Group Holdings, LLC (28)",Correctional facility healthcare operator,"Class A units (601,937 units)",0,8/19/2010,0,1909
26,"DNAnexus, Inc.",Bioinformatics company,"First lien senior secured loan ($4,980 par due 10/2017)",9.25%,3/21/2014,4801,4980
27,"DNAnexus, Inc.",Bioinformatics company,"First lien senior secured loan ($5,000 par due 2/2018)",9.25%,3/21/2014,4804,5000
28,"DNAnexus, Inc.",Bioinformatics company,"Warrants to purchase up to 909,092 units of Series C preferred stock",0,3/21/2014,0,0
29,"Genocea Biosciences, Inc.",Vaccine discovery technology company,"Common stock (31,500 shares)",0,2/10/2014,0,377
30,"Global Healthcare Exchange, LLC and GHX Ultimate Parent Corp. (28)",On-demand supply chain automation solutions provider,"First lien senior secured loan ($230,672 par due 3/2020)",8.50% (Libor + 7.50%/Q),3/11/2014,229129,230672
31,"Global Healthcare Exchange, LLC and GHX Ultimate Parent Corp. (28)",On-demand supply chain automation solutions provider,"Class A common stock (2,475 shares)",0,3/11/2014,2991,2991
32,"Global Healthcare Exchange, LLC and GHX Ultimate Parent Corp. (28)",On-demand supply chain automation solutions provider,Class B common stock (938 shares),0,3/11/2014,30,2235
33,"Greenphire, Inc. and RMCF III CIV XXIX, L.P (28)",Software provider for clinical trial management,"First lien senior secured loan ($4,000 par due 12/2018)",9.00% (Libor + 8.00%/M),12/19/2014,4000,4000
34,"Greenphire, Inc. and RMCF III CIV XXIX, L.P (28)",Software provider for clinical trial management,Limited partnership interest (99.90% interest),0,12/19/2014,999,999
35,"INC Research Mezzanine Co-Invest, LLC",Pharmaceutical and biotechnology consulting services,"Common units (1,410,000 units)",0,9/27/2010,1512,5461
36,Intermedix Corporation,Revenue cycle management provider to the emergency healthcare industry,"Second lien senior secured loan ($112,000 par due 6/2020)",9.25% (Libor + 8.25%/Q),12/27/2012,112000,110880
37,"LM Acquisition Holdings, LLC (8)",Developer and manufacturer of medical equipment,Class A units (426 units),0,9/27/2013,660,1405
38,"MC Acquisition Holdings I, LLC",Healthcare professional provider,"Class A units (1,338,314 shares)",0,1/17/2014,1338,1931
39,"Monte Nido Holdings, LLC",Outpatient eating disorder treatment provider,"First lien senior secured loan ($44,750 par due 12/2019)",8.50% (Libor + 7.50%/Q),12/20/2013,44750,42512
40,MW Dental Holding Corp. (28),Dental services provider,"First lien senior secured revolving loan ($2,000 par due 4/2017)",8.50% (Libor + 7.00%/M),4/12/2011,2000,2000
41,MW Dental Holding Corp. (28),Dental services provider,"First lien senior secured loan ($9,969 par due 4/2017)",8.50% (Libor + 7.00%/M),4/12/2011,9969,9969
42,MW Dental Holding Corp. (28),Dental services provider,"First lien senior secured loan ($24,421 par due 4/2017)",8.50% (Libor + 7.00%/M),4/12/2011,24421,24421
43,MW Dental Holding Corp. (28),Dental services provider,"First lien senior secured loan ($48,114 par due 4/2017)",8.50% (Libor + 7.00%/M),4/12/2011,48114,48114
44,MW Dental Holding Corp. (28),Dental services provider,"First lien senior secured loan ($19,898 par due 4/2017)",8.50% (Libor + 7.00%/M),4/12/2011,19898,19898
45,"My Health Direct, Inc. (28)",Healthcare scheduling exchange software solution provider,"First lien senior secured loan ($3,000 par due 1/2018)",10.75%,9/18/2014,2916,3000
46,"My Health Direct, Inc. (28)",Healthcare scheduling exchange software solution provider,"Warrant to purchase up to 4,548 shares of Series D preferred stock",0,9/18/2014,39,39
47,Napa Management Services Corporation,Anesthesia management services provider,"First lien senior secured loan ($36,734 par due 2/2019)",9.61% (Libor + 8.61%/Q),4/15/2011,36734,36734
48,Napa Management Services Corporation,Anesthesia management services provider,"First lien senior secured loan ($33,266 par due 2/2019)",9.61% (Libor + 8.61%/Q),4/15/2011,33218,33266
49,Napa Management Services Corporation,Anesthesia management services provider,"Common units (5,345 units)",0,4/15/2011,5764,13332
50,"Netsmart Technologies, Inc. and NS Holdings, Inc.",Healthcare technology provider,"Second lien senior secured loan ($90,000 par due 8/2019)",10.50% (Libor + 9.50%/Q),2/27/2015,90000,90000
51,"Netsmart Technologies, Inc. and NS Holdings, Inc.",Healthcare technology provider,"Common stock (2,500,000 shares)",0,6/21/2010,760,3124
52,"New Trident Holdcorp, Inc.",Outsourced mobile diagnostic healthcare service provider,"Second lien senior secured loan ($80,000 par due 7/2020)",10.25% (Libor + 9.00%/Q),8/6/2013,78726,77600
53,"Nodality, Inc.",Biotechnology company,"First lien senior secured loan ($7,920 par due 2/2018)",8.90%,4/25/2014,7709,7920
54,"Nodality, Inc.",Biotechnology company,"First lien senior secured loan ($3,000 par due 8/2018)",8.90%,4/25/2014,2909,3000
55,"Nodality, Inc.",Biotechnology company,"Warrant to purchase up to 164,179 shares of Series B preferred stock",0,4/25/2014,0,41
56,"OmniSYS Acquisition Corporation, OmniSYS, LLC, and OSYS Holdings, LLC (28)",Provider of technology-enabled solutions to pharmacies,"First lien senior secured loan ($20,344 par due 11/2018)",8.50% (Libor + 7.50%/Q),11/21/2013,20344,20344
57,"OmniSYS Acquisition Corporation, OmniSYS, LLC, and OSYS Holdings, LLC (28)",Provider of technology-enabled solutions to pharmacies,Limited liability company membership interest (1.57%),0,11/20/2013,1000,1295
58,"PerfectServe, Inc. (28)",Communications software platform provider for hospitals and physician practices,First lien senior secured revolving loan ($500 par due 6/2015),7.50%,12/26/2013,500,500
59,"PerfectServe, Inc. (28)",Communications software platform provider for hospitals and physician practices,"First lien senior secured loan ($2,500 par due 10/2017)",10.00%,12/26/2013,2481,2500
60,"PerfectServe, Inc. (28)",Communications software platform provider for hospitals and physician practices,"First lien senior secured loan ($3,179 par due 4/2017)",10.00%,12/26/2013,3159,3179
61,"PerfectServe, Inc. (28)",Communications software platform provider for hospitals and physician practices,"Warrants to purchase up to 34,113 units of Series C preferred stock",0,12/26/2013,0,91
62,"PGA Holdings, Inc.","Provider of patient surveys, management reports and national databases for the integrated healthcare delivery system",Preferred stock (333 shares),0,3/12/2008,125,22
63,"PGA Holdings, Inc.","Provider of patient surveys, management reports and national databases for the integrated healthcare delivery system","Common stock (16,667 shares)",0,3/12/2008,167,1080
64,PhyMED Management LLC,Provider of anesthesia services,"First lien senior secured loan ($9,975 par due 11/2020)",5.25% (Libor + 4.25%/M),11/18/2014,9906,9975
65,"Physiotherapy Associates Holdings, Inc.",Physical therapy provider,"Class A common stock (100,000 shares)",0,12/31/2013,3090,2465
66,"POS I Corp. (fka Vantage Oncology, Inc.)",Radiation oncology care provider,"Common stock (62,157 shares)",0,2/3/2011,4670,1034
67,"Reed Group Holdings, LLC",Medical disability management services provider,Equity interests,0,4/1/2010,0,0
68,"Respicardia, Inc.",Developer of implantable therapies to improve cardiovascular health,"Warrants to purchase up to 99,094 shares of Series C preferred stock",0,6/28/2012,38,28
69,"Sage Products Holdings III, LLC",Patient infection control and preventive care solutions provider,"Second lien senior secured loan ($120,000 par due 6/2020)",9.25% (Libor + 8.00%/Q),12/13/2012,119785,120000
70,"Sarnova HC, LLC, Tri-Anim Health Services, Inc., and BEMS Holdings, LLC",Distributor of emergency medical service and respiratory products,"Second lien senior secured loan ($60,000 par due 9/2018)",8.75% (Libor + 8.00%/M),6/30/2014,60000,60000
71,"SurgiQuest, Inc.",Medical device company,"Warrants to purchase up to 54,672 shares of Series D-4 convertible preferred stock",0,9/28/2012,0,0
72,"U.S. Anesthesia Partners, Inc.",Anesthesiology service provider,"First lien senior secured loan ($47,789 par due 12/2019)",6.00% (Libor + 5.00%/Q),6/26/2014,47789,47789
73,"U.S. Anesthesia Partners, Inc.",Anesthesiology service provider,"First lien senior secured loan ($1,812 par due 12/2019)",7.25% (Base Rate + 4.00%/Q),6/26/2014,1812,1812
74,"U.S. Anesthesia Partners, Inc.",Anesthesiology service provider,"Second lien senior secured loan ($50,000 par due 9/2020)",9.00% (Libor + 8.00%/Q),9/24/2014,50000,50000
75,"Young Innovations, Inc.",Dental supplies and equipment manufacturer,"Second lien senior secured loan ($45,000 par due 7/2019)",9.00% (Libor + 8.00%/Q),5/30/2014,45000,45000
76,American Residential Services L.L.C.,"Heating, ventilation and air conditioning services provider","Second lien senior secured loan ($50,000 par due 12/2021)",9.00% (Libor + 8.00%/Q),6/30/2014,49550,50000
77,"Community Education Centers, Inc. and CEC Parent Holdings LLC (7)",Offender re-entry and in-prison treatment services provider,"First lien senior secured loan ($13,819 par due 12/2017)",6.25% (Libor + 5.25%/Q),12/10/2010,13819,13819
78,"Community Education Centers, Inc. and CEC Parent Holdings LLC (7)",Offender re-entry and in-prison treatment services provider,First lien senior secured loan ($467 par due 12/2017),7.50% (Base Rate + 4.25%/Q),12/10/2010,467,467
79,"Community Education Centers, Inc. and CEC Parent Holdings LLC (7)",Offender re-entry and in-prison treatment services provider,"Second lien senior secured loan ($21,945 par due 6/2018)",15.27% (Libor + 15.00%/Q),12/10/2010,21945,21945
80,"Community Education Centers, Inc. and CEC Parent Holdings LLC (7)",Offender re-entry and in-prison treatment services provider,"Class A senior preferred units (7,846 units)",0,3/27/2015,9405,8465
81,"Community Education Centers, Inc. and CEC Parent Holdings LLC (7)",Offender re-entry and in-prison treatment services provider,"Class A junior preferred units (26,154 units)",0,3/27/2015,19761,12602
82,"Community Education Centers, Inc. and CEC Parent Holdings LLC (7)",Offender re-entry and in-prison treatment services provider,Class A common units (134 units),0,3/27/2015,0,0
83,"Competitor Group, Inc. and Calera XVI, LLC (28)",Endurance sports media and event operator,"First lien senior secured revolving loan ($3,750 par due 11/2018)",9.00% (Libor + 7.75%/Q),11/30/2012,3750,3375
84,"Competitor Group, Inc. and Calera XVI, LLC (28)",Endurance sports media and event operator,"First lien senior secured loan ($24,474 par due 11/2018)","10.50% (Libor + 7.75% Cash, 1.50% PIK /Q)",11/30/2012,24474,22027
85,"Competitor Group, Inc. and Calera XVI, LLC (28)",Endurance sports media and event operator,"First lien senior secured loan ($29,968 par due 11/2018)","10.50% (Libor + 7.75% Cash, 1.50% PIK /Q)",11/30/2012,29968,26971
86,"Competitor Group, Inc. and Calera XVI, LLC (28)",Endurance sports media and event operator,"Membership units (2,500,000 units)",0,11/30/2012,2519,105
87,"Crown Health Care Laundry Services, Inc. and Crown Laundry Holdings, LLC (6)(28)",Provider of outsourced healthcare linen management solutions,First lien senior secured revolving loan,0,3/13/2014,0,0
88,"Crown Health Care Laundry Services, Inc. and Crown Laundry Holdings, LLC (6)(28)",Provider of outsourced healthcare linen management solutions,"First lien senior secured loan ($24,255 par due 3/2019)",8.25% (Libor + 7.00%/Q),3/13/2014,24255,24255
89,"Crown Health Care Laundry Services, Inc. and Crown Laundry Holdings, LLC (6)(28)",Provider of outsourced healthcare linen management solutions,"Class A preferred units (2,475,000 units)",0,3/13/2014,2475,3414
90,"Crown Health Care Laundry Services, Inc. and Crown Laundry Holdings, LLC (6)(28)",Provider of outsourced healthcare linen management solutions,"Class B common units (275,000 units)",0,3/13/2014,275,379
91,"Dwyer Acquisition Parent, Inc. and TDG Group Holding Company",Operator of multiple franchise concepts primarily related to home maintenance or repairs,"Senior subordinated loan ($52,670 par due 2/2020)",11.00%,8/15/2014,52670,52670
92,"Dwyer Acquisition Parent, Inc. and TDG Group Holding Company",Operator of multiple franchise concepts primarily related to home maintenance or repairs,"Common stock (30,000 shares)",0,8/15/2014,3000,3651
93,"GHS Interactive Security, LLC and LG Security Holdings, LLC (28)",Originates residential security alarm contracts,"First lien senior secured loan ($6,385 par due 5/2018)",10.50% (Libor + 9.00%/Q),12/13/2013,6415,6385
94,"GHS Interactive Security, LLC and LG Security Holdings, LLC (28)",Originates residential security alarm contracts,"First lien senior secured loan ($3,148 par due 5/2018)",11.25% (Base Rate + 8.00%/Q),12/13/2013,3163,3148
95,"GHS Interactive Security, LLC and LG Security Holdings, LLC (28)",Originates residential security alarm contracts,"Class A membership units (1,560,000 units)",0,12/13/2013,1607,576
96,"Massage Envy, LLC (28)",Franchisor in the massage industry,"First lien senior secured loan ($28,236 par due 9/2018)",8.50% (Libor + 7.25%/Q),9/27/2012,28236,28236
97,"Massage Envy, LLC (28)",Franchisor in the massage industry,"First lien senior secured loan ($47,701 par due 9/2018)",8.50% (Libor + 7.25%/Q),9/27/2012,47701,47701
98,"Massage Envy, LLC (28)",Franchisor in the massage industry,"Common stock (3,000,000 shares)",0,9/27/2012,3000,4530
99,"McKenzie Sports Products, LLC (28)","Designer, manufacturer and distributor of hunting-related supplies","First lien senior secured loan ($84,500 par due 9/2020)",6.75% (Libor + 5.75%/M),9/18/2014,84500,83655
100,"OpenSky Project, Inc.",Social commerce platform operator,"First lien senior secured loan ($3,000 par due 9/2017)",10.00%,6/4/2014,2964,2655
101,"OpenSky Project, Inc.",Social commerce platform operator,"Warrant to purchase up to 46,996 shares of Series D preferred stock",0,6/4/2014,48,0
102,"PODS, LLC",Storage and warehousing,"Second lien senior secured loan ($17,500 par due 2/2023)",9.25% (Libor + 8.25%/Q),2/2/2015,17327,17500
103,Spin HoldCo Inc.,Laundry service and equipment provider,"Second lien senior secured loan ($140,000 par due 5/2020)",8.00% (Libor + 7.00%/M),5/14/2013,140000,137200
104,"Surface Dive, Inc.",SCUBA diver training and certification provider,"Second lien senior secured loan ($72,000 par due 1/2022)",10.25% (Libor + 9.25%/Q),1/29/2015,71565,72000
105,"TWH Water Treatment Industries, Inc., TWH Filtration Industries, Inc. and TWH Infrastructure Industries, Inc. (28)","Wastewater infrastructure repair, treatment and filtration holding company","First lien senior secured loan ($2,240 par due 10/2019)",10.25% (Libor + 9.25%/Q),10/10/2014,2240,2240
106,"TWH Water Treatment Industries, Inc., TWH Filtration Industries, Inc. and TWH Infrastructure Industries, Inc. (28)","Wastewater infrastructure repair, treatment and filtration holding company","First lien senior secured loan ($36,400 par due 10/2019)",10.25% (Libor + 9.25%/Q),10/10/2014,36400,36400
107,"United Road Towing, Inc.",Towing company,Warrants to purchase up to 607 shares,0,4/1/2010,0,0
108,"Wash Multifamily Laundry Systems, LLC",Laundry service and equipment provider,"Second lien senior secured loan ($52,000 par due 2/2020)",7.75% (Libor + 6.75%/M),6/26/2012,52000,52000
109,"Feradyne Outdoors, LLC and Bowhunter Holdings, LLC (28)",Provider of branded archery and bowhunting accessories,"First lien senior secured loan ($50,100 par due 3/2019)",6.55% (Libor + 5.55%/Q),4/24/2014,50100,49098
110,"Feradyne Outdoors, LLC and Bowhunter Holdings, LLC (28)",Provider of branded archery and bowhunting accessories,"First lien senior secured loan ($6,904 par due 3/2019)",4.00% (Libor + 3.00%/Q),4/24/2014,6904,6904
111,"Feradyne Outdoors, LLC and Bowhunter Holdings, LLC (28)",Provider of branded archery and bowhunting accessories,Common units (300 units),0,4/24/2014,3000,2624
112,"Implus Footcare, LLC",Provider of footwear and other accessories,Preferred stock (455 shares),6.00% PIK,10/31/2011,4810,4810
113,"Implus Footcare, LLC",Provider of footwear and other accessories,Common stock (455 shares),0,10/31/2011,0,1685
114,Indra Holdings Corp.,"Designer, marketer, and distributor of rain and cold weather products","Second lien senior secured loan ($80,000 par due 11/2021)",8.50% (Libor + 7.50%/Q),5/1/2014,78857,77600
115,"Matrixx Initiatives, Inc. and Wonder Holdings Acquisition Corp.",Developer and marketer of OTC healthcare products,"Warrants to purchase up to 1,489 shares of preferred stock",0,7/27/2011,0,1119
116,"Matrixx Initiatives, Inc. and Wonder Holdings Acquisition Corp.",Developer and marketer of OTC healthcare products,"Warrants to purchase up to 1,654,678 shares of common stock",0,7/27/2011,0,0
117,"Oak Parent, Inc.",Manufacturer of athletic apparel,"First lien senior secured loan ($2,638 par due 4/2018)",7.50% (Libor + 7.00%/Q),4/2/2012,2633,2638
118,"Oak Parent, Inc.",Manufacturer of athletic apparel,"First lien senior secured loan ($8,399 par due 4/2018)",7.50% (Libor + 7.00%/Q),4/2/2012,8377,8399
119,"PG-ACP Co-Invest, LLC","Supplier of medical uniforms, specialized medical footwear and accessories","Class A membership units (1,000,0000 units)",0,8/29/2012,1000,1369
120,"Plantation Products, LLC, Seed Holdings, Inc. and Flora Parent, Inc.",Provider of branded lawn and garden products,"Second lien senior secured loan ($66,000 par due 6/2021)",9.94% (Libor + 8.94%/Q),12/23/2014,65637,66000
121,"Plantation Products, LLC, Seed Holdings, Inc. and Flora Parent, Inc.",Provider of branded lawn and garden products,"Common stock (30,000 shares)",0,12/23/2014,3000,3225
122,"Shock Doctor, Inc. and Shock Doctor Holdings, LLC (28)","Developer, marketer and distributor of sports protection equipment and accessories","First lien senior secured revolving loan ($4,200 par due 3/2020)",10.00% (Base Rate + 6.75%/Q),3/14/2014,4200,4200
123,"Shock Doctor, Inc. and Shock Doctor Holdings, LLC (28)","Developer, marketer and distributor of sports protection equipment and accessories","First lien senior secured loan ($6,986 par due 3/2020)",8.75% (Libor + 7.75%/M),3/14/2014,6986,6986
124,"Shock Doctor, Inc. and Shock Doctor Holdings, LLC (28)","Developer, marketer and distributor of sports protection equipment and accessories","First lien senior secured loan ($53,594 par due 3/2020)",8.75% (Libor + 7.75%/M),3/14/2014,53594,53594
125,"Shock Doctor, Inc. and Shock Doctor Holdings, LLC (28)","Developer, marketer and distributor of sports protection equipment and accessories","First lien senior secured loan ($19,899 par due 3/2020)",8.75% (Libor + 7.75%/M),3/14/2014,19899,19899
126,"Shock Doctor, Inc. and Shock Doctor Holdings, LLC (28)","Developer, marketer and distributor of sports protection equipment and accessories","Class A preferred units (50,000 units)",0,3/14/2014,5000,5757
127,The Hygenic Corporation,"Designer, manufacturer and marketer of branded wellness products","Second lien senior secured loan ($70,000 par due 4/2021)",9.75% (Libor + 8.75%/Q),2/27/2015,70000,70000
128,"The Step2 Company, LLC (7)",Toy manufacturer,"Second lien senior secured loan ($27,583 par due 9/2019)",10.00%,4/1/2010,27468,27583
129,"The Step2 Company, LLC (7)",Toy manufacturer,"Second lien senior secured loan ($4,500 par due 9/2019)",10.00%,3/13/2014,4500,4500
130,"The Step2 Company, LLC (7)",Toy manufacturer,"Second lien senior secured loan ($38,648 par due 9/2019)",0,4/1/2010,30802,9956
131,"The Step2 Company, LLC (7)",Toy manufacturer,"Common units (1,116,879 units)",0,4/1/2011,24,0
132,"The Step2 Company, LLC (7)",Toy manufacturer,"Class B common units (126,278,000 units)",0,10/30/2014,0,0
133,"The Step2 Company, LLC (7)",Toy manufacturer,"Warrants to purchase up to 3,157,895 units",0,4/1/2010,0,0
134,"Varsity Brands Holding Co., Inc., Hercules Achievement, Inc., Hercules Achievement Holdings, Inc. and Hercules VB Holdings, Inc.","Leading manufacturer and distributor of textiles, apparel & luxury goods","Second lien senior secured loan ($118,969 par due 12/2022)",9.75% (Libor + 8.75%/Q),12/11/2014,117818,118969
135,"Varsity Brands Holding Co., Inc., Hercules Achievement, Inc., Hercules Achievement Holdings, Inc. and Hercules VB Holdings, Inc.","Leading manufacturer and distributor of textiles, apparel & luxury goods","Second lien senior secured loan ($55,576 par due 12/2022)",9.75% (Libor + 8.75%/Q),12/11/2014,55037,55576
136,"Varsity Brands Holding Co., Inc., Hercules Achievement, Inc., Hercules Achievement Holdings, Inc. and Hercules VB Holdings, Inc.","Leading manufacturer and distributor of textiles, apparel & luxury goods","Common stock (3,353,371 shares)",0,12/11/2014,4147,4353
137,"Varsity Brands Holding Co., Inc., Hercules Achievement, Inc., Hercules Achievement Holdings, Inc. and Hercules VB Holdings, Inc.","Leading manufacturer and distributor of textiles, apparel & luxury goods","Common stock (3,353,371 shares)",0,12/11/2014,3353,3520
138,Woodstream Corporation,Pet products manufacturer,First lien senior secured loan ($12 par due 8/2016),7.00% (Base Rate + 3.75%/Q),4/18/2012,12,12
139,Woodstream Corporation,Pet products manufacturer,"First lien senior secured loan ($4,792 par due 8/2016)",6.00% (Libor + 5.00%/Q),4/18/2012,4792,4792
140,Woodstream Corporation,Pet products manufacturer,"Senior subordinated loan ($80,000 par due 2/2017)",11.50%,4/18/2012,78388,80000
141,Woodstream Corporation,Pet products manufacturer,"Common stock (4,254 shares)",0,1/22/2010,1222,2127
142,"Alphabet Energy, Inc.",Technology developer to convert waste-heat into electricity,"First lien senior secured loan ($1,813 par due 7/2017)",9.50%,12/16/2013,1758,1813
143,"Alphabet Energy, Inc.",Technology developer to convert waste-heat into electricity,"First lien senior secured loan ($2,620 par due 7/2017)",9.62%,12/16/2013,2460,2620
144,"Alphabet Energy, Inc.",Technology developer to convert waste-heat into electricity,"Series B preferred stock (74,449 shares)",0,2/26/2014,250,405
145,"Alphabet Energy, Inc.",Technology developer to convert waste-heat into electricity,"Warrant to purchase up to 59,524 units of Series B preferred stock",0,12/16/2013,146,124
146,Bicent (California) Holdings LLC,Gas turbine power generation facilities operator,"Senior subordinated loan ($49,587 par due 2/2021)",8.25% (Libor + 7.25%/Q),2/6/2014,49587,49587
147,"Brush Power, LLC",Gas turbine power generation facilities operator,First lien senior secured loan ($171 par due 8/2020),7.50% (Base Rate + 4.25%/Q),8/1/2013,171,171
148,"Brush Power, LLC",Gas turbine power generation facilities operator,"First lien senior secured loan ($66,182 par due 8/2020)",6.25% (Libor + 5.25%/Q),8/1/2013,66182,66182
149,"CPV Maryland Holding Company II, LLC",Gas turbine power generation facilities operator,"Senior subordinated loan ($43,366 par due 12/2020)","5.00% Cash, 5.00% PIK",8/8/2014,43366,43366
150,"CPV Maryland Holding Company II, LLC",Gas turbine power generation facilities operator,Warrant to purchase up to 4 units of common stock,0,8/8/2014,0,200
151,"DESRI VI Management Holdings, LLC",Wind power generation facility operator,"Senior subordinated loan ($26,500 par due 12/2021)",9.75%,12/24/2014,26500,26500
152,"DESRI VI Management Holdings, LLC",Wind power generation facility operator,Non-controlling units (10.0 units),0,12/24/2014,1483,1483
153,"DESRI Wind Development Acquisition Holdings, L.L.C",Wind and solar power generation facility operator,"Senior subordinated loan ($14,750 par due 8/2021)",9.25%,8/26/2014,14750,14750
154,"DESRI Wind Development Acquisition Holdings, L.L.C",Wind and solar power generation facility operator,Non-controlling units (7.5 units),0,8/26/2014,806,806
155,"Green Energy Partners, Stonewall LLC and Panda Stonewall Intermediate Holdings II LLC (28)",Gas turbine power generation facilities operator,"Senior subordinated loan ($83,140 par due 12/2021)","8.00% Cash, 5.25% PIK",11/13/2014,83140,83140
156,"Joule Unlimited Technologies, Inc. and Stichting Joule Global Foundation (28)",Renewable fuel and chemical production developer,"First lien senior secured loan ($10,000 par due 10/2018)",10.00% (Libor + 9.00%/M),3/31/2015,9850,10000
157,"Joule Unlimited Technologies, Inc. and Stichting Joule Global Foundation (28)",Renewable fuel and chemical production developer,"Warrant to purchase up to 32,051 shares of Series C-2 preferred stock",0,7/25/2013,0,35
158,"Kay Wind Holdings II, LLC",Wind power generation facility,"Senior subordinated loan ($28,760 par due 12/2015)",10.25%,3/31/2015,28582,28760
159,"La Paloma Generating Company, LLC","Natural gas fired, combined cycle plant operator","Second lien senior secured loan ($10,000 par due 2/2020)",9.25% (Libor + 8.25%/Q),2/20/2014,9668,8800
160,Moxie Liberty LLC,Gas turbine power generation facilities operator,"First lien senior secured loan ($76,400 par due 8/2020)",7.50% (Libor + 6.50%/Q),8/21/2013,75644,76400
161,Moxie Patriot LLC,Gas turbine power generation facilities operator,"First lien senior secured loan ($65,000 par due 12/2020)",6.75% (Libor + 5.75%/Q),12/19/2013,64382,65000
162,"Panda Sherman Power, LLC",Gas turbine power generation facilities operator,"First lien senior secured loan ($32,348 par due 9/2018)",9.00% (Libor + 7.50%/Q),9/14/2012,32348,32348
163,"Panda Temple Power II, LLC",Gas turbine power generation facilities operator,"First lien senior secured loan ($20,000 par due 4/2019)",7.25% (Libor + 6.00%/Q),4/3/2013,19860,19600
164,"Panda Temple Power, LLC",Gas turbine power generation facilities operator,"First lien senior secured loan ($25,000 par due 3/2022)",7.25% (Libor + 6.25%/Q),3/6/2015,23690,23500
