,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
101,"Chase Industries, Inc.  #",,One stop,,L + 5.75,,,6.75,,,09/2020,,,3376,,,,3340,,,,0.4,,,,3376,
102,"Chase Industries, Inc.",,One stop,,L + 5.75,,,6.75,,,09/2020,,,234,,,,218,,,,-,,,,234,
103,"Chase Industries, Inc.*  ^#",,One stop,,L + 5.75,,,6.75,,,09/2020,,,20774,,,,20620,,,,2.6,,,,20774,
104,"Harvey Tool Company, LLC",,Senior loan,,L + 5.00,,,N/A,(5),,03/2019,,,-,,,,-,,,,-,,,,-,
105,"Harvey Tool Company, LLC*",,Senior loan,,L + 5.00,,,6.01,,,03/2020,,,3123,,,,3096,,,,0.4,,,,3123,
106,"Inventus Power, Inc  (4)",,One stop,,L + 5.50,,,N/A,(5),,04/2020,,,-,,,,(3,,,,-,,,,(21,
107,"Inventus Power, Inc*^",,One stop,,L + 5.50,,,6.50,,,04/2020,,,8547,,,,8498,,,,1.0,,,,8205,
108,Onicon Incorporated  (4),,One stop,,L + 6.00,,,N/A,(5),,04/2020,,,-,,,,(5,,,,-,,,,-,
109,Onicon Incorporated  *#,,One stop,,L + 6.00,,,7.07,,,04/2020,,,9168,,,,9103,,,,1.1,,,,9168,
110,"Plex Systems, Inc.  (4)",,One stop,,L + 7.50,,,N/A,(5),,06/2018,,,-,,,,(26,,,,-,,,,-,
111,"Plex Systems, Inc.*^",,One stop,,L + 7.50,,,8.75,,,06/2018,,,18797,,,,18441,,,,2.3,,,,18797,
112,"Sunless Merger Sub, Inc.",,Senior loan,,P + 4.00,,,7.50,,,07/2016,,,247,,,,247,,,,-,,,,238,
113,"Sunless Merger Sub, Inc.",,Senior loan,,L + 5.25,,,6.50,,,07/2016,,,1534,,,,1536,,,,0.2,,,,1380,
114,,,,,,,,,,,,,,65800,,,,65065,,,,8.0,,,,65274,
115,Diversified Conglomerate  Service,,,,,,,,,,,,,,,,,,,,,,,,,,
116,"Accellos, Inc.  (4)",,One stop,,L + 5.75,,,N/A,(5),,07/2020,,,-,,,,(15,,,,-,,,,-,
117,"Accellos, Inc.*  ^#",,One stop,,L + 5.75,,,6.75,,,07/2020,,,31960,,,,31675,,,,3.9,,,,31960,
118,"Actiance, Inc.",,One stop,,L + 9.00,,,N/A,(5),,04/2018,,,-,,,,-,,,,-,,,,-,
119,"Actiance, Inc.*^",,One stop,,L + 9.00,,,10.00,,,04/2018,,,2502,,,,2427,,,,0.3,,,,2502,
120,Agility Recovery Solutions Inc.  (4),,One stop,,L + 6.50,,,N/A,(5),,03/2020,,,-,,,,(7,,,,-,,,,(7,
121,Agility Recovery Solutions Inc.*^,,One stop,,L + 6.50,,,7.50,,,03/2020,,,14163,,,,13998,,,,1.7,,,,14021,
122,Bomgar Corporation  (4),,One stop,,L + 6.00,,,N/A,(5),,09/2020,,,-,,,,(18,,,,-,,,,-,
123,Bomgar Corporation*,,One stop,,L + 6.00,,,7.00,,,09/2020,,,29491,,,,29060,,,,3.6,,,,29491,
124,"Daxko, LLC  (4)",,One stop,,L + 5.75,,,N/A,(5),,03/2020,,,-,,,,(22,,,,-,,,,-,
125,"Daxko, LLC  *^#",,One stop,,L + 5.75,,,6.75,,,03/2020,,,28943,,,,28631,,,,3.5,,,,28943,
126,"DTI Holdco, Inc.  #",,Senior loan,,L + 5.00,,,6.00,,,08/2020,,,8302,,,,8236,,,,1.0,,,,8302,
127,"HealthcareSource HR, Inc.  (4)",,One stop,,L + 6.75,,,N/A,(5),,05/2020,,,-,,,,(1,,,,-,,,,-,
128,"HealthcareSource HR, Inc.  #",,One stop,,L + 6.75,,,7.75,,,05/2020,,,17814,,,,17462,,,,2.2,,,,17814,
129,"Host Analytics, Inc.  (4)",,One stop,,N/A,,,N/A,(5),,02/2020,,,-,,,,(5,,,,-,,,,-,
130,"Host Analytics, Inc.",,One stop,,N/A,,,8.50  cash/2.25 PIK,,02/2020,,,2994,,,,2954,,,,0.4,,,,2994,,
131,"Integration Appliance, Inc.  (4)",,One stop,,L + 8.25,,,N/A,(5),,09/2018,,,-,,,,(10,,,,-,,,,(9,
132,"Integration Appliance, Inc.",,One stop,,L + 8.25,,,9.50,,,09/2020,,,5396,,,,5296,,,,0.6,,,,5342,
133,"Integration Appliance, Inc.",,One stop,,L + 8.25,,,9.50,,,09/2020,,,7913,,,,7753,,,,1.0,,,,7834,
134,"Integration Appliance, Inc.*",,One stop,,L + 8.25,,,9.50,,,09/2020,,,719,,,,708,,,,0.1,,,,712,
135,"Integration Appliance, Inc.*^",,One stop,,L + 8.25,,,9.50,,,09/2020,,,16123,,,,15969,,,,2.0,,,,15962,
136,Mediaocean LLC  #,,Senior loan,,L + 4.75,,,5.75,,,08/2022,,,167,,,,164,,,,-,,,,167,
137,"NetSmart Technologies, Inc.",,One stop,,P + 4.25,,,7.75,,,02/2019,,,1045,,,,1030,,,,0.1,,,,1045,
138,"NetSmart Technologies, Inc.^  #",,One stop,,L + 5.25,,,6.25,,,02/2019,,,14741,,,,14634,,,,1.8,,,,14741,
139,"Secure-24, LLC  (4)",,One stop,,L + 6.00,,,N/A,(5),,08/2017,,,-,,,,(2,,,,-,,,,-,
140,"Secure-24, LLC*",,One stop,,L + 6.00,,,7.25,,,08/2017,,,9976,,,,9891,,,,1.2,,,,9976,
141,"Secure-24, LLC^",,One stop,,L + 6.00,,,7.25,,,08/2017,,,1459,,,,1450,,,,0.2,,,,1459,
142,"Severin Acquisition, LLC^",,Senior loan,,L + 5.00,,,6.00,,,07/2021,,,798,,,,791,,,,0.1,,,,798,
143,"Severin Acquisition, LLC^",,Senior loan,,L + 5.38,,,6.38,,,07/2021,,,897,,,,888,,,,0.1,,,,911,
144,"Source Medical Solutions, Inc.",,Second lien,,L + 8.00,,,9.00,,,03/2018,,,9294,,,,9211,,,,1.1,,,,8829,
145,"Steelwedge Software, Inc.  (5)",,One stop,,L + 10.00,,,N/A,(5),,09/2020,,,-,,,,-,,,,-,,,,-,
146,"Steelwedge Software, Inc.^",,One stop,,L + 10.00,,,9.00  cash/2.00 PIK,,09/2020,,,2174,,,,2087,,,,0.3,,,,2174,,
147,"TA MHI Buyer, Inc.  (5)",,One stop,,L + 6.50,,,N/A,(5),,09/2021,,,-,,,,-,,,,-,,,,-,
148,"TA MHI Buyer, Inc.^",,One stop,,L + 6.50,,,7.50,,,09/2021,,,8274,,,,8208,,,,1.0,,,,8274,
149,"TA MHI Buyer, Inc.^",,One stop,,L + 6.50,,,7.50,,,09/2021,,,239,,,,236,,,,-,,,,239,
150,"Trintech, Inc.  (4)",,One stop,,L + 5.75,,,N/A,(5),,10/2021,,,-,,,,(1,,,,-,,,,-,
151,"Trintech, Inc.  *#",,One stop,,L + 5.75,,,6.75,,,10/2021,,,7341,,,,7257,,,,0.9,,,,7341,
152,"Vendavo, Inc.  (4)",,One stop,,L + 8.50,,,N/A,(5),,10/2019,,,-,,,,(11,,,,-,,,,-,
153,"Vendavo, Inc.",,One stop,,L + 8.50,,,9.50,,,10/2019,,,15501,,,,15254,,,,1.9,,,,15501,
154,Vendor Credentialing Service LLC  (4),,One stop,,L + 6.00,,,N/A,(5),,11/2021,,,-,,,,(1,,,,-,,,,-,
155,,,,,Spread,,,,,,,,,,,,,Percentage,,,,,,,,,
156,,,Investment,,Above,,Interest,,,Maturity,,"Principal  / Par ($),",,,Amortized,,,of,,,Fair,,,,,,
157,,,Type,,Index  (1),,Rate  (2),,,Date,,Shares/Units  (3),,,Cost,,,Net  Assets,,,Value,,,,,,
158,Vendor  Credentialing Service LLC,,One stop,,L + 6.00,,,7.00,,,11/2021,,,10246,,,,9998,,,,1.3,,,,10246,
159,"Vitalyst,  LLC",,Senior loan,,P + 4.25,,,7.75,,,09/2017,,,66,,,,65,,,,-,,,,58,
160,"Vitalyst,  LLC",,Senior  loan,,L  + 5.25,,,6.50,,,09/2017,,,1481,,,,1475,,,,0.2,,,,1437,
161,,,,,,,,,,,,,,250019,,,,246715,,,,30.5,,,,249057,
162,Electronics,,,,,,,,,,,,,,,,,,,,,,,,,,
163,"Appriss  Holdings, Inc.",,Senior loan,,L + 4.75,,,5.75,,,11/2020,,,902,,,,868,,,,0.1,,,,902,
164,"Appriss  Holdings, Inc.  *#",,Senior loan,,L + 4.75,,,5.75,,,11/2020,,,20842,,,,20595,,,,2.6,,,,20842,
165,"Compusearch  Software Holdings, Inc.^",,Senior loan,,L + 4.50,,,5.50,,,05/2021,,,1315,,,,1312,,,,0.2,,,,1315,
166,"ECI  Acquisition Holdings, Inc.  (4)",,One stop,,L + 6.25,,,N/A,(5),,03/2019,,,-,,,,(11,,,,-,,,,-,
167,"ECI  Acquisition Holdings, Inc.*  ^#",,One stop,,L + 6.25,,,7.25,,,03/2019,,,21779,,,,21537,,,,2.7,,,,21779,
168,"ECI  Acquisition Holdings, Inc.",,One stop,,L + 6.25,,,7.25,,,03/2019,,,1410,,,,1395,,,,0.2,,,,1410,
169,"Gamma  Technologies, LLC  (4)",,One stop,,L + 5.50,,,N/A,(5),,06/2021,,,-,,,,(1,,,,-,,,,-,
170,"Gamma  Technologies, LLC  ^#",,One stop,,L + 5.50,,,6.50,,,06/2021,,,18092,,,,17935,,,,2.2,,,,18092,
171,Park  Place Technologies LLC  (4),,One stop,,L + 5.25,,,N/A,(5),,06/2022,,,-,,,,(2,,,,-,,,,-,
172,Park  Place Technologies LLC  *#,,One stop,,L + 5.25,,,6.25,,,06/2022,,,12529,,,,12349,,,,1.5,,,,12529,
173,"Sloan  Company, Inc., The",,One stop,,L + 6.25,,,7.25,,,04/2020,,,31,,,,30,,,,-,,,,23,
174,"Sloan  Company, Inc., The  #",,One stop,,L + 6.25,,,7.25,,,04/2020,,,7551,,,,7474,,,,0.8,,,,6419,
175,Sovos  Compliance  (4),,One stop,,L + 6.75,,,N/A,(5),,03/2022,,,-,,,,(1,,,,-,,,,(1,
176,Sovos  Compliance*,,One stop,,L + 6.75,,,7.75,,,03/2022,,,4930,,,,4845,,,,0.6,,,,4856,
177,Sparta  Holding Corporation  (4),,One stop,,L + 5.50,,,N/A,(5),,07/2020,,,-,,,,(27,,,,-,,,,-,
178,Sparta  Holding Corporation*  ^#,,One stop,,L + 5.50,,,6.50,,,07/2020,,,22309,,,,22107,,,,2.7,,,,22309,
179,Syncsort Incorporated  (4),,One stop,,L + 5.50,,,N/A,(5),,11/2021,,,-,,,,(2,,,,-,,,,-,
180,Syncsort Incorporated  *^#,,One stop,,L + 5.50,,,6.50,,,11/2021,,,16693,,,,16379,,,,2.0,,,,16693,
181,"Systems  Maintenance Services Holding, Inc.^",,Senior loan,,L + 4.00,,,5.00,,,10/2019,,,2610,,,,2602,,,,0.3,,,,2610,
182,"Watchfire  Enterprises, Inc.",,Second  lien,,L  + 8.00,,,9.00,,,10/2021,,,9435,,,,9259,,,,1.2,,,,9435,
183,,,,,,,,,,,,,,140428,,,,138643,,,,17.1,,,,139213,
184,Grocery,,,,,,,,,,,,,,,,,,,,,,,,,,
185,"MyWebGrocer,  Inc.",,One stop,,L + 8.75,,,10.00,,,05/2018,,,1586,,,,1577,,,,0.2,,,,1586,
186,"MyWebGrocer, Inc.^",,One stop,,L + 8.75,,,10.00,,,05/2018,,,14271,,,,14145,,,,1.7,,,,14271,
187,"Teasdale  Quality Foods, Inc.  #",,Senior  loan,,L  + 4.75,,,5.77,,,10/2020,,,557,,,,552,,,,0.1,,,,566,
188,,,,,,,,,,,,,,16414,,,,16274,,,,2.0,,,,16423,
189,"Healthcare,  Education and Childcare",,,,,,,,,,,,,,,,,,,,,,,,,,
190,"Active  Day, Inc.  (4)",,One stop,,L + 6.00,,,N/A,(5),,12/2021,,,-,,,,(2,,,,-,,,,-,
191,"Active  Day, Inc.",,One stop,,L + 6.00,,,7.00,,,12/2021,,,13606,,,,13252,,,,1.7,,,,13606,
192,"Active  Day, Inc.  (4)",,One stop,,L + 6.00,,,N/A,(5),,12/2021,,,-,,,,(40,,,,-,,,,-,
193,"Agilitas  USA, Inc.^",,Senior loan,,L + 4.00,,,5.00,,,10/2020,,,2125,,,,2109,,,,0.3,,,,2125,
194,"Aris  Teleradiology Company, LLC",,Senior loan,,L + 4.75,,,N/A,(5),,03/2021,,,-,,,,-,,,,-,,,,-,
195,"Aris  Teleradiology Company, LLC*",,Senior loan,,L + 4.75,,,5.75,,,03/2021,,,946,,,,936,,,,0.1,,,,936,
196,"Avalign  Technologies, Inc.^",,Senior loan,,L + 4.50,,,5.50,,,07/2021,,,1136,,,,1131,,,,0.1,,,,1136,
197,"Avatar  International, LLC",,One stop,,L + 7.89,,,6.19 cash/2.95 PIK,,09/2016,,,658,,,,657,,,,0.1,,,,658,,
198,"Avatar  International, LLC*  (6)",,One stop,,L + 7.89,,,6.19 cash/2.95 PIK,,09/2016,,,7641,,,,7615,,,,0.3,,,,2560,,
199,"Avatar  International, LLC  #(6)",,One stop,,L + 7.89,,,6.19  cash/2.95  PIK,,09/2016,,,1648,,,,1644,,,,0.1,,,,552,,
200,"BIORECLAMATIONIVT,  LLC  (4)",,One stop,,L + 6.25,,,N/A,(5),,01/2021,,,-,,,,(2,,,,-,,,,-,
201,"BIORECLAMATIONIVT,  LLC  *^#",,One stop,,L + 6.25,,,7.25,,,01/2021,,,14464,,,,14223,,,,1.8,,,,14464,
202,"California  Cryobank, LLC",,One stop,,P + 4.25,,,7.75,,,08/2019,,,22,,,,20,,,,-,,,,22,
203,"California  Cryobank, LLC^",,One stop,,L + 5.50,,,6.50,,,08/2019,,,1550,,,,1540,,,,0.2,,,,1550,
204,"California  Cryobank, LLC",,One stop,,L + 5.50,,,6.50,,,08/2019,,,43,,,,42,,,,-,,,,43,
205,Certara L.P.  (4),,One stop,,L + 6.25,,,N/A,(5),,12/2018,,,-,,,,(12,,,,-,,,,-,
206,Certara L.P.  *^#,,One stop,,L + 6.25,,,7.25,,,12/2018,,,30694,,,,30447,,,,3.8,,,,30694,
207,"CPI  Buyer, LLC (Cole-Parmer)*^",,Senior loan,,L + 4.50,,,5.50,,,08/2021,,,7900,,,,7658,,,,0.9,,,,7574,
208,Curo  Health Services LLC  #,,Senior loan,,L + 5.50,,,6.50,,,02/2022,,,1980,,,,1963,,,,0.2,,,,1964,
209,"DCA  Investment Holding, LLC",,One stop,,P + 4.25,,,7.75,,,07/2021,,,372,,,,356,,,,-,,,,359,
210,"DCA  Investment Holding, LLC  *^#",,One stop,,L + 5.25,,,6.25,,,07/2021,,,19063,,,,18693,,,,2.3,,,,18872,
211,"DCA  Investment Holding, LLC  *^#",,One stop,,L + 5.25,,,6.25,,,07/2021,,,13672,,,,13513,,,,1.7,,,,13536,
212,Deca  Dental Management LLC,,One stop,,L + 6.25,,,7.25,,,07/2020,,,37,,,,36,,,,-,,,,37,
213,Deca  Dental Management LLC,,One stop,,L + 6.25,,,7.25,,,07/2020,,,183,,,,173,,,,-,,,,183,
214,Deca  Dental Management LLC*^,,One stop,,L + 6.25,,,7.25,,,07/2020,,,4168,,,,4114,,,,0.5,,,,4168,
