,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
20,Total Liabilities,,,830180,,,,710649,,,,,,,,,,,,,,,,,,,,,,,,,
21,Commitments and Contingencies (Note 9),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Net Assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,"Preferred stock, par value $0.001 per share, 1,000,000 shares authorized, zero shares issued and outstanding as of September 30, 2015 and September 30, 2014",,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
24,"Common stock, par value $0.001 per share, 100,000,000 shares authorized, 51,300,193 and 47,119,498 shares issued and outstanding as of September 30, 2015 and September 30, 2014, respectively",,,51,,,,47,,,,,,,,,,,,,,,,,,,,,,,,,
25,Paid in capital in excess of par,,,790713,,,,720479,,,,,,,,,,,,,,,,,,,,,,,,,
26,Undistributed net investment income,,,4230,,,,3627,,,,,,,,,,,,,,,,,,,,,,,,,
27,Net unrealized appreciation (depreciation) on investments and secured borrowings,,,15134,,,,12694,,,,,,,,,,,,,,,,,,,,,,,,,
28,Net realized gain (loss) on investments,,,742,,,,"(4,108",,,,,,,,,,,,,,,,,,,,,,,,,
29,Total Net Assets,,,810870,,,,732739,,,,,,,,,,,,,,,,,,,,,,,,,
30,Total Liabilities and Total Net Assets,,,1641050,,,,1443388,,,,,,,,,,,,,,,,,,,,,,,,,
31,Number of common shares outstanding,,,51300193,,,,47119498,,,,,,,,,,,,,,,,,,,,,,,,,
32,Net asset value per common share,,,15.80,,,,15.55,,,,,,,,,,,,,,,,,,,,,,,,,
33,,,Investment  Type,,Spread  Above  Index  (1),,Interest  Rate  (2),,Maturity  Date,,Principal/Par  Amount,,Cost,,Percentage  of Net  Assets,,Fair  Value,,,,,,,,,,,,,,,,
34,Investments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Debt investments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Aerospace and Defense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,"ILC Dover, LP",,,One stop,,,,P + 6.00,,,,9.25,,,,03/2019,,,,781,,,,769,,,,0.1,,,,697,
39,"ILC Dover, LP*ˆ",,,One stop,,,,L + 7.00,,,,8.00,,,,03/2020,,,,18124,,,,17941,,,,2.1,,,,16855,
40,"ILC Industries, Inc.  (3)",,,One stop,,,,L + 6.00,,,,No Value,(5),,,07/2020,,,,0,,,,(22,,,,0,,,,(94,
41,"ILC Industries, Inc.*ˆ",,,One stop,,,,L + 6.00,,,,7.00,,,,07/2020,,,,22670,,,,22527,,,,2.7,,,,22386,
42,NTS Technical Systems  (3),,,One stop,,,,L + 6.00,,,,No Value,(5),,,06/2021,,,,0,,,,(47,,,,0,,,,0,
43,NTS Technical Systems  (3),,,One stop,,,,L + 6.00,,,,No Value,(5),,,06/2021,,,,0,,,,(100,,,,0,,,,0,
44,NTS Technical Systems*ˆ,,,One stop,,,,L + 6.00,,,,7.00,,,,06/2021,,,,26441,,,,26001,,,,3.3,,,,26441,
45,"Tresys Technology Holdings, Inc.",,,One stop,,,,L + 6.75,,,,8.00,,,,12/2017,,,,349,,,,345,,,,0,,,,349,
46,"Tresys Technology Holdings, Inc.  (6)",,,One stop,,,,L + 6.75,,,,8.00,,,,12/2017,,,,3899,,,,3845,,,,0.1,,,,1170,
47,Whitcraft LLC,,,One stop,,,,P + 5.25,,,,8.50,,,,05/2020,,,,3,,,,2,,,,0,,,,2,
48,Whitcraft LLCˆ,,,One stop,,,,L + 6.50,,,,7.50,,,,05/2020,,,,13640,,,,13513,,,,1.7,,,,13505,
49,,,,,,,,,,,,,,,,,,,,85907,,,,84774,,,,10.0,,,,81311,
50,Automobile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,"American Driveline Systems, Inc.",,,Senior loan,,,,P + 4.50,,,,7.75,,,,03/2020,,,,57,,,,50,,,,0,,,,57,
52,"American Driveline Systems, Inc.*",,,Senior loan,,,,L + 5.50,,,,6.50,,,,03/2020,,,,1817,,,,1763,,,,0.2,,,,1817,
53,CH Hold Corp. (Caliber Collision),,,Senior loan,,,,L + 4.75,,,,5.75,,,,11/2019,,,,333,,,,330,,,,0.1,,,,333,
54,CH Hold Corp. (Caliber Collision),,,Senior loan,,,,L + 4.75,,,,5.75,,,,11/2019,,,,1862,,,,1846,,,,0.2,,,,1862,
55,Dent Wizard International Corporation*,,,Senior loan,,,,L + 4.75,,,,5.75,,,,04/2020,,,,2585,,,,2572,,,,0.3,,,,2566,
56,"Integrated Supply Network, LLC",,,Senior loan,,,,P + 4.00,,,,6.87,,,,02/2020,,,,347,,,,338,,,,0.1,,,,347,
57,"Integrated Supply Network, LLC*",,,Senior loan,,,,L + 5.25,,,,6.25,,,,02/2020,,,,5662,,,,5590,,,,0.7,,,,5662,
58,"K&N Engineering, Inc.ˆ",,,Senior loan,,,,L + 4.25,,,,5.25,,,,07/2019,,,,136,,,,122,,,,0,,,,132,
59,"K&N Engineering, Inc.  (3)",,,Senior loan,,,,L + 4.25,,,,No Value,(5),,,07/2019,,,,0,,,,(4,,,,0,,,,(5,
60,"K&N Engineering, Inc.ˆ",,,Senior loan,,,,L + 4.25,,,,5.25,,,,07/2019,,,,2883,,,,2844,,,,0.3,,,,2797,
61,,,,,,,,,,,,,,,,,,,,15682,,,,15451,,,,1.9,,,,15568,
62,Banking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,HedgeServ Holding L.P.  (3),,,One stop,,,,L + 6.00,,,,No Value,(5),,,02/2019,,,,0,,,,(6,,,,0,,,,0,
64,HedgeServ Holding L.P.ˆ,,,One stop,,,,L + 8.00,,,,7.00 cash/  2.00 PIK,,,,02/2019,,,,17177,,,,17065,,,,2.2,,,,17177,
65,,,,,,,,,,,,,,,,,,,,17177,,,,17059,,,,2.2,,,,17177,
66,"Beverage, Food and Tobacco",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,"Abita Brewing Co., L.L.C.  (3)",,,One stop,,,,L + 5.75,,,,No Value,(5),,,04/2021,,,,0,,,,(1,,,,0,,,,0,
68,"Abita Brewing Co., L.L.C.",,,One stop,,,,L + 5.75,,,,6.75,,,,04/2021,,,,8074,,,,7924,,,,1.0,,,,8074,
69,ABP Corporation,,,Senior loan,,,,P + 3.50,,,,7.25,,,,09/2018,,,,167,,,,162,,,,0,,,,167,
70,ABP Corporation*,,,Senior loan,,,,L + 4.75,,,,6.00,,,,09/2018,,,,4746,,,,4697,,,,0.6,,,,4746,
71,American Seafoods Group LLC,,,Senior loan,,,,L + 5.00,,,,6.00,,,,08/2021,,,,5001,,,,4952,,,,0.6,,,,4976,
72,"Atkins Nutritionals, Inc*ˆ",,,One stop,,,,L + 5.00,,,,6.25,,,,01/2019,,,,17490,,,,17314,,,,2.2,,,,17512,
73,"Atkins Nutritionals, Inc*ˆ",,,One stop,,,,L + 8.50,,,,9.75,,,,04/2019,,,,21636,,,,21396,,,,2.7,,,,21733,
74,"C. J. Foods, Inc.  (3)",,,One stop,,,,L + 5.50,,,,No Value,(5),,,05/2019,,,,0,,,,(9,,,,0,,,,0,
75,"C. J. Foods, Inc.  (3)",,,One stop,,,,L + 5.50,,,,No Value,(5),,,05/2019,,,,0,,,,(7,,,,0,,,,0,
76,"C. J. Foods, Inc.",,,One stop,,,,L + 5.50,,,,6.50,,,,05/2019,,,,3192,,,,3157,,,,0.4,,,,3192,
77,"Candy Intermediate Holdings, Inc. (Ferrara Candy)ˆ",,,Senior loan,,,,L + 6.25,,,,7.50,,,,06/2018,,,,4838,,,,4761,,,,0.6,,,,4801,
78,"Firebirds International, LLC",,,One stop,,,,L + 5.75,,,,7.00,,,,05/2018,,,,304,,,,300,,,,0,,,,304,
79,"Firebirds International, LLC  (3)",,,One stop,,,,L + 5.75,,,,No Value,(5),,,05/2018,,,,0,,,,(3,,,,0,,,,0,
80,"Firebirds International, LLC  (3)",,,One stop,,,,L + 5.75,,,,No Value,(5),,,05/2018,,,,0,,,,(1,,,,0,,,,0,
81,"Firebirds International, LLC*",,,One stop,,,,L + 5.75,,,,7.00,,,,05/2018,,,,1085,,,,1074,,,,0.1,,,,1085,
82,,,Investment  Type,,Spread  Above  Index  (1),,Interest  Rate  (2),,Maturity  Date,,Principal/ Par  Amount,,Cost,,Percentage  of Net  Assets,,Fair  Value,,,,,,,,,,,,,,,,
83,"Beverage, Food and Tobacco – (continued)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,"First Watch Restaurants, Inc.  (3)",,,One stop,,,,L + 6.00,,,,No Value,(5),,,12/2020,,,,0,,,,(12,,,,0,,,,0,
85,"First Watch Restaurants, Inc.  (3)",,,One stop,,,,L + 6.00,,,,No Value,(5),,,12/2020,,,,0,,,,(12,,,,0,,,,0,
86,"First Watch Restaurants, Inc.  (3)",,,One stop,,,,L + 6.00,,,,No Value,(5),,,12/2020,,,,0,,,,(10,,,,0,,,,0,
87,"First Watch Restaurants, Inc.  (3)",,,One stop,,,,L + 6.00,,,,No Value,(5),,,12/2020,,,,0,,,,(9,,,,0,,,,0,
88,"First Watch Restaurants, Inc.*ˆ",,,One stop,,,,L + 6.00,,,,7.00,,,,12/2020,,,,25860,,,,25598,,,,3.2,,,,25860,
89,"Hopdoddy Holdings, LLC  (3)",,,One stop,,,,L + 8.00,,,,No Value,(5),,,08/2020,,,,0,,,,(3,,,,0,,,,(3,
90,"Hopdoddy Holdings, LLC",,,One stop,,,,L + 8.00,,,,No Value,(5),,,08/2020,,,,0,,,,0,,,,0,,,,0,
91,"Hopdoddy Holdings, LLC",,,One stop,,,,L + 8.00,,,,9.00,,,,08/2020,,,,666,,,,653,,,,0.1,,,,660,
92,IT'SUGAR LLC,,,Senior loan,,,,L + 8.50,,,,10.00,,,,04/2018,,,,7489,,,,7393,,,,0.9,,,,7489,
93,IT'SUGAR LLC,,,Subordinated debt,,,,No Value,,,,5.00,,,,10/2017,,,,1707,,,,1707,,,,0.2,,,,1715,
94,"Northern Brewer, LLC",,,One stop,,,,P + 7.25,,,,8.50 cash/  2.00 PIK,,,,02/2018,,,,697,,,,688,,,,0.1,,,,558,
95,"Northern Brewer, LLC",,,One stop,,,,P + 7.25,,,,8.50 cash/  2.00 PIK,,,,02/2018,,,,6394,,,,6305,,,,0.6,,,,5116,
96,Surfside Coffee Company LLC,,,One stop,,,,L + 5.25,,,,6.25,,,,06/2020,,,,132,,,,122,,,,0,,,,122,
97,Surfside Coffee Company LLC,,,One stop,,,,L + 5.25,,,,6.25,,,,06/2020,,,,10,,,,10,,,,0,,,,10,
98,Surfside Coffee Company LLCˆ,,,One stop,,,,L + 5.25,,,,6.25,,,,06/2020,,,,4515,,,,4472,,,,0.6,,,,4470,
99,Uinta Brewing Company,,,One stop,,,,L + 6.00,,,,7.00,,,,08/2019,,,,385,,,,379,,,,0,,,,362,
100,Uinta Brewing Companyˆ,,,One stop,,,,L + 6.00,,,,7.00,,,,08/2019,,,,3203,,,,3178,,,,0.4,,,,3107,
101,United Craft Brews LLC,,,One stop,,,,L + 6.25,,,,7.25,,,,03/2020,,,,542,,,,527,,,,0.1,,,,542,
102,United Craft Brews LLC,,,One stop,,,,L + 6.25,,,,7.25,,,,03/2020,,,,68,,,,53,,,,0,,,,68,
103,United Craft Brews LLC,,,One stop,,,,L + 6.25,,,,7.25,,,,03/2020,,,,12158,,,,11916,,,,1.5,,,,12158,
104,,,,,,,,,,,,,,,,,,,,130359,,,,128671,,,,15.9,,,,128824,
105,Broadcasting and Entertainment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,"TouchTunes Interactive Networks, Inc.ˆ",,,Senior loan,,,,L + 4.75,,,,5.75,,,,05/2021,,,,1492,,,,1485,,,,0.2,,,,1496,
107,Building and Real Estate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,"Accruent, LLC*",,,One stop,,,,L + 6.25,,,,7.27,,,,11/2019,,,,4721,,,,4682,,,,0.6,,,,4721,
109,"Brooks Equipment Company, LLC  (3)",,,One stop,,,,L + 5.75,,,,No Value,(5),,,08/2020,,,,0,,,,(16,,,,0,,,,0,
110,"Brooks Equipment Company, LLC*ˆ",,,One stop,,,,L + 5.75,,,,6.75,,,,08/2020,,,,24967,,,,24661,,,,3.1,,,,24967,
111,"ITEL Laboratories, Inc.  (3)",,,Senior loan,,,,L + 4.75,,,,No Value,(5),,,06/2018,,,,0,,,,(1,,,,0,,,,0,
112,"ITEL Laboratories, Inc.*",,,Senior loan,,,,L + 4.75,,,,6.00,,,,06/2018,,,,697,,,,692,,,,0.1,,,,697,
113,,,,,,,,,,,,,,,,,,,,30385,,,,30018,,,,3.8,,,,30385,
114,"Chemicals, Plastics and Rubber",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,"Flexan, LLC  (3)",,,One stop,,,,L + 5.25,,,,No Value,(5),,,02/2020,,,,0,,,,(6,,,,0,,,,0,
116,"Flexan, LLC",,,One stop,,,,L + 5.25,,,,6.25,,,,02/2020,,,,6152,,,,6099,,,,0.8,,,,6152,
117,"Flexan, LLC",,,One stop,,,,L + 5.25,,,,No Value,(5),,,02/2020,,,,0,,,,0,,,,0,,,,0,
118,,,,,,,,,,,,,,,,,,,,6152,,,,6093,,,,0.8,,,,6152,
119,"Containers, Packaging and Glass",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,Fort Dearborn Company*ˆ,,,Senior loan,,,,L + 4.25,,,,5.25,,,,10/2017,,,,567,,,,565,,,,0.1,,,,567,
121,Fort Dearborn Company*ˆ,,,Senior loan,,,,L + 4.75,,,,5.77,,,,10/2018,,,,2612,,,,2599,,,,0.3,,,,2612,
122,"Packaging Coordinators, Inc.*ˆ",,,Senior loan,,,,L + 4.25,,,,5.25,,,,08/2021,,,,14850,,,,14724,,,,1.8,,,,14786,
123,"Packaging Coordinators, Inc.",,,Second lien,,,,L + 8.00,,,,9.00,,,,08/2022,,,,10000,,,,9913,,,,1.2,,,,9850,
124,,,,,,,,,,,,,,,,,,,,28029,,,,27801,,,,3.4,,,,27815,
125,Diversified Conglomerate Manufacturing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,"Chase Industries, Inc.",,,One stop,,,,L + 5.75,,,,6.83,,,,09/2020,,,,3393,,,,3353,,,,0.4,,,,3393,
127,"Chase Industries, Inc.",,,One stop,,,,P + 4.50,,,,7.75,,,,09/2020,,,,234,,,,216,,,,0,,,,234,
128,"Chase Industries, Inc.*ˆ",,,One stop,,,,L + 5.75,,,,6.75,,,,09/2020,,,,20880,,,,20706,,,,2.6,,,,20880,
129,"Harvey Tool Company, LLC",,,Senior loan,,,,L + 5.00,,,,No Value,(5),,,03/2019,,,,0,,,,0,,,,0,,,,0,
130,,,Investment  Type,,Spread  Above  Index  (1),,Interest  Rate  (2),,Maturity  Date,,Principal/ Par  Amount,,Cost,,Percentage  of Net  Assets,,Fair  Value,,,,,,,,,,,,,,,,
131,Diversified Conglomerate Manufacturing – (continued),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,"Harvey Tool Company, LLC*",,,Senior loan,,,,L + 5.00,,,,6.00,,,,03/2020,,,,3131,,,,3100,,,,0.4,,,,3100,
133,"ICC-Nexergy, Inc  (3)",,,One stop,,,,L + 5.50,,,,No Value,(5),,,04/2020,,,,0,,,,(3,,,,0,,,,0,
134,"ICC-Nexergy, Incˆ",,,One stop,,,,L + 5.50,,,,6.50,,,,04/2020,,,,8590,,,,8535,,,,1.1,,,,8590,
135,Onicon Incorporated  (3),,,One stop,,,,L + 6.00,,,,No Value,(5),,,04/2020,,,,0,,,,(6,,,,0,,,,0,
136,Onicon Incorporated*,,,One stop,,,,L + 6.00,,,,7.00,,,,04/2020,,,,9286,,,,9212,,,,1.2,,,,9286,
137,"Plex Systems, Inc.  (3)",,,One stop,,,,L + 7.50,,,,No Value,(5),,,06/2018,,,,0,,,,(26,,,,0,,,,0,
138,"Plex Systems, Inc.*ˆ",,,One stop,,,,L + 7.50,,,,8.75,,,,06/2018,,,,18797,,,,18431,,,,2.3,,,,18797,
139,"Sunless Merger Sub, Inc.",,,Senior loan,,,,P + 4.00,,,,7.25,,,,07/2016,,,,59,,,,58,,,,0,,,,32,
140,"Sunless Merger Sub, Inc.*",,,Senior loan,,,,L + 5.25,,,,6.50,,,,07/2016,,,,1651,,,,1647,,,,0.1,,,,1156,
141,,,,,,,,,,,,,,,,,,,,66021,,,,65223,,,,8.1,,,,65468,
142,Diversified Conglomerate Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,"Accellos, Inc.  (3)",,,One stop,,,,L + 5.75,,,,No Value,(5),,,07/2020,,,,0,,,,(17,,,,0,,,,0,
144,"Accellos, Inc.*ˆ",,,One stop,,,,L + 5.75,,,,6.75,,,,07/2020,,,,32121,,,,31804,,,,3.9,,,,32121,
145,"Actiance, Inc.",,,One stop,,,,L + 9.00,,,,No Value,(5),,,04/2018,,,,0,,,,0,,,,0,,,,0,
146,"Actiance, Inc.*ˆ",,,One stop,,,,L + 9.00,,,,10.00,,,,04/2018,,,,2502,,,,2410,,,,0.3,,,,2502,
147,"Aderant North America, Inc.ˆ",,,Senior loan,,,,L + 4.25,,,,5.25,,,,12/2018,,,,446,,,,442,,,,0.1,,,,446,
148,Agility Recovery Solutions Inc.  (3),,,One stop,,,,L + 6.50,,,,No Value,(5),,,03/2020,,,,0,,,,(6,,,,0,,,,0,
149,Agility Recovery Solutions Inc.*ˆ,,,One stop,,,,L + 6.50,,,,7.50,,,,03/2020,,,,10352,,,,10260,,,,1.3,,,,10352,
150,Bomgar Corporation  (3),,,One stop,,,,L + 6.00,,,,No Value,(5),,,09/2020,,,,0,,,,(20,,,,0,,,,(15,
151,Bomgar Corporation*,,,One stop,,,,L + 6.00,,,,7.00,,,,09/2020,,,,29638,,,,29158,,,,3.6,,,,29416,
152,"Daxko, LLC  (3)",,,One stop,,,,L + 5.00,,,,No Value,(5),,,03/2019,,,,0,,,,(18,,,,0,,,,0,
153,"Daxko, LLC*",,,One stop,,,,L + 5.00,,,,6.00,,,,03/2019,,,,15528,,,,15327,,,,1.9,,,,15528,
154,"DTI Holdco, Inc.",,,Senior loan,,,,L + 5.00,,,,6.00,,,,08/2020,,,,8527,,,,8447,,,,1.0,,,,8271,
155,"HealthcareSource HR, Inc.  (3)",,,One stop,,,,L + 6.75,,,,No Value,(5),,,05/2020,,,,0,,,,(2,,,,0,,,,0,
156,"HealthcareSource HR, Inc.",,,One stop,,,,L + 6.75,,,,7.75,,,,05/2020,,,,17903,,,,17508,,,,2.2,,,,17903,
157,"Host Analytics, Inc.  (3)",,,One stop,,,,No Value,,,,No Value,(5),,,02/2020,,,,0,,,,(6,,,,0,,,,0,
158,"Host Analytics, Inc.",,,One stop,,,,No Value,,,,8.50 cash/  2.25 PIK,,,,02/2020,,,,2960,,,,2914,,,,0.4,,,,2960,
159,"Integration Appliance, Inc.",,,One stop,,,,L + 8.25,,,,9.50,,,,09/2018,,,,899,,,,890,,,,0.1,,,,899,
160,"Integration Appliance, Inc.*",,,One stop,,,,L + 8.25,,,,9.50,,,,09/2020,,,,719,,,,709,,,,0.1,,,,719,
161,"Integration Appliance, Inc.",,,One stop,,,,L + 8.25,,,,9.50,,,,06/2019,,,,7914,,,,7766,,,,1.0,,,,7914,
162,"Integration Appliance, Inc.",,,One stop,,,,L + 8.25,,,,9.50,,,,09/2018,,,,5396,,,,5315,,,,0.7,,,,5396,
163,Mediaocean LLC  (3),,,Senior loan,,,,L + 4.50,,,,No Value,(5),,,08/2020,,,,0,,,,(1,,,,0,,,,0,
164,Mediaocean LLC,,,Senior loan,,,,L + 4.75,,,,5.75,,,,08/2022,,,,3000,,,,2934,,,,0.4,,,,2970,
165,"NetSmart Technologies, Inc.",,,One stop,,,,P + 4.25,,,,7.50,,,,02/2019,,,,340,,,,323,,,,0,,,,340,
166,"NetSmart Technologies, Inc.*ˆ",,,One stop,,,,L + 5.25,,,,6.25,,,,02/2019,,,,14816,,,,14690,,,,1.8,,,,14816,
167,"PC Helps Support, LLC",,,Senior loan,,,,P + 4.25,,,,7.50,,,,09/2017,,,,66,,,,65,,,,0,,,,62,
168,"PC Helps Support, LLC",,,Senior loan,,,,L + 5.25,,,,6.51,,,,09/2017,,,,1522,,,,1513,,,,0.2,,,,1492,
169,"Saldon Holdings, Inc.",,,Senior loan,,,,L + 4.50,,,,No Value,(5),,,09/2021,,,,0,,,,0,,,,0,,,,0,
170,"Saldon Holdings, Inc.",,,Senior loan,,,,L + 4.50,,,,5.50,,,,09/2021,,,,2990,,,,2960,,,,0.4,,,,2960,
171,"Secure-24, LLC  (3)",,,One stop,,,,L + 6.00,,,,No Value,(5),,,08/2017,,,,0,,,,(3,,,,0,,,,0,
172,"Secure-24, LLC*",,,One stop,,,,L + 6.00,,,,7.25,,,,08/2017,,,,10028,,,,9911,,,,1.2,,,,10028,
173,"Secure-24, LLCˆ",,,One stop,,,,L + 6.00,,,,7.25,,,,08/2017,,,,1467,,,,1454,,,,0.2,,,,1467,
174,"Severin Acquisition, LLC  (3)",,,Senior loan,,,,L + 4.50,,,,No Value,(5),,,07/2021,,,,0,,,,(1,,,,0,,,,(1,
175,"Severin Acquisition, LLC",,,Senior loan,,,,L + 4.50,,,,5.50,,,,07/2021,,,,4931,,,,4859,,,,0.6,,,,4882,
176,"Source Medical Solutions, Inc.",,,Second lien,,,,L + 8.00,,,,9.00,,,,03/2018,,,,9294,,,,9189,,,,1.1,,,,9294,
177,"Steelwedge Software, Inc.",,,One stop,,,,L + 10.00,,,,No Value,(5),,,09/2020,,,,0,,,,0,,,,0,,,,0,
178,"Steelwedge Software, Inc.ˆ",,,One stop,,,,P + 10.75,,,,12.00 cash/  2.00 PIK,,,,09/2020,,,,2153,,,,2055,,,,0.3,,,,2055,
179,"TA MHI Buyer, Inc.",,,One stop,,,,L + 6.50,,,,No Value,(5),,,09/2021,,,,0,,,,0,,,,0,,,,0,
180,,,Investment  Type,,Spread  Above  Index  (1),,Interest  Rate  (2),,Maturity  Date,,Principal/ Par  Amount,,Cost,,Percentage  of Net  Assets,,Fair  Value,,,,,,,,,,,,,,,,
181,Diversified Conglomerate Service – (continued),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,"TA MHI Buyer, Inc.ˆ",,,One stop,,,,L + 6.50,,,,7.50,,,,09/2021,,,,8294,,,,8222,,,,1.0,,,,8222,
183,"Vendavo, Inc.  (3)",,,One stop,,,,L + 8.50,,,,No Value,(5),,,10/2019,,,,0,,,,(13,,,,0,,,,0,
184,"Vendavo, Inc.",,,One stop,,,,L + 8.50,,,,9.50,,,,10/2019,,,,15501,,,,15219,,,,1.9,,,,15501,
185,,,,,,,,,,,,,,,,,,,,209307,,,,206257,,,,25.7,,,,208500,
186,Electronics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,"Appriss Holdings, Inc.",,,Senior loan,,,,L + 4.75,,,,5.07,,,,11/2020,,,,902,,,,865,,,,0.1,,,,873,
188,"Appriss Holdings, Inc.*",,,Senior loan,,,,L + 4.75,,,,5.75,,,,11/2020,,,,20948,,,,20673,,,,2.5,,,,20738,
189,"Compusearch Software Holdings, Inc.ˆ",,,Senior loan,,,,L + 4.50,,,,5.50,,,,05/2021,,,,1321,,,,1318,,,,0.2,,,,1321,
190,"ECI Acquisition Holdings, Inc.",,,One stop,,,,L + 6.25,,,,7.25,,,,03/2019,,,,1410,,,,1349,,,,0.2,,,,1410,
191,"ECI Acquisition Holdings, Inc.  (3)",,,One stop,,,,L + 6.25,,,,No Value,(5),,,03/2019,,,,0,,,,(13,,,,0,,,,0,
192,"ECI Acquisition Holdings, Inc.*ˆ",,,One stop,,,,L + 6.25,,,,7.25,,,,03/2019,,,,21779,,,,21495,,,,2.7,,,,21779,
193,"Gamma Technologies, LLC  (3)",,,One stop,,,,L + 5.50,,,,No Value,(5),,,06/2021,,,,0,,,,(1,,,,0,,,,0,
194,"Gamma Technologies, LLCˆ",,,One stop,,,,L + 5.50,,,,6.50,,,,06/2021,,,,18183,,,,18010,,,,2.2,,,,18183,
195,Park Place Technologies LLC,,,One stop,,,,L + 5.50,,,,No Value,(5),,,07/2021,,,,0,,,,0,,,,0,,,,0,
196,Park Place Technologies LLC*ˆ,,,One stop,,,,L + 5.50,,,,6.50,,,,07/2021,,,,4950,,,,4914,,,,0.6,,,,4926,
197,"Sloan Company, Inc., The",,,One stop,,,,L + 6.25,,,,7.25,,,,04/2020,,,,30,,,,30,,,,0,,,,29,
198,"Sloan Company, Inc., The",,,One stop,,,,L + 6.25,,,,7.25,,,,04/2020,,,,7589,,,,7503,,,,0.9,,,,7362,
199,Sparta Holding Corporation  (3),,,One stop,,,,L + 5.50,,,,No Value,(5),,,07/2020,,,,0,,,,(31,,,,0,,,,0,
200,Sparta Holding Corporation*ˆ,,,One stop,,,,L + 5.50,,,,6.50,,,,07/2020,,,,23125,,,,22893,,,,2.9,,,,23125,
201,Syncsort Incorporated  (3),,,Senior loan,,,,L + 4.75,,,,No Value,(5),,,03/2019,,,,0,,,,(3,,,,0,,,,0,
202,Syncsort Incorporated  (3),,,Senior loan,,,,L + 4.75,,,,No Value,(5),,,03/2019,,,,0,,,,(1,,,,0,,,,0,
203,Syncsort Incorporated*,,,Senior loan,,,,L + 4.75,,,,5.75,,,,03/2019,,,,1984,,,,1970,,,,0.2,,,,1984,
