,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
14,,"Grease Monkey International, LLC  ^*#+",Senior loan,,L + 5.00,(c),,6.00,,11/2022,,8694,,,8764,,,0.4,,,8694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,"Grease Monkey International, LLC  !~",Senior loan,,L + 5.00,(c),,6.00,,11/2022,,2376,,,2451,,,0.1,,,2376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,"Grease Monkey International, LLC  #~",Senior loan,,L + 5.00,(c),,6.00,,11/2022,,1206,,,1245,,,0.1,,,1206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<<<<<<< HEAD
17,,"Grease Monkey International, LLC  +~",Senior loan,,L + 5.00,(c),,6.00,,11/2022,,1091,,,1126,,,0,,,1091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,"Grease Monkey International, LLC",Senior loan,,L + 5.00,(c),,6.00,,11/2022,,997,,,1000,,,0,,,997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,"Grease Monkey International, LLC",Senior loan,,L + 5.00,(c),,6.24,,11/2022,,82,,,84,,,0,,,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,"Grease Monkey International, LLC",Senior loan,,L + 5.00,,,N/A  (6),,11/2022,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,JHCC Holdings LLC,One stop,,L + 5.50,(c),,6.81,,09/2025,,15670,,,15399,,,0.7,,,15356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,JHCC Holdings LLC,One stop,,L + 5.50,(c),,6.64,,09/2025,,79,,,76,,,0,,,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,JHCC Holdings LLC,One stop,,L + 5.50,(c),,6.35,,09/2025,,16,,,15,,,0,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,,Polk Acquisition Corp.  *#,Senior loan,,L + 6.50,(a),,3.50 cash/4.00 PIK,,12/2023,,17860,,,17648,,,0.7,,,16430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,Polk Acquisition Corp.,Senior loan,,L + 6.50,(a),,3.50 cash/4.00 PIK,,12/2023,,106,,,102,,,0,,,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,Polk Acquisition Corp.,Senior loan,,L + 6.50,(a),,3.50 cash/4.00 PIK,,12/2023,,100,,,96,,,0,,,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
=======
17,,"Grease Monkey International, LLC  +~",Senior loan,,L + 5.00,(c),,6.00,,11/2022,,1091,,,1126,,,-,,,1091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,"Grease Monkey International, LLC",Senior loan,,L + 5.00,(c),,6.00,,11/2022,,997,,,1000,,,-,,,997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,"Grease Monkey International, LLC",Senior loan,,L + 5.00,(c),,6.24,,11/2022,,82,,,84,,,-,,,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,"Grease Monkey International, LLC",Senior loan,,L + 5.00,,,N/A  (6),,11/2022,,-,,,-,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,JHCC Holdings LLC,One stop,,L + 5.50,(c),,6.81,,09/2025,,15670,,,15399,,,0.7,,,15356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,JHCC Holdings LLC,One stop,,L + 5.50,(c),,6.64,,09/2025,,79,,,76,,,-,,,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,JHCC Holdings LLC,One stop,,L + 5.50,(c),,6.35,,09/2025,,16,,,15,,,-,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,,Polk Acquisition Corp.  *#,Senior loan,,L + 6.50,(a),,3.50 cash/4.00 PIK,,12/2023,,17860,,,17648,,,0.7,,,16430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,Polk Acquisition Corp.,Senior loan,,L + 6.50,(a),,3.50 cash/4.00 PIK,,12/2023,,106,,,102,,,-,,,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,Polk Acquisition Corp.,Senior loan,,L + 6.50,(a),,3.50 cash/4.00 PIK,,12/2023,,100,,,96,,,-,,,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
>>>>>>> GSBD
27,,"Power Stop, LLC  +~",Senior loan,,L + 4.75,(a),,4.93,,10/2025,,2849,,,2905,,,0.1,,,2708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,"Quick Quack Car Wash Holdings, LLC  *#",One stop,,L + 6.50,(d),,7.50,,04/2023,,13117,,,13218,,,0.6,,,13117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,,"Quick Quack Car Wash Holdings, LLC  #",One stop,,L + 6.50,(c)(d),,7.50,,04/2023,,2367,,,2348,,,0.1,,,2367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,"Quick Quack Car Wash Holdings, LLC  *+",One stop,,L + 6.50,(d),,7.50,,04/2023,,2067,,,2135,,,0.1,,,2067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,,"Quick Quack Car Wash Holdings, LLC  *+",One stop,,L + 6.50,(d),,7.50,,04/2023,,1381,,,1427,,,0.1,,,1382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<<<<<<< HEAD
32,,"Quick Quack Car Wash Holdings, LLC  *",One stop,,L + 6.50,(d),,7.50,,04/2023,,1122,,,1182,,,0,,,1122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,"Quick Quack Car Wash Holdings, LLC",One stop,,L + 6.50,(d),,7.50,,04/2023,,80,,,81,,,0,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,,,,,,,,,,,,71260,,,71302,,,3.0,,,69340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,"Beverage, Food and Tobacco",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,,"Abita Brewing Co., L.L.C  .+(7)",One stop,,L + 7.25,(c),,8.25,,04/2021,,9983,,,10015,,,0.4,,,8485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,"Abita Brewing Co., L.L.C  .(7)",One stop,,L + 7.25,(c),,8.33,,04/2021,,40,,,40,,,0,,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,BJH Holdings III Corp.  +~,One stop,,L + 5.75,(c),,6.75,,08/2025,,46052,,,47453,,,2.0,,,46052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,,BJH Holdings III Corp.,One stop,,L + 5.75,(c),,6.75,,08/2025,,200,,,193,,,0,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
=======
32,,"Quick Quack Car Wash Holdings, LLC  *",One stop,,L + 6.50,(d),,7.50,,04/2023,,1122,,,1182,,,-,,,1122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,"Quick Quack Car Wash Holdings, LLC",One stop,,L + 6.50,(d),,7.50,,04/2023,,80,,,81,,,-,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,,,,,,,,,,,,71260,,,71302,,,3.0,,,69340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,"Beverage, Food and Tobacco",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,,"Abita Brewing Co., L.L.C  .+(7)",One stop,,L + 7.25,(c),,8.25,,04/2021,,9983,,,10015,,,0.4,,,8485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,"Abita Brewing Co., L.L.C  .(7)",One stop,,L + 7.25,(c),,8.33,,04/2021,,40,,,40,,,-,,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,BJH Holdings III Corp.  +~,One stop,,L + 5.75,(c),,6.75,,08/2025,,46052,,,47453,,,2.0,,,46052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,,BJH Holdings III Corp.,One stop,,L + 5.75,(c),,6.75,,08/2025,,200,,,193,,,-,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
>>>>>>> GSBD
40,,"Cafe Rio Holding, Inc  .^#",One stop,,L + 5.75,(c),,6.82,,09/2023,,18658,,,18872,,,0.8,,,17911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,,"Cafe Rio Holding, Inc.  #",One stop,,L + 5.75,(d),,6.82,,09/2023,,2253,,,2331,,,0.1,,,2163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,,"Cafe Rio Holding, Inc.",One stop,,L + 5.75,(c)(d),,6.79,,09/2023,,2002,,,2000,,,0.1,,,1922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,,"Cafe Rio Holding, Inc  .*#",One stop,,L + 5.75,(d),,6.82,,09/2023,,1430,,,1480,,,0.1,,,1373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,,,Investment  Type,,Spread  Above  Index  (1),,,Interest  Rate  (2),,Maturity  Date,,Principal ($) /  Shares  (3),,Amortized Cost,,Percentage  of Net  Assets,,Fair  Value  (4),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,,"Beverage, Food and Tobacco - (continued)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,,"Cafe Rio Holding, Inc.  #",One stop,,L + 5.75,(d),,6.82,,09/2023,,,1263,,,,1306,,,0.1,,,,1212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<<<<<<< HEAD
47,,"Cafe Rio Holding, Inc.",One stop,,L + 5.75,(d),,6.82,,09/2023,,181,,,181,,,0,,,175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,,"Cafe Rio Holding, Inc.  (5)",One stop,,L + 5.75,,,N/A  (6),,09/2023,,0,,,0,,,0,,,(10),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,,"Fintech Midco, LLC  *#!",One stop,,L + 5.00,(d),,6.08,,08/2024,,24474,,,24841,,,1.0,,,23496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,,"Fintech Midco, LLC  #",One stop,,L + 5.00,(d),,6.08,,08/2024,,1133,,,1173,,,0.1,,,1088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,,"Fintech Midco, LLC  (5)",One stop,,L + 5.00,,,N/A  (6),,08/2024,,0,,,(1),,,0,,,(8),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,,"Flavor Producers, LLC  #~",Senior loan,,L + 4.75,(c),,5.75,,12/2023,,4994,,,4877,,,0.2,,,4594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,,"Flavor Producers, LLC",Senior loan,,L + 4.75,(d),,5.81,,12/2022,,16,,,10,,,0,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,,FWR Holding Corporation  ^#,One stop,,L + 5.50,(c),,6.50,,08/2023,,10394,,,10374,,,0.4,,,9564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,,FWR Holding Corporation  #,One stop,,L + 5.50,(c),,6.50,,08/2023,,1818,,,1881,,,0.1,,,1672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,,FWR Holding Corporation  #,One stop,,L + 5.50,(c),,6.50,,08/2023,,1149,,,1189,,,0.1,,,1057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,,FWR Holding Corporation  #,One stop,,L + 5.50,(c),,6.50,,08/2023,,364,,,374,,,0,,,335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,,FWR Holding Corporation,One stop,,L + 5.50,(c),,6.50,,08/2023,,274,,,273,,,0,,,252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,,FWR Holding Corporation  #,One stop,,L + 5.50,(c),,6.50,,08/2023,,272,,,280,,,0,,,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,,FWR Holding Corporation,One stop,,L + 5.50,(c)(d),,6.50,,08/2023,,131,,,130,,,0,,,121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,,FWR Holding Corporation,One stop,,L + 5.50,(c)(f),,7.10,,08/2023,,70,,,69,,,0,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,,FWR Holding Corporation,One stop,,L + 5.50,,,N/A  (6),,08/2023,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,,Global ID Corporation  *#+~,One stop,,L + 6.50,(c),,7.57,,11/2021,,14287,,,14418,,,0.6,,,14287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,,Global ID Corporation  *#,One stop,,L + 6.50,(c),,7.57,,11/2021,,815,,,836,,,0,,,815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,,Global ID Corporation#,One stop,,L + 6.50,(c),,7.57,,11/2021,,712,,,731,,,0,,,712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,,Global ID Corporation#,One stop,,L + 6.50,(c),,7.57,,11/2021,,489,,,502,,,0,,,489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,,Global ID Corporation,One stop,,L + 6.50,(c),,7.50,,11/2021,,60,,,60,,,0,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,,"Mendocino Farms, LLC",One stop,,L + 8.50,(a),,2.00 cash/7.50 PIK,,06/2023,,806,,,832,,,0,,,806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,,"Mendocino Farms, LLC",One stop,,L + 8.50,(a),,2.00 cash/7.50 PIK,,06/2023,,634,,,654,,,0,,,634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,,"Mendocino Farms, LLC",One stop,,L + 8.50,(a),,2.00 cash/7.50 PIK,,06/2023,,622,,,619,,,0,,,622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,,"Mendocino Farms, LLC",One stop,,L + 8.50,(a),,2.00 cash/7.50 PIK,,06/2023,,307,,,305,,,0,,,307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,,"Mendocino Farms, LLC",One stop,,L + 8.50,(a),,2.00 cash/7.50 PIK,,06/2023,,306,,,304,,,0,,,306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,,"Mendocino Farms, LLC",One stop,,L + 8.50,(a),,2.00 cash/7.50 PIK,,06/2023,,150,,,150,,,0,,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,,"Mendocino Farms, LLC",One stop,,L + 8.50,(a),,2.00 cash/7.50 PIK,,06/2023,,92,,,91,,,0,,,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,,"Mendocino Farms, LLC  (5)",One stop,,L + 8.50,,,N/A  (6),,06/2023,,0,,,(2),,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,,"Mid-America Pet Food, L.L.C  .^*#",One stop,,L + 5.50,(b),,6.50,,12/2021,,22176,,,22495,,,1.0,,,22176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,,"Mid-America Pet Food, L.L.C.",One stop,,L + 5.50,(c),,6.93,,12/2021,,76,,,75,,,0,,,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,,"NBC Intermediate, LLC  ^",Senior loan,,L + 4.25,(d),,5.33,,09/2023,,4589,,,4578,,,0.2,,,4498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,,"NBC Intermediate, LLC  #",Senior loan,,L + 4.25,(a)(d),,5.29,,09/2023,,2347,,,2377,,,0.1,,,2300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,,"NBC Intermediate, LLC  *#",Senior loan,,L + 4.25,(d),,5.33,,09/2023,,2309,,,2339,,,0.1,,,2262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,,"NBC Intermediate, LLC  #",Senior loan,,L + 4.25,(d),,5.33,,09/2023,,667,,,661,,,0,,,653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,,"NBC Intermediate, LLC",Senior loan,,L + 4.25,,,N/A  (6),,09/2023,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,,"Purfoods, LLC  #",One stop,,L + 5.50,(a),,6.50,,05/2021,,16066,,,16216,,,0.7,,,16066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,,"Purfoods, LLC  *",One stop,,L + 5.50,(a),,6.50,,05/2021,,538,,,550,,,0,,,538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,,"Purfoods, LLC  ^*",One stop,,L + 5.50,(a),,6.50,,05/2021,,389,,,397,,,0,,,389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,,"Purfoods, LLC  *~",One stop,,L + 5.50,(a),,6.50,,05/2021,,293,,,299,,,0,,,293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,,"Purfoods, LLC  *~",One stop,,L + 5.50,(a),,6.50,,05/2021,,293,,,299,,,0,,,293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,,"Purfoods, LLC  *",One stop,,L + 5.50,(a),,6.50,,05/2021,,292,,,298,,,0,,,292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,,,Investment  Type,,Spread  Above  Index  (1),,,Interest  Rate  (2),,Maturity  Date,,Principal ($) /  Shares  (3),,Amortized Cost,,Percentage  of Net  Assets,,Fair  Value  (4),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,,"Beverage, Food and Tobacco - (continued)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,,"Purfoods, LLC",One stop,,No Value,,,7.00 PIK,,05/2026,,,257,,,,262,,,0,,,,257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,,"Purfoods, LLC  *",One stop,,L + 5.50,(a),,6.50,,05/2021,,253,,,254,,,0,,,253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,,"Purfoods, LLC",One stop,,L + 5.50,(a),,6.50,,05/2021,,150,,,151,,,0,,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,,"Purfoods, LLC  *",One stop,,L + 5.50,(a),,6.50,,05/2021,,148,,,151,,,0,,,148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,,"Purfoods, LLC",One stop,,L + 5.50,(a),,6.50,,05/2021,,139,,,138,,,0,,,139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,,"Purfoods, LLC",One stop,,L + 5.50,(a),,6.50,,05/2021,,50,,,50,,,0,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,,"Purfoods, LLC  ^",One stop,,L + 5.50,(a),,6.50,,05/2021,,46,,,47,,,0,,,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,,"Purfoods, LLC  ^",One stop,,L + 5.50,(a),,6.50,,05/2021,,30,,,30,,,0,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,,"Purfoods, LLC  ^",One stop,,L + 5.50,(a),,6.50,,05/2021,,30,,,30,,,0,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,,"Purfoods, LLC  ^",One stop,,L + 5.50,(a),,6.50,,05/2021,,28,,,28,,,0,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,,"Purfoods, LLC  ^",One stop,,L + 5.50,(a),,6.50,,05/2021,,22,,,22,,,0,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,,"Purfoods, LLC  ^",One stop,,L + 5.50,(a),,6.50,,05/2021,,22,,,22,,,0,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,,"Purfoods, LLC  ^",One stop,,L + 5.50,(a),,6.50,,05/2021,,20,,,20,,,0,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,,"Purfoods, LLC",One stop,,L + 5.50,,,N/A  (6),,05/2021,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,,"Rubio's Restaurants, Inc  .^*#(7)",Senior loan,,L + 11.50,(c),,8.77 cash/4.00 PIK,,04/2021,,17898,,,17779,,,0.4,,,9348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,,"Rubio's Restaurants, Inc.  (7)",Senior loan,,L + 11.50,(a),,8.75 cash/4.00 PIK,,04/2021,,162,,,159,,,0,,,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,,"SSRG Holdings, LLC",One stop,,L + 5.25,(c),,6.32,,11/2025,,920,,,904,,,0,,,847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,,"SSRG Holdings, LLC",One stop,,L + 5.25,(c),,6.29,,11/2025,,75,,,74,,,0,,,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,,"Velvet Taco Holdings, Inc.  ~",One stop,,L + 7.00,(c),,8.00,,03/2026,,1774,,,1757,,,0.1,,,1667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,,"Velvet Taco Holdings, Inc  .(5)",One stop,,L + 7.00,,,N/A  (6),,03/2026,,0,,,0,,,0,,,(2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,,"Velvet Taco Holdings, Inc  .(5)",One stop,,L + 7.00,,,N/A  (6),,03/2026,,0,,,(1),,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,,Wood Fired Holding Corp.  *#,One stop,,L + 7.75,(c),,6.86 cash/2.00 PIK,,12/2023,,14073,,,14296,,,0.5,,,10976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,,Wood Fired Holding Corp.,One stop,,L + 7.75,(c),,6.95 cash/2.00 PIK,,12/2023,,697,,,697,,,0,,,544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,,Wood Fired Holding Corp.,One stop,,L + 7.75,(c),,6.98 cash/2.00 PIK,,12/2023,,198,,,197,,,0,,,154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,,,,,,,,,,,,233458,,,236492,,,9.2,,,216006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,,Buildings and Real Estate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,,"Brooks Equipment Company, LLC  ^*#+",One stop,,L + 5.00,(c),,6.00,,05/2021,,26225,,,26138,,,1.1,,,26225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,,"Brooks Equipment Company, LLC  (5)",One stop,,L + 5.00,,,N/A  (6),,05/2021,,0,,,(14),,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,,Groundworks LLC  +,Senior loan,,L + 5.50,(c),,6.50,,01/2026,,4721,,,4667,,,0.2,,,4721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,,Groundworks LLC,Senior loan,,L + 5.50,(c),,6.50,,01/2026,,84,,,83,,,0,,,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,,Groundworks LLC,Senior loan,,L + 5.50,(c)(d),,6.54,,01/2026,,7,,,7,,,0,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
