,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
19,"American Driveline Systems, Inc.  (3)",,Senior loan,,L + 5.50,,,N/A,(4),,03/2020,,,-,,,,(9,,,,-,,,,(3,,,,,
20,"American Driveline Systems, Inc.*",,Senior loan,,L + 5.50,,,6.50,,,03/2020,,,1826,,,,1764,,,,0.2,,,,1807,,,,,
21,CH Hold Corp. (Caliber Collision)  (3),,Senior loan,,L + 4.75,,,N/A,(4),,11/2019,,,-,,,,(3,,,,-,,,,(3,,,,,
22,CH Hold Corp. (Caliber Collision),,Senior loan,,L + 4.75,,,5.75,,,11/2019,,,1872,,,,1854,,,,0.3,,,,1853,,,,,
23,"Integrated Supply Network, LLC  (3)",,Senior loan,,L + 4.75,,,N/A,(4),,02/2020,,,-,,,,(25,,,,-,,,,(21,,,,,
24,"Integrated Supply Network, LLC*^",,Senior loan,,L + 4.75,,,5.75,,,02/2020,,,9928,,,,9807,,,,1.3,,,,9829,,,,,
25,"K&N Engineering, Inc.  (3)",,Senior loan,,L + 4.25,,,N/A,(4),,07/2019,,,-,,,,(4,,,,-,,,,-,,,,,
26,"K&N Engineering, Inc.^",,Senior loan,,L + 4.25,,,5.25,,,07/2019,,,2898,,,,2851,,,,0.4,,,,2898,,,,,
27,"K&N Engineering, Inc.  (3)",,Senior loan,,L + 4.25,,,N/A,(4),,07/2019,,,-,,,,(16,,,,-,,,,-,,,,,
28,"Take 5 Oil Change, L.L.C.",,Senior loan,,L + 4.75,,,5.75,,,07/2018,,,96,,,,90,,,,-,,,,96,,,,,
29,"Take 5 Oil Change, L.L.C.^",,Senior loan,,L + 4.75,,,5.75,,,07/2018,,,4849,,,,4821,,,,0.7,,,,4849,,,,,
30,,,,,,,,,,,,,,21469,,,,21130,,,,2.9,,,,21305,,,,,
31,Banking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,HedgeServ Holding L.P.^,,One stop,,L + 8.00,,,7.00  cash/2.00 PIK,,,02/2019,,,17416,,,,17285,,,,2.4,,,,17416,,,,,
33,HedgeServ Holding L.P.  (3),,One stop,,L + 6.00,,,N/A,(4),,02/2019,,,-,,,,(7,,,,-,,,,-,,,,,
34,Prommis Fin Co.  (6),,Senior loan,,P + 10.00,,,13.25,,,06/2015,,,82,,,,81,,,,-,,,,2,,,,,
35,Prommis Fin Co.*  (6),,Senior loan,,P + 13.75,,,4.44  cash/11.50 PIK,,,06/2015,,,119,,,,119,,,,-,,,,3,,,,,
36,,,,,,,,,,,,,,17617,,,,17478,,,,2.4,,,,17421,,,,,
37,"Beverage, Food and Tobacco",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,ABP Corporation,,Senior loan,,P + 3.50,,,7.25,,,09/2018,,,167,,,,161,,,,-,,,,167,,,,,
39,ABP Corporation*,,Senior loan,,L + 4.75,,,6.00,,,09/2018,,,4771,,,,4712,,,,0.6,,,,4771,,,,,
40,ARG IH Corporation (Arby's)^,,Senior loan,,L + 3.75,,,4.75,,,11/2020,,,2326,,,,2302,,,,0.3,,,,2338,,,,,
41,"Atkins Nutritionals, Inc*^",,One stop,,L + 5.00,,,6.25,,,01/2019,,,17873,,,,17668,,,,2.4,,,,17828,,,,,
42,"Atkins Nutritionals, Inc*^",,One stop,,L + 8.50,,,9.75,,,04/2019,,,21636,,,,21361,,,,2.9,,,,21690,,,,,
43,"C. J. Foods, Inc.  (3)",,One stop,,L + 5.50,,,N/A,(4),,05/2019,,,-,,,,(8,,,,-,,,,-,,,,,
44,"C. J. Foods, Inc.  (3)",,One stop,,L + 5.50,,,N/A,(4),,05/2019,,,-,,,,(11,,,,-,,,,-,,,,,
45,"C. J. Foods, Inc.",,One stop,,L + 5.50,,,6.50,,,05/2019,,,3208,,,,3168,,,,0.4,,,,3208,,,,,
46,"Candy Intermediate Holdings, Inc. (Ferrara  Candy)^",,Senior loan,,L + 6.25,,,7.50,,,06/2018,,,4862,,,,4771,,,,0.7,,,,4838,,,,,
47,"Firebirds International, LLC  (3)",,One stop,,L + 6.25,,,N/A,(4),,05/2018,,,-,,,,(2,,,,-,,,,-,,,,,
48,"Firebirds International, LLC*",,One stop,,L + 6.25,,,7.50,,,05/2018,,,1090,,,,1078,,,,0.1,,,,1090,,,,,
49,"Firebirds International, LLC",,One stop,,L + 6.25,,,7.50,,,05/2018,,,304,,,,300,,,,-,,,,304,,,,,
50,"Firebirds International, LLC  (3)",,One stop,,L + 6.25,,,N/A,(4),,05/2018,,,-,,,,(4,,,,-,,,,-,,,,,
51,"First Watch Restaurants, Inc.  (3)",,One stop,,L + 7.50,,,N/A,(4),,12/2018,,,-,,,,(21,,,,-,,,,-,,,,,
52,"First Watch Restaurants, Inc.*^",,One stop,,L + 7.50,,,8.75,,,12/2018,,,14290,,,,14147,,,,1.9,,,,14290,,,,,
53,"First Watch Restaurants, Inc.^",,One stop,,L + 7.50,,,8.75,,,12/2018,,,1747,,,,1742,,,,0.2,,,,1747,,,,,
54,IT'SUGAR LLC,,Senior loan,,L + 7.50,,,9.00,,,04/2018,,,7527,,,,7433,,,,1.0,,,,7527,,,,,
55,IT'SUGAR LLC,,Subordinated debt,,N/A,,,5.00,,,10/2017,,,1707,,,,1707,,,,0.2,,,,1646,,,,,
56,Julio & Sons Company,,One stop,,L + 5.50,,,6.50,,,09/2017,,,628,,,,620,,,,0.1,,,,628,,,,,
57,Julio & Sons Company*,,One stop,,L + 5.50,,,6.50,,,09/2017,,,6942,,,,6891,,,,0.9,,,,6942,,,,,
58,Julio & Sons Company  (3),,One stop,,L + 5.50,,,N/A,(4),,09/2017,,,-,,,,(27,,,,-,,,,-,,,,,
59,"Northern Brewer, LLC",,One stop,,P + 7.25,,,8.50  cash/2.00 PIK,,,02/2018,,,690,,,,680,,,,0.1,,,,513,,,,,
60,"Northern Brewer, LLC",,One stop,,P + 7.25,,,8.50  cash/2.00 PIK,,,02/2018,,,6410,,,,6306,,,,0.7,,,,4808,,,,,
61,"Tate's Bake Shop, Inc.  (3)",,Senior loan,,L + 4.75,,,N/A,(4),,08/2019,,,-,,,,(4,,,,-,,,,-,,,,,
62,"Tate's Bake Shop, Inc.^",,Senior loan,,L + 4.75,,,5.75,,,08/2019,,,2993,,,,2966,,,,0.4,,,,2993,,,,,
63,"Tate's Bake Shop, Inc.  (3)",,Senior loan,,L + 4.75,,,N/A,(4),,08/2019,,,-,,,,(5,,,,-,,,,-,,,,,
64,Uinta Brewing Company,,One stop,,P + 4.75,,,8.00,,,08/2019,,,123,,,,116,,,,-,,,,123,,,,,
65,Uinta Brewing Company^,,One stop,,L + 6.00,,,7.00,,,08/2019,,,3220,,,,3191,,,,0.4,,,,3220,,,,,
66,,,,,Spread,,,,,,,,,,,,,Percentage,,,,,,,,,,,,,
67,,,Investment,,Above,,Interest,,,Maturity,,Principal / Par,,,,,,of,,,Fair,,,,,,,,,,
68,,,Type,,Index  (1),,Rate  (2),,,Date,,Amount,,,Cost,,,Net Assets,,,Value,,,,,,,,,,
69,United Craft Brews LLC,,One stop,,L + 6.25,,,7.25,,,03/2020,,,677,,,,661,,,,0.1,,,,664,,,,,
70,United Craft Brews LLC  (3),,One stop,,L + 6.25,,,N/A,(4),,03/2020,,,-,,,,(16,,,,-,,,,(14,,,,,
71,United Craft Brews LLC,,One stop,,L + 6.25,,,7.25,,,03/2020,,,12219,,,,11949,,,,1.6,,,,12097,,,,,
72,,,,,,,,,,,,,,115410,,,,113832,,,,15.0,,,,113418,,,,,
73,Building and Real Estate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,"Accruent, LLC*",,One stop,,L + 6.25,,,7.28,,,11/2019,,,4745,,,,4701,,,,0.6,,,,4697,,,,,
75,"Brooks Equipment Company, LLC  (3)",,One stop,,L + 5.75,,,N/A,(4),,08/2020,,,-,,,,(18,,,,-,,,,-,,,,,
76,"Brooks Equipment Company, LLC*^",,One stop,,L + 5.75,,,6.75,,,08/2020,,,26464,,,,26109,,,,3.6,,,,26464,,,,,
77,"ITEL Laboratories, Inc.  (3)",,Senior loan,,L + 4.75,,,N/A,(4),,06/2018,,,-,,,,(1,,,,-,,,,-,,,,,
78,"ITEL Laboratories, Inc.*",,Senior loan,,L + 4.75,,,6.00,,,06/2018,,,752,,,,746,,,,0.1,,,,752,,,,,
79,,,,,,,,,,,,,,31961,,,,31537,,,,4.3,,,,31913,,,,,
80,Cargo Transport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,RP Crown Parent (RedPrairie  Corp)*,,Senior loan,,L + 5.00,,,6.00,,,12/2018,,,1960,,,,1935,,,,0.3,,,,1934,,,,,
82,"Chemicals, Plastics and Rubber",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,"Flexan, LLC  (3)",,One stop,,L + 5.75,,,N/A,(4),,02/2020,,,-,,,,(7,,,,-,,,,(7,,,,,
84,"Flexan, LLC",,One stop,,L + 5.75,,,6.75,,,02/2020,,,6183,,,,6123,,,,0.8,,,,6121,,,,,
85,"Flexan, LLC  (3)",,One stop,,L + 5.75,,,N/A,(4),,02/2020,,,-,,,,-,,,,-,,,,(17,,,,,
86,,,,,,,,,,,,,,6183,,,,6116,,,,0.8,,,,6097,,,,,
87,"Containers, Packaging and  Glass",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,Fort Dearborn Company*  (8),,Senior loan,,P + 3.25,,,6.13,,,10/2017,,,7,,,,6,,,,-,,,,7,,,,,
89,Fort Dearborn Company*^,,Senior loan,,L + 4.25,,,5.25,,,10/2017,,,486,,,,484,,,,0.1,,,,486,,,,,
90,Fort Dearborn Company*  (8),,Senior loan,,P + 3.75,,,6.60,,,10/2018,,,24,,,,24,,,,-,,,,24,,,,,
91,Fort Dearborn Company*^,,Senior loan,,L + 4.75,,,5.75,,,10/2018,,,2169,,,,2158,,,,0.3,,,,2169,,,,,
92,"Packaging Coordinators, Inc.*^",,Senior loan,,L + 4.25,,,5.25,,,08/2021,,,14925,,,,14788,,,,2.0,,,,14822,,,,,
93,"Packaging Coordinators,  Inc.",,Second lien,,L + 8.00,,,9.00,,,08/2022,,,10000,,,,9907,,,,1.3,,,,9750,,,,,
94,,,,,,,,,,,,,,27611,,,,27367,,,,3.7,,,,27258,,,,,
95,Diversified Conglomerate  Manufacturing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,"Chase Industries, Inc.*^",,One stop,,L + 5.75,,,6.75,,,09/2020,,,20984,,,,20794,,,,2.8,,,,20984,,,,,
97,"Chase Industries, Inc.  (3)",,One stop,,L + 5.75,,,N/A,(4),,09/2020,,,-,,,,(20,,,,-,,,,-,,,,,
98,"Chase Industries, Inc.",,One stop,,L + 5.75,,,6.75,,,09/2020,,,2055,,,,2011,,,,0.3,,,,2055,,,,,
99,ICCN Acquisition Corp.  (3),,One stop,,L + 5.25,,,N/A,(4),,03/2019,,,-,,,,(4,,,,-,,,,-,,,,,
100,ICCN Acquisition Corp.^,,One stop,,L + 5.25,,,6.25,,,03/2019,,,3978,,,,3923,,,,0.5,,,,3978,,,,,
101,ICCN Acquisition Corp.  (3),,One stop,,L + 5.25,,,N/A,(4),,03/2019,,,-,,,,(12,,,,-,,,,-,,,,,
102,Onicon Incorporated  (3),,One stop,,L + 4.50,,,N/A,(4),,12/2017,,,-,,,,(9,,,,-,,,,-,,,,,
103,Onicon Incorporated*,,One stop,,L + 4.50,,,5.55,,,12/2017,,,5574,,,,5505,,,,0.8,,,,5574,,,,,
104,"Plex Systems, Inc.  (3)",,One stop,,L + 7.50,,,N/A,(4),,06/2018,,,-,,,,(26,,,,-,,,,-,,,,,
105,"Plex Systems, Inc.*^",,One stop,,L + 7.50,,,8.75,,,06/2018,,,18797,,,,18420,,,,2.5,,,,18797,,,,,
106,"Sunless Merger Sub, Inc.",,Senior loan,,P + 4.00,,,7.25,,,07/2016,,,106,,,,105,,,,-,,,,88,,,,,
107,"Sunless Merger Sub, Inc.*",,Senior loan,,L + 5.25,,,6.50,,,07/2016,,,1756,,,,1750,,,,0.2,,,,1405,,,,,
108,"TIDI Products, LLC  (3)",,One stop,,L + 6.50,,,N/A,(4),,07/2017,,,-,,,,(9,,,,-,,,,-,,,,,
109,"TIDI Products, LLC*^",,One stop,,L + 6.50,,,7.75,,,07/2018,,,16636,,,,16437,,,,2.3,,,,16636,,,,,
110,"Vintage Parts, Inc.*",,One stop,,L + 4.50,,,5.75,,,12/2015,,,3913,,,,3897,,,,0.5,,,,3913,,,,,
111,"Vintage Parts, Inc.*",,One stop,,L + 4.50,,,5.75,,,12/2015,,,54,,,,54,,,,-,,,,54,,,,,
112,"Vintage Parts, Inc.*",,One stop,,L + 4.50,,,5.75,,,12/2015,,,818,,,,820,,,,0.1,,,,818,,,,,
113,,,,,,,,,,,,,,74671,,,,73636,,,,10.0,,,,74302,,,,,
114,Diversified Conglomerate  Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,"Accellos, Inc.  (3)",,One stop,,L + 5.75,,,N/A,(4),,07/2020,,,-,,,,(18,,,,-,,,,-,,,,,
116,"Accellos, Inc.*^",,One stop,,L + 5.75,,,6.76,,,07/2020,,,30957,,,,30617,,,,4.2,,,,30957,,,,,
117,"Aderant North America, Inc.^",,Senior loan,,L + 4.25,,,5.25,,,12/2018,,,449,,,,445,,,,0.1,,,,449,,,,,
118,Agility Recovery Solutions Inc.,,One stop,,L + 6.50,,,7.90,,,03/2020,,,173,,,,167,,,,-,,,,166,,,,,
119,Agility Recovery Solutions Inc.^,,One stop,,L + 6.50,,,7.50,,,03/2020,,,10404,,,,10301,,,,1.4,,,,10300,,,,,
120,Bomgar Corporation  (3),,One stop,,L + 6.00,,,N/A,(4),,05/2019,,,-,,,,(16,,,,-,,,,-,,,,,
121,Bomgar Corporation*,,One stop,,L + 6.00,,,7.00,,,05/2020,,,29276,,,,28835,,,,4.0,,,,29276,,,,,
122,"Daxko, LLC  (3)",,One stop,,L + 7.25,,,N/A,(4),,03/2019,,,-,,,,(21,,,,-,,,,-,,,,,
123,"Daxko, LLC*",,One stop,,L + 7.25,,,8.25,,,03/2019,,,16840,,,,16595,,,,2.3,,,,16840,,,,,
124,DISA Holdings Acquisition Subsidiary Corp.,,Senior loan,,L + 4.50,,,5.50,,,12/2020,,,80,,,,70,,,,-,,,,80,,,,,
125,DISA Holdings Acquisition Subsidiary Corp.^,,Senior loan,,L + 4.50,,,5.50,,,12/2020,,,4637,,,,4593,,,,0.6,,,,4637,,,,,
126,"Host Analytics, Inc.  (3)",,One stop,,L + 0.00,,,N/A,(4),,02/2020,,,-,,,,(6,,,,-,,,,(6,,,,,
127,"Host Analytics, Inc.",,One stop,,N/A,,,10.75,,,02/2020,,,2937,,,,2887,,,,0.4,,,,2915,,,,,
128,"Integration Appliance, Inc.",,One stop,,L + 8.25,,,9.50,,,09/2018,,,719,,,,712,,,,0.1,,,,719,,,,,
129,"Integration Appliance, Inc.",,One stop,,L + 8.25,,,9.50,,,09/2018,,,5396,,,,5301,,,,0.7,,,,5396,,,,,
130,"Integration Appliance, Inc.",,One stop,,L + 8.25,,,9.50,,,06/2019,,,7914,,,,7747,,,,1.1,,,,7914,,,,,
131,,,,,Spread,,,,,,,,,,,,,Percentage,,,,,,,,,,,,,
132,,,Investment,,Above,,Interest,,,Maturity,,Principal / Par,,,,,,of,,,Fair,,,,,,,,,,
133,,,Type,,Index  (1),,Rate  (2),,,Date,,Amount,,,Cost,,,Net Assets,,,Value,,,,,,,,,,
134,"Marathon Data Operating Co., LLC  (3)",,One stop,,L + 6.25,,,N/A,(4),,08/2017,,,-,,,,(5,,,,-,,,,-,,,,,
135,"Marathon Data Operating Co., LLC",,One stop,,L + 6.25,,,7.50,,,08/2017,,,4573,,,,4517,,,,0.6,,,,4573,,,,,
136,"NetSmart Technologies, Inc.  (3)",,One stop,,L + 5.25,,,N/A,(4),,02/2019,,,-,,,,(34,,,,-,,,,(34,,,,,
137,"NetSmart Technologies, Inc.*^",,One stop,,L + 5.25,,,6.25,,,02/2019,,,25390,,,,25142,,,,3.4,,,,25136,,,,,
138,"PC Helps Support, LLC  (3)",,Senior loan,,L + 5.00,,,N/A,(4),,09/2017,,,-,,,,(1,,,,-,,,,-,,,,,
139,"PC Helps Support, LLC",,Senior loan,,L + 5.25,,,6.50,,,09/2017,,,1543,,,,1532,,,,0.2,,,,1543,,,,,
140,"Secure-24, LLC  (3)",,One stop,,L + 6.00,,,N/A,(4),,08/2017,,,-,,,,(4,,,,-,,,,-,,,,,
141,"Secure-24, LLC*",,One stop,,L + 6.00,,,7.25,,,08/2017,,,10380,,,,10229,,,,1.4,,,,10380,,,,,
142,"Secure-24, LLC^",,One stop,,L + 6.00,,,7.25,,,08/2017,,,1518,,,,1502,,,,0.2,,,,1518,,,,,
143,"Source Medical Solutions, Inc.",,Second lien,,L + 8.00,,,9.00,,,03/2018,,,9294,,,,9168,,,,1.3,,,,9294,,,,,
144,"Vendavo, Inc.  (3)",,One stop,,L + 8.50,,,N/A,(4),,10/2019,,,-,,,,(14,,,,-,,,,-,,,,,
145,"Vendavo, Inc.",,One stop,,L + 8.50,,,9.50,,,10/2019,,,15501,,,,15184,,,,2.1,,,,15501,,,,,
146,,,,,,,,,,,,,,177981,,,,175425,,,,24.1,,,,177554,,,,,
147,Electronics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,"Appriss Holdings, Inc.",,Senior loan,,L + 4.75,,,5.75,,,11/2020,,,36,,,,(5,,,,-,,,,36,,,,,
149,"Appriss Holdings, Inc.*",,Senior loan,,L + 4.75,,,5.75,,,11/2020,,,18144,,,,17888,,,,2.5,,,,18144,,,,,
150,"ECI Acquisition Holdings, Inc.  (3)",,One stop,,L + 6.25,,,N/A,(4),,03/2019,,,-,,,,(15,,,,-,,,,-,,,,,
151,"ECI Acquisition Holdings, Inc.^",,One stop,,L + 6.25,,,7.25,,,03/2019,,,22103,,,,21775,,,,3.0,,,,22103,,,,,
152,"ECI Acquisition Holdings, Inc.",,One stop,,L + 6.25,,,7.25,,,03/2019,,,1431,,,,1360,,,,0.2,,,,1431,,,,,
153,"Rogue Wave Holdings, Inc.*^",,One stop,,L + 9.01,,,10.01,,,12/2018,,,10348,,,,10249,,,,1.4,,,,10348,,,,,
154,"Sloan Company, Inc., The  (3)",,One stop,,L + 7.50,,,N/A,(4),,10/2018,,,-,,,,(12,,,,-,,,,-,,,,,
155,"Sloan Company, Inc., The*^",,One stop,,L + 7.50,,,8.75,,,10/2018,,,12860,,,,12744,,,,1.7,,,,12860,,,,,
156,Sparta Holding Corporation  (3),,One stop,,L + 6.50,,,N/A,(4),,07/2020,,,-,,,,(34,,,,-,,,,-,,,,,
157,Sparta Holding Corporation*^,,One stop,,L + 6.50,,,7.50,,,07/2020,,,23241,,,,22985,,,,3.2,,,,23241,,,,,
158,Syncsort Incorporated  (3),,Senior loan,,L + 4.75,,,N/A,(4),,03/2019,,,-,,,,(1,,,,-,,,,-,,,,,
159,Syncsort Incorporated  (3),,Senior loan,,L + 4.75,,,N/A,(4),,03/2019,,,-,,,,(4,,,,-,,,,-,,,,,
160,Syncsort Incorporated*,,Senior loan,,L + 4.75,,,5.75,,,03/2019,,,2022,,,,2006,,,,0.3,,,,2022,,,,,
161,"Systems Maintenance Services Holding, Inc.^",,Senior loan,,L + 4.25,,,5.25,,,10/2019,,,2637,,,,2627,,,,0.4,,,,2637,,,,,
162,"Taxware, LLC*^",,Second lien,,L + 8.38,,,9.38,,,10/2019,,,19979,,,,19709,,,,2.7,,,,19979,,,,,
163,"Watchfire Enterprises,  Inc.",,Second lien,,L + 8.00,,,9.00,,,10/2021,,,9435,,,,9226,,,,1.3,,,,9435,,,,,
164,,,,,,,,,,,,,,122236,,,,120498,,,,16.7,,,,122236,,,,,
165,Finance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,"Ascensus, Inc.  (3)",,One stop,,L + 4.00,,,N/A,(4),,11/2018,,,-,,,,(14,,,,-,,,,-,,,,,
167,"Ascensus, Inc.^",,One stop,,L + 4.00,,,5.00,,,12/2019,,,4172,,,,4106,,,,0.6,,,,4172,,,,,
168,"Ascensus, Inc.*^",,One stop,,L + 8.00,,,9.00,,,12/2020,,,6337,,,,6158,,,,0.9,,,,6337,,,,,
169,Pillar Processing LLC*  (6),,Senior loan,,L + 5.50,,,5.75,,,11/2018,,,447,,,,445,,,,-,,,,-,,,,,
170,Pillar Processing LLC*  (6),,Senior loan,,N/A,,,14.50,,,05/2019,,,2377,,,,2369,,,,-,,,,-,,,,,
171,,,,,,,,,,,,,,13333,,,,13064,,,,1.5,,,,10509,,,,,
172,Grocery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,"MyWebGrocer, Inc.  (3)",,One stop,,L + 8.75,,,N/A,(4),,05/2018,,,-,,,,(14,,,,-,,,,-,,,,,
174,"MyWebGrocer, Inc.^",,One stop,,L + 8.75,,,10.00,,,05/2018,,,14271,,,,14086,,,,1.9,,,,14271,,,,,
175,"Teasdale Quality Foods,  Inc.*",,Senior loan,,L + 4.25,,,5.25,,,10/2020,,,4675,,,,4588,,,,0.6,,,,4675,,,,,
176,,,,,,,,,,,,,,18946,,,,18660,,,,2.5,,,,18946,,,,,
177,"Healthcare,  Education and Childcare",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,"Agilitas USA, Inc.^",,Senior loan,,L + 4.00,,,5.00,,,10/2020,,,2458,,,,2436,,,,0.3,,,,2458,,,,,
179,"Avatar International, LLC",,One stop,,L + 7.89,,,6.19  cash/2.95 PIK,,,09/2016,,,538,,,,535,,,,0.1,,,,538,,,,,
180,"Avatar International, LLC*",,One stop,,L + 7.89,,,6.19  cash/2.95 PIK,,,09/2016,,,7653,,,,7617,,,,0.5,,,,3827,,,,,
181,"Avatar International, LLC",,One stop,,L + 7.89,,,6.19  cash/2.95 PIK,,,09/2016,,,1651,,,,1645,,,,0.1,,,,826,,,,,
182,"California Cryobank, LLC",,One stop,,P + 4.25,,,7.50,,,08/2019,,,86,,,,84,,,,-,,,,86,,,,,
183,"California Cryobank, LLC^",,One stop,,L + 5.50,,,6.50,,,08/2019,,,1550,,,,1537,,,,0.2,,,,1550,,,,,
184,"California Cryobank, LLC",,One stop,,L + 5.50,,,6.50,,,08/2019,,,43,,,,41,,,,-,,,,43,,,,,
185,Certara L.P.,,One stop,,P + 5.00,,,8.25,,,12/2018,,,770,,,,754,,,,0.1,,,,770,,,,,
186,Certara L.P.*^,,One stop,,L + 6.25,,,7.25,,,12/2018,,,26692,,,,26400,,,,3.6,,,,26692,,,,,
187,"CPI Buyer, LLC (Cole-Parmer)*^",,Senior loan,,L + 4.50,,,5.50,,,08/2021,,,7980,,,,7692,,,,1.1,,,,7990,,,,,
188,Curo Health Services LLC,,Senior loan,,L + 5.50,,,6.50,,,02/2022,,,2000,,,,1980,,,,0.3,,,,2011,,,,,
189,Delta Educational Systems*,,Senior loan,,P + 4.75,,,8.00,,,12/2016,,,1631,,,,1616,,,,0.2,,,,1501,,,,,
190,Delta Educational Systems  (3),,Senior loan,,L + 6.00,,,N/A,(4),,12/2016,,,-,,,,-,,,,-,,,,(7,,,,,
191,Dental Holdings Corporation  (3),,One stop,,L + 5.50,,,N/A,(4),,02/2020,,,-,,,,(13,,,,-,,,,(11,,,,,
192,Dental Holdings Corporation,,One stop,,L + 5.50,,,6.50,,,02/2020,,,6608,,,,6462,,,,0.9,,,,6542,,,,,
193,Dental Holdings Corporation  (3),,One stop,,L + 5.50,,,N/A,(4),,02/2020,,,-,,,,(18,,,,-,,,,(15,,,,,
194,"Encore GC Acquisition, LLC  (3)",,Senior loan,,L + 4.50,,,N/A,(4),,01/2020,,,-,,,,(10,,,,-,,,,(10,,,,,
195,"Encore GC Acquisition, LLC*",,Senior loan,,L + 4.50,,,5.50,,,01/2020,,,3502,,,,3451,,,,0.5,,,,3449,,,,,
196,"G & H Wire Company, Inc.  (3)",,Senior loan,,L + 5.75,,,N/A,(4),,12/2017,,,-,,,,(5,,,,-,,,,-,,,,,
197,,,,,Spread,,,,,,,,,,,,,Percentage,,,,,,,,,,,,,
198,,,Investment,,Above,,Interest,,,Maturity,,Principal / Par,,,,,,of,,,Fair,,,,,,,,,,
199,,,Type,,Index  (1),,Rate  (2),,,Date,,Amount,,,Cost,,,Net Assets,,,Value,,,,,,,,,,
200,"G & H Wire Company, Inc.*^",,Senior loan,,L + 5.75,,,6.75,,,12/2017,,,12837,,,,12727,,,,1.7,,,,12837,,,,,
201,"Global Healthcare Exchange, LLC  (3)",,One stop,,L + 7.50,,,N/A,(4),,03/2020,,,-,,,,(21,,,,-,,,,-,,,,,
202,"Global Healthcare Exchange, LLC*^",,One stop,,L + 7.50,,,8.50,,,03/2020,,,37069,,,,36262,,,,5.0,,,,37069,,,,,
203,GSDM Holdings Corp.,,Senior loan,,L + 4.25,,,5.25,,,06/2019,,,765,,,,762,,,,0.1,,,,765,,,,,
204,"IntegraMed America, Inc.",,One stop,,L + 7.25,,,8.50,,,09/2017,,,811,,,,802,,,,0.1,,,,811,,,,,
205,"IntegraMed America, Inc.*^",,One stop,,L + 7.25,,,8.50,,,09/2017,,,15054,,,,14883,,,,2.0,,,,15054,,,,,
206,"Joerns Healthcare, LLC",,One stop,,L + 5.00,,,6.00,,,05/2020,,,9745,,,,9662,,,,1.3,,,,9668,,,,,
