,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
26,,"Grease Monkey International, LLC#~",Senior loan,,L + 5.00,(c),,6.00,,11/2022,,1203,,,1238,,,0.1,,1203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,"Grease Monkey International, LLC+~",Senior loan,,L + 5.00,(c),,6.00,,11/2022,,1089,,,1119,,,-,,1089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,"Grease Monkey International, LLC",Senior loan,,L + 5.00,(c),,6.00,,11/2022,,995,,,997,,,-,,995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,,"Grease Monkey International, LLC",Senior loan,,L + 5.00,,,N/A(6),,11/2022,,-,,,1,,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,"Grease Monkey International, LLC",Senior loan,,L + 5.00,,,N/A(6),,11/2022,,-,,,-,,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,,JHCC Holdings LLC,One stop,,L + 5.50,(c),,6.50,,09/2025,,15630,,,15373,,,0.7,,15630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,,JHCC Holdings LLC,One stop,,L + 5.50,(c),,6.50,,09/2025,,79,,,76,,,-,,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,JHCC Holdings LLC,One stop,,P + 4.50,(c)(f),,7.55,,09/2025,,31,,,30,,,-,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,,"Quick Quack Car Wash Holdings, LLC*#",One stop,,L + 6.50,(d),,7.50,,04/2023,,13084,,,13176,,,0.5,,13084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,"Quick Quack Car Wash Holdings, LLC#",One stop,,L + 6.50,(c)(d),,7.50,,04/2023,,2360,,,2343,,,0.1,,2360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,,"Quick Quack Car Wash Holdings, LLC*+",One stop,,L + 6.50,(d),,7.50,,04/2023,,2062,,,2124,,,0.1,,2062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,"Quick Quack Car Wash Holdings, LLC*+",One stop,,L + 6.50,(d),,7.50,,04/2023,,1378,,,1420,,,0.1,,1378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,"Quick Quack Car Wash Holdings, LLC*",One stop,,L + 6.50,(d),,7.50,,04/2023,,1122,,,1176,,,-,,1122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,,"Quick Quack Car Wash Holdings, LLC",One stop,,L + 6.50,,,N/A(6),,04/2023,,-,,,1,,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,,,,,,,,,,,,50075,,,50244,,,2.1,,50075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,,,Investment Type,,Spread  Above  Index  (1),,Interest  Rate  (2),,Maturity  Date,,Principal ($) /  Shares  (3),,Amortized Cost,,Percentage  of Net  Assets,,Fair  Value  (4),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,,Beverages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,,"Abita Brewing Co., L.L.C.+(7)",One stop,,L + 8.00,(c),,9.00,,04/2021,,,9983,,,,9992,,,0.4,,,8485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,,"Abita Brewing Co., L.L.C.(7)",One stop,,L + 8.00,(c),,9.00,,04/2021,,40,,,40,,,-,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,,"Fintech Midco, LLC*#!",One stop,,L + 5.00,(a),,6.00,,08/2024,,24411,,,24756,,,1.0,,23679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,,"Fintech Midco, LLC#",One stop,,L + 5.00,(a),,6.00,,08/2024,,1131,,,1168,,,-,,1096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,,"Fintech Midco, LLC(5)",One stop,,L + 5.00,,,N/A(6),,08/2024,,-,,,(1),,,-,,(6),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,,,,,,,,,,,,35565,,,35955,,,1.4,,33288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,,Biotechnology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,,"BIO18 Borrower, LLC!",One stop,,L + 5.25,(c),,6.25,,11/2024,,11075,,,11111,,,0.4,,11075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,,"BIO18 Borrower, LLC*#",One stop,,L + 5.25,(c),,6.25,,11/2024,,3963,,,3928,,,0.2,,3963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,,"BIO18 Borrower, LLC",One stop,,L + 5.25,(c),,6.25,,11/2024,,210,,,210,,,-,,210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,,"BIO18 Borrower, LLC(5)",One stop,,L + 5.25,,,N/A(6),,11/2024,,-,,,(1),,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,,,,,,,,,,,,15248,,,15248,,,0.6,,15248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,,Building Products,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,,"Brooks Equipment Company, LLC*#^",One stop,,L + 5.00,(c),,6.00,,05/2021,,23722,,,23640,,,1.0,,23722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,,"Brooks Equipment Company, LLC(5)",One stop,,L + 5.00,,,N/A(6),,05/2021,,-,,,(9),,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,,"Jensen Hughes, Inc.+",Senior loan,,L + 4.50,(c)(f),,5.50,,03/2024,,4191,,,4191,,,0.2,,4066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,,"Jensen Hughes, Inc.",Senior loan,,L + 4.50,(c)(f),,5.50,,03/2024,,1065,,,1098,,,-,,1021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,,"Jensen Hughes, Inc.+",Senior loan,,L + 4.50,(c)(f),,5.50,,03/2024,,913,,,927,,,0.1,,886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,,"Jensen Hughes, Inc.",Senior loan,,L + 4.50,(c)(f),,5.50,,03/2024,,439,,,453,,,-,,426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,,"Jensen Hughes, Inc.+",Senior loan,,L + 4.50,(c)(f),,5.50,,03/2024,,279,,,283,,,-,,271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,,"Jensen Hughes, Inc.",Senior loan,,L + 4.50,(c)(f),,5.50,,03/2024,,218,,,218,,,-,,212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,,"Jensen Hughes, Inc.+",Senior loan,,L + 4.50,(c)(f),,5.50,,03/2024,,117,,,117,,,-,,113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,,,,,,,,,,,,30944,,,30918,,,1.3,,30717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,,Chemicals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,,Inhance Technologies Holdings LLC#,One stop,,L + 6.00,(c),,7.00,,07/2024,,12703,,,12822,,,0.5,,12005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,,Inhance Technologies Holdings LLC,One stop,,L + 6.00,(c),,7.00,,07/2024,,1929,,,1917,,,0.1,,1824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,,Inhance Technologies Holdings LLC,One stop,,L + 6.00,(c),,7.00,,07/2024,,80,,,80,,,-,,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,,,,,,,,,,,,14712,,,14819,,,0.6,,13897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,,Commercial Services & Supplies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,,"Bazaarvoice, Inc.*#+~^",One stop,,L + 5.75,(a)(c),,6.75,,02/2024,,48127,,,48873,,,2.0,,48127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,,"Bazaarvoice, Inc.",One stop,,L + 5.75,(c),,6.75,,02/2024,,300,,,297,,,-,,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,,"EGD Security Systems, LLC*#^",One stop,,L + 5.65,(c),,6.65,,06/2023,,30092,,,30453,,,1.3,,30092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,,"EGD Security Systems, LLC*",One stop,,L + 5.65,(c),,6.65,,06/2023,,1258,,,1257,,,0.1,,1258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,,"EGD Security Systems, LLC#",One stop,,L + 5.65,(c),,6.65,,06/2023,,644,,,663,,,-,,644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,,"EGD Security Systems, LLC#",One stop,,L + 5.65,(c),,6.65,,06/2023,,575,,,571,,,-,,575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,,"EGD Security Systems, LLC",One stop,,L + 5.65,(c),,6.65,,06/2023,,70,,,69,,,-,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,,"EGD Security Systems, LLC(5)",One stop,,L + 5.65,,,N/A(6),,06/2023,,-,,,(38),,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,,Hydraulic Authority III Limited~(8)(9)(10),One stop,,L + 6.00,(h)(i),,7.00,,11/2025,,12277,,,12484,,,0.5,,12344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,,Hydraulic Authority III Limited(8)(9)(10),One stop,,N/A,,,11.00 PIK,,11/2028,,199,,,203,,,-,,204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,,Hydraulic Authority III Limited(8)(9)(10),One stop,,L + 6.00,(d),,7.00,,11/2025,,33,,,32,,,-,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,,,Investment Type,,Spread  Above  Index  (1),,Interest  Rate  (2),,Maturity  Date,,Principal ($) /  Shares  (3),,Amortized Cost,,Percentage  of Net  Assets,,Fair  Value  (4),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,,Commercial Services & Supplies - (continued),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,,"MSHC, Inc.+",Senior loan,,L + 4.25,(c)(f),,5.25,,12/2024,,,343,,,,340,,,-,,,343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,,"MSHC, Inc.",Senior loan,,L + 4.25,(a)(f),,5.25,,12/2024,,9,,,9,,,-,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,,"PT Intermediate Holdings III, LLC+~^",One stop,,L + 5.50,(c),,6.50,,10/2025,,29776,,,29385,,,1.2,,27988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,,WRE Holding Corp.*#,Senior loan,,L + 5.25,(b)(c),,6.25,,01/2023,,2276,,,2312,,,0.1,,2276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,,WRE Holding Corp.^,Senior loan,,L + 5.25,(b)(c),,6.25,,01/2023,,940,,,967,,,0.1,,940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,,WRE Holding Corp.,Senior loan,,L + 5.25,(c),,6.25,,01/2023,,688,,,687,,,-,,688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,,WRE Holding Corp.,Senior loan,,L + 5.25,(c),,6.25,,01/2023,,408,,,408,,,-,,408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,,WRE Holding Corp.,Senior loan,,L + 5.25,(c),,6.25,,01/2023,,23,,,23,,,-,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,,WRE Holding Corp.,Senior loan,,L + 5.25,(c),,6.25,,01/2023,,14,,,13,,,-,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,,WRE Holding Corp.,Senior loan,,L + 5.25,,,N/A(6),,01/2023,,-,,,9,,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,,,,,,,,,,,,128052,,,129017,,,5.3,,126339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,,,Investment Type,,Spread  Above  Index  (1),,Interest  Rate  (2),,Maturity  Date,,Principal ($) /  Shares  (3),,Amortized Cost,,Percentage  of Net  Assets,,Fair  Value  (4),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,,Construction & Engineering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,,"Reladyne, Inc.*#^",Senior loan,,L + 5.00,(c),,6.09,,07/2022,,,32863,,,,33081,,,1.3,,,32206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,,"Reladyne, Inc.~",Senior loan,,L + 5.00,(c),,6.09,,07/2022,,3482,,,3541,,,0.1,,3412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,,"Reladyne, Inc.",Senior loan,,L + 5.00,(c),,6.06,,07/2022,,2754,,,2800,,,0.1,,2699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,,"Reladyne, Inc.#",Senior loan,,L + 5.00,(c),,6.09,,07/2022,,1885,,,1916,,,0.1,,1847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,,"Reladyne, Inc.#~",Senior loan,,L + 5.00,(c),,6.09,,07/2022,,1624,,,1652,,,0.1,,1592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,,"Reladyne, Inc.#",Senior loan,,L + 5.00,(c),,6.09,,07/2022,,1545,,,1587,,,0.1,,1514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,,"Reladyne, Inc.#~",Senior loan,,L + 5.00,(c),,6.09,,07/2022,,742,,,753,,,-,,726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,,,,,,,,,,,,44895,,,45330,,,1.8,,43996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,,Containers & Packaging,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,,AmerCareRoyal LLC+,Senior loan,,L + 5.00,(a),,6.00,,11/2025,,822,,,815,,,0.1,,806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,,AmerCareRoyal LLC+(8),Senior loan,,L + 5.00,(a),,6.00,,11/2025,,152,,,151,,,-,,149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,,Fortis Solutions Group LLC+,Senior loan,,L + 5.00,(a),,6.00,,12/2023,,1586,,,1573,,,0.1,,1586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,,Fortis Solutions Group LLC+,Senior loan,,L + 5.00,(a),,6.00,,12/2023,,632,,,626,,,-,,632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,,Fortis Solutions Group LLC+,Senior loan,,L + 5.00,(a),,6.00,,12/2023,,607,,,602,,,-,,607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,,Fortis Solutions Group LLC,Senior loan,,L + 5.00,,,N/A(6),,12/2023,,-,,,-,,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,,"Plano Molding Company, LLC+",One stop,,L + 9.00,(c),,8.50 cash/1.50 PIK,,05/2022,,14634,,,14585,,,0.5,,11707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,,"Plano Molding Company, LLC",One stop,,L + 9.00,(c),,8.50 cash/1.50 PIK,,05/2022,,1182,,,1171,,,-,,1182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,,,,,,,,,,,,19615,,,19523,,,0.7,,16669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,,Distributors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,,"PetroChoice Holdings, Inc.#^",Senior loan,,L + 5.00,(c),,6.00,,08/2022,,3276,,,3282,,,0.1,,3046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,,Diversified Consumer Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,,EWC Growth Partners LLC,One stop,,L + 5.50,(c),,6.50,,03/2026,,914,,,897,,,0.1,,795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,,EWC Growth Partners LLC,One stop,,L + 5.50,(c),,6.50,,03/2026,,30,,,29,,,-,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,,EWC Growth Partners LLC,One stop,,L + 5.50,(c),,6.50,,03/2026,,18,,,18,,,-,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,,Excelligence Learning Corporation#,One stop,,L + 7.00,(c),,8.00,,04/2023,,10347,,,10088,,,0.3,,7760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,,"Learn-it Systems, LLC!",Senior loan,,L + 5.00,(c),,5.00 cash/0.50 PIK,,03/2025,,2545,,,2594,,,0.1,,2494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,,"Learn-it Systems, LLC",Senior loan,,L + 5.00,(c),,5.00 cash/0.50 PIK,,03/2025,,345,,,344,,,-,,338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,,,Investment Type,,Spread  Above  Index  (1),,Interest  Rate  (2),,Maturity  Date,,Principal ($) /  Shares  (3),,Amortized Cost,,Percentage  of Net  Assets,,Fair  Value  (4),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,,Diversified Consumer Services - (continued),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,,"Learn-it Systems, LLC",Senior loan,,L + 5.00,(c),,N/A(6),,03/2025,,,-,,,,-,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
