,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
19,Automobile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,"American Driveline Systems, Inc.",,Senior loan,,P + 4.50,,,7.75,,,03/2020,,,48,,,,40,,,,-,,,,48,,,,,
21,"American Driveline Systems, Inc.*",,Senior loan,,L + 5.50,,,6.50,,,03/2020,,,1821,,,,1763,,,,0.2,,,,1821,,,,,
22,CH Hold Corp. (Caliber Collision),,Senior loan,,L + 4.75,,,5.75,,,11/2019,,,216,,,,213,,,,-,,,,216,,,,,
23,CH Hold Corp. (Caliber Collision),,Senior loan,,L + 4.75,,,5.75,,,11/2019,,,1867,,,,1850,,,,0.2,,,,1867,,,,,
24,Dent Wizard International Corporation*,,Senior loan,,L + 4.75,,,5.75,,,04/2020,,,2208,,,,2197,,,,0.3,,,,2196,,,,,
25,"Integrated Supply Network, LLC",,Senior loan,,P + 3.50,,,6.75,,,02/2020,,,758,,,,734,,,,0.1,,,,758,,,,,
26,"Integrated Supply Network, LLC*^",,Senior loan,,L + 4.75,,,5.75,,,02/2020,,,14754,,,,14580,,,,1.8,,,,14754,,,,,
27,"K&N Engineering, Inc.",,Senior loan,,L + 4.25,,,5.25,,,07/2019,,,136,,,,121,,,,-,,,,134,,,,,
28,"K&N Engineering, Inc.",,Senior loan,,L + 4.25,,,5.25,,,07/2019,,,35,,,,31,,,,-,,,,32,,,,,
29,"K&N Engineering, Inc.^",,Senior loan,,L + 4.25,,,5.25,,,07/2019,,,2890,,,,2848,,,,0.4,,,,2833,,,,,
30,"Take 5 Oil Change, L.L.C.",,Senior loan,,L + 4.75,,,5.75,,,07/2018,,,297,,,,292,,,,-,,,,297,,,,,
31,"Take 5 Oil Change, L.L.C.*^",,Senior loan,,L + 4.75,,,5.75,,,07/2018,,,5244,,,,5216,,,,0.7,,,,5244,,,,,
32,,,,,,,,,,,,,,30274,,,,29885,,,,3.7,,,,30200,,,,,
33,Banking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,HedgeServ Holding L.P.  (3),,One stop,,L + 6.00,,,No Value,(4),,07/2018,,,-,,,,(7,,,,-,,,,-,,,,,
35,HedgeServ Holding L.P.^,,One stop,,L + 8.00,,,7.00 cash/2.00 PIK,,,07/2018,,,17090,,,,16969,,,,2.1,,,,17090,,,,,
36,Prommis Fin Co.*  (6),,Senior loan,,P + 13.75,,,13.75,,,07/2018,,,119,,,,119,,,,-,,,,-,,,,,
37,Prommis Fin Co.  (6),,Senior loan,,P + 10.00,,,4.44 cash/11.50 PIK,,,07/2018,,,82,,,,81,,,,-,,,,-,,,,,
38,,,,,,,,,,,,,,17291,,,,17162,,,,2.1,,,,17090,,,,,
39,"Beverage, Food and Tobacco",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,"Abita Brewing Co., L.L.C.  (3)",,One stop,,L + 5.75,,,No Value,(4),,07/2018,,,-,,,,(1,,,,-,,,,(2,,,,,
41,"Abita Brewing Co., L.L.C.",,One stop,,L + 5.75,,,6.75,,,07/2018,,,8094,,,,7937,,,,1.0,,,,8013,,,,,
42,ABP Corporation,,Senior loan,,P + 3.50,,,7.25,,,07/2018,,,167,,,,162,,,,-,,,,167,,,,,
43,ABP Corporation*,,Senior loan,,L + 4.75,,,6.00,,,07/2018,,,4758,,,,4704,,,,0.6,,,,4758,,,,,
44,"Atkins Nutritionals, Inc*^",,One stop,,L + 5.00,,,6.25,,,07/2018,,,17490,,,,17300,,,,2.2,,,,17534,,,,,
45,"Atkins Nutritionals, Inc*^",,One stop,,L + 8.50,,,9.75,,,07/2018,,,21636,,,,21378,,,,2.7,,,,21744,,,,,
46,"C. J. Foods, Inc.  (3)",,One stop,,L + 5.50,,,No Value,(4),,07/2018,,,-,,,,(10,,,,-,,,,-,,,,,
47,"C. J. Foods, Inc.  (3)",,One stop,,L + 5.50,,,No Value,(4),,07/2018,,,-,,,,(8,,,,-,,,,-,,,,,
48,"C. J. Foods, Inc.",,One stop,,L + 5.50,,,6.50,,,07/2018,,,3200,,,,3162,,,,0.4,,,,3200,,,,,
49,"Candy Intermediate Holdings, Inc. (Ferrara  Candy)^",,Senior loan,,L + 6.25,,,7.50,,,07/2018,,,4850,,,,4766,,,,0.6,,,,4838,,,,,
50,"Firebirds International, LLC",,One stop,,L + 6.25,,,7.50,,,07/2018,,,304,,,,300,,,,-,,,,304,,,,,
51,"Firebirds International, LLC  (3)",,One stop,,L + 6.25,,,No Value,(4),,07/2018,,,-,,,,(4,,,,-,,,,-,,,,,
52,"Firebirds International, LLC  (3)",,One stop,,L + 6.25,,,No Value,(4),,07/2018,,,-,,,,(2,,,,-,,,,-,,,,,
53,"Firebirds International, LLC*",,One stop,,L + 6.25,,,7.50,,,07/2018,,,1088,,,,1076,,,,0.1,,,,1088,,,,,
54,"First Watch Restaurants, Inc.  (3)",,One stop,,L + 6.00,,,No Value,(4),,07/2018,,,-,,,,(12,,,,-,,,,(13,,,,,
55,"First Watch Restaurants, Inc.  (3)",,One stop,,L + 6.00,,,No Value,(4),,07/2018,,,-,,,,(12,,,,-,,,,(13,,,,,
56,"First Watch Restaurants, Inc.  (3)",,One stop,,L + 6.00,,,No Value,(4),,07/2018,,,-,,,,(11,,,,-,,,,(11,,,,,
57,"First Watch Restaurants, Inc.  (3)",,One stop,,L + 6.00,,,No Value,(4),,07/2018,,,-,,,,(10,,,,-,,,,(30,,,,,
58,"First Watch Restaurants, Inc.^",,One stop,,L + 6.00,,,7.00,,,07/2018,,,25926,,,,25650,,,,3.2,,,,25668,,,,,
59,IT'SUGAR LLC,,Subordinated debt,,No Value,,,5.00,,,07/2018,,,1707,,,,1707,,,,0.2,,,,1625,,,,,
60,IT'SUGAR LLC,,Senior loan,,L + 7.50,,,9.00,,,07/2018,,,7508,,,,7422,,,,0.9,,,,7508,,,,,
61,Julio & Sons Company  (3),,One stop,,L + 5.50,,,No Value,(4),,07/2018,,,-,,,,(23,,,,-,,,,-,,,,,
62,Julio & Sons Company,,One stop,,L + 5.50,,,6.50,,,07/2018,,,329,,,,322,,,,-,,,,329,,,,,
63,Julio & Sons Company*,,One stop,,L + 5.50,,,6.50,,,07/2018,,,6924,,,,6880,,,,0.9,,,,6924,,,,,
64,"Northern Brewer, LLC",,One stop,,P + 7.25,,,8.50 cash/2.00 PIK,,,07/2018,,,694,,,,684,,,,0.1,,,,508,,,,,
65,"Northern Brewer, LLC",,One stop,,P + 7.25,,,8.50 cash/2.00 PIK,,,07/2018,,,6402,,,,6303,,,,0.6,,,,4802,,,,,
66,Surfside Coffee Company LLC  (3),,One stop,,L + 5.25,,,No Value,(4),,07/2018,,,-,,,,(10,,,,-,,,,(10,,,,,
67,Surfside Coffee Company LLC,,One stop,,L + 5.25,,,6.25,,,07/2018,,,3,,,,3,,,,-,,,,3,,,,,
68,,,,,Spread,,,,,,,,,,,,,Percentage,,,,,,,,,,,,,
69,,,Investment,,Above,,Interest,,,Maturity,,Principal / Par,,,,,,of,,,Fair,,,,,,,,,,
70,,,Type,,Index  (1),,Rate  (2),,,Date,,Amount,,,Cost,,,Net  Assets,,,Value,,,,,,,,,,
71,Surfside Coffee Company LLC^,,One stop,,L + 5.25,,,6.25,,,07/2018,,,4526,,,,4481,,,,0.6,,,,4481,,,,,
72,"Tate's Bake Shop, Inc.  (3)",,Senior loan,,L + 4.75,,,No Value,(4),,07/2018,,,-,,,,(5,,,,-,,,,-,,,,,
73,"Tate's Bake Shop, Inc.  (3)",,Senior loan,,L + 4.75,,,No Value,(4),,07/2018,,,-,,,,(4,,,,-,,,,-,,,,,
74,"Tate's Bake Shop, Inc.^",,Senior loan,,L + 4.75,,,5.75,,,07/2018,,,2985,,,,2960,,,,0.4,,,,2985,,,,,
75,Uinta Brewing Company,,One stop,,P + 4.75,,,8.00,,,07/2018,,,277,,,,271,,,,-,,,,277,,,,,
76,Uinta Brewing Company^,,One stop,,L + 6.00,,,7.00,,,07/2018,,,3212,,,,3185,,,,0.4,,,,3212,,,,,
77,United Craft Brews LLC  (3),,One stop,,L + 6.25,,,No Value,(4),,07/2018,,,-,,,,(16,,,,-,,,,-,,,,,
78,United Craft Brews LLC,,One stop,,L + 6.25,,,7.25,,,07/2018,,,610,,,,594,,,,0.1,,,,610,,,,,
79,United Craft Brews LLC,,One stop,,L + 6.25,,,7.25,,,07/2018,,,12188,,,,11932,,,,1.5,,,,12188,,,,,
80,,,,,,,,,,,,,,134878,,,,133051,,,,16.5,,,,132687,,,,,
81,Broadcasting and Entertainment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,Extreme Reach Inc.,,Senior loan,,L + 5.75,,,6.75,,,07/2018,,,5860,,,,5801,,,,0.7,,,,5849,,,,,
83,"TouchTunes Interactive Networks, Inc.^",,Senior loan,,L + 4.75,,,5.75,,,07/2018,,,1496,,,,1488,,,,0.2,,,,1499,,,,,
84,,,,,,,,,,,,,,7356,,,,7289,,,,0.9,,,,7348,,,,,
85,Building and Real Estate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,"Accruent, LLC*",,One stop,,L + 6.25,,,7.28,,,07/2018,,,4733,,,,4691,,,,0.6,,,,4733,,,,,
87,"Brooks Equipment Company, LLC  (3)",,One stop,,L + 5.75,,,No Value,(4),,07/2018,,,-,,,,(17,,,,-,,,,-,,,,,
88,"Brooks Equipment Company, LLC*^",,One stop,,L + 5.75,,,6.75,,,07/2018,,,25776,,,,25449,,,,3.2,,,,25776,,,,,
89,"ITEL Laboratories, Inc.  (3)",,Senior loan,,L + 4.75,,,No Value,(4),,07/2018,,,-,,,,(1,,,,-,,,,-,,,,,
90,"ITEL Laboratories, Inc.*",,Senior loan,,L + 4.75,,,6.00,,,07/2018,,,698,,,,693,,,,0.1,,,,698,,,,,
91,,,,,,,,,,,,,,31207,,,,30815,,,,3.9,,,,31207,,,,,
92,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,
93,"Chemicals, Plastics and Rubber",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,"Flexan, LLC  (3)",,One stop,,L + 5.75,,,No Value,(4),,07/2018,,,-,,,,(6,,,,-,,,,-,,,,,
95,"Flexan, LLC",,One stop,,L + 5.75,,,6.75,,,07/2018,,,6168,,,,6111,,,,0.8,,,,6168,,,,,
96,"Flexan, LLC",,One stop,,L + 5.75,,,No Value,(4),,07/2018,,,-,,,,-,,,,-,,,,-,,,,,
97,,,,,,,,,,,,,,6168,,,,6105,,,,0.8,,,,6168,,,,,
98,"Containers, Packaging and Glass",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,Fort Dearborn Company*  (8),,Senior loan,,P + 3.25,,,6.50,,,07/2018,,,7,,,,6,,,,-,,,,7,,,,,
100,Fort Dearborn Company*^,,Senior loan,,L + 4.25,,,5.25,,,07/2018,,,581,,,,578,,,,0.1,,,,581,,,,,
101,Fort Dearborn Company*  (8),,Senior loan,,P + 3.75,,,7.00,,,07/2018,,,24,,,,24,,,,-,,,,24,,,,,
102,Fort Dearborn Company*^,,Senior loan,,L + 4.75,,,5.75,,,07/2018,,,2628,,,,2615,,,,0.3,,,,2628,,,,,
103,"Packaging Coordinators, Inc.*^",,Senior loan,,L + 4.25,,,5.25,,,07/2018,,,14888,,,,14756,,,,1.9,,,,14888,,,,,
104,"Packaging Coordinators, Inc.",,Second lien,,L + 8.00,,,9.00,,,07/2018,,,10000,,,,9910,,,,1.2,,,,9900,,,,,
105,,,,,,,,,,,,,,28128,,,,27889,,,,3.5,,,,28028,,,,,
106,Diversified Conglomerate Manufacturing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,"Chase Industries, Inc.",,One stop,,L + 5.75,,,6.75,,,07/2018,,,3123,,,,3081,,,,0.4,,,,3123,,,,,
108,"Chase Industries, Inc.",,One stop,,P + 4.50,,,7.75,,,07/2018,,,234,,,,216,,,,-,,,,234,,,,,
109,"Chase Industries, Inc.*^",,One stop,,L + 5.75,,,6.75,,,07/2018,,,20932,,,,20751,,,,2.6,,,,20932,,,,,
110,"ICC-Nexergy, Inc  (3)",,One stop,,L + 5.50,,,No Value,(4),,07/2018,,,-,,,,(4,,,,-,,,,(5,,,,,
111,"ICC-Nexergy, Inc^",,One stop,,L + 5.50,,,6.50,,,07/2018,,,8612,,,,8552,,,,1.1,,,,8526,,,,,
112,Onicon Incorporated  (3),,One stop,,L + 6.00,,,No Value,(4),,07/2018,,,-,,,,(6,,,,-,,,,(15,,,,,
113,Onicon Incorporated*,,One stop,,L + 6.00,,,7.01,,,07/2018,,,9345,,,,9266,,,,1.1,,,,9204,,,,,
114,"Plex Systems, Inc.  (3)",,One stop,,L + 7.50,,,No Value,(4),,07/2018,,,-,,,,(26,,,,-,,,,-,,,,,
115,"Plex Systems, Inc.*^",,One stop,,L + 7.50,,,8.75,,,07/2018,,,18797,,,,18425,,,,2.3,,,,18797,,,,,
116,"Sunless Merger Sub, Inc.",,Senior loan,,P + 4.00,,,7.25,,,07/2018,,,130,,,,129,,,,-,,,,103,,,,,
117,"Sunless Merger Sub, Inc.*",,Senior loan,,L + 5.25,,,6.50,,,07/2018,,,1680,,,,1675,,,,0.1,,,,1176,,,,,
118,"TIDI Products, LLC  (3)",,One stop,,L + 6.50,,,No Value,(4),,07/2018,,,-,,,,(8,,,,-,,,,-,,,,,
119,"TIDI Products, LLC*^",,One stop,,L + 6.50,,,7.75,,,07/2018,,,16594,,,,16410,,,,2.1,,,,16594,,,,,
120,"Vintage Parts, Inc.*",,One stop,,L + 4.50,,,5.75,,,07/2018,,,3750,,,,3740,,,,0.5,,,,3750,,,,,
121,"Vintage Parts, Inc.*",,One stop,,L + 4.50,,,5.75,,,07/2018,,,52,,,,52,,,,-,,,,52,,,,,
122,"Vintage Parts, Inc.*",,One stop,,L + 4.50,,,5.75,,,07/2018,,,784,,,,785,,,,0.1,,,,784,,,,,
123,,,,,,,,,,,,,,84033,,,,83038,,,,10.3,,,,83255,,,,,
124,Diversified Conglomerate Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,"Accellos, Inc.  (3)",,One stop,,L + 5.75,,,No Value,(4),,07/2018,,,-,,,,(18,,,,-,,,,-,,,,,
126,"Accellos, Inc.*^",,One stop,,L + 5.75,,,6.76,,,07/2018,,,32203,,,,31868,,,,4.0,,,,32203,,,,,
127,"Actiance, Inc.",,One stop,,L + 9.00,,,No Value,(4),,07/2018,,,-,,,,-,,,,-,,,,-,,,,,
128,"Actiance, Inc. *^",,One stop,,L + 9.00,,,10.00,,,07/2018,,,2502,,,,2401,,,,0.3,,,,2395,,,,,
129,"Aderant North America, Inc.^",,Senior loan,,L + 4.25,,,5.25,,,07/2018,,,447,,,,443,,,,0.1,,,,447,,,,,
130,Agility Recovery Solutions Inc.,,One stop,,L + 6.50,,,7.50,,,07/2018,,,104,,,,97,,,,-,,,,104,,,,,
131,Agility Recovery Solutions Inc.^,,One stop,,L + 6.50,,,7.50,,,07/2018,,,10378,,,,10280,,,,1.3,,,,10378,,,,,
132,Bomgar Corporation  (3),,One stop,,L + 6.00,,,No Value,(4),,07/2018,,,-,,,,(15,,,,-,,,,-,,,,,
133,Bomgar Corporation*,,One stop,,L + 6.00,,,7.00,,,07/2018,,,29202,,,,28783,,,,3.6,,,,29202,,,,,
134,"Daxko, LLC  (3)",,One stop,,L + 7.25,,,No Value,(4),,07/2018,,,-,,,,(20,,,,-,,,,-,,,,,
135,"Daxko, LLC*",,One stop,,L + 7.25,,,8.25,,,07/2018,,,15528,,,,15312,,,,1.9,,,,15528,,,,,
136,"DTI Holdco, Inc.",,Senior loan,,L + 5.00,,,6.00,,,07/2018,,,8527,,,,8442,,,,1.0,,,,8441,,,,,
137,,,,,Spread,,,,,,,,,,,,,Percentage,,,,,,,,,,,,,
138,,,Investment,,Above,,Interest,,,Maturity,,Principal / Par,,,,,,of,,,Fair,,,,,,,,,,
139,,,Type,,Index  (1),,Rate  (2),,,Date,,Amount,,,Cost,,,Net  Assets,,,Value,,,,,,,,,,
140,"HealthcareSource HR, Inc.  (3)",,Senior loan,,L + 6.75,,,No Value,(4),,07/2018,,,-,,,,(2,,,,-,,,,(1,,,,,
141,"HealthcareSource HR, Inc.",,One stop,,L + 6.75,,,7.75,,,07/2018,,,17948,,,,17530,,,,2.2,,,,17769,,,,,
142,"Host Analytics, Inc.  (3)",,One stop,,L + 0.00,,,No Value,(4),,07/2018,,,-,,,,(6,,,,-,,,,-,,,,,
143,"Host Analytics, Inc.",,One stop,,No Value,,,10.75,,,07/2018,,,2943,,,,2895,,,,0.4,,,,2943,,,,,
144,"Integration Appliance, Inc.",,One stop,,L + 8.25,,,9.50,,,07/2018,,,719,,,,712,,,,0.1,,,,719,,,,,
145,"Integration Appliance, Inc.",,One stop,,L + 8.25,,,9.50,,,07/2018,,,7914,,,,7756,,,,1.0,,,,7914,,,,,
146,"Integration Appliance, Inc.",,One stop,,L + 8.25,,,9.50,,,07/2018,,,5396,,,,5308,,,,0.7,,,,5396,,,,,
147,"NetSmart Technologies, Inc.",,One stop,,P + 4.25,,,7.50,,,07/2018,,,225,,,,193,,,,-,,,,225,,,,,
148,"NetSmart Technologies, Inc.*^",,One stop,,L + 5.25,,,6.25,,,07/2018,,,25327,,,,25095,,,,3.1,,,,25327,,,,,
149,"PC Helps Support, LLC",,Senior loan,,P + 4.25,,,7.50,,,07/2018,,,66,,,,65,,,,-,,,,66,,,,,
150,"PC Helps Support, LLC",,Senior loan,,L + 5.25,,,6.51,,,07/2018,,,1532,,,,1522,,,,0.2,,,,1532,,,,,
151,"Secure-24, LLC  (3)",,One stop,,L + 6.00,,,No Value,(4),,07/2018,,,-,,,,(4,,,,-,,,,-,,,,,
152,"Secure-24, LLC*",,One stop,,L + 6.00,,,7.25,,,07/2018,,,10054,,,,9922,,,,1.2,,,,10054,,,,,
153,"Secure-24, LLC^",,One stop,,L + 6.00,,,7.25,,,07/2018,,,1471,,,,1456,,,,0.2,,,,1471,,,,,
154,"Source Medical Solutions, Inc.",,Second lien,,L + 8.00,,,9.00,,,07/2018,,,9294,,,,9179,,,,1.2,,,,9294,,,,,
155,"Transaction Data Systems, Inc.",,Senior loan,,L + 4.50,,,No Value,(4),,07/2018,,,-,,,,-,,,,-,,,,-,,,,,
156,"Transaction Data Systems, Inc.",,Senior loan,,L + 4.50,,,5.50,,,07/2018,,,4545,,,,4500,,,,0.6,,,,4499,,,,,
157,"Vendavo, Inc.  (3)",,One stop,,L + 8.50,,,No Value,(4),,07/2018,,,-,,,,(13,,,,-,,,,-,,,,,
158,"Vendavo, Inc.",,One stop,,L + 8.50,,,9.50,,,07/2018,,,15501,,,,15202,,,,1.9,,,,15501,,,,,
159,,,,,,,,,,,,,,201826,,,,198883,,,,25.0,,,,201407,,,,,
160,Electronics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,"Appriss Holdings, Inc.",,Senior loan,,L + 4.75,,,5.75,,,11/2020,,,902,,,,863,,,,0.1,,,,902,,,,,
162,"Appriss Holdings, Inc.*",,Senior loan,,L + 4.75,,,5.75,,,11/2020,,,18099,,,,17855,,,,2.2,,,,18099,,,,,
163,"Compusearch Software Holdings, Inc.^",,Senior loan,,L + 4.50,,,5.50,,,05/2021,,,1325,,,,1321,,,,0.2,,,,1321,,,,,
164,"ECI Acquisition Holdings, Inc.",,One stop,,L + 6.25,,,7.25,,,03/2019,,,1410,,,,1344,,,,0.2,,,,1410,,,,,
165,"ECI Acquisition Holdings, Inc.  (3)",,One stop,,L + 6.25,,,No Value,(4),,03/2019,,,-,,,,(14,,,,-,,,,-,,,,,
166,"ECI Acquisition Holdings, Inc.*^",,One stop,,L + 6.25,,,7.25,,,03/2019,,,21779,,,,21475,,,,2.7,,,,21779,,,,,
167,"Gamma Technologies, LLC  (3)",,One stop,,L + 5.50,,,No Value,(4),,06/2021,,,-,,,,(1,,,,-,,,,(1,,,,,
168,"Gamma Technologies, LLC^",,One stop,,L + 5.50,,,6.50,,,06/2021,,,18229,,,,18047,,,,2.2,,,,18047,,,,,
169,"Rogue Wave Holdings, Inc.*^",,One stop,,L + 9.01,,,10.01,,,12/2018,,,10007,,,,9917,,,,1.2,,,,10007,,,,,
170,"Sloan Company, Inc., The",,One stop,,L + 6.25,,,7.25,,,04/2020,,,8,,,,7,,,,-,,,,8,,,,,
171,"Sloan Company, Inc., The",,One stop,,L + 6.25,,,7.25,,,04/2020,,,7609,,,,7517,,,,0.9,,,,7532,,,,,
172,Sparta Holding Corporation  (3),,One stop,,L + 5.50,,,No Value,(4),,07/2020,,,-,,,,(32,,,,-,,,,-,,,,,
173,Sparta Holding Corporation*^,,One stop,,L + 5.50,,,6.50,,,07/2020,,,23183,,,,22939,,,,2.9,,,,23183,,,,,
174,Syncsort Incorporated  (3),,Senior loan,,L + 4.75,,,No Value,(4),,03/2019,,,-,,,,(3,,,,-,,,,-,,,,,
175,Syncsort Incorporated  (3),,Senior loan,,L + 4.75,,,No Value,(4),,03/2019,,,-,,,,(1,,,,-,,,,-,,,,,
176,Syncsort Incorporated*,,Senior loan,,L + 4.75,,,5.75,,,03/2019,,,1989,,,,1974,,,,0.2,,,,1989,,,,,
177,"Systems Maintenance Services Holding,  Inc.^",,Senior loan,,L + 4.00,,,5.25,,,10/2019,,,2637,,,,2627,,,,0.3,,,,2637,,,,,
178,"Taxware, LLC  (3)",,One stop,,L + 6.50,,,No Value,(4),,04/2022,,,-,,,,(5,,,,-,,,,(5,,,,,
179,"Taxware, LLC*^",,One stop,,L + 6.50,,,7.50,,,04/2022,,,19949,,,,19648,,,,2.5,,,,19750,,,,,
180,"Watchfire Enterprises, Inc.",,Second lien,,L + 8.00,,,9.00,,,10/2021,,,9434,,,,9234,,,,1.2,,,,9434,,,,,
181,,,,,,,,,,,,,,136560,,,,134712,,,,16.8,,,,136092,,,,,
182,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,
183,Finance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,"Ascensus, Inc.  (3)",,One stop,,L + 4.00,,,No Value,(4),,11/2018,,,-,,,,(13,,,,-,,,,-,,,,,
185,"Ascensus, Inc.^",,One stop,,L + 4.00,,,5.00,,,12/2019,,,3964,,,,3902,,,,0.5,,,,3964,,,,,
186,"Ascensus, Inc.*^",,One stop,,L + 8.00,,,9.00,,,12/2020,,,6337,,,,6165,,,,0.8,,,,6337,,,,,
187,,,,,,,,,,,,,,10301,,,,10054,,,,1.3,,,,10301,,,,,
188,Grocery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,AG Kings Holdings Inc.  (3),,One stop,,L + 5.50,,,No Value,(4),,04/2020,,,-,,,,(8,,,,-,,,,(8,,,,,
190,AG Kings Holdings Inc.,,One stop,,L + 5.50,,,6.50,,,04/2020,,,6191,,,,6132,,,,0.8,,,,6129,,,,,
191,"MyWebGrocer, Inc.  (3)",,One stop,,L + 8.75,,,No Value,(4),,05/2018,,,-,,,,(12,,,,-,,,,-,,,,,
192,"MyWebGrocer, Inc.^",,One stop,,L + 8.75,,,10.00,,,05/2018,,,14271,,,,14101,,,,1.8,,,,14271,,,,,
193,,,,,,,,,,,,,,20462,,,,20213,,,,2.6,,,,20392,,,,,
194,"Healthcare, Education and Childcare",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,"Agilitas USA, Inc.^",,Senior loan,,L + 4.00,,,5.00,,,10/2020,,,2452,,,,2431,,,,0.3,,,,2452,,,,,
196,"Avatar International, LLC",,One stop,,L + 7.89,,,6.19 cash/2.95 PIK,,,09/2016,,,1656,,,,1651,,,,0.1,,,,828,,,,,
197,"Avatar International, LLC",,One stop,,L + 7.89,,,6.19 cash/2.95 PIK,,,09/2016,,,542,,,,539,,,,0.1,,,,542,,,,,
198,"Avatar International, LLC*",,One stop,,L + 7.89,,,6.19 cash/2.95 PIK,,,09/2016,,,7675,,,,7645,,,,0.5,,,,3838,,,,,
199,"California Cryobank, LLC^",,One stop,,L + 5.50,,,6.50,,,08/2019,,,1550,,,,1538,,,,0.2,,,,1550,,,,,
200,"California Cryobank, LLC",,One stop,,L + 5.50,,,6.50,,,08/2019,,,43,,,,42,,,,-,,,,43,,,,,
201,"California Cryobank, LLC",,One stop,,P + 4.25,,,7.50,,,08/2019,,,86,,,,84,,,,-,,,,86,,,,,
202,Certara L.P.  (3),,One stop,,L + 6.25,,,No Value,(4),,12/2018,,,-,,,,(15,,,,-,,,,-,,,,,
203,Certara L.P.*^,,One stop,,L + 6.25,,,7.25,,,12/2018,,,30925,,,,30610,,,,3.8,,,,30925,,,,,
204,"CPI Buyer, LLC (Cole-Parmer)*^",,Senior loan,,L + 4.50,,,5.50,,,08/2021,,,7960,,,,7682,,,,1.0,,,,7960,,,,,
205,,,,,Spread,,,,,,,,,,,,,Percentage,,,,,,,,,,,,,
206,,,Investment,,Above,,Interest,,,Maturity,,Principal / Par,,,,,,of,,,Fair,,,,,,,,,,
207,,,Type,,Index  (1),,Rate  (2),,,Date,,Amount,,,Cost,,,Net  Assets,,,Value,,,,,,,,,,
208,Curo Health Services LLC,,Senior loan,,L + 5.50,,,6.50,,,02/2022,,,1995,,,,1976,,,,0.2,,,,2014,,,,,
209,Delta Educational Systems*,,Senior loan,,P + 4.75,,,8.00,,,12/2016,,,1631,,,,1618,,,,0.2,,,,1387,,,,,
