,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75
10,,Whitcraft LLC*#+,One stop,,L +,6.00,(b),,9.67,,,,,04/2023,,62608,,,62693,,,2.4,,60729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,Whitcraft LLC+,One stop,,P +,5.00,(d),,11.25,,,,,04/2023,,42,,,38,,,-,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,63422,,,63500,,,2.4,,61468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,Airlines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,Aurora Lux Finco S.A.R.L. +(8)(13),One stop,,L +,6.00,(b),,8.78,,,,,12/2026,,975,,,961,,,-,,926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,Auto Components,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,"COP CollisionRight Holdings, Inc.#+",One stop,,SF +,4.75,(l),,7.26,,,,,04/2028,,9638,,,9483,,,0.4,,9542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,"COP CollisionRight Holdings, Inc.+",One stop,,SF +,4.75,(l),,8.45,,,,,04/2028,,27,,,26,,,-,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,"COP CollisionRight Holdings, Inc.+(5)",One stop,,SF +,4.75,,,N/A(6),,,,,04/2028,,-,,,(  2  ),,,-,,(  3  ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,"Covercraft Parent III, Inc.+",Senior loan,,L +,4.50,(b),,6.78,,,,,08/2027,,4890,,,4850,,,0.2,,4890,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,"Covercraft Parent III, Inc.+",Senior loan,,L +,4.50,(b),,8.17,,,,,08/2027,,994,,,973,,,-,,994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,"Covercraft Parent III, Inc.+(5)",Senior loan,,L +,4.50,,,N/A(6),,,,,08/2027,,-,,,(  1  ),,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,"North Haven Falcon Buyer, LLC+",One stop,,L +,6.50,(c),,8.51,,,,,05/2027,,6099,,,6004,,,0.3,,5855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,"North Haven Falcon Buyer, LLC+",One stop,,L +,6.50,(c),,8.67,,,,,05/2027,,1021,,,1006,,,-,,981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,,Polk Acquisition Corp.*#+,Senior loan,,SF +,6.00,(k),,9.03,,,,,12/2024,,18007,,,17927,,,0.7,,17777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,Polk Acquisition Corp.+,Senior loan,,SF +,6.50,(k),,9.53,,,,,03/2023,,695,,,693,,,-,,695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,Polk Acquisition Corp.+,Senior loan,,SF +,6.00,(k),,9.03,,,,,12/2024,,106,,,108,,,-,,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,Polk Acquisition Corp.+,Senior loan,,SF +,6.00,(k),,9.03,,,,,12/2024,,106,,,106,,,-,,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,,,41583,,,41173,,,1.6,,,40966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,,Automobiles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,"CG Group Holdings, LLC*#+",One stop,,L +,7.25,(b),,8.92,cash/,2.00,PIK,,07/2027,,31441,,,31084,,,1.1,,28925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,,"CG Group Holdings, LLC+",One stop,,L +,7.25,(a),,8.37,cash/,2.00,PIK,,07/2026,,338,,,334,,,-,,311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,,"Denali Midco 2, LLC*#+",One stop,,SF +,6.25,(k),,9.38,,,,,12/2027,,42864,,,42490,,,1.7,,41579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,"Denali Midco 2, LLC+(5)",One stop,,SF +,5.25,,,N/A(6),,,,,12/2027,,-,,,(  4  ),,,-,,(  15  ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,,"Denali Midco 2, LLC+",One stop,,SF +,6.25,(k),,9.38,,,,,12/2027,,198,,,196,,,-,,192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,"Denali Midco 2, LLC+",One stop,,SF +,6.25,(k),,9.38,,,,,12/2027,,100,,,99,,,-,,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,,"Denali Midco 2, LLC+",One stop,,SF +,6.25,(k),,9.38,,,,,12/2027,,80,,,79,,,-,,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,"Denali Midco 2, LLC+",One stop,,SF +,6.25,(k),,9.38,,,,,12/2027,,80,,,79,,,-,,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,"Denali Midco 2, LLC+",One stop,,SF +,6.25,(k),,9.28,,,,,12/2027,,66,,,65,,,-,,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,,"Denali Midco 2, LLC+",One stop,,SF +,6.50,(k),,9.45,,,,,12/2027,,978,,,949,,,-,,949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,,"Denali Midco 2, LLC+",One stop,,SF +,6.25,(k),,9.38,,,,,12/2027,,660,,,654,,,-,,640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,,"Denali Midco 2, LLC+",One stop,,SF +,6.25,(k),,9.38,,,,,12/2027,,120,,,119,,,-,,116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,,"Denali Midco 2, LLC+",One stop,,SF +,6.25,(k),,9.38,,,,,12/2027,,114,,,113,,,-,,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,,"Denali Midco 2, LLC+",One stop,,SF +,6.25,(k),,9.38,,,,,12/2027,,82,,,81,,,-,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,,"Denali Midco 2, LLC+(5)",One stop,,SF +,6.50,,,N/A(6),,,,,12/2027,,-,,,(  29  ),,,-,,(  29  ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,,JHCC Holdings LLC+,One stop,,L +,5.75,(b),,9.42,,,,,09/2025,,15314,,,15116,,,0.6,,14855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,,JHCC Holdings LLC+,One stop,,P +,4.75,(d),,11.00,,,,,09/2025,,496,,,491,,,-,,481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,,JHCC Holdings LLC+,One stop,,L +,5.75,(b)(d),,9.91,,,,,09/2025,,295,,,292,,,-,,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,,JHCC Holdings LLC+,One stop,,P +,4.75,(b)(d),,10.30,,,,,09/2025,,57,,,56,,,-,,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,,JHCC Holdings LLC+,One stop,,L +,5.75,(b),,9.42,,,,,09/2025,,302,,,267,,,-,,269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,,,Investment Type,,Spread  Above  Index  (1),,Interest  Rate  (2),,Maturity  Date,,Principal ($) /  Shares  (3),,Amortized Cost,,Percentage  of Net  Assets,,Fair  Value  (4),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,,"MOP GM Holding, LLC*#+",One stop,,SF +,5.75,(m),,9.98,,,,,11/2026,,,23977,,,,23768,,,1.0,,,23498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,,"MOP GM Holding, LLC+",One stop,,L +,5.75,(c),,7.09,,,,,11/2026,,2629,,,2609,,,0.1,,2576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,,"MOP GM Holding, LLC+",One stop,,SF +,5.75,(m),,7.62,,,,,11/2026,,2599,,,2562,,,0.1,,2547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,,"MOP GM Holding, LLC+",One stop,,L +,5.75,(c),,6.95,,,,,11/2026,,2578,,,2556,,,0.1,,2527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,,"MOP GM Holding, LLC+",One stop,,SF +,5.75,(l),,8.58,,,,,11/2026,,1910,,,1894,,,0.1,,1872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,,"MOP GM Holding, LLC+",One stop,,SF +,5.75,(m),,8.98,,,,,11/2026,,1571,,,1559,,,0.1,,1539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,,"MOP GM Holding, LLC+",One stop,,SF +,5.75,(m),,7.62,,,,,11/2026,,1448,,,1424,,,0.1,,1419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,,"MOP GM Holding, LLC+",One stop,,SF +,5.75,(m),,9.98,,,,,11/2026,,527,,,523,,,-,,517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,,"MOP GM Holding, LLC+",One stop,,SF +,5.75,(m),,9.50,,,,,11/2026,,358,,,355,,,-,,351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,,"MOP GM Holding, LLC+",One stop,,SF +,5.75,(l),,9.55,,,,,11/2026,,148,,,146,,,-,,145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,,"MOP GM Holding, LLC+",One stop,,SF +,5.75,(m),,8.51,,,,,11/2026,,60,,,59,,,-,,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,,"MOP GM Holding, LLC+",One stop,,SF +,5.75,(c)(l)(m),,8.91,,,,,11/2026,,86,,,84,,,-,,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,,"MOP GM Holding, LLC+(5)",One stop,,SF +,5.75,,,N/A(6),,,,,11/2026,,-,,,(  21  ),,,-,,(  47  ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,,"MOP GM Holding, LLC+",One stop,,SF +,5.75,(l),,8.99,,,,,11/2026,,180,,,178,,,-,,176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,,"MOP GM Holding, LLC+",One stop,,SF +,5.75,(m),,8.94,,,,,11/2026,,60,,,59,,,-,,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,,"POY Holdings, LLC#",One stop,,L +,5.50,(b),,9.17,,,,,11/2027,,9543,,,9379,,,0.4,,9543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,,"POY Holdings, LLC+",One stop,,L +,5.50,(b),,9.17,,,,,11/2027,,36,,,32,,,-,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,,"POY Holdings, LLC+",One stop,,L +,5.50,(b),,9.14,,,,,11/2027,,82,,,79,,,-,,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,,"National Express Wash Parent Holdco, LLC+",One stop,,SF +,5.50,(m),,8.27,,,,,07/2029,,3150,,,3120,,,0.1,,3119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,,"National Express Wash Parent Holdco, LLC+",One stop,,SF +,5.50,(m),,8.39,,,,,07/2029,,70,,,68,,,-,,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,,"National Express Wash Parent Holdco, LLC+(5)",One stop,,SF +,5.50,,,N/A(6),,,,,07/2029,,-,,,(  22  ),,,-,,(  22  ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,,"Quick Quack Car Wash Holdings, LLC*#",One stop,,L +,6.50,(b),,9.31,,,,,10/2024,,12815,,,12820,,,0.5,,12815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,,"Quick Quack Car Wash Holdings, LLC+",One stop,,L +,6.50,(b),,9.31,,,,,10/2024,,9773,,,9750,,,0.4,,9773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,,"Quick Quack Car Wash Holdings, LLC#+",One stop,,L +,6.50,(b),,9.31,,,,,10/2024,,2313,,,2306,,,0.1,,2313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,,"Quick Quack Car Wash Holdings, LLC*+",One stop,,L +,6.50,(b),,9.31,,,,,10/2024,,2020,,,2042,,,0.1,,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,,"Quick Quack Car Wash Holdings, LLC*+",One stop,,L +,6.50,(b),,9.31,,,,,10/2024,,1350,,,1364,,,0.1,,1350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,,"Quick Quack Car Wash Holdings, LLC*+",One stop,,L +,6.50,(b),,9.31,,,,,10/2024,,1099,,,1110,,,-,,1099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,,"Quick Quack Car Wash Holdings, LLC+",One stop,,L +,6.50,(b),,9.31,,,,,10/2024,,95,,,89,,,-,,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,,"Quick Quack Car Wash Holdings, LLC+",One stop,,L +,6.50,(b),,9.32,,,,,10/2024,,120,,,120,,,-,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,,"Quick Quack Car Wash Holdings, LLC+",One stop,,L +,6.50,(a)(b),,9.51,,,,,10/2024,,95,,,93,,,-,,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,,"Quick Quack Car Wash Holdings, LLC+",One stop,,L +,6.50,(a),,9.62,,,,,10/2024,,345,,,341,,,-,,345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,,"Quick Quack Car Wash Holdings, LLC+",One stop,,L +,6.50,(a)(b),,9.50,,,,,10/2024,,104,,,99,,,-,,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,,"Spotless Brands, LLC+",One stop,,SF +,6.50,(l),,9.19,,,,,07/2028,,8369,,,8207,,,0.3,,8202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,,"Spotless Brands, LLC+",One stop,,SF +,6.50,(k),,9.44,,,,,07/2028,,428,,,419,,,-,,418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,,"Spotless Brands, LLC+",One stop,,SF +,6.50,(d)(k),,9.92,,,,,07/2028,,20,,,20,,,-,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,,"Spotless Brands, LLC+(5)",One stop,,SF +,6.50,,,N/A(6),,,,,07/2028,,-,,,(  7  ),,,-,,(  7  ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,,"TWAS Holdings, LLC#+",One stop,,SF +,6.25,(k),,9.38,,,,,12/2026,,40460,,,40118,,,1.6,,40460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,,"TWAS Holdings, LLC*+",One stop,,SF +,6.25,(k),,9.38,,,,,12/2026,,30566,,,30292,,,1.2,,30566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,,"TWAS Holdings, LLC+",One stop,,SF +,6.25,(k),,9.38,,,,,12/2026,,7934,,,7865,,,0.3,,7934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,,"TWAS Holdings, LLC+",One stop,,SF +,6.25,(k),,9.38,,,,,12/2026,,609,,,604,,,-,,609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,,"TWAS Holdings, LLC+",One stop,,SF +,6.25,(k),,9.38,,,,,12/2026,,387,,,384,,,-,,387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,,"TWAS Holdings, LLC+(5)",One stop,,SF +,6.25,,,N/A(6),,,,,12/2026,,-,,,(  3  ),,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,,,,,,,,,,,,,,,,263499,,,260975,,,10.1,,257983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,,Beverages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,,"Fintech Midco, LLC*#",One stop,,L +,5.25,(b),,8.06,,,,,08/2024,,23863,,,24012,,,0.9,,23624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,,"Fintech Midco, LLC+",One stop,,L +,5.25,(b),,8.06,,,,,08/2024,,15149,,,15053,,,0.6,,14998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,,"Fintech Midco, LLC#+",One stop,,L +,5.25,(b),,8.06,,,,,08/2024,,1105,,,1123,,,0.1,,1094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,,"Fintech Midco, LLC+(5)",One stop,,L +,5.25,,,N/A(6),,,,,08/2024,,-,,,-,,,-,,(  2  ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,,"Watermill Express, LLC+",One stop,,L +,5.50,(b),,9.17,,,,,04/2027,,2244,,,2227,,,0.1,,2222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,,,Investment Type,,Spread  Above  Index  (1),,Interest  Rate  (2),,Maturity  Date,,Principal ($) /  Shares  (3),,Amortized Cost,,Percentage  of Net  Assets,,Fair  Value  (4),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,,"Watermill Express, LLC+",One stop,,L +,5.50,,,N/A(6),,,,,04/2027,,,-,,,,-,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,,"Watermill Express, LLC+(5)",One stop,,L +,5.50,,,N/A(6),,,,,04/2027,,-,,,(  1  ),,,-,,(  2  ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,,"Winebow Holdings, Inc.+",One stop,,L +,6.25,(a),,9.37,,,,,07/2025,,7799,,,7722,,,0.3,,7799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,,,,,,,,,,,,,,,,50160,,,50136,,,2.0,,49733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,,,Investment Type,,Spread  Above  Index  (1),,Interest  Rate  (2),,Maturity  Date,,Principal ($) /  Shares  (3),,Amortized Cost,,Percentage  of Net  Assets,,Fair  Value  (4),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,,Building Products,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,,"BECO Holding Company, Inc.#+",One stop,,L +,5.50,(b),,9.17,,,,,11/2028,,,7538,,,,7472,,,0.3,,,7387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,,"BECO Holding Company, Inc.+(5)",One stop,,L +,5.50,,,N/A(6),,,,,11/2027,,-,,,(  4  ),,,-,,(  9  ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,,"BECO Holding Company, Inc.+(5)",One stop,,L +,5.50,,,N/A(6),,,,,11/2028,,-,,,(  17  ),,,-,,(  39  ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,,"Jensen Hughes, Inc.+",Senior loan,,L +,4.50,(a)(b),,7.31,,,,,03/2024,,4106,,,4107,,,0.2,,4106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
