,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
45,NTS Technical Systems  (3),,,One stop,,,,L + 6.00,,,,No Value,(4),,,11/2018,,,,0,,,,(30,,,,0,,,,0,
46,NTS Technical Systems*ˆ,,,One stop,,,,L + 6.00,,,,7.25,,,,11/2018,,,,18871,,,,18572,,,,2.6,,,,18871,
47,NTS Technical Systems  (3),,,One stop,,,,L + 6.00,,,,No Value,(4),,,11/2018,,,,0,,,,(63,,,,0,,,,0,
48,"Tresys Technology Holdings, Inc.",,,One stop,,,,L + 6.75,,,,8.00,,,,12/2017,,,,188,,,,181,,,,0,,,,188,
49,"Tresys Technology Holdings, Inc.",,,One stop,,,,L + 6.75,,,,8.00,,,,12/2017,,,,3899,,,,3836,,,,0.3,,,,2339,
50,Whitcraft LLC,,,Subordinated debt,,,,No Value,,,,12.00,,,,12/2018,,,,1877,,,,1857,,,,0.3,,,,1877,
51,,,,,,,,,,,,,,,,,,,,74180,,,,73225,,,,9.9,,,,72381,
52,Automobile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,"American Driveline Systems, Inc.",,,Senior loan,,,,L + 5.50,,,,7.22,,,,01/2016,,,,331,,,,328,,,,0,,,,292,
54,"American Driveline Systems, Inc.*",,,Senior loan,,,,L + 5.50,,,,7.00,,,,01/2016,,,,2797,,,,2774,,,,0.3,,,,2517,
55,"K&N Engineering, Inc.  (3)",,,Senior loan,,,,L + 4.25,,,,No Value,(4),,,07/2019,,,,0,,,,(7,,,,0,,,,(2,
56,"K&N Engineering, Inc.*ˆ",,,Senior loan,,,,L + 4.25,,,,5.25,,,,07/2019,,,,6816,,,,6721,,,,0.9,,,,6782,
57,"K&N Engineering, Inc.  (3)",,,Senior loan,,,,L + 4.25,,,,No Value,(4),,,07/2019,,,,0,,,,(19,,,,0,,,,(2,
58,"Take 5 Oil Change,  L.L.C.  (3)",,,Senior loan,,,,L + 5.25,,,,No Value,(4),,,07/2018,,,,0,,,,(7,,,,0,,,,0,
=======
41,"ILC Industries, Inc.  (3)",,,One stop,,,,L + 4.75,,,,N/A,(4),,,07/2020,,,,-,,,,(32,,,,-,,,,(25,
42,"ILC Industries, Inc.*ˆ",,,One stop,,,,L + 4.75,,,,5.75,,,,07/2020,,,,28510,,,,28234,,,,3.9,,,,28296,
43,Novetta Solutions LLC,,,Senior loan,,,,P + 3.00,,,,6.25,,,,03/2017,,,,184,,,,178,,,,-,,,,184,
44,Novetta Solutions LLC*,,,Senior loan,,,,L + 5.00,,,,6.25,,,,03/2017,,,,1697,,,,1673,,,,0.2,,,,1697,
45,NTS Technical Systems  (3),,,One stop,,,,L + 6.00,,,,N/A,(4),,,11/2018,,,,-,,,,(30,,,,-,,,,-,
46,NTS Technical Systems*ˆ,,,One stop,,,,L + 6.00,,,,7.25,,,,11/2018,,,,18871,,,,18572,,,,2.6,,,,18871,
47,NTS Technical Systems  (3),,,One stop,,,,L + 6.00,,,,N/A,(4),,,11/2018,,,,-,,,,(63,,,,-,,,,-,
48,"Tresys Technology Holdings, Inc.",,,One stop,,,,L + 6.75,,,,8.00,,,,12/2017,,,,188,,,,181,,,,-,,,,188,
49,"Tresys Technology Holdings, Inc.",,,One stop,,,,L + 6.75,,,,8.00,,,,12/2017,,,,3899,,,,3836,,,,0.3,,,,2339,
50,Whitcraft LLC,,,Subordinated debt,,,,N/A,,,,12.00,,,,12/2018,,,,1877,,,,1857,,,,0.3,,,,1877,
51,,,,,,,,,,,,,,,,,,,,74180,,,,73225,,,,9.9,,,,72381,
52,Automobile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,"American Driveline Systems, Inc.",,,Senior loan,,,,L + 5.50,,,,7.22,,,,01/2016,,,,331,,,,328,,,,-,,,,292,
54,"American Driveline Systems, Inc.*",,,Senior loan,,,,L + 5.50,,,,7.00,,,,01/2016,,,,2797,,,,2774,,,,0.3,,,,2517,
55,"K&N Engineering, Inc.  (3)",,,Senior loan,,,,L + 4.25,,,,N/A,(4),,,07/2019,,,,-,,,,(7,,,,-,,,,(2,
56,"K&N Engineering, Inc.*ˆ",,,Senior loan,,,,L + 4.25,,,,5.25,,,,07/2019,,,,6816,,,,6721,,,,0.9,,,,6782,
57,"K&N Engineering, Inc.  (3)",,,Senior loan,,,,L + 4.25,,,,N/A,(4),,,07/2019,,,,-,,,,(19,,,,-,,,,(2,
58,"Take 5 Oil Change,  L.L.C.  (3)",,,Senior loan,,,,L + 5.25,,,,N/A,(4),,,07/2018,,,,-,,,,(7,,,,-,,,,-,
>>>>>>> GSBD
59,"Take 5 Oil Change,  L.L.C.ˆ",,,Senior loan,,,,L + 5.25,,,,6.25,,,,07/2018,,,,4872,,,,4840,,,,0.7,,,,4872,
60,,,,,,,,,,,,,,,,,,,,14816,,,,14630,,,,1.9,,,,14459,
61,Banking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,HedgeServ Holding L.P.ˆ,,,One stop,,,,L + 8.25,,,,5.25 cash/  4.00 PIK,,,,02/2019,,,,17240,,,,17092,,,,2.4,,,,17240,
<<<<<<< HEAD
63,HedgeServ Holding L.P.  (3),,,One stop,,,,L + 4.25,,,,No Value,(4),,,02/2019,,,,0,,,,(8,,,,0,,,,0,
64,Prommis Fin Co.  (6),,,Senior loan,,,,P + 10.00,,,,13.25,,,,06/2015,,,,85,,,,84,,,,0,,,,2,
65,Prommis Fin Co.*  (6),,,Senior loan,,,,No Value,,,,2.25 cash/  11.5 PIK,,,,06/2015,,,,124,,,,124,,,,0,,,,3,
66,,,,,,,,,,,,,,,,,,,,17449,,,,17292,,,,2.4,,,,17245,
67,,,Investment  Type,,Spread  Above  Index  (1),,Interest  Rate  (2),,Maturity  Date,,Principal/  Par  Amount,,Cost,,Percentage  of Net  Assets,,Fair  Value,,,,,,,,,,,,,,,,
68,"Beverage, Food and Tobacco",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,ABP Corporation,,,Senior loan,,,,P + 3.50,,,,7.25,,,,09/2018,,,,84,,,,77,,,,0,,,,84,
=======
63,HedgeServ Holding L.P.  (3),,,One stop,,,,L + 4.25,,,,N/A,(4),,,02/2019,,,,-,,,,(8,,,,-,,,,-,
64,Prommis Fin Co.  (6),,,Senior loan,,,,P + 10.00,,,,13.25,,,,06/2015,,,,85,,,,84,,,,-,,,,2,
65,Prommis Fin Co.*  (6),,,Senior loan,,,,N/A,,,,2.25 cash/  11.5 PIK,,,,06/2015,,,,124,,,,124,,,,-,,,,3,
66,,,,,,,,,,,,,,,,,,,,17449,,,,17292,,,,2.4,,,,17245,
67,,,Investment  Type,,Spread  Above  Index  (1),,Interest  Rate  (2),,Maturity  Date,,Principal/  Par  Amount,,Cost,,Percentage  of Net  Assets,,Fair  Value,,,,,,,,,,,,,,,,
68,"Beverage, Food and Tobacco",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,ABP Corporation,,,Senior loan,,,,P + 3.50,,,,7.25,,,,09/2018,,,,84,,,,77,,,,-,,,,84,
>>>>>>> GSBD
70,ABP Corporation*,,,Senior loan,,,,L + 4.75,,,,6.00,,,,09/2018,,,,4796,,,,4727,,,,0.7,,,,4796,
71,"Ameriqual Group, LLC*",,,Senior loan,,,,L + 6.00,,,,6.50 cash/  1.00 PIK,,,,03/2016,,,,1693,,,,1676,,,,0.2,,,,1625,
72,"Ameriqual Group, LLC*",,,Senior loan,,,,L + 9.00,,,,9.00 cash/  1.50 PIK,,,,03/2016,,,,831,,,,826,,,,0.1,,,,686,
73,ARG IH Corporation (Arby’s)ˆ,,,Senior loan,,,,L + 3.75,,,,4.75,,,,11/2020,,,,2337,,,,2311,,,,0.3,,,,2339,
74,"Atkins Nutritionals, Inc*ˆ",,,One stop,,,,L + 5.00,,,,6.25,,,,01/2019,,,,23873,,,,23683,,,,3.2,,,,23754,
75,"Atkins Nutritionals, Inc*",,,One stop,,,,L + 8.50,,,,9.75,,,,04/2019,,,,21636,,,,21326,,,,3.0,,,,21744,
<<<<<<< HEAD
76,"C. J. Foods, Inc.",,,One stop,,,,L + 5.50,,,,6.50,,,,05/2019,,,,86,,,,77,,,,0,,,,86,
77,"C. J. Foods, Inc.  (3)",,,One stop,,,,L + 5.50,,,,No Value,(4),,,05/2019,,,,0,,,,(12,,,,0,,,,0,
78,"C. J. Foods, Inc.",,,One stop,,,,L + 5.50,,,,6.50,,,,05/2019,,,,3224,,,,3179,,,,0.4,,,,3224,
79,"Candy Intermediate Holdings, Inc. (Ferrara Candy)ˆ",,,Senior loan,,,,L + 6.25,,,,7.50,,,,06/2018,,,,4887,,,,4780,,,,0.6,,,,4747,
80,"Diversified Foodservice Supply, Inc.  (3)",,,Senior loan,,,,L + 4.50,,,,No Value,(4),,,12/2018,,,,0,,,,(3,,,,0,,,,0,
81,"Diversified Foodservice Supply, Inc.*",,,Senior loan,,,,L + 4.50,,,,5.75,,,,12/2018,,,,4556,,,,4518,,,,0.6,,,,4556,
82,"Firebirds International,  LLC  (3)",,,One stop,,,,L + 6.25,,,,No Value,(4),,,05/2018,,,,0,,,,(2,,,,0,,,,0,
83,"Firebirds International, LLC*",,,One stop,,,,L + 6.25,,,,7.50,,,,05/2018,,,,1096,,,,1081,,,,0.1,,,,1096,
84,"Firebirds International,  LLC",,,One stop,,,,L + 6.25,,,,7.50,,,,05/2018,,,,304,,,,299,,,,0.1,,,,304,
85,"Firebirds International,  LLC  (3)",,,One stop,,,,L + 6.25,,,,No Value,(4),,,05/2018,,,,0,,,,(5,,,,0,,,,0,
86,"First Watch Restaurants,  Inc.  (3)",,,One stop,,,,L + 7.50,,,,No Value,(4),,,12/2018,,,,0,,,,(24,,,,0,,,,0,
=======
76,"C. J. Foods, Inc.",,,One stop,,,,L + 5.50,,,,6.50,,,,05/2019,,,,86,,,,77,,,,-,,,,86,
77,"C. J. Foods, Inc.  (3)",,,One stop,,,,L + 5.50,,,,N/A,(4),,,05/2019,,,,-,,,,(12,,,,-,,,,-,
78,"C. J. Foods, Inc.",,,One stop,,,,L + 5.50,,,,6.50,,,,05/2019,,,,3224,,,,3179,,,,0.4,,,,3224,
79,"Candy Intermediate Holdings, Inc. (Ferrara Candy)ˆ",,,Senior loan,,,,L + 6.25,,,,7.50,,,,06/2018,,,,4887,,,,4780,,,,0.6,,,,4747,
80,"Diversified Foodservice Supply, Inc.  (3)",,,Senior loan,,,,L + 4.50,,,,N/A,(4),,,12/2018,,,,-,,,,(3,,,,-,,,,-,
81,"Diversified Foodservice Supply, Inc.*",,,Senior loan,,,,L + 4.50,,,,5.75,,,,12/2018,,,,4556,,,,4518,,,,0.6,,,,4556,
82,"Firebirds International,  LLC  (3)",,,One stop,,,,L + 6.25,,,,N/A,(4),,,05/2018,,,,-,,,,(2,,,,-,,,,-,
83,"Firebirds International, LLC*",,,One stop,,,,L + 6.25,,,,7.50,,,,05/2018,,,,1096,,,,1081,,,,0.1,,,,1096,
84,"Firebirds International,  LLC",,,One stop,,,,L + 6.25,,,,7.50,,,,05/2018,,,,304,,,,299,,,,0.1,,,,304,
85,"Firebirds International,  LLC  (3)",,,One stop,,,,L + 6.25,,,,N/A,(4),,,05/2018,,,,-,,,,(5,,,,-,,,,-,
86,"First Watch Restaurants,  Inc.  (3)",,,One stop,,,,L + 7.50,,,,N/A,(4),,,12/2018,,,,-,,,,(24,,,,-,,,,-,
>>>>>>> GSBD
87,"First Watch Restaurants, Inc.*ˆ",,,One stop,,,,L + 7.50,,,,8.75,,,,12/2018,,,,11293,,,,11165,,,,1.5,,,,11293,
88,"First Watch Restaurants, Inc.*ˆ",,,One stop,,,,P + 6.50,,,,9.75,,,,12/2018,,,,3070,,,,3035,,,,0.4,,,,3070,
89,"First Watch Restaurants,  Inc.",,,One stop,,,,L + 7.50,,,,8.75,,,,12/2018,,,,1749,,,,1744,,,,0.2,,,,1749,
90,IT’SUGAR LLC,,,Senior loan,,,,L + 7.50,,,,9.00,,,,04/2018,,,,7566,,,,7456,,,,1.0,,,,7566,
<<<<<<< HEAD
91,IT’SUGAR LLC,,,Subordinated debt,,,,No Value,,,,5.00,,,,10/2017,,,,1707,,,,1707,,,,0.3,,,,1833,
92,Julio & Sons Company,,,One stop,,,,L + 5.50,,,,6.50,,,,09/2016,,,,277,,,,271,,,,0,,,,277,
93,Julio & Sons Company*,,,One stop,,,,L + 5.50,,,,6.50,,,,09/2016,,,,6978,,,,6935,,,,1.0,,,,6978,
94,Julio & Sons Company  (3),,,One stop,,,,L + 5.50,,,,No Value,(4),,,09/2016,,,,0,,,,(26,,,,0,,,,0,
95,"Northern Brewer, LLC",,,One stop,,,,P + 9.25,,,,8.50 cash/  4.00 PIK,,,,02/2018,,,,676,,,,665,,,,0.1,,,,541,
96,"Northern Brewer, LLC",,,One stop,,,,P + 9.25,,,,8.50 cash/  4.00 PIK,,,,02/2018,,,,6363,,,,6244,,,,0.7,,,,5090,
97,"Richelieu Foods, Inc.",,,Senior loan,,,,P + 4.00,,,,7.25,,,,11/2015,,,,101,,,,96,,,,0,,,,101,
98,"Richelieu Foods, Inc.*",,,Senior loan,,,,L + 5.00,,,,6.75,,,,11/2015,,,,1854,,,,1839,,,,0.3,,,,1854,
99,"Tate’s Bake Shop, Inc.  (3)",,,Senior loan,,,,L + 4.75,,,,No Value,(4),,,08/2019,,,,0,,,,(4,,,,0,,,,(4,
100,"Tate’s Bake Shop, Inc.ˆ",,,Senior loan,,,,L + 4.75,,,,5.75,,,,08/2019,,,,3008,,,,2978,,,,0.4,,,,2978,
101,"Tate’s Bake Shop, Inc.  (3)",,,Senior loan,,,,L + 4.75,,,,No Value,(4),,,08/2019,,,,0,,,,(5,,,,0,,,,(6,
102,Uinta Brewing Company  (3),,,One stop,,,,L + 6.00,,,,No Value,(4),,,08/2019,,,,0,,,,(8,,,,0,,,,(8,
=======
91,IT’SUGAR LLC,,,Subordinated debt,,,,N/A,,,,5.00,,,,10/2017,,,,1707,,,,1707,,,,0.3,,,,1833,
92,Julio & Sons Company,,,One stop,,,,L + 5.50,,,,6.50,,,,09/2016,,,,277,,,,271,,,,-,,,,277,
93,Julio & Sons Company*,,,One stop,,,,L + 5.50,,,,6.50,,,,09/2016,,,,6978,,,,6935,,,,1.0,,,,6978,
94,Julio & Sons Company  (3),,,One stop,,,,L + 5.50,,,,N/A,(4),,,09/2016,,,,-,,,,(26,,,,-,,,,-,
95,"Northern Brewer, LLC",,,One stop,,,,P + 9.25,,,,8.50 cash/  4.00 PIK,,,,02/2018,,,,676,,,,665,,,,0.1,,,,541,
96,"Northern Brewer, LLC",,,One stop,,,,P + 9.25,,,,8.50 cash/  4.00 PIK,,,,02/2018,,,,6363,,,,6244,,,,0.7,,,,5090,
97,"Richelieu Foods, Inc.",,,Senior loan,,,,P + 4.00,,,,7.25,,,,11/2015,,,,101,,,,96,,,,-,,,,101,
98,"Richelieu Foods, Inc.*",,,Senior loan,,,,L + 5.00,,,,6.75,,,,11/2015,,,,1854,,,,1839,,,,0.3,,,,1854,
99,"Tate’s Bake Shop, Inc.  (3)",,,Senior loan,,,,L + 4.75,,,,N/A,(4),,,08/2019,,,,-,,,,(4,,,,-,,,,(4,
100,"Tate’s Bake Shop, Inc.ˆ",,,Senior loan,,,,L + 4.75,,,,5.75,,,,08/2019,,,,3008,,,,2978,,,,0.4,,,,2978,
101,"Tate’s Bake Shop, Inc.  (3)",,,Senior loan,,,,L + 4.75,,,,N/A,(4),,,08/2019,,,,-,,,,(5,,,,-,,,,(6,
102,Uinta Brewing Company  (3),,,One stop,,,,L + 6.00,,,,N/A,(4),,,08/2019,,,,-,,,,(8,,,,-,,,,(8,
>>>>>>> GSBD
103,Uinta Brewing Companyˆ,,,One stop,,,,L + 6.00,,,,7.00,,,,08/2019,,,,3236,,,,3204,,,,0.4,,,,3203,
104,,,,,,,,,,,,,,,,,,,,117281,,,,115810,,,,15.6,,,,115556,
105,,,Investment  Type,,Spread  Above  Index  (1),,Interest  Rate  (2),,Maturity  Date,,Principal/  Par  Amount,,Cost,,Percentage  of Net  Assets,,Fair  Value,,,,,,,,,,,,,,,,
106,Building and Real Estate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<<<<<<< HEAD
107,"Brooks Equipment Company, LLC  (3)",,,One stop,,,,L + 5.75,,,,No Value,(4),,,08/2020,,,,0,,,,(20,,,,0,,,,(20,
108,"Brooks Equipment Company, LLC*ˆ",,,One stop,,,,L + 5.75,,,,6.75,,,,08/2020,,,,27150,,,,26753,,,,3.7,,,,26946,
109,"ITEL Laboratories, Inc.  (3)",,,Senior loan,,,,L + 4.75,,,,No Value,(4),,,06/2018,,,,0,,,,(1,,,,0,,,,0,
=======
107,"Brooks Equipment Company, LLC  (3)",,,One stop,,,,L + 5.75,,,,N/A,(4),,,08/2020,,,,-,,,,(20,,,,-,,,,(20,
108,"Brooks Equipment Company, LLC*ˆ",,,One stop,,,,L + 5.75,,,,6.75,,,,08/2020,,,,27150,,,,26753,,,,3.7,,,,26946,
109,"ITEL Laboratories, Inc.  (3)",,,Senior loan,,,,L + 4.75,,,,N/A,(4),,,06/2018,,,,-,,,,(1,,,,-,,,,-,
>>>>>>> GSBD
110,"ITEL Laboratories, Inc.*",,,Senior loan,,,,L + 4.75,,,,6.00,,,,06/2018,,,,756,,,,749,,,,0.1,,,,756,
111,,,,,,,,,,,,,,,,,,,,27906,,,,27481,,,,3.8,,,,27682,
112,Cargo Transport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,RP Crown Parent (RedPrairie Corp)*,,,Senior loan,,,,L + 5.00,,,,6.00,,,,12/2018,,,,1970,,,,1942,,,,0.3,,,,1923,
114,"Containers, Packaging and Glass",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<<<<<<< HEAD
115,Fort Dearborn Company*,,,Senior loan,,,,L + 4.25,,,,5.25,,,,10/2017,,,,16,,,,16,,,,0,,,,16,
116,Fort Dearborn Company*ˆ,,,Senior loan,,,,L + 4.25,,,,5.25,,,,10/2017,,,,511,,,,508,,,,0.1,,,,511,
117,Fort Dearborn Company*,,,Senior loan,,,,L + 4.75,,,,5.75,,,,10/2018,,,,63,,,,63,,,,0,,,,63,
=======
115,Fort Dearborn Company*,,,Senior loan,,,,L + 4.25,,,,5.25,,,,10/2017,,,,16,,,,16,,,,-,,,,16,
116,Fort Dearborn Company*ˆ,,,Senior loan,,,,L + 4.25,,,,5.25,,,,10/2017,,,,511,,,,508,,,,0.1,,,,511,
117,Fort Dearborn Company*,,,Senior loan,,,,L + 4.75,,,,5.75,,,,10/2018,,,,63,,,,63,,,,-,,,,63,
>>>>>>> GSBD
118,Fort Dearborn  Company*ˆ,,,Senior loan,,,,L + 4.75,,,,5.75,,,,10/2018,,,,2180,,,,2168,,,,0.3,,,,2180,
119,"Packaging Coordinators, Inc.*ˆ",,,Senior loan,,,,L + 4.25,,,,5.25,,,,08/2021,,,,15000,,,,14852,,,,2.1,,,,15032,
120,"Packaging Coordinators,  Inc.",,,Second lien,,,,L + 8.00,,,,9.00,,,,08/2022,,,,10000,,,,9901,,,,1.4,,,,9950,
121,,,,,,,,,,,,,,,,,,,,27770,,,,27508,,,,3.9,,,,27752,
122,Diversified Conglomerate Manufacturing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,"Chase Industries, Inc.*ˆ",,,One stop,,,,P + 4.50,,,,7.75,,,,09/2020,,,,21037,,,,20828,,,,2.8,,,,20827,
<<<<<<< HEAD
124,"Chase Industries, Inc.",,,One stop,,,,P + 4.50,,,,7.75,,,,09/2020,,,,277,,,,255,,,,0,,,,255,
125,"Chase Industries, Inc.  (3)",,,One stop,,,,L + 5.75,,,,No Value,(4),,,09/2020,,,,0,,,,(48,,,,0,,,,(49,
126,ICCN Acquisition Corp.  (3),,,One stop,,,,L + 5.25,,,,No Value,(4),,,03/2019,,,,0,,,,(4,,,,0,,,,0,
127,ICCN Acquisition Corp.ˆ,,,One stop,,,,L + 5.25,,,,6.25,,,,03/2019,,,,3998,,,,3936,,,,0.5,,,,3998,
128,ICCN Acquisition Corp.  (3),,,One stop,,,,L + 5.25,,,,No Value,(4),,,03/2019,,,,0,,,,(14,,,,0,,,,0,
129,"Metal Spinners, Inc.*",,,Senior loan,,,,L + 7.50,,,,9.00,,,,04/2015,,,,1294,,,,1288,,,,0.2,,,,1294,
130,"Metal Spinners, Inc.*",,,Senior loan,,,,L + 7.50,,,,9.00,,,,04/2015,,,,2536,,,,2524,,,,0.3,,,,2536,
131,Onicon Incorporated  (3),,,One stop,,,,L + 4.50,,,,No Value,(4),,,12/2017,,,,0,,,,(10,,,,0,,,,0,
132,Onicon Incorporated,,,One stop,,,,L + 4.50,,,,5.50,,,,12/2017,,,,3141,,,,3100,,,,0.4,,,,3141,
133,"Pasternack Enterprises,  Inc.*",,,Senior loan,,,,L + 5.00,,,,6.25,,,,12/2017,,,,1126,,,,1119,,,,0.2,,,,1126,
134,"Plex Systems, Inc.  (3)",,,Senior loan,,,,L + 7.50,,,,No Value,(4),,,06/2018,,,,0,,,,(26,,,,0,,,,0,
135,"Plex Systems, Inc.*ˆ",,,Senior loan,,,,L + 7.50,,,,8.75,,,,06/2018,,,,18797,,,,18409,,,,2.6,,,,18797,
136,"Sunless Merger Sub, Inc.  (3)",,,Senior loan,,,,L + 5.25,,,,No Value,(4),,,07/2016,,,,0,,,,0,,,,0,,,,(26,
137,"Sunless Merger Sub, Inc.*",,,Senior loan,,,,L + 5.25,,,,6.50,,,,07/2016,,,,1816,,,,1813,,,,0.2,,,,1271,
138,"TIDI Products, LLC  (3)",,,One stop,,,,L + 6.50,,,,No Value,(4),,,07/2017,,,,0,,,,(11,,,,0,,,,0,
