,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
20,"ABRA, Inc.*  (5)",,One stop,,L + 6.00,,,7.25,,,05/2018,,,31138,,,,30885,,,,4.3,,,,31138,
21,"ABRA, Inc.  (5)",,One stop,,L + 6.00,,,7.25,,,05/2018,,,5166,,,,5135,,,,0.7,,,,5166,
22,"ABRA, Inc.  (5)",,One stop,,L + 6.00,,,7.25,,,05/2018,,,6861,,,,6818,,,,0.9,,,,6861,
23,"ABRA, Inc.*^",,One stop,,L + 7.75,,,9.00,,,05/2018,,,4334,,,,4271,,,,0.6,,,,4334,
24,"American Driveline Systems, Inc.",,Senior loan,,L + 5.50,,,7.16,,,01/2016,,,300,,,,296,,,,-,,,,261,
25,"American Driveline Systems, Inc.*",,Senior loan,,L + 5.50,,,7.00,,,01/2016,,,2804,,,,2777,,,,0.4,,,,2524,
26,"K&N Engineering, Inc.  (3)",,Senior loan,,L + 4.50,,,N/A,(4),,04/2018,,,-,,,,(6,,,,-,,,,-,
27,"K&N Engineering, Inc.*^",,Senior loan,,P + 3.50,,,6.75,,,04/2018,,,6799,,,,6719,,,,0.9,,,,6799,
28,"Take 5 Oil Change, L.L.C.  (3)",,Senior loan,,L + 5.25,,,N/A,(4),,07/2018,,,-,,,,(3,,,,-,,,,-,
29,"Take 5 Oil Change, L.L.C.^",,Senior loan,,L + 4.75,,,5.75,,,07/2018,,,2953,,,,2935,,,,0.4,,,,2953,
30,"Tectum Holdings, Inc.*",,Senior loan,,L + 4.25,,,5.25,,,09/2018,,,874,,,,872,,,,0.1,,,,874,
31,,,,,,,,,,,,,,61229,,,,60683,,,,8.3,,,,60910,
32,Banking,,,,,,,,,,,,,,,,,,,,,,,,,,
33,HedgeServ Holding L.P.^,,One stop,,L + 8.25,,,5.25  cash/4.00 PIK,,,02/2019,,,17240,,,,17082,,,,2.4,,,,17240,
34,HedgeServ Holding L.P.  (3),,One stop,,L + 4.25,,,N/A,(4),,02/2019,,,-,,,,(9,,,,-,,,,-,
35,Prommis Fin Co.  (6),,Senior loan,,P + 10.00,,,13.25,,,06/2015,,,85,,,,84,,,,-,,,,2,
36,Prommis Fin Co.*  (6),,Senior loan,,N/A,,,2.25  cash/11.5 PIK,,,06/2015,,,124,,,,124,,,,-,,,,3,
37,,,,,,,,,,,,,,17449,,,,17281,,,,2.4,,,,17245,
38,"Beverage, Food and Tobacco",,,,,,,,,,,,,,,,,,,,,,,,,,
39,ABP Corporation  (3),,Senior loan,,L + 4.75,,,N/A,(4),,06/2016,,,-,,,,(3,,,,-,,,,-,
40,ABP Corporation*,,Senior loan,,L + 4.75,,,6.00,,,06/2016,,,4455,,,,4420,,,,0.6,,,,4455,
41,"American Importing Company, Inc.^",,One stop,,P + 4.50,,,7.75,,,05/2018,,,14694,,,,14543,,,,2.0,,,,14694,
42,"Ameriqual Group, LLC*",,Senior loan,,L + 6.00,,,6.50  cash/1.00 PIK,,,03/2016,,,1711,,,,1693,,,,0.2,,,,1643,
43,"Ameriqual Group, LLC*",,Senior loan,,L + 7.50,,,9.00  cash/1.50 PIK,,,03/2016,,,830,,,,825,,,,0.1,,,,685,
44,ARG IH Corporation (Arby's)^,,Senior loan,,L + 4.00,,,5.00,,,11/2020,,,2343,,,,2316,,,,0.3,,,,2361,
45,"Atkins Nutritionals, Inc.*^",,One stop,,L + 5.00,,,6.25,,,01/2019,,,21455,,,,21254,,,,3.0,,,,21481,
46,"Atkins Nutritionals, Inc.*",,One stop,,L + 8.50,,,9.75,,,04/2019,,,18997,,,,18642,,,,2.7,,,,19281,
47,"C. J. Foods, Inc.",,One stop,,L + 5.50,,,6.50,,,05/2019,,,43,,,,34,,,,-,,,,37,
48,"C. J. Foods, Inc.  (3)",,One stop,,L + 5.50,,,N/A,(4),,05/2019,,,-,,,,(13,,,,-,,,,(9,
49,"C. J. Foods, Inc.",,One stop,,L + 5.50,,,6.50,,,05/2019,,,3232,,,,3185,,,,0.4,,,,3200,
50,"Candy Intermediate Holdings, Inc. (Ferrara  Candy)^",,Senior loan,,L + 6.25,,,6.57,,,06/2018,,,4900,,,,4784,,,,0.7,,,,4849,
51,"Diversified Foodservice Supply, Inc.",,Senior loan,,P + 3.75,,,7.00,,,12/2018,,,96,,,,93,,,,-,,,,96,
52,"Diversified Foodservice Supply, Inc.*",,Senior loan,,L + 4.75,,,6.00,,,12/2018,,,4606,,,,4565,,,,0.6,,,,4606,
53,"Firebirds International, LLC",,One stop,,L + 5.75,,,7.00,,,05/2018,,,41,,,,40,,,,-,,,,41,
54,"Firebirds International, LLC*",,One stop,,L + 5.75,,,7.00,,,05/2018,,,905,,,,896,,,,0.1,,,,905,
55,"Firebirds International, LLC",,One stop,,L + 5.75,,,7.00,,,05/2018,,,262,,,,259,,,,-,,,,262,
56,"Firebirds International, LLC  (3)",,One stop,,L + 5.75,,,N/A,(4),,05/2018,,,-,,,,(3,,,,-,,,,-,
57,"First Watch Restaurants, Inc.  (3)",,One stop,,L + 7.50,,,N/A,(4),,12/2018,,,-,,,,(25,,,,-,,,,-,
58,"First Watch Restaurants, Inc.*^",,One stop,,L + 7.50,,,8.75,,,12/2018,,,11293,,,,11157,,,,1.6,,,,11293,
59,"First Watch Restaurants, Inc.*^",,One stop,,P + 6.50,,,9.75,,,12/2018,,,3107,,,,3070,,,,0.5,,,,3107,
60,"First Watch Restaurants, Inc.",,One stop,,L + 7.50,,,8.75,,,12/2018,,,1750,,,,1744,,,,0.2,,,,1750,
61,IT'SUGAR LLC,,Senior loan,,L + 7.50,,,9.00,,,04/2018,,,7585,,,,7467,,,,1.0,,,,7585,
62,IT'SUGAR LLC,,Subordinated debt,,N/A,,,5.00,,,10/2017,,,1707,,,,1707,,,,0.3,,,,2287,
63,Julio & Sons Company,,One stop,,L + 5.50,,,6.50,,,09/2016,,,277,,,,270,,,,-,,,,277,
64,,,,,Spread,,,,,,,,,,,,,Percentage,,,,,,,,,
65,,,Investment,,Above,,Interest,,,Maturity,,Principal / Par,,,,,,of,,,Fair,,,,,,
66,,,Type,,Index  (1),,Rate  (2),,,Date,,Amount,,,Cost,,,Net  Assets,,,Value,,,,,,
67,Julio & Sons Company*,,One stop,,L + 5.50,,,6.50,,,09/2016,,,6996,,,,6947,,,,1.0,,,,6996,
68,Julio & Sons Company  (3),,One stop,,L + 5.50,,,N/A,(4),,09/2016,,,-,,,,(29,,,,-,,,,-,
69,"Northern Brewer, LLC",,One stop,,P + 9.25,,,8.50 cash/4.00 PIK,,,02/2018,,,670,,,,658,,,,0.1,,,,535,
70,"Northern Brewer, LLC",,One stop,,P + 9.25,,,8.50 cash/4.00 PIK,,,02/2018,,,6338,,,,6215,,,,0.7,,,,5071,
71,"Richelieu Foods, Inc.",,Senior loan,,P + 4.50,,,7.75,,,11/2015,,,127,,,,121,,,,-,,,,127,
72,"Richelieu Foods, Inc.*",,Senior loan,,L + 5.50,,,7.25,,,11/2015,,,1872,,,,1853,,,,0.3,,,,1872,
73,,,,,,,,,,,,,,120292,,,,118685,,,,16.4,,,,119487,
74,Building and Real Estate,,,,,,,,,,,,,,,,,,,,,,,,,,
75,"ITEL Laboratories, Inc.  (3)",,Senior loan,,L + 4.75,,,N/A,(4),,06/2018,,,-,,,,(1,,,,-,,,,-,
76,"ITEL Laboratories, Inc.*",,Senior loan,,L + 4.75,,,6.00,,,06/2018,,,758,,,,750,,,,0.1,,,,758,
77,,,,,,,,,,,,,,758,,,,749,,,,0.1,,,,758,
78,Cargo Transport,,,,,,,,,,,,,,,,,,,,,,,,,,
79,RP Crown Parent (RedPrairie Corp)*,,Senior loan,,L + 5.00,,,6.00,,,12/2018,,,1975,,,,1945,,,,0.3,,,,1979,
80,"Containers, Packaging and Glass",,,,,,,,,,,,,,,,,,,,,,,,,,
81,Fort Dearborn Company*,,Senior loan,,L + 4.25,,,5.25,,,10/2017,,,26,,,,26,,,,-,,,,26,
82,Fort Dearborn Company*^,,Senior loan,,L + 4.25,,,5.25,,,10/2017,,,522,,,,520,,,,0.1,,,,522,
83,Fort Dearborn Company*,,Senior loan,,L + 4.75,,,5.75,,,10/2018,,,102,,,,101,,,,-,,,,102,
84,Fort Dearborn Company*^,,Senior loan,,L + 4.75,,,5.75,,,10/2018,,,2185,,,,2172,,,,0.3,,,,2185,
85,"Packaging Coordinators, Inc.*^",,Senior loan,,L + 4.25,,,5.50,,,05/2020,,,6759,,,,6723,,,,0.9,,,,6759,
86,"Packaging Coordinators, Inc.",,Second lien,,L + 8.25,,,9.50,,,11/2020,,,29098,,,,28330,,,,4.0,,,,29098,
87,"Packaging Coordinators, Inc.^",,Senior loan,,L + 4.25,,,5.50,,,05/2020,,,9286,,,,9265,,,,1.3,,,,9286,
88,,,,,,,,,,,,,,47978,,,,47137,,,,6.6,,,,47978,
89,Diversified Conglomerate Manufacturing,,,,,,,,,,,,,,,,,,,,,,,,,,
90,"Chase Industries, Inc.*",,One stop,,L + 5.62,,,6.87,,,11/2017,,,13249,,,,13097,,,,1.8,,,,13249,
91,ICCN Acquisition Corp.  (3),,One stop,,L + 5.25,,,N/A,(4),,03/2019,,,-,,,,(4,,,,-,,,,(3,
92,ICCN Acquisition Corp.^,,One stop,,L + 5.25,,,6.25,,,03/2019,,,4008,,,,3942,,,,0.5,,,,3968,
93,ICCN Acquisition Corp.  (3),,One stop,,L + 5.25,,,N/A,(4),,03/2019,,,-,,,,(15,,,,-,,,,(11,
94,"Metal Spinners, Inc.*",,Senior loan,,L + 7.50,,,9.00,,,04/2015,,,1309,,,,1298,,,,0.2,,,,1309,
95,"Metal Spinners, Inc.*",,Senior loan,,L + 7.50,,,9.00,,,04/2015,,,2573,,,,2554,,,,0.4,,,,2573,
96,Onicon Incorporated  (3),,One stop,,L + 6.75,,,N/A,(4),,12/2017,,,-,,,,(11,,,,-,,,,-,
97,Onicon Incorporated,,One stop,,L + 4.50,,,5.50,,,12/2017,,,3162,,,,3117,,,,0.4,,,,3162,
98,"Pasternack Enterprises, Inc.*",,Senior loan,,L + 5.00,,,6.25,,,12/2017,,,1149,,,,1141,,,,0.2,,,,1149,
99,"Plex Systems, Inc.  (3)",,Senior loan,,L + 7.50,,,N/A,(4),,06/2018,,,-,,,,(26,,,,-,,,,-,
100,"Plex Systems, Inc.*^",,Senior loan,,L + 7.50,,,8.75,,,06/2018,,,18797,,,,18404,,,,2.6,,,,18797,
101,"Sunless Merger Sub, Inc.",,Senior loan,,P + 4.00,,,7.25,,,07/2016,,,77,,,,76,,,,-,,,,50,
102,"Sunless Merger Sub, Inc.*",,Senior loan,,L + 5.25,,,6.50,,,07/2016,,,1847,,,,1843,,,,0.2,,,,1293,
103,"TIDI Products, LLC",,One stop,,L + 6.50,,,7.75,,,07/2017,,,78,,,,66,,,,-,,,,78,
104,"TIDI Products, LLC*",,One stop,,L + 6.50,,,7.75,,,07/2018,,,12662,,,,12459,,,,1.7,,,,12662,
105,"Vintage Parts, Inc.*",,One stop,,L + 4.50,,,5.75,,,12/2015,,,4175,,,,4142,,,,0.6,,,,4175,
106,"Vintage Parts, Inc.*",,One stop,,L + 4.50,,,5.75,,,12/2015,,,58,,,,58,,,,-,,,,58,
107,"Vintage Parts, Inc.*",,One stop,,L + 4.50,,,5.75,,,12/2015,,,873,,,,877,,,,0.1,,,,873,
108,,,,,,,,,,,,,,64017,,,,63018,,,,8.7,,,,63382,
109,Diversified Conglomerate Service,,,,,,,,,,,,,,,,,,,,,,,,,,
110,"Aderant North America, Inc.*",,Senior loan,,L + 4.25,,,5.25,,,12/2018,,,4220,,,,4188,,,,0.6,,,,4220,
111,Agility Recovery Solutions Inc.  (3),,One stop,,L + 6.75,,,N/A,(4),,09/2018,,,-,,,,(6,,,,-,,,,-,
112,Agility Recovery Solutions Inc.*,,One stop,,L + 6.75,,,8.00,,,09/2018,,,8288,,,,8144,,,,1.1,,,,8288,
113,Bomgar Corporation  (3),,One stop,,L + 6.00,,,N/A,(4),,05/2019,,,-,,,,(19,,,,-,,,,(20,
114,Bomgar Corporation,,One stop,,L + 6.00,,,7.00,,,05/2020,,,23539,,,,23091,,,,3.2,,,,23303,
115,"Daxko, LLC  (3)",,One stop,,L + 7.75,,,N/A,(4),,03/2019,,,-,,,,(25,,,,-,,,,(22,
116,"Daxko, LLC",,One stop,,L + 7.75,,,8.75,,,03/2019,,,16840,,,,16548,,,,2.3,,,,16671,
117,"Document Technologies, LLC  (3)",,Senior loan,,L + 4.25,,,N/A,(4),,12/2018,,,-,,,,(10,,,,-,,,,-,
118,"Document Technologies, LLC*^",,Senior loan,,L + 4.25,,,5.50,,,12/2018,,,6999,,,,6945,,,,1.0,,,,6999,
119,"EAG, INC. (Evans Analytical Group)*",,Senior loan,,L + 4.00,,,5.00,,,07/2017,,,2435,,,,2409,,,,0.3,,,,2435,
120,HighJump Acquisition LLC,,One stop,,L + 7.50,,,16.23,,,07/2018,,,7089,,,,7033,,,,1.0,,,,7089,
121,"Integration Appliance, Inc.",,Senior loan,,L + 8.25,,,9.50,,,09/2018,,,719,,,,710,,,,0.1,,,,710,
122,"Integration Appliance, Inc.",,Senior loan,,L + 8.25,,,9.50,,,09/2018,,,5396,,,,5281,,,,0.7,,,,5328,
123,"Integration Appliance, Inc.",,Senior loan,,L + 8.25,,,9.50,,,06/2019,,,7914,,,,7717,,,,1.1,,,,7815,
124,"Marathon Data Operating Co., LLC  (3)",,One stop,,L + 6.25,,,N/A,(4),,08/2017,,,-,,,,(7,,,,-,,,,-,
125,"Marathon Data Operating Co., LLC",,One stop,,L + 6.25,,,7.50,,,08/2017,,,4606,,,,4533,,,,0.6,,,,4606,
126,"Navex Global, Inc.  (3)",,One stop,,L + 5.50,,,N/A,(4),,12/2016,,,-,,,,(22,,,,-,,,,-,
127,,,,,Spread,,,,,,,,,,,,,Percentage,,,,,,,,,
128,,,Investment,,Above,,Interest,,,Maturity,,Principal / Par,,,,,,of,,,Fair,,,,,,
129,,,Type,,Index  (1),,Rate  (2),,,Date,,Amount,,,Cost,,,Net  Assets,,,Value,,,,,,
130,"Navex Global, Inc.*",,One stop,,L + 5.50,,,6.50,,,12/2016,,,19174,,,,18810,,,,2.6,,,,19174,
131,"NetSmart Technologies, Inc.*",,One stop,,L + 7.54,,,8.79,,,12/2017,,,8121,,,,8061,,,,1.1,,,,8121,
132,"NetSmart Technologies, Inc.",,One stop,,L + 7.88,,,9.13,,,12/2017,,,642,,,,632,,,,0.1,,,,642,
133,"PC Helps Support, LLC  (3)",,Senior loan,,L + 5.25,,,N/A,(4),,09/2017,,,-,,,,(2,,,,-,,,,-,
134,"PC Helps Support, LLC",,Senior loan,,L + 5.25,,,6.52,,,09/2017,,,1795,,,,1778,,,,0.2,,,,1795,
135,"Secure-24, LLC  (3)",,One stop,,L + 6.50,,,N/A,(4),,08/2017,,,-,,,,(5,,,,-,,,,-,
136,"Secure-24, LLC*",,One stop,,L + 6.50,,,7.75,,,08/2017,,,10460,,,,10260,,,,1.4,,,,10460,
137,"Secure-24, LLC^",,One stop,,L + 6.50,,,7.75,,,08/2017,,,1530,,,,1509,,,,0.2,,,,1530,
138,"SoftWriters, Inc.  (3)",,One stop,,L + 5.00,,,N/A,(4),,05/2019,,,-,,,,(2,,,,-,,,,(2,
139,"SoftWriters, Inc.  (3)",,One stop,,L + 5.00,,,N/A,(4),,05/2019,,,-,,,,(3,,,,-,,,,(4,
140,"SoftWriters, Inc.",,One stop,,L + 5.00,,,6.00,,,05/2019,,,6427,,,,6402,,,,0.9,,,,6401,
141,"Source Medical Solutions, Inc.",,Second lien,,L + 8.00,,,9.00,,,03/2018,,,9294,,,,9136,,,,1.3,,,,9294,
142,"Vericlaim, Inc.  (3)",,Senior loan,,L + 4.75,,,N/A,(4),,05/2018,,,-,,,,(3,,,,-,,,,-,
143,"Vericlaim, Inc.^",,Senior loan,,L + 4.75,,,6.00,,,05/2018,,,6311,,,,6283,,,,0.9,,,,6311,
144,"Vericlaim, Inc.*",,Senior loan,,L + 4.75,,,6.00,,,05/2018,,,367,,,,363,,,,0.1,,,,367,
145,,,,,,,,,,,,,,152166,,,,149729,,,,20.8,,,,151511,
146,Electronics,,,,,,,,,,,,,,,,,,,,,,,,,,
147,"BeyondTrust Software, Inc.^",,One stop,,L + 7.62,,,8.88,,,12/2019,,,11939,,,,11702,,,,1.6,,,,11939,
148,"ECI Acquisition Holdings, Inc.  (3)",,One stop,,L + 6.25,,,N/A,(4),,03/2019,,,-,,,,(18,,,,-,,,,(10,
149,"ECI Acquisition Holdings, Inc.^",,One stop,,L + 6.25,,,7.25,,,03/2019,,,22270,,,,21878,,,,3.0,,,,22047,
150,"ECI Acquisition Holdings, Inc.  (3)",,One stop,,L + 6.25,,,N/A,(4),,03/2019,,,-,,,,(84,,,,-,,,,(48,
151,"Rogue Wave Holdings, Inc.*^",,One stop,,L + 8.06,,,9.06,,,12/2018,,,10613,,,,10493,,,,1.5,,,,10613,
152,"Sloan Company, Inc., The",,One stop,,L + 7.50,,,8.75,,,10/2018,,,267,,,,253,,,,-,,,,267,
153,"Sloan Company, Inc., The*^",,One stop,,L + 7.50,,,8.75,,,10/2018,,,13110,,,,12969,,,,1.8,,,,13110,
154,"Sparta Systems, Inc.  (3)",,Senior loan,,L + 5.25,,,N/A,(4),,12/2017,,,-,,,,(6,,,,-,,,,-,
155,"Sparta Systems, Inc.*",,Senior loan,,L + 5.25,,,6.50,,,12/2017,,,6327,,,,6272,,,,0.9,,,,6327,
156,Syncsort Incorporated  (3),,Senior loan,,L + 4.75,,,N/A,(4),,03/2019,,,-,,,,(3,,,,-,,,,(3,
157,Syncsort Incorporated  (3),,Senior loan,,L + 4.75,,,N/A,(4),,03/2019,,,-,,,,(13,,,,-,,,,(14,
158,Syncsort Incorporated*,,Senior loan,,L + 4.75,,,5.75,,,03/2019,,,6158,,,,6101,,,,0.8,,,,6097,
159,"Systems Maintenance Services Holding,  Inc.^",,Senior loan,,L + 4.25,,,5.25,,,10/2019,,,2657,,,,2645,,,,0.4,,,,2657,
160,"Taxware, LLC",,Second lien,,L + 8.50,,,9.50,,,10/2019,,,11099,,,,10902,,,,1.5,,,,11099,
161,"Watchfire Enterprises, Inc.",,Second lien,,L + 8.00,,,9.00,,,10/2021,,,9435,,,,9265,,,,1.3,,,,9435,
162,,,,,,,,,,,,,,93875,,,,92356,,,,12.8,,,,93516,
163,Farming and Agriculture,,,,,,,,,,,,,,,,,,,,,,,,,,
164,"AGData, L.P.*^",,One stop,,L + 6.00,,,7.25,,,08/2016,,,3691,,,,3663,,,,0.5,,,,3691,
165,Finance,,,,,,,,,,,,,,,,,,,,,,,,,,
166,"Ascensus, Inc.  (3)",,One stop,,L + 4.00,,,N/A,(4),,11/2018,,,-,,,,(17,,,,-,,,,-,
167,"Ascensus, Inc.^",,One stop,,L + 4.00,,,5.00,,,12/2019,,,4203,,,,4127,,,,0.6,,,,4203,
168,"Ascensus, Inc.^",,One stop,,L + 8.00,,,9.00,,,12/2020,,,6337,,,,6134,,,,0.9,,,,6337,
169,Pillar Processing LLC*  (6),,Senior loan,,L + 5.50,,,5.72,,,11/2018,,,702,,,,701,,,,-,,,,210,
170,Pillar Processing LLC*  (6),,Senior loan,,N/A,,,14.50,,,05/2019,,,2377,,,,2368,,,,-,,,,-,
171,,,,,,,,,,,,,,13619,,,,13313,,,,1.5,,,,10750,
172,Grocery,,,,,,,,,,,,,,,,,,,,,,,,,,
173,"MyWebGrocer, Inc.  (3)",,Senior loan,,L + 4.75,,,N/A,(4),,05/2018,,,-,,,,(12,,,,-,,,,-,
174,"MyWebGrocer, Inc.^",,Senior loan,,L + 8.75,,,6.00 cash/4.00 PIK,,,05/2018,,,14271,,,,14079,,,,2.0,,,,14271,
175,"Teasdale Quality Foods, Inc.*",,Senior loan,,L + 4.50,,,5.75,,,05/2018,,,2681,,,,2659,,,,0.4,,,,2681,
176,,,,,,,,,,,,,,16952,,,,16726,,,,2.4,,,,16952,
177,"Healthcare, Education and Childcare",,,,,,,,,,,,,,,,,,,,,,,,,,
178,"Advanced Pain Management Holdings, Inc.  (3)",,Senior loan,,L + 5.00,,,N/A,(4),,02/2018,,,-,,,,(8,,,,-,,,,-,
179,"Advanced Pain Management Holdings, Inc.*",,Senior loan,,L + 5.00,,,6.25,,,02/2018,,,7121,,,,7068,,,,1.0,,,,7121,
180,"Advanced Pain Management Holdings, Inc.",,Senior loan,,L + 5.00,,,6.25,,,02/2018,,,487,,,,481,,,,0.1,,,,487,
181,"Avatar International, LLC  (3)",,One stop,,L + 4.94,,,N/A,(4),,09/2016,,,-,,,,(4,,,,-,,,,-,
182,"Avatar International, LLC*",,One stop,,L + 7.89,,,6.19 cash/2.95 PIK,,,09/2016,,,7589,,,,7532,,,,0.9,,,,6602,
183,"Avatar International, LLC",,One stop,,L + 7.89,,,6.19 cash/2.95 PIK,,,09/2016,,,1637,,,,1628,,,,0.2,,,,1424,
184,Certara L.P.  (3),,One stop,,L + 6.25,,,N/A,(4),,12/2018,,,-,,,,(20,,,,-,,,,(13,
185,Certara L.P.*^,,One stop,,L + 6.25,,,7.25,,,12/2018,,,23006,,,,22765,,,,3.1,,,,22834,
186,Data Innovations LLC,,One stop,,L + 5.75,,,6.75,,,05/2019,,,8823,,,,8631,,,,1.2,,,,8734,
187,Delta Educational Systems*,,Senior loan,,P + 4.75,,,8.00,,,12/2016,,,1693,,,,1671,,,,0.2,,,,1693,
188,Delta Educational Systems  (3),,Senior loan,,L + 6.00,,,N/A,(4),,12/2016,,,-,,,,-,,,,-,,,,-,
189,"Encore Rehabilitation Services, LLC  (3)",,One stop,,L + 6.00,,,N/A,(4),,06/2017,,,-,,,,(9,,,,-,,,,-,
190,,,,,Spread,,,,,,,,,,,,,Percentage,,,,,,,,,
191,,,Investment,,Above,,Interest,,,Maturity,,Principal / Par,,,,,,of,,,Fair,,,,,,
192,,,Type,,Index  (1),,Rate  (2),,,Date,,Amount,,,Cost,,,Net  Assets,,,Value,,,,,,
193,"Encore Rehabilitation Services,  LLC",,One stop,,L + 6.00,,,7.25,,,06/2017,,,5001,,,,4920,,,,0.7,,,,5001,
194,"G & H Wire Company, Inc.",,Senior loan,,P + 4.50,,,7.75,,,12/2017,,,179,,,,172,,,,-,,,,179,
195,"G & H Wire Company, Inc.*^",,Senior loan,,L + 5.75,,,6.75,,,12/2017,,,12934,,,,12786,,,,1.8,,,,12934,
196,"Global Healthcare Exchange, LLC  (3)",,One stop,,L + 9.00,,,N/A,(4),,03/2020,,,-,,,,(24,,,,-,,,,(25,
197,"Global Healthcare Exchange, LLC",,One stop,,L + 9.00,,,10.00,,,03/2020,,,20087,,,,19706,,,,2.7,,,,19886,
198,GSDM Holdings Corp.,,Senior loan,,L + 4.25,,,5.25,,,06/2019,,,629,,,,626,,,,0.1,,,,626,
199,"Healogics, Inc.*",,Second lien,,L + 8.00,,,9.25,,,02/2020,,,16454,,,,16322,,,,2.3,,,,16454,
200,"Hospitalists Management Group, LLC",,Senior loan,,L + 5.00,,,6.77,,,05/2017,,,910,,,,902,,,,0.1,,,,819,
201,"Hospitalists Management Group, LLC",,Senior loan,,L + 5.00,,,6.51,,,05/2017,,,3694,,,,3643,,,,0.5,,,,3324,
202,"Hospitalists Management Group, LLC",,Senior loan,,L + 5.00,,,6.50,,,05/2017,,,430,,,,426,,,,0.1,,,,387,
203,"IntegraMed America, Inc.  (3)",,One stop,,L + 7.25,,,N/A,(4),,09/2017,,,-,,,,(12,,,,-,,,,(6,
204,"IntegraMed America, Inc.*^",,One stop,,L + 7.25,,,8.50,,,09/2017,,,15626,,,,15398,,,,2.1,,,,15509,
205,"Joerns Healthcare, LLC",,One stop,,L + 5.00,,,6.00,,,05/2020,,,9819,,,,9722,,,,1.3,,,,9782,
206,"Maverick Healthcare Group, LLC*",,Senior loan,,L + 5.50,,,7.25,,,12/2016,,,1999,,,,1971,,,,0.3,,,,1899,
207,"NeuroTherm, Inc.",,Senior loan,,P + 3.50,,,6.75,,,02/2016,,,23,,,,18,,,,-,,,,23,
208,"NeuroTherm, Inc.*^",,Senior loan,,L + 4.50,,,5.75,,,02/2016,,,2183,,,,2162,,,,0.3,,,,2183,
209,"Northwestern Management Services, LLC  (3)",,Senior loan,,L + 5.25,,,N/A,(4),,10/2017,,,-,,,,(10,,,,-,,,,-,
210,"Northwestern Management Services, LLC*",,Senior loan,,L + 5.25,,,6.50,,,10/2017,,,3976,,,,3921,,,,0.5,,,,3976,
211,"Northwestern Management Services, LLC",,Senior loan,,L + 5.25,,,6.50,,,10/2017,,,47,,,,43,,,,-,,,,47,
212,Onsite Holding Corp.  (3),,One stop,,L + 5.25,,,N/A,(4),,06/2020,,,-,,,,(44,,,,-,,,,(25,
213,Onsite Holding Corp.*^,,One stop,,L + 5.25,,,6.25,,,06/2020,,,26921,,,,26686,,,,3.7,,,,26786,
214,"Paradigm Management Services, LLC^",,Senior loan,,L + 4.50,,,5.51,,,01/2019,,,1920,,,,1903,,,,0.3,,,,1920,
215,"Pentec Acquisition Sub, Inc.  (3)",,Senior loan,,L + 5.25,,,N/A,(4),,05/2017,,,-,,,,(2,,,,-,,,,-,
216,"Pentec Acquisition Sub, Inc.*",,Senior loan,,L + 5.25,,,6.50,,,05/2018,,,1815,,,,1792,,,,0.2,,,,1815,
217,"Precision Dermatology, Inc.  (3)",,One stop,,L + 6.00,,,N/A,(4),,09/2018,,,-,,,,(5,,,,-,,,,-,
