,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
49,Automobile,,,,,,,,,,,,,,,,,,,,,,,
50,Dent Wizard International Corporation*,Senior loan,,L + 4.00,(a),,6.23,,04/2020,,4477,,,4463,,,0.5,,,4477,,,,
51,"Grease Monkey International, LLC*^",Senior loan,,L + 5.00,(a),,7.24,,11/2022,,4863,,,4813,,,0.5,,,4808,,,,
52,"Grease Monkey International, LLC",Senior loan,,L + 5.00,(a),,7.24,,11/2022,,76,,,75,,,-,,,75,,,,
53,"Grease Monkey International, LLC",Senior loan,,L + 5.00,(a),,7.24,,11/2022,,27,,,25,,,-,,,25,,,,
54,"Grease Monkey International, LLC",Senior loan,,L + 5.00,(a),,7.24,,11/2022,,21,,,20,,,-,,,20,,,,
55,"Grease Monkey International, LLC  (5)",Senior loan,,L + 5.00,,,N/A  (6),,11/2022,,-,,,(2,,,-,,,(2,,,,
56,"Quick Quack Car Wash Holdings, LLC",One stop,,L + 6.50,(a),,8.74,,04/2023,,8751,,,8652,,,0.9,,,8751,,,,
57,"Quick Quack Car Wash Holdings, LLC",One stop,,L + 6.50,(a),,8.67,,04/2023,,150,,,148,,,-,,,150,,,,
58,"Quick Quack Car Wash Holdings, LLC",One stop,,L + 6.50,(a),,8.70,,04/2023,,40,,,39,,,-,,,40,,,,
59,"Quick Quack Car Wash Holdings, LLC  (5)",One stop,,L + 6.50,,,N/A  (6),,04/2023,,-,,,(4,,,-,,,-,,,,
60,,,,,,,,,,,18405,,,18229,,,1.9,,,18344,,,,
61,"Beverage, Food and Tobacco",,,,,,,,,,,,,,,,,,,,,,,
62,"Abita Brewing Co., L.L.C.",One stop,,L + 5.75,(a),,7.99,,04/2021,,6998,,,6926,,,0.7,,,6998,,,,
63,"Abita Brewing Co., L.L.C.",One stop,,L + 5.75,,,N/A  (6),,04/2021,,-,,,-,,,-,,,-,,,,
64,"C. J. Foods, Inc.*^",One stop,,L + 6.25,(c),,8.64,,05/2020,,8582,,,8528,,,0.9,,,8582,,,,
65,"C. J. Foods, Inc.^",One stop,,L + 6.25,(c),,8.64,,05/2020,,649,,,647,,,0.1,,,649,,,,
66,"C. J. Foods, Inc.",One stop,,L + 6.25,(c),,8.58,,05/2020,,517,,,514,,,0.1,,,517,,,,
67,"Cafe Rio Holding, Inc.*^",One stop,,L + 5.75,(a),,7.99,,09/2023,,10370,,,10220,,,1.1,,,10370,,,,
68,"Cafe Rio Holding, Inc.",One stop,,L + 5.75,(a),,7.99,,09/2023,,80,,,79,,,-,,,80,,,,
69,"Cafe Rio Holding, Inc.",One stop,,L + 5.75,(a),,7.99,,09/2023,,40,,,37,,,-,,,40,,,,
70,"Cafe Rio Holding, Inc.",One stop,,P + 4.75,(f),,10.00,,09/2023,,10,,,8,,,-,,,10,,,,
71,"Fintech Midco, LLC",One stop,,L + 6.00,(a),,8.25,,08/2024,,12995,,,12868,,,1.3,,,12865,,,,
72,"Fintech Midco, LLC  (5)",One stop,,L + 6.00,,,N/A  (6),,08/2024,,-,,,(1,,,-,,,(1,,,,
73,"Fintech Midco, LLC  (5)",One stop,,L + 6.00,,,N/A  (6),,08/2024,,-,,,(2,,,-,,,(3,,,,
74,"Firebirds International, LLC*",One stop,,L + 5.75,(a),,7.89,,12/2018,,1049,,,1048,,,0.1,,,1049,,,,
75,"Firebirds International, LLC*",One stop,,L + 5.75,(a),,7.89,,12/2018,,295,,,295,,,-,,,295,,,,
76,"Firebirds International, LLC^",One stop,,L + 5.75,(a),,7.89,,12/2018,,95,,,95,,,-,,,95,,,,
77,"Firebirds International, LLC",One stop,,L + 5.75,(c),,7.99,,12/2018,,41,,,41,,,-,,,41,,,,
78,"Firebirds International, LLC",One stop,,L + 5.75,,,N/A  (6),,12/2018,,-,,,-,,,-,,,-,,,,
79,"Flavor Producers, LLC",Senior loan,,L + 4.75,(c),,7.13,,12/2023,,2155,,,2127,,,0.2,,,2155,,,,
80,"Flavor Producers, LLC  (5)",Senior loan,,L + 4.75,,,N/A  (6),,12/2022,,-,,,(1,,,-,,,-,,,,
81,,Investment  Type,,Spread  Above  Index  (1),,Interest  Rate  (2),,Maturity  Date,,Principal ($) /  Shares  (3),,Amortized Cost,,Percentage  of Net  Assets,,Fair  Value  (4),,,,,,,,
82,"Beverage, Food and Tobacco - (continued)",,,,,,,,,,,,,,,,,,,,,,,
83,FWR Holding Corporation^,One stop,,L + 5.75,(a),,7.99,,08/2023,,,5259,,,,5194,,,0.6,,,,5259,
84,FWR Holding Corporation,One stop,,L + 5.75,(a),,7.99,,08/2023,,65,,,64,,,-,,,65,,,,
85,FWR Holding Corporation,One stop,,L + 5.75,(a)(f),,8.80,,08/2023,,42,,,41,,,-,,,42,,,,
86,FWR Holding Corporation  (5),One stop,,L + 5.75,,,N/A  (6),,08/2023,,-,,,(1,,,-,,,-,,,,
87,"Global Franchise Group, LLC*",Senior loan,,L + 5.75,(a),,7.99,,12/2019,,3220,,,3203,,,0.3,,,3220,,,,
88,"Global Franchise Group, LLC",Senior loan,,L + 5.75,,,N/A  (6),,12/2019,,-,,,-,,,-,,,-,,,,
89,Global ID Corporation*,One stop,,L + 6.50,(c),,8.84,,11/2021,,5144,,,5104,,,0.5,,,5144,,,,
90,Global ID Corporation,One stop,,L + 6.50,(c),,8.84,,11/2021,,72,,,71,,,-,,,72,,,,
91,Global ID Corporation,One stop,,L + 6.50,,,N/A  (6),,11/2021,,-,,,-,,,-,,,-,,,,
92,Global ID Corporation  (5),One stop,,L + 6.50,,,N/A  (6),,11/2021,,-,,,(1,,,-,,,-,,,,
93,"Hopdoddy Holdings, LLC",One stop,,L + 9.50,(c),,10.31 cash/1.50 PIK,,08/2020,,1307,,,1301,,,0.1,,,1307,,,,
94,"Hopdoddy Holdings, LLC",One stop,,L + 9.50,(c),,10.34 cash/1.50 PIK,,08/2020,,47,,,47,,,-,,,47,,,,
95,"Hopdoddy Holdings, LLC",One stop,,L + 9.50,(c),,10.32 cash/1.50 PIK,,08/2020,,3,,,2,,,-,,,3,,,,
96,"Mendocino Farms, LLC  (5)",One stop,,L + 8.50,,,N/A  (6),,06/2023,,-,,,(2,,,-,,,-,,,,
97,"Mid-America Pet Food, L.L.C.*^",One stop,,L + 6.00,(c),,8.39,,12/2021,,10752,,,10664,,,1.1,,,10752,,,,
98,"Mid-America Pet Food, L.L.C.  (5)",One stop,,L + 6.00,,,N/A  (6),,12/2021,,-,,,(1,,,-,,,-,,,,
99,"NBC Intermediate, LLC^",Senior loan,,L + 4.25,(a),,6.50,,09/2023,,2079,,,2061,,,0.2,,,2058,,,,
100,"NBC Intermediate, LLC *",Senior loan,,L + 4.25,(a),,6.50,,09/2023,,1097,,,1086,,,0.1,,,1086,,,,
101,"NBC Intermediate, LLC",Senior loan,,P + 3.25,(f),,8.50,,09/2023,,5,,,4,,,-,,,4,,,,
102,"Purfoods, LLC",One stop,,L + 6.00,(c),,8.31,,05/2021,,8379,,,8270,,,0.9,,,8379,,,,
103,"Purfoods, LLC",One stop,,N/A,,,7.00 PIK,,05/2026,,116,,,116,,,-,,,116,,,,
104,"Purfoods, LLC",One stop,,L + 6.00,(a),,8.15,,05/2021,,65,,,64,,,-,,,65,,,,
105,"Purfoods, LLC^",One stop,,L + 6.00,(c),,8.39,,05/2021,,39,,,39,,,-,,,39,,,,
106,"Purfoods, LLC",One stop,,L + 6.00,(c),,8.39,,05/2021,,30,,,30,,,-,,,30,,,,
107,"Purfoods, LLC",One stop,,L + 6.00,(c),,8.39,,05/2021,,30,,,30,,,-,,,30,,,,
108,"Purfoods, LLC",One stop,,L + 6.00,(c),,8.33,,05/2021,,30,,,30,,,-,,,30,,,,
109,"Purfoods, LLC^",One stop,,L + 6.00,(c),,8.39,,05/2021,,24,,,23,,,-,,,24,,,,
110,"Purfoods, LLC^",One stop,,L + 6.00,(c),,8.39,,05/2021,,15,,,15,,,-,,,15,,,,
111,"Purfoods, LLC^",One stop,,L + 6.00,(c),,8.39,,05/2021,,15,,,15,,,-,,,15,,,,
112,"Purfoods, LLC^",One stop,,L + 6.00,(c),,8.39,,05/2021,,14,,,14,,,-,,,14,,,,
113,"Purfoods, LLC^",One stop,,L + 6.00,(c),,8.39,,05/2021,,11,,,11,,,-,,,11,,,,
114,"Purfoods, LLC^",One stop,,L + 6.00,(c),,8.39,,05/2021,,11,,,11,,,-,,,11,,,,
115,"Purfoods, LLC^",One stop,,L + 6.00,(c),,8.39,,05/2021,,10,,,10,,,-,,,10,,,,
116,"Purfoods, LLC  (5)",One stop,,L + 6.00,,,N/A  (6),,05/2021,,-,,,(1,,,-,,,-,,,,
117,"Rubio's Restaurants, Inc.*^",Senior loan,,L + 5.25,(c),,7.64,,10/2019,,11173,,,11000,,,1.2,,,11173,,,,
118,Uinta Brewing Company^  (7),One stop,,L + 8.50,(a),,10.74,,08/2019,,3725,,,3716,,,0.3,,,2459,,,,
119,Uinta Brewing Company  (7),One stop,,L + 8.50,(a),,10.74,,08/2019,,693,,,691,,,0.1,,,444,,,,
120,,,,,,,,,,,97348,,,96350,,,9.9,,,95666,,,,
121,Broadcasting and Entertainment,,,,,,,,,,,,,,,,,,,,,,,
122,"TouchTunes Interactive Networks, Inc.^",Senior loan,,L + 4.75,(a),,6.99,,05/2021,,1447,,,1444,,,0.1,,,1447,,,,
123,Buildings and Real Estate,,,,,,,,,,,,,,,,,,,,,,,
124,"Brooks Equipment Company, LLC*^",One stop,,L + 5.00,(c),,7.31,,08/2020,,21096,,,20996,,,2.2,,,21096,,,,
125,"Brooks Equipment Company, LLC*",One stop,,L + 5.00,(b)(c),,7.28,,08/2020,,2634,,,2623,,,0.3,,,2634,,,,
126,"Brooks Equipment Company, LLC  (5)",One stop,,L + 5.00,,,N/A  (6),,08/2020,,-,,,(6,,,-,,,-,,,,
127,"Jensen Hughes, Inc.",Senior loan,,L + 4.50,(a),,6.71,,03/2024,,500,,,498,,,0.1,,,500,,,,
128,"Jensen Hughes, Inc.",Senior loan,,L + 4.50,(a),,6.74,,03/2024,,153,,,151,,,-,,,153,,,,
129,,Investment  Type,,Spread  Above  Index  (1),,Interest  Rate  (2),,Maturity  Date,,Principal ($) /  Shares  (3),,Amortized Cost,,Percentage  of Net  Assets,,Fair  Value  (4),,,,,,,,
130,Buildings and Real Estate - (continued),,,,,,,,,,,,,,,,,,,,,,,
131,"Jensen Hughes, Inc.",Senior loan,,L + 4.50,(a),,6.65,,03/2024,,,29,,,,29,,,-,,,,29,
132,MRI Software LLC^,One stop,,L + 5.50,(c),,7.89,,06/2023,,23684,,,23156,,,2.4,,,23684,,,,
133,MRI Software LLC*^,One stop,,L + 5.50,(c),,7.89,,06/2023,,13744,,,13614,,,1.4,,,13744,,,,
134,MRI Software LLC^,One stop,,L + 5.50,(c),,7.89,,06/2023,,357,,,354,,,0.1,,,357,,,,
135,MRI Software LLC,One stop,,L + 5.50,(c),,7.89,,06/2023,,295,,,292,,,-,,,295,,,,
136,MRI Software LLC,One stop,,L + 5.50,(c),,7.89,,06/2023,,194,,,192,,,-,,,194,,,,
137,MRI Software LLC^,One stop,,L + 5.50,(a),,7.65,,06/2023,,165,,,163,,,-,,,165,,,,
138,MRI Software LLC,One stop,,L + 5.50,(a),,7.67,,06/2023,,35,,,32,,,-,,,35,,,,
139,MRI Software LLC  (5),One stop,,L + 5.50,,,N/A  (6),,06/2023,,-,,,(6,,,-,,,-,,,,
140,,,,,,,,,,,62886,,,62088,,,6.5,,,62886,,,,
141,"Chemicals, Plastics and Rubber",,,,,,,,,,,,,,,,,,,,,,,
142,"Flexan, LLC*",One stop,,L + 5.75,(c),,8.14,,02/2020,,2310,,,2296,,,0.3,,,2310,,,,
143,"Flexan, LLC^",One stop,,L + 5.75,(c),,8.14,,02/2020,,1086,,,1081,,,0.1,,,1086,,,,
144,"Flexan, LLC",One stop,,P + 4.50,(f),,9.75,,02/2020,,11,,,11,,,-,,,11,,,,
145,Inhance Technologies Holdings LLC,One stop,,L + 5.25,(b),,7.43,,07/2024,,6880,,,6731,,,0.7,,,6811,,,,
146,Inhance Technologies Holdings LLC  (5),One stop,,L + 5.25,,,N/A  (6),,07/2024,,-,,,(1,,,-,,,(1,,,,
147,Inhance Technologies Holdings LLC  (5),One stop,,L + 5.25,,,N/A  (6),,07/2024,,-,,,(1,,,-,,,(2,,,,
148,,,,,,,,,,,10287,,,10117,,,1.1,,,10215,,,,
149,Diversified/Conglomerate Manufacturing,,,,,,,,,,,,,,,,,,,,,,,
150,"Chase Industries, Inc.",Senior loan,,L + 4.00,(c),,6.34,,05/2025,,6870,,,6756,,,0.7,,,6870,,,,
151,"Chase Industries, Inc.",Senior loan,,L + 4.00,(c),,6.34,,05/2023,,16,,,14,,,-,,,16,,,,
152,"Chase Industries, Inc.",Senior loan,,L + 4.00,(c),,6.38,,05/2025,,12,,,8,,,-,,,12,,,,
153,"Inventus Power, Inc.*^",One stop,,L + 6.50,(a),,8.74,,04/2020,,7285,,,7266,,,0.7,,,6557,,,,
154,"Inventus Power, Inc.",One stop,,L + 6.50,(a)(c),,8.78,,04/2020,,271,,,270,,,-,,,236,,,,
155,Onicon Incorporated*^,One stop,,L + 5.50,(a)(c),,7.88,,04/2022,,17916,,,17784,,,1.9,,,17916,,,,
156,Onicon Incorporated  (5),One stop,,L + 5.50,,,N/A  (6),,04/2022,,-,,,(3,,,-,,,-,,,,
157,"Pasternack Enterprises, Inc. and Fairview Microwave, Inc",Senior loan,,L + 4.00,(a)(f),,6.24,,07/2025,,5634,,,5607,,,0.6,,,5606,,,,
158,"Pasternack Enterprises, Inc. and Fairview Microwave, Inc",Senior loan,,L + 4.00,,,N/A  (6),,07/2023,,-,,,-,,,-,,,-,,,,
159,"PetroChoice Holdings, Inc.^",Senior loan,,L + 5.00,(b),,7.20,,08/2022,,1732,,,1700,,,0.2,,,1732,,,,
160,"Plex Systems, Inc.*^",One stop,,L + 7.50,(a),,9.82,,06/2020,,18797,,,18635,,,1.9,,,18797,,,,
161,"Plex Systems, Inc.  (5)",One stop,,L + 7.50,,,N/A  (6),,06/2020,,-,,,(14,,,-,,,-,,,,
162,"Reladyne, Inc.*^",Senior loan,,L + 5.00,(c),,7.34,,07/2022,,16878,,,16691,,,1.7,,,16878,,,,
163,"Reladyne, Inc.^",Senior loan,,L + 5.00,(c),,7.34,,07/2022,,173,,,171,,,-,,,173,,,,
164,"Reladyne, Inc.",Senior loan,,L + 5.00,(c),,7.34,,07/2022,,142,,,141,,,-,,,142,,,,
165,"Reladyne, Inc.  (5)",Senior loan,,L + 5.00,,,N/A  (6),,07/2022,,-,,,(3,,,-,,,-,,,,
166,"Source Refrigeration & HVAC, Inc.*",Senior loan,,L + 4.75,(c),,7.14,,04/2023,,9453,,,9352,,,1.0,,,9453,,,,
167,"Source Refrigeration & HVAC, Inc.",Senior loan,,L + 4.75,(c),,7.10,,04/2023,,111,,,110,,,-,,,111,,,,
168,"Source Refrigeration & HVAC, Inc.",Senior loan,,P + 3.75,(f),,9.00,,04/2023,,89,,,86,,,-,,,89,,,,
169,"Source Refrigeration & HVAC, Inc.",Senior loan,,L + 4.75,(c),,7.09,,04/2023,,57,,,56,,,-,,,57,,,,
170,"Source Refrigeration & HVAC, Inc.  (5)",Senior loan,,L + 4.75,,,N/A  (6),,04/2023,,-,,,(2,,,-,,,-,,,,
171,"Sunless Merger Sub, Inc.",Senior loan,,L + 5.00,(a)(f),,7.28,,07/2019,,1381,,,1384,,,0.2,,,1381,,,,
172,"Sunless Merger Sub, Inc.",Senior loan,,P + 3.75,(f),,8.75,,07/2019,,256,,,256,,,-,,,256,,,,
173,"Togetherwork Holdings, LLC",One stop,,L + 6.50,(a),,8.74,,03/2025,,9158,,,9031,,,0.9,,,9066,,,,
174,"Togetherwork Holdings, LLC",One stop,,L + 6.50,(a),,8.74,,03/2025,,557,,,549,,,0.1,,,552,,,,
175,"Togetherwork Holdings, LLC",One stop,,L + 6.50,(a),,8.74,,03/2025,,116,,,114,,,-,,,114,,,,
176,"Togetherwork Holdings, LLC",One stop,,L + 6.50,(a),,8.74,,03/2025,,108,,,106,,,-,,,107,,,,
177,,Investment  Type,,Spread  Above  Index  (1),,Interest  Rate  (2),,Maturity  Date,,Principal ($) /  Shares  (3),,Amortized Cost,,Percentage  of Net  Assets,,Fair  Value  (4),,,,,,,,
178,Diversified/Conglomerate Manufacturing - (continued),,,,,,,,,,,,,,,,,,,,,,,
179,"Togetherwork Holdings, LLC  (5)",One stop,,L + 6.50,,,N/A  (6),,03/2024,,,-,,,,(1,,,-,,,,(1,
180,"Togetherwork Holdings, LLC  (5)",One stop,,L + 6.50,,,N/A  (6),,03/2025,,-,,,(2,,,-,,,(1,,,,
181,"Togetherwork Holdings, LLC  (5)",One stop,,L + 6.50,,,N/A  (6),,03/2025,,-,,,(3,,,-,,,(2,,,,
182,,,,,,,,,,,97012,,,96059,,,9.9,,,96117,,,,
183,Diversified/Conglomerate Service,,,,,,,,,,,,,,,,,,,,,,,
184,"Accela, Inc.",One stop,,L + 6.00,(c),,8.39,,09/2023,,5261,,,5193,,,0.5,,,5261,,,,
185,"Accela, Inc.  (5)",One stop,,L + 6.00,,,N/A  (6),,09/2023,,-,,,(1,,,-,,,-,,,,
186,Agility Recovery Solutions Inc.*^,One stop,,L + 6.50,(a),,8.74,,03/2020,,13809,,,13750,,,1.4,,,13809,,,,
187,Agility Recovery Solutions Inc.  (5),One stop,,L + 6.50,,,N/A  (6),,03/2020,,-,,,(3,,,-,,,-,,,,
188,"Anaqua, Inc.*^",One stop,,L + 6.50,(c),,8.85,,07/2022,,6948,,,6867,,,0.7,,,6948,,,,
189,"Anaqua, Inc.  (5)",One stop,,L + 6.50,,,N/A  (6),,07/2022,,-,,,(1,,,-,,,-,,,,
190,Apttus Corporation,One stop,,L + 7.85,(e),,10.06,,01/2023,,4127,,,3969,,,0.4,,,4312,,,,
191,"Bazaarvoice, Inc.",One stop,,L + 8.00,(a),,10.24,,02/2024,,8958,,,8799,,,0.9,,,8958,,,,
192,"Bazaarvoice, Inc.",One stop,,P + 7.00,(f),,12.25,,02/2024,,30,,,28,,,-,,,30,,,,
193,Browz LLC,One stop,,L + 9.50,(b),,10.17 cash/1.50 PIK,,03/2023,,1503,,,1473,,,0.2,,,1503,,,,
194,Browz LLC,One stop,,L + 9.50,,,N/A  (6),,03/2023,,-,,,-,,,-,,,-,,,,
195,Centrify Corporation*,One stop,,L + 6.25,(c),,8.59,,08/2024,,10974,,,10813,,,1.1,,,10864,,,,
196,Centrify Corporation  (5),One stop,,L + 6.25,,,N/A  (6),,08/2024,,-,,,(2,,,-,,,(2,,,,
197,"Clearwater Analytics, LLC*^",One stop,,L + 5.00,(a),,7.24,,09/2022,,8532,,,8319,,,0.9,,,8532,,,,
198,"Clearwater Analytics, LLC  (5)",One stop,,L + 5.00,,,N/A  (6),,09/2022,,-,,,(2,,,-,,,-,,,,
199,"Cloudbees, Inc.",One stop,,L + 9.00,(a),,10.61 cash/0.50 PIK,,05/2023,,1898,,,1841,,,0.2,,,1870,,,,
200,"Cloudbees, Inc.",One stop,,L + 9.00,,,N/A  (6),,05/2023,,-,,,-,,,-,,,-,,,,
201,"Confluence Technologies, Inc.",One stop,,L + 7.50,(a),,9.65,,03/2024,,7033,,,6889,,,0.7,,,7033,,,,
202,"Confluence Technologies, Inc.",One stop,,P + 6.50,(a)(f),,10.96,,03/2024,,16,,,15,,,-,,,16,,,,
203,"Connexin Software, Inc.",One stop,,L + 8.50,(a),,10.74,,02/2024,,2401,,,2348,,,0.3,,,2401,,,,
204,"Connexin Software, Inc.",One stop,,L + 8.50,,,N/A  (6),,02/2024,,-,,,-,,,-,,,-,,,,
205,"Datto, Inc.*",One stop,,L + 8.00,(a),,10.15,,12/2022,,11156,,,10969,,,1.2,,,11156,,,,
206,"Datto, Inc.  (5)",One stop,,L + 8.00,,,N/A  (6),,12/2022,,-,,,(1,,,-,,,-,,,,
207,Daxko Acquisition Corporation*^,One stop,,L + 5.25,(b),,7.54,,09/2023,,11246,,,11014,,,1.2,,,11246,,,,
208,Daxko Acquisition Corporation  (5),One stop,,L + 5.25,,,N/A  (6),,09/2023,,-,,,(1,,,-,,,-,,,,
209,"Digital Guardian, Inc.",One stop,,L + 9.00,(c),,10.33 cash/1.00 PIK,,06/2023,,3999,,,3952,,,0.4,,,3999,,,,
210,"Digital Guardian, Inc.",Subordinated debt,,N/A,,,8.00 PIK,,01/2019,,184,,,184,,,-,,,184,,,,
211,"Digital Guardian, Inc.  (5)",One stop,,L + 6.00,,,N/A  (6),,06/2023,,-,,,-,,,-,,,(2,,,,
212,"Digital Guardian, Inc.",One stop,,L + 9.00,,,N/A  (6),,06/2023,,-,,,-,,,-,,,-,,,,
213,DISA Holdings Acquisition Subsidiary Corp.*,Senior loan,,L + 4.00,(a)(f),,6.10,,06/2022,,2006,,,1997,,,0.2,,,2006,,,,
214,DISA Holdings Acquisition Subsidiary Corp.,Senior loan,,L + 4.00,(a),,6.10,,06/2022,,2,,,2,,,-,,,2,,,,
215,DISA Holdings Acquisition Subsidiary Corp.  (5),Senior loan,,L + 4.00,,,N/A  (6),,06/2022,,-,,,(1,,,-,,,-,,,,
216,"EGD Security Systems, LLC",One stop,,L + 6.25,(c),,8.58,,06/2022,,11114,,,10960,,,1.1,,,11114,,,,
217,"EGD Security Systems, LLC^",One stop,,L + 6.25,(c),,8.56,,06/2022,,98,,,97,,,-,,,98,,,,
218,"EGD Security Systems, LLC",One stop,,L + 6.25,(c),,8.58,,06/2022,,75,,,74,,,-,,,75,,,,
219,"EGD Security Systems, LLC^",One stop,,L + 6.25,(c),,8.59,,06/2022,,52,,,52,,,-,,,52,,,,
220,"GS Acquisitionco, Inc.",One stop,,L + 5.00,(a),,7.25,,05/2024,,22840,,,22620,,,2.3,,,22611,,,,
221,"GS Acquisitionco, Inc.",One stop,,L + 5.00,(a),,7.25,,05/2024,,878,,,870,,,0.1,,,869,,,,
222,"GS Acquisitionco, Inc.  (5)",One stop,,L + 4.75,,,N/A  (6),,05/2024,,-,,,(1,,,-,,,(1,,,,
223,"GS Acquisitionco, Inc.  (5)",One stop,,L + 4.75,,,N/A  (6),,05/2024,,-,,,(5,,,-,,,(5,,,,
224,"HealthcareSource HR, Inc.*",One stop,,L + 6.75,(c),,9.14,,05/2020,,23389,,,23203,,,2.4,,,23389,,,,
225,"HealthcareSource HR, Inc.  (5)",One stop,,L + 6.75,,,N/A  (6),,05/2020,,-,,,(1,,,-,,,-,,,,
226,,Investment  Type,,Spread  Above  Index  (1),,Interest  Rate  (2),,Maturity  Date,,Principal ($) /  Shares  (3),,Amortized Cost,,Percentage  of Net  Assets,,Fair  Value  (4),,,,,,,,
227,Diversified/Conglomerate Service - (continued),,,,,,,,,,,,,,,,,,,,,,,
