,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
19,"American Driveline Systems, Inc.",,Senior loan,,L + 5.50,,,7.17,,,01/2016,,,306,,,,303,,,,-,,,,267,,,,,
20,"American Driveline Systems, Inc.*",,Senior loan,,L + 5.50,,,7.00,,,01/2016,,,2790,,,,2771,,,,0.3,,,,2511,,,,,
21,"K&N Engineering, Inc.  (3)",,Senior loan,,L + 4.25,,,N/A,(4),,07/2019,,,-,,,,(4,,,,-,,,,-,,,,,
22,"K&N Engineering, Inc.^",,Senior loan,,L + 4.25,,,5.25,,,07/2019,,,2905,,,,2855,,,,0.4,,,,2905,,,,,
23,"K&N Engineering, Inc.  (3)",,Senior loan,,L + 4.25,,,N/A,(4),,07/2019,,,-,,,,(18,,,,-,,,,-,,,,,
24,"Take 5 Oil Change, L.L.C.  (3)",,Senior loan,,L + 5.25,,,N/A,(4),,07/2018,,,-,,,,(7,,,,-,,,,-,,,,,
25,"Take 5 Oil Change, L.L.C.^",,Senior loan,,L + 5.25,,,6.25,,,07/2018,,,4860,,,,4831,,,,0.7,,,,4860,,,,,
26,,,,,,,,,,,,,,10861,,,,10731,,,,1.4,,,,10543,,,,,
27,Banking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,HedgeServ Holding L.P.^,,One stop,,L + 8.25,,,5.25  cash/4.00 PIK,,,02/2019,,,17416,,,,17277,,,,2.4,,,,17416,,,,,
29,HedgeServ Holding L.P.  (3),,One stop,,L + 4.25,,,N/A,(4),,02/2019,,,-,,,,(8,,,,-,,,,-,,,,,
30,Prommis Fin Co.  (6),,Senior loan,,P + 10.00,,,13.25,,,06/2015,,,82,,,,81,,,,-,,,,2,,,,,
31,Prommis Fin Co.*  (6),,Senior loan,,N/A,,,2.25  cash/11.5 PIK,,,06/2015,,,119,,,,119,,,,-,,,,3,,,,,
32,,,,,,,,,,,,,,17617,,,,17469,,,,2.4,,,,17421,,,,,
33,"Beverage, Food and Tobacco",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,ABP Corporation,,Senior loan,,P + 3.50,,,7.25,,,09/2018,,,209,,,,203,,,,-,,,,209,,,,,
35,ABP Corporation*,,Senior loan,,L + 4.75,,,6.00,,,09/2018,,,4783,,,,4719,,,,0.7,,,,4783,,,,,
36,ARG IH Corporation (Arby's)^,,Senior loan,,L + 3.75,,,4.75,,,11/2020,,,2331,,,,2306,,,,0.3,,,,2328,,,,,
37,"Atkins Nutritionals, Inc*^",,One stop,,L + 5.00,,,6.25,,,01/2019,,,23873,,,,23695,,,,3.2,,,,23574,,,,,
38,"Atkins Nutritionals, Inc*",,One stop,,L + 8.50,,,9.75,,,04/2019,,,21636,,,,21343,,,,2.9,,,,21527,,,,,
39,"C. J. Foods, Inc.  (3)",,One stop,,L + 5.50,,,N/A,(4),,05/2019,,,-,,,,(9,,,,-,,,,-,,,,,
40,"C. J. Foods, Inc.  (3)",,One stop,,L + 5.50,,,N/A,(4),,05/2019,,,-,,,,(12,,,,-,,,,-,,,,,
41,"C. J. Foods, Inc.",,One stop,,L + 5.50,,,6.50,,,05/2019,,,3216,,,,3174,,,,0.4,,,,3216,,,,,
42,"Candy Intermediate Holdings, Inc. (Ferrara  Candy)^",,Senior loan,,L + 6.25,,,7.50,,,06/2018,,,4875,,,,4775,,,,0.6,,,,4717,,,,,
43,"Diversified Foodservice Supply, Inc.  (3)",,Senior loan,,L + 4.50,,,N/A,(4),,12/2018,,,-,,,,(3,,,,-,,,,-,,,,,
44,"Diversified Foodservice Supply, Inc.*",,Senior loan,,L + 4.50,,,5.75,,,12/2018,,,4556,,,,4520,,,,0.6,,,,4556,,,,,
45,"Firebirds International, LLC  (3)",,One stop,,L + 6.25,,,N/A,(4),,05/2018,,,-,,,,(2,,,,-,,,,-,,,,,
46,"Firebirds International, LLC*",,One stop,,L + 6.25,,,7.50,,,05/2018,,,1090,,,,1077,,,,0.2,,,,1090,,,,,
47,"Firebirds International, LLC",,One stop,,L + 6.25,,,7.50,,,05/2018,,,304,,,,299,,,,-,,,,304,,,,,
48,"Firebirds International, LLC  (3)",,One stop,,L + 6.25,,,N/A,(4),,05/2018,,,-,,,,(4,,,,-,,,,-,,,,,
49,"First Watch Restaurants, Inc.  (3)",,One stop,,L + 7.50,,,N/A,(4),,12/2018,,,-,,,,(22,,,,-,,,,-,,,,,
50,"First Watch Restaurants, Inc.*^",,One stop,,L + 7.50,,,8.75,,,12/2018,,,14327,,,,14174,,,,2.0,,,,14327,,,,,
51,"First Watch Restaurants, Inc.^",,One stop,,L + 7.50,,,8.75,,,12/2018,,,1748,,,,1743,,,,0.2,,,,1748,,,,,
52,IT'SUGAR LLC,,Senior loan,,L + 7.50,,,9.00,,,04/2018,,,7547,,,,7445,,,,1.0,,,,7547,,,,,
53,IT'SUGAR LLC,,Subordinated debt,,N/A,,,5.00,,,10/2017,,,1707,,,,1707,,,,0.3,,,,1847,,,,,
54,Julio & Sons Company,,One stop,,L + 5.50,,,6.50,,,09/2017,,,426,,,,417,,,,0.1,,,,426,,,,,
55,Julio & Sons Company*,,One stop,,L + 5.50,,,6.50,,,09/2017,,,6960,,,,6903,,,,0.9,,,,6960,,,,,
56,Julio & Sons Company  (3),,One stop,,L + 5.50,,,N/A,(4),,09/2017,,,-,,,,(31,,,,-,,,,-,,,,,
57,"Northern Brewer, LLC",,One stop,,P + 9.25,,,8.50  cash/4.00 PIK,,,02/2018,,,683,,,,672,,,,0.1,,,,475,,,,,
58,"Northern Brewer, LLC",,One stop,,P + 9.25,,,8.50  cash/4.00 PIK,,,02/2018,,,6386,,,,6272,,,,0.6,,,,4470,,,,,
59,"Tate's Bake Shop, Inc.  (3)",,Senior loan,,L + 4.75,,,N/A,(4),,08/2019,,,-,,,,(4,,,,-,,,,-,,,,,
60,"Tate's Bake Shop, Inc.^",,Senior loan,,L + 4.75,,,5.75,,,08/2019,,,3000,,,,2972,,,,0.4,,,,3000,,,,,
61,"Tate's Bake Shop, Inc.  (3)",,Senior loan,,L + 4.75,,,N/A,(4),,08/2019,,,-,,,,(5,,,,-,,,,-,,,,,
62,Uinta Brewing Company  (3),,One stop,,L + 6.00,,,N/A,(4),,08/2019,,,-,,,,(7,,,,-,,,,-,,,,,
63,Uinta Brewing Company^,,One stop,,L + 6.00,,,7.00,,,08/2019,,,3228,,,,3198,,,,0.5,,,,3228,,,,,
64,,,,,,,,,,,,,,112885,,,,111515,,,,15.0,,,,110332,,,,,
65,Building and Real Estate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,"Accruent, LLC*",,One stop,,L + 6.25,,,7.28,,,11/2019,,,4757,,,,4710,,,,0.6,,,,4709,,,,,
67,"Brooks Equipment Company, LLC  (3)",,One stop,,L + 5.75,,,N/A,(4),,08/2020,,,-,,,,(19,,,,-,,,,-,,,,,
68,"Brooks Equipment Company, LLC*^",,One stop,,L + 5.75,,,6.75,,,08/2020,,,26776,,,,26401,,,,3.7,,,,26776,,,,,
69,"ITEL Laboratories, Inc.  (3)",,Senior loan,,L + 4.75,,,N/A,(4),,06/2018,,,-,,,,(1,,,,-,,,,-,,,,,
70,,,,,Spread,,,,,,,,,,,,,Percentage,,,,,,,,,,,,,
71,,,Investment,,Above,,Interest,,,Maturity,,Principal / Par,,,,,,of,,,Fair,,,,,,,,,,
72,,,Type,,Index  (1),,Rate  (2),,,Date,,Amount,,,Cost,,,Net Assets,,,Value,,,,,,,,,,
73,"ITEL Laboratories,  Inc.*",,Senior loan,,L + 4.75,,,6.00,,,06/2018,,,754,,,,747,,,,0.1,,,,754,,,,,
74,,,,,,,,,,,,,,32287,,,,31838,,,,4.4,,,,32239,,,,,
75,Cargo Transport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,RP Crown Parent (RedPrairie Corp)*,,Senior loan,,L + 5.00,,,6.00,,,12/2018,,,1965,,,,1939,,,,0.3,,,,1836,,,,,
77,"Containers, Packaging and  Glass",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Fort Dearborn Company*,,Senior loan,,P + 3.25,,,5.90,,,10/2017,,,7,,,,6,,,,-,,,,7,,,,,
79,Fort Dearborn Company*^,,Senior loan,,L + 4.25,,,5.25,,,10/2017,,,498,,,,496,,,,0.1,,,,498,,,,,
80,Fort Dearborn Company*,,Senior loan,,P + 3.75,,,6.45,,,10/2018,,,24,,,,24,,,,-,,,,24,,,,,
81,Fort Dearborn Company*^,,Senior loan,,L + 4.75,,,5.75,,,10/2018,,,2174,,,,2163,,,,0.3,,,,2174,,,,,
82,"Packaging Coordinators, Inc.*^",,Senior loan,,L + 4.25,,,5.25,,,08/2021,,,14962,,,,14820,,,,2.0,,,,14514,,,,,
83,"Packaging Coordinators,  Inc.",,Second Lien,,L + 8.00,,,9.00,,,08/2022,,,10000,,,,9904,,,,1.3,,,,9750,,,,,
84,,,,,,,,,,,,,,27665,,,,27413,,,,3.7,,,,26967,,,,,
85,Diversified Conglomerate  Manufacturing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,"Chase Industries, Inc.*^",,One stop,,L + 5.75,,,6.75,,,09/2020,,,21038,,,,20838,,,,2.9,,,,21038,,,,,
87,"Chase Industries, Inc.  (3)",,One stop,,L + 5.75,,,N/A,(4),,09/2020,,,-,,,,(21,,,,-,,,,-,,,,,
88,"Chase Industries, Inc.  (3)",,One stop,,L + 5.75,,,N/A,(4),,09/2020,,,-,,,,(46,,,,-,,,,-,,,,,
89,ICCN Acquisition Corp.  (3),,One stop,,L + 5.25,,,N/A,(4),,03/2019,,,-,,,,(4,,,,-,,,,-,,,,,
90,ICCN Acquisition Corp.^,,One stop,,L + 5.25,,,6.25,,,03/2019,,,3988,,,,3929,,,,0.5,,,,3988,,,,,
91,ICCN Acquisition Corp.  (3),,One stop,,L + 5.25,,,N/A,(4),,03/2019,,,-,,,,(13,,,,-,,,,-,,,,,
92,"Metal Spinners, Inc.*",,Senior loan,,L + 7.50,,,9.00,,,04/2015,,,1280,,,,1277,,,,0.2,,,,1280,,,,,
93,"Metal Spinners, Inc.*",,Senior loan,,L + 7.50,,,9.00,,,04/2015,,,2499,,,,2493,,,,0.3,,,,2499,,,,,
94,Onicon Incorporated  (3),,One stop,,L + 4.50,,,N/A,(4),,12/2017,,,-,,,,(10,,,,-,,,,(12,,,,,
95,Onicon Incorporated*,,One stop,,L + 4.50,,,5.84,,,12/2017,,,3328,,,,3286,,,,0.4,,,,3279,,,,,
96,Onicon Incorporated,,One stop,,P + 3.50,,,5.84,,,12/2017,,,1237,,,,1221,,,,0.2,,,,1218,,,,,
97,"Pasternack Enterprises, Inc.*",,Senior loan,,L + 5.00,,,6.25,,,12/2017,,,1079,,,,1073,,,,0.1,,,,1079,,,,,
98,"Plex Systems, Inc.  (3)",,One stop,,L + 7.50,,,N/A,(4),,06/2018,,,-,,,,(26,,,,-,,,,-,,,,,
99,"Plex Systems, Inc.*^",,One stop,,L + 7.50,,,8.75,,,06/2018,,,18797,,,,18415,,,,2.6,,,,18797,,,,,
100,"Sunless Merger Sub, Inc.  (3)",,Senior loan,,L + 5.25,,,N/A,(4),,07/2016,,,-,,,,(1,,,,-,,,,(22,,,,,
101,"Sunless Merger Sub, Inc.*",,Senior loan,,L + 5.25,,,6.50,,,07/2016,,,1786,,,,1779,,,,0.2,,,,1340,,,,,
102,"TIDI Products, LLC  (3)",,One stop,,L + 6.50,,,N/A,(4),,07/2017,,,-,,,,(10,,,,-,,,,-,,,,,
103,"TIDI Products, LLC*^",,One stop,,L + 6.50,,,7.75,,,07/2018,,,16677,,,,16463,,,,2.3,,,,16677,,,,,
104,"Vintage Parts, Inc.*",,One stop,,L + 4.50,,,5.75,,,12/2015,,,3924,,,,3902,,,,0.5,,,,3924,,,,,
105,"Vintage Parts, Inc.*",,One stop,,L + 4.50,,,5.75,,,12/2015,,,54,,,,54,,,,-,,,,54,,,,,
106,"Vintage Parts, Inc.*",,One stop,,L + 4.50,,,5.75,,,12/2015,,,820,,,,823,,,,0.1,,,,820,,,,,
107,,,,,,,,,,,,,,76507,,,,75422,,,,10.3,,,,75959,,,,,
108,Diversified Conglomerate  Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,"Accellos, Inc.  (3)",,One stop,,L + 5.75,,,N/A,(4),,07/2020,,,-,,,,(19,,,,-,,,,-,,,,,
110,"Accellos, Inc.^",,One stop,,L + 5.75,,,6.76,,,07/2020,,,31035,,,,30679,,,,4.2,,,,31035,,,,,
111,"Aderant North America, Inc.*",,Senior loan,,L + 4.25,,,5.25,,,12/2018,,,4220,,,,4192,,,,0.6,,,,4220,,,,,
112,Agility Recovery Solutions Inc.  (3),,One stop,,L + 6.75,,,N/A,(4),,09/2018,,,-,,,,(5,,,,-,,,,-,,,,,
113,Agility Recovery Solutions Inc.*,,One stop,,L + 6.75,,,8.00,,,09/2018,,,8076,,,,7952,,,,1.1,,,,8076,,,,,
114,Bomgar Corporation  (3),,One stop,,L + 6.00,,,N/A,(4),,05/2019,,,-,,,,(17,,,,-,,,,-,,,,,
115,Bomgar Corporation*,,One stop,,L + 6.00,,,7.00,,,05/2020,,,29350,,,,28886,,,,4.0,,,,29350,,,,,
116,"Daxko, LLC  (3)",,One stop,,L + 7.75,,,N/A,(4),,03/2019,,,-,,,,(22,,,,-,,,,-,,,,,
117,"Daxko, LLC",,One stop,,L + 7.75,,,8.75,,,03/2019,,,16840,,,,16579,,,,2.3,,,,16840,,,,,
118,DISA Holdings Acquisition Subsidiary Corp.,,Senior loan,,P + 3.50,,,6.75,,,12/2020,,,138,,,,127,,,,-,,,,127,,,,,
119,DISA Holdings Acquisition Subsidiary Corp.^,,Senior loan,,P + 3.50,,,6.75,,,12/2020,,,4637,,,,4592,,,,0.6,,,,4591,,,,,
120,"Integration Appliance, Inc.",,One stop,,L + 8.25,,,9.50,,,09/2018,,,719,,,,711,,,,0.1,,,,719,,,,,
121,"Integration Appliance, Inc.",,One stop,,L + 8.25,,,9.50,,,09/2018,,,5396,,,,5295,,,,0.7,,,,5396,,,,,
122,"Integration Appliance, Inc.",,One stop,,L + 8.25,,,9.50,,,06/2019,,,7914,,,,7737,,,,1.1,,,,7914,,,,,
123,"Marathon Data Operating Co., LLC  (3)",,One stop,,L + 6.25,,,N/A,(4),,08/2017,,,-,,,,(6,,,,-,,,,-,,,,,
124,"Marathon Data Operating Co., LLC",,One stop,,L + 6.25,,,7.50,,,08/2017,,,4584,,,,4523,,,,0.6,,,,4584,,,,,
125,"NetSmart Technologies, Inc.*",,One stop,,L + 7.52,,,8.77,,,12/2017,,,8014,,,,7964,,,,1.1,,,,8014,,,,,
126,"NetSmart Technologies, Inc.",,One stop,,L + 7.48,,,8.73,,,12/2017,,,633,,,,629,,,,0.1,,,,633,,,,,
127,"PC Helps Support, LLC  (3)",,Senior loan,,L + 5.25,,,N/A,(4),,09/2017,,,-,,,,(2,,,,-,,,,-,,,,,
128,"PC Helps Support, LLC",,Senior loan,,L + 5.00,,,6.28,,,09/2017,,,1674,,,,1661,,,,0.2,,,,1674,,,,,
129,"Secure-24, LLC  (3)",,One stop,,L + 6.00,,,N/A,(4),,08/2017,,,-,,,,(4,,,,-,,,,-,,,,,
130,"Secure-24, LLC*",,One stop,,L + 6.00,,,7.25,,,08/2017,,,10406,,,,10239,,,,1.4,,,,10406,,,,,
131,"Secure-24, LLC^",,One stop,,L + 6.00,,,7.25,,,08/2017,,,1522,,,,1505,,,,0.2,,,,1522,,,,,
132,"SoftWriters, Inc.  (3)",,One stop,,L + 4.75,,,N/A,(4),,05/2019,,,-,,,,(2,,,,-,,,,(5,,,,,
133,"SoftWriters, Inc.  (3)",,One stop,,L + 4.75,,,N/A,(4),,05/2019,,,-,,,,(3,,,,-,,,,(9,,,,,
134,"SoftWriters, Inc.",,One stop,,L + 4.75,,,5.75,,,05/2019,,,6395,,,,6372,,,,0.9,,,,6331,,,,,
135,"Source Medical Solutions, Inc.",,Second Lien,,L + 8.00,,,9.00,,,03/2018,,,9294,,,,9157,,,,1.2,,,,9015,,,,,
136,"Vendavo, Inc.  (3)",,One stop,,L + 8.50,,,N/A,(4),,10/2019,,,-,,,,(15,,,,-,,,,(16,,,,,
137,"Vendavo, Inc.",,One stop,,L + 8.50,,,9.50,,,10/2019,,,15501,,,,15167,,,,2.1,,,,15308,,,,,
138,,,,,,,,,,,,,,166348,,,,163872,,,,22.5,,,,165725,,,,,
139,,,,,Spread,,,,,,,,,,,,,Percentage,,,,,,,,,,,,,
140,,,Investment,,Above,,Interest,,,Maturity,,Principal / Par,,,,,,of,,,Fair,,,,,,,,,,
141,,,Type,,Index  (1),,Rate  (2),,,Date,,Amount,,,Cost,,,Net Assets,,,Value,,,,,,,,,,
142,Electronics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,"Appriss Holdings, Inc.  (3)",,Senior loan,,L + 4.75,,,5.75,,,11/2020,,,36,,,,(7,,,,-,,,,7,,,,,
144,"Appriss Holdings, Inc.*",,Senior loan,,L + 4.75,,,5.75,,,11/2020,,,18190,,,,17922,,,,2.5,,,,18008,,,,,
145,"ECI Acquisition Holdings, Inc.  (3)",,One stop,,L + 6.25,,,N/A,(4),,03/2019,,,-,,,,(16,,,,-,,,,-,,,,,
146,"ECI Acquisition Holdings, Inc.^",,One stop,,L + 6.25,,,8.00,,,03/2019,,,22159,,,,21810,,,,3.0,,,,22159,,,,,
147,"ECI Acquisition Holdings, Inc.  (3)",,One stop,,L + 6.25,,,N/A,(4),,03/2019,,,-,,,,(75,,,,-,,,,-,,,,,
148,"Rogue Wave Holdings, Inc.*^",,One stop,,L + 9.04,,,10.04,,,12/2018,,,10481,,,,10374,,,,1.4,,,,10481,,,,,
149,"Sloan Company, Inc., The  (3)",,One stop,,L + 7.50,,,N/A,(4),,10/2018,,,-,,,,(13,,,,-,,,,-,,,,,
150,"Sloan Company, Inc., The*^",,One stop,,L + 7.50,,,8.75,,,10/2018,,,12943,,,,12820,,,,1.8,,,,12943,,,,,
151,Sparta Holding Corporation  (3),,One stop,,L + 5.25,,,N/A,(4),,07/2020,,,-,,,,(35,,,,-,,,,-,,,,,
152,Sparta Holding Corporation*^,,One stop,,L + 6.75,,,6.25  cash/1.50 PIK,,,07/2020,,,23299,,,,23031,,,,3.2,,,,23299,,,,,
153,Syncsort Incorporated  (3),,Senior loan,,L + 4.75,,,N/A,(4),,03/2019,,,-,,,,(3,,,,-,,,,-,,,,,
154,Syncsort Incorporated  (3),,Senior loan,,L + 4.75,,,N/A,(4),,03/2019,,,-,,,,(12,,,,-,,,,-,,,,,
155,Syncsort Incorporated*,,Senior loan,,L + 4.75,,,5.75,,,03/2019,,,6127,,,,6076,,,,0.8,,,,6127,,,,,
156,"Systems Maintenance Services Holding, Inc.^",,Senior loan,,L + 4.00,,,5.00,,,10/2019,,,2643,,,,2633,,,,0.4,,,,2643,,,,,
157,"Taxware, LLC*^",,Second Lien,,L + 8.38,,,9.38,,,10/2019,,,19979,,,,19694,,,,2.7,,,,19979,,,,,
158,"Watchfire Enterprises,  Inc.",,Second Lien,,L + 8.00,,,9.00,,,10/2021,,,9435,,,,9276,,,,1.3,,,,9435,,,,,
159,,,,,,,,,,,,,,125292,,,,123475,,,,17.1,,,,125081,,,,,
160,Finance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,"Ascensus, Inc.  (3)",,One stop,,L + 4.00,,,N/A,(4),,11/2018,,,-,,,,(15,,,,-,,,,-,,,,,
162,"Ascensus, Inc.^",,One stop,,L + 4.00,,,5.00,,,12/2019,,,4182,,,,4113,,,,0.6,,,,4182,,,,,
163,"Ascensus, Inc.^",,One stop,,L + 8.00,,,9.00,,,12/2020,,,6337,,,,6149,,,,0.9,,,,6337,,,,,
164,Pillar Processing LLC*  (6),,Senior loan,,L + 5.50,,,5.73,,,11/2018,,,447,,,,445,,,,-,,,,-,,,,,
165,Pillar Processing LLC*  (6),,Senior loan,,N/A,,,14.50,,,05/2019,,,2377,,,,2368,,,,-,,,,-,,,,,
166,,,,,,,,,,,,,,13343,,,,13060,,,,1.5,,,,10519,,,,,
167,Grocery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,"MyWebGrocer, Inc.  (3)",,One stop,,L + 8.75,,,N/A,(4),,05/2018,,,-,,,,(15,,,,-,,,,-,,,,,
169,"MyWebGrocer, Inc.^",,One stop,,L + 8.75,,,6.00  cash/4.00 PIK,,,05/2018,,,14271,,,,14072,,,,1.9,,,,14271,,,,,
170,"Teasdale Quality Foods,  Inc.*",,Senior loan,,L + 4.25,,,5.25,,,10/2020,,,4686,,,,4595,,,,0.6,,,,4593,,,,,
171,,,,,,,,,,,,,,18957,,,,18652,,,,2.5,,,,18864,,,,,
172,"Healthcare, Education and  Childcare",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,"Advanced Pain Management Holdings, Inc.  (3)",,Senior loan,,L + 5.00,,,N/A,(4),,02/2018,,,-,,,,(7,,,,-,,,,-,,,,,
174,"Advanced Pain Management Holdings, Inc.*",,Senior loan,,L + 5.00,,,6.25,,,02/2018,,,7084,,,,7039,,,,1.0,,,,7084,,,,,
175,"Advanced Pain Management Holdings, Inc.",,Senior loan,,L + 5.00,,,6.25,,,02/2018,,,485,,,,480,,,,0.1,,,,485,,,,,
176,"Agilitas USA, Inc.^",,Senior loan,,L + 4.00,,,5.00,,,10/2020,,,2464,,,,2441,,,,0.3,,,,2440,,,,,
177,"Avatar International, LLC  (3)",,One stop,,L + 4.94,,,N/A,(4),,09/2016,,,-,,,,(3,,,,-,,,,-,,,,,
178,"Avatar International, LLC*",,One stop,,L + 7.89,,,6.19  cash/2.95 PIK,,,09/2016,,,7633,,,,7589,,,,0.7,,,,4961,,,,,
179,"Avatar International, LLC",,One stop,,L + 7.89,,,6.19  cash/2.95 PIK,,,09/2016,,,1647,,,,1640,,,,0.1,,,,1070,,,,,
180,"California Cryobank, LLC",,One stop,,P + 4.25,,,7.50,,,08/2019,,,86,,,,84,,,,-,,,,86,,,,,
181,"California Cryobank, LLC^",,One stop,,L + 5.50,,,6.50,,,08/2019,,,1550,,,,1536,,,,0.2,,,,1550,,,,,
182,"California Cryobank, LLC",,One stop,,L + 5.50,,,6.50,,,08/2019,,,43,,,,41,,,,-,,,,43,,,,,
183,Certara L.P.,,One stop,,P + 5.00,,,8.25,,,12/2018,,,1027,,,,1010,,,,0.1,,,,1027,,,,,
184,Certara L.P.*^,,One stop,,L + 6.25,,,7.25,,,12/2018,,,26760,,,,26446,,,,3.6,,,,26760,,,,,
185,"CLP Healthcare Services, Inc.^",,Senior loan,,L + 4.75,,,5.75,,,12/2020,,,4451,,,,4406,,,,0.6,,,,4429,,,,,
186,"CPI Buyer, LLC (Cole-Parmer)*^",,Senior loan,,L + 4.50,,,5.50,,,08/2021,,,14000,,,,13475,,,,1.9,,,,13790,,,,,
187,Data Innovations LLC,,One stop,,L + 7.74,,,8.74,,,05/2019,,,8778,,,,8607,,,,1.2,,,,8778,,,,,
188,Delta Educational Systems*,,Senior loan,,P + 4.75,,,8.00,,,12/2016,,,1646,,,,1629,,,,0.2,,,,1580,,,,,
189,Delta Educational Systems  (3),,Senior loan,,L + 6.00,,,N/A,(4),,12/2016,,,-,,,,-,,,,-,,,,(3,,,,,
190,"Encore Rehabilitation Services, LLC  (3)",,One stop,,L + 6.00,,,N/A,(4),,06/2017,,,-,,,,(8,,,,-,,,,-,,,,,
191,"Encore Rehabilitation Services, LLC",,One stop,,L + 6.00,,,7.25,,,06/2017,,,4936,,,,4870,,,,0.7,,,,4936,,,,,
192,"G & H Wire Company, Inc.  (3)",,Senior loan,,L + 5.75,,,N/A,(4),,12/2017,,,-,,,,(6,,,,-,,,,-,,,,,
193,"G & H Wire Company, Inc.*^",,Senior loan,,L + 5.75,,,6.75,,,12/2017,,,12870,,,,12746,,,,1.8,,,,12870,,,,,
194,"Global Healthcare Exchange, LLC  (3)",,One stop,,L + 7.50,,,N/A,(4),,03/2020,,,-,,,,(22,,,,-,,,,(38,,,,,
195,"Global Healthcare Exchange, LLC*^",,One stop,,L + 7.50,,,8.50,,,03/2020,,,37161,,,,36314,,,,5.0,,,,36604,,,,,
196,GSDM Holdings Corp.,,Senior loan,,L + 4.25,,,5.32,,,06/2019,,,767,,,,764,,,,0.1,,,,767,,,,,
197,"IntegraMed America, Inc.",,One stop,,L + 7.25,,,8.50,,,09/2017,,,406,,,,396,,,,0.1,,,,406,,,,,
198,"IntegraMed America, Inc.*^",,One stop,,L + 7.25,,,8.50,,,09/2017,,,15095,,,,14906,,,,2.1,,,,15095,,,,,
199,"Joerns Healthcare, LLC",,One stop,,L + 5.00,,,6.00,,,05/2020,,,9770,,,,9682,,,,1.3,,,,9660,,,,,
200,"Maverick Healthcare Group, LLC*",,Senior loan,,L + 5.50,,,7.25,,,12/2016,,,1979,,,,1957,,,,0.3,,,,1939,,,,,
201,"Northwestern Management Services, LLC",,Senior loan,,P + 4.00,,,7.25,,,10/2017,,,114,,,,105,,,,-,,,,114,,,,,
202,"Northwestern Management Services, LLC*",,Senior loan,,L + 5.25,,,6.50,,,10/2017,,,3952,,,,3906,,,,0.5,,,,3952,,,,,
203,"Northwestern Management Services, LLC",,Senior loan,,L + 5.25,,,6.50,,,10/2017,,,47,,,,44,,,,-,,,,47,,,,,
