,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
17,,,,,,,,,,,49436,,,48703,,,4.8,,,46607,,,,,
18,Automobile,,,,,,,,,,,,,,,,,,,,,,,,
19,Dent Wizard International Corporation  *,Senior loan,,L + 4.00,(a),,5.88,,04/2020,,4500,,,4481,,,0.5,,,4500,,,,,
20,"Grease Monkey International, LLC  *^",Senior loan,,L + 5.00,(a),,6.89,,11/2022,,4887,,,4831,,,0.5,,,4887,,,,,
<<<<<<< HEAD
21,"Grease Monkey International, LLC",Senior loan,,P + 4.00,(a)(e),,8.15,,11/2022,,32,,,31,,,0,,,32,,,,,
22,"Grease Monkey International, LLC  (5)",Senior loan,,L + 5.00,,,N/A  (6),,11/2022,,0,,,(1,,,0,,,0,,,,,
23,T5 Merger Corporation  *^,One stop,,L + 6.50,(a),,8.16,,03/2022,,4359,,,4298,,,0.5,,,4272,,,,,
24,T5 Merger Corporation  *,One stop,,L + 6.50,(a),,8.16,,03/2022,,190,,,188,,,0,,,186,,,,,
25,T5 Merger Corporation,One stop,,L + 6.50,(a),,8.32,,03/2022,,98,,,96,,,0,,,95,,,,,
26,T5 Merger Corporation  *,One stop,,L + 6.50,(a),,8.16,,03/2022,,60,,,59,,,0,,,59,,,,,
27,,,,,,,,,,,14126,,,13983,,,1.5,,,14031,,,,,
28,"Beverage, Food and Tobacco",,,,,,,,,,,,,,,,,,,,,,,,
29,"Abita Brewing Co., L.L.C.",One stop,,L + 5.75,(a),,7.64,,04/2021,,7454,,,7364,,,0.8,,,7454,,,,,
30,"Abita Brewing Co., L.L.C.  (5)",One stop,,L + 5.75,,,N/A  (6),,04/2021,,0,,,(1,,,0,,,0,,,,,
=======
21,"Grease Monkey International, LLC",Senior loan,,P + 4.00,(a)(e),,8.15,,11/2022,,32,,,31,,,-,,,32,,,,,
22,"Grease Monkey International, LLC  (5)",Senior loan,,L + 5.00,,,N/A  (6),,11/2022,,-,,,(1,,,-,,,-,,,,,
23,T5 Merger Corporation  *^,One stop,,L + 6.50,(a),,8.16,,03/2022,,4359,,,4298,,,0.5,,,4272,,,,,
24,T5 Merger Corporation  *,One stop,,L + 6.50,(a),,8.16,,03/2022,,190,,,188,,,-,,,186,,,,,
25,T5 Merger Corporation,One stop,,L + 6.50,(a),,8.32,,03/2022,,98,,,96,,,-,,,95,,,,,
26,T5 Merger Corporation  *,One stop,,L + 6.50,(a),,8.16,,03/2022,,60,,,59,,,-,,,59,,,,,
27,,,,,,,,,,,14126,,,13983,,,1.5,,,14031,,,,,
28,"Beverage, Food and Tobacco",,,,,,,,,,,,,,,,,,,,,,,,
29,"Abita Brewing Co., L.L.C.",One stop,,L + 5.75,(a),,7.64,,04/2021,,7454,,,7364,,,0.8,,,7454,,,,,
30,"Abita Brewing Co., L.L.C.  (5)",One stop,,L + 5.75,,,N/A  (6),,04/2021,,-,,,(1,,,-,,,-,,,,,
>>>>>>> GSBD
31,"Benihana, Inc.  *^",One stop,,L + 7.00,(c)(e),,9.13,,01/2019,,16018,,,15925,,,1.7,,,16018,,,,,
32,"Benihana, Inc.",One stop,,L + 7.00,(a)(e),,9.49,,07/2018,,1726,,,1721,,,0.2,,,1726,,,,,
33,"C. J. Foods, Inc.  *^#",One stop,,L + 6.25,(c),,8.02,,05/2020,,8625,,,8551,,,0.9,,,8538,,,,,
34,"C. J. Foods, Inc.  ^",One stop,,L + 6.25,(c),,8.02,,05/2019,,653,,,649,,,0.1,,,646,,,,,
<<<<<<< HEAD
35,"C. J. Foods, Inc.",One stop,,L + 6.25,(c),,8.05,,05/2019,,86,,,83,,,0,,,80,,,,,
36,"Cafe Rio Holding, Inc.  ^",One stop,,L + 5.75,(a),,7.64,,09/2023,,10423,,,10257,,,1.1,,,10423,,,,,
37,"Cafe Rio Holding, Inc.",One stop,,L + 5.75,(c),,7.52,,09/2023,,40,,,35,,,0,,,40,,,,,
38,"Cafe Rio Holding, Inc.",One stop,,P + 4.75,(e),,9.50,,09/2023,,35,,,33,,,0,,,35,,,,,
39,"Firebirds International, LLC  *",One stop,,L + 5.75,(c),,7.42,,12/2018,,1057,,,1054,,,0.1,,,1057,,,,,
40,"Firebirds International, LLC  *",One stop,,L + 5.75,(c),,7.42,,12/2018,,297,,,296,,,0,,,297,,,,,
41,"Firebirds International, LLC  ^",One stop,,L + 5.75,(c),,7.42,,12/2018,,95,,,95,,,0,,,95,,,,,
42,"Firebirds International, LLC",One stop,,L + 5.75,,,N/A  (6),,12/2018,,0,,,0,,,0,,,0,,,,,
43,"Firebirds International, LLC",One stop,,L + 5.75,,,N/A  (6),,12/2018,,0,,,0,,,0,,,0,,,,,
44,"Flavor Producers, LLC  #",Senior loan,,L + 4.75,(c),,6.71,,12/2023,,2166,,,2135,,,0.2,,,2166,,,,,
45,"Flavor Producers, LLC",Senior loan,,L + 4.75,(c),,6.71,,12/2022,,4,,,3,,,0,,,4,,,,,
46,FWR Holding Corporation  ^,One stop,,L + 6.00,(d),,7.66,,08/2023,,5299,,,5227,,,0.6,,,5299,,,,,
47,FWR Holding Corporation,One stop,,L + 6.00,(b)(c),,7.62,,08/2023,,65,,,63,,,0,,,65,,,,,
48,FWR Holding Corporation,One stop,,P + 5.00,(c)(e),,9.24,,08/2023,,30,,,29,,,0,,,30,,,,,
49,"Global Franchise Group, LLC  *",Senior loan,,L + 5.75,(c),,8.05,,12/2019,,3392,,,3367,,,0.4,,,3392,,,,,
50,"Global Franchise Group, LLC",Senior loan,,L + 5.75,,,N/A  (6),,12/2019,,0,,,0,,,0,,,0,,,,,
51,Global ID Corporation#,One stop,,L + 6.50,(c),,8.68,,11/2021,,5170,,,5123,,,0.5,,,5170,,,,,
52,Global ID Corporation,One stop,,L + 6.50,,,N/A  (6),,11/2021,,0,,,0,,,0,,,0,,,,,
53,Global ID Corporation  (5),One stop,,L + 6.50,,,N/A  (6),,11/2021,,0,,,(2,,,0,,,0,,,,,
54,,Investment  Type,,Spread  Above  Index  (1),,Interest  Rate  (2),,Maturity  Date,,Principal ($) /  Shares  (3),,Amortized Cost,,Percentage  of Net  Assets,,Fair  Value  (4),,,,,,,,,
55,"Beverage, Food and Tobacco - (continued)",,,,,,,,,,,,,,,,,,,,,,,,
56,"Hopdoddy Holdings, LLC",One stop,,L + 8.00,(c),,9.98,,08/2020,,,1315,,,,1306,,,0.1,,,,1315,,
57,"Hopdoddy Holdings, LLC",One stop,,L + 8.00,(c),,10.01,,08/2020,,3,,,2,,,0,,,3,,,,,
58,"Hopdoddy Holdings, LLC  (5)",One stop,,L + 8.00,,,N/A  (6),,08/2020,,0,,,(1,,,0,,,(1,,,,,
59,"Mid-America Pet Food, L.L.C.  ^#",One stop,,L + 6.00,(b),,8.00,,12/2021,,10806,,,10704,,,1.1,,,10725,,,,,
60,"Mid-America Pet Food, L.L.C.  (5)",One stop,,L + 6.00,,,N/A  (6),,12/2021,,0,,,(1,,,0,,,(1,,,,,
61,"NBC Intermediate, LLC  ^",Senior loan,,L + 4.50,(a),,6.39,,09/2023,,2138,,,2118,,,0.2,,,2138,,,,,
62,"NBC Intermediate, LLC",Senior loan,,P + 3.50,(e),,8.25,,09/2023,,1,,,1,,,0,,,1,,,,,
63,"Purfoods, LLC",One stop,,L + 6.00,(c),,7.98,,05/2021,,8517,,,8386,,,0.9,,,8517,,,,,
64,"Purfoods, LLC",One stop,,No Value,,,7.00 PIK,,05/2026,,109,,,109,,,0,,,115,,,,,
65,"Purfoods, LLC",One stop,,L + 6.00,(c),,7.87,,05/2021,,40,,,40,,,0,,,40,,,,,
66,"Purfoods, LLC",One stop,,L + 6.00,(a),,7.79,,05/2021,,40,,,39,,,0,,,40,,,,,
67,"Purfoods, LLC",One stop,,L + 6.00,(c),,8.31,,05/2021,,24,,,24,,,0,,,24,,,,,
68,"Purfoods, LLC",One stop,,L + 6.00,(c),,8.31,,05/2021,,15,,,15,,,0,,,15,,,,,
69,"Purfoods, LLC",One stop,,L + 6.00,(c),,8.31,,05/2021,,15,,,15,,,0,,,15,,,,,
70,"Purfoods, LLC",One stop,,L + 6.00,(c),,8.31,,05/2021,,14,,,14,,,0,,,14,,,,,
71,"Purfoods, LLC",One stop,,L + 6.00,(c),,8.31,,05/2021,,11,,,11,,,0,,,11,,,,,
72,"Purfoods, LLC",One stop,,L + 6.00,(c),,8.31,,05/2021,,11,,,11,,,0,,,11,,,,,
73,"Purfoods, LLC",One stop,,L + 6.00,(c),,8.31,,05/2021,,10,,,10,,,0,,,10,,,,,
74,"Purfoods, LLC  (5)",One stop,,L + 6.00,,,N/A  (6),,05/2021,,0,,,(1,,,0,,,(2,,,,,
75,"Restaurant Holding Company, LLC  #",Senior loan,,L + 7.75,(a),,9.63,,02/2019,,3975,,,3966,,,0.4,,,3975,,,,,
76,"Rubio's Restaurants, Inc.  *^",Senior loan,,L + 5.25,(c),,7.56,,10/2019,,11231,,,10973,,,1.2,,,11231,,,,,
77,Smashburger Finance LLC,Senior loan,,L + 5.50,(c),,7.50,,05/2018,,78,,,78,,,0,,,78,,,,,
78,Smashburger Finance LLC,Senior loan,,L + 5.50,,,N/A  (6),,05/2018,,0,,,0,,,0,,,0,,,,,
=======
35,"C. J. Foods, Inc.",One stop,,L + 6.25,(c),,8.05,,05/2019,,86,,,83,,,-,,,80,,,,,
36,"Cafe Rio Holding, Inc.  ^",One stop,,L + 5.75,(a),,7.64,,09/2023,,10423,,,10257,,,1.1,,,10423,,,,,
37,"Cafe Rio Holding, Inc.",One stop,,L + 5.75,(c),,7.52,,09/2023,,40,,,35,,,-,,,40,,,,,
38,"Cafe Rio Holding, Inc.",One stop,,P + 4.75,(e),,9.50,,09/2023,,35,,,33,,,-,,,35,,,,,
39,"Firebirds International, LLC  *",One stop,,L + 5.75,(c),,7.42,,12/2018,,1057,,,1054,,,0.1,,,1057,,,,,
40,"Firebirds International, LLC  *",One stop,,L + 5.75,(c),,7.42,,12/2018,,297,,,296,,,-,,,297,,,,,
41,"Firebirds International, LLC  ^",One stop,,L + 5.75,(c),,7.42,,12/2018,,95,,,95,,,-,,,95,,,,,
42,"Firebirds International, LLC",One stop,,L + 5.75,,,N/A  (6),,12/2018,,-,,,-,,,-,,,-,,,,,
43,"Firebirds International, LLC",One stop,,L + 5.75,,,N/A  (6),,12/2018,,-,,,-,,,-,,,-,,,,,
44,"Flavor Producers, LLC  #",Senior loan,,L + 4.75,(c),,6.71,,12/2023,,2166,,,2135,,,0.2,,,2166,,,,,
45,"Flavor Producers, LLC",Senior loan,,L + 4.75,(c),,6.71,,12/2022,,4,,,3,,,-,,,4,,,,,
46,FWR Holding Corporation  ^,One stop,,L + 6.00,(d),,7.66,,08/2023,,5299,,,5227,,,0.6,,,5299,,,,,
47,FWR Holding Corporation,One stop,,L + 6.00,(b)(c),,7.62,,08/2023,,65,,,63,,,-,,,65,,,,,
48,FWR Holding Corporation,One stop,,P + 5.00,(c)(e),,9.24,,08/2023,,30,,,29,,,-,,,30,,,,,
49,"Global Franchise Group, LLC  *",Senior loan,,L + 5.75,(c),,8.05,,12/2019,,3392,,,3367,,,0.4,,,3392,,,,,
50,"Global Franchise Group, LLC",Senior loan,,L + 5.75,,,N/A  (6),,12/2019,,-,,,-,,,-,,,-,,,,,
51,Global ID Corporation#,One stop,,L + 6.50,(c),,8.68,,11/2021,,5170,,,5123,,,0.5,,,5170,,,,,
52,Global ID Corporation,One stop,,L + 6.50,,,N/A  (6),,11/2021,,-,,,-,,,-,,,-,,,,,
53,Global ID Corporation  (5),One stop,,L + 6.50,,,N/A  (6),,11/2021,,-,,,(2,,,-,,,-,,,,,
54,,Investment  Type,,Spread  Above  Index  (1),,Interest  Rate  (2),,Maturity  Date,,Principal ($) /  Shares  (3),,Amortized Cost,,Percentage  of Net  Assets,,Fair  Value  (4),,,,,,,,,
55,"Beverage, Food and Tobacco - (continued)",,,,,,,,,,,,,,,,,,,,,,,,
56,"Hopdoddy Holdings, LLC",One stop,,L + 8.00,(c),,9.98,,08/2020,,,1315,,,,1306,,,0.1,,,,1315,,
57,"Hopdoddy Holdings, LLC",One stop,,L + 8.00,(c),,10.01,,08/2020,,3,,,2,,,-,,,3,,,,,
58,"Hopdoddy Holdings, LLC  (5)",One stop,,L + 8.00,,,N/A  (6),,08/2020,,-,,,(1,,,-,,,(1,,,,,
59,"Mid-America Pet Food, L.L.C.  ^#",One stop,,L + 6.00,(b),,8.00,,12/2021,,10806,,,10704,,,1.1,,,10725,,,,,
60,"Mid-America Pet Food, L.L.C.  (5)",One stop,,L + 6.00,,,N/A  (6),,12/2021,,-,,,(1,,,-,,,(1,,,,,
61,"NBC Intermediate, LLC  ^",Senior loan,,L + 4.50,(a),,6.39,,09/2023,,2138,,,2118,,,0.2,,,2138,,,,,
62,"NBC Intermediate, LLC",Senior loan,,P + 3.50,(e),,8.25,,09/2023,,1,,,1,,,-,,,1,,,,,
63,"Purfoods, LLC",One stop,,L + 6.00,(c),,7.98,,05/2021,,8517,,,8386,,,0.9,,,8517,,,,,
64,"Purfoods, LLC",One stop,,N/A,,,7.00 PIK,,05/2026,,109,,,109,,,-,,,115,,,,,
65,"Purfoods, LLC",One stop,,L + 6.00,(c),,7.87,,05/2021,,40,,,40,,,-,,,40,,,,,
66,"Purfoods, LLC",One stop,,L + 6.00,(a),,7.79,,05/2021,,40,,,39,,,-,,,40,,,,,
67,"Purfoods, LLC",One stop,,L + 6.00,(c),,8.31,,05/2021,,24,,,24,,,-,,,24,,,,,
68,"Purfoods, LLC",One stop,,L + 6.00,(c),,8.31,,05/2021,,15,,,15,,,-,,,15,,,,,
69,"Purfoods, LLC",One stop,,L + 6.00,(c),,8.31,,05/2021,,15,,,15,,,-,,,15,,,,,
70,"Purfoods, LLC",One stop,,L + 6.00,(c),,8.31,,05/2021,,14,,,14,,,-,,,14,,,,,
71,"Purfoods, LLC",One stop,,L + 6.00,(c),,8.31,,05/2021,,11,,,11,,,-,,,11,,,,,
72,"Purfoods, LLC",One stop,,L + 6.00,(c),,8.31,,05/2021,,11,,,11,,,-,,,11,,,,,
73,"Purfoods, LLC",One stop,,L + 6.00,(c),,8.31,,05/2021,,10,,,10,,,-,,,10,,,,,
74,"Purfoods, LLC  (5)",One stop,,L + 6.00,,,N/A  (6),,05/2021,,-,,,(1,,,-,,,(2,,,,,
75,"Restaurant Holding Company, LLC  #",Senior loan,,L + 7.75,(a),,9.63,,02/2019,,3975,,,3966,,,0.4,,,3975,,,,,
76,"Rubio's Restaurants, Inc.  *^",Senior loan,,L + 5.25,(c),,7.56,,10/2019,,11231,,,10973,,,1.2,,,11231,,,,,
77,Smashburger Finance LLC,Senior loan,,L + 5.50,(c),,7.50,,05/2018,,78,,,78,,,-,,,78,,,,,
78,Smashburger Finance LLC,Senior loan,,L + 5.50,,,N/A  (6),,05/2018,,-,,,-,,,-,,,-,,,,,
>>>>>>> GSBD
79,"Tate's Bake Shop, Inc.  ^",One stop,,L + 6.25,(c),,8.56,,08/2019,,4303,,,4253,,,0.4,,,4303,,,,,
80,Uinta Brewing Company  ^,One stop,,L + 8.50,(a),,10.39,,08/2019,,3725,,,3714,,,0.4,,,3725,,,,,
81,Uinta Brewing Company,One stop,,L + 8.50,(a),,10.39,,08/2019,,693,,,690,,,0.1,,,693,,,,,
82,,,,,,,,,,,109709,,,108483,,,11.4,,,109530,,,,,
83,Broadcasting and Entertainment,,,,,,,,,,,,,,,,,,,,,,,,
84,"TouchTunes Interactive Networks, Inc.  ^",Senior loan,,L + 4.75,(a),,6.63,,05/2021,,1455,,,1451,,,0.2,,,1468,,,,,
85,Buildings and Real Estate,,,,,,,,,,,,,,,,,,,,,,,,
86,"Brooks Equipment Company, LLC  *^",One stop,,L + 5.00,(c),,6.99,,08/2020,,21470,,,21343,,,2.2,,,21470,,,,,
87,"Brooks Equipment Company, LLC  *",One stop,,L + 5.00,(c),,6.97,,08/2020,,5005,,,4979,,,0.5,,,5005,,,,,
<<<<<<< HEAD
88,"Brooks Equipment Company, LLC  (5)",One stop,,L + 5.00,,,N/A  (6),,08/2020,,0,,,(8,,,0,,,0,,,,,
89,"Jensen Hughes, Inc.  #",Senior loan,,L + 4.50,(b),,6.46,,03/2024,,500,,,497,,,0.1,,,497,,,,,
90,"Jensen Hughes, Inc.  #",Senior loan,,L + 4.50,(c),,6.27,,03/2024,,153,,,151,,,0,,,152,,,,,
91,"Jensen Hughes, Inc.",Senior loan,,L + 4.50,,,N/A  (6),,03/2024,,0,,,0,,,0,,,0,,,,,
92,MRI Software LLC  ^,One stop,,L + 6.25,(c),,8.56,,06/2023,,23803,,,23248,,,2.5,,,23803,,,,,
93,MRI Software LLC  *^,One stop,,L + 6.25,(c),,8.56,,06/2023,,13814,,,13688,,,1.4,,,13814,,,,,
94,MRI Software LLC  ^,One stop,,L + 6.25,(c),,8.56,,06/2023,,359,,,356,,,0.1,,,359,,,,,
95,MRI Software LLC  #,One stop,,L + 6.25,(c),,8.56,,06/2023,,195,,,193,,,0,,,195,,,,,
96,MRI Software LLC  ^,One stop,,L + 6.25,(c),,8.36,,06/2023,,166,,,164,,,0,,,166,,,,,
97,MRI Software LLC,One stop,,L + 6.25,(c),,8.28,,06/2023,,25,,,22,,,0,,,25,,,,,
98,MRI Software LLC  (5),One stop,,L + 6.00,,,N/A  (6),,06/2023,,0,,,(6,,,0,,,0,,,,,
99,,,,,,,,,,,65490,,,64627,,,6.8,,,65486,,,,,
100,"Chemicals, Plastics and Rubber",,,,,,,,,,,,,,,,,,,,,,,,
101,"Flexan, LLC  *",One stop,,L + 5.75,(c),,8.06,,02/2020,,2322,,,2308,,,0.2,,,2322,,,,,
102,"Flexan, LLC",One stop,,P + 4.50,(e),,9.25,,02/2020,,17,,,17,,,0,,,17,,,,,
=======
88,"Brooks Equipment Company, LLC  (5)",One stop,,L + 5.00,,,N/A  (6),,08/2020,,-,,,(8,,,-,,,-,,,,,
89,"Jensen Hughes, Inc.  #",Senior loan,,L + 4.50,(b),,6.46,,03/2024,,500,,,497,,,0.1,,,497,,,,,
90,"Jensen Hughes, Inc.  #",Senior loan,,L + 4.50,(c),,6.27,,03/2024,,153,,,151,,,-,,,152,,,,,
91,"Jensen Hughes, Inc.",Senior loan,,L + 4.50,,,N/A  (6),,03/2024,,-,,,-,,,-,,,-,,,,,
92,MRI Software LLC  ^,One stop,,L + 6.25,(c),,8.56,,06/2023,,23803,,,23248,,,2.5,,,23803,,,,,
93,MRI Software LLC  *^,One stop,,L + 6.25,(c),,8.56,,06/2023,,13814,,,13688,,,1.4,,,13814,,,,,
94,MRI Software LLC  ^,One stop,,L + 6.25,(c),,8.56,,06/2023,,359,,,356,,,0.1,,,359,,,,,
95,MRI Software LLC  #,One stop,,L + 6.25,(c),,8.56,,06/2023,,195,,,193,,,-,,,195,,,,,
96,MRI Software LLC  ^,One stop,,L + 6.25,(c),,8.36,,06/2023,,166,,,164,,,-,,,166,,,,,
97,MRI Software LLC,One stop,,L + 6.25,(c),,8.28,,06/2023,,25,,,22,,,-,,,25,,,,,
98,MRI Software LLC  (5),One stop,,L + 6.00,,,N/A  (6),,06/2023,,-,,,(6,,,-,,,-,,,,,
99,,,,,,,,,,,65490,,,64627,,,6.8,,,65486,,,,,
100,"Chemicals, Plastics and Rubber",,,,,,,,,,,,,,,,,,,,,,,,
101,"Flexan, LLC  *",One stop,,L + 5.75,(c),,8.06,,02/2020,,2322,,,2308,,,0.2,,,2322,,,,,
102,"Flexan, LLC",One stop,,P + 4.50,(e),,9.25,,02/2020,,17,,,17,,,-,,,17,,,,,
>>>>>>> GSBD
103,,,,,,,,,,,2339,,,2325,,,0.2,,,2339,,,,,
104,,Investment  Type,,Spread  Above  Index  (1),,Interest  Rate  (2),,Maturity  Date,,Principal ($) /  Shares  (3),,Amortized Cost,,Percentage  of Net  Assets,,Fair  Value  (4),,,,,,,,,
105,Diversified/Conglomerate Manufacturing,,,,,,,,,,,,,,,,,,,,,,,,
106,"Chase Industries, Inc.  *^#",One stop,,L + 5.75,(c),,7.44,,09/2020,,,31950,,,,31779,,,3.3,,,,31950,,
107,"Chase Industries, Inc.  #",One stop,,L + 5.75,(c),,7.44,,09/2020,,4746,,,4727,,,0.5,,,4746,,,,,
108,"Chase Industries, Inc.",One stop,,L + 5.75,(c)(e),,7.82,,09/2020,,1187,,,1178,,,0.1,,,1187,,,,,
109,"Inventus Power, Inc.  *^",One stop,,L + 6.50,(a),,8.39,,04/2020,,8106,,,8073,,,0.7,,,6891,,,,,
<<<<<<< HEAD
110,"Inventus Power, Inc.",One stop,,L + 6.50,(a),,8.39,,04/2020,,251,,,248,,,0,,,204,,,,,
111,Onicon Incorporated  *^,One stop,,L + 6.00,(c),,8.30,,04/2020,,12556,,,12481,,,1.3,,,12556,,,,,
112,Onicon Incorporated  (5),One stop,,L + 6.00,,,N/A  (6),,04/2020,,0,,,(3,,,0,,,0,,,,,
113,"PetroChoice Holdings, Inc.  ^",Senior loan,,L + 5.00,(b),,6.79,,08/2022,,1741,,,1704,,,0.2,,,1741,,,,,
114,"Plex Systems, Inc.  *^",One stop,,L + 7.50,(c),,9.27,,06/2020,,18797,,,18584,,,2.0,,,18797,,,,,
115,"Plex Systems, Inc.  (5)",One stop,,L + 7.50,,,N/A  (6),,06/2020,,0,,,(18,,,0,,,0,,,,,
116,"Reladyne, Inc.  *^#",Senior loan,,L + 5.00,(a),,6.66,,07/2022,,16965,,,16752,,,1.8,,,16965,,,,,
117,"Reladyne, Inc.",Senior loan,,L + 5.00,(a)(c),,6.81,,07/2022,,173,,,171,,,0,,,173,,,,,
118,"Reladyne, Inc.",Senior loan,,L + 5.00,(a),,6.86,,07/2022,,5,,,1,,,0,,,5,,,,,
119,"Sunless Merger Sub, Inc.  #",Senior loan,,L + 5.00,(a)(e),,6.89,,07/2019,,1427,,,1431,,,0.2,,,1427,,,,,
120,"Sunless Merger Sub, Inc.",Senior loan,,P + 3.75,(e),,8.50,,07/2019,,387,,,386,,,0,,,387,,,,,
121,"Togetherwork Holdings, LLC  #",One stop,,L + 6.50,(a),,8.24,,03/2025,,9204,,,9067,,,0.9,,,9112,,,,,
122,"Togetherwork Holdings, LLC",One stop,,L + 6.50,(a),,8.28,,03/2024,,40,,,39,,,0,,,39,,,,,
123,"Togetherwork Holdings, LLC  (5)",One stop,,L + 6.50,,,N/A  (6),,03/2025,,0,,,(5,,,0,,,(4,,,,,
124,,,,,,,,,,,107535,,,106595,,,11.0,,,106176,,,,,
125,Diversified/Conglomerate Service,,,,,,,,,,,,,,,,,,,,,,,,
126,"Accela, Inc.  #",One stop,,L + 6.25,(c),,8.56,,09/2023,,5812,,,5732,,,0.6,,,5812,,,,,
127,"Accela, Inc.  (5)",One stop,,L + 6.25,,,N/A  (6),,09/2023,,0,,,(1,,,0,,,0,,,,,
128,Agility Recovery Solutions Inc.  *^,One stop,,L + 6.50,(c),,8.27,,03/2020,,13880,,,13800,,,1.4,,,13880,,,,,
129,Agility Recovery Solutions Inc.  (5),One stop,,L + 6.50,,,N/A  (6),,03/2020,,0,,,(4,,,0,,,0,,,,,
130,"Anaqua, Inc.  *^",One stop,,L + 6.50,(c),,8.24,,07/2022,,6984,,,6892,,,0.7,,,6984,,,,,
131,"Anaqua, Inc.  (5)",One stop,,L + 6.50,,,N/A  (6),,07/2022,,0,,,(1,,,0,,,0,,,,,
132,Apttus Corporation,One stop,,L + 7.85,,,10.06,,01/2023,,5627,,,5387,,,0.5,,,5405,,,,,
133,"Bazaarvoice, Inc.  #",One stop,,L + 8.00,(c),,9.77,,02/2024,,9003,,,8828,,,0.9,,,8823,,,,,
134,"Bazaarvoice, Inc.  (5)",One stop,,L + 8.00,,,N/A  (6),,02/2024,,0,,,(2,,,0,,,(2,,,,,
135,Bomgar Corporation  ^,One stop,,L + 7.50,(a),,9.39,,06/2022,,4814,,,4746,,,0.5,,,4814,,,,,
136,Bomgar Corporation  *,One stop,,L + 7.00,(a),,8.89,,06/2022,,2425,,,2402,,,0.2,,,2425,,,,,
137,Bomgar Corporation  (5),One stop,,L + 7.50,,,N/A  (6),,06/2022,,0,,,(1,,,0,,,0,,,,,
