66,,"Jensen Hughes, Inc.+",Senior loan,,L + 3.50%,(c)(f),,4.51%,,03/2024,,"4,159",,,"4,160",,,0.2,,"4,159",,,,,,,
67,,"Jensen Hughes, Inc.+",Senior loan,,L + 4.50%,(c)(f),,5.50%,,03/2024,,"1,365",,,"1,390",,,0.1,,"1,365",,,,,,,
68,,"Jensen Hughes, Inc.+",Senior loan,,L + 4.50%,(c)(f),,5.50%,,03/2024,,906,,,917,,,0.1,,906,,,,,,,
69,,"Jensen Hughes, Inc.+",Senior loan,,L + 4.50%,(c)(f),,5.50%,,03/2024,,435,,,446,,,0.1,,435,,,,,,,
70,,"Jensen Hughes, Inc.+",Senior loan,,L + 4.50%,(c)(f),,5.50%,,03/2024,,277,,,280,,,0.1,,277,,,,,,,
71,,"Jensen Hughes, Inc.+",Senior loan,,L + 4.50%,(c)(f),,5.50%,,03/2024,,216,,,216,,,0,,216,,,,,,,
72,,"Jensen Hughes, Inc.+",Senior loan,,L + 4.50%,(c)(f),,5.50%,,03/2024,,116,,,116,,,0,,116,,,,,,,
73,,,,,,,,,,,,"7,474",,,"7,525",,,0.6,,"7,474",,,,,,,
74,,Chemicals,,,,,,,,,,,,,,,,,,,,,,,,,
75,,Inhance Technologies Holdings LLC#+,One stop,,L + 6.00%,(c),,7.00%,,07/2024,,"12,605",,,"12,702",,,0.5,,"12,605",,,,,,,
76,,Inhance Technologies Holdings LLC+,One stop,,L + 6.00%,(c),,7.00%,,07/2024,,"1,915",,,"1,905",,,0.1,,"1,915",,,,,,,
77,,Inhance Technologies Holdings LLC+,One stop,,L + 6.00%,(c),,7.00%,,07/2024,,95,,,95,,,0,,95,,,,,,,
78,,,,,,,,,,,,"14,615",,,"14,702",,,0.6,,"14,615",,,,,,,
79,,Commercial Services & Supplies,,,,,,,,,,,,,,,,,,,,,,,,,
80,,"EGD Security Systems, LLC*#+^",One stop,,L + 5.65%,(c),,6.65%,,06/2023,,"30,092",,,"30,352",,,1.2,,"30,092",,,,,,,
81,,"EGD Security Systems, LLC+",One stop,,L + 5.65%,(c),,6.65%,,06/2023,,"1,687",,,"1,674",,,0.1,,"1,686",,,,,,,
82,,"EGD Security Systems, LLC*+",One stop,,L + 5.65%,(c),,6.65%,,06/2023,,"1,258",,,"1,257",,,0.1,,"1,258",,,,,,,
83,,"EGD Security Systems, LLC+",One stop,,L + 5.65%,(c),,6.65%,,06/2023,,843,,,837,,,0.1,,843,,,,,,,
84,,"EGD Security Systems, LLC+",One stop,,L + 5.65%,(c),,6.65%,,06/2023,,767,,,761,,,0.1,,767,,,,,,,
85,,"EGD Security Systems, LLC#+",One stop,,L + 5.65%,(c),,6.65%,,06/2023,,644,,,658,,,0.1,,644,,,,,,,
86,,"EGD Security Systems, LLC#+",One stop,,L + 5.65%,(c),,6.65%,,06/2023,,575,,,572,,,0.1,,575,,,,,,,
87,,"EGD Security Systems, LLC+",One stop,,L + 5.65%,(c),,6.65%,,06/2023,,80,,,79,,,0,,80,,,,,,,
88,,"EGD Security Systems, LLC+(5)",One stop,,L + 5.65%,,,N/A(6),,06/2023,,0,,,(4),,,0,,0,,,,,,,
89,,Hydraulic Authority III Limited+~(8)(9)(10),One stop,,L + 6.00%,(i),,7.00%,,11/2025,,"11,053",,,"11,230",,,0.5,,"12,138",,,,,,,
90,,Hydraulic Authority III Limited+(8)(9)(10),One stop,,,,,11.00% PIK,,11/2028,,222,,,225,,,0.1,,243,,,,,,,
92,,,Investment Type,,SpreadAboveIndex(1),,InterestRate(2),,MaturityDate,,Principal ($) /Shares(3),,Amortized Cost,,Percentageof NetAssets,,FairValue(4),,,,,,,,,,
93,,Commercial Services & Supplies - (continued),,,,,,,,,,,,,,,,,,,,,,,,,
94,,Hydraulic Authority III Limited+(8)(9)(10),One stop,,L + 6.00%,,,N/A(6),,11/2025,,,0,,,,0,,,0,%,,0,,,,
95,,"PT Intermediate Holdings III, LLC+~^",One stop,,L + 5.50%,(c),,6.50%,,10/2025,,"29,550",,,"29,222",,,1.1,,"29,254",,,,,,,
96,,"PT Intermediate Holdings III, LLC+(5)",One stop,,L + 5.50%,,,N/A(6),,10/2025,,0,,,(5),,,0,,(5),,,,,,,
97,,"Radwell International, LLC+",Senior loan,,L + 4.75%,(c),,5.75%,,12/2026,,"2,095",,,"2,056",,,0.1,,"2,095",,,,,,,
98,,"Radwell International, LLC+",Senior loan,,L + 4.75%,(c),,5.75%,,12/2026,,476,,,472,,,0.1,,476,,,,,,,
99,,"Radwell International, LLC+",Senior loan,,L + 4.75%,(c),,5.75%,,12/2026,,9,,,9,,,0,,9,,,,,,,
100,,"Thermostat Buyer, LLC+",Senior loan,,L + 4.75%,(b),,5.75%,,02/2025,,"2,331",,,"2,308",,,0.1,,"2,307",,,,,,,
101,,"Thermostat Buyer, LLC+",Senior loan,,L + 4.75%,(c),,5.75%,,02/2025,,311,,,297,,,0.1,,296,,,,,,,
102,,Trinity Air Consultants Holdings Corporation+,One stop,,L + 5.25%,(c),,6.00%,,06/2027,,"2,458",,,"2,409",,,0.1,,"2,409",,,,,,,
103,,Trinity Air Consultants Holdings Corporation+,One stop,,L + 5.25%,(c),,6.00%,,06/2027,,2,,,1,,,0.1,,1,,,,,,,
104,,Trinity Air Consultants Holdings Corporation+(5),One stop,,L + 5.25%,,,N/A(6),,06/2027,,0,,,(1),,,0,,(1),,,,,,,
105,,WRE Holding Corp.*#,Senior loan,,L + 5.50%,(b)(c),,6.50%,,01/2023,,"2,259",,,"2,283",,,0.1,,"2,259",,,,,,,
106,,WRE Holding Corp.+^,Senior loan,,L + 5.50%,(b)(c),,6.50%,,01/2023,,932,,,951,,,0.1,,932,,,,,,,
107,,WRE Holding Corp.+,Senior loan,,L + 5.50%,(b)(c),,6.50%,,01/2023,,684,,,684,,,0.1,,684,,,,,,,
108,,WRE Holding Corp.+,Senior loan,,L + 5.50%,(b)(c),,6.50%,,01/2023,,405,,,405,,,0.1,,405,,,,,,,
109,,WRE Holding Corp.+,Senior loan,,L + 5.25%,(b)(c)(f),,6.50%,,01/2023,,24,,,25,,,0.1,,24,,,,,,,
110,,WRE Holding Corp.+,Senior loan,,L + 5.50%,(b)(c),,6.50%,,01/2023,,23,,,23,,,0.1,,23,,,,,,,
111,,WRE Holding Corp.+,Senior loan,,L + 5.50%,,,N/A(6),,01/2023,,0,,,6,,,0,,0,,,,,,,
112,,,,,,,,,,,,"88,780",,,"88,786",,,4.7,,"89,494",,,,,,,
114,,,Investment Type,,SpreadAboveIndex(1),,InterestRate(2),,MaturityDate,,Principal ($) /Shares(3),,Amortized Cost,,Percentageof NetAssets,,FairValue(4),,,,,,,,,,
115,,Construction & Engineering,,,,,,,,,,,,,,,,,,,,,,,,,
116,,"Reladyne, Inc.*#+^",Senior loan,,L + 5.00%,(c),,6.00%,,07/2024,,,"32,607",,,,"32,738",,,1.3,%,,"32,607",,,,
117,,"Reladyne, Inc.+~",Senior loan,,L + 5.00%,(c),,6.00%,,07/2024,,"3,456",,,"3,491",,,0.1,,"3,456",,,,,,,
118,,"Reladyne, Inc.+",Senior loan,,L + 5.00%,(c),,6.00%,,07/2024,,"3,378",,,"3,356",,,0.1,,"3,378",,,,,,,
119,,"Reladyne, Inc.+",Senior loan,,L + 5.00%,(c),,6.00%,,07/2024,,"2,736",,,"2,763",,,0.1,,"2,736",,,,,,,
120,,"Reladyne, Inc.*#+",Senior loan,,L + 5.00%,(c),,6.00%,,07/2024,,"1,871",,,"1,890",,,0.1,,"1,871",,,,,,,
121,,"Reladyne, Inc.#+~",Senior loan,,L + 5.00%,(c),,6.00%,,07/2024,,"1,612",,,"1,629",,,0.1,,"1,612",,,,,,,
122,,"Reladyne, Inc.#+",Senior loan,,L + 5.00%,(c),,6.00%,,07/2024,,"1,534",,,"1,558",,,0.1,,"1,534",,,,,,,
123,,"Reladyne, Inc.#+~",Senior loan,,L + 5.00%,(c),,6.00%,,07/2024,,735,,,743,,,0.1,,735,,,,,,,
124,,,,,,,,,,,,"47,929",,,"48,168",,,2.0,,"47,929",,,,,,,
125,,Containers and Packaging,,,,,,,,,,,,,,,,,,,,,,,,,
126,,AmerCareRoyal LLC+,Senior loan,,L + 5.00%,(a),,6.00%,,11/2025,,816,,,810,,,0,,816,,,,,,,
127,,AmerCareRoyal LLC+,Senior loan,,L + 5.00%,(a),,6.00%,,11/2025,,168,,,167,,,0,,168,,,,,,,
128,,AmerCareRoyal LLC+(8),Senior loan,,L + 5.00%,(a),,6.00%,,11/2025,,151,,,150,,,0,,151,,,,,,,
129,,AmerCareRoyal LLC+(5),Senior loan,,L + 5.00%,,,N/A(6),,11/2025,,0,,,(2),,,0,,0,,,,,,,
130,,Fortis Solutions Group LLC+,Senior loan,,L + 4.75%,(c),,5.75%,,12/2023,,"4,059",,,"3,986",,,0.2,,"4,059",,,,,,,
131,,Fortis Solutions Group LLC+,Senior loan,,L + 4.75%,(c),,5.75%,,12/2023,,"2,412",,,"2,368",,,0.1,,"2,412",,,,,,,
132,,Fortis Solutions Group LLC+,Senior loan,,L + 4.75%,(c),,5.75%,,12/2023,,"1,574",,,"1,560",,,0.1,,"1,574",,,,,,,
133,,Fortis Solutions Group LLC+,Senior loan,,L + 4.75%,(c),,5.75%,,12/2023,,626,,,620,,,0,,626,,,,,,,
134,,Fortis Solutions Group LLC+,Senior loan,,L + 4.75%,(c),,5.75%,,12/2023,,603,,,597,,,0,,603,,,,,,,
135,,Fortis Solutions Group LLC+,Senior loan,,L + 4.75%,,,N/A(6),,12/2023,,0,,,0,,,0,,0,,,,,,,
136,,,,,,,,,,,,"10,409",,,"10,256",,,0.4,,"10,409",,,,,,,
138,,Distributors,,,,,,,,,,,,,,,,,,,,,,,,,
139,,"PetroChoice Holdings, Inc.#^",Senior loan,,L + 5.00%,(c),,5.00%,,08/2022,,"3,249",,,"3,255",,,0.1,,"3,120",,,,,,,
141,,Diversified Consumer Services,,,,,,,,,,,,,,,,,,,,,,,,,
142,,"Certus Pest, Inc.+",One stop,,L + 5.25%,(c),,6.25%,,02/2026,,"1,609",,,"1,574",,,0.1,,"1,609",,,,,,,
143,,"Certus Pest, Inc.+",One stop,,L + 5.25%,(c),,6.25%,,02/2026,,"1,543",,,"1,486",,,0.1,,"1,542",,,,,,,
144,,"Certus Pest, Inc.+",One stop,,L + 5.25%,(c),,6.25%,,02/2026,,"1,091",,,"1,081",,,0,,"1,091",,,,,,,
145,,"Certus Pest, Inc.+",One stop,,L + 5.25%,(c),,6.25%,,02/2026,,672,,,630,,,0,,672,,,,,,,
146,,"Certus Pest, Inc.+",One stop,,L + 5.25%,(c),,6.25%,,02/2026,,132,,,97,,,0,,132,,,,,,,
147,,"Certus Pest, Inc.+",One stop,,L + 5.25%,,,N/A(6),,02/2026,,0,,,0,,,0,,0,,,,,,,
148,,"Certus Pest, Inc.+(5)",One stop,,L + 5.25%,,,N/A(6),,02/2026,,0,,,(20),,,0,,0,,,,,,,
149,,"Certus Pest, Inc.+",One stop,,L + 5.25%,,,N/A(6),,02/2026,,0,,,0,,,0,,0,,,,,,,
150,,"CHHJ Franchising, LLC^",Senior loan,,L + 5.00%,(c),,6.00%,,01/2026,,"2,758",,,"2,732",,,0.1,,"2,758",,,,,,,
151,,"CHHJ Franchising, LLC+",Senior loan,,P + 4.00%,(c),,6.00%,,01/2026,,5,,,5,,,0,,5,,,,,,,
152,,EWC Growth Partners LLC,One stop,,L + 7.50%,(c),,6.50% cash/2.00% PIK,,03/2026,,919,,,905,,,0,,873,,,,,,,
153,,EWC Growth Partners LLC+,One stop,,L + 7.50%,(c),,6.50% cash/2.00% PIK,,03/2026,,30,,,29,,,0,,29,,,,,,,
154,,EWC Growth Partners LLC+,One stop,,L + 7.50%,(c),,6.50% cash/2.00% PIK,,03/2026,,18,,,18,,,0,,17,,,,,,,
155,,Excelligence Learning Corporation#+,One stop,,L + 7.00%,(c),,5.50% cash/2.50% PIK,,04/2023,,"10,637",,,"10,459",,,0.4,,"9,573",,,,,,,
156,,"Flores & Associates, LLC",One stop,,L + 4.75%,(c),,5.75%,,04/2027,,"3,788",,,"3,705",,,0.1,,"3,750",,,,,,,
157,,"Flores & Associates, LLC+",One stop,,L + 4.75%,(c),,5.75%,,04/2027,,779,,,770,,,0,,771,,,,,,,
158,,"Flores & Associates, LLC+",One stop,,L + 4.75%,(c),,5.75%,,04/2027,,725,,,715,,,0,,717,,,,,,,
159,,"Flores & Associates, LLC+(5)",One stop,,L + 4.75%,,,N/A(6),,04/2027,,0,,,(1),,,0,,(1),,,,,,,
161,,,Investment Type,,SpreadAboveIndex(1),,InterestRate(2),,MaturityDate,,Principal ($) /Shares(3),,Amortized Cost,,Percentageof NetAssets,,FairValue(4),,,,,,,,,,
162,,Diversified Consumer Services - (continued),,,,,,,,,,,,,,,,,,,,,,,,,
163,,"Learn-it Systems, LLC+",Senior loan,,L + 4.50%,(c),,5.50%,,03/2025,,,"2,529",,,,"2,565",,,0.1,%,,"2,482",,,,
164,,"Learn-it Systems, LLC+",Senior loan,,L + 4.50%,(c),,5.50%,,03/2025,,"1,294",,,"1,290",,,0,,"1,268",,,,,,,
165,,"Learn-it Systems, LLC+",Senior loan,,L + 4.50%,(b),,5.50%,,03/2025,,8,,,9,,,0,,7,,,,,,,
166,,"Learn-it Systems, LLC+(5)",Senior loan,,L + 4.75%,,,N/A(6),,03/2025,,0,,,(13),,,0,,(14),,,,,,,
167,,"Liminex, Inc.~",One stop,,L + 7.25%,(c),,8.25%,,11/2026,,"25,462",,,"25,029",,,1.0,,"25,207",,,,,,,
168,,"Liminex, Inc.+",One stop,,L + 7.25%,(c),,8.25%,,11/2026,,60,,,58,,,0,,58,,,,,,,
169,,"Liminex, Inc.+(5)",One stop,,L + 7.25%,,,N/A(6),,11/2026,,0,,,(8),,,0,,(8),,,,,,,
170,,Litera Bidco LLC+,One stop,,L + 6.00%,(a),,7.00%,,05/2026,,"4,037",,,"3,990",,,0.2,,"4,060",,,,,,,
171,,Litera Bidco LLC+^,One stop,,L + 5.75%,(a),,6.75%,,05/2026,,"3,720",,,"3,739",,,0.1,,"3,703",,,,,,,
172,,Litera Bidco LLC+,One stop,,L + 5.75%,(a),,6.75%,,05/2026,,697,,,719,,,0,,694,,,,,,,
173,,Litera Bidco LLC+,One stop,,L + 5.75%,(a),,6.75%,,05/2026,,697,,,719,,,0,,694,,,,,,,
174,,Litera Bidco LLC+,One stop,,L + 6.00%,(a),,7.00%,,05/2026,,145,,,140,,,0,,148,,,,,,,
175,,Litera Bidco LLC+,One stop,,L + 5.75%,,,N/A(6),,05/2025,,0,,,0,,,0,,0,,,,,,,
176,,"PADI Holdco, Inc.*#",One stop,,L + 7.25%,(c),,6.75% cash/1.50% PIK,,04/2024,,"21,669",,,"21,800",,,0.8,,"19,503",,,,,,,
177,,"PADI Holdco, Inc.+~(8)(9)",One stop,,E + 5.75%,(g),,5.75% cash/1.50% PIK,,04/2024,,"20,687",,,"20,922",,,0.7,,"19,096",,,,,,,
178,,"PADI Holdco, Inc.~",One stop,,L + 7.25%,(c),,6.75% cash/1.50% PIK,,04/2024,,809,,,804,,,0,,728,,,,,,,
179,,"PADI Holdco, Inc.+",One stop,,L + 7.25%,(c),,6.75% cash/1.50% PIK,,04/2024,,167,,,166,,,0,,150,,,,,,,
180,,"PADI Holdco, Inc.+",One stop,,L + 7.25%,(c),,6.75% cash/1.50% PIK,,04/2023,,84,,,84,,,0,,63,,,,,,,
181,,Provenance Buyer LLC+,One stop,,L + 5.50%,(a),,6.25%,,06/2027,,"18,510",,,"18,140",,,0.7,,"18,325",,,,,,,
182,,Provenance Buyer LLC+(5),One stop,,L + 5.50%,,,N/A(6),,06/2027,,0,,,(2),,,0,,(1),,,,,,,
183,,Provenance Buyer LLC+(5),Senior loan,,L + 5.50%,,,N/A(6),,06/2027,,0,,,(3),,,0,,(3),,,,,,,
184,,,,,,,,,,,"125,281",,,"124,333",,,4.4,,"119,698",,,,,,,,
186,,Diversified Financial Services,,,,,,,,,,,,,,,,,,,,,,,,,
187,,"Higginbotham Insurance Agency, Inc.+",One stop,,L + 5.75%,(a),,6.50%,,11/2026,,"3,605",,,"3,556",,,0.1,,"3,605",,,,,,,
188,,"Higginbotham Insurance Agency, Inc.+(5)",One stop,,L + 5.75%,,,N/A(6),,11/2026,,0,,,(7),,,0,,0,,,,,,,
189,,Sovos Compliance*+^,One stop,,L + 4.75%,(a),,5.75%,,04/2024,,"19,614",,,"20,043",,,0.8,,"19,614",,,,,,,
190,,Sovos Compliance+,Second lien,,,,,12.00% PIK,,04/2025,,"9,786",,,"9,987",,,0.4,,"9,786",,,,,,,
191,,Sovos Compliance+,One stop,,L + 4.75%,(a),,5.75%,,04/2024,,"4,322",,,"4,254",,,0.2,,"4,322",,,,,,,
192,,Sovos Compliance+,One stop,,L + 4.75%,(a),,5.75%,,04/2024,,"2,890",,,"2,837",,,0.1,,"2,890",,,,,,,
193,,Sovos Compliance+,Second lien,,,,,12.00% PIK,,04/2025,,"2,558",,,"2,500",,,0.1,,"2,558",,,,,,,
194,,Sovos Compliance+,One stop,,L + 4.75%,(a),,5.75%,,04/2024,,"2,216",,,"2,199",,,0.1,,"2,216",,,,,,,
195,,Sovos Compliance*#,One stop,,L + 4.75%,(a),,5.75%,,04/2024,,"1,903",,,"1,945",,,0.1,,"1,903",,,,,,,
196,,Sovos Compliance+,Second lien,,,,,12.00% PIK,,04/2025,,"1,338",,,"1,369",,,0.1,,"1,338",,,,,,,
197,,Sovos Compliance+,One stop,,L + 4.75%,(a),,5.75%,,04/2024,,923,,,905,,,0.1,,923,,,,,,,
198,,Sovos Compliance*#,One stop,,L + 4.75%,(a),,5.75%,,04/2024,,768,,,785,,,0.1,,768,,,,,,,
199,,Sovos Compliance+,One stop,,L + 4.75%,(a),,5.75%,,04/2024,,198,,,197,,,0.1,,198,,,,,,,
200,,Sovos Compliance+,One stop,,L + 4.75%,(a),,5.75%,,04/2024,,85,,,84,,,0.1,,85,,,,,,,
201,,,,,,,,,,,,"50,206",,,"50,654",,,2.4,,"50,206",,,,,,,
204,,,Investment Type,,SpreadAboveIndex(1),,InterestRate(2),,MaturityDate,,Principal ($) /Shares(3),,Amortized Cost,,Percentageof NetAssets,,FairValue(4),,,,,,,,,,
205,,Diversified Telecommunication Services,,,,,,,,,,,,,,,,,,,,,,,,,
206,,"NTI Connect, LLC+",Senior loan,,L + 5.00%,(c),,6.00%,,12/2024,,,"1,649",,,,"1,618",,,0.1,%,,"1,616",,,,
208,,"Electronic Equipment, Instruments & Components",,,,,,,,,,,,,,,,,,,,,,,,,
209,,CST Buyer Company#+,One stop,,L + 6.00%,(c),,7.00%,,10/2025,,"20,477",,,"20,254",,,0.8,,"20,477",,,,,,,
210,,CST Buyer Company#+~,One stop,,L + 6.00%,(d),,7.00%,,10/2025,,"10,189",,,"10,095",,,0.4,,"10,189",,,,,,,
211,,CST Buyer Company+,One stop,,L + 6.00%,,,N/A(6),,10/2025,,0,,,0,,,0,,0,,,,,,,
212,,ES Acquisition LLC,Senior loan,,L + 5.00%,(c),,6.00%,,11/2025,,657,,,647,,,0,,655,,,,,,,
213,,ES Acquisition LLC+,Senior loan,,L + 5.00%,(c),,6.00%,,11/2025,,139,,,138,,,0,,138,,,,,,,
214,,ES Acquisition LLC+,Senior loan,,L + 5.00%,(c),,6.00%,,11/2025,,95,,,95,,,0,,95,,,,,,,
