,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
17,Payable for investments purchased,206,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Distributions payable,22867,,,22913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Management and performance-based incentive fees payable,10270,,,9912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Interest payable,9341,,,3335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Accrued administrative services expense,1290,,,897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Other liabilities and accrued expenses,7557,,,7624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Total Liabilities,,1649094,,,,1595289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Commitments and contingencies (Note 8),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Net Assets,,985987,,,,1004832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Net Assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,"Common stock, $0.001 par value (130,000,000 shares authorized; 63,518,718 and 63,647,240 shares issued and outstanding, respectively)",,62,,,,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Capital in excess of par value,2077124,,,2078760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Accumulated under-distributed (over-distributed) earnings,"(1,091,199)",,,"(1,073,990)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Net Assets,,985987,,,,1004832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Net Asset Value Per Share,,15.52,,,,15.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Industry / Company,,Investment Type,,Interest Rate,,Maturity Date,,Par/Shares (12),,Cost (35),,,Fair Value  (1)(36),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,"Advertising, Printing & Publishing",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,FingerPaint Marketing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,KL Charlie Acquisition Company,,First Lien Secured Debt,,"L+625, 1.00% Floor",,12/30/26,,,30760,,,,22344,,,,,22298,,,(9)(21)(23)  (28),,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,,,First Lien Secured Debt - Revolver,,P+575,,12/30/26,,1962,,,128,,,,128,,,(9)(21)(23)  (25),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,"KL Charlie Co-Invest, L.P.",,Common Equity - Common Stock,,N/A,,N/A,,"218,978 Shares",,219,,,,269,,,(9)(13),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,,,,,,,,,,22691,,,,22695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Hero Digital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,"HRO (Hero Digital) Holdings, LLC",,First Lien Secured Debt,,"L+600, 1.00% Floor",,11/18/28,,27137,,,19052,,,,19140,,,(9)(21)(23)  (29),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,,,First Lien Secured Debt - Revolver,,P+500,,11/18/26,,2553,,,806,,,,819,,,(9)(20)(21)  (23)(25),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,HRO Holdings I LP,,Common Equity - Common Stock,,N/A,,N/A,,213 Shares,,213,,,,207,,,(9)(13)(24),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,,,,,,,,,,,20071,,,,20166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,,,,,"Total Advertising, Printing & Publishing",,,42762,,,,,42861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Aerospace & Defense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Erickson Inc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Erickson Inc,,First Lien Secured Debt - Revolver,,"SOFR+800, 1.00% Floor",,05/20/24,,,33000,,,,26096,,,,,25811,,,(9)(20)(21)  (23)(31),,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,,,,,Total Aerospace & Defense,,,26096,,,,,25811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Automotive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Club Car Wash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,"Club Car Wash Operating, LLC",,First Lien Secured Debt,,"L+600, 1.00% Floor",,06/16/27,,,29872,,,,25014,,,,,25011,,,(9)(21)(23)  (26)(29),,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,,,First Lien Secured Debt - Revolver,,"L+650, 1.00% Floor",,06/16/27,,2438,,,(36),,,,(37),,,(8)(9)(21)  (23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,,,,,,,,,,,24978,,,,24974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Crowne Automotive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,"Vari-Form Group, LLC",,First Lien Secured Debt,,11.00% (7.00% Cash plus 4.00% PIK),,02/02/23,,5860,,,893,,,,264,,,(9)(14),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Vari-Form Inc.,,First Lien Secured Debt,,11.00% (7.00% Cash plus 4.00% PIK),,02/02/23,,2110,,,391,,,,95,,,(9)(14),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,,,,,,,,,,,1284,,,,359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,"K&N Parent, Inc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,"K&N Parent, Inc.",,Second Lien Secured Debt,,"L+875, 1.00% Floor",,10/21/24,,23765,,,23621,,,,19546,,,(28),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,"Truck-Lite Co., LLC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,"TL Lighting Holdings, LLC",,Common Equity - Equity,,N/A,,N/A,,350 Shares,,350,,,,379,,,(9)(13),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,"Truck-Lite Co., LLC",,First Lien Secured Debt,,"SOFR+625, 1.00% Floor",,12/14/26,,31899,,,31387,,,,31262,,,(9)(33),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,,,First Lien Secured Debt - Revolver,,"SOFR+625, 1.00% Floor",,12/13/24,,3052,,,(11),,,,(34),,,(8)(9)(20)  (21)(23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,,,,,,,,,,,31726,,,,31607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,,,,,Total Automotive,,,81609,,,,,76486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Aviation and Consumer Transport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,"Merx Aviation Finance, LLC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,"Merx Aviation Finance, LLC (5)",,First Lien Secured Debt - Revolver,,10.00%,,10/31/23,,,275177,,,,275000,,,,,275000,,,(20)(23),,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,,,Common Equity - Membership Interests,,N/A,,N/A,,N/A,,35800,,,,9395,,,(13)(24),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,,,,,,,,,,,310800,,,,284395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,Primeflight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,"PrimeFlight Aviation Services, Inc.",,First Lien Secured Debt,,"L+625, 1.00% Floor",,05/09/24,,17322,,,17162,,,,17235,,,(9)(26)(28),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,,,,,Total Aviation and Consumer Transport,,,327962,,,,,301630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,Industry / Company,,Investment Type,,Interest Rate,,Maturity Date,,Par/Shares (12),,Cost (35),,,Fair Value  (1)(36),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,"Beverage, Food & Tobacco",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Berner Foods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,"Berner Food & Beverage, LLC",,First Lien Secured Debt,,"L+650, 1.00% Floor",,07/30/27,,,30885,,,,30287,,,,,30422,,,(9)(29),,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,,,First Lien Secured Debt - Revolver,,"L+650, 1.00% Floor",,07/30/26,,1613,,,547,,,,552,,,(9)(21)(23)  (29),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,,,First Lien Secured Debt - Revolver,,P+550,,07/30/26,,1268,,,1244,,,,1249,,,(9)(21)(23)  (25),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,,,,,,,,,,,32078,,,,32223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,Bolthouse Farms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,"Wm. Bolthouse Farms, Inc.",,Common Equity - Equity Interests,,N/A,,N/A,,"1,000,000 Shares",,1000,,,,1090,,,(13),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,Hive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,"FCP-Hive Holdings, LLC",,Preferred Equity - Preferred Equity,,N/A,,N/A,,589 Shares,,448,,,,488,,,(9)(13)(24),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,,,Common Equity - Common Stock,,N/A,,N/A,,589 Shares,,3,,,,-,,,(9)(13)(24),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,"Hive Intermediate, LLC",,First Lien Secured Debt,,"L+600, 1.00% Floor",,09/22/27,,17080,,,16790,,,,16824,,,(9)(26),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,,,First Lien Secured Debt - Revolver,,"L+600, 1.00% Floor",,09/22/27,,2326,,,(40),,,,(35),,,(8)(9)(21)  (23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,,,,,,,,,,,17201,,,,17277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,"Orgain, Inc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,"Butterfly Fighter Co-Invest, L.P.",,Common Equity - Membership Interests,,N/A,,N/A,,"490,000 Shares",,90,,,,928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,Rise Baking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,Ultimate Baked Goods Midco LLC,,First Lien Secured Debt,,"L+625, 1.00% Floor",,08/13/27,,26623,,,26048,,,,25864,,,(9)(26),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,,,First Lien Secured Debt - Revolver,,"L+625, 1.00% Floor",,08/13/27,,3243,,,1876,,,,1854,,,(9)(20)(21)  (23)(26),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,,,,,,,,,,,27924,,,,27718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,Turkey Hill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,IC Holdings LLC,,Common Equity - Series A Units,,N/A,,N/A,,169 Shares,,169,,,,141,,,(9)(13),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,THLP CO. LLC,,First Lien Secured Debt,,"L+600 Cash plus 2.00% PIK, 1.00% Floor",,05/31/25,,25228,,,24961,,,,24723,,,(9)(28),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,,,First Lien Secured Debt - Revolver,,"L+600 Cash plus 2.00% PIK, 1.00% Floor",,05/31/24,,4493,,,1886,,,,1829,,,(9)(20)(21)  (23)(28),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,,,,,,,,,,,27016,,,,26693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,,,,,"Total Beverage, Food & Tobacco",,,105309,,,,,105929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,Business Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,Access Information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,"Access CIG, LLC",,Second Lien Secured Debt,,"L+775, 0.00% Floor",,02/27/26,,,15900,,,,15833,,,,,15582,,,(28),,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,AlpineX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,"Alpinex Opco, LLC",,First Lien Secured Debt,,"L+575, 1.00% Floor",,12/27/27,,11915,,,11692,,,,11683,,,(9)(28),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,,,First Lien Secured Debt,,"L+600, 1.00% Floor",,12/27/27,,4468,,,1687,,,,1655,,,(9)(21)(23)  (26)(28),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,,,First Lien Secured Debt - Revolver,,"L+575, 1.00% Floor",,12/27/27,,1117,,,426,,,,425,,,(9)(21)(23)  (28),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,,,,,,,,,,,13805,,,,13763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,Ambrosia Buyer Corp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,Ambrosia Buyer Corp.,,Second Lien Secured Debt,,8.00%,,08/28/25,,21429,,,18093,,,,6109,,,(14),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,AML Rightsource,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,"Gabriel Partners, LLC",,First Lien Secured Debt,,"L+600, 1.00% Floor",,09/21/26,,31372,,,30843,,,,31106,,,(9)(29),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,,,First Lien Secured Debt - Revolver,,P+500,,09/21/26,,665,,,120,,,,128,,,(9)(21)(23)  (25),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,,,,,,,,,,,30963,,,,31234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,Industry / Company,,Investment Type,,Interest Rate,,Maturity Date,,Par/Shares (12),,Cost (35),,,Fair Value  (1)(36),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,Continuum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,"Continuum Global Solutions, LLC",,Preferred Equity - Preferred Equity,,N/A,,N/A,,775 Shares,,78,,,,78,,,(9)(13),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,Electro Rent Corporation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,Electro Rent Corporation,,Second Lien Secured Debt,,"L+900, 1.00% Floor",,01/31/25,,34235,,,33839,,,,33978,,,(9)(28),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,Elo Touch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,TGG TS Acquisition Company,,First Lien Secured Debt - Revolver,,"L+650, 0.00% Floor",,12/14/23,,1750,,,-,,,,(25),,,(8)(21)(23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,Ensemble Health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,"EHL Merger Sub, LLC",,First Lien Secured Debt - Revolver,,"L+325, 0.00% Floor",,08/01/24,,4155,,,(160),,,,(128),,,(8)(21)(23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,IRP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,Precision Refrigeration & Air Conditioning LLC,,First Lien Secured Debt,,"SOFR+600, 1.00% Floor",,03/08/28,,8161,,,8005,,,,7957,,,(9)(32),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,,,First Lien Secured Debt - Revolver,,"SOFR+600, 1.00% Floor",,03/08/27,,1705,,,(32),,,,(43),,,(8)(9)(21)  (23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,"SMC IR Holdings, LLC",,Common Equity - Common Stock,,N/A,,N/A,,114 Shares,,114,,,,114,,,(9)(13)(24),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,,,,,,,,,,,8087,,,,8028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,Jacent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,Jacent Strategic Merchandising,,First Lien Secured Debt,,"L+675, 1.00% Floor",,04/23/24,,22116,,,21993,,,,21226,,,(9)(28),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,,,First Lien Secured Debt - Revolver,,"L+675, 1.00% Floor",,04/23/24,,3500,,,3475,,,,3355,,,(9)(21)(23)  (28),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,,,Common Equity - Common Stock,,N/A,,N/A,,"5,000 Shares",,500,,,,-,,,(9)(13),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,"JSM Equity Investors, L.P.",,Preferred Equity - Class P Partnership Units,,N/A,,N/A,,114 Shares,,11,,,,11,,,(9)(13),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,,,,,,,,,,,25979,,,,24592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,Jones & Frank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,"JF Acquisition, LLC",,First Lien Secured Debt,,"L+600, 1.00% Floor",,07/31/26,,13167,,,13032,,,,12802,,,(9)(26)(28),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,,,First Lien Secured Debt - Revolver,,"L+600, 1.00% Floor",,07/31/26,,1569,,,737,,,,710,,,(9)(21)(23)  (28),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,,,,,,,,,,,13769,,,,13512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,Naviga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,"Naviga Inc. (fka Newscycle Solutions, Inc.)",,First Lien Secured Debt,,"L+700, 1.00% Floor",,12/29/22,,13363,,,13303,,,,13363,,,(9)(28),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,,,First Lien Secured Debt - Revolver,,"L+700, 1.00% Floor",,12/29/22,,476,,,279,,,,280,,,(9)(21)(23)  (26),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,,,First Lien Secured Debt - Revolver,,P+600,,12/29/22,,24,,,24,,,,24,,,(9)(23)(25),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,,,,,,,,,,,13606,,,,13667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,PSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,"Graffiti Buyer, Inc.",,First Lien Secured Debt,,"L+575, 1.00% Floor",,08/10/27,,8405,,,5672,,,,5582,,,(9)(21)(23)  (28),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,,,First Lien Secured Debt - Revolver,,"L+575, 1.00% Floor",,08/10/27,,1263,,,391,,,,388,,,(9)(21)(23)  (28),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,,,First Lien Secured Debt - Revolver,,P+475,,08/10/27,,44,,,44,,,,37,,,(9)(23)(25),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,"Graffiti Parent, LP",,Common Equity - Common Stock,,N/A,,N/A,,"2,439 Shares",,244,,,,206,,,(9)(13)(24),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,,,,,,,,,,,6351,,,,6213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,"PSI Services, LLC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,"Lifelong Learner Holdings, LLC",,First Lien Secured Debt,,"L+575, 1.00% Floor",,10/19/26,,33887,,,33464,,,,32112,,,(9)(28),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,,,First Lien Secured Debt - Revolver,,"L+575, 1.00% Floor",,10/20/25,,2985,,,2949,,,,2851,,,(9)(21)(23)  (28),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,,,,,,,,,,,36413,,,,34963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,Industry / Company,,Investment Type,,Interest Rate,,Maturity Date,,Par/Shares (12),,Cost (35),,,Fair Value  (1)(36),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,Soliant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,"Soliant Health, Inc.",,Common Equity - Membership Interests,,N/A,,N/A,,300 Shares,,300,,,,1018,,,(9),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,Trench Plate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,Trench Plate Rental Co.,,First Lien Secured Debt,,"SOFR+550, 1.00% Floor",,12/03/26,,18182,,,17914,,,,17909,,,(9)(32),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,,,First Lien Secured Debt - Revolver,,"SOFR+550, 1.00% Floor",,12/03/26,,1818,,,155,,,,155,,,(9)(20)(21)  (23)(32),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,"Trench Safety Solutions Holdings, LLC",,Common Equity - Common Stock,,N/A,,N/A,,331 Shares,,50,,,,50,,,(9)(24),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,,,,,,,,,,,18119,,,,18114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,US Legal Support,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,"US Legal Support Investment Holdings, LLC",,Common Equity - Series A-1 Units,,N/A,,N/A,,"631,972 Shares",,632,,,,923,,,(9)(13),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,"USLS Acquisition, Inc.",,First Lien Secured Debt,,"SOFR+565, 1.00% Floor",,12/02/24,,23941,,,23731,,,,23540,,,(9)(32),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,,,First Lien Secured Debt - Revolver,,"SOFR+565, 1.00% Floor",,12/02/24,,1608,,,373,,,,374,,,(9)(20)(21)  (23)(31)(32),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,,,,,,,,,,,24736,,,,24837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,Wilson Language Training,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,"Owl Acquisition, LLC",,First Lien Secured Debt,,"SOFR+575, 1.00% Floor",,02/04/28,,9900,,,9712,,,,9702,,,(9)(33),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,"Owl Parent Holdings, LLC",,Common Equity - Common Stock,,N/A,,N/A,,100 Shares,,100,,,,115,,,(9)(13)(24),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,,,,,,,,,,,9812,,,,9817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,,,,,Total Business Services,,,269623,,,,,255352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,"Chemicals, Plastics & Rubber",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
