,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
31,"Common stock, $0.001 par value (400,000,000 shares authorized; 212,056,994 and 216,312,096 shares issued and outstanding, respectively)",,212,,,,216,,,,,,,,,,,,,,,,,,,
32,Paid-in capital in excess of par,2612529,,,2636507,,,,,,,,,,,,,,,,,,,,,
33,Accumulated over-distributed net investment income,"(10,750",,,"(10,229",,,,,,,,,,,,,,,,,,,,,
34,Accumulated net realized loss,"(1,197,728",,,"(1,166,471",,,,,,,,,,,,,,,,,,,,,
35,Net unrealized loss,"(33,111",,,"(41,937",,,,,,,,,,,,,,,,,,,,,
36,Net Assets,,1371152,,,,1418086,,,,,,,,,,,,,,,,,,,
37,Net Asset Value Per Share,,6.47,,,,6.56,,,,,,,,,,,,,,,,,,,
38,Industry / Company,,Investment Type,,Interest Rate (20),,Maturity  Date,,Par / Shares (12),,Cost (30),,Fair  Value (1) (31),,,,,,,,,,,,,
39,"Advertising, Printing & Publishing",,,,,,,,,,,,,,,,,,,,,,,,,
40,A-L Parent LLC,,Second Lien Secured Debt,,"9.50 (1M L+725, 1.00 Floor)",,12/02/24,,,5536,,,,5491,,,,5591,,,(10),,,,,
41,"American Media, Inc.",,First Lien Secured Debt,,"10.35 (3M L+800, 1.00 Floor)",,08/24/20,,12344,,,12149,,,12714,,,,,,,,,,,
42,,,First Lien Secured Debt - Unfunded Revolver,,0.50 Unfunded,,08/24/20,,1778,,,(25,,,0,,,(21)(23),,,,,,,,
43,,,,,,,,,,,12124,,,12714,,,,,,,,,,,,
44,"Simplifi Holdings, Inc.",,First Lien Secured Debt,,"7.74 (1M L+550, 1.00 Floor)",,09/28/22,,25492,,,25018,,,25237,,,(9),,,,,,,,
45,,,First Lien Secured Debt - Unfunded Revolver,,0.50 Unfunded,,09/28/22,,2400,,,(9,,,(24,,,(8)(9)(21)(23),,,,,,,,
46,,,,,,,,,,,25009,,,25213,,,,,,,,,,,,
47,"Total Advertising, Printing & Publishing",,,,42624,,,,43518,,,,,,,,,,,,,,,,,
48,Aerospace & Defense,,,,,,,,,,,,,,,,,,,,,,,,,
49,Erickson Inc,,First Lien Secured Debt - Revolver,,"9.90 (3M L+750, 1.00 Floor)",,04/28/22,,,27956,,,,27956,,,,27327,,,(9)(23),,,,,
50,,,First Lien Secured Debt - Unfunded Revolver,,0.50 Unfunded,,04/28/22,,10479,,,(402,,,(236,,,(8)(9)(21)(23),,,,,,,,
51,,,First Lien Secured Debt - Letters of Credit,,7.50,,9/30/18 - 4/30/20,,6564,,,0,,,(147,,,(8)(9)(23),,,,,,,,
52,,,,,,,,,,,27554,,,26944,,,,,,,,,,,,
53,ILC Dover LP,,Second Lien Secured Debt,,"10.89 (3M L+850, 1.00 Floor)",,06/28/24,,20000,,,19601,,,19550,,,,,,,,,,,
54,PAE Holding Corporation,,Second Lien Secured Debt,,"11.89 (3M L+950, 1.00 Floor)",,10/20/23,,28097,,,27481,,,28237,,,(10),,,,,,,,
55,Total Aerospace & Defense,,,,74636,,,,74731,,,,,,,,,,,,,,,,,
56,Automotive,,,,,,,,,,,,,,,,,,,,,,,,,
57,Accelerate Parent Corp.,,Common Equity/Interests - Common Stock,,N/A,,N/A,,"1,664,046 Shares",,,,1714,,,,0,,,(13),,,,,,
58,Crowne Automotive,,,,,,,,,,,,,,,,,,,,,,,,,
59,"Vari-Form Group, LLC",,First Lien Secured Debt,,"13.31 (3M L+11.00 (7.00 Cash plus 4.00 PIK), 1.00 Floor)",,02/02/23,,,5122,,,4993,,,2919,,,(9),,,,,,,
60,,,First Lien Secured Debt,,"6.31 (3M 4.00 PIK, 1.00 Floor)",,02/02/23,,515,,,500,,,294,,,(9),,,,,,,,
61,Vari-Form Inc.,,First Lien Secured Debt,,"13.31 (3M L+11.00 (7.00 Cash plus 4.00 PIK), 1.00 Floor)",,02/02/23,,10125,,,9867,,,5771,,,(9),,,,,,,,
62,,,15360,,,8984,,,,,,,,,,,,,,,,,,,,
63,"K&N Parent, Inc.",,Second Lien Secured Debt,,"11.14 (3M L+875, 1.00 Floor)",,10/21/24,,23765,,,23399,,,23171,,,(10),,,,,,,,
64,Total Automotive,,,,40473,,,,32155,,,,,,,,,,,,,,,,,
65,Aviation and Consumer Transport,,,,,,,,,,,,,,,,,,,,,,,,,
66,Merx Aviation,,,,,,,,,,,,,,,,,,,,,,,,,
67,Merx Aviation Finance Assets Ireland Limited (5),,First Lien Secured Debt - Letters of Credit,,2.25,,2/18/19 - 2/22/19,,,3600,,,,0,,,,0,,,(23),,,,,
68,"Merx Aviation Finance, LLC (5)",,First Lien Secured Debt - Revolver,,12.00,,10/31/23,,403550,,,403550,,,403550,,,(23),,,,,,,,
69,,,First Lien Secured Debt - Letter of Credit,,2.25,,07/13/19,,177,,,0,,,0,,,(23),,,,,,,,
70,,,Common Equity/Interests - Membership Interests,,N/A,,N/A,,N/A,,,15000,,,53336,,,,,,,,,,,
71,Total Aviation and Consumer Transport,,,,418550,,,,456886,,,,,,,,,,,,,,,,,
72,"Beverage, Food & Tobacco",,,,,,,,,,,,,,,,,,,,,,,,,
73,"Eagle Foods Family Group, LLC",,First Lien Secured Debt,,"8.89 (3M L+650, 1.00 Floor)",,06/14/24,,,24937,,,,24671,,,,24688,,,(9),,,,,
74,Industry / Company,,Investment Type,,Interest Rate (20),,Maturity  Date,,Par / Shares (12),,Cost (30),,Fair  Value (1) (31),,,,,,,,,,,,,
75,,,First Lien Secured Debt - Unfunded Revolver,,0.00 Unfunded,,06/14/23,,3750,,,(24,,,(38,,,(8)(9)(21)(23),,,,,,,,
76,,,,,,,,,,,24647,,,24650,,,,,,,,,,,,
77,Florida Food Products,,,,,,,,,,,,,,,,,,,,,,,,,
78,"Florida Food Products, Inc.",,First Lien Secured Debt,,"8.99 (1M L+675, 1.00 Floor)",,09/08/25,,23288,,,22711,,,23055,,,(9),,,,,,,,
79,"Florida Food Products, LLC",,First Lien Secured Debt - Revolver,,"8.99 (1M L+675, 1.00 Floor)",,09/06/23,,514,,,514,,,509,,,(9)(23),,,,,,,,
80,,,First Lien Secured Debt - Unfunded Revolver,,0.50 Unfunded,,09/06/23,,1199,,,(37,,,(12,,,(8)(9)(21)(23),,,,,,,,
81,,,,,,,,,,,23188,,,23552,,,,,,,,,,,,
82,"Total Beverage, Food & Tobacco",,,,47835,,,,48202,,,,,,,,,,,,,,,,,
83,Business Services,,,,,,,,,,,,,,,,,,,,,,,,,
84,"Access CIG, LLC",,Second Lien Secured Debt,,9.99 (1M L+775),,02/27/26,,,15186,,,,15057,,,,15309,,,(10),,,,,
85,,,Second Lien Secured Debt - Unfunded Delayed Draw,,0.00 Unfunded,,02/27/26,,714,,,0,,,0,,,(10)(21)(23),,,,,,,,
86,,,,,,,,,,,15057,,,15309,,,,,,,,,,,,
87,Aero Operating LLC,,First Lien Secured Debt,,"9.51 (1M L+725, 1.00 Floor)",,12/29/22,,33058,,,32356,,,32728,,,(9),,,,,,,,
88,,,First Lien Secured Debt - Unfunded Revolver,,1.00 Unfunded,,12/29/22,,4716,,,(26,,,(47,,,(8)(9)(21)(23),,,,,,,,
89,,,First Lien Secured Debt - Letter of Credit,,7.25,,06/21/19,,96,,,0,,,(1,,,(8)(9)(23),,,,,,,,
90,,,,,,,,,,,32330,,,32680,,,,,,,,,,,,
91,Ambrosia Buyer Corp.,,Second Lien Secured Debt,,"10.24 (1M L+ 800, 1.00 Floor)",,08/28/25,,21429,,,20966,,,20962,,,,,,,,,,,
92,"Aptean, Inc.",,Second Lien Secured Debt,,"11.89 (3M L+950, 1.00 Floor)",,12/20/23,,11148,,,11054,,,11203,,,(10),,,,,,,,
93,"CT Technologies Intermediate Holdings, Inc",,Second Lien Secured Debt,,"11.24 (1M L+900, 1.00 Floor)",,12/01/22,,31253,,,30553,,,30159,,,(9),,,,,,,,
94,Education Personnel,,First Lien Secured Debt,,"7.28 (6M L+475, 0.50 Floor)",,08/31/24,,£,4118,,,5207,,,5316,,,(9)(17),,,,,,,
95,,,First Lien Secured Debt - Revolver,,"7.28 (6M L+475, 0.50 Floor)",,08/31/24,,£,1470,,,1866,,,1898,,,(9)(17)(23),,,,,,,
96,,,First Lien Secured Debt - Unfunded Delayed Draw,,1.66 Unfunded,,08/31/24,,£,4412,,,0,,,0,,,(9)(17)(21)(23),,,,,,,
97,,,,,,,,,,,7073,,,7214,,,,,,,,,,,,
98,Electro Rent Corporation,,Second Lien Secured Debt,,"11.21 (1M L+900, 1.00 Floor)",,01/31/25,,36598,,,35676,,,35866,,,(9),,,,,,,,
99,"Ministry Brands, LLC",,Second Lien Secured Debt,,"11.75 (6M L+925, 1.00 Floor)",,06/02/23,,10000,,,9891,,,10050,,,,,,,,,,,
100,"Newscycle Solutions, Inc.",,First Lien Secured Debt,,"9.24 (1M L+700, 1.00 Floor)",,12/29/22,,14641,,,14328,,,14494,,,(9),,,,,,,,
101,,,First Lien Secured Debt,,"9.26 (1M L+700, 1.00 Floor)",,12/29/22,,1226,,,1208,,,1213,,,(9),,,,,,,,
102,,,First Lien Secured Debt - Revolver,,"9.23 (1M L+700, 1.00 Floor)",,12/29/22,,240,,,240,,,238,,,(9)(23),,,,,,,,
103,,,First Lien Secured Debt - Unfunded Revolver,,0.50 Unfunded,,12/29/22,,260,,,(11,,,(3,,,(8)(9)(21)(23),,,,,,,,
104,,,,,,,,,,,15765,,,15942,,,,,,,,,,,,
105,"PSI Services, LLC",,First Lien Secured Debt,,"7.24 (1M L+500, 1.00 Floor)",,01/20/23,,4598,,,4515,,,4574,,,(9),,,,,,,,
106,,,First Lien Secured Debt - Unfunded Delayed Draw,,0.00 Unfunded,,01/20/23,,519,,,0,,,0,,,(9)(21)(23),,,,,,,,
107,,,First Lien Secured Debt - Unfunded Revolver,,0.50 Unfunded,,01/20/22,,397,,,(7,,,(2,,,(8)(9)(21)(23),,,,,,,,
108,,,First Lien Secured Debt - Unfunded Revolver,,0.50 Unfunded,,01/20/22,,£,47,,,0,,,0,,,(9)(21)(23),,,,,,,
109,Industry / Company,,Investment Type,,Interest Rate (20),,Maturity  Date,,Par / Shares (12),,Cost (30),,Fair  Value (1) (31),,,,,,,,,,,,,
110,,,Second Lien Secured Debt,,"11.24 (1M L+900, 1.00 Floor)",,01/20/24,,37893,,,37044,,,37669,,,(9),,,,,,,,
111,,,,,,,,,,,41552,,,42241,,,,,,,,,,,,
112,"RA Outdoors, LLC",,First Lien Secured Debt,,"6.92 (1M L+475, 1.00 Floor)",,09/11/24,,7174,,,7052,,,7103,,,(9),,,,,,,,
113,,,First Lien Secured Debt - Unfunded Revolver,,0.50 Unfunded,,09/09/22,,1200,,,(19,,,(12,,,(8)(9)(21)(23),,,,,,,,
114,,,Second Lien Secured Debt,,"10.92 (1M L+875, 1.00 Floor)",,09/11/25,,34200,,,33457,,,33516,,,(9),,,,,,,,
115,,,,,,,,,,,40490,,,40607,,,,,,,,,,,,
116,"Skyline Data, News and Analytics LLC",,Common Equity/Interests - Class A Common Unit,,N/A,,N/A,,"4,500,000 Shares",,,4500,,,4500,,,(13),,,,,,,,
117,"STG-Fairway Acquisitions, Inc.",,Second Lien Secured Debt,,"11.49 (1M L+925, 1.00 Floor)",,06/30/23,,15000,,,14776,,,14400,,,(10),,,,,,,,
118,"Transplace Holdings, Inc.",,Second Lien Secured Debt,,"10.90 (1M L+875, 1.00 Floor)",,10/06/25,,8599,,,8409,,,8717,,,(10),,,,,,,,
119,"U.S. Security Associates Holdings, Inc.",,Unsecured Debt,,11.00,,01/28/20,,80000,,,80000,,,80000,,,,,,,,,,,
120,"Vertafore, Inc.",,First Lien Secured Debt - Unfunded Revolver,,0.50 Unfunded,,06/30/23,,14591,,,"(1,639",,,"(1,678",,,(8)(21)(23),,,,,,,,
121,,,First Lien Secured Debt - Letters of Credit,,3.25,,06/30/23,,409,,,0,,,(47,,,(8)(23),,,,,,,,
122,,,,,,,,,,,"(1,639",,,"(1,725",,,,,,,,,,,,
123,Total Business Services,,,,366453,,,,368125,,,,,,,,,,,,,,,,,
124,"Chemicals, Plastics & Rubber",,,,,,,,,,,,,,,,,,,,,,,,,
125,Carbon Free Chemicals,,,,,,,,,,,,,,,,,,,,,,,,,
126,Carbonfree Chemicals SPE I LLC (f/k/a Maxus Capital Carbon SPE I LLC),,First Lien Secured Debt,,5.215 PIK,,09/30/20,,,48805,,,,48805,,,,47412,,,,,,,,
127,,,Common Equity/Partnership Interests - Residual Interests,,N/A,,09/30/20,,10500,,,10500,,,0,,,(13),,,,,,,,
128,Carbonfree Caustic SPE LLC,,Unfunded Delayed Draw - Promissory Note,,N/A,,06/30/20,,7611,,,0,,,0,,,(21)(23),,,,,,,,
129,,,,,,,,,,,59305,,,47412,,,,,,,,,,,,
130,"Hare Bidco, Inc.",,Second Lien Secured Debt,,"9.75 (1M E+875, 1.00 Floor)",,08/01/24,,€,13574,,,14445,,,15451,,,,,,,,,,
131,"Westfall Technik, Inc.",,First Lien Secured Debt,,"7.33 (3M L+500, 1.00 Floor)",,09/13/24,,4712,,,4618,,,4617,,,(9),,,,,,,,
132,,,First Lien Secured Debt - Unfunded Delayed Draw,,1.00 Unfunded,,09/13/24,,10769,,,(100,,,(108,,,(8)(9)(21)(23),,,,,,,,
133,,,First Lien Secured Debt - Unfunded Revolver,,0.50 Unfunded,,09/13/24,,2019,,,(37,,,(40,,,(8)(9)(21)(23),,,,,,,,
134,,,,,,,,,,,4481,,,4469,,,,,,,,,,,,
135,"Total Chemical, Plastics & Rubber",,,,78231,,,,67332,,,,,,,,,,,,,,,,,
136,Consumer Goods – Durable,,,,,,,,,,,,,,,,,,,,,,,,,
137,"Hayward Industries, Inc.",,Second Lien Secured Debt,,10.49 (1M L+825),,08/04/25,,,20836,,,,20565,,,,20718,,,,,,,,
138,KLO Holdings,,,,,,,,,,,,,,,,,,,,,,,,,
139,9357-5991 Quebec Inc.,,First Lien Secured Debt,,"10.01 (1M L+775, 0.75 Floor)",,04/07/22,,9203,,,9122,,,8873,,,,,,,,,,,
140,KLO Acquisition LLC,,First Lien Secured Debt,,"10.01 (1M L+775, 0.75 Floor)",,04/07/22,,5328,,,5281,,,5137,,,,,,,,,,,
141,,,,,,,,,,,14403,,,14010,,,,,,,,,,,,
142,"Sorenson Holdings, LLC",,Common Equity/Interests - Membership Interests,,N/A,,N/A,,587 Shares,,,0,,,493,,,(13),,,,,,,,
143,Total Consumer Goods - Durable,,,,34968,,,,35221,,,,,,,,,,,,,,,,,
144,Industry / Company,,Investment Type,,Interest Rate (20),,Maturity  Date,,Par / Shares (12),,Cost (30),,Fair  Value (1) (31),,,,,,,,,,,,,
145,Consumer Goods – Non-Durable,,,,,,,,,,,,,,,,,,,,,,,,,
146,"ABG Intermediate Holdings 2, LLC",,Second Lien Secured Debt,,"9.99 (1M L+775, 1.00 Floor)",,09/29/25,,,7371,,,,7343,,,,7431,,,(10),,,,,
147,"Sequential Brands Group, Inc.",,Second Lien Secured Debt,,10.92 (1M L+875),,02/07/24,,13229,,,13111,,,13209,,,(17),,,,,,,,
148,Reddy Ice Corporation,,First Lien Secured Debt,,"9.76 (1M L+750, 1.00 Floor)",,06/30/23,,29167,,,28751,,,28877,,,(9),,,,,,,,
149,,,First Lien Secured Debt,,"9.76 (1M L+750, 1.00 Floor)",,06/30/23,,191,,,188,,,189,,,(9),,,,,,,,
150,,,First Lien Secured Debt - Revolver,,11.75 (P+650),,06/30/23,,76,,,76,,,75,,,(9)(23),,,,,,,,
151,,,First Lien Secured Debt - Unfunded Revolver,,0.50 Unfunded,,06/30/23,,2844,,,(42,,,(13,,,(8)(9)(21)(23),,,,,,,,
152,,,First Lien Secured Debt - Letters of Credit,,4.50,,04/05/19,,9680,,,0,,,(96,,,(8)(9)(23),,,,,,,,
153,,,First Lien Secured Debt - Unfunded Delayed Draw,,0.00 Unfunded,,06/30/23,,1469,,,0,,,0,,,(9)(21)(23),,,,,,,,
154,,,,,,,,,,,28973,,,29032,,,,,,,,,,,,
155,Total Consumer Goods - Non-Durable,,,,49427,,,,49672,,,,,,,,,,,,,,,,,
156,Consumer Services,,,,,,,,,,,,,,,,,,,,,,,,,
157,1A Smart Start LLC,,Second Lien Secured Debt,,"10.49 (1M L+825, 1.00 Floor)",,08/22/22,,,25100,,,,24681,,,,24667,,,,,,,,
158,Nemo (BC) Bidco Pty Ltd,,First Lien Secured Debt,,"8.06 (3M BBSW+575, 1.00 Floor)",,04/06/24,,A$,6008,,,4350,,,4250,,,(17),,,,,,,
159,,,First Lien Secured Debt,,"8.06 (3M BBSW+575, 1.00 Floor)",,04/06/24,,A$,303,,,221,,,215,,,(17),,,,,,,
160,,,First Lien Secured Debt - Unfunded Delayed Draw,,2.59 Unfunded,,04/06/24,,A$,688,,,(7,,,(11,,,(8)(17)(21)(23),,,,,,,
161,,,,,,,,,,,4564,,,4454,,,,,,,,,,,,
162,Total Consumer Services,,,,29245,,,,29121,,,,,,,,,,,,,,,,,
163,"Containers, Packaging & Glass",,,,,,,,,,,,,,,,,,,,,,,,,
164,"Sprint Industrial Holdings, LLC",,Second Lien Secured Debt,,13.50 PIK,,11/14/19,,,20378,,,,18107,,,,13636,,,(13)(14),,,,,
165,,,Common Equity/Interests - Warrants,,N/A,,N/A,,"7,341 Warrants",,,0,,,0,,,(13)(26),,,,,,,,
166,,,,,,,,,,,18107,,,13636,,,,,,,,,,,,
167,"TricorBraun Holdings, Inc.",,First Lien Secured Debt - Revolver,,7.50 (P+225),,11/30/21,,818,,,818,,,819,,,(23),,,,,,,,
168,,,First Lien Secured Debt - Revolver,,5.49 (1M L+325),,11/30/21,,1500,,,1500,,,1503,,,(23),,,,,,,,
169,,,First Lien Secured Debt - Unfunded Revolver,,0.50 Unfunded,,11/30/21,,3307,,,(320,,,0,,,(21)(23),,,,,,,,
170,,,1998,,,2322,,,,,,,,,,,,,,,,,,,,
171,"Total Containers, Packaging & Glass",,,,20105,,,,15958,,,,,,,,,,,,,,,,,
172,"Diversified Investment Vehicles, Banking, Finance, Real Estate",,,,,,,,,,,,,,,,,,,,,,,,,
173,Craft 2015-2,,Structured Products and Other - Credit-Linked Note,,11.23 (3M L+925),,01/16/24,,24998,,,25495,,,24998,,,(11)(17),,,,,,,,
174,"Flock SPV I, LLC",,First Lien Secured Debt,,8.77 (1M L+650),,08/30/22,,8000,,,7922,,,7922,,,(9)(17),,,,,,,,
175,,,First Lien Secured Debt - Revolver,,8.74 (1M L+650),,08/30/22,,1333,,,1320,,,1320,,,(9)(17)(23),,,,,,,,
176,,,First Lien Secured Debt - Unfunded Delayed Draw,,0.50 Unfunded,,08/30/22,,10667,,,(104,,,(104,,,(8)(9)(17)(21)(23),,,,,,,,
177,,,,,,,,,,,9138,,,9138,,,,,,,,,,,,
178,"Golden Bear 2016-R, LLC (3)(4)",,Structured Products and Other - Membership Interests,,N/A,,09/20/42,,0,,,16595,,,13386,,,(17),,,,,,,,
179,Mayfield Agency Borrower Inc.,,Second Lien Secured Debt,,"10.74 (1M L+850, 0.00 Floor)",,03/02/26,,5000,,,4930,,,4981,,,(10),,,,,,,,
180,Industry / Company,,Investment Type,,Interest Rate (20),,Maturity  Date,,Par / Shares (12),,Cost (30),,Fair  Value (1) (31),,,,,,,,,,,,,
181,"Purchasing Power, LLC",,First Lien Secured Debt,,7.62 (1M L+550),,05/09/19,,6300,,,6275,,,6274,,,(9),,,,,,,,
182,,,First Lien Secured Debt - Unfunded Revolver,,0.50 Unfunded,,05/09/19,,3000,,,(12,,,(12,,,(8)(9)(21)(23),,,,,,,,
183,,,First Lien Secured Debt - Unfunded Delayed Draw,,0.50 Unfunded,,05/09/19,,20700,,,(83,,,(85,,,(8)(9)(21)(23),,,,,,,,
184,,,,,,,,,,,6180,,,6177,,,,,,,,,,,,
185,"Ten-X, LLC",,First Lien Secured Debt - Unfunded Revolver,,0.50 Unfunded,,09/29/22,,4680,,,(337,,,(348,,,(8)(21)(23),,,,,,,,
186,"Total Diversified Investment Vehicles, Banking, Finance, Real Estate",,,,62001,,,,58332,,,,,,,,,,,,,,,,,
187,Energy – Electricity,,,,,,,,,,,,,,,,,,,,,,,,,
188,"AMP Solar Group, Inc. (4)",,Common Equity/Interests - Class A Common Unit,,N/A,,N/A,,"243,646 Shares",,,10000,,,5238,,,(13)(17),,,,,,,,
189,Renew Financial,,,,,,,,,,,,,,,,,,,,,,,,,
190,"AIC SPV Holdings II, LLC (4)",,Preferred Equity - Preferred Stock,,N/A,,N/A,,143 Shares,,,534,,,949,,,(15)(17),,,,,,,,
191,"Renew Financial LLC (f/k/a Renewable Funding, LLC) (4)",,Preferred Equity - Series B Preferred Stock,,N/A,,N/A,,"1,505,868 Shares",,,8343,,,18469,,,(13),,,,,,,,
192,,,Preferred Equity - Series D Preferred Stock,,N/A,,N/A,,"436,689 Shares",,,5568,,,6426,,,(13),,,,,,,,
193,Renew JV LLC (4),,Common Equity/Interests - Membership Interests,,N/A,,N/A,,N/A,,,1602,,,1682,,,(13)(17),,,,,,,,
194,,,,,,,,,,,16047,,,27526,,,,,,,,,,,,
195,Solarplicity Group,,,,,,,,,,,,,,,,,,,,,,,,,
196,Solarplicity Group Limited (3)(4),,First Lien Secured Debt,,N/A,,11/30/22,,£,4331,,,5811,,,5514,,,(13)(17),,,,,,,
197,Solarplicity UK Holdings Limited,,First Lien Secured Debt,,4.00,,03/08/23,,£,5562,,,7637,,,7038,,,(17),,,,,,,
198,,,Preferred Equity - Preferred Stock,,N/A,,N/A,,"4,286 Shares",,,5861,,,4847,,,(2)(13)(17),,,,,,,,
199,,,Common Equity/Interests - Ordinary Shares,,N/A,,N/A,,"2,825 Shares",,,4,,,794,,,(2)(13)(17),,,,,,,,
200,,,,,,,,,,,19313,,,18193,,,,,,,,,,,,
201,Total Energy – Electricity,,,,45360,,,,50957,,,,,,,,,,,,,,,,,
202,Energy – Oil & Gas,,,,,,,,,,,,,,,,,,,,,,,,,
203,"Glacier Oil & Gas Corp. (f/k/a Miller Energy Resources, Inc.) (5)",,First Lien Secured Debt,,8.00 Cash (10.00 PIK Toggle),,03/29/19,,,15000,,,,15000,,,,15000,,,,,,,,
204,,,Second Lien Secured Debt,,10.00 PIK (8.00 Cash Toggle),,03/29/21,,32067,,,32067,,,32067,,,,,,,,,,,
205,,,Common Equity/Interests - Common Stock,,N/A,,N/A,,"5,000,000 Shares",,,30079,,,13715,,,(13),,,,,,,,
206,,,,,,,,,,,77146,,,60782,,,,,,,,,,,,
207,"Pelican Energy, LLC (4)",,Common Equity/Interests - Membership Interests,,N/A,,N/A,,"1,444 Shares",,,19458,,,7299,,,(13)(17)(29),,,,,,,,
208,"SHD Oil & Gas, LLC (5)",,First Lien Secured Debt - Tranche C Note,,12.00,,12/31/19,,19200,,,19200,,,19776,,,,,,,,,,,
209,,,First Lien Secured Debt - Tranche A Note,,14.00 (8.00 Cash plus 6.00 PIK),,12/31/19,,44771,,,44771,,,46114,,,,,,,,,,,
210,,,First Lien Secured Debt - Tranche B Note,,14.00 PIK,,12/31/19,,78536,,,44380,,,47788,,,(13)(14),,,,,,,,
211,,,First Lien Secured Debt - Unfunded Delayed Draw,,0.00 Unfunded,,12/31/19,,2800,,,0,,,0,,,(21)(23),,,,,,,,
212,,,Common Equity/Interests - Series A Units,,N/A,,N/A,,"7,600,000 Shares",,,1412,,,0,,,(13)(29),,,,,,,,
213,,,,,,,,,,,109763,,,113678,,,,,,,,,,,,
214,Total Energy – Oil & Gas,,,,206367,,,,181759,,,,,,,,,,,,,,,,,
215,Industry / Company,,Investment Type,,Interest Rate (20),,Maturity  Date,,Par / Shares (12),,Cost (30),,Fair  Value (1) (31),,,,,,,,,,,,,
216,Food & Grocery,,,,,,,,,,,,,,,,,,,,,,,,,
217,Bumble Bee Foods,,,,,,,,,,,,,,,,,,,,,,,,,
218,"Bumble Bee Holdings, Inc.",,First Lien Secured Debt,,"10.31 (3M L+800, 1.00 Floor)",,08/15/23,,,15429,,,,15165,,,,15120,,,,,,,,
219,Connors Bros Clover Leaf Seafoods Company,,First Lien Secured Debt,,"10.31 (3M L+800, 1.00 Floor)",,08/15/23,,4371,,,4297,,,4284,,,,,,,,,,,
220,,,,,,,,,,,19462,,,19404,,,,,,,,,,,,
221,"Grocery Outlet, Inc.",,Second Lien Secured Debt,,"10.49 (1M L+825, 1.00 Floor)",,10/21/22,,25000,,,24808,,,25125,,,(10),,,,,,,,
222,Total Food & Grocery,,,,44270,,,,44529,,,,,,,,,,,,,,,,,
223,Healthcare & Pharmaceuticals,,,,,,,,,,,,,,,,,,,,,,,,,
224,Altasciences,,,,,,,,,,,,,,,,,,,,,,,,,
225,9360-1367 Quebec Inc.,,First Lien Secured Debt,,"8.49 (1M L+625, 1.00 Floor)",,06/09/23,,,2884,,,,2833,,,,2776,,,(9)(17),,,,,
