,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
21,Accrued administrative services expense,1251,,,794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Other liabilities and accrued expenses,6651,,,7739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Total Liabilities,,1542321,,,,1508159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Commitments and contingencies (Note 8),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Net Assets,,1043005,,,,1036330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Net Assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,"Common stock, $0.001 par value (130,000,000 shares authorized; 65,113,604 and 65,259,176 shares issued and outstanding, respectively)",,65,,,,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Capital in excess of par value,2097832,,,2099876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Accumulated under-distributed (over-distributed) earnings,"(1,054,892)",,,"(1,063,611)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Net Assets,,1043005,,,,1036330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Net Asset Value Per Share,,16.02,,,,15.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Industry / Company,,Investment Type,,Interest Rate (20),,Maturity Date,,Par/Shares (12),,Cost (27),,,Fair Value  (1)(28),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,"Advertising, Printing & Publishing",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,FingerPaint Marketing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,KL Charlie Acquisition Company,,First Lien Secured Debt,,"6.25% (1M L+525, 1.00% Floor)",,12/30/26,,,3504,,,,3469,,,,,3469,,,(9),,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,,,First Lien Secured Debt,,"6.25% (3M L+525, 1.00% Floor)",,12/30/26,,18606,,18262,,,,18420,,,(9),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,,First Lien Secured Debt - Unfunded Revolver,,0.50% Unfunded,,12/30/26,,2190,,(19),,,,(22),,,(8)(9)  (21)(23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,,First Lien Secured Debt - Unfunded Delayed Draw,,1.00% Unfunded,,12/30/26,,876,,(20),,,,(9),,,(8)(9)  (21)(23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,"KL Charlie Co-Invest, L.P.",,Common Equity - Common Stock,,N/A,,N/A,,"218,978 Shares",,219,,,,370,,,(9)(13)  (25),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,,,,,,,,,,,21911,,,,22228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,"Simplifi Holdings, Inc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,"Simplifi Holdings, Inc.",,First Lien Secured Debt,,"6.25% (6M L+525, 1.00% Floor)",,08/02/25,,38342,,37851,,,,38020,,,(9),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,,,First Lien Secured Debt - Revolver,,7.50% (P+425),,08/02/25,,720,,720,,,,713,,,(9)(23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,,,First Lien Secured Debt - Unfunded Revolver,,0.50% Unfunded,,08/02/25,,1680,,(38),,,,(16),,,(8)(9)  (21)(23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,,,,,,,,,,,38533,,,,38717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,,,,,"Total Advertising, Printing & Publishing",,,60444,,,,,60945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Aerospace & Defense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Erickson Inc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Erickson Inc,,First Lien Secured Debt - Revolver,,"9.00% (3M L+750, 1.50% Floor)",,04/28/22,,,32877,,,,32877,,,,,32384,,,(9)(23),,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,,,First Lien Secured Debt - Unfunded Revolver,,0.50% Unfunded,,04/28/22,,1694,,(77),,,,(25),,,(8)(9)  (21)(23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,,,First Lien Secured Debt - Letters of Credit,,7.50%,,09/30/21 - 11/23/22,,1429,,-,,,,(21),,,(8)(9)  (23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,,,,,Total Aerospace & Defense,,,32800,,,,,32338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Automotive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Club Car Wash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,"Club Car Wash Operating, LLC",,First Lien Secured Debt,,"7.50% (6M L+650, 1.00% Floor)",,06/16/27,,,13813,,,,13572,,,,,13571,,,(9),,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,,,First Lien Secured Debt - Unfunded Revolver,,0.50% Unfunded,,06/16/27,,2438,,(42),,,,(43),,,(8)(9)  (21)(23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,,,First Lien Secured Debt - Unfunded Delayed Draw,,0.50% Unfunded,,06/16/27,,16250,,(282),,,,(284),,,(8)(9)  (21)(23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,,,,,,,,,,,13248,,,,13244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Crowne Automotive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,"Vari-Form Group, LLC",,First Lien Secured Debt,,11.00% (7.00% Cash plus 4.00% PIK),,02/02/23,,5860,,901,,,,293,,,(9)(14),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Vari-Form Inc.,,First Lien Secured Debt,,11.00% (7.00% Cash plus 4.00% PIK),,02/02/23,,2110,,391,,,,105,,,(9)(14),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,,,,,,,,,,,1292,,,,398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,"K&N Parent, Inc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,"K&N Parent, Inc.",,Second Lien Secured Debt,,"9.75% (3M L+875, 1.00% Floor)",,10/21/24,,23765,,23565,,,,22279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,"Truck-Lite Co., LLC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,"TL Lighting Holdings, LLC",,Common Equity - Equity,,N/A,,N/A,,350 Shares,,350,,,,382,,,(9)(13),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,"Truck-Lite Co., LLC",,First Lien Secured Debt,,"7.25% (3M L+625, 1.00% Floor)",,12/14/26,,28513,,27981,,,,28353,,,(9),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,,,First Lien Secured Debt - Revolver,,"7.25% (3M L+625, 1.00% Floor)",,12/13/24,,218,,218,,,,217,,,(9)(23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,,,First Lien Secured Debt - Unfunded Revolver,,0.50% Unfunded,,12/13/24,,2729,,(49),,,,(8),,,(8)(9)  (21)(23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,,,First Lien Secured Debt - Letters of Credit,,6.25%,,12/01/21 - 12/21/21,,105,,-,,,,-,,,(9)(23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,,,,,,,,,,,28500,,,,28944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,,,,,Total Automotive,,,66605,,,,,64865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,Industry / Company,,Investment Type,,Interest Rate (20),,Maturity Date,,Par/Shares (12),,Cost (27),,,Fair Value  (1)(28),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,Aviation and Consumer Transport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,"Merx Aviation Finance, LLC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,"Merx Aviation Finance, LLC (5)",,First Lien Secured Debt - Revolver,,10.00%,,10/31/23,,,190500,,,,190500,,,,,190500,,,(23),,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,,,First Lien Secured Debt - Letter of Credit,,2.25%,,07/13/21,,177,,-,,,,-,,,(23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,,,Common Equity - Membership Interests,,N/A,,N/A,,N/A,,120300,,,,123841,,,(25),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,,,,,,,,,,,310800,,,,314341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,Primeflight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,"PrimeFlight Aviation Services, Inc.",,First Lien Secured Debt,,"7.25% (1M L+625, 1.00% Floor)",,05/09/24,,17447,,17218,,,,17194,,,(9),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,,,,,Total Aviation and Consumer Transport,,,328018,,,,,331535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,"Beverage, Food & Tobacco",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,Bolthouse Farms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,"Wm. Bolthouse Farms, Inc.",,Common Equity - Common Stock,,N/A,,N/A,,"1,000,000 Shares",,,1001,,,,,1220,,,(13),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,Eagle Foods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,"Eagle Foods Family Group, LLC",,First Lien Secured Debt,,"7.50% (6M L+650, 1.00% Floor)",,06/14/24,,,23292,,,23152,,,,23292,,,(9),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,,,First Lien Secured Debt,,"7.50% (2M L+650, 1.00% Floor)",,06/14/24,,83,,82,,,,83,,,(9),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,,,First Lien Secured Debt - Revolver,,"7.50% (1M L+650, 1.00% Floor)",,06/14/23,,333,,333,,,,333,,,(9)(23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,,,First Lien Secured Debt - Revolver,,"7.50% (3M L+650, 1.00% Floor)",,06/14/23,,1167,,1167,,,,1167,,,(9)(23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,,,First Lien Secured Debt - Revolver,,"7.50% (6M L+650, 1.00% Floor)",,06/14/23,,583,,583,,,,583,,,(9)(23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,,,First Lien Secured Debt - Unfunded Revolver,,0.50% Unfunded,,06/14/23,,1667,,(16),,,,-,,,(9)(21)  (23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,,,,,,,,,,,25301,,,,25458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,"Florida Food Products, Inc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,"Florida Food Products, Inc.",,First Lien Secured Debt,,"7.50% (3M L+650, 1.00% Floor)",,09/08/25,,22647,,22307,,,,22534,,,(9),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,,,First Lien Secured Debt,,"8.25% (3M L+725, 1.00% Floor)",,09/08/25,,2970,,2798,,,,2970,,,(9),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,"Florida Food Products, LLC",,First Lien Secured Debt - Revolver,,"7.50% (3M L+650, 1.00% Floor)",,09/06/23,,342,,343,,,,341,,,(9)(23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,,,First Lien Secured Debt - Unfunded Revolver,,0.50% Unfunded,,09/06/23,,1370,,(19),,,,(7),,,(8)(9)  (21)(23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,,,,,,,,,,,25429,,,,25838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,"Orgain, Inc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,"Butterfly Fighter Co-Invest, L.P.",,Common Equity - Membership Interests,,N/A,,N/A,,"1,000,000 Shares",,1005,,,,1190,,,(13),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,TNT Crust LLC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,TNT Crust LLC,,First Lien Secured Debt,,"7.75% (3M L+675, 1.00% Floor)",,11/06/23,,21609,,21287,,,,21231,,,(9),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,,,First Lien Secured Debt - Revolver,,"7.75% (6M L+675, 1.00% Floor)",,11/06/23,,650,,650,,,,639,,,(9)(23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,,,First Lien Secured Debt - Unfunded Revolver,,0.50% Unfunded,,11/06/23,,2602,,(33),,,,(46),,,(8)(9)  (21)(23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,,,Common Equity - Series A Units,,N/A,,N/A,,244 Shares,,30,,,,247,,,(9)(13),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,,,,,,,,,,,21934,,,,22071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,Industry / Company,,Investment Type,,Interest Rate (20),,Maturity Date,,Par/Shares (12),,Cost (27),,,Fair Value  (1)(28),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,Turkey Hill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,IC Holdings LLC,,Common Equity - Series A Units,,N/A,,N/A,,169 Shares,,169,,,,342,,,(9)(13),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,THLP CO. LLC,,First Lien Secured Debt,,"7.00% (1M L+600, 1.00% Floor)",,05/30/25,,25152,,24810,,,,24774,,,(9),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,,,First Lien Secured Debt - Unfunded Revolver,,0.50% Unfunded,,05/31/24,,4494,,(52),,,,(67),,,(8)(9)  (21)(23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,,,,,,,,,,,24927,,,,25049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,,,,,"Total Beverage, Food & Tobacco",,,99597,,,,,100826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,Business Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,Access Information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,"Access CIG, LLC",,Second Lien Secured Debt,,7.84% (1M L+775),,02/27/26,,,15900,,,,15811,,,,,15724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,Ambrosia Buyer Corp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,Ambrosia Buyer Corp.,,Second Lien Secured Debt,,9.00%,,08/28/25,,21429,,20059,,,,9270,,,(14),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,AML Rightsource,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,"Gabriel Partners, LLC",,First Lien Secured Debt,,"7.25% (3M L+625, 1.00% Floor)",,09/21/26,,15040,,14739,,,,14739,,,(9),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,,,First Lien Secured Debt,,"7.25% (6M L+625, 1.00% Floor)",,09/21/26,,10150,,9931,,,,9947,,,(9),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,,,First Lien Secured Debt - Unfunded Revolver,,0.50% Unfunded,,09/21/26,,665,,(14),,,,(13),,,(8)(9)  (21)(23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,,,,,,,,,,,24656,,,,24673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,Claritas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,"Claritas, LLC",,First Lien Secured Debt,,"6.75% (3M L+575, 1.00% Floor)",,12/21/23,,3721,,3702,,,,3684,,,(9),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,,,First Lien Secured Debt - Revolver,,"6.75% (1M L+575, 1.00% Floor)",,12/21/23,,52,,52,,,,51,,,(9)(23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,,,First Lien Secured Debt - Revolver,,"6.75% (3M L+575, 1.00% Floor)",,12/21/23,,77,,77,,,,77,,,(9)(23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,,,First Lien Secured Debt - Unfunded Revolver,,0.50% Unfunded,,12/21/23,,902,,(5),,,,(9),,,(8)(9)  (21)(23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,,,,,,,,,,,3826,,,,3803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,Continuum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,"Continuum Global Solutions, LLC",,First Lien Secured Debt - Revolver,,"6.50% (1M L+550, 1.00% Floor)",,02/15/22,,2762,,2762,,,,2714,,,(9)(23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,,,First Lien Secured Debt - Unfunded Revolver,,0.50% Unfunded,,02/15/22,,17238,,(102),,,,(302),,,(8)(9)  (21)(23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,,,Preferred Equity - Preferred Equity,,N/A,,N/A,,775 Shares,,78,,,,78,,,(9)(13),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,,,,,,,,,,,2738,,,,2490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,Education Personnel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,Arthur Bidco Limited,,First Lien Secured Debt,,"6.00% (1M GBPL+550, 0.50% Floor)",,08/31/24,,£,4035,,,5168,,,,5488,,,(9)(17),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,,,First Lien Secured Debt - Revolver,,"6.00% (1M GBPL+550, 0.50% Floor)",,08/31/24,,£,1471,,,1884,,,,2000,,,(9)(17)  (23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,,,,,,,,,,,7052,,,,7488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,Electro Rent Corporation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,Electro Rent Corporation,,Second Lien Secured Debt,,"10.00% (3M L+900, 1.00% Floor)",,01/31/25,,34235,,33704,,,,33893,,,(9),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,Elo Touch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,TGG TS Acquisition Company,,First Lien Secured Debt - Unfunded Revolver,,0.50% Unfunded,,12/14/23,,1750,,-,,,,(35),,,(8)(21)  (23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,Ensemble Health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,"EHL Merger Sub, LLC",,First Lien Secured Debt - Unfunded Revolver,,0.25% Unfunded,,08/01/24,,4155,,(235),,,,(139),,,(8)(21)  (23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,Industry / Company,,Investment Type,,Interest Rate (20),,Maturity Date,,Par/Shares (12),,Cost (27),,,Fair Value  (1)(28),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,Jacent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,Jacent Strategic Merchandising,,First Lien Secured Debt,,"6.75% (3M L+575, 1.00% Floor)",,04/23/24,,22256,,,22068,,,,21889,,,(9),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,,,First Lien Secured Debt - Revolver,,"6.75% (3M L+575, 1.00% Floor)",,04/23/24,,2567,,,2567,,,,2524,,,(9)(23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,,,First Lien Secured Debt - Unfunded Revolver,,0.50% Unfunded,,04/23/24,,933,,,(30),,,,(15),,,(8)(9)  (21)(23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,,,Common Equity - Common Stock,,N/A,,N/A,,"5,000 Shares",,500,,,,250,,,(9)(13),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,"JSM Equity Investors, L.P.",,Preferred Equity - Class P Partnership Units,,N/A,,N/A,,114 Shares,,11,,,,11,,,(9)(13),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,,,,,,,,,,,25116,,,,24659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,Jones & Frank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,"JF Acquisition, LLC",,First Lien Secured Debt,,"6.50% (6M L+550, 1.00% Floor)",,07/31/24,,5272,,,5206,,,,5209,,,(9),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,,,First Lien Secured Debt,,"6.50% (12M L+550, 1.00% Floor)",,07/31/24,,7867,,,7770,,,,7773,,,(9),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,,,First Lien Secured Debt,,"6.50% (3M L+550, 1.00% Floor)",,07/31/24,,149,,,147,,,,147,,,(9),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,,,First Lien Secured Debt - Revolver,,"6.50% (12M L+550, 1.00% Floor)",,07/31/24,,942,,,942,,,,930,,,(9)(23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,,,First Lien Secured Debt - Unfunded Revolver,,0.50% Unfunded,,07/31/24,,628,,,(19),,,,(7),,,(8)(9)  (21)(23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,,,,,,,,,,,14046,,,,14052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,MAKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,Trident Bidco Limited,,First Lien Secured Debt,,"6.50% (6M L+550, 1.00% Floor)",,11/08/25,,34125,,,33379,,,,33842,,,(9)(17),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,McLarens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,Margaux Acquisition Inc.,,First Lien Secured Debt,,"6.50% (3M L+550, 1.00% Floor)",,12/19/24,,22995,,,22728,,,,22857,,,(9),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,,,First Lien Secured Debt - Unfunded Revolver,,0.50% Unfunded,,12/19/24,,1601,,,(19),,,,(10),,,(8)(9)  (21)(23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,Margaux UK Finance Limited,,First Lien Secured Debt,,"6.50% (3M GBPL+550, 1.00% Floor)",,12/19/24,,£,7164,,,8951,,,,9836,,,(9)(17),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
