,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
70,"PrimeFlight Aviation Services, Inc.",,First Lien Secured Debt,,,"SOFR+  625  ,  1.00   Floor",,05/09/24,,,,17259,,,,,17129,,,,,17172,,,(9)(32),,,,,,,,,,,,,,,,,,,,
71,,,,,,,Total Aviation and Consumer Transport,,,,,313629,,,,,278618,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,Industry/Company,,Investment Type,,,Interest Rate,,Maturity Date,,Par/Shares (12),,,Cost (34),,,Fair Value (1)(35),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,"Beverage, Food & Tobacco",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,Berner Foods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,"Berner Food & Beverage, LLC",,First Lien Secured Debt,,,"L+  550  ,  1.00   Floor",,07/30/27,,,,30730,,,,,30175,,,,,30576,,,(9)(28),,,,,,,,,,,,,,,,,,,,
76,,,First Lien Secured Debt - Revolver,,,P+  450,,07/30/26,,,,259,,,,,255,,,,,258,,,(9)(21)(23)(25),,,,,,,,,,,,,,,,,,,,
77,,,First Lien Secured Debt - Revolver,,,"L+  550  ,  1.00   Floor",,07/30/26,,,,2622,,,,,533,,,,,563,,,(9)(21)(23)(28),,,,,,,,,,,,,,,,,,,,
78,,,,,,,,,,,,,,,,,30963,,,,,31397,,,,,,,,,,,,,,,,,,,,,,,
79,Bolthouse Farms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,"Wm. Bolthouse Farms, Inc.",,Common Equity - Equity Interests,,,N/A,,N/A,,,"1,086,122  Shares",,,,,1147,,,,,1162,,,(13)(24),,,,,,,,,,,,,,,,,,,,,
81,Hive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,"FCP-Hive Holdings, LLC",,Preferred Equity - Preferred Equity,,,N/A,,N/A,,,589  Shares,,,,,448,,,,,234,,,(9)(13),,,,,,,,,,,,,,,,,,,,,
83,,,Common Equity - Common Stock,,,N/A,,N/A,,,589  Shares,,,,,3,,,,,0,,,(9)(13),,,,,,,,,,,,,,,,,,,,,
84,"Hive Intermediate, LLC",,First Lien Secured Debt,,,"SOFR+  400  Cash plus  2.00   PIK,  1.00   Floor",,09/22/27,,,,17063,,,,,16794,,,,,16381,,,(9)(31),,,,,,,,,,,,,,,,,,,,
85,,,First Lien Secured Debt - Revolver,,,"SOFR+  400  Cash plus  2.00   PIK,  1.00   Floor",,09/22/27,,,,2326,,,,,275,,,,,217,,,(9)(21)(23)(31),,,,,,,,,,,,,,,,,,,,
86,,,,,,,,,,,,,,,,,17520,,,,,16832,,,,,,,,,,,,,,,,,,,,,,,
87,"Orgain, Inc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,"Butterfly Fighter Co-Invest, L.P.",,Common Equity - Membership Interests,,,N/A,,N/A,,,"490,000  Shares",,,,,90,,,,,898,,,,,,,,,,,,,,,,,,,,,,,,
89,Rise Baking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,Ultimate Baked Goods Midco LLC,,First Lien Secured Debt,,,"L+  650  ,  1.00   Floor",,08/13/27,,,,26489,,,,,25959,,,,,25591,,,(9)(28),,,,,,,,,,,,,,,,,,,,
91,,,First Lien Secured Debt - Revolver,,,"L+  650  ,  1.00   Floor",,08/13/27,,,,3243,,,,,787,,,,,741,,,(9)(20)(21)(23)  (28),,,,,,,,,,,,,,,,,,,,
92,,,,,,,,,,,,,,,,,26746,,,,,26332,,,,,,,,,,,,,,,,,,,,,,,
93,Turkey Hill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,IC Holdings LLC,,Common Equity - Series A Units,,,N/A,,N/A,,,169  Shares,,,,,169,,,,,141,,,(9)(13),,,,,,,,,,,,,,,,,,,,,
95,THLP CO. LLC,,First Lien Secured Debt,,,"L+  600  Cash plus  2.00   PIK,  1.00   Floor",,05/31/25,,,,25457,,,,,25233,,,,,25075,,,(9)(29),,,,,,,,,,,,,,,,,,,,
96,,,First Lien Secured Debt - Revolver,,,"L+  600  Cash plus  2.00   PIK,  1.00   Floor",,05/31/24,,,,4494,,,,,1918,,,,,1874,,,(9)(20)(21)(23)  (28)(29),,,,,,,,,,,,,,,,,,,,
97,,,,,,,,,,,,,,,,,27320,,,,,27090,,,,,,,,,,,,,,,,,,,,,,,
98,,,,,,,"Total Beverage, Food & Tobacco",,,,,103786,,,,,103711,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,Business Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,Access Information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,"Access CIG, LLC",,Second Lien Secured Debt,,,"L+  775  ,  0.00   Floor",,02/27/26,,,,15900,,,,,15836,,,,,15503,,,(26),,,,,,,,,,,,,,,,,,,,
102,AlpineX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,"Alpinex Opco, LLC",,First Lien Secured Debt,,,"SOFR+  626  ,  1.00   Floor",,12/27/27,,,,21489,,,,,21070,,,,,20915,,,(9)(32),,,,,,,,,,,,,,,,,,,,
104,,,First Lien Secured Debt - Revolver,,,"SOFR+  626  ,  1.00   Floor",,12/27/27,,,,1489,,,,,565,,,,,566,,,(9)(21)(23)(32),,,,,,,,,,,,,,,,,,,,
105,,,,,,,,,,,,,,,,,21635,,,,,21481,,,,,,,,,,,,,,,,,,,,,,,
106,Ambrosia Buyer Corp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,Ambrosia Buyer Corp.,,Second Lien Secured Debt,,,8.00,,08/28/25,,,,21429,,,,,17307,,,,,6429,,,(14)(28),,,,,,,,,,,,,,,,,,,,
108,AML Rightsource,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,"Gabriel Partners, LLC",,First Lien Secured Debt,,,"L+  600  ,  1.00   Floor",,09/21/26,,,,31213,,,,,30739,,,,,30583,,,(9)(26),,,,,,,,,,,,,,,,,,,,
110,,,First Lien Secured Debt - Revolver,,,P+  500,,09/21/26,,,,665,,,,,122,,,,,116,,,(9)(21)(23)(25),,,,,,,,,,,,,,,,,,,,
111,,,,,,,,,,,,,,,,,30861,,,,,30699,,,,,,,,,,,,,,,,,,,,,,,
112,Industry/Company,,Investment Type,,,Interest Rate,,Maturity Date,,Par/Shares (12),,,Cost (34),,,Fair Value (1)(35),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,Continuum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,"Continuum Global Solutions, LLC",,Preferred Equity - Preferred Equity,,,N/A,,N/A,,,775  Shares,,,,,78,,,,,78,,,(9)(13),,,,,,,,,,,,,,,,,,,,,
115,Electro Rent Corporation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,Electro Rent Corporation,,Second Lien Secured Debt,,,"L+  900  ,  1.00   Floor",,01/31/25,,,,34235,,,,,33906,,,,,34064,,,(9)(28),,,,,,,,,,,,,,,,,,,,
117,Elo Touch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,TGG TS Acquisition Company,,First Lien Secured Debt - Revolver,,,"L+  650  ,  0.00   Floor",,12/14/23,,,,1750,,,,,0,,,,,(  26,,,(8)(21)(23),,,,,,,,,,,,,,,,,,,,
119,Ensemble Health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,"EHL Merger Sub, LLC",,First Lien Secured Debt - Revolver,,,"L+  325  ,  0.00   Floor",,08/01/24,,,,4155,,,,,(  122,,,,,(  166,,,(8)(21)(23),,,,,,,,,,,,,,,,,,,,
121,IRP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,Precision Refrigeration & Air Conditioning LLC,,First Lien Secured Debt,,,"SOFR+  650  ,  1.00   Floor",,03/08/28,,,,10143,,,,,9951,,,,,9940,,,(9)(32),,,,,,,,,,,,,,,,,,,,
123,,,First Lien Secured Debt - Revolver,,,"SOFR+  600  ,  1.00   Floor",,03/08/27,,,,1705,,,,,(  29,,,,,(  34,,,(8)(9)(21)(23),,,,,,,,,,,,,,,,,,,,
124,"SMC IR Holdings, LLC",,Common Equity - Common Stock,,,N/A,,N/A,,,134  Shares,,,,,145,,,,,189,,,(9)(24),,,,,,,,,,,,,,,,,,,,,
125,,,,,,,,,,,,,,,,,10067,,,,,10095,,,,,,,,,,,,,,,,,,,,,,,
126,Jacent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,Jacent Strategic Merchandising,,First Lien Secured Debt,,,"L+  725  ,  1.00   Floor",,04/23/24,,,,22159,,,,,22062,,,,,21140,,,(9)(26),,,,,,,,,,,,,,,,,,,,
128,,,First Lien Secured Debt - Revolver,,,"L+  725  ,  1.00   Floor",,04/23/24,,,,3500,,,,,3443,,,,,3341,,,(9)(21)(23)(26),,,,,,,,,,,,,,,,,,,,
129,,,Common Equity - Common Stock,,,N/A,,N/A,,,"5,000  Shares",,,,,500,,,,,0,,,(9)(13),,,,,,,,,,,,,,,,,,,,,
130,"JSM Equity Investors, L.P.",,Preferred Equity - Class P Partnership Units,,,N/A,,N/A,,,114  Shares,,,,,11,,,,,11,,,(9)(13),,,,,,,,,,,,,,,,,,,,,
131,,,,,,,,,,,,,,,,,26016,,,,,24492,,,,,,,,,,,,,,,,,,,,,,,
132,Jones & Frank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,"JF Acquisition, LLC",,First Lien Secured Debt,,,"L+  550  ,  1.00   Floor",,07/31/26,,,,13100,,,,,12978,,,,,12780,,,(9)(26),,,,,,,,,,,,,,,,,,,,
134,,,First Lien Secured Debt - Revolver,,,"L+  550  ,  1.00   Floor",,07/31/26,,,,1569,,,,,1366,,,,,1342,,,(9)(21)(23)(26),,,,,,,,,,,,,,,,,,,,
135,,,,,,,,,,,,,,,,,14344,,,,,14122,,,,,,,,,,,,,,,,,,,,,,,
136,Naviga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,"Naviga Inc. (fka Newscycle Solutions, Inc.)",,First Lien Secured Debt,,,"SOFR+  700  ,  1.00   Floor",,12/29/23,,,,13295,,,,,13227,,,,,13295,,,(9)(32),,,,,,,,,,,,,,,,,,,,
138,,,First Lien Secured Debt - Revolver,,,"SOFR+  700  ,  1.00   Floor",,12/29/23,,,,500,,,,,442,,,,,444,,,(9)(21)(23)(32),,,,,,,,,,,,,,,,,,,,
139,,,,,,,,,,,,,,,,,13669,,,,,13739,,,,,,,,,,,,,,,,,,,,,,,
140,PSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,"Graffiti Buyer, Inc.",,First Lien Secured Debt,,,"L+  550  ,  1.00   Floor",,08/10/27,,,,8375,,,,,6159,,,,,6147,,,(9)(21)(23)(28),,,,,,,,,,,,,,,,,,,,
142,,,First Lien Secured Debt - Revolver,,,"L+  550  ,  1.00   Floor",,08/10/27,,,,1307,,,,,506,,,,,507,,,(9)(21)(23)(28),,,,,,,,,,,,,,,,,,,,
143,"Graffiti Parent, LP",,Common Equity - Common Stock,,,N/A,,N/A,,,"2,439  Shares",,,,,244,,,,,290,,,(9)(13),,,,,,,,,,,,,,,,,,,,,
144,,,,,,,,,,,,,,,,,6909,,,,,6944,,,,,,,,,,,,,,,,,,,,,,,
145,"PSI Services, LLC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,"Lifelong Learner Holdings, LLC",,First Lien Secured Debt,,,"L+  575  ,  1.00   Floor",,10/19/26,,,,33714,,,,,33332,,,,,32062,,,(9)(28),,,,,,,,,,,,,,,,,,,,
147,,,First Lien Secured Debt - Revolver,,,"L+  575  ,  1.00   Floor",,10/20/25,,,,2985,,,,,2954,,,,,2864,,,(9)(21)(23)(28),,,,,,,,,,,,,,,,,,,,
148,,,,,,,,,,,,,,,,,36286,,,,,34926,,,,,,,,,,,,,,,,,,,,,,,
149,Soliant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,"Soliant Health, Inc.",,Common Equity - Membership Interests,,,N/A,,N/A,,,300  Shares,,,,,300,,,,,1381,,,(9),,,,,,,,,,,,,,,,,,,,,
151,Industry/Company,,Investment Type,,,Interest Rate,,Maturity Date,,Par/Shares (12),,,Cost (34),,,Fair Value (1)(35),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,Trench Plate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,Trench Plate Rental Co.,,First Lien Secured Debt,,,"SOFR+  550  ,  1.00   Floor",,12/03/26,,,,18091,,,,,17846,,,,,17820,,,(9)(32),,,,,,,,,,,,,,,,,,,,
154,,,First Lien Secured Debt - Revolver,,,"SOFR+  550  ,  1.00   Floor",,12/03/26,,,,1818,,,,,458,,,,,455,,,(9)(20)(21)(23)  (32),,,,,,,,,,,,,,,,,,,,
155,"Trench Safety Solutions Holdings, LLC",,Common Equity - Common Stock,,,N/A,,N/A,,,331  Shares,,,,,50,,,,,51,,,(9)(13)(24),,,,,,,,,,,,,,,,,,,,,
156,,,,,,,,,,,,,,,,,18354,,,,,18326,,,,,,,,,,,,,,,,,,,,,,,
157,US Legal Support,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,"US Legal Support Investment Holdings, LLC",,Common Equity - Series A-1 Units,,,N/A,,N/A,,,"631,972  Shares",,,,,632,,,,,619,,,(9)(13),,,,,,,,,,,,,,,,,,,,,
159,"USLS Acquisition, Inc.",,First Lien Secured Debt,,,"SOFR+  575  ,  1.00   Floor",,12/02/24,,,,19295,,,,,19150,,,,,18952,,,(9)(32),,,,,,,,,,,,,,,,,,,,
160,,,First Lien Secured Debt,,,"SOFR+  590  ,  1.00   Floor",,12/02/24,,,,4521,,,,,4484,,,,,4441,,,(9)(32),,,,,,,,,,,,,,,,,,,,
161,,,First Lien Secured Debt - Revolver,,,"SOFR+  575  ,  1.00   Floor",,12/02/24,,,,1608,,,,,861,,,,,856,,,(9)(20)(21)(23)  (32),,,,,,,,,,,,,,,,,,,,
162,,,,,,,,,,,,,,,,,25127,,,,,24868,,,,,,,,,,,,,,,,,,,,,,,
163,Wilson Language Training,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,"Owl Acquisition, LLC",,First Lien Secured Debt,,,"SOFR+  525  ,  1.00   Floor",,02/04/28,,,,9851,,,,,9675,,,,,9752,,,(9)(33),,,,,,,,,,,,,,,,,,,,
165,"Owl Parent Holdings, LLC",,Common Equity - Common Stock,,,N/A,,N/A,,,100  Shares,,,,,100,,,,,191,,,(9)(13)(24),,,,,,,,,,,,,,,,,,,,,
166,,,,,,,,,,,,,,,,,9775,,,,,9943,,,,,,,,,,,,,,,,,,,,,,,
167,,,,,,,Total Business Services,,,,,280348,,,,,266898,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,"Chemicals, Plastics & Rubber",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,Carbonfree Chemicals SPE I LLC (f/k/a Maxus Capital Carbon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,Carbonfree Chemicals Holdings LLC (4),,Common Equity - Common Equity / Interest,,,N/A,,N/A,,,"1,246  Shares",,,,,56505,,,,,20202,,,(13)(16)(24),,,,,,,,,,,,,,,,,,,,,
171,FC2 LLC (4),,Common Equity - Common Stock,,,N/A,,N/A,,,5  Shares,,,,,0,,,,,0,,,(24),,,,,,,,,,,,,,,,,,,,,
172,,,Secured Debt - Promissory Note,,,6.50,,10/14/27,,,,12500,,,,,12500,,,,,12500,,,,,,,,,,,,,,,,,,,,,,,
173,,,,,,,,,,,,,,,,,69005,,,,,32702,,,,,,,,,,,,,,,,,,,,,,,
174,"Westfall Technik, Inc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,"Westfall Technik, Inc.",,First Lien Secured Debt,,,"SOFR+  625  ,  1.00   Floor",,09/13/24,,,,21303,,,,,21160,,,,,20717,,,(9)(32),,,,,,,,,,,,,,,,,,,,
176,,,First Lien Secured Debt - Revolver,,,"SOFR+  625  ,  1.00   Floor",,09/13/24,,,,2039,,,,,2028,,,,,1983,,,(9)(23)(32),,,,,,,,,,,,,,,,,,,,
177,,,,,,,,,,,,,,,,,23188,,,,,22700,,,,,,,,,,,,,,,,,,,,,,,
178,,,,,,,"Total Chemicals, Plastics & Rubber",,,,,92193,,,,,55402,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,Construction & Building,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,Englert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,"Gutter Buyer, Inc.",,First Lien Secured Debt,,,"L+  625  ,  1.00   Floor",,03/06/25,,,,28969,,,,,28722,,,,,28096,,,(9)(26),,,,,,,,,,,,,,,,,,,,
