,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
72,"GCA Services Group, Inc., L+800, 11/1/20",,Diversified Service,,,22838,,,,22940,,,,23194,
73,"Grocery Outlet Inc., L+925, 6/17/19",,Grocery,,8674,,,8526,,,8847,,,,
74,"HD Vest Inc., L+800, 6/18/19 ‡",,Financial Services,,9396,,,9290,,,9302,,,,
75,"Healogics, Inc., L+800, 2/5/20",,Healthcare,,10000,,,10109,,,10242,,,,
76,"IMG Worldwide, Inc., L+725, 3/21/22",,Leisure,,2167,,,2145,,,2199,,,,
77,"Insight Pharmaceuticals, LLC., L+1175, 8/25/17",,Consumer Products,,15448,,,15243,,,15139,,,,
78,"Kronos, Inc., L+850, 4/30/20",,Business Services,,92516,,,91531,,,96332,,,,
79,"Landslide Holdings, Inc., L+725, 2/25/21",,Business Services,,5630,,,5588,,,5672,,,,
80,"Learfield Communications, Inc, L+775, 10/8/21",,Media,,15000,,,14856,,,15375,,,,
81,"Miller Energy Resources, Inc., L+975, 2/3/18 ‡",,Oil and Gas,,87500,,,85804,,,85750,,,,
82,"Ranpak Corp., L+725, 4/23/20",,Packaging,,22000,,,21802,,,22522,,,,
83,"River Cree Enterprises LP, 11.00, 1/20/21  t  ‡",,"Hotels, Motels, Inns and Gaming",,"CAD 33,000",,,31110,,,31767,,,,
84,"SESAC Holdco II LLC, L+875, 4/9/14",,Broadcasting & Entertainment,,,10750,,,10758,,,10978,,,
85,"Sprint Industrial Holdings, LLC, L+1000, 11/14/19",,"Containers, Packaging, and Glass",,14163,,,13928,,,14305,,,,
86,"SquareTwo Financial Corp. (Collect America, Ltd.), 11.625, 4/1/17 ‡",,Financial Services,,61079,,,59929,,,61690,,,,
87,"Stadium Management Corp, L+825, 2/27/21",,Business Services,,19900,,,19900,,,20348,,,,
88,"Tectum Holdings, Inc, L+800/P+700, 3/12/19",,Auto Sector,,17670,,,17582,,,17626,,,,
89,"Transfirst Holdings Inc., L+650, 6/27/18",,Financial Services,,59750,,,59601,,,60422,,,,
90,"TriMark USA, LLC, L+900, 8/12/19",,Distribution,,27000,,,26470,,,27338,,,,
91,"U.S. Renal Care, Inc., L+900, 1/3/20 †",,Healthcare,,11927,,,11980,,,12195,,,,
92,"U.S. Renal Care, Inc., L+750, 7/3/20 †",,Healthcare,,12120,,,11930,,,12325,,,,
93,"Velocity Technology Solutions, Inc., L+775, 9/28/20",,Business Services,,16500,,,16170,,,16170,,,,
94,"Vertafore, Inc., L+825, 10/27/17",,Business Services,,50436,,,50167,,,51397,,,,
95,"Walter Energy Inc., 11.00, 4/1/20  t  ‡",,Mining,,27798,,,26308,,,25192,,,,
96,Total 2nd Lien Secured Debt,,,,,,,963070,,,,982446,,,
97,TOTAL SECURED DEBT,,,,,,,1604743,,,,1641515,,,
98,"APOLLO INVESTMENT CORPORATION  SCHEDULE OF INVESTMENTS (continued)  March 31, 2014  (in thousands)",,,,,,,,,,,,,,
99,INVESTMENTS IN NON-CONTROLLED/NON-AFFILIATED INVESTMENTS0134.1,,Industry,,Par Amount*,,Cost,,Fair  Value (1),,,,,,
100,UNSECURED DEBT045.9,,,,,,,,,,,,,,
101,"Altegrity, Inc., 0.00, 8/2/16 †",,Diversified Service,,,3545,,,,2664,,,,957,
102,"Altegrity, Inc., 12.00, 11/1/15  t  †",,Diversified Service,,14667,,,14667,,,13567,,,,
103,"American Energy - Utica LLC, 3.50, 3/1/21  t",,Oil and Gas,,10868,,,10868,,,11031,,,,
104,"American Tire Distributors, Inc., 11.50, 6/1/18  t  †",,Distribution,,25000,,,25000,,,25700,,,,
105,"American Tire Distributors, Inc., 11.50, 6/1/18 †",,Distribution,,40000,,,39321,,,41120,,,,
106,"Artsonig Pty Ltd, 11.50, 4/1/19  t‡",,Transportation,,20000,,,19701,,,20025,,,,
107,"BCA Osprey II Limited (British Car Auctions), 12.50 PIK, 8/17/17 †‡",,Transportation,,£,20948,,,33173,,,36058,,,
108,"BCA Osprey II Limited (British Car Auctions), 12.50 PIK, 8/17/17 †‡",,Transportation,,€,12721,,,17489,,,18102,,,
109,"Ceridian Corp., 12.25 Cash or 13.00 PIK, 11/15/15 †",,Diversified Service,,,14420,,,14420,,,14562,,,
110,"Ceridian Corp., 11.25, 11/15/15 †",,Diversified Service,,35800,,,35800,,,36154,,,,
111,"Ceridian Corp., 11.00, 3/15/21  t  †",,Diversified Service,,34000,,,34000,,,39335,,,,
112,"CRC Health Corp., 10.75, 2/1/16",,Healthcare,,13000,,,13079,,,13077,,,,
113,"Delta Educational Systems, Inc., 16.00 (10.00 Cash/ 6.00 PIK), 5/12/17",,Education,,21684,,,21353,,,20708,,,,
114,"Denver Parent Corp. (Venoco), 12.25, 8/15/18  t",,Oil and Gas,,15000,,,14633,,,15150,,,,
115,"Energy & Exploration Partners, Inc., 15.00, 4/8/18 †",,Oil and Gas,,25000,,,22410,,,23750,,,,
116,"Energy & Exploration Partners, Inc., 15.00, 12/12/18 †",,Oil and Gas,,4464,,,4263,,,4241,,,,
117,"Energy & Exploration Partners, Inc., 15.00, 12/12/18 †",,Oil and Gas,,2679,,,2469,,,2545,,,,
118,"Energy & Exploration Partners, Inc., 15.00, 3/27/19 †",,Oil and Gas,,8036,,,7650,,,7634,,,,
119,"Exova Limited, 10.50, 5/20/14  t  †‡",,Business Services,,£,18000,,,28165,,,33010,,,
120,"Exova Limited, 10.50, 5/20/14 †‡",,Business Services,,4655,,,6606,,,8537,,,,
121,"First Data Corp., 11.25, 1/15/21 †",,Financial Services,,,67000,,,66977,,,76548,,,
122,"First Data Corp., 10.625, 6/15/21 †",,Financial Services,,10000,,,10000,,,11288,,,,
123,"First Data Corp., 12.625, 1/15/21 †",,Financial Services,,5000,,,5641,,,5963,,,,
124,"inVentiv Health, Inc., 11.00, 8/15/18  t",,Healthcare,,106500,,,106500,,,98646,,,,
125,"My Alarm Center, LLC, 16.25 (12.00 Cash / 4.25PIK), 7/9/18",,Business Services,,4101,,,4101,,,4101,,,,
126,"Niacet Corporation, 13.00, 8/28/18",,Chemicals,,12500,,,12500,,,12625,,,,
127,"PetroBakken Energy Ltd., 8.625, 2/1/20  t  ‡",,Oil and Gas,,44082,,,44390,,,44206,,,,
128,"Prospect Holding Co LLC, 10.25, 10/1/18  t",,Financial Services,,20000,,,19106,,,19450,,,,
129,"Radio One Inc, 9.25, 2/15/20  t  ‡",,Broadcasting & Entertainment,,14804,,,14804,,,15778,,,,
130,"Symbion Inc., 11.00, 8/23/15",,Healthcare,,8488,,,8501,,,8538,,,,
131,"Tervita Corporation, 10.875, 2/15/18  t  ‡",,Environmental Services,,22438,,,21739,,,22662,,,,
132,"U.S. Security Associates Holdings, Inc., 11.00, 7/28/18",,Business Services,,135000,,,135000,,,139590,,,,
133,"Univar Inc., 10.50, 6/30/18",,Distribution,,20000,,,20000,,,19960,,,,
134,"Varietal Distribution, 10.75, 6/30/17  t  †",,Distribution,,€,11574,,,15092,,,16111,,,
135,"Varietal Distribution, 10.75, 6/30/17  t  †",,Distribution,,,22204,,,21908,,,22426,,,
136,"Venoco, Inc., 8.875, 2/15/19",,Oil and Gas,,38050,,,38463,,,38573,,,,
137,TOTAL UNSECURED DEBT,,,,,,,912453,,,,941728,,,
138,TOTAL CORPORATE DEBT,,,,,,,2517196,,,,2583243,,,
139,"APOLLO INVESTMENT CORPORATION  SCHEDULE OF INVESTMENTS (continued)  March 31, 2014  (in thousands)",,,,,,,,,,,,,,
140,INVESTMENTS IN NON-CONTROLLED/NON-AFFILIATED INVESTMENTS0134.1,,Industry,,Par Amount*,,Cost,,Fair  Value (1),,,,,,
141,STRUCTURED PRODUCTS AND OTHER03.9,,,,,,,,,,,,,,
142,"Craft 2013-1,Credit Linked Note, L+925, 4/17/22 ‡",,Diversified Investment Vehicle,,,20000,,,,20000,,,,19802,
143,"Dark Castle Holdings, LLC",,Media,,25302,,,2094,,,3077,,,,
144,"JP Morgan Chase & Co, Credit-Linked Note, L+1225, 12/20/21 ‡",,Diversified Investment Vehicle,,43250,,,43010,,,42935,,,,
145,"Renaissance Umiat, LLC, ACES, Tax Receivable ****‡",,Oil and Gas,,0,,,7153,,,7799,,,,
146,"Renaissance Umiat, LLC, ACES, Tax Receivable ****‡",,Oil and Gas,,0,,,6351,,,6391,,,,
147,TOTAL STRUCTURED PRODUCTS AND OTHER,,,,,,,78608,,,,80004,,,
148,PREFERRED EQUITY02.0,,,,Shares,,,,,,,,,,
149,"CA Holding, Inc. (Collect America, Ltd.) Series A **‡",,Financial Services,,7961,,,,788,,,,1592,,
150,"Crowley Holdings, Series A, 12.00 (10.00 Cash / 2.00 PIK)",,Cargo Transport,,22500,,,22623,,,22620,,,,
151,"Gryphon Colleges Corporation (Delta Educational Systems, Inc.), 13.50 PIK***",,Education,,12360,,,27685,,,13802,,,,
152,"Gryphon Colleges Corporation (Delta Educational Systems, Inc.), 12.50 PIK ***",,Education,,332500,,,6863,,,0,,,,
153,"Varietal Distribution Holdings, LLC, Class A, 8.00 PIK",,Distribution,,3097,,,5288,,,3275,,,,
154,TOTAL PREFERRED EQUITY,,,,,,,63247,,,,41289,,,
155,EQUITY02.3,,,,,,,,,,,,,,
156,Common Equity/Interests01.8,,,,,,,,,,,,,,
157,Accelerate Parent Corp. (American Tire Distributors) **,,Distribution,,3225514,,,,3276,,,,4710,,
158,"AHC Mezzanine, LLC (Advanstar) **",,Media,,25016,,,1063,,,350,,,,
159,Altegrity Holding Corp. **,,Diversified Service,,353399,,,13797,,,0,,,,
160,"CA Holding, Inc. (Collect America, Ltd.), Series A **‡",,Financial Services,,25000,,,2500,,,1380,,,,
161,"CA Holding, Inc. (Collect America, Ltd.), Series AA **‡",,Financial Services,,4294,,,430,,,859,,,,
162,"Caza Petroleum Inc., Net Profits Interest **",,Oil and Gas,,0,,,940,,,946,,,,
163,"Caza Petroleum Inc., Overriding Royalty Interest **",,Oil and Gas,,0,,,265,,,228,,,,
164,"Clothesline Holdings, Inc. (Angelica Corporation) **",,Healthcare,,6000,,,6000,,,3282,,,,
165,"Explorer Coinvest, LLC (Booz Allen) **‡",,Business Services,,340,,,2603,,,6958,,,,
166,"Garden Fresh Restaurant Holdings, LLC. **",,Restaurants,,50000,,,5000,,,138,,,,
167,"Gryphon Colleges Corp. (Delta Educational Systems, Inc.) **",,Education,,17500,,,175,,,0,,,,
168,"GS Prysmian Co-Invest L.P. (Prysmian Cables & Systems), Limited Partnership **‡(2)(3)",,Manufacturing,,0,,,0,,,17,,,,
169,"JV Note Holdco, LLC (DSI Renal Inc.) **",,Healthcare,,9303,,,85,,,0,,,,
170,"Pelican Energy, LLC, Net Profit Interest **‡",,Oil and Gas,,696656,,,697,,,477,,,,
171,"RC Coinvestment, LLC (Ranpak Corp.) **",,Packaging,,50000,,,5000,,,7674,,,,
172,"Sorenson Communications Holdings, LLC, Class A **",,Consumer Products,,454828,,,45,,,61,,,,
173,Univar Inc. **,,Distribution,,900000,,,9000,,,9680,,,,
174,"Varietal Distribution Holdings, LLC Class A **",,Distribution,,28028,,,28,,,0,,,,
175,Total Common Equity/Interests,,,,,,,50904,,,,36760,,,
176,"APOLLO INVESTMENT CORPORATION  SCHEDULE OF INVESTMENTS (continued)  March 31, 2014  (in thousands, except warrants)",,,,,,,,,,,,,,
177,INVESTMENTS IN NON-CONTROLLED/NON-AFFILIATED INVESTMENTS0134.1,,Industry,,Warrants,,Cost,,Fair  Value (1),,,,,,
178,Warrants00.5,,,,,,,,,,,,,,
179,"CA Holding, Inc. (Collect America, Ltd.), Common Stock Warrants **‡",,Financial Services,,7961,,,,8,,,,0,,
180,"Energy & Exploration Partners, Inc., Common Stock Warrants**",,Oil and Gas,,60778,,,2374,,,1829,,,,
181,"Fidji Luxco (BC) S.C.A., Common Stock Warrants **‡(2)",,Electronics,,18113,,,182,,,5069,,,,
182,"Gryphon Colleges Corp. (Delta Educational Systems, Inc.), Common Stock Warrants**",,Education,,9820,,,98,,,0,,,,
183,"Gryphon Colleges Corp. (Delta Educational Systems, Inc.), Class A-1 Preferred Stock Warrants**",,Education,,45947,,,459,,,0,,,,
184,"Gryphon Colleges Corp. (Delta Educational Systems, Inc.), Class B-1 Preferred Stock Warrants**",,Education,,104314,,,1043,,,0,,,,
185,"Osage Exploration & Development, Inc., Common Stock Warrants **‡",,Oil and Gas,,1496843,,,0,,,1398,,,,
186,"Spotted Hawk Development LLC, Common Stock Warrants **‡",,Oil and Gas,,54545,,,852,,,2304,,,,
187,Total Warrants,,,,,,,5016,,,,10600,,,
188,TOTAL EQUITY,,,,,,,55920,,,,47360,,,
189,Total Investments in Non-Controlled/ Non-Affiliated Investments,,,,,,,2714971,,,,2751896,,,
190,"APOLLO INVESTMENT CORPORATION  SCHEDULE OF INVESTMENTS (continued)  March 31, 2014  (in thousands, except shares and warrants)",,,,,,,,,,,,,,
191,INVESTMENTS IN NON-CONTROLLED/AFFILIATED  INVESTMENTS07.0(4),,Industry,,Par  Amount*,,Cost,,Fair  Value (1),,,,,,
192,CORPORATE DEBT00.7,,,,,,,,,,,,,,
193,SECURED DEBT00.7,,,,,,,,,,,,,,
194,1st Lien Secured Debt00.7,,,,,,,,,,,,,,
195,"Aventine Renewable Energy Holdings, Inc., 15.00 (12.00 Cash/3.00 PIK), 9/23/16 †",,Chemicals,,,2737,,,,2621,,,,2405,
196,"Aventine Renewable Energy Holdings, Inc., 10.50 Cash or 15.00 PIK, 9/22/17 †",,Chemicals,,14068,,,16391,,,8884,,,,
197,"Aventine Renewable Energy Holdings, Inc., 25.00 PIK, 9/24/16 †",,Chemicals,,3769,,,3769,,,3769,,,,
198,Total 1st Lien Secured Debt,,,,,,,22781,,,,15058,,,
199,TOTAL SECURED DEBT,,,,,,,22781,,,,15058,,,
200,TOTAL CORPORATE DEBT,,,,,,,22781,,,,15058,,,
201,STRUCTURED PRODUCTS and OTHER06.3,,,,,,,,,,,,,,
202,"Golden Hill CLO I, LLC, Equity ‡¢",,Diversified Investment Vehicle,,,1097,,,,1631,,,,1097,
203,"Highbridge Loan Management 3-2014, Ltd, Class D Notes L+500, 1/18/25†‡¢",,Diversified Investment Vehicle,,5000,,,4638,,,4680,,,,
204,"Highbridge Loan Management 3-2014, Ltd., Class E Notes L+600, 1/18/25 †‡¢",,Diversified Investment Vehicle,,2485,,,2263,,,2314,,,,
205,"Highbridge Loan Management 3-2014, Ltd., Subordinated Notes, 1/18/25†‡¢",,Diversified Investment Vehicle,,8163,,,7527,,,7278,,,,
206,"Jamestown CLO I LTD, Subordinated  Notes, 11/5/24 ‡¢",,Diversified Investment Vehicle,,4325,,,3553,,,3828,,,,
207,"MCF CLO I LLC, Class E Notes, L+575, 4/20/23 ‡¢",,Diversified Investment Vehicle,,13000,,,12330,,,12357,,,,
208,"MCF CLO I LLC, Membership Interests ‡¢",,Diversified Investment Vehicle,,38918,,,37560,,,40391,,,,
209,"MCF CLO III LLC, Class E Notes L+445, 1/20/24 †‡¢",,Diversified Investment Vehicle,,12750,,,11349,,,11325,,,,
210,"MCF CLO III LLC, Membership Interests, 1/20/24 ‡¢",,Diversified Investment Vehicle,,41900,,,39183,,,38266,,,,
211,"Slater Mill Loan Fund LP, LP Certificates ‡¢",,Diversified Investment Vehicle,,8375,,,6222,,,7361,,,,
212,TOTAL STRUCTURED PRODUCTS AND OTHER,,,,,,,126256,,,,128897,,,
213,EQUITY00.0,,,,,,,,,,,,,,
214,Common Equity/Interests00.0,,,,Shares,,,,,,,,,,
215,"Aventine Renewable Energy Holdings, Inc. **",,Chemicals,,262036,,,,688,,,,99,,
216,Total Common Equity/Interests,,,,,,,688,,,,99,,,
217,Warrants00.0,,,,Warrants,,,,,,,,,,
218,"Aventine Renewable Energy Holdings, Inc., Common Stock Warrants **",,Chemicals,,1521193,,,,3996,,,,574,,
219,Total Warrants,,,,,,,3996,,,,574,,,
220,TOTAL EQUITY,,,,,,,4684,,,,673,,,
221,Total Investments in Non-Controlled/Affiliated Investments,,,,,,,153721,,,,144628,,,
222,"APOLLO INVESTMENT CORPORATION  SCHEDULE OF INVESTMENTS (continued)  March 31, 2014  (in thousands, except shares)",,,,,,,,,,,,,,
223,INVESTMENTS IN CONTROLLED  INVESTMENTS028.4(5),,Industry,,Par  Amount*,,Cost,,Fair  Value (1),,,,,,
224,CORPORATE DEBT014.3,,,,,,,,,,,,,,
225,SECURED DEBT014.3,,,,,,,,,,,,,,
226,1st Lien Secured Debt013.8,,,,,,,,,,,,,,
227,"Merx Aviation Finance Holdings II, LLC, (Revolver) 12.00 Funded, 0.00 Unfunded, 10/31/18",,Aviation,,,282334,,,,282334,,,,282334,
228,Total 1st Lien Secured Debt,,,,,,,282334,,,,282334,,,
229,Unfunded Revolver Obligation00.0,,,,,,,,,,,,,,
230,"Merx Aviation Finance Holdings II, LLC, 12.00 Funded, 0.00 Unfunded, 10/31/18",,Aviation,,114066,,,,0,,,,0,,
231,Total Unfunded Revolver Obligation,,,,,,,0,,,,0,,,
232,Letters of Credit00.0,,,,,,,,,,,,,,
233,"Merx Aviation Finance Holdings II, LLC, Letter of Credit, 2.25, 9/30/14",,Aviation,,1800,,,,0,,,,0,,
234,"Merx Aviation Finance Holdings II, LLC, Letter of Credit, 2.25, 9/30/14",,Aviation,,1800,,,0,,,0,,,,
235,Total Letters of Credit,,,,,,,0,,,,0,,,
236,2nd Lien Secured Debt00.5,,,,,,,,,,,,,,
237,"LVI Parent Corp. (LVI Services, Inc.), 12.50, 4/20/14",,Environmental Services,,10000,,,,10013,,,,10200,,
238,Total 2nd Lien Secured Debt,,,,,,,10013,,,,10200,,,
239,TOTAL SECURED DEBT,,,,,,,292347,,,,292534,,,
240,TOTAL CORPORATE DEBT,,,,,,,292347,,,,292534,,,
241,PREFERRED EQUITY02.5,,,,Shares,,,,,,,,,,
242,"Playpower Holdings, Inc., Series A Preferred, 14.00 PIK, 11/15/20",,Leisure,,49178,,,,51773,,,,51773,,
243,TOTAL PREFFERED EQUITY,,,,,,,51773,,,,51773,,,
244,EQUITY011.6,,,,,,,,,,,,,,
245,Common Equity/Interests011.6,,,,,,,,,,,,,,
246,"Generation Brands Holdings, Inc., Basic **",,Home and Office Furnishings and Durable Consumer Products,,9007,,,,0,,,,1615,,
247,"Generation Brands Holdings, Inc., Series H **",,Home and Office Furnishings and Durable Consumer Products,,7500,,,2297,,,1345,,,,
248,"Generation Brands Holdings, Inc., Series 2L **",,Home and Office Furnishings and Durable Consumer Products,,36700,,,11242,,,6582,,,,
249,"LVI Services, Inc. **",,Environmental Services,,14981,,,16097,,,34020,,,,
250,"Merx Aviation Finance Holdings II, LLC, Partnership Interest **",,Aviation,,0,,,138582,,,140465,,,,
251,"Playpower Holdings, Inc. **",,Leisure,,1000,,,77722,,,53813,,,,
252,Total Common Equity/Interests,,,,,,,245940,,,,237840,,,
253,TOTAL EQUITY,,,,,,,245940,,,,237840,,,
254,Total Investments in Controlled Investments,,,,,,,590060,,,,582147,,,
255,Total Investments0169.5(6)(7),,,,,,,3458752,,,,3478671,,,
256,Liabilities in Excess of Other Assets0(69.5),,,,,,,,,"(1,427,060",,,,,
257,Net Assets0100.0,,,,,,,,,2051611,,,,,
258,(1),Fair value is determined in good faith by or under the direction of the Board of Directors of the Company (see note 2).,,,,,,,,,,,,,
259,(1),Fair value is determined in good faith by or under the direction of the Board of Directors of the Company (see note 2).,,,,,,,,,,,,,
260,(5),"Denotes investments in which we are deemed to exercise a controlling influence over the management or policies of a company, as defined in the 1940 Act, due to beneficially owning, either directly or through one or more controlled companies, more than 25 of the outstanding voting securities of the investment. Fair value as of March 31, 2013 and  March 31, 2014  along with transactions during the fiscal year ended  March 31, 2014  in these Controlled investments are as follows:",,,,,,,,,,,,,
261,(6),"Aggregate gross unrealized gain for federal income tax purposes is $124,819; aggregate gross unrealized loss for federal income tax purposes is $154,176. Net unrealized loss is $29,357 based on a tax cost of $3,508,028.",,,,,,,,,,,,,
262,Industry Classification,"Percentage of Total Investments (at fair value) as of March 31, 2014",,,,,,,,,,,,,
263,Business Services,14.6,,,,,,,,,,,,,
264,Aviation,12.2,,,,,,,,,,,,,
265,Oil and Gas,11.8,,,,,,,,,,,,,
266,Financial Services,7.4,,,,,,,,,,,,,
267,Healthcare,6.6,,,,,,,,,,,,,
268,Diversified Investment Vehicle,5.5,,,,,,,,,,,,,
269,Distribution,4.9,,,,,,,,,,,,,
270,Chemicals,4.2,,,,,,,,,,,,,
271,Diversified Service,3.7,,,,,,,,,,,,,
272,Insurance,3.5,,,,,,,,,,,,,
273,Leisure,3.1,,,,,,,,,,,,,
274,Environmental Services,2.5,,,,,,,,,,,,,
275,Transportation,2.1,,,,,,,,,,,,,
276,Mining,1.8,,,,,,,,,,,,,
277,"Containers, Packaging, and Glass",1.6,,,,,,,,,,,,,
278,Telecommunications,1.5,,,,,,,,,,,,,
279,Energy,1.3,,,,,,,,,,,,,
280,Media,1.3,,,,,,,,,,,,,
