,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
107,"Symbion Inc., 11.00%, 8/23/15",,Healthcare,,,8508,,,,8523,,,,8550,
108,"Tervita Corporation, 10.875%, 2/15/18  t  ‡",,Environmental Services,,26000,,,25150,,,26390,,,,
109,"U.S. Security Associates Holdings, Inc., 11.00%, 7/28/18",,Business Services,,135000,,,135000,,,138510,,,,
110,"Univar Inc., 10.50%, 6/30/18",,Distribution,,20000,,,20000,,,20000,,,,
111,"Varietal Distribution, 10.75%, 6/30/17 †  t",,Distribution,,€,11574,,,15098,,,16267,,,
112,"Varietal Distribution, 10.75%, 6/30/17 †  t",,Distribution,,,22204,,,21890,,,22648,,,
113,"Venoco, Inc., 8.875%, 2/15/19",,Oil & Gas,,38050,,,38473,,,37859,,,,
114,"Wind Acquisition Holdings, 12.25% PIK, 7/15/17 ‡  t",,Telecommunications,,37500,,,38413,,,39813,,,,
115,TOTAL UNSECURED DEBT,,,,,,,1023516,,,,1031518,,,
116,TOTAL CORPORATE DEBT,,,,,,,2413682,,,,2462489,,,
117,STRUCTURED PRODUCTS AND OTHER-4.8%,,,,,,,,,,,,,,
118,"Craft CLO Ltd., L+925, 4/17/20 ‡",,Diversified  Investment Vehicle,,,20000,,,,20000,,,,20171,
119,"Dark Castle Holdings, LLC",,Media,,32415,,,9306,,,10058,,,,
120,"JP Morgan Chase & Co, Credit-Linked Note, L+1225, 12/20/21 ‡",,Diversified  Investment Vehicle,,43250,,,43250,,,43250,,,,
121,"Renaissance Umiat, LLC, ACES, Tax Receivable ****‡",,Oil & Gas,,-,,,7977,,,8816,,,,
122,"Westbrook CLO Ltd., Series 2006-1A, Class E, L+370, 12/20/20 ‡",,Diversified  Investment Vehicle,,11000,,,7583,,,10395,,,,
123,TOTAL STRUCTURED PRODUCTS AND OTHER,,,,,,,88116,,,,92690,,,
124,PREFERRED EQUITY-2.1%,,,,Shares,,,,,,,,,,
125,"CA Holding, Inc. (Collect America, Ltd.) Series A **‡",,Financial Services,,7961,,,,788,,,,1592,,
126,"Crowley Holdings, Series A, 12.00% (10.00% Cash / 2.00% PIK)",,Cargo Transport,,22500,,,22500,,,22500,,,,
127,"Gryphon Colleges Corporation (Delta Educational Systems, Inc.), 13.50% PIK, ***",,Education,,12360,,,27686,,,13192,,,,
128,"Gryphon Colleges Corporation (Delta Educational Systems, Inc.), 12.50% PIK ***",,Education,,332500,,,6863,,,-,,,,
129,"Varietal Distribution Holdings, LLC, Class A, 8.00% PIK",,Distribution,,3097,,,5185,,,2976,,,,
130,TOTAL PREFERRED EQUITY,,,,,,,63022,,,,40260,,,
131,INVESTMENTS IN NON-CONTROLLED/NON-AFFILIATED INVESTMENTS -137.3%,,Industry,,Shares,,Cost,,Fair  Value (1),,,,,,
132,EQUITY-2.5%,,,,,,,,,,,,,,
133,Common Equity/Interests-1.8%,,,,,,,,,,,,,,
134,Accelerate Parent Corp. (American Tire Distributors) **,,Distribution,,3125000,,,,3125,,,,4340,,
135,"AHC Mezzanine, LLC (Advanstar) **",,Media,,-,,,1063,,,590,,,,
136,Altegrity Holding Corp. **,,Diversified Service,,353399,,,13797,,,338,,,,
137,"CA Holding, Inc. (Collect America, Ltd.) Series A **‡",,Financial Services,,25000,,,2500,,,1731,,,,
138,"CA Holding, Inc. (Collect America, Ltd.) Series AA **‡",,Financial Services,,4294,,,429,,,859,,,,
139,"Caza Petroleum, Inc., Net Profits Interest **",,Oil & Gas,,-,,,940,,,886,,,,
140,"Caza Petroleum, Inc., Overriding Royalty Interest **",,Oil & Gas,,-,,,265,,,266,,,,
141,"Clothesline Holdings, Inc. (Angelica Corporation) **",,Healthcare,,6000,,,6000,,,3348,,,,
142,"Explorer Coinvest, LLC (Booz Allen) **‡",,Business Services,,373,,,2856,,,6645,,,,
143,"Garden Fresh Restaurant Holding, LLC **",,Restaurants,,50000,,,5000,,,-,,,,
144,"Gryphon Colleges Corporation (Delta Educational Systems, Inc.) **",,Education,,17500,,,175,,,-,,,,
145,"GS Prysmian Co-Invest L.P. (Prysmian Cables & Systems) (2,3) **‡",,Manufacturing,,-,,,-,,,28,,,,
146,"JV Note Holdco, LLC (DSI Renal Inc.) **",,Healthcare,,9303,,,85,,,-,,,,
147,"Pelican Energy, LLC, Net Profits Interest **‡",,Oil & Gas,,-,,,551,,,286,,,,
148,"RC Coinvestment, LLC (Ranpak Corp.) **",,Packaging,,50000,,,5000,,,7060,,,,
149,"Sorenson Communications Holdings, LLC, Class A **",,Consumer Products,,454828,,,46,,,230,,,,
150,"Univar, Inc. **",,Distribution,,900000,,,9000,,,8480,,,,
151,"Varietal Distribution Holdings, LLC, Class A **",,Distribution,,28028,,,28,,,-,,,,
152,Total Common Equity/Interests,,,,,,,50860,,,,35087,,,
153,Warrants-0.7%,,,,Warrants,,,,,,,,,,
154,"CA Holding, Inc. (Collect America, Ltd.), Common **‡",,Financial Services,,7961,,,,8,,,,-,,
155,"Energy & Exploration Partners, Inc., Common **",,Oil & Gas,,48077,,,2232,,,2021,,,,
156,"Energy & Exploration Partners, Inc., Common **",,Oil & Gas,,5684,,,76,,,80,,,,
157,"Fidji Luxco (BC) S.C.A., Common (FCI) (2) **‡",,Electronics,,24862,,,250,,,6956,,,,
158,"Gryphon Colleges Corporation (Delta Educational Systems, Inc.), Common **",,Education,,9820,,,98,,,-,,,,
159,"Gryphon Colleges Corporation (Delta Educational Systems, Inc.), Class A-1 Preferred **",,Education,,45947,,,460,,,-,,,,
160,"Gryphon Colleges Corporation (Delta Educational Systems, Inc.), Class B-1 Preferred **",,Education,,104314,,,1043,,,-,,,,
161,"Osage Exploration & Development, Inc., Common **‡",,Oil & Gas,,1496843,,,-,,,1171,,,,
162,"Spotted Hawk Development LLC, Common **‡",,Oil & Gas,,54545,,,852,,,3139,,,,
163,Total Warrants,,,,,,,5019,,,,13367,,,
164,TOTAL EQUITY,,,,,,,55879,,,,48454,,,
165,Total Investments in Non-Controlled/ Non-Affiliated Investments,,,,,,,2620699,,,,2643893,,,
166,INVESTMENTS IN NON-CONTROLLED/ AFFILIATED  INVESTMENTS-8.1% (4),,Industry,,Par  Amount*,,Cost,,Fair  Value (1),,,,,,
167,CORPORATE DEBT-0.9%,,,,,,,,,,,,,,
168,SECURED DEBT-0.9%,,,,,,,,,,,,,,
169,1st Lien Secured Debt-0.9%,,,,,,,,,,,,,,
170,"Aventine Renewable Energy Holdings, Inc., 15.00% (12.00% Cash/3.00% PIK), 9/23/16",,Chemicals,,,4031,,,,3915,,,,3476,
171,"Aventine Renewable Energy Holdings, Inc., 10.50% Cash or 15.00% PIK, 9/22/17",,Chemicals,,13559,,,16881,,,8241,,,,
172,"Aventine Renewable Energy Holdings, Inc., 25.00% PIK, 9/23/16",,Chemicals,,5126,,,5126,,,5126,,,,
173,Total 1st Lien Secured Debt,,,,,,,25922,,,,16843,,,
174,TOTAL CORPORATE DEBT,,,,,,,25922,,,,16843,,,
175,STRUCTURED PRODUCTS AND OTHER-7.2%,,,,,,,,,,,,,,
176,"Highbridge Loan Management 3-2014, Ltd, Class D Notes, L+500, 1/18/25 †‡¢",,Diversified  Investment Vehicle,,,5000,,,,4633,,,,4633,
177,"Highbridge Loan Management 3-2014, Ltd, Class E Notes, L+600, 1/18/25 †‡¢",,Diversified  Investment Vehicle,,2485,,,2261,,,2261,,,,
178,"Highbridge Loan Management 3-2014, Ltd, Subordinated Notes, 1/18/25 †‡¢",,Diversified  Investment Vehicle,,8163,,,7527,,,7527,,,,
179,"Jamestown CLO I LTD, Subordinated  Notes, 11/5/24 ‡¢",,Diversified  Investment Vehicle,,15075,,,12384,,,13599,,,,
180,"MCF CLO I LLC, Class E Notes, L+575, 4/20/23 †‡¢",,Diversified  Investment Vehicle,,13000,,,12317,,,12357,,,,
181,"MCF CLO I LLC, Membership Interests ‡¢",,Diversified  Investment Vehicle,,38918,,,38320,,,40280,,,,
182,"MCF CLO III LLC, Class E Notes L+445, 1/20/24 †‡¢",,Diversified  Investment Vehicle,,12750,,,11325,,,11325,,,,
183,"MCF CLO III LLC, Membership Interests, 1/20/24 ‡¢",,Diversified  Investment Vehicle,,39183,,,39183,,,39183,,,,
184,"Slater Mill Loan Fund LP, LP Certificates ‡¢",,Diversified  Investment Vehicle,,8375,,,6359,,,7405,,,,
185,TOTAL STRUCTURED PRODUCTS AND OTHER,,,,,,,134309,,,,138570,,,
186,EQUITY-0.0%,,,,,,,,,,,,,,
187,Common Equity/Interests-0.0%,,,,Shares,,,,,,,,,,
188,"Aventine Renewable Energy Holdings, Inc. **",,Chemicals,,262036,,,,688,,,,92,,
189,Total Common Equity/Interests,,,,,,,688,,,,92,,,
190,Warrants-0.0%,,,,Warrants,,,,,,,,,,
191,"Aventine Renewable Energy Holdings, Inc., Common **",,Chemicals,,1521193,,,,3995,,,,533,,
192,Total Warrants,,,,,,,3995,,,,533,,,
193,TOTAL EQUITY,,,,,,,4683,,,,625,,,
194,Total Investments in Non-Controlled/Affiliated Investments,,,,,,,164914,,,,156038,,,
195,INVESTMENTS IN CONTROLLED INVESTMENTS-19.9% (5),,Industry,,Par  Amount*,,Cost,,Fair  Value (1),,,,,,
196,CORPORATE DEBT-8.9%,,,,,,,,,,,,,,
197,SECURED DEBT-8.9%,,,,,,,,,,,,,,
198,1st Lien Secured Debt -8.4%,,,,,,,,,,,,,,
199,"Merx Aviation Finance Holdings, LLC, (Revolver) 12.00%, 10/31/18",,Aviation,,,161834,,,,161834,,,,161834,
200,Total 1st Lien Secured Debt,,,,,,,161834,,,,161834,,,
201,Unfunded Revolver Obligation -0.0%,,,,,,,,,,,,,,
202,"Merx Aviation Finance Holdings, LLC, (Revolver) 12.00%, 10/31/18",,Aviation,,,138166,,,,-,,,,-,
203,Total Unfunded Revolver Obligation,,,,,,,-,,,,-,,,
204,2nd Lien Secured Debt-0.5%,,,,,,,,,,,,,,
205,"LVI Services, Inc., 12.50%, 3/6/18",,Environmental  Services,,,10000,,,,9836,,,,10000,
206,Total 2nd Lien Secured Debt,,,,,,,9836,,,,10000,,,
207,TOTAL SECURED DEBT,,,,,,,171670,,,,171834,,,
208,TOTAL CORPORATE DEBT,,,,,,,171670,,,,171834,,,
209,PREFERRED EQUITY-2.6%,,,,Shares,,,,,,,,,,
210,"Playpower Holdings, Inc., Series A, 14.00% PIK, 11/15/20",,Leisure,,49178,,,49178,,,49178,,,,
211,TOTAL PREFERRED EQUITY,,,,,,,49178,,,,49178,,,
212,EQUITY-8.4%,,,,,,,,,,,,,,
213,Common Equity/Interests-8.4%,,,,,,,,,,,,,,
214,"Generation Brands Holdings, Inc. (Quality Home Brands) **",,Home and Office Furnishings and Durable Consumer Products,,9007,,,,-,,,,1891,,
215,"Generation Brands Holdings, Inc. Series H (Quality Home Brands) **",,Home and Office Furnishings and Durable Consumer Products,,7500,,,2297,,,1575,,,,
216,"Generation Brands Holdings, Inc. Series 2L (Quality Home Brands) **",,Home and Office Furnishings and Durable Consumer Products,,36700,,,11242,,,7705,,,,
217,"LVI Parent Corp. (LVI Services, Inc.) **",,Environmental  Services,,14981,,,16096,,,33483,,,,
218,"Merx Aviation Finance Holdings, LLC **",,Aviation,,689,,,66582,,,72027,,,,
219,"Playpower Holdings, Inc. **",,Leisure,,1000,,,77722,,,45987,,,,
220,Total Common Equity/Interests,,,,,,,173939,,,,162668,,,
221,TOTAL EQUITY,,,,,,,173939,,,,162668,,,
222,Total Investments in Controlled Investments,,,,,,,394787,,,,383680,,,
223,"Total Investments-165.3% (6,7)",,,,,,,3180400,,,,3183611,,,
224,Liabilities in Excess of Other Assets-(65.4%),,,,,,,,"(1,258,272",,,,,,
225,Net Assets-100.0%,,,,,,,,,1925339,,,,,
226,(4),"Denotes investments in which we are an “Affiliated Person”, as defined in the 1940 Act, due to owning or holding the power to vote 5% or more of the outstanding voting securities of the investment but not controlling the company. Fair value as of  March 31, 2013  and  December 31, 2013  along with transactions during the  nine  months ended  December 31, 2013  in these Affiliated investments are as follows:",,,,,,,,,,,,,
227,(5),"Denotes investments in which we are deemed to exercise a controlling influence over the management or policies of a company, as defined in the 1940 Act, due to beneficially owning, either directly or through one or more controlled companies, more than 25% of the outstanding voting securities of the investment. Fair value as of  March 31, 2013  and  December 31, 2013  along with transactions during the  nine  months ended  December 31, 2013  in these Controlled investments are as follows:",,,,,,,,,,,,,
228,(6),"Aggregate gross unrealized appreciation for federal income tax purposes is $120,105; aggregate gross unrealized depreciation for federal income tax purposes is $227,958. Net unrealized depreciation is $107,854 based on a tax cost of $3,291,464.",,,,,,,,,,,,,
229,Industry Classification,"Percentage of Total Investments (at fair value) as of December 31, 2013",,,,,,,,,,,,,
230,Business Services,14.1%,,,,,,,,,,,,,
231,Oil and Gas,12.9%,,,,,,,,,,,,,
232,Financial Services,8.8%,,,,,,,,,,,,,
233,Healthcare,8.2%,,,,,,,,,,,,,
234,Aviation,7.3%,,,,,,,,,,,,,
235,Diversified Investment Vehicle,6.7%,,,,,,,,,,,,,
236,Diversified Service,4.9%,,,,,,,,,,,,,
237,Chemicals,3.9%,,,,,,,,,,,,,
238,Telecommunications,3.3%,,,,,,,,,,,,,
239,Distribution,3.2%,,,,,,,,,,,,,
240,Leisure,3.0%,,,,,,,,,,,,,
241,Environmental Services,2.8%,,,,,,,,,,,,,
242,Insurance,2.6%,,,,,,,,,,,,,
243,"Containers, Packaging and Glass",1.8%,,,,,,,,,,,,,
244,Transportation,1.6%,,,,,,,,,,,,,
245,"Diversified Natural Resources, Precious Metals and Minerals",1.6%,,,,,,,,,,,,,
246,Energy,1.4%,,,,,,,,,,,,,
247,Manufacturing,1.3%,,,,,,,,,,,,,
248,Education,1.2%,,,,,,,,,,,,,
249,Restaurants,1.1%,,,,,,,,,,,,,
250,"Hotels, Motels, Inns and Gaming",1.1%,,,,,,,,,,,,,
251,Retail,1.0%,,,,,,,,,,,,,
252,Packaging,0.9%,,,,,,,,,,,,,
253,Mining,0.9%,,,,,,,,,,,,,
254,Media,0.8%,,,,,,,,,,,,,
255,Cargo Transport,0.7%,,,,,,,,,,,,,
256,Consumer Products,0.5%,,,,,,,,,,,,,
257,Printing & Publishing,0.5%,,,,,,,,,,,,,
258,"Beverage, Food, and Tobacco",0.5%,,,,,,,,,,,,,
259,Home and Office Furnishings and Durable Consumer Products,0.4%,,,,,,,,,,,,,
260,Broadcasting & Entertainment,0.3%,,,,,,,,,,,,,
261,Aerospace and Defense,0.3%,,,,,,,,,,,,,
262,Grocery,0.2%,,,,,,,,,,,,,
263,Electronics,0.2%,,,,,,,,,,,,,
264,Total Investments,100.0%,,,,,,,,,,,,,
