,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
102,"Florida Food Products, LLC",,First Lien Secured Debt - Revolver,,"8.55% (1M L+675, 1.00% Floor)",,09/06/23,,1473,,,1473,,,,1458,,,(9)(23),,,,,,,,
103,,,First Lien Secured Debt - Unfunded Revolver,,0.50% Unfunded,,09/06/23,,240,,,(32,,,,(2,,,(8)(9)(21)(23),,,,,,,,
104,,,,,,,,,,,,23970,,,,24223,,,,,,,,,,,
105,Industry / Company,,Investment Type,,Interest Rate (20),,Maturity Date,,Par/Shares (12),,Cost (26),,,Fair Value (1)(27),,,,,,,,,,,,,
106,"Orgain, Inc.",,,,,,,,,,,,,,,,,,,,,,,,,,
107,"Butterfly Fighter Co-Invest, L.P.",,Common Equity/Interests - Membership Interests,,N/A,,N/A,,"1,000,000 Shares",,,1000,,,,1000,,,(13),,,,,,,,
108,TNT Crust LLC,,,,,,,,,,,,,,,,,,,,,,,,,,
109,TNT Crust LLC,,First Lien Secured Debt,,"7.05% (1M L+525, 1.00% Floor)",,11/06/23,,19366,,,19045,,,,18978,,,(9),,,,,,,,
110,,,First Lien Secured Debt - Revolver,,"7.05% (1M L+525, 1.00% Floor)",,11/06/23,,1724,,,1724,,,,1689,,,(9)(23),,,,,,,,
111,,,First Lien Secured Debt - Unfunded Revolver,,0.50% Unfunded,,11/06/23,,1528,,,(54,,,,(31,,,(8)(9)(21)(23),,,,,,,,
112,,,Common Equity/Interests - Series A Units,,N/A,,N/A,,244 Shares,,,30,,,,292,,,(9)(13),,,,,,,,
113,,,,,,,,,,,,20745,,,,20928,,,,,,,,,,,
114,Turkey Hill,,,,,,,,,,,,,,,,,,,,,,,,,,
115,IC Holdings LLC,,Common Equity/Interests - Series A Units,,N/A,,N/A,,169 Shares,,,169,,,,154,,,(9)(13),,,,,,,,
116,THLP CO. LLC,,First Lien Secured Debt,,"7.30% (1M L+550, 1.00% Floor)",,05/30/25,,19562,,,19208,,,,19366,,,(9),,,,,,,,
117,,,First Lien Secured Debt - Revolver,,9.25% (P+450),,05/31/24,,449,,,449,,,,445,,,(9)(23),,,,,,,,
118,,,First Lien Secured Debt - Unfunded Revolver,,0.50% Unfunded,,05/31/24,,4045,,,(79,,,,(40,,,(8)(9)(21)(23),,,,,,,,
119,,,First Lien Secured Debt - Unfunded Delayed Draw,,1.00% Unfunded,,05/30/25,,5618,,,(40,,,,(56,,,(8)(9)(21)(23),,,,,,,,
120,,,,,,,,,,,,19707,,,,19869,,,,,,,,,,,
121,"Total Beverage, Food & Tobacco",,,,91478,,,,,91461,,,,,,,,,,,,,,,,,
122,Business Services,,,,,,,,,,,,,,,,,,,,,,,,,,
123,Access Information,,,,,,,,,,,,,,,,,,,,,,,,,,
124,"Access CIG, LLC",,Second Lien Secured Debt,,9.44% (1M L+775),,02/27/26,,,15900,,,,15785,,,,,15860,,,(10),,,,,
125,Aero Operating LLC,,,,,,,,,,,,,,,,,,,,,,,,,,
126,Aero Operating LLC,,First Lien Secured Debt,,"8.94% (1M L+725, 1.00% Floor)",,12/29/22,,36329,,,35768,,,,35966,,,(9),,,,,,,,
127,,,First Lien Secured Debt - Revolver,,11.00% (P+625),,12/29/22,,2920,,,2920,,,,2890,,,(9)(23),,,,,,,,
128,,,First Lien Secured Debt - Unfunded Revolver,,1.00% Unfunded,,12/29/22,,669,,,(72,,,,(7,,,(8)(9)(21)(23),,,,,,,,
129,,,First Lien Secured Debt - Letters of Credit,,L+400,,04/30/20 - 07/30/20,,1123,,,-,,,,(11,,,(8)(9)(23),,,,,,,,
130,,,First Lien Secured Debt - Letter of Credit,,L+725,,07/30/20,,101,,,-,,,,(1,,,(8)(9)(23),,,,,,,,
131,,,,,,,,,,,,38616,,,,38837,,,,,,,,,,,
132,Ambrosia Buyer Corp.,,,,,,,,,,,,,,,,,,,,,,,,,,
133,Ambrosia Buyer Corp.,,Second Lien Secured Debt,,"9.80% (1M L+800, 1.00% Floor)",,08/28/25,,21429,,,21049,,,,20670,,,,,,,,,,,
134,Claritas,,,,,,,,,,,,,,,,,,,,,,,,,,
135,"Claritas, LLC",,First Lien Secured Debt,,"7.94% (3M L+600, 1.00% Floor)",,12/21/23,,3870,,,3838,,,,3831,,,(9),,,,,,,,
136,,,First Lien Secured Debt - Revolver,,"7.79% (1M L+600, 1.00% Floor)",,12/21/23,,155,,,155,,,,153,,,(9)(23),,,,,,,,
137,,,First Lien Secured Debt - Revolver,,"7.80% (1M L+600, 1.00% Floor)",,12/21/23,,258,,,258,,,,255,,,(9)(23),,,,,,,,
138,,,First Lien Secured Debt - Unfunded Revolver,,0.50% Unfunded,,12/21/23,,619,,,(9,,,,(6,,,(8)(9)(21)(23),,,,,,,,
139,,,,,,,,,,,,4242,,,,4233,,,,,,,,,,,
140,Industry / Company,,Investment Type,,Interest Rate (20),,Maturity Date,,Par/Shares (12),,Cost (26),,,Fair Value (1)(27),,,,,,,,,,,,,
141,Continuum,,,,,,,,,,,,,,,,,,,,,,,,,,
142,"Continuum Global Solutions, LLC",,First Lien Secured Debt - Revolver,,"7.19% (1M L+550, 1.00% Floor)",,02/15/22,,8726,,,8726,,,,8552,,,(9)(23),,,,,,,,
143,,,First Lien Secured Debt - Unfunded Revolver,,0.50% Unfunded,,02/15/22,,2043,,,(153,,,,(41,,,(8)(9)(21)(23),,,,,,,,
144,,,Preferred Equity - Preferred Equity,,N/A,,N/A,,620 Shares,,,62,,,,62,,,(9)(13),,,,,,,,
145,,,,,,,,,,,,8635,,,,8573,,,,,,,,,,,
146,"CT Technologies Intermediate Holdings, Inc",,,,,,,,,,,,,,,,,,,,,,,,,,
147,"CT Technologies Intermediate Holdings, Inc",,Second Lien Secured Debt,,"10.80% (1M L+900, 1.00% Floor)",,12/01/22,,31253,,,30761,,,,28128,,,(9),,,,,,,,
148,Education Personnel,,,,,,,,,,,,,,,,,,,,,,,,,,
149,Education Personnel,,First Lien Secured Debt,,"5.54% (3M GBPL+475, 0.50% Floor)",,08/31/24,,£,4076,,,5184,,,,5354,,,(9)(17),,,,,,,
150,,,First Lien Secured Debt - Revolver,,"5.54% (3M GBPL+475, 0.50% Floor)",,08/31/24,,£,1471,,,1870,,,,1932,,,(9)(17)(23),,,,,,,
151,,,,,,,,,,,,7054,,,,7286,,,,,,,,,,,
152,Electro Rent Corporation,,,,,,,,,,,,,,,,,,,,,,,,,,
153,Electro Rent Corporation,,Second Lien Secured Debt,,"10.92% (3M L+900, 1.00% Floor)",,01/31/25,,34235,,,33515,,,,33551,,,(9),,,,,,,,
154,Elo Touch,,,,,,,,,,,,,,,,,,,,,,,,,,
155,TGG TS Acquisition Company,,First Lien Secured Debt - Unfunded Revolver,,0.50% Unfunded,,12/14/23,,1750,,,-,,,,(44,,,(8)(21)(23),,,,,,,,
156,Ensemble Health,,,,,,,,,,,,,,,,,,,,,,,,,,
157,"EHL Merger Sub, LLC",,First Lien Secured Debt - Unfunded Revolver,,0.25% Unfunded,,10/01/24,,4155,,,(349,,,,(374,,,(8)(21)(23),,,,,,,,
158,Jacent,,,,,,,,,,,,,,,,,,,,,,,,,,
159,Jacent Strategic Merchandising,,First Lien Secured Debt,,"7.67% (3M L+575, 1.00% Floor)",,04/23/24,,22636,,,22343,,,,22229,,,(9),,,,,,,,
160,,,First Lien Secured Debt - Revolver,,"7.55% (1M L+575, 1.00% Floor)",,04/23/24,,117,,,117,,,,115,,,(9)(23),,,,,,,,
161,,,First Lien Secured Debt - Revolver,,"7.67% (3M L+575, 1.00% Floor)",,04/23/24,,1167,,,1167,,,,1146,,,(9)(23),,,,,,,,
162,,,First Lien Secured Debt - Revolver,,"7.69% (3M L+575, 1.00% Floor)",,04/23/24,,1050,,,1050,,,,1031,,,(9)(23),,,,,,,,
163,,,First Lien Secured Debt - Unfunded Revolver,,0.50% Unfunded,,04/23/24,,1167,,,(45,,,,(21,,,(8)(9)(21)(23),,,,,,,,
164,,,Common Equity/Interests - Common Stock,,N/A,,N/A,,"5,000 Shares",,,500,,,,491,,,(9)(13),,,,,,,,
165,,,,,,,,,,,,25132,,,,24991,,,,,,,,,,,
166,Jones & Frank,,,,,,,,,,,,,,,,,,,,,,,,,,
167,"JF Acquisition, LLC",,First Lien Secured Debt,,"7.43% (3M L+550, 1.00% Floor)",,07/31/24,,8139,,,7989,,,,7981,,,(9),,,,,,,,
168,,,First Lien Secured Debt,,"7.46% (3M L+550, 1.00% Floor)",,07/31/24,,5272,,,5174,,,,5168,,,(9),,,,,,,,
169,,,First Lien Secured Debt - Revolver,,9.25% (P+450),,07/31/24,,439,,,439,,,,431,,,(9)(23),,,,,,,,
170,,,First Lien Secured Debt - Revolver,,"7.43% (3M L+550, 1.00% Floor)",,07/31/24,,188,,,188,,,,185,,,(9)(23),,,,,,,,
171,,,First Lien Secured Debt - Unfunded Revolver,,0.50% Unfunded,,07/31/24,,941,,,(29,,,,(19,,,(8)(9)(21)(23),,,,,,,,
172,,,,,,,,,,,,13761,,,,13746,,,,,,,,,,,
173,MAKS,,,,,,,,,,,,,,,,,,,,,,,,,,
174,Trident Bidco Limited,,First Lien Secured Debt,,"8.05% (1M L+625, 1.00% Floor)",,11/08/25,,35000,,,33976,,,,33976,,,(9)(17),,,,,,,,
175,Industry / Company,,Investment Type,,Interest Rate (20),,Maturity Date,,Par/Shares (12),,Cost (26),,,Fair Value (1)(27),,,,,,,,,,,,,
176,McLarens,,,,,,,,,,,,,,,,,,,,,,,,,,
177,Margaux Acquisition Inc.,,First Lien Secured Debt,,"7.60% (3M L+550, 1.00% Floor)",,12/19/24,,17482,,,17192,,,,17281,,,(9),,,,,,,,
178,,,First Lien Secured Debt,,"8.10% (3M L+600, 1.00% Floor)",,12/19/24,,1366,,,1366,,,,1350,,,(9),,,,,,,,
179,,,First Lien Secured Debt - Unfunded Revolver,,0.50% Unfunded,,12/19/24,,1601,,,(27,,,,(17,,,(8)(9)(21)(23),,,,,,,,
180,,,First Lien Secured Debt - Unfunded Delayed Draw,,1.00% Unfunded,,12/19/24,,4461,,,(97,,,,(52,,,(8)(9)(21)(23),,,,,,,,
181,Margaux UK Finance Limited,,First Lien Secured Debt,,"6.50% (3M GBPL+550, 1.00% Floor)",,12/19/24,,£,5911,,,7345,,,,7739,,,(9)(17),,,,,,,
182,,,First Lien Secured Debt - Unfunded Revolver,,0.50% Unfunded,,12/19/24,,£,541,,,(11,,,,(8,,,(8)(9)(17)(21)(23),,,,,,,
183,,,First Lien Secured Debt - Unfunded Delayed Draw,,1.00% Unfunded,,12/19/24,,£,1353,,,(28,,,,(21,,,(8)(9)(17)(21)(23),,,,,,,
184,,,,,,,,,,,,25740,,,,26272,,,,,,,,,,,
185,"Ministry Brands, LLC",,,,,,,,,,,,,,,,,,,,,,,,,,
186,"Ministry Brands, LLC",,Second Lien Secured Debt,,"11.08% (2M L+925, 1.00% Floor)",,06/02/23,,10000,,,9919,,,,9943,,,,,,,,,,,
187,"Newscycle Solutions, Inc.",,,,,,,,,,,,,,,,,,,,,,,,,,
188,"Newscycle Solutions, Inc.",,First Lien Secured Debt,,"8.80% (1M L+700, 1.00% Floor)",,12/29/22,,14843,,,14615,,,,14695,,,(9),,,,,,,,
189,,,First Lien Secured Debt,,"8.69% (1M L+700, 1.00% Floor)",,12/29/22,,1147,,,1136,,,,1136,,,(9),,,,,,,,
190,,,First Lien Secured Debt - Revolver,,10.75% (P+600),,12/29/22,,40,,,40,,,,40,,,(9)(23),,,,,,,,
191,,,First Lien Secured Debt - Revolver,,"8.80% (1M L+700, 1.00% Floor)",,12/29/22,,400,,,400,,,,396,,,(9)(23),,,,,,,,
192,,,First Lien Secured Debt - Unfunded Revolver,,0.50% Unfunded,,12/29/22,,60,,,(7,,,,(1,,,(8)(9)(21)(23),,,,,,,,
193,,,,,,,,,,,,16184,,,,16266,,,,,,,,,,,
194,"PSI Services, LLC",,,,,,,,,,,,,,,,,,,,,,,,,,
195,"Lifelong Learner Holdings, LLC",,First Lien Secured Debt,,"7.49% (1M L+575, 1.00% Floor)",,10/19/26,,28657,,,28100,,,,28098,,,(9),,,,,,,,
196,,,First Lien Secured Debt,,"7.54% (1M L+575, 1.00% Floor)",,10/19/26,,1578,,,1563,,,,1547,,,(9),,,,,,,,
197,,,First Lien Secured Debt,,"7.66% (3M L+575, 1.00% Floor)",,10/19/26,,2713,,,2686,,,,2660,,,(9),,,,,,,,
198,,,First Lien Secured Debt - Revolver,,"7.69% (3M L+575, 1.00% Floor)",,10/20/25,,299,,,299,,,,293,,,(9)(23),,,,,,,,
199,,,First Lien Secured Debt - Unfunded Revolver,,0.50% Unfunded,,10/20/25,,2687,,,(58,,,,(52,,,(8)(9)(21)(23),,,,,,,,
200,,,First Lien Secured Debt - Unfunded Delayed Draw,,0.00% Unfunded,,10/19/26,,4067,,,(79,,,,(80,,,(8)(9)(21)(23),,,,,,,,
201,,,,,,,,,,,,32511,,,,32466,,,,,,,,,,,
202,"RA Outdoors, LLC (Active Outdoors)",,,,,,,,,,,,,,,,,,,,,,,,,,
203,"RA Outdoors, LLC",,First Lien Secured Debt,,"6.55% (1M L+475, 1.00% Floor)",,09/11/24,,6627,,,6537,,,,6494,,,(9),,,,,,,,
204,,,First Lien Secured Debt - Unfunded Revolver,,0.50% Unfunded,,09/09/22,,1200,,,(13,,,,(12,,,(8)(9)(21)(23),,,,,,,,
205,,,Second Lien Secured Debt,,"10.55% (1M L+875, 1.00% Floor)",,09/11/25,,31950,,,31380,,,,30992,,,(9),,,,,,,,
206,,,,,,,,,,,,37904,,,,37474,,,,,,,,,,,
207,Soliant,,,,,,,,,,,,,,,,,,,,,,,,,,
208,"Soliant Holdings, LLC",,First Lien Secured Debt,,"7.30% (1M L+550, 1.00% Floor)",,12/31/26,,18064,,,17703,,,,17702,,,(9),,,,,,,,
209,Industry / Company,,Investment Type,,Interest Rate (20),,Maturity Date,,Par/Shares (12),,Cost (26),,,Fair Value (1)(27),,,,,,,,,,,,,
210,,,First Lien Secured Debt - Revolver,,"7.30% (1M L+550, 1.00% Floor)",,12/31/24,,581,,,581,,,,569,,,(9)(23),,,,,,,,
211,,,First Lien Secured Debt - Unfunded Revolver,,0.50% Unfunded,,12/31/24,,1355,,,(39,,,,(27,,,(8)(9)(21)(23),,,,,,,,
212,"Soliant Health, Inc.",,Common Equity/Interests - Membership Interests,,N/A,,N/A,,300 Shares,,,300,,,,300,,,(9)(13),,,,,,,,
213,,,,,,,,,,,18545,,,,18544,,,,,,,,,,,,
214,"STG-Fairway Acquisitions, Inc.",,,,,,,,,,,,,,,,,,,,,,,,,,
215,"STG-Fairway Acquisitions, Inc.",,Second Lien Secured Debt,,"11.05% (1M L+925, 1.00% Floor)",,06/30/23,,15000,,,14835,,,,14850,,,,,,,,,,,
216,"Transplace Holdings, Inc.",,,,,,,,,,,,,,,,,,,,,,,,,,
217,"Transplace Holdings, Inc.",,Second Lien Secured Debt,,"10.55% (1M L+875, 1.00% Floor)",,10/06/25,,8599,,,8443,,,,8169,,,(10),,,,,,,,
218,US Legal Support,,,,,,,,,,,,,,,,,,,,,,,,,,
219,"US Legal Support Investment Holdings, LLC",,Common Equity/Interests - Series A-1 Units,,N/A,,N/A,,"631,972 Shares",,,632,,,,692,,,(9)(13),,,,,,,,
220,"USLS Acquisition, Inc.",,First Lien Secured Debt,,"7.69% (3M L+575, 1.00% Floor)",,12/02/24,,24560,,,24152,,,,24135,,,(9),,,,,,,,
221,,,First Lien Secured Debt - Revolver,,7.69% (3M L+575),,12/02/24,,536,,,536,,,,526,,,(9)(23),,,,,,,,
222,,,First Lien Secured Debt - Unfunded Revolver,,0.50% Unfunded,,12/02/24,,986,,,(26,,,,(17,,,(8)(9)(21)(23),,,,,,,,
223,,,First Lien Secured Debt - Letters of Credit,,5.75%,,06/06/20 - 12/21/20,,86,,,-,,,,(1,,,(8)(9)(23),,,,,,,,
224,,,,,,,,,,,,25294,,,,25335,,,,,,,,,,,
225,Vertafore,,,,,,,,,,,,,,,,,,,,,,,,,,
