,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
60,"My Alarm Center, LLC, Unfunded Term Loan B (16)(21)(23)",,Business Services,,0.35% Unfunded,,1/9/19,,441,,,-,,,-,,,,,,
61,"My Alarm Center, LLC, Term Loan C (16)(23)",,Business Services,,"9.00% (1M L+800, 1.00% Floor)",,1/9/19,,3115,,,3115,,,3115,,,,,,
62,"My Alarm Center, LLC, Term Loan C (16)(23)",,Business Services,,11.00% (P+700),,1/9/19,,439,,,439,,,439,,,,,,
63,"My Alarm Center, LLC, Unfunded Term Loan C (16)(21)(23)",,Business Services,,0.35% Unfunded,,1/9/19,,558,,,-,,,-,,,,,,
64,"Nextech Systems, LLC (18)",,High Tech Industries,,"8.25% (3M L+725, 1.00% Floor)",,6/22/21,,21857,,,21367,,,21419,,,,,,
65,"Oxford Immunotec, Inc. (9)(16)(17)",,Healthcare & Pharmaceuticals,,8.22% (1M L+760),,10/1/21,,9750,,,9726,,,9724,,,,,,
66,"Saba Software, Inc. (18)",,High Tech Industries,,"9.75% (1M L+875, 1.00% Floor)",,3/30/21,,9850,,,9850,,,9702,,,,,,
67,"SCM Insurance Services, Inc. (17)",,Business Services,,9.25%,,8/22/19,,C$,39480,,,33293,,,24559,,,,,
68,Telestream Holdings Corporation (18),,High Tech Industries,,"7.77% (3M L+677, 1.00% Floor)",,1/15/20,,30503,,,30503,,,29893,,,,,,
69,UniTek Global Services Inc. (16),,Telecommunications,,"8.50% (3M L+750, 1.00% Floor)",,1/13/19,,32367,,,32367,,,32367,,,,,,
70,UniTek Global Services Inc. (16),,Telecommunications,,"9.50% (3M L+750 Cash plus 1.00% PIK, 1.00% Floor)",,1/13/19,,11680,,,11680,,,11680,,,,,,
71,Total First Lien Secured Debt (excluding Revolvers and Letters of Credit)-25.8% (10),,,419150,,,,388094,,,,,,,,,,,,,
72,Investment,,Industry,,Interest  Rate (20),,Maturity  Date,,Par (12),,Cost,,Fair  Value (1),,,,,,,,
73,Revolvers and Letters of Credit,,,,,,,,,,,,,,,,,,,,
74,"Alliant Holdings Intermediate, LLC, Unfunded Revolver (8)(16)(21)(23)",,Insurance,,0.50% Unfunded,,8/14/20,,,14813,,,,"(1,236",,,,(971,,,
75,"Alliant Holdings Intermediate, LLC, Letter of Credit (8)(16)(23)",,Insurance,,3.375%,,4/24/17,,37,,,-,,,(2,,,,,,
76,"Alliant Holdings Intermediate, LLC, Letter of Credit (8)(16)(23)",,Insurance,,3.375%,,5/4/17,,8,,,-,,,(1,,,,,,
77,"Alliant Holdings Intermediate, LLC, Letter of Credit (8)(16)(23)",,Insurance,,3.375%,,6/30/17,,17,,,-,,,(1,,,,,,
78,"Alliant Holdings Intermediate, LLC, Letter of Credit (8)(16)(23)",,Insurance,,3.375%,,7/29/17,,80,,,-,,,(5,,,,,,
79,"Alliant Holdings Intermediate, LLC, Letter of Credit (8)(16)(23)",,Insurance,,3.375%,,10/3/17,,8,,,-,,,(1,,,,,,
80,"Alliant Holdings Intermediate, LLC, Letter of Credit (8)(16)(23)",,Insurance,,3.375%,,11/30/17,,37,,,-,,,(2,,,,,,
81,"American Media, Inc., Revolver (16)(23)",,"Advertising, Printing & Publishing",,"8.50% (1M L+750, 1.00% Floor)",,8/24/20,,1067,,,1067,,,1035,,,,,,
82,"American Media, Inc., Unfunded Revolver (8)(16)(21)(23)",,"Advertising, Printing & Publishing",,0.50% Unfunded,,8/24/20,,505,,,(49,,,(15,,,,,,
83,"American Media, Inc., Letter of Credit (8)(16)(23)",,"Advertising, Printing & Publishing",,7.50%,,8/24/20,,206,,,-,,,(6,,,,,,
84,"Endologix, Inc., Unfunded Revolver (8)(9)(17)(21)(23)",,Healthcare & Pharmaceuticals,,0.50% Unfunded,,7/29/20,,5000,,,(22,,,(25,,,,,,
85,"LabVantage Solutions Limited, Unfunded Revolver (8)(16)(17)(21)(23)",,High Tech Industries,,0.50% Unfunded,,12/29/20,,€,3435,,,(96,,,(72,,,,,
86,"My Alarm Center, LLC, Revolver (16)(23)",,Business Services,,11.00% (P+700),,1/9/19,,2708,,,2708,,,2708,,,,,,
87,"My Alarm Center, LLC, Unfunded Revolver (16)(21)(23)",,Business Services,,0.35% Unfunded,,1/9/19,,3542,,,-,,,-,,,,,,
88,"Oxford Immunotec, Inc., Unfunded Revolver (8)(9)(16)(17)(21)(23)",,Healthcare & Pharmaceuticals,,0.50% Unfunded,,10/1/21,,1000,,,(5,,,(5,,,,,,
89,"Tibco Software Inc., Unfunded Revolver (8)(21)(23)",,High Tech Industries,,0.50% Unfunded,,12/5/19,,6000,,,(35,,,(840,,,,,,
90,"TricorBraun Holdings, Inc., Revolver (9)(16)(23)",,"Containers, Packaging & Glass",,5.75% (P+225),,11/30/21,,998,,,998,,,993,,,,,,
91,"TricorBraun Holdings, Inc., Unfunded Revolver (8)(9)(16)(21)(23)",,"Containers, Packaging & Glass",,0.50% Unfunded,,11/30/21,,4627,,,(497,,,(20,,,,,,
92,"UniTek Global Services Inc., Unfunded Revolver (16)(21)(23)",,Telecommunications,,0.50% Unfunded,,1/13/19,,5000,,,-,,,-,,,,,,
93,"UniTek Global Services Inc., Letter of Credit (16)(23)",,Telecommunications,,7.50%,,1/13/19,,8812,,,-,,,-,,,,,,
94,"UniTek Global Services Inc., Letter of Credit (16)(23)",,Telecommunications,,7.50%,,1/13/19,,1850,,,-,,,-,,,,,,
95,"Wright Medical Group, Inc., Revolver (9)(16)(17)(23)",,Healthcare & Pharmaceuticals,,"5.00% (1M L+425, 0.75% Floor)",,12/23/21,,10000,,,10000,,,9900,,,,,,
96,"Wright Medical Group, Inc., Unfunded Revolver (8)(9)(16)(17)(21)(23)",,Healthcare & Pharmaceuticals,,0.50% Unfunded,,12/23/21,,40000,,,(478,,,(400,,,,,,
97,Total Revolvers and Letters of Credit-0.8% (10),,,,,,,,,12355,,,,12270,,,,,,,
98,Total First Lien Secured Debt-26.6% (10),,,,,,,,,431505,,,,400364,,,,,,,
99,Second Lien Secured Debt,,,,,,,,,,,,,,,,,,,,
100,1A Smart Start LLC,,Consumer Services,,"9.50% (3M L+850, 1.00% Floor)",,8/22/22,,,35000,,,,34405,,,,34422,,,
101,"Access CIG, LLC (16)",,Business Services,,"9.75% (3M L+875, 1.00% Floor)",,10/17/22,,35755,,,34314,,,35599,,,,,,
102,"Access CIG, LLC (16)",,Business Services,,"9.75% (3M L+875, 1.00% Floor)",,10/17/22,,15215,,,14676,,,15148,,,,,,
103,Investment,,Industry,,Interest  Rate (20),,Maturity  Date,,Par (12),,Cost,,Fair  Value (1),,,,,,,,
104,"Active Network, LLC",,Business Services,,"10.50% (3M L+950, 1.00% Floor)",,11/15/21,,,16225,,,,16074,,,,16022,,,
105,A-L Parent LLC,,"Advertising, Printing & Publishing",,"8.25% (3M L+725, 1.00% Floor)",,12/2/24,,10048,,,9948,,,10123,,,,,,
106,"Appriss Holdings, Inc.",,Business Services,,"10.25% (3M L+925, 1.00% Floor)",,5/21/21,,23309,,,23044,,,23309,,,,,,
107,"Aptean, Inc.",,Business Services,,"10.50% (3M L+950, 1.00% Floor)",,12/20/23,,9548,,,9404,,,9530,,,,,,
108,Armor Holding II LLC,,"Diversified Investment Vehicles, Banking, Finance, Real Estate",,"10.25% (3M L+900, 1.25% Floor)",,12/26/20,,8000,,,7900,,,8030,,,,,,
109,Asurion Corporation,,Insurance,,"8.50% (3M L+750, 1.00% Floor)",,3/3/21,,39590,,,39394,,,40357,,,,,,
110,"BioClinica Holding I, LP",,Healthcare & Pharmaceuticals,,"9.25% (3M L+825, 1.00% Floor)",,10/21/24,,24612,,,24128,,,24504,,,,,,
111,Confie Seguros Holding II Co.,,Insurance,,"10.25% (1M L+900, 1.25% Floor)",,5/8/19,,22344,,,22269,,,22232,,,,,,
112,"Elements Behavioral Health, Inc.",,Healthcare & Pharmaceuticals,,"13.00% (3M L+1200 PIK, 1.00% Floor)",,2/11/20,,10832,,,10777,,,8666,,,,,,
113,Garden Fresh Restaurant Corp. (14)(16),,"Hotel, Gaming, Leisure, Restaurants",,"7.75% (3M L+625 PIK, 1.50% Floor)",,1/1/19,,9466,,,7746,,,-,,,,,,
114,Garden Fresh Restaurant Corp. (14)(16),,"Hotel, Gaming, Leisure, Restaurants",,"15.00% (3M L+1350 PIK, 1.50% Floor)",,1/1/19,,51902,,,45904,,,-,,,,,,
115,"GCA Services Group, Inc.",,Business Services,,"10.00% (3M L+900, 1.00% Floor)",,3/1/24,,10000,,,9767,,,9950,,,,,,
116,"Grocery Outlet, Inc.",,Food & Grocery,,"9.25% (3M L+825, 1.00% Floor)",,10/21/22,,25000,,,24703,,,25063,,,,,,
117,"Infiltrator Systems Integrated, LLC",,"Manufacturing, Capital Equipment",,"9.75% (3M L+875, 1.00% Floor)",,5/26/23,,13889,,,13651,,,13958,,,,,,
118,"Institutional Shareholder Services, Inc.",,Business Services,,"9.50% (3M L+850, 1.00% Floor)",,4/30/22,,8232,,,8159,,,8149,,,,,,
119,"K&N Parent, Inc.",,Automotive,,"9.75% (3M L+875, 1.00% Floor)",,10/21/24,,30000,,,29407,,,29775,,,,,,
120,"Lanai Holdings III, Inc.",,Healthcare & Pharmaceuticals,,"9.50% (3M L+850, 1.00% Floor)",,8/28/23,,17391,,,16892,,,16870,,,,,,
121,"Landslide Holdings, Inc.",,Business Services,,"9.50% (3M L+850, 1.00% Floor)",,9/21/23,,18510,,,18152,,,18880,,,,,,
122,"Ministry Brands, LLC (16)(23)",,Business Services,,"10.25% (3M L+925, 1.00% Floor)",,6/2/23,,7840,,,7724,,,7720,,,,,,
123,"Ministry Brands, LLC, Unfunded Delayed Draw (8)(16)(21)(23)",,Business Services,,"5.63% Unfunded (3ML+463, 1.00% Floor)",,6/2/23,,2160,,,(32,,,(33,,,,,,
124,MSC Software Corp. (17),,High Tech Industries,,"8.50% (3M L+750, 1.00% Floor)",,5/31/21,,13448,,,13355,,,13465,,,,,,
125,"MW Industries, Inc.",,"Manufacturing, Capital Equipment",,"10.25% (3M L+925, 1.00% Floor)",,12/28/20,,20000,,,19546,,,19900,,,,,,
126,PAE Holding Corporation,,Aerospace & Defense,,"10.50% (3M L+950, 1.00% Floor)",,10/20/23,,22026,,,21269,,,22411,,,,,,
127,"PetVet Care Centers, LLC",,Healthcare & Pharmaceuticals,,"9.50% (3M L+850, 1.00% Floor)",,6/17/21,,13500,,,13098,,,13297,,,,,,
128,"Poseidon Merger Sub, Inc.",,Business Services,,"9.50% (3M L+850, 1.00% Floor)",,8/15/23,,18000,,,17551,,,17820,,,,,,
129,"Power Products, LLC (9)",,"Manufacturing, Capital Equipment",,"10.00% (3M L+900, 1.00% Floor)",,12/20/23,,37500,,,36194,,,36844,,,,,,
130,River Cree Enterprises LP (11)(17),,"Hotel, Gaming, Leisure, Restaurants",,11.00%,,1/20/21,,C$,19000,,,17913,,,14133,,,,,
131,Investment,,Industry,,Interest  Rate (20),,Maturity  Date,,Par (12),,Cost,,Fair  Value (1),,,,,,,,
132,"Sequential Brands Group, Inc. (17)",,Consumer Goods – Durable,,9.63% (1M L+900),,7/1/22,,,17600,,,,17397,,,,17330,,,
133,"SiTV, Inc. (11)",,Broadcasting & Subscription,,10.375%,,7/1/19,,2219,,,2219,,,1354,,,,,,
134,SMG,,"Hotel, Gaming, Leisure, Restaurants",,"9.25% (3M L+825, 1.00% Floor)",,2/27/21,,19649,,,19649,,,19600,,,,,,
135,"Sprint Industrial Holdings, LLC",,"Containers, Packaging & Glass",,"11.25% (3M L+1000, 1.25% Floor)",,11/14/19,,16163,,,15627,,,8647,,,,,,
136,"Sterling Holdings Ultimate Parent, Inc.",,Business Services,,"9.25% (3M L+825, 1.00% Floor)",,6/19/23,,20000,,,19819,,,20000,,,,,,
137,"STG-Fairway Acquisitions, Inc.",,Business Services,,"10.25% (3M L+925, 1.00% Floor)",,6/30/23,,15000,,,14675,,,14100,,,,,,
138,"TMK Hawk Parent, Corp.",,"Transportation – Cargo, Distribution",,"8.50% (3M L+750, 1.00% Floor)",,10/1/22,,34000,,,33735,,,33830,,,,,,
139,"Velocity Technology Solutions, Inc.",,Business Services,,"9.50% (3M L+825, 1.25% Floor)",,9/28/20,,16500,,,16286,,,16088,,,,,,
140,"Wave Holdco Merger Sub, Inc.",,Telecommunications,,"10.25% (3M L+925, 1.00% Floor)",,5/27/23,,10000,,,9761,,,9826,,,,,,
141,Total Second Lien Secured Debt-43.6% (10),,,,,,,,,716500,,,,656919,,,,,,,
142,Total Secured Debt-70.2% (10),,,,,,,,,1148005,,,,1057283,,,,,,,
143,Unsecured Debt,,,,,,,,,,,,,,,,,,,,
144,"American Tire Distributors, Inc. (11)",,"Transportation – Cargo, Distribution",,10.25%,,3/1/22,,,14741,,,,14811,,,,14133,,,
145,Canacol Energy Ltd. (17),,Energy – Oil & Gas,,"9.50% (3M L+850, 1.00% Floor)",,12/31/19,,75000,,,73694,,,73500,,,,,,
146,"Flex Acquisition Company, Inc.",,"Containers, Packaging & Glass",,"8.00% (3M L+700, 1.00% Floor)",,12/29/17,,12777,,,12714,,,12713,,,,,,
147,"Lonestar Intermediate Super Holdings, LLC",,Insurance,,"10.00% (1M L+900 Cash (1M L+975 PIK Toggle), 1.00% Floor)",,8/31/21,,4865,,,4819,,,5034,,,,,,
148,"Sorenson Holdings, LLC (11)",,Consumer Goods – Durable,,13.85% Cash (13.85% PIK Toggle),,10/31/21,,52,,,35,,,48,,,,,,
149,"U.S. Security Associates Holdings, Inc.",,Business Services,,11.00%,,7/28/18,,135000,,,135000,,,135000,,,,,,
150,UniTek Global Services Inc. (16),,Telecommunications,,15.00% PIK,,7/13/19,,8231,,,8231,,,8355,,,,,,
151,Total Unsecured Debt-16.5% (10),,,,,,,,,249304,,,,248783,,,,,,,
152,Total Corporate Debt-86.7% (10),,,,,,,,,1397309,,,,1306066,,,,,,,
153,Structured Products and Other,,,,,,,,,,,,,,,,,,,,
154,Asset Repackaging Trust Six B.V. (11)(17)(19),,Utilities – Electric,,13.11%,,5/18/27,,,58411,,,,25548,,,,30894,,,
155,"Craft 2013-1, Credit-Linked Note (11)(16)(17)",,"Diversified Investment Vehicles, Banking, Finance, Real Estate",,10.13% (3M L+925),,4/17/22,,25000,,,25020,,,24750,,,,,,
156,"Craft 2013-1, Credit-Linked Note (16)(17)",,"Diversified Investment Vehicles, Banking, Finance, Real Estate",,10.13% (3M L+925),,4/17/22,,7625,,,7700,,,7549,,,,,,
157,"Craft 2014-1A, Credit-Linked Note (11)(17)",,"Diversified Investment Vehicles, Banking, Finance, Real Estate",,10.55% (3M L+965),,5/15/21,,42500,,,42375,,,41650,,,,,,
158,"Craft 2015-2, Credit-Linked Note (11)(17)",,"Diversified Investment Vehicles, Banking, Finance, Real Estate",,10.13% (3M L+925),,1/16/24,,26000,,,25833,,,24960,,,,,,
159,"NXT Capital CLO 2014-1, LLC, Class E Notes (11)(17)",,"Diversified Investment Vehicles, Banking, Finance, Real Estate",,6.38% (3M L+550),,4/23/26,,5000,,,4708,,,4324,,,,,,
160,Total Structured Products and Other-8.9% (10),,,,,,,,,131184,,,,134127,,,,,,,
161,Investment,,Industry,,Interest  Rate (20),,Maturity  Date,,Par (12),,Cost,,Fair  Value (1),,,,,,,,
162,Equity,,,,,,,,,,,,,,,,,,,,
163,Preferred Equity,,,,,,Shares,,,,,,,,,,,,,,
164,"Delta Career Education Corporation, Super Senior Preferred Stock A (13)",,Education,,N/A,,N/A,,7812,,,,7049,,,,-,,,,
165,"Delta Career Education Corporation, Super Senior Preferred Stock B (13)",,Education,,N/A,,N/A,,10585,,,8788,,,-,,,,,,
166,"Delta Career Education Corporation, Super Senior Preferred Stock C (13)",,Education,,N/A,,N/A,,23769,,,20665,,,-,,,,,,
167,"Gryphon Colleges Corp., Preferred Stock (13)(14)",,Education,,12.50% PIK,,N/A,,332500,,,6863,,,-,,,,,,
168,"Gryphon Colleges Corp., Preferred Stock (13)(14)",,Education,,13.50% PIK,,N/A,,12360,,,27686,,,-,,,,,,
169,"Sungevity Inc., Series D Preferred Stock (13)",,Energy – Electricity,,N/A,,N/A,,114678899,,,4408,,,4393,,,,,,
170,Total Preferred Equity-0.3% (10),,,,,,,,,75459,,,,4393,,,,,,,
171,Common Equity/Interests,,,,,,Shares,,,,,,,,,,,,,,
172,"Accelerate Parent Corp., Common Stock (13)",,"Transportation – Cargo, Distribution",,N/A,,N/A,,1664046,,,,1714,,,,1270,,,,
173,"Clothesline Holdings, Inc., Common Stock (13)",,Healthcare & Pharmaceuticals,,N/A,,N/A,,6000,,,6000,,,-,,,,,,
174,"Garden Fresh Restaurant Holdings, LLC, Common Stock (13)",,"Hotel, Gaming, Leisure, Restaurants",,N/A,,N/A,,50000,,,5000,,,-,,,,,,
175,"Gryphon Colleges Corp., Common Stock (13)",,Education,,N/A,,N/A,,17500,,,175,,,-,,,,,,
176,"Skyline Data, News and Analytics LLC, Class A Common Unit (13)",,Business Services,,N/A,,N/A,,4500000,,,4500,,,4500,,,,,,
177,"Sorenson Holdings, LLC, Membership Interests (13)",,Consumer Goods – Durable,,N/A,,N/A,,587,,,-,,,135,,,,,,
178,Total Common Equity/Interests-0.4% (10),,,,,,,,,17389,,,,5905,,,,,,,
179,Warrants,,,,,,Warrants,,,,,,,,,,,,,,
180,"Gryphon Colleges Corp., Class A-1 Preferred Stock Warrants (13)",,Education,,N/A,,N/A,,45947,,,,460,,,,-,,,,
181,"Gryphon Colleges Corp., Class B-1 Preferred Stock Warrants (13)",,Education,,N/A,,N/A,,104314,,,1043,,,-,,,,,,
182,"Gryphon Colleges Corp., Common Stock Warrants (13)",,Education,,N/A,,N/A,,9820,,,98,,,-,,,,,,
183,Total Warrants-0.0% (10),,,,,,,,,1601,,,,-,,,,,,,
184,Total Equity- 0.7% (10),,,,,,,,,94449,,,,10298,,,,,,,
185,Total Non-Controlled/Non-Affiliated Investments-96.3% (10),,,,,,,1622942,,,,1450491,,,,,,,,,
186,Investment,,Industry,,Interest  Rate (20),,Maturity  Date,,Par (12),,Cost,,Fair  Value (1),,,,,,,,
187,Non-Controlled/Affiliated Investments (4),,,,,,,,,,,,,,,,,,,,
188,Corporate Debt,,,,,,,,,,,,,,,,,,,,
189,Secured Debt,,,,,,,,,,,,,,,,,,,,
190,First Lien Secured Debt,,,,,,,,,,,,,,,,,,,,
191,"Pelican Energy, LLC (14)(17)",,Energy – Oil & Gas,,10.00% PIK Toggle (10.00% Cash),,12/31/18,,,30373,,,,26665,,,,15155,,,
192,Solarplicity Group Limited (3)(17),,Energy – Electricity,,12.50% PIK Toggle (12.50% cash),,11/30/22,,£,134565,,,196003,,,152601,,,,,
193,Total First Lien Secured Debt-11.1% (10),,,,,222668,,,,167756,,,,,,,,,,,
194,Total Secured Debt-11.1% (10),,,,,,,,,222668,,,,167756,,,,,,,
195,Unsecured Debt,,,,,,,,,,,,,,,,,,,,
196,"Venoco, Inc.",,Energy – Oil & Gas,,10.00% PIK,,7/25/17,,,338,,,,338,,,,338,,,
197,Total Unsecured Debt-0.0% (10),,,,,338,,,,338,,,,,,,,,,,
198,Total Corporate Debt-11.1% (10),,,,,,,,,223006,,,,168094,,,,,,,
199,Structured Products and Other,,,,,,,,,,,,,,,,,,,,
200,"Golden Bear 2016-R, LLC, Membership Interests (3)(17)",,"Diversified Investment Vehicles, Banking, Finance, Real Estate",,N/A,,9/20/42,,N/A,,,,16352,,,,16352,,,,
201,"Ivy Hill Middle Market Credit Fund IX, Ltd., Subordinated Notes (3)(11)(17)(22)",,"Diversified Investment Vehicles, Banking, Finance, Real Estate",,13.34%,,10/18/25,,,12500,,,9377,,,9595,,,,,
202,"Ivy Hill Middle Market Credit Fund X, Ltd., Subordinated Notes (3)(11)(17)(22)",,"Diversified Investment Vehicles, Banking, Finance, Real Estate",,11.25%,,7/18/27,,14000,,,11322,,,10634,,,,,,
203,"MCF CLO III, LLC, Class E Notes (3)(11)(17)",,"Diversified Investment Vehicles, Banking, Finance, Real Estate",,5.33% (3M L+445),,1/20/24,,12750,,,11661,,,10644,,,,,,
204,"MCF CLO III, LLC, Membership Interests (3)(11)(17)(22)",,"Diversified Investment Vehicles, Banking, Finance, Real Estate",,20.40%,,1/20/24,,41900,,,32072,,,36396,,,,,,
205,Total Structured Products and Other-5.6% (10),,,,,,,,,80784,,,,83621,,,,,,,
206,Investment,,Industry,,Interest  Rate (20),,Maturity  Date,,Par (12),,Cost,,Fair  Value (1),,,,,,,,
207,Equity,,,,,,,,,,,,,,,,,,,,
208,Preferred Equity,,,,,,Shares,,,,,,,,,,,,,,
209,"Renew Financial LLC (f/k/a Renewable Funding, LLC), Series B Preferred Stock (13)",,Energy – Electricity,,N/A,,N/A,,1505868,,,,8343,,,,20459,,,,
210,"Renew Financial LLC (f/k/a Renewable Funding, LLC), Series D Preferred Stock (13)",,Energy – Electricity,,N/A,,N/A,,436689,,,5568,,,5933,,,,,,
211,Total Preferred Equity-1.8% (10),,,,,,,,,13911,,,,26392,,,,,,,
212,Common Equity/Interests,,,,,,Shares,,,,,,,,,,,,,,
213,"AIC SPV Holdings I, LLC, Membership Interests (15)(17)(23)",,"Diversified Investment Vehicles, Banking, Finance, Real Estate",,N/A,,N/A,,N/A,,,,68861,,,,25987,,,,
214,"AMP Solar Group, Inc., Class A Common Unit (13)(17)",,Energy – Electricity,,N/A,,N/A,,243646,,,10000,,,4690,,,,,,
215,"LVI Group Investments, LLC, Common Units (3)(13)",,Environmental Industries,,N/A,,N/A,,212460,,,17505,,,10257,,,,,,
