,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
63,"Osage Exploration & Development, Inc. (16)(17)(23)",,Energy – Oil & Gas,,8.00,,4/25/16,,,400,,,,400,,,,400,
64,"Saba Software, Inc. (18)",,High Tech Industries,,"9.75 (1M L+875, 1.00 Floor)",,3/30/21,,9925,,,9925,,,9776,,,,
65,"SCM Insurance Services, Inc. (17)",,Business Services,,9.25,,8/22/19,,C$,39480,,,33035,,,26538,,,
66,"Spotted Hawk Development, LLC (14)",,Energy – Oil & Gas,,19.00 (13.00 Cash plus 6.00 PIK),,9/12/16,,85660,,,84380,,,64071,,,,
67,Telestream Holdings Corporation (18),,High Tech Industries,,"7.77 (3M L+677, 1.00 Floor)",,1/15/20,,31691,,,31691,,,31057,,,,
68,UniTek Global Services Inc. (16),,Telecommunications,,"9.50 (3M L+750 Cash plus 1.00 PIK, 1.00 Floor)",,1/13/19,,13427,,,13427,,,13427,,,,
69,UniTek Global Services Inc. (16),,Telecommunications,,11.00 (P+650 Cash plus 1.00 PIK),,1/13/19,,4500,,,4500,,,4500,,,,
70,UniTek Global Services Inc. (16),,Telecommunications,,"8.50 (3M L+750, 1.00 Floor)",,1/13/19,,32367,,,32367,,,30748,,,,
71,"Venoco, Inc. (16)",,Energy – Oil & Gas,,12.00,,2/28/19,,40517,,,40517,,,32566,,,,
72,Total First Lien Secured Debt (excluding Revolvers and Letters of Credit)031.7 (10),,,608930,,,,520489,,,,,,,,,,,
73,Revolvers and Letters of Credit,,,,,,,,,,,,,,,,,,
74,"Alliant Holdings Intermediate, LLC, Revolver (16)(23)",,Insurance,,3.94 (3M L+350),,8/14/20,,,3375,,,,3375,,,,3051,
75,"Alliant Holdings Intermediate, LLC, Revolver (16)(23)",,Insurance,,6.00 (P+250),,8/14/20,,375,,,375,,,339,,,,
76,"Alliant Holdings Intermediate, LLC, Unfunded Revolver (8)(16)(21)(23)",,Insurance,,0.50 Unfunded,,8/14/20,,11141,,,"(1,494",,,"(1,070",,,,
77,"Alliant Holdings Intermediate, LLC, Letter of Credit (8)(16)(23)",,Insurance,,3.375,,10/1/16,,8,,,0,,,(1,,,,
78,"Alliant Holdings Intermediate, LLC, Letter of Credit (8)(16)(23)",,Insurance,,3.375,,11/30/16,,56,,,0,,,(5,,,,
79,"Alliant Holdings Intermediate, LLC, Letter of Credit (8)(16)(23)",,Insurance,,3.375,,4/23/16,,37,,,0,,,(4,,,,
80,"Alliant Holdings Intermediate, LLC, Letter of Credit (8)(16)(23)",,Insurance,,3.375,,5/4/16,,8,,,0,,,(1,,,,
81,"Confie Seguros Holding II Co., Revolver (16)(23)",,Insurance,,4.93 (3M L+450),,11/9/17,,1120,,,1120,,,1008,,,,
82,"Confie Seguros Holding II Co., Revolver (16)(23)",,Insurance,,7.00 (P+350),,11/9/17,,500,,,500,,,450,,,,
83,"Confie Seguros Holding II Co., Unfunded Revolver (8)(16)(21)(23)",,Insurance,,0.50 Unfunded,,11/9/17,,2756,,,(248,,,(276,,,,
84,"Confie Seguros Holding II Co., Letter of Credit (8)(16)(23)",,Insurance,,4.50,,1/13/17,,124,,,0,,,(12,,,,
85,"LabVantage Solutions Limited, Unfunded Revolver (8)(16)(17)(21)(23)",,High Tech Industries,,0.50 Unfunded,,12/29/20,,€,3435,,,(114,,,(127,,,
86,"My Alarm Center, LLC, Unfunded Revolver (8)(16)(21)(23)",,Business Services,,0.35 Unfunded,,1/9/19,,6250,,,0,,,(109,,,,
87,"Tibco Software Inc., Unfunded Revolver (8)(16)(21)(23)",,High Tech Industries,,0.50 Unfunded,,12/5/19,,6000,,,(44,,,"(1,200",,,,
88,"Transfirst Holdings, Inc., Unfunded Revolver (16)(21)(23)",,"Diversified Investment Vehicles, Banking, Finance, Real Estate",,0.50 Unfunded,,11/12/19,,2949,,,(11,,,0,,,,
89,"Transfirst Holdings, Inc., Letter of Credit (16)(23)",,"Diversified Investment Vehicles, Banking, Finance, Real Estate",,3.75,,11/12/19,,51,,,0,,,0,,,,
90,Investment,,Industry (9),,Interest  Rate (20),,Maturity  Date,,Par (12),,Cost,,Fair  Value (1),,,,,,
91,"UniTek Global Services Inc., Unfunded Revolver (16)(21)(23)",,Telecommunications,,0.50 Unfunded,,1/13/19,,,5000,,,,0,,,,0,
92,"UniTek Global Services Inc., Letter of Credit (16)(23)",,Telecommunications,,7.50,,1/13/19,,8812,,,0,,,0,,,,
93,"UniTek Global Services Inc., Letter of Credit (16)(23)",,Telecommunications,,7.50,,1/13/19,,1850,,,0,,,0,,,,
94,Total Revolvers and Letters of Credit00.1 (10),,,,,,,,,3459,,,,2043,,,,,
95,Total First Lien Secured Debt031.8 (10),,,,,,,,,612389,,,,522532,,,,,
96,Second Lien Secured Debt,,,,,,,,,,,,,,,,,,
97,1A Smart Start LLC,,Consumer Services,,"9.50 (3M L+850, 1.00 Floor)",,8/22/22,,,35000,,,,34345,,,,34020,
98,"Access CIG, LLC (16)",,Business Services,,"9.75 (3M L+875, 1.00 Floor)",,10/17/22,,35755,,,34180,,,33558,,,,
99,"Access CIG, LLC (16)",,Business Services,,"9.75 (3M L+875, 1.00 Floor)",,10/17/22,,15215,,,14625,,,14280,,,,
100,"Active Network, Inc.",,Business Services,,"9.50 (3M L+850, 1.00 Floor)",,11/15/21,,19672,,,19596,,,17115,,,,
101,"Appriss Holdings, Inc.",,Business Services,,"9.25 (3M L+825, 1.00 Floor)",,5/21/21,,32750,,,32331,,,32259,,,,
102,Armor Holding II LLC,,"Diversified Investment Vehicles, Banking, Finance, Real Estate",,"10.25 (3M L+900, 1.25 Floor)",,12/26/20,,8000,,,7886,,,7740,,,,
103,Asurion Corporation,,Insurance,,"8.50 (3M L+750, 1.00 Floor)",,3/3/21,,39590,,,39361,,,37293,,,,
104,Confie Seguros Holding II Co. (16),,Insurance,,"10.25 (3M L+900, 1.25 Floor)",,5/8/19,,22344,,,22249,,,20668,,,,
105,"Delta Educational Systems, Inc. (16)",,Education,,35.00 PIK,,6/10/18,,1289,,,1289,,,3223,,,,
106,"Deltek, Inc.",,Business Services,,"9.50 (3M L+850, 1.00 Floor)",,6/26/23,,15086,,,14879,,,14558,,,,
107,"Elements Behavioral Health, Inc.",,Healthcare & Pharmaceuticals,,"13.00 (3M L+1200 PIK, 1.00 Floor)",,2/11/20,,9821,,,9754,,,9428,,,,
108,"Extraction Oil & Gas Holdings, LLC",,Energy – Oil & Gas,,10.00 and 11.00,,5/29/19,,52633,,,52072,,,51580,,,,
109,Garden Fresh Restaurant Corp. (16),,"Hotel, Gaming, Leisure, Restaurants",,"15.00 (1M L+1350 PIK, 1.50 Floor)",,1/1/19,,46400,,,44933,,,25520,,,,
110,Garden Fresh Restaurant Corp. (16),,"Hotel, Gaming, Leisure, Restaurants",,"7.75 (3M L+625 PIK, 1.50 Floor)",,1/1/19,,8929,,,7569,,,7232,,,,
111,"GCA Services Group, Inc.",,Business Services,,"10.00 (3M L+900, 1.00 Floor)",,2/22/24,,10000,,,9750,,,10000,,,,
112,"Grocery Outlet, Inc.",,Food & Grocery,,"9.25 (3M L+825, 1.00 Floor)",,10/21/22,,25000,,,24673,,,23312,,,,
113,"GTCR Valor Companies, Inc.",,Business Services,,"9.50 (3M L+850, 1.00 Floor)",,11/30/21,,35000,,,34705,,,34810,,,,
114,"Infiltrator Systems Integrated, LLC",,"Manufacturing, Capital Equipment",,"9.75 (3M L+875, 1.00 Floor)",,5/26/23,,13889,,,13632,,,13637,,,,
115,Investment,,Industry (9),,Interest  Rate (20),,Maturity  Date,,Par (12),,Cost,,Fair  Value (1),,,,,,
116,"Institutional Shareholder Services, Inc.",,Business Services,,"8.50 (3M L+750, 1.00 Floor)",,4/30/22,,,6640,,,,6586,,,,6109,
117,MSC Software Corp. (17),,High Tech Industries,,"8.50 (3M L+750, 1.00 Floor)",,5/31/21,,13448,,,13342,,,11565,,,,
118,"Novolex Holdings, Inc.",,"Containers, Packaging & Glass",,"9.75 (3M L+875, 1.00 Floor)",,6/5/22,,42045,,,41120,,,39733,,,,
119,Pabst Brewing Company,,Consumer Goods – Durable,,"9.25 (3M L+825, 1.00 Floor)",,11/14/22,,27000,,,26703,,,26291,,,,
120,"Poseidon Merger Sub, Inc.",,Business Services,,"9.50 (3M L+850, 1.00 Floor)",,8/15/23,,18000,,,17501,,,17640,,,,
121,"Premier Trailer Leasing, Inc.",,"Transportation – Cargo, Distribution",,"10.00 (3M L+900, 1.00 Floor)",,9/24/20,,52000,,,51171,,,53040,,,,
122,River Cree Enterprises LP (11)(17),,"Hotel, Gaming, Leisure, Restaurants",,11.00,,1/20/21,,C$,23000,,,21684,,,17293,,,
123,"SiTV, Inc. (11)",,Broadcasting & Subscription,,10.375,,7/1/19,,2219,,,2219,,,1725,,,,
124,SMG,,"Hotel, Gaming, Leisure, Restaurants",,"9.25 (3M L+825, 1.00 Floor)",,2/27/21,,19900,,,19900,,,19801,,,,
125,"Sprint Industrial Holdings, LLC",,"Containers, Packaging & Glass",,"11.25 (3M L+1000, 1.25 Floor)",,11/14/19,,16163,,,15507,,,11557,,,,
126,SquareTwo Financial Corp. (17),,"Diversified Investment Vehicles, Banking, Finance, Real Estate",,11.625,,4/1/17,,65152,,,64722,,,32014,,,,
127,"Sterling Holdings Ultimate Parent, Inc.",,High Tech Industries,,"9.25 (3M L+825, 1.00 Floor)",,6/19/23,,20000,,,19804,,,19400,,,,
128,"STG-Fairway Acquisitions, Inc.",,Business Services,,"10.25 (3M L+925, 1.00 Floor)",,6/30/23,,15000,,,14649,,,14250,,,,
129,"TASC, Inc. (16)",,Aerospace & Defense,,12.00,,5/21/21,,7704,,,7368,,,7357,,,,
130,"TASC, Inc. (16)",,Aerospace & Defense,,12.00,,5/21/21,,7058,,,6934,,,6741,,,,
131,"TMK Hawk Parent, Corp.",,"Transportation – Cargo, Distribution",,"8.50 (3M L+750, 1.00 Floor)",,10/1/22,,34000,,,33709,,,33490,,,,
132,"Transfirst Holdings, Inc. (16)",,"Diversified Investment Vehicles, Banking, Finance, Real Estate",,"9.00 (3M L+800, 1.00 Floor)",,11/11/22,,29840,,,29538,,,29989,,,,
133,"Velocity Technology Solutions, Inc.",,Business Services,,"9.00 (3M L+775, 1.25 Floor)",,9/28/20,,16500,,,16252,,,15758,,,,
134,"Venoco, Inc. (14)(16)",,Energy – Oil & Gas,,8.875 Cash (12.00 PIK Toggle),,2/28/19,,37993,,,48170,,,20766,,,,
135,Total Second Lien Secured Debt047.1 (10),,,,,,,,,874708,,,,774752,,,,,
136,Total Secured Debt078.9 (10),,,,,,,,,1487097,,,,1297284,,,,,
137,Investment,,Industry (9),,Interest  Rate (20),,Maturity  Date,,Par (12),,Cost,,Fair  Value (1),,,,,,
138,Unsecured Debt,,,,,,,,,,,,,,,,,,
139,"American Tire Distributors, Inc. (11)",,"Transportation – Cargo, Distribution",,10.25,,3/1/22,,,14741,,,,14819,,,,13230,
140,Canacol Energy Ltd. (17)(23),,Energy – Oil & Gas,,"9.50 (3M L+850, 1.00 Floor)",,12/31/19,,75000,,,73424,,,71400,,,,
141,"Delta Educational Systems, Inc. (14)(16)",,Education,,16.00 PIK,,5/12/17,,28276,,,28125,,,12110,,,,
142,"Radio One, Inc. (11)",,Broadcasting & Subscription,,9.25,,2/15/20,,15804,,,15724,,,11004,,,,
143,"Sorenson Holdings, LLC (11)",,Consumer Goods – Durable,,13.00 Cash (13.00 PIK Toggle),,10/31/21,,52,,,35,,,50,,,,
144,Tibco Software Inc. (11)(16),,High Tech Industries,,11.375,,12/1/21,,4984,,,4859,,,4317,,,,
145,"U.S. Security Associates Holdings, Inc.",,Business Services,,11.00,,7/28/18,,135000,,,135000,,,136350,,,,
146,UniTek Global Services Inc. (16),,Telecommunications,,15.00 PIK,,7/13/19,,7362,,,7362,,,7362,,,,
147,Total Unsecured Debt015.5 (10),,,,,,,,,279348,,,,255823,,,,,
148,Total Corporate Debt094.4 (10),,,,,,,,,1766445,,,,1553107,,,,,
149,Structured Products and Other,,,,,,,,,,,,,,,,,,
150,Asset Repackaging Trust Six B.V. (11)(17)(19),,Utilities – Electric,,13.87,,5/18/27,,,58411,,,,25294,,,,31628,
151,"Craft 2013-1, Credit-Linked Note (11)(16)(17)",,"Diversified Investment Vehicles, Banking, Finance, Real Estate",,9.87 (3M L+925),,4/17/22,,25000,,,25066,,,23501,,,,
152,"Craft 2013-1, Credit-Linked Note (16)(17)",,"Diversified Investment Vehicles, Banking, Finance, Real Estate",,9.87 (3M L+925),,4/17/22,,7625,,,7730,,,7175,,,,
153,"Craft 2014-1A, Credit-Linked Note (11)(17)",,"Diversified Investment Vehicles, Banking, Finance, Real Estate",,10.27 (3M L+965),,5/15/21,,42500,,,42436,,,40257,,,,
154,"Craft 2015-2, Credit-Linked Note (11)(17)",,"Diversified Investment Vehicles, Banking, Finance, Real Estate",,9.87 (3M L+925),,1/16/24,,26000,,,25947,,,24219,,,,
155,"Dark Castle Holdings, LLC",,Media – Diversified & Production,,12.77,,N/A,,24395,,,1189,,,1088,,,,
156,"JP Morgan Chase & Co., Credit-Linked Note (17)",,"Diversified Investment Vehicles, Banking, Finance, Real Estate",,12.82 (1M L+1225),,12/20/21,,43250,,,41427,,,42356,,,,
157,"NXT Capital CLO 2014-1, LLC, Class E Notes (11)(17)",,"Diversified Investment Vehicles, Banking, Finance, Real Estate",,5.93 (3M L+550),,4/23/26,,5000,,,4691,,,3900,,,,
158,"Renaissance Umiat, LLC, ACES Tax Receivable (15)(17)",,Energy – Oil & Gas,,15.25 to 17.46,,N/A,,0,,,5592,,,5669,,,,
159,Total Structured Products and Other010.9 (10),,,,,,,,,179372,,,,179793,,,,,
160,Equity,,,,,,,,,,,,,,,,,,
161,Preferred Equity,,,,,,Shares,,,,,,,,,,,,
162,"Crowley Holdings, Inc., Series A Preferred Stock (11)",,"Transportation – Cargo, Distribution",,12.00 (10.00 Cash plus 2.00 PIK),,N/A,,32500,,,,34003,,,,34328,,
163,"Gryphon Colleges Corp., Preferred Stock (13)(14)",,Education,,13.50 PIK,,N/A,,12360,,,27686,,,0,,,,
164,"Gryphon Colleges Corp., Preferred Stock (13)(14)",,Education,,12.50 PIK,,N/A,,332500,,,6863,,,0,,,,
165,"Sungevity Inc., Series D Preferred Stock (13)",,Energy – Electricity,,N/A,,N/A,,114678899,,,4171,,,3750,,,,
166,"Varietal Distribution Holdings, LLC, Class A Preferred Unit",,"Transportation – Cargo, Distribution",,4.00 PIK,,N/A,,3097,,,4092,,,4092,,,,
167,Total Preferred Equity02.6 (10),,,,,,,,,76815,,,,42170,,,,,
168,Investment,,Industry (9),,Interest  Rate (20),,Maturity  Date,,Par (12),,Cost,,Fair  Value (1),,,,,,
169,Common Equity/Interests,,,,,,Shares,,,,,,,,,,,,
170,"Accelerate Parent Corp., Common Stock (13)",,"Transportation – Cargo, Distribution",,N/A,,N/A,,1664046,,,,1714,,,,2000,,
171,"AMP Solar Group, Inc., Class A Common Unit (13)(17)",,Energy – Electricity,,N/A,,N/A,,166974,,,7000,,,4022,,,,
172,"Clothesline Holdings, Inc., Common Stock (13)",,Healthcare & Pharmaceuticals,,N/A,,N/A,,6000,,,6000,,,642,,,,
173,"Explorer Coinvest, LLC, Membership Interests (17)",,Business Services,,N/A,,N/A,,N/A,,,1021,,,3755,,,,
174,"Garden Fresh Restaurant Holdings, LLC, Common Stock (13)",,"Hotel, Gaming, Leisure, Restaurants",,N/A,,N/A,,50000,,,5000,,,0,,,,
175,"Gryphon Colleges Corp., Common Stock (13)",,Education,,N/A,,N/A,,17500,,,175,,,0,,,,
176,"Skyline Data, News and Analytics LLC, Class A Common Unit (13)",,Business Services,,N/A,,N/A,,4500,,,4500,,,4500,,,,
177,"Sorenson Holdings, LLC, Membership Interests (13)",,Consumer Goods – Durable,,N/A,,N/A,,587,,,0,,,140,,,,
178,"Varietal Distribution Holdings, LLC, Class A Common Unit (13)",,"Transportation – Cargo, Distribution",,N/A,,N/A,,28028,,,28,,,165,,,,
179,Total Common Equity/Interests00.9 (10),,,,,,,,,25438,,,,15224,,,,,
180,Warrants,,,,,,Warrants,,,,,,,,,,,,
181,"Energy & Exploration Partners, Inc., Common Stock Warrants (13)",,Energy – Oil & Gas,,N/A,,N/A,,60778,,,,2374,,,,0,,
182,"Gryphon Colleges Corp., Class A-1 Preferred Stock Warrants (13)",,Education,,N/A,,N/A,,45947,,,459,,,0,,,,
183,"Gryphon Colleges Corp., Class B-1 Preferred Stock Warrants (13)",,Education,,N/A,,N/A,,104314,,,1043,,,0,,,,
184,"Gryphon Colleges Corp., Common Stock Warrants (13)",,Education,,N/A,,N/A,,9820,,,98,,,0,,,,
185,"Osage Exploration & Development, Inc., Common Stock Warrants (13)(17)",,Energy – Oil & Gas,,N/A,,N/A,,1496843,,,0,,,0,,,,
186,"Spotted Hawk Development, LLC, Common Stock Warrants (13)",,Energy – Oil & Gas,,N/A,,N/A,,54545,,,852,,,0,,,,
187,Total Warrants00.0 (10),,,,,,,,,4826,,,,0,,,,,
188,Total Equity03.5 (10),,,,,,,,,107079,,,,57394,,,,,
189,Total Non-Controlled/Non-Affiliated Investments0108.8 (10),,,,,,,2052896,,,,1790294,,,,,,,
190,Investment,,Industry (9),,Interest  Rate (20),,Maturity  Date,,Par (12),,Cost,,Fair  Value (1),,,,,,
191,Non-Controlled/Affiliated Investments (4),,,,,,,,,,,,,,,,,,
192,Corporate Debt,,,,,,,,,,,,,,,,,,
193,Secured Debt,,,,,,,,,,,,,,,,,,
194,First Lien Secured Debt,,,,,,,,,,,,,,,,,,
195,"Pelican Energy, LLC (14)(17)",,Energy – Oil & Gas,,10.00 Cash (10.00 PIK Toggle),,12/31/18,,,28313,,,,26808,,,,17500,
196,Total First Lien Secured Debt01.1 (10),,,,,26808,,,,17500,,,,,,,,,
197,Total Secured Debt01.1 (10),,,,,,,,,26808,,,,17500,,,,,
198,Total Corporate Debt01.1 (10),,,,,,,,,26808,,,,17500,,,,,
199,Structured Products and Other,,,,,,,,,,,,,,,,,,
200,"Golden Bear Warehouse LLC, Membership Interests (3)(17)",,"Diversified Investment Vehicles, Banking, Finance, Real Estate",,N/A,,N/A,,,32344,,,,32908,,,,49617,
201,"Highbridge Loan Management 3-2014, Ltd., Subordinated Notes (3)(11)(17)(22)",,"Diversified Investment Vehicles, Banking, Finance, Real Estate",,5.15,,1/18/25,,8163,,,5548,,,4975,,,,
202,"Ivy Hill Middle Market Credit Fund IX, Ltd., Subordinated Notes (3)(11)(17)(22)",,"Diversified Investment Vehicles, Banking, Finance, Real Estate",,16.88,,10/18/25,,12500,,,10181,,,9717,,,,
203,"Ivy Hill Middle Market Credit Fund X, Ltd., Subordinated Notes (3)(11)(17)(22)",,"Diversified Investment Vehicles, Banking, Finance, Real Estate",,14.30,,7/18/27,,14000,,,12290,,,10722,,,,
204,"Jamestown CLO I Ltd., Subordinated Notes (11)(17)(22)",,"Diversified Investment Vehicles, Banking, Finance, Real Estate",,0.00,,11/5/24,,4325,,,2875,,,380,,,,
205,"MCF CLO I, LLC, Membership Interests (3)(11)(17)(22)",,"Diversified Investment Vehicles, Banking, Finance, Real Estate",,14.23,,4/20/23,,38918,,,33268,,,33145,,,,
206,"MCF CLO III, LLC, Class E Notes (11)(17)",,"Diversified Investment Vehicles, Banking, Finance, Real Estate",,5.07 (3M L+445),,1/20/24,,12750,,,11570,,,10073,,,,
207,"MCF CLO III, LLC, Membership Interests (3)(11)(17)(22)",,"Diversified Investment Vehicles, Banking, Finance, Real Estate",,15.44,,1/20/24,,41900,,,34700,,,31180,,,,
208,Total Structured Products and Other09.1 (10),,,,,,,,,143340,,,,149809,,,,,
209,Equity,,,,,,,,,,,,,,,,,,
210,Preferred Equity,,,,,,Shares,,,,,,,,,,,,
211,"Renewable Funding Group, Inc., Series B Preferred Stock (13)",,Energy – Electricity,,N/A,,N/A,,1505868,,,,8343,,,,20459,,
212,"Renewable Funding Group, Inc., Series D Preferred Stock (13)",,Energy – Electricity,,N/A,,N/A,,436689,,,5568,,,5933,,,,
213,Total Preferred Equity01.6 (10),,,,,,,,,13911,,,,26392,,,,,
214,Common Equity/Interests,,,,,,Shares,,,,,,,,,,,,
215,"Generation Brands Holdings, Inc., Basic Common Stock (3)(13)",,Consumer Goods – Durable,,N/A,,N/A,,9007,,,,0,,,,9712,,
216,"Generation Brands Holdings, Inc., Series 2L Common Stock (3)(13)",,Consumer Goods – Durable,,N/A,,N/A,,36700,,,11242,,,39572,,,,
217,"Generation Brands Holdings, Inc., Series H Common Stock (3)(13)",,Consumer Goods – Durable,,N/A,,N/A,,7500,,,2297,,,8087,,,,
218,"LVI Group Investments, LLC, Common Units (3)(13)",,Environmental Industries,,N/A,,N/A,,212460,,,17505,,,21486,,,,
219,"Pelican Energy, LLC, Membership Interests (13)(17)",,Energy – Oil & Gas,,N/A,,N/A,,1228,,,1099,,,0,,,,
220,Total Common Equity/Interests04.8 (10),,,,,,,,,32143,,,,78857,,,,,
221,Total Equity06.4 (10),,,,,,,,,46054,,,,105249,,,,,
222,Total Non-Controlled/Affiliated Investments016.6 (10),,,,,,,,,216202,,,,272558,,,,,
