,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
28,Accumulated under-distributed (over-distributed) earnings,,,,"(  1,108,043",,,,,"(  1,119,079",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Net Assets,,,,996845,,,,,988106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Net Asset Value Per Share,,,,15.28,,,,,15.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Industry/Company,,Investment Type,,,Interest Rate,,,Maturity Date,,,Par/Shares (12),,,Cost (38),,,Fair Value (1)(39),,,,,,,,,,,,,,,,,,,,,,,,,,,
32,"Advertising, Printing & Publishing",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,FingerPaint Marketing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,KL Charlie Acquisition Company,,First Lien Secured Debt,,,"SOFR+  635  ,  1.00  % Floor",,,12/30/26,,,,,23340,,,,,23058,,,,,22814,,,(9)(31),,,,,,,,,,,,,,,,,,
35,,,First Lien Secured Debt,,,"SOFR+  685  ,  1.00  % Floor",,,12/30/26,,,,,717,,,,,705,,,,,703,,,(9)(31),,,,,,,,,,,,,,,,,,
36,,,First Lien Secured Debt - Revolver,,,P+  525,,,12/30/26,,,,,1962,,,,,1505,,,,,1493,,,(9)(21)(23)(28),,,,,,,,,,,,,,,,,,
37,"KL Charlie Co-Invest, L.P.",,Common Equity - Common Stock,,,N/A,,,N/A,,,,"218,978  Shares",,,,,219,,,,,392,,,(9)(13),,,,,,,,,,,,,,,,,,,
38,,,,,,,,,,,,,,,,,,,,25487,,,,,25402,,,,,,,,,,,,,,,,,,,,
39,Hero Digital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,"HRO (Hero Digital) Holdings, LLC",,First Lien Secured Debt,,,"SOFR+  610  ,  1.00  % Floor",,,11/18/28,,,,,26891,,,,,19200,,,,,18091,,,(9)(21)(23)(31),,,,,,,,,,,,,,,,,,
41,,,First Lien Secured Debt - Revolver,,,"SOFR+  610  ,  1.00  % Floor",,,11/18/26,,,,,2553,,,,,2485,,,,,2381,,,(9)(20)(21)(23)  (31),,,,,,,,,,,,,,,,,,
42,HRO Holdings I LP,,Common Equity - Common Stock,,,N/A,,,N/A,,,,213  Shares,,,,,213,,,,,164,,,(9)(13),,,,,,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,,,,,,,21898,,,,,20636,,,,,,,,,,,,,,,,,,,,
44,,,,,,,"Total Advertising, Printing & Publishing",,,,,47385,,,,,46038,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Automotive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Club Car Wash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,"Club Car Wash Operating, LLC",,First Lien Secured Debt,,,"SOFR+  665  ,  1.00  % Floor",,,06/16/27,,,,,27995,,,,,26357,,,,,26261,,,(9)(21)(23)(31),,,,,,,,,,,,,,,,,,
48,,,First Lien Secured Debt - Revolver,,,"SOFR+  665  ,  1.00  % Floor",,,06/16/27,,,,,1625,,,,,1606,,,,,1599,,,(9)(23)(31),,,,,,,,,,,,,,,,,,
49,,,,,,,,,,,,,,,,,,,,27963,,,,,27860,,,,,,,,,,,,,,,,,,,,
50,Crowne Automotive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,"Vari-Form Group, LLC",,First Lien Secured Debt,,,11.00  % (  7.00  % Cash plus  4.00  % PIK),,,02/02/23,,,,,5860,,,,,893,,,,,264,,,(9)(11)(14),,,,,,,,,,,,,,,,,,
52,Vari-Form Inc.,,First Lien Secured Debt,,,11.00  % (  7.00  % Cash plus  4.00  % PIK),,,02/02/23,,,,,2110,,,,,391,,,,,95,,,(9)(11)(14),,,,,,,,,,,,,,,,,,
53,,,,,,,,,,,,,,,,,,,,1284,,,,,359,,,,,,,,,,,,,,,,,,,,
54,"K&N Parent, Inc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,"K&N Holdco, LLC",,Common Equity - Common Stock,,,N/A,,,N/A,,,,"77,622  Shares",,,,,23621,,,,,1504,,,(13),,,,,,,,,,,,,,,,,,,
56,"Truck-Lite Co., LLC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,"TL Lighting Holdings, LLC",,Common Equity - Equity,,,N/A,,,N/A,,,,350  Shares,,,,,350,,,,,451,,,(9)(13),,,,,,,,,,,,,,,,,,,
58,"Truck-Lite Co., LLC",,First Lien Secured Debt,,,"SOFR+  635  ,  1.00  % Floor",,,12/14/26,,,,,31490,,,,,31100,,,,,31026,,,(9)(32),,,,,,,,,,,,,,,,,,
59,,,First Lien Secured Debt - Revolver,,,"SOFR+  635  ,  1.00  % Floor",,,12/13/24,,,,,3052,,,,,-,,,,,(  17,,,(8)(9)(20)(21)  (23),,,,,,,,,,,,,,,,,,
60,,,,,,,,,,,,,,,,,,,,31450,,,,,31460,,,,,,,,,,,,,,,,,,,,
61,,,,,,,Total Automotive,,,,,84318,,,,,61183,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Industry/Company,,Investment Type,,,Interest Rate,,,Maturity Date,,Par/Shares (12),,,Cost (38),,,Fair Value (1)(39),,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Aviation and Consumer Transport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,"Merx Aviation Finance, LLC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,"Merx Aviation Finance, LLC (5)",,First Lien Secured Debt - Revolver,,,10.00  %,,,10/31/25,,,,106177,,,,,81075,,,,,81075,,,(20)(23),,,,,,,,,,,,,,,,,,,
66,,,Common Equity - Membership Interests,,,N/A,,,N/A,,,,,,,,146500,,,,,114323,,,(24),,,,,,,,,,,,,,,,,,,,
67,,,,,,,,,,,,,,,,,,,227575,,,,,195398,,,,,,,,,,,,,,,,,,,,,
68,Primeflight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,"PrimeFlight Acquisition, LLC",,First Lien Secured Debt,,,"SOFR+  685  ,  1.00  % Floor",,,05/01/29,,,,5464,,,,,5304,,,,,5300,,,(9)(23)(30)(32),,,,,,,,,,,,,,,,,,,
70,,,,,,,Total Aviation and Consumer Transport,,,,,232879,,,,,200698,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,"Beverage, Food & Tobacco",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,Berner Foods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,"Berner Food & Beverage, LLC",,First Lien Secured Debt,,,"SOFR+  565  ,  1.00  % Floor",,,07/30/27,,,,30496,,,,,30017,,,,,29048,,,(9)(31),,,,,,,,,,,,,,,,,,,
74,,,First Lien Secured Debt - Revolver,,,P+  450,,,07/30/26,,,,1089,,,,,1074,,,,,1037,,,(9)(28),,,,,,,,,,,,,,,,,,,
75,,,First Lien Secured Debt - Revolver,,,"SOFR+  565  ,  1.00  % Floor",,,07/30/26,,,,1792,,,,,552,,,,,492,,,(9)(21)(23)  (31),,,,,,,,,,,,,,,,,,,
76,,,,,,,,,,,,,,,,,,,31643,,,,,30577,,,,,,,,,,,,,,,,,,,,,
77,Bolthouse Farms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,"Wm. Bolthouse Farms, Inc.",,Common Equity - Equity Interests,,,N/A,,,N/A,,,"1,086,122  Shares",,,,,1147,,,,,815,,,(13),,,,,,,,,,,,,,,,,,,,
79,Hive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,"FCP-Hive Holdings, LLC",,Preferred Equity - Preferred Equity,,,N/A,,,N/A,,,589  Shares,,,,,448,,,,,197,,,(9)(13),,,,,,,,,,,,,,,,,,,,
81,,,Common Equity - Common Stock,,,N/A,,,N/A,,,589  Shares,,,,,3,,,,,-,,,(9)(13),,,,,,,,,,,,,,,,,,,,
82,"Hive Intermediate, LLC",,First Lien Secured Debt,,,"SOFR+  610  Cash plus  2.00  % PIK,  1.00  % Floor",,,09/22/27,,,,13854,,,,,13669,,,,,13300,,,(9)(30),,,,,,,,,,,,,,,,,,,
83,,,First Lien Secured Debt - Revolver,,,"SOFR+  610  Cash plus  2.00  % PIK,  1.00  % Floor",,,09/22/27,,,,2326,,,,,598,,,,,536,,,(9)(21)(23)(30),,,,,,,,,,,,,,,,,,,
84,,,,,,,,,,,,,,,,,,,14718,,,,,14033,,,,,,,,,,,,,,,,,,,,,
85,"Orgain, Inc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,"Butterfly Fighter Co-Invest, L.P.",,Common Equity - Membership Interests,,,N/A,,,N/A,,,"490,000  Shares",,,,,90,,,,,936,,,,,,,,,,,,,,,,,,,,,,,
87,Rise Baking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,Ultimate Baked Goods Midco LLC,,First Lien Secured Debt,,,"SOFR+  635  ,  1.00  % Floor",,,08/13/27,,,,26289,,,,,25835,,,,,25713,,,(9)(30),,,,,,,,,,,,,,,,,,,
89,,,First Lien Secured Debt - Revolver,,,"SOFR+  635  ,  1.00  % Floor",,,08/13/27,,,,3243,,,,,(  54,,,,,(  70,,,(8)(9)(20)(21)  (23),,,,,,,,,,,,,,,,,,,
90,,,,,,,,,,,,,,,,,,,25781,,,,,25643,,,,,,,,,,,,,,,,,,,,,
91,Turkey Hill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,IC Holdings LLC,,Common Equity - Series A Units,,,N/A,,,N/A,,,169  Shares,,,,,169,,,,,212,,,(9)(13),,,,,,,,,,,,,,,,,,,,
93,THLP CO. LLC,,First Lien Secured Debt,,,"SOFR+  600  Cash plus  2.00  % PIK,  1.00  % Floor",,,05/31/25,,,,25804,,,,,25638,,,,,25547,,,(9)(32),,,,,,,,,,,,,,,,,,,
94,,,First Lien Secured Debt - Revolver,,,"SOFR+  600  Cash plus  2.00  % PIK,  1.00  % Floor",,,05/31/24,,,,4494,,,,,1303,,,,,1268,,,(9)(20)(21)(23)(31)  (32),,,,,,,,,,,,,,,,,,,
95,"THLP CO., LLC",,First Lien Secured Debt,,,"SOFR+  600  Cash plus  6.00  % PIK,  1.00  % Floor",,,05/31/24,,,,1365,,,,,1328,,,,,1311,,,(9)(32),,,,,,,,,,,,,,,,,,,
96,,,,,,,,,,,,,,,,,,,28438,,,,,28338,,,,,,,,,,,,,,,,,,,,,
97,,,,,,,"Total Beverage, Food & Tobacco",,,,,101817,,,,,100342,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,Industry/Company,,Investment Type,,,Interest Rate,,,Maturity Date,,Par/Shares (12),,,Cost (38),,,Fair Value (1)(39),,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,Business Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,Accelerate Learning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,"Eagle Purchaser, Inc.",,First Lien Secured Debt,,,"SOFR+  675  ,  1.00  % Floor",,,03/22/30,,,,4325,,,,,3296,,,,,3371,,,(9)(21)(23)(31),,,,,,,,,,,,,,,,,,,
102,,,First Lien Secured Debt - Revolver,,,"SOFR+  675  ,  1.00  % Floor",,,03/22/29,,,,658,,,,,324,,,,,331,,,(9)(21)(23)(31),,,,,,,,,,,,,,,,,,,
103,,,,,,,,,,,,,,,,,,,3620,,,,,3702,,,,,,,,,,,,,,,,,,,,,
104,Access Information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,"Access CIG, LLC",,Second Lien Secured Debt,,,"SOFR+  775  ,  0.00  % Floor",,,02/27/26,,,,15900,,,,,15855,,,,,15622,,,(31),,,,,,,,,,,,,,,,,,,
106,AlpineX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,"Alpinex Opco, LLC",,First Lien Secured Debt,,,"SOFR+  626  ,  1.00  % Floor",,,12/27/27,,,,21327,,,,,20958,,,,,20817,,,(9)(31),,,,,,,,,,,,,,,,,,,
108,,,First Lien Secured Debt - Revolver,,,"SOFR+  626  ,  1.00  % Floor",,,12/27/27,,,,1489,,,,,567,,,,,573,,,(9)(21)(23)(31),,,,,,,,,,,,,,,,,,,
109,,,,,,,,,,,,,,,,,,,21525,,,,,21390,,,,,,,,,,,,,,,,,,,,,
110,Ambrosia Buyer Corp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,Ambrosia Buyer Corp.,,Second Lien Secured Debt,,,8.00  %,,,08/28/25,,,,21429,,,,,15201,,,,,3086,,,(14),,,,,,,,,,,,,,,,,,,
112,AML Rightsource,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,"Gabriel Partners, LLC",,First Lien Secured Debt,,,"SOFR+  590  ,  1.00  % Floor",,,09/21/26,,,,30808,,,,,30430,,,,,30263,,,(9)(31),,,,,,,,,,,,,,,,,,,
114,,,First Lien Secured Debt - Revolver,,,"SOFR+  590  ,  1.00  % Floor",,,09/21/26,,,,665,,,,,124,,,,,118,,,(9)(21)(23)(31),,,,,,,,,,,,,,,,,,,
115,,,,,,,,,,,,,,,,,,,30554,,,,,30381,,,,,,,,,,,,,,,,,,,,,
116,Continuum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,"Continuum Global Solutions, LLC",,Preferred Equity - Preferred Equity,,,N/A,,,N/A,,,775  Shares,,,,,78,,,,,78,,,(9)(13),,,,,,,,,,,,,,,,,,,,
118,Electro Rent Corporation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,Electro Rent Corporation,,Second Lien Secured Debt,,,"L+  900  ,  1.00  % Floor",,,01/31/25,,,,34235,,,,,34011,,,,,33893,,,(9)(35)(36),,,,,,,,,,,,,,,,,,,
120,Escalent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,"M&M OPCO, LLC",,First Lien Secured Debt,,,"SOFR+  810  ,  1.00  % Floor",,,04/07/29,,,,9476,,,,,9207,,,,,9263,,,(9)(31),,,,,,,,,,,,,,,,,,,
122,,,First Lien Secured Debt - Revolver,,,"SOFR+  810  ,  1.00  % Floor",,,04/07/29,,,,476,,,,,(  13,,,,,(  11,,,(8)(9)(21)(23),,,,,,,,,,,,,,,,,,,
123,,,,,,,,,,,,,,,,,,,9194,,,,,9252,,,,,,,,,,,,,,,,,,,,,
124,Go1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,"Apiom, Inc.",,First Lien Secured Debt,,,"SOFR+  745  ,  2.00  % Floor",,,05/02/28,,,,2500,,,,,2482,,,,,2481,,,(9)(17)(30),,,,,,,,,,,,,,,,,,,
126,HMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,"Health Management Associates Superholdings, Inc.",,First Lien Secured Debt,,,"SOFR+  635  ,  1.00  % Floor",,,03/30/29,,,,4705,,,,,4090,,,,,4104,,,(9)(21)(23)(31),,,,,,,,,,,,,,,,,,,
128,,,First Lien Secured Debt - Revolver,,,"SOFR+  660  ,  1.00  % Floor",,,03/30/29,,,,284,,,,,(  8,,,,,(  7,,,(8)(9)(20)(21)  (23),,,,,,,,,,,,,,,,,,,
129,,,,,,,,,,,,,,,,,,,4082,,,,,4097,,,,,,,,,,,,,,,,,,,,,
130,IRP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,Precision Refrigeration & Air Conditioning LLC,,First Lien Secured Debt,,,"SOFR+  690  ,  1.00  % Floor",,,03/08/28,,,,11071,,,,,10872,,,,,10739,,,(9)(31),,,,,,,,,,,,,,,,,,,
132,,,First Lien Secured Debt - Revolver,,,"SOFR+  690  ,  1.00  % Floor",,,03/08/28,,,,1705,,,,,543,,,,,517,,,(9)(21)(23)(31),,,,,,,,,,,,,,,,,,,
133,"SMC IR Holdings, LLC",,Common Equity - Common Stock,,,N/A,,,N/A,,,138  Shares,,,,,155,,,,,258,,,(9),,,,,,,,,,,,,,,,,,,,
134,,,,,,,,,,,,,,,,,,,11570,,,,,11514,,,,,,,,,,,,,,,,,,,,,
135,Industry/Company,,Investment Type,,,Interest Rate,,,Maturity Date,,Par/Shares (12),,,Cost (38),,,Fair Value (1)(39),,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,Jacent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,Jacent Strategic Merchandising,,First Lien Secured Debt,,,"SOFR+  585  Cash plus  1.50  % PIK,  1.00  % Floor",,,04/23/24,,,,22241,,,,,22195,,,,,21821,,,(9)(30),,,,,,,,,,,,,,,,,,,
138,,,First Lien Secured Debt - Revolver,,,"SOFR+  735  ,  1.00  % Floor",,,04/23/24,,,,3500,,,,,3450,,,,,3412,,,(9)(21)(23)(30),,,,,,,,,,,,,,,,,,,
139,,,Common Equity - Common Stock,,,N/A,,,N/A,,,"5,000  Shares",,,,,500,,,,,60,,,(9)(13),,,,,,,,,,,,,,,,,,,,
140,"JSM Equity Investors, L.P.",,Preferred Equity - Class P Partnership Units,,,N/A,,,N/A,,,114  Shares,,,,,11,,,,,11,,,(9)(13),,,,,,,,,,,,,,,,,,,,
141,,,,,,,,,,,,,,,,,,,26156,,,,,25304,,,,,,,,,,,,,,,,,,,,,
142,Jones & Frank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,"JF Acquisition, LLC",,First Lien Secured Debt,,,"SOFR+  560  ,  1.00  % Floor",,,07/31/26,,,,12998,,,,,12909,,,,,12845,,,(9)(31),,,,,,,,,,,,,,,,,,,
144,,,First Lien Secured Debt - Revolver,,,"SOFR+  560  ,  1.00  % Floor",,,07/31/26,,,,1569,,,,,1369,,,,,1363,,,(9)(21)(23)(31),,,,,,,,,,,,,,,,,,,
145,,,,,,,,,,,,,,,,,,,14278,,,,,14208,,,,,,,,,,,,,,,,,,,,,
146,Naviga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,"Naviga Inc. (fka Newscycle Solutions, Inc.)",,First Lien Secured Debt,,,"SOFR+  710  ,  1.00  % Floor",,,12/29/23,,,,13194,,,,,13170,,,,,13326,,,(9)(31),,,,,,,,,,,,,,,,,,,
148,,,First Lien Secured Debt - Revolver,,,"SOFR+  710  ,  1.00  % Floor",,,12/29/23,,,,500,,,,,340,,,,,340,,,(9)(21)(23)(31),,,,,,,,,,,,,,,,,,,
149,,,,,,,,,,,,,,,,,,,13510,,,,,13666,,,,,,,,,,,,,,,,,,,,,
150,PSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,"Graffiti Buyer, Inc.",,First Lien Secured Debt,,,"SOFR+  560  ,  1.00  % Floor",,,08/10/27,,,,8324,,,,,7410,,,,,7431,,,(9)(21)(23)(31),,,,,,,,,,,,,,,,,,,
152,,,First Lien Secured Debt - Revolver,,,"SOFR+  560  ,  1.00  % Floor",,,08/10/27,,,,1307,,,,,389,,,,,394,,,(9)(21)(23)(31),,,,,,,,,,,,,,,,,,,
153,"Graffiti Parent, LP",,Common Equity - Common Stock,,,N/A,,,N/A,,,"2,439  Shares",,,,,244,,,,,346,,,(9)(13),,,,,,,,,,,,,,,,,,,,
154,,,,,,,,,,,,,,,,,,,8043,,,,,8171,,,,,,,,,,,,,,,,,,,,,
155,"PSI Services, LLC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,"Lifelong Learner Holdings, LLC",,First Lien Secured Debt,,,"SOFR+  590  ,  1.00  % Floor",,,10/19/26,,,,33454,,,,,33133,,,,,32417,,,(9)(31),,,,,,,,,,,,,,,,,,,
157,,,First Lien Secured Debt - Revolver,,,"SOFR+  590  ,  1.00  % Floor",,,10/20/25,,,,2985,,,,,2960,,,,,2914,,,(9)(21)(23)(31),,,,,,,,,,,,,,,,,,,
158,,,,,,,,,,,,,,,,,,,36093,,,,,35331,,,,,,,,,,,,,,,,,,,,,
159,SEER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,GS SEER Group Borrower LLC,,First Lien Secured Debt,,,"SOFR+  675  ,  1.00  % Floor",,,04/29/30,,,,4625,,,,,3116,,,,,3121,,,(9)(21)(23)(31),,,,,,,,,,,,,,,,,,,
161,,,First Lien Secured Debt - Revolver,,,"SOFR+  675  ,  1.00  % Floor",,,04/30/29,,,,367,,,,,(  10,,,,,(  10,,,(8)(9)(21)(23),,,,,,,,,,,,,,,,,,,
162,"GS SEER Group Holdings, LLC",,Common Equity - Common Stock,,,N/A,,,N/A,,,42  Shares,,,,,42,,,,,40,,,(9)(13)(24),,,,,,,,,,,,,,,,,,,,
163,,,,,,,,,,,,,,,,,,,3148,,,,,3151,,,,,,,,,,,,,,,,,,,,,
164,Soliant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,"Soliant Health, Inc.",,Common Equity - Membership Interests,,,N/A,,,N/A,,,300  Shares,,,,,300,,,,,1478,,,(9),,,,,,,,,,,,,,,,,,,,
166,Trench Plate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,Trench Plate Rental Co.,,First Lien Secured Debt,,,"SOFR+  560  ,  1.00  % Floor",,,12/03/26,,,,17955,,,,,17746,,,,,17685,,,(9)(31),,,,,,,,,,,,,,,,,,,
168,,,First Lien Secured Debt - Revolver,,,"SOFR+  560  ,  1.00  % Floor",,,12/03/26,,,,1818,,,,,571,,,,,564,,,(9)(20)(21)(23)  (31),,,,,,,,,,,,,,,,,,,
169,"Trench Safety Solutions Holdings, LLC",,Common Equity - Common Stock,,,N/A,,,N/A,,,331  Shares,,,,,50,,,,,46,,,(9)(13),,,,,,,,,,,,,,,,,,,,
170,,,,,,,,,,,,,,,,,,,18367,,,,,18295,,,,,,,,,,,,,,,,,,,,,
171,Industry/Company,,Investment Type,,,Interest Rate,,,Maturity Date,,Par/Shares (12),,,Cost (38),,,Fair Value (1)(39),,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,US Legal Support,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,"US Legal Support Investment Holdings, LLC",,Common Equity - Series A-1 Units,,,N/A,,,N/A,,,"631,972  Shares",,,,,632,,,,,897,,,(9)(13),,,,,,,,,,,,,,,,,,,,
174,"USLS Acquisition, Inc.",,First Lien Secured Debt,,,"SOFR+  590  ,  1.00  % Floor",,,12/02/24,,,,23631,,,,,23488,,,,,23428,,,(9)(31),,,,,,,,,,,,,,,,,,,
175,,,First Lien Secured Debt - Revolver,,,"SOFR+  590  ,  1.00  % Floor",,,12/02/24,,,,1608,,,,,869,,,,,871,,,(9)(20)(21)(23)  (31),,,,,,,,,,,,,,,,,,,
176,,,,,,,,,,,,,,,,,,,24989,,,,,25196,,,,,,,,,,,,,,,,,,,,,
177,Wilson Language Training,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,"Owl Acquisition, LLC",,First Lien Secured Debt,,,"SOFR+  550  ,  1.00  % Floor",,,02/04/28,,,,9635,,,,,9478,,,,,9538,,,(9)(32),,,,,,,,,,,,,,,,,,,
