,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
18,"Great Bear Petroleum Operating, LLC",,12.000%,,10/1/17,,Oil and Gas,,5064,,,5064,,,5064,,,,
19,"Hunt Companies, Inc. (11)",,9.625%,,3/1/21,,Buildings and Real Estate,,41210,,,40728,,,43064,,,,
20,"M&G Chemicals, S.A. (17)",,8.73% (L+850),,3/28/16,,Chemicals,,5000,,,5000,,,5000,,,,
21,"Magnetation, LLC (11)",,11.000%,,5/15/18,,Mining,,38454,,,40074,,,39079,,,,
22,"Maxus Capital Carbon SPE I, LLC (Skyonic Corp.)",,13.000%,,9/18/19,,Chemicals,,79046,,,79046,,,79046,,,,
23,"Molycorp, Inc. (17)",,10.000%,,6/1/20,,"Diversified Natural Resources, Precious Metals and Minerals",,50424,,,50003,,,35150,,,,
24,"My Alarm Center, LLC (16)",,"8.50% (L+750, 1.00% Floor)",,1/9/18,,Business Services,,42614,,,42614,,,42614,,,,
25,"My Alarm Center, LLC (16)",,"8.50% (L+750, 1.00% Floor)",,1/9/18,,Business Services,,6738,,,6738,,,6738,,,,
26,"Osage Exploration & Development, Inc. (11)(17)",,"13.00% (L+1100, 2.00% Floor)",,4/27/16,,Oil and Gas,,25000,,,24637,,,24250,,,,
27,"Panda Sherman Power, LLC",,"9.00% (L+750, 1.50% Floor)",,9/14/18,,Energy,,14967,,,14805,,,15285,,,,
28,"Panda Temple Power, LLC",,"11.50% (L+1000, 1.50% Floor)",,7/17/18,,Energy,,25500,,,25136,,,26138,,,,
29,"Pelican Energy, LLC (17)",,10.00% (7.00% Cash / 3.00% PIK),,12/31/18,,Oil and Gas,,26339,,,25361,,,26865,,,,
30,"APOLLO INVESTMENT CORPORATION  SCHEDULE OF INVESTMENTS (unaudited) (continued)  September 30, 2014  (in thousands, except shares)",,,,,,,,,,,,,,,,,,
31,INVESTMENTS IN NON-CONTROLLED/NON-AFFILIATED INVESTMENTS-138.0% (18),,Interest Rate,,Maturity Date,,Industry,,Par Amount(12),,Cost,,Fair  Value (1),,,,,,
32,1st Lien Secured Debt-45.1% (continued),,,,,,,,,,,,,,,,,,
33,Reichhold Holdings International B.V. (16)(17),,"10.75% (L+975, 1.00% Floor)",,12/19/16,,Chemicals,,,19500,,,,19500,,,,19793,
34,"Reichhold Holdings International B.V., (Revolver) (16)(17)",,"7.00% (L+600 Funded, 1.50% Unfunded)",,12/19/16,,Chemicals,,9000,,,9000,,,9000,,,,
35,"SCM Insurance Services, Inc. (17)",,9.250%,,8/22/19,,Business Services,,"CAD 30,000",,27114,,,26710,,,,,
36,"Spotted Hawk Development, LLC",,13.00% (12.00% Cash/ 1.00% PIK),,9/12/16,,Oil and Gas,,,80493,,,79206,,,78883,,,
37,"Sunrun Solar Owner IX, LLC",,9.079%,,12/31/24,,Energy,,3525,,,3377,,,3376,,,,
38,"UniTek Global Services, Inc., (Revolver)(16)",,"10.25% (L+925, 1.00% Floor) Funded, 2.00% Unfunded",,4/15/16,,Telecommunications,,38731,,,38731,,,38731,,,,
39,"Walter Energy, Inc.(11)(16)(17)",,9.500%,,10/15/19,,Mining,,35061,,,35439,,,31730,,,,
40,Total 1st Lien Secured Debt,,,945706,,,,929846,,,,,,,,,,,
41,"APOLLO INVESTMENT CORPORATION  SCHEDULE OF INVESTMENTS (unaudited) (continued)  September 30, 2014  (in thousands, except shares)",,,,,,,,,,,,,,,,,,
42,INVESTMENTS IN NON-CONTROLLED/NON-AFFILIATED INVESTMENTS-138.0% (18),,Interest Rate,,Maturity Date,,Industry,,Par Amount(12),,Cost,,Fair  Value (1),,,,,,
43,Unfunded Revolver Obligations-(0.4)%,,,,,,,,,,,,,,,,,,
44,"Avaya, Inc., (Unfunded Revolver) (8)(13)(16)",,"L+275 Funded, 0.50% Unfunded",,10/26/16,,Telecommunications,,,20231,,,,"(4,189",,,,"(1,644",
45,"BMC Software, Inc., (Unfunded Revolver) (8)(13)",,"L+400 Funded, 0.50% Unfunded",,9/10/18,,Business Services,,20760,,,"(2,133",,,"(1,661",,,,
46,"CIT Group, Inc., (Unfunded Revolver) (8)(13)(17)",,L+275,,1/27/17,,Financial Services,,25000,,,(969,,,"(1,063",,,,
47,"Confie Seguros Holding II Co., (Unfunded Revolver) (13)(16)",,"P+350 Funded, 0.50% Unfunded",,12/10/18,,Insurance,,2724,,,(386,,,-,,,,
48,"Laureate Education, Inc., (Unfunded Revolver) (8)(13)(17)",,"L+375 Funded, 0.625% Unfunded",,6/16/16,,Education,,28880,,,"(2,888",,,"(2,599",,,,
49,"Reichhold Holdings International B.V., (Unfunded Revolver) (13)(16)(17)",,"L+600 Funded, 1.50% Unfunded",,12/19/16,,Chemicals,,3500,,,-,,,-,,,,
50,"Salix Pharmaceuticals, Ltd., (Unfunded Revolver) (8)(13)(16)(17)",,"L+300 Funded, 0.50% Unfunded",,1/2/19,,Healthcare,,24867,,,"(1,720",,,(249,,,,
51,"UniTek Global Services, Inc., (Unfunded Revolver) (13)(16)",,"L+925 Funded, 2.00% Unfunded",,4/15/16,,Telecommunications,,14623,,,-,,,-,,,,
52,"Walter Energy, Inc., (Unfunded Revolver) (8)(13)(16)(17)",,"L+550 Funded, 0.625% Unfunded",,10/1/17,,Mining,,275,,,(185,,,(18,,,,
53,Total Unfunded Revolver Obligations,,,"(12,470",,,,"(7,234",,,,,,,,,,,
54,Letters of Credit- (0.0)%,,,,,,,,,,,,,,,,,,
55,"Confie Seguros Holding II Co., Letter of Credit (13)(16)",,4.500%,,10/27/14,,Insurance,,,600,,,,-,,,,-,
56,"Confie Seguros Holding II Co., Letter of Credit (13)(16)",,4.500%,,1/13/15,,Insurance,,66,,,-,,,-,,,,
57,"Salix Pharmaceuticals, Ltd., Letter of Credit (13)(16)(17)",,3.000%,,2/10/15,,Healthcare,,8,,,-,,,-,,,,
58,"Salix Pharmaceuticals, Ltd., Letter of Credit (8)(13)(16)(17)",,3.000%,,2/10/15,,Healthcare,,125,,,-,,,(1,,,,
59,"UniTek Global Services, Inc., Letter of Credit (13)(16)",,9.250%,,12/15/14,,Telecommunications,,5446,,,-,,,-,,,,
60,"UniTek Global Services, Inc., Letter of Credit (13)(16)",,9.250%,,3/18/15,,Telecommunications,,1000,,,-,,,-,,,,
61,"UniTek Global Services, Inc., Letter of Credit (13)(16)",,9.250%,,3/18/15,,Telecommunications,,2700,,,-,,,-,,,,
62,"UniTek Global Services, Inc., Letter of Credit (13)(16)",,9.250%,,3/26/15,,Telecommunications,,12500,,,-,,,-,,,,
63,"Walter Energy, Inc., Letter of Credit (8)(9)(13)(16)(17)",,5.500%,,9/18/14- 7/4/15,,Mining,,86,,,-,,,(6,,,,
64,"Walter Energy, Inc., Letter of Credit (8)(9)(13)(16)(17)",,5.500%,,11/28/15-8/31/15,,Mining,,CAD,192,,,-,,,(11,,,
65,Total Letters of Credit,,,-,,,,(18,,,,,,,,,,,
66,"APOLLO INVESTMENT CORPORATION  SCHEDULE OF INVESTMENTS (unaudited) (continued)  September 30, 2014  (in thousands, except shares)",,,,,,,,,,,,,,,,,,
67,INVESTMENTS IN NON-CONTROLLED/NON-AFFILIATED INVESTMENTS-138.0% (18),,Interest Rate,,Maturity Date,,Industry,,Par Amount(12),,Cost,,Fair  Value (1),,,,,,
68,2nd Lien Secured Debt-50.5%,,,,,,,,,,,,,,,,,,
69,"Active Network, Inc.",,"9.50% (L+850, 1.00% Floor)",,11/15/21,,Business Services,,,20419,,,,20325,,,,20553,
70,"American Energy - Utica, LLC (10)",,"11.00% (L+950, 1.50% Floor)",,9/30/18,,Oil and Gas,,11020,,,10920,,,11571,,,,
71,"Aptean, Inc.",,"8.50% (L+750, 1.00% Floor)",,2/26/21,,Business Services,,11322,,,11162,,,11280,,,,
72,"Armor Holdings, Inc. (American Stock Transfer and Trust Company)",,"10.25% (L+900, 1.25% Floor)",,12/26/20,,Financial Services,,8000,,,7859,,,7920,,,,
73,Asurion Corporation,,"8.50% (L+750, 1.00% Floor)",,3/3/21,,Insurance,,90400,,,89123,,,91756,,,,
74,"BancTec Group, LLC (17)",,"11.75% (L+1075, 1.00% Floor)",,4/3/20,,Business Services,,40000,,,39249,,,39200,,,,
75,Confie Seguros Holding II Co.,,"10.25% (L+900, 1.25% Floor)",,5/8/19,,Insurance,,33844,,,33599,,,34140,,,,
76,Consolidated Precision Products Corp.,,"8.75% (L+775, 1.00% Floor)",,4/30/21,,Aerospace and Defense,,8940,,,8899,,,8974,,,,
77,Del Monte Foods Co.,,"8.25% (L+725, 1.00% Floor)",,8/18/21,,"Beverage, Food, and Tobacco",,2146,,,2126,,,1959,,,,
78,"Deltek, Inc.",,"10.00% (L+875, 1.25% Floor)",,10/10/19,,Business Services,,27273,,,27041,,,27546,,,,
79,"Elements Behavioral Health, Inc.",,"9.25% (L+825, 1.00% Floor)",,2/11/20,,Healthcare,,9500,,,9413,,,9500,,,,
80,"Flexera Software, LLC",,"8.00% (L+700, 1.00% Floor)",,4/2/21,,Business Services,,4250,,,4230,,,4186,,,,
81,Garden Fresh Restaurant Corp. (16),,"14.50% (L+1300 PIK, 1.50% Floor)",,1/1/19,,Restaurants,,37075,,,35046,,,32997,,,,
82,Garden Fresh Restaurant Corp. (16),,"7.25% (L+575 PIK , 1.50% Floor)",,1/1/19,,Restaurants,,7943,,,6051,,,5401,,,,
83,"GCA Services Group, Inc.",,"9.25% (L+800, 1.25% Floor)",,11/1/20,,Diversified Service,,22838,,,22933,,,22838,,,,
84,"Genex Holdings, Inc.",,"8.75% (L+775, 1.00% Floor)",,5/30/22,,Healthcare,,2320,,,2294,,,2308,,,,
85,"Grocery Outlet, Inc.",,"11.50% (L+925 or P+800, 3.50% Floor)",,6/17/19,,Grocery,,8674,,,8537,,,8847,,,,
86,"GTCR Valor Companies, Inc.",,"9.50% (L+850, 1.00% Floor)",,11/21/21,,Business Services,,35000,,,35000,,,34825,,,,
87,"HD Vest, Inc. (17)",,"9.25% (L+800, 1.25% Floor)",,6/18/19,,Financial Services,,9396,,,9304,,,9396,,,,
88,"Institutional Shareholder Services, Inc.",,"8.50% (L+750, 1.00% Floor)",,4/30/22,,Financial Services,,9640,,,9547,,,9592,,,,
89,"inVentiv Health, Inc. (11)",,10.00% (12.00% PIK Toggle),,8/15/18,,Healthcare,,11682,,,11682,,,10835,,,,
90,"Kronos, Inc.",,"9.75% (L+850, 1.25% Floor)",,4/30/20,,Business Services,,92516,,,91593,,,95523,,,,
91,"Learfield Communications, Inc.",,"8.75% (L+775, 1.00% Floor)",,10/8/21,,Media,,15000,,,14863,,,14981,,,,
92,"Miller Energy Resources, Inc. (17)",,"11.75% (L+975, 2.00% Floor)",,2/3/18,,Oil and Gas,,87500,,,85983,,,85750,,,,
93,MSC Software Corp. (17),,"8.50% (L+750, 1.00% Floor)",,5/28/21,,Business Services,,20448,,,20250,,,20141,,,,
94,"NVA Holdings, Inc.",,"8.00% (L+700, 1.00% Floor)",,8/14/22,,Healthcare,,7780,,,7742,,,7761,,,,
95,"Premier Trailer Leasing, Inc.",,"10.00% (L+900, 1.00% Floor)",,9/24/20,,Financial Services,,52000,,,50962,,,50960,,,,
96,"APOLLO INVESTMENT CORPORATION  SCHEDULE OF INVESTMENTS (unaudited) (continued)  September 30, 2014  (in thousands, except shares)",,,,,,,,,,,,,,,,,,
97,INVESTMENTS IN NON-CONTROLLED/NON-AFFILIATED INVESTMENTS-138.0% (18),,Interest Rate,,Maturity Date,,Industry,,Par Amount(12),,Cost,,Fair  Value (1),,,,,,
98,2nd Lien Secured Debt-50.5% (continued),,,,,,,,,,,,,,,,,,
99,Ranpak Corp. (16),,"8.50% (L+725, 1.25% Floor)",,4/23/20,,Packaging,,,22000,,,,21814,,,,22165,
100,Ranpak Corp. (16),,"8.25% (L+725, 1.00% Floor)",,9/22/22,,Packaging,,16654,,,16571,,,16633,,,,
101,"RegionalCare Hospital Partners, Inc.",,"10.50% (L+950, 1.00% Floor)",,10/23/19,,Healthcare,,7000,,,6646,,,7070,,,,
102,River Cree Enterprises LP (11)(17),,11.000%,,1/20/21,,"Hotels, Motels, Inns and Gaming",,CAD,33000,,,31110,,,32076,,,
103,"SiTV, Inc. (11)",,10.375%,,7/1/19,,Cable Television,,,2219,,,2219,,,2200,,,
104,"Sprint Industrial Holdings, LLC",,"11.25% (L+1000, 1.25% Floor)",,11/14/19,,"Containers, Packaging, and Glass",,14163,,,13943,,,14305,,,,
105,"SquareTwo Financial Corp. (Collect America, Ltd.) (17)",,11.625%,,4/1/17,,Financial Services,,66079,,,65040,,,66244,,,,
106,Stadium Management Corp.,,"9.25% (L+825, 1.00% Floor)",,2/27/21,,Business Services,,19900,,,19900,,,20099,,,,
107,"TASC, Inc.",,12.000%,,5/21/21,,Aerospace and Defense,,13435,,,12783,,,13065,,,,
108,TMK Hawk Parent Corp.,,"8.50% (L+750, 1.00% Floor)",,8/22/22,,Distribution,,34000,,,33660,,,33830,,,,
109,"Transfirst Holdings, Inc.",,"8.00% (L+700, 1.00% Floor)",,6/27/18,,Financial Services,,12500,,,12472,,,12438,,,,
110,"U.S. Renal Care, Inc. (16)",,"10.25% (L+900, 1.25% Floor)",,1/3/20,,Healthcare,,11927,,,11977,,,12091,,,,
111,"U.S. Renal Care, Inc. (16)",,"8.50% (L+750, 1.00% Floor)",,1/3/20,,Healthcare,,12120,,,11944,,,12302,,,,
112,"Velocity Technology Solutions, Inc.",,"9.00% (L+775, 1.25% Floor)",,9/28/20,,Business Services,,16500,,,16189,,,16170,,,,
113,"Vertafore, Inc.",,"9.75% (L+825, 1.50% Floor)",,10/27/17,,Business Services,,50436,,,50199,,,50877,,,,
114,"Walter Energy, Inc. (11)(17)",,11.000%,,4/1/20,,Mining,,22554,,,21182,,,10713,,,,
115,"Xand Operations, LLC",,"8.50% (L+750, 1.00% Floor)",,5/13/20,,Telecommunications,,20000,,,19810,,,19800,,,,
116,Total 2nd Lien Secured Debt,,,1043192,,,,1042818,,,,,,,,,,,
117,TOTAL SECURED DEBT,,,1976428,,,,1965412,,,,,,,,,,,
118,UNSECURED DEBT-30.1%,,,,,,,,,,,,,,,,,,
119,American Energy - Woodford LLC/AEW Finance Corp. (11),,9.000%,,9/15/22,,Oil and Gas,,,5000,,,,4796,,,,4654,
120,"American Tire Distributors, Inc. (11)(16)",,11.500%,,6/1/18,,Distribution,,25000,,,25000,,,25500,,,,
121,"American Tire Distributors, Inc. (11)(16)",,11.500%,,6/1/18,,Distribution,,40000,,,39386,,,40800,,,,
122,Artsonig Pty Ltd. (11)(17),,11.50% (12.00% PIK Toggle),,4/1/19,,Transportation,,20000,,,19723,,,20350,,,,
123,BCA Osprey II Limited (British Car Auctions) (16)(17),,12.50% PIK,,8/17/17,,Transportation,,£,23566,,,37638,,,39580,,,
124,BCA Osprey II Limited (British Car Auctions) (16)(17),,12.50% PIK,,8/17/17,,Transportation,,€,14333,,,19748,,,18758,,,
125,Ceridian Corp. (11),,11.000%,,3/15/21,,Diversified Service,,,34000,,,34000,,,38831,,,
126,"Delta Educational Systems, Inc.",,16.00% (10.00% Cash/ 6.00% PIK),,5/12/17,,Education,,22334,,,22046,,,21608,,,,
127,Denver Parent Corp. (Venoco),,12.25% (13.00% PIK Toggle),,8/15/18,,Oil and Gas,,8988,,,8809,,,8269,,,,
128,First Data Corp.,,11.250%,,1/15/21,,Financial Services,,43601,,,43581,,,49773,,,,
129,"inVentiv Health, Inc. (11)",,10.000%,,8/15/18,,Healthcare,,25685,,,25685,,,20869,,,,
130,"APOLLO INVESTMENT CORPORATION  SCHEDULE OF INVESTMENTS (unaudited) (continued)  September 30, 2014  (in thousands, except shares)",,,,,,,,,,,,,,,,,,
131,INVESTMENTS IN NON-CONTROLLED/NON-AFFILIATED INVESTMENTS-138.0% (18),,Interest Rate,,Maturity Date,,Industry,,Par Amount(12),,Cost,,Fair  Value (1),,,,,,
132,UNSECURED DEBT-30.1% (continued),,,,,,,,,,,,,,,,,,
133,"My Alarm Center, LLC",,16.25% (12.00% Cash / 4.25%PIK),,7/9/18,,Business Services,,,4145,,,,4145,,,,4145,
134,Niacet Corporation,,13.000%,,8/28/18,,Chemicals,,12500,,,12500,,,12625,,,,
135,PetroBakken Energy Ltd. (11)(17),,8.625%,,2/1/20,,Oil and Gas,,48121,,,49583,,,47760,,,,
136,"Radio One, Inc. (11)(17)",,9.250%,,2/15/20,,Broadcasting & Entertainment,,14804,,,14804,,,14776,,,,
137,"Sorenson Communications Holdings, LLC (11)",,13.00% PIK,,10/31/21,,Consumer Products,,68,,,45,,,69,,,,
138,"Symbion, Inc.",,11.000%,,8/23/15,,Healthcare,,8467,,,8476,,,8381,,,,
139,"U.S. Security Associates Holdings, Inc.",,11.000%,,7/28/18,,Business Services,,135000,,,135000,,,137430,,,,
140,"Univar, Inc.",,10.500%,,6/30/18,,Distribution,,20000,,,20000,,,20000,,,,
141,"VWR Funding, Inc. (11)(16)",,10.750%,,6/30/17,,Distribution,,22204,,,21947,,,22204,,,,
142,"VWR Funding, Inc. (11)(16)",,10.750%,,6/30/17,,Distribution,,€,11574,,,15080,,,14621,,,
143,"Venoco, Inc.",,8.875%,,2/15/19,,Oil and Gas,,,54996,,,55020,,,50528,,,
144,TOTAL UNSECURED DEBT,,,617012,,,,621531,,,,,,,,,,,
145,TOTAL CORPORATE DEBT,,,2593440,,,,2586943,,,,,,,,,,,
146,STRUCTURED PRODUCTS AND OTHER-8.3%,,,,,,,,,,,,,,,,,,
147,"Asset Repackaging Trust Six B.V., Credit-Linked Note (17)",,N/A,,5/15/27,,Utilities,,,58411,,,,24842,,,,30391,
148,"Craft 2013-1, Credit-Linked Note (11)(16)(17)",,9.476% (L+925),,4/17/22,,Diversified Investment Vehicle,,25000,,,25100,,,24513,,,,
149,"Craft 2013-1, Credit-Linked Note (16)(17)",,9.476% (L+925),,4/17/22,,Diversified Investment Vehicle,,7625,,,7756,,,7477,,,,
150,"Craft 2014-1A, Credit-Linked Note (11)(17)",,9.891% (L+965),,5/15/21,,Diversified Investment Vehicle,,42500,,,42496,,,41982,,,,
151,"Dark Castle Holdings, LLC",,N/A,,N/A,,Media,,24395,,,1189,,,2862,,,,
152,"JP Morgan Chase & Co., Credit-Linked Note (17)",,12.481% (L+1225),,12/20/21,,Diversified Investment Vehicle,,43250,,,42548,,,43584,,,,
153,"NXT Capital CLO 2014-1, LLC (11)(17)",,5.804% (L+550),,4/23/26,,Diversified Investment Vehicle,,5000,,,4660,,,4652,,,,
154,"Renaissance Umiat, LLC, ACES Tax Receivable (15)(17)",,N/A,,N/A,,Oil and Gas,,-,,,14610,,,15268,,,,
155,TOTAL STRUCTURED PRODUCTS AND OTHER,,,163201,,,,170729,,,,,,,,,,,
156,PREFERRED EQUITY-2.2%,,Shares,,,,,,,,,,,,,,,,
157,"CA Holding, Inc. (Collect America, Ltd.), Series A Preferred Stock (13)(17)",,N/A,,N/A,,Financial Services,,7961,,,,788,,,,1592,,
158,"Crowley Holdings, Series A Preferred Stock",,12.00% (10.00% Cash/2.00% PIK),,N/A,,Cargo Transport,,22500,,,22850,,,22795,,,,
159,"Gryphon Colleges Corp. (Delta Educational Systems, Inc.), Preferred Stock (Convertible) (14)",,12.50% PIK,,N/A,,Education,,332500,,,6863,,,-,,,,
160,"Gryphon Colleges Corp. (Delta Educational Systems, Inc.), Preferred Stock (14)",,13.50% PIK,,5/12/18,,Education,,12360,,,27685,,,15744,,,,
161,"Varietal Distribution Holdings, LLC, Class A Preferred Unit",,8.00% PIK,,N/A,,Distribution,,3097,,,5502,,,4326,,,,
162,TOTAL PREFERRED EQUITY,,,63688,,,,44457,,,,,,,,,,,
163,"APOLLO INVESTMENT CORPORATION  SCHEDULE OF INVESTMENTS (unaudited) (continued)  September 30, 2014  (in thousands, except shares)",,,,,,,,,,,,,,,,,,
164,INVESTMENTS IN NON-CONTROLLED/NON-AFFILIATED INVESTMENTS-138.0% (18),,Interest Rate,,Maturity Date,,Industry,,Par Amount(12),,Cost,,Fair  Value (1),,,,,,
165,EQUITY-2.2%,,,,,,,,,,,,,,,,,,
166,Common Equity/Interests-1.7%,,,,,,,,Shares,,,,,,,,,,
167,"AHC Mezzanine, LLC (Advanstar), Common Stock (13)",,N/A,,N/A,,Media,,25016,,,,1063,,,,620,,
168,"ATD Corporation (Accelerate Parent Corp.), Common Stock (13)",,N/A,,N/A,,Distribution,,3225514,,,3276,,,4680,,,,
169,"CA Holding, Inc. (Collect America, Ltd.), Series A Common Stock (13)(17)",,N/A,,N/A,,Financial Services,,25000,,,2500,,,-,,,,
170,"CA Holding, Inc. (Collect America, Ltd.), Series AA Common Stock (13)(17)",,N/A,,N/A,,Financial Services,,4294,,,429,,,208,,,,
171,"Caza Petroleum, Inc., Net Profits Interest (13)",,N/A,,N/A,,Oil and Gas,,-,,,1202,,,1584,,,,
172,"Caza Petroleum, Inc., Overriding Royalty Interest (13)",,N/A,,N/A,,Oil and Gas,,-,,,339,,,328,,,,
173,"Clothesline Holdings, Inc. (Angelica Corporation), Common Stock (13)",,N/A,,N/A,,Healthcare,,6000,,,6000,,,1600,,,,
174,"Explorer Coinvest, LLC (Booz Allen), Common Stock (13)(17)",,N/A,,N/A,,Business Services,,295,,,2259,,,6423,,,,
175,"Garden Fresh Restaurant Holdings, LLC., Common Stock (13)",,N/A,,N/A,,Restaurants,,50000,,,5000,,,-,,,,
176,"Gryphon Colleges Corp. (Delta Educational Systems, Inc.), Common Stock (13)",,N/A,,N/A,,Education,,17500,,,175,,,-,,,,
177,"JV Note Holdco, LLC (DSI Renal, Inc.), Common Equity / Interest (13)",,N/A,,N/A,,Healthcare,,9303,,,85,,,-,,,,
178,"Pelican Energy, LLC, Net Profit Interest (13)(17)",,N/A,,N/A,,Oil and Gas,,1048811,,,1050,,,1245,,,,
179,"RC Coinvestment, LLC (Ranpak Corp.), Common Stock (13)",,N/A,,N/A,,Packaging,,50000,,,5000,,,9750,,,,
180,"Sorenson Communications Holdings, LLC, Class A Common Stock (13)",,N/A,,N/A,,Consumer Products,,587,,,-,,,71,,,,
181,"Univar, Inc., Common Stock (13)",,N/A,,N/A,,Distribution,,900000,,,9000,,,9040,,,,
182,"Varietal Distribution Holdings, LLC, Class A Common Unit (13)",,N/A,,N/A,,Distribution,,28028,,,28,,,-,,,,
183,Total Common Equity/Interests,,,37406,,,,35549,,,,,,,,,,,
184,"APOLLO INVESTMENT CORPORATION  SCHEDULE OF INVESTMENTS (unaudited) (continued)  September 30, 2014  (in thousands, except warrants)",,,,,,,,,,,,,,,,,,
185,INVESTMENTS IN NON-CONTROLLED/NON-AFFILIATED INVESTMENTS-138.0% (18),,Interest Rate,,Maturity Date,,Industry,,Warrants,,Cost,,Fair  Value (1),,,,,,
186,Warrants-0.5%,,,,,,,,,,,,,,,,,,
187,"CA Holding, Inc. (Collect America, Ltd.), Common Stock Warrants (13)(17)",,N/A,,N/A,,Financial Services,,7961,,,,8,,,,-,,
188,"Energy & Exploration Partners, Inc., Common Stock Warrants (13)",,N/A,,N/A,,Oil and Gas,,60778,,,2374,,,1075,,,,
189,"Fidji Luxco (BC) S.C.A., Common Stock Warrants (2)(13)(17)",,N/A,,N/A,,Electronics,,18113,,,182,,,4646,,,,
190,"Gryphon Colleges Corp. (Delta Educational Systems, Inc.), Class A-1 Preferred Stock Warrants (13)",,N/A,,N/A,,Education,,45947,,,459,,,-,,,,
191,"Gryphon Colleges Corp. (Delta Educational Systems, Inc.), Class B-1 Preferred Stock Warrants (13)",,N/A,,N/A,,Education,,104314,,,1043,,,-,,,,
192,"Gryphon Colleges Corp. (Delta Educational Systems, Inc.), Common Stock Warrants (13)",,N/A,,N/A,,Education,,9820,,,98,,,-,,,,
193,"Osage Exploration & Development, Inc., Common Stock Warrants (13)(17)",,N/A,,N/A,,Oil and Gas,,1496843,,,-,,,814,,,,
194,"Spotted Hawk Development, LLC, Common Stock Warrants (13)",,N/A,,N/A,,Oil and Gas,,54545,,,852,,,4236,,,,
195,Total Warrants,,,5016,,,,10771,,,,,,,,,,,
196,TOTAL EQUITY,,,42422,,,,46320,,,,,,,,,,,
197,Total Investments in Non-Controlled/ Non-Affiliated Investments,,,2862751,,,,2848449,,,,,,,,,,,
198,"APOLLO INVESTMENT CORPORATION  SCHEDULE OF INVESTMENTS (unaudited) (continued)  September 30, 2014  (in thousands, except shares)",,,,,,,,,,,,,,,,,,
199,INVESTMENTS IN NON-CONTROLLED/AFFILIATED  INVESTMENTS-7.5%(4)(18),,Interest Rate,,Maturity Date,,Industry,,Par  Amount (12),,Cost,,Fair  Value (1),,,,,,
200,STRUCTURED PRODUCTS AND OTHER-7.1%,,,,,,,,,,,,,,,,,,
201,"Golden Bear Warehouse LLC, Equity (3)(17)",,N/A,,N/A,,Diversified Investment Vehicle,,,965,,,,965,,,,-,
202,"Golden Hill CLO I, LLC, Equity (3)(17)",,N/A,,N/A,,Diversified Investment Vehicle,,31349,,,31883,,,31975,,,,
203,"Highbridge Loan Management 3-2014, Ltd., Class D Notes (3)(11)(16)(17)",,5.234% (L+500),,1/18/25,,Diversified Investment Vehicle,,5000,,,4653,,,4583,,,,
