,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
18,"Great Bear Petroleum Operating, LLC",,12.000%,,10/1/17,,Oil and Gas,,5064,,,5064,,,5064,,,,
19,"Hunt Companies, Inc.  t",,9.625%,,3/1/21,,Buildings and Real Estate,,41210,,,40714,,,43322,,,,
20,"Lee Enterprises, Inc.  t  ‡",,9.500%,,3/15/22,,Media,,13000,,,13000,,,13894,,,,
21,"M&G Chemicals, S.A. ‡",,8.73% (L+850),,3/28/16,,Chemicals,,5000,,,5000,,,5000,,,,
22,"Magnetation, LLC  t",,11.000%,,5/15/18,,Mining,,16400,,,16455,,,17999,,,,
23,"Maxus Capital Carbon SPE I, LLC (Skyonic Corp.)",,13.000%,,9/18/19,,Chemicals,,60000,,,60000,,,60000,,,,
24,"Molycorp, Inc. ‡",,10.000%,,6/1/20,,"Diversified Natural Resources, Precious Metals and Minerals",,50424,,,49990,,,46453,,,,
25,"My Alarm Center, LLC †",,"8.50% (L+750, 1.00% Floor)",,1/9/18,,Business Services,,42613,,,42613,,,42613,,,,
26,"My Alarm Center, LLC †",,"8.50% (L+750, 1.00% Floor)",,1/9/18,,Business Services,,4661,,,4661,,,4661,,,,
27,"Osage Exploration & Development, Inc. ‡",,"13.00% (L+1100, 2.00% Floor)",,4/27/16,,Oil and Gas,,25000,,,24588,,,24250,,,,
28,"Panda Sherman Power, LLC",,"9.00% (L+750, 1.50% Floor)",,9/14/18,,Energy,,15000,,,14830,,,15375,,,,
29,"Panda Temple Power, LLC",,"11.50% (L+1000, 1.50% Floor)",,7/17/18,,Energy,,25500,,,25117,,,26217,,,,
30,"Pelican Energy, LLC ‡",,10.00% (7.00% Cash/3.00% PIK),,12/31/18,,Oil and Gas,,24119,,,23209,,,24601,,,,
31,Reichhold Holdings International B.V. ‡,,"10.75% (L+975, 1.00% Floor)",,12/19/16,,Chemicals,,22500,,,22500,,,22500,,,,
32,"Sand Waves, S.A. (Endeavour Energy UK Limited) ‡",,9.750%,,12/31/15,,Oil and Gas,,12083,,,12083,,,12083,,,,
33,"APOLLO INVESTMENT CORPORATION  SCHEDULE OF INVESTMENTS (unaudited) (continued)  June 30, 2014  (in thousands, except shares)",,,,,,,,,,,,,,,,,,
34,INVESTMENTS IN NON-CONTROLLED/NON-AFFILIATED INVESTMENTS-136.8%,,Interest Rate,,Maturity Date,,Industry,,Par Amount*,,Cost,,Fair  Value (1),,,,,,
35,1st Lien Secured Debt-37.3% (continued),,,,,,,,,,,,,,,,,,
36,"Spotted Hawk Development, LLC ‡",,14.00% (13.00% Cash/1.00% PIK),,6/30/16,,Oil and Gas,,,32386,,,,31847,,,,32386,
37,"Sunrun Solar Owner IX, LLC",,9.079%,,12/31/24,,Energy,,3574,,,3422,,,3422,,,,
38,"UniTek Global Services, Inc., (Revolver)†",,"10.25% (L+925, 1.00% Floor) Funded, 2.00% Unfunded",,4/15/16,,Telecommunications,,37652,,,37652,,,37652,,,,
39,"Walter Energy, Inc.  t  ‡",,9.500%,,10/15/19,,Mining,,21257,,,21676,,,21636,,,,
40,Total 1st Lien Secured Debt,,,764561,,,,772052,,,,,,,,,,,
41,Unfunded Revolver Obligations-(0.3)%,,,,,,,,,,,,,,,,,,
42,"Avaya, Inc., (Unfunded Revolver) (8)",,"L+275 Funded, 0.50% Unfunded",,10/26/16,,Telecommunications,,,18392,,,,"(4,699",,,,"(1,425",
43,"BMC Software, Inc., (Unfunded Revolver) (8)",,"L+400 Funded, 0.50% Unfunded",,9/10/18,,Business Services,,30760,,,"(3,281",,,"(2,768",,,,
44,"Confie Seguros Holding II Co., (Unfunded Revolver) (8) †",,"P+350 Funded, 0.50% Unfunded",,12/10/18,,Insurance,,3641,,,(409,,,(328,,,,
45,"Laureate Education, Inc., (Unfunded Revolver) (8)‡",,"L+375 Funded, 0.625% Unfunded",,6/16/16,,Education,,28880,,,"(2,888",,,"(2,455",,,,
46,"Reichhold Holdings International B.V., (Unfunded Revolver) ‡†",,"L+600 Funded, 1.50% Unfunded",,12/19/16,,Chemicals,,12500,,,-,,,-,,,,
47,"Salix Pharmaceuticals, Ltd., (Unfunded Revolver) (8)‡†",,"L+300 Funded, 0.50% Unfunded",,1/2/19,,Healthcare,,24867,,,"(1,822",,,(249,,,,
48,"UniTek Global Services, Inc., (Unfunded Revolver) †",,"L+925 Funded, 2.00% Unfunded",,4/15/16,,Telecommunications,,15702,,,-,,,-,,,,
49,"Walter Energy, Inc., (Unfunded Revolver) (8)‡",,"L+550 Funded, 0.625% Unfunded",,10/1/17,,Mining,,1923,,,(215,,,(101,,,,
50,Total Unfunded Revolver Obligations,,,"(13,314",,,,"(7,326",,,,,,,,,,,
51,Letters of Credit- (0.0)%,,,,,,,,,,,,,,,,,,
52,"Confie Seguros Holding II Co., Letter of Credit (8)†",,4.500%,,10/27/14,,Insurance,,,600,,,,-,,,,(54,
53,"Confie Seguros Holding II Co., Letter of Credit (8)†",,4.500%,,1/13/15,,Insurance,,50,,,-,,,(5,,,,
54,"Salix Pharmaceuticals, Ltd., Letter of Credit ‡†",,3.000%,,2/10/15,,Healthcare,,8,,,3,,,-,,,,
55,"Salix Pharmaceuticals, Ltd., Letter of Credit (8)‡†",,3.000%,,2/10/15,,Healthcare,,125,,,48,,,(1,,,,
56,"UniTek Global Services, Inc., Letter of Credit †",,9.250%,,12/15/14,,Telecommunications,,5446,,,-,,,-,,,,
57,"UniTek Global Services, Inc., Letter of Credit †",,9.250%,,3/18/15,,Telecommunications,,1000,,,-,,,-,,,,
58,"UniTek Global Services, Inc., Letter of Credit †",,9.250%,,3/18/15,,Telecommunications,,2700,,,-,,,-,,,,
59,"UniTek Global Services, Inc., Letter of Credit †",,9.250%,,3/26/15,,Telecommunications,,12500,,,-,,,-,,,,
60,"Walter Energy, Inc., Letter of Credit (8)(9)‡†",,5.500%,,9/18/14- 7/4/15,,Mining,,86,,,-,,,(5,,,,
61,"Walter Energy, Inc., Letter of Credit (8)(9)‡†",,5.500%,,11/28/15- 8/31/15,,Mining,,CAD,192,,,-,,,(9,,,
62,Total Letters of Credit,,,51,,,,(74,,,,,,,,,,,
63,"APOLLO INVESTMENT CORPORATION  SCHEDULE OF INVESTMENTS (unaudited) (continued)  June 30, 2014  (in thousands, except shares)",,,,,,,,,,,,,,,,,,
64,INVESTMENTS IN NON-CONTROLLED/NON-AFFILIATED INVESTMENTS-136.8%,,Interest Rate,,Maturity Date,,Industry,,Par Amount*,,Cost,,Fair  Value (1),,,,,,
65,2nd Lien Secured Debt-50.4%,,,,,,,,,,,,,,,,,,
66,"Active Network, Inc.",,"9.50% (L+850, 1.00% Floor)",,11/15/21,,Business Services,,,22910,,,,22801,,,,22995,
67,"American Energy - Utica, LLC (10)",,"11.00% (L+950, 1.50% Floor)",,9/30/18,,Oil and Gas,,10869,,,10764,,,11521,,,,
68,"Aptean, Inc.",,"8.50% (L+750, 1.00% Floor)",,2/26/21,,Business Services,,11322,,,11158,,,11506,,,,
69,"Armor Holdings, Inc. (American Stock Transfer and Trust Company)",,"10.25% (L+900, 1.25% Floor)",,12/26/20,,Financial Services,,8000,,,7855,,,7960,,,,
70,Asurion Corporation,,"8.50% (L+750, 1.00% Floor)",,3/3/21,,Insurance,,90400,,,89086,,,94072,,,,
71,"BancTec Group, LLC ‡",,"11.75% (L+1075, 1.00% Floor)",,4/3/20,,Business Services,,40000,,,39224,,,39200,,,,
72,"BJ's Wholesale Club, Inc.",,"8.50% (L+750, 1.00% Floor)",,3/26/20,,Retail,,15000,,,14927,,,15450,,,,
73,Confie Seguros Holding II Co.,,"10.25% (L+900, 1.25% Floor)",,5/8/19,,Insurance,,27344,,,27105,,,27652,,,,
74,Consolidated Precision Products Corp.,,"8.75% (L+775, 1.00% Floor)",,4/30/21,,Aerospace and Defense,,8940,,,8898,,,9046,,,,
75,Del Monte Foods Co.,,"8.25% (L+725, 1.00% Floor)",,8/18/21,,"Beverage, Food, and Tobacco",,2146,,,2126,,,2113,,,,
76,"Deltek, Inc.",,"10.00% (L+875, 1.25% Floor)",,10/10/19,,Business Services,,27273,,,27032,,,27921,,,,
77,"DSI Renal, Inc.",,"7.75% (L+675, 1.00% Floor)",,10/22/21,,Healthcare,,3300,,,3276,,,3325,,,,
78,"Elements Behavioral Health, Inc.",,"9.25% (L+825, 1.00% Floor)",,2/11/20,,Healthcare,,9500,,,9410,,,9488,,,,
79,Emerald 3 Limited ‡,,"8.00% (L+700, 1.00% Floor)",,5/9/22,,Business Services,,3179,,,3143,,,3179,,,,
80,"Flexera Software, LLC",,"8.00% (L+700, 1.00% Floor)",,4/2/21,,Business Services,,4250,,,4228,,,4266,,,,
81,Garden Fresh Restaurant Corp. †,,"14.50% (L+1300 PIK, 1.50% Floor)",,1/1/19,,Restaurants,,35764,,,33654,,,31830,,,,
82,Garden Fresh Restaurant Corp. †,,"7.25% (L+575 PIK, 1.50% Floor)",,1/1/19,,Restaurants,,7800,,,5831,,,5304,,,,
83,"GCA Services Group, Inc.",,"9.25% (L+800, 1.25% Floor)",,11/1/20,,Diversified Service,,22838,,,22937,,,23066,,,,
84,"Genex Holdings, Inc.",,"8.75% (L+775, 1.00% Floor)",,5/30/22,,Healthcare,,5320,,,5267,,,5370,,,,
85,"Grocery Outlet, Inc.",,"10.50% (L+925, 1.25% Floor)",,6/17/19,,Grocery,,8674,,,8531,,,8847,,,,
86,"GTCR Valor Companies, Inc.",,L+850,,11/21/21,,Business Services,,35000,,,34650,,,34825,,,,
87,"HD Vest, Inc. ‡",,"9.25% (L+800, 1.25% Floor)",,6/18/19,,Financial Services,,9396,,,9294,,,9384,,,,
88,"Healogics, Inc.",,"9.25% (L+800, 1.25% Floor)",,2/5/20,,Healthcare,,10000,,,10106,,,10242,,,,
89,"Insight Pharmaceuticals, LLC",,"13.25% (L+1175, 1.50% Floor)",,8/25/17,,Consumer Products,,15448,,,15255,,,15410,,,,
90,"Institutional Shareholder Services, Inc.",,"8.50% (L+750, 1.00% Floor)",,4/30/22,,Financial Services,,9640,,,9544,,,9640,,,,
91,"Kronos, Inc.",,"9.75% (L+850, 1.25% Floor)",,4/30/20,,Business Services,,92516,,,91561,,,96448,,,,
92,"Learfield Communications, Inc.",,"8.75% (L+775, 1.00% Floor)",,10/8/21,,Media,,15000,,,14859,,,15300,,,,
93,"APOLLO INVESTMENT CORPORATION  SCHEDULE OF INVESTMENTS (unaudited) (continued)  June 30, 2014  (in thousands, except shares)",,,,,,,,,,,,,,,,,,
94,INVESTMENTS IN NON-CONTROLLED/NON-AFFILIATED INVESTMENTS-136.8%,,Interest Rate,,Maturity Date,,Industry,,Par Amount*,,Cost,,Fair  Value (1),,,,,,
95,2nd Lien Secured Debt-50.4% (continued),,,,,,,,,,,,,,,,,,
96,"Miller Energy Resources, Inc. ‡",,"11.75% (L+975, 2.00% Floor)",,2/3/18,,Oil and Gas,,,87500,,,,85892,,,,85750,
97,MSC Software Corp. ‡,,"8.50% (L+750, 1.00% Floor)",,5/28/21,,Business Services,,20448,,,20244,,,20652,,,,
98,Ranpak Corp.,,"8.50% (L+725, 1.25% Floor)",,4/23/20,,Packaging,,22000,,,21808,,,22468,,,,
99,"RegionalCare Hospital Partners, Inc.",,"10.50% (L+950, 1.00% Floor)",,10/23/19,,Healthcare,,10000,,,9508,,,9953,,,,
100,River Cree Enterprises LP  t  ‡,,11.000%,,1/20/21,,"Hotels, Motels, Inns and Gaming",,CAD,33000,,,31110,,,33673,,,
101,"SiTV, Inc.  t",,10.375%,,7/1/19,,Cable Television,,,2219,,,2219,,,2277,,,
102,"Sprint Industrial Holdings, LLC",,"11.25% (L+1000, 1.25% Floor)",,11/14/19,,"Containers, Packaging, and Glass",,14163,,,13935,,,14305,,,,
103,"SquareTwo Financial Corp. (Collect America, Ltd.) ‡",,11.625%,,4/1/17,,Financial Services,,66079,,,64944,,,63436,,,,
104,Stadium Management Corp.,,"9.25% (L+825, 1.00% Floor)",,2/27/21,,Business Services,,19900,,,19900,,,20248,,,,
105,"TASC, Inc.",,12.000%,,5/23/21,,Aerospace and Defense,,14077,,,13372,,,13971,,,,
106,"Tectum Holdings, Inc",,"9.00% (L+800, 1.00% Floor)",,3/12/19,,Auto Sector,,17670,,,17586,,,17648,,,,
107,"Transfirst Holdings, Inc.",,"7.50% (L+650, 1.00% Floor)",,6/27/18,,Financial Services,,22500,,,22435,,,22669,,,,
108,"TriMark USA, LLC",,"10.00% (L+900, 1.00% Floor)",,8/12/19,,Distribution,,27000,,,26490,,,27337,,,,
109,"U.S. Renal Care, Inc. †",,"10.25% (L+900, 1.25% Floor)",,1/3/20,,Healthcare,,11927,,,11978,,,12136,,,,
110,"U.S. Renal Care, Inc. †",,"8.50% (L+750, 1.00% Floor)",,7/3/20,,Healthcare,,12120,,,11936,,,12302,,,,
111,"Velocity Technology Solutions, Inc.",,"9.00% (L+775, 1.25% Floor)",,9/28/20,,Business Services,,16500,,,16180,,,16170,,,,
112,"Vertafore, Inc.",,"9.75% (L+825, 1.50% Floor)",,10/27/17,,Business Services,,50436,,,50183,,,51487,,,,
113,"Walter Energy, Inc.  t  ‡",,11.000%,,4/1/20,,Mining,,22554,,,21138,,,18823,,,,
114,Winebow Group,,L+750,,1/1/22,,"Beverage, Food, and Tobacco",,2582,,,2562,,,2588,,,,
115,"Xand Operations, LLC",,"8.50% (L+750, 1.00% Floor)",,5/13/20,,Telecommunications,,20000,,,19803,,,19800,,,,
116,Total 2nd Lien Secured Debt,,,1025745,,,,1043053,,,,,,,,,,,
117,TOTAL SECURED DEBT,,,1777043,,,,1807705,,,,,,,,,,,
118,"APOLLO INVESTMENT CORPORATION  SCHEDULE OF INVESTMENTS (unaudited) (continued)  June 30, 2014  (in thousands, except shares)",,,,,,,,,,,,,,,,,,
119,INVESTMENTS IN NON-CONTROLLED/NON-AFFILIATED INVESTMENTS-136.8%,,Interest Rate,,Maturity Date,,Industry,,Par Amount*,,Cost,,Fair  Value (1),,,,,,
120,UNSECURED DEBT-38.2%,,,,,,,,,,,,,,,,,,
121,"American Tire Distributors, Inc.  t  †",,11.500%,,6/1/18,,Distribution,,,25000,,,,25000,,,,25500,
122,"American Tire Distributors, Inc. †",,11.500%,,6/1/18,,Distribution,,40000,,,39353,,,40800,,,,
123,Artsonig Pty Ltd.  t  ‡,,11.500%,,4/1/19,,Transportation,,20000,,,19712,,,19900,,,,
124,BCA Osprey II Limited (British Car Auctions) †‡,,12.50% PIK,,8/17/17,,Transportation,,€,14333,,,19731,,,20370,,,
125,BCA Osprey II Limited (British Car Auctions) †‡,,12.50% PIK,,8/17/17,,Transportation,,£,23566,,,37603,,,41826,,,
126,Ceridian Corp.  t  †,,11.000%,,3/15/21,,Diversified Service,,,34000,,,34000,,,39334,,,
127,Ceridian Corp. †,,11.250%,,11/15/15,,Diversified Service,,35800,,,35800,,,35830,,,,
128,Ceridian Corp. †,,12.25% Cash (12.25% Cash or 13.00% PIK),,11/15/15,,Diversified Service,,14420,,,14420,,,14432,,,,
129,"Delta Educational Systems, Inc.",,16.00% (10.00% Cash/6.00% PIK),,5/12/17,,Education,,22001,,,21691,,,21088,,,,
130,Denver Parent Corp. (Venoco)  t,,12.250%,,8/15/18,,Oil and Gas,,15000,,,14649,,,14512,,,,
131,"Energy & Exploration Partners, Inc. †",,15.000%,,4/8/18,,Oil and Gas,,25000,,,22520,,,23750,,,,
132,"Energy & Exploration Partners, Inc. †",,15.000%,,12/12/18,,Oil and Gas,,4464,,,4270,,,4241,,,,
133,"Energy & Exploration Partners, Inc. †",,15.000%,,12/12/18,,Oil and Gas,,2679,,,2476,,,2545,,,,
134,"Energy & Exploration Partners, Inc. †",,15.000%,,3/27/19,,Oil and Gas,,8036,,,7664,,,7634,,,,
135,First Data Corp.,,11.250%,,1/15/21,,Financial Services,,67000,,,66979,,,78348,,,,
136,"inVentiv Health, Inc.  t",,11.000%,,8/15/18,,Healthcare,,65250,,,65250,,,62069,,,,
137,"My Alarm Center, LLC",,16.25% (12.00% Cash/4.25% PIK),,7/9/18,,Business Services,,4145,,,4145,,,4145,,,,
138,Niacet Corporation,,13.000%,,8/28/18,,Chemicals,,12500,,,12500,,,12625,,,,
139,PetroBakken Energy Ltd.  t  ‡,,8.625%,,2/1/20,,Oil and Gas,,44045,,,44234,,,46412,,,,
140,"Radio One, Inc.  t  ‡",,9.250%,,2/15/20,,Broadcasting & Entertainment,,14804,,,14804,,,16155,,,,
141,"Sorenson Communications Holdings, LLC  t",,13.00% PIK,,10/31/21,,Consumer Products,,68,,,46,,,63,,,,
142,"Symbion, Inc.",,11.000%,,8/23/15,,Healthcare,,8488,,,8499,,,8555,,,,
143,"U.S. Security Associates Holdings, Inc.",,11.000%,,7/28/18,,Business Services,,135000,,,135000,,,137570,,,,
144,"Univar, Inc.",,10.500%,,6/30/18,,Distribution,,20000,,,20000,,,20000,,,,
145,Varietal Distribution  t  †,,10.750%,,6/30/17,,Distribution,,22204,,,21927,,,22204,,,,
146,Varietal Distribution  t  †,,10.750%,,6/30/17,,Distribution,,€,11574,,,15086,,,15846,,,
147,"Venoco, Inc.",,8.875%,,2/15/19,,Oil and Gas,,,55824,,,55844,,,54638,,,
148,TOTAL UNSECURED DEBT,,,763203,,,,790392,,,,,,,,,,,
149,TOTAL CORPORATE DEBT,,,2540246,,,,2598097,,,,,,,,,,,
150,STRUCTURED PRODUCTS AND OTHER-7.0%,,,,,,,,,,,,,,,,,,
151,"Craft 2013-1, Credit-Linked Note †‡",,9.48% (L+925),,4/17/22,,Diversified Investment Vehicle,,,25000,,,,25100,,,,24553,
152,"Craft 2013-1, Credit-Linked Note †‡",,9.48% (L+925),,4/17/22,,Diversified Investment Vehicle,,7625,,,7759,,,7541,,,,
153,"Craft 2014-1A, Credit-Linked Note ‡",,9.89% (L+965),,5/15/21,,Diversified Investment Vehicle,,38500,,,38500,,,37898,,,,
154,"Dark Castle Holdings, LLC",,N/A,,N/A,,Media,,24395,,,1189,,,2158,,,,
155,"JP Morgan Chase & Co., Credit-Linked Note ‡",,12.48% (L+1225),,12/20/21,,Diversified Investment Vehicle,,43250,,,42786,,,43382,,,,
156,"NXT Capital CLO 2014-1, LLC ‡",,5.80% (L+550),,4/23/26,,Diversified Investment Vehicle,,5000,,,4655,,,4652,,,,
157,"Renaissance Umiat, LLC, ACES Tax Receivable ****‡",,N/A,,N/A,,Oil and Gas,,-,,,7153,,,8084,,,,
158,"Renaissance Umiat, LLC, ACES Tax Receivable ****‡",,N/A,,N/A,,Oil and Gas,,-,,,16967,,,17423,,,,
159,TOTAL STRUCTURED PRODUCTS AND OTHER,,,144109,,,,145691,,,,,,,,,,,
160,"APOLLO INVESTMENT CORPORATION  SCHEDULE OF INVESTMENTS (unaudited) (continued)  June 30, 2014  (in thousands, except shares)",,,,,,,,,,,,,,,,,,
161,INVESTMENTS IN NON-CONTROLLED/NON-AFFILIATED INVESTMENTS-136.8%,,Interest Rate,,Maturity Date,,Industry,,Par Amount*,,Cost,,Fair  Value (1),,,,,,
162,PREFERRED EQUITY-2.0%,,Shares,,,,,,,,,,,,,,,,
163,"CA Holding, Inc. (Collect America, Ltd.), Series A Preferred Stock ‡",,N/A,,N/A,,Financial Services,,7961,,,,788,,,,1592,,
164,"Crowley Holdings, Series A Preferred Stock",,12.00% (10.00% Cash/2.00% PIK),,N/A,,Cargo Transport,,22500,,,22736,,,22810,,,,
165,"Gryphon Colleges Corp. (Delta Educational Systems, Inc.), Preferred Stock (Convertible) ***",,12.50% PIK,,N/A,,Education,,332500,,,6863,,,-,,,,
166,"Gryphon Colleges Corp. (Delta Educational Systems, Inc.), Preferred Stock ***",,13.50% PIK,,N/A,,Education,,12360,,,27686,,,13322,,,,
167,"Varietal Distribution Holdings, LLC, Class A Preferred Unit",,8.00% PIK,,N/A,,Distribution,,3097,,,5393,,,3570,,,,
168,TOTAL PREFERRED EQUITY,,,63466,,,,41294,,,,,,,,,,,
169,EQUITY-2.2%,,,,,,,,,,,,,,,,,,
170,Common Equity/Interests-1.7%,,,,,,,,,,,,,,,,,,
171,"AHC Mezzanine, LLC (Advanstar), Common Stock **",,N/A,,N/A,,Media,,25016,,,,1063,,,,370,,
172,"ATD Corporation (Accelerate Parent Corp.), Common Stock **",,N/A,,N/A,,Distribution,,3225514,,,3276,,,4260,,,,
173,"CA Holding, Inc. (Collect America, Ltd.), Series A Common Stock **‡",,N/A,,N/A,,Financial Services,,25000,,,2500,,,176,,,,
174,"CA Holding, Inc. (Collect America, Ltd.), Series AA Common Stock **‡",,N/A,,N/A,,Financial Services,,4294,,,429,,,859,,,,
175,"Caza Petroleum, Inc., Net Profits Interest **",,N/A,,N/A,,Oil and Gas,,-,,,1202,,,1517,,,,
176,"Caza Petroleum, Inc., Overriding Royalty Interest **",,N/A,,N/A,,Oil and Gas,,-,,,339,,,395,,,,
177,"Clothesline Holdings, Inc. (Angelica Corporation), Common Stock **",,N/A,,N/A,,Healthcare,,6000,,,6000,,,1588,,,,
178,"Explorer Coinvest, LLC (Booz Allen), Common Stock **‡",,N/A,,N/A,,Business Services,,295159,,,2259,,,5830,,,,
179,"Garden Fresh Restaurant Holdings, LLC., Common Stock **",,N/A,,N/A,,Restaurants,,50000,,,5000,,,-,,,,
180,"Gryphon Colleges Corp. (Delta Educational Systems, Inc.), Common Stock **",,N/A,,N/A,,Education,,17500,,,175,,,-,,,,
181,"GS Prysmian Co-Invest L.P. (Prysmian Cables & Systems), Limited Partnership (2)(3)**‡",,N/A,,N/A,,Manufacturing,,-,,,-,,,133,,,,
182,"JV Note Holdco, LLC (DSI Renal, Inc.), Common Equity / Interest **",,N/A,,N/A,,Healthcare,,9303,,,85,,,-,,,,
183,"Pelican Energy, LLC, Net Profit Interest **‡",,N/A,,N/A,,Oil and Gas,,941633,,,942,,,1394,,,,
184,"RC Coinvestment, LLC (Ranpak Corp.), Common Stock **",,N/A,,N/A,,Packaging,,50000,,,5000,,,9066,,,,
185,"Sorenson Communications Holdings, LLC, Class A Common Stock **",,N/A,,N/A,,Consumer Products,,587,,,-,,,52,,,,
186,"Univar, Inc., Common Stock **",,N/A,,N/A,,Distribution,,900000,,,9000,,,9450,,,,
187,"Varietal Distribution Holdings, LLC, Class A Common Unit **",,N/A,,N/A,,Distribution,,28028,,,28,,,-,,,,
188,Total Common Equity/Interests,,,37298,,,,35090,,,,,,,,,,,
189,"APOLLO INVESTMENT CORPORATION  SCHEDULE OF INVESTMENTS (unaudited) (continued)  June 30, 2014  (in thousands, except warrants)",,,,,,,,,,,,,,,,,,
190,INVESTMENTS IN NON-CONTROLLED/NON-AFFILIATED INVESTMENTS-136.8%,,Interest Rate,,Maturity Date,,Industry,,Warrants,,Cost,,Fair  Value (1),,,,,,
191,Warrants-0.5%,,,,,,,,,,,,,,,,,,
192,"CA Holding, Inc. (Collect America, Ltd.), Common Stock Warrants **‡",,N/A,,N/A,,Financial Services,,7961,,,,8,,,,-,,
193,"Energy & Exploration Partners, Inc., Common Stock Warrants **",,N/A,,N/A,,Oil and Gas,,60778,,,2374,,,863,,,,
194,"Fidji Luxco (BC) S.C.A., Common Stock Warrants (2)**‡",,N/A,,N/A,,Electronics,,18113,,,182,,,5036,,,,
195,"Gryphon Colleges Corp. (Delta Educational Systems, Inc.), Class A-1 Preferred Stock Warrants **",,N/A,,N/A,,Education,,45947,,,459,,,-,,,,
196,"Gryphon Colleges Corp. (Delta Educational Systems, Inc.), Class B-1 Preferred Stock Warrants **",,N/A,,N/A,,Education,,104314,,,1043,,,-,,,,
197,"Gryphon Colleges Corp. (Delta Educational Systems, Inc.), Common Stock Warrants **",,N/A,,N/A,,Education,,9820,,,98,,,-,,,,
198,"Osage Exploration & Development, Inc., Common Stock Warrants **‡",,N/A,,N/A,,Oil and Gas,,1496843,,,-,,,1386,,,,
199,"Spotted Hawk Development, LLC, Common Stock Warrants **‡",,N/A,,N/A,,Oil and Gas,,54545,,,852,,,2170,,,,
200,Total Warrants,,,5016,,,,9455,,,,,,,,,,,
201,TOTAL EQUITY,,,42314,,,,44545,,,,,,,,,,,
202,Total Investments in Non-Controlled/ Non-Affiliated Investments,,,2790135,,,,2829627,,,,,,,,,,,
203,"APOLLO INVESTMENT CORPORATION  SCHEDULE OF INVESTMENTS (unaudited) (continued)  June 30, 2014  (in thousands, except shares and warrants)",,,,,,,,,,,,,,,,,,
204,INVESTMENTS IN NON-CONTROLLED/AFFILIATED  INVESTMENTS-7.8%(4),,Interest Rate,,Maturity Date,,Industry,,Par  Amount*,,Cost,,Fair  Value (1),,,,,,
205,CORPORATE DEBT-0.8%,,,,,,,,,,,,,,,,,,
206,SECURED DEBT-0.8%,,,,,,,,,,,,,,,,,,
207,1st Lien Secured Debt-0.8%,,,,,,,,,,,,,,,,,,
208,"Aventine Renewable Energy Holdings, Inc. †",,15.00% (12.00% Cash/3.00% PIK),,9/23/16,,Chemicals,,,2757,,,,2641,,,,2568,
209,"Aventine Renewable Energy Holdings, Inc. †",,15.00% PIK (15.00% PIK or 10.50% Cash),,9/22/17,,Chemicals,,14601,,,17519,,,10987,,,,
210,"Aventine Renewable Energy Holdings, Inc. †",,25.00% PIK,,9/24/16,,Chemicals,,4008,,,4008,,,4008,,,,
211,Total 1st Lien Secured Debt,,,24168,,,,17563,,,,,,,,,,,
