,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
118,,,,,,,,,,,,,,,,,30607,,,,,30380,,,,,,,,,,,,,,,,,,,,,,,
119,Continuum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,"Continuum Global Solutions, LLC",,Preferred Equity - Preferred Equity,,,N/A,,N/A,,,775  Shares,,,,,78,,,,,78,,,(9)(13),,,,,,,,,,,,,,,,,,,,,
121,Electro Rent Corporation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,Electro Rent Corporation,,Second Lien Secured Debt,,,"L+  900  ,  1.00  % Floor",,01/31/25,,,,34235,,,,,33999,,,,,33893,,,(9)(34)(35),,,,,,,,,,,,,,,,,,,,
123,Elo Touch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,TGG TS Acquisition Company,,First Lien Secured Debt - Revolver,,,"L+  650  ,  0.00  % Floor",,12/14/23,,,,1750,,,,,-,,,,,(  9,,,(8)(21)(23),,,,,,,,,,,,,,,,,,,,
125,Escalent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,"M&M OPCO, LLC",,First Lien Secured Debt,,,"SOFR+  810  ,  1.00  % Floor",,04/07/29,,,,9500,,,,,9225,,,,,9215,,,(9)(31),,,,,,,,,,,,,,,,,,,,
127,,,First Lien Secured Debt - Revolver,,,"SOFR+  800  ,  1.00  % Floor",,04/07/29,,,,476,,,,,(  14,,,,,(  14,,,(8)(9)(21)(23),,,,,,,,,,,,,,,,,,,,
128,,,,,,,,,,,,,,,,,9211,,,,,9201,,,,,,,,,,,,,,,,,,,,,,,
129,Go1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,"Apiom, Inc.",,First Lien Secured Debt,,,"SOFR+  745  ,  2.00  % Floor",,05/02/28,,,,2500,,,,,2482,,,,,2481,,,(9)(17)(30),,,,,,,,,,,,,,,,,,,,
131,HMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,"Health Management Associates Superholdings, Inc.",,First Lien Secured Debt,,,"SOFR+  650  ,  1.00  % Floor",,03/30/29,,,,4716,,,,,4096,,,,,4090,,,(9)(21)(23)(30),,,,,,,,,,,,,,,,,,,,
133,,,First Lien Secured Debt - Revolver,,,"SOFR+  650  ,  1.00  % Floor",,03/30/29,,,,284,,,,,(  8,,,,,(  9,,,(8)(9)(20)(21)  (23),,,,,,,,,,,,,,,,,,,,
134,,,,,,,,,,,,,,,,,4088,,,,,4081,,,,,,,,,,,,,,,,,,,,,,,
135,Industry/Company,,Investment Type,,,Interest Rate,,Maturity Date,,Par/Shares  (12),,,Cost  (37),,,Fair Value  (1)(38),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,IRP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,Precision Refrigeration & Air Conditioning LLC,,First Lien Secured Debt,,,"SOFR+  690  ,  1.00  % Floor",,03/08/28,,,,11094,,,,,10887,,,,,10789,,,(9)(31),,,,,,,,,,,,,,,,,,,,
138,,,First Lien Secured Debt - Revolver,,,"SOFR+  690  ,  1.00  % Floor",,03/08/28,,,,1705,,,,,541,,,,,521,,,(9)(21)(23)(31),,,,,,,,,,,,,,,,,,,,
139,"SMC IR Holdings, LLC",,Common Equity - Common Stock,,,N/A,,N/A,,,138  Shares,,,,,155,,,,,303,,,(9),,,,,,,,,,,,,,,,,,,,,
140,,,,,,,,,,,,,,,,,11583,,,,,11613,,,,,,,,,,,,,,,,,,,,,,,
141,Jacent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,Jacent Strategic Merchandising,,First Lien Secured Debt,,,"SOFR+  575  Cash plus  1.50  % PIK,  1.00  % Floor",,04/23/24,,,,22214,,,,,22160,,,,,21629,,,(9)(30),,,,,,,,,,,,,,,,,,,,
143,,,First Lien Secured Debt - Revolver,,,"SOFR+  725  ,  1.00  % Floor",,04/23/24,,,,3500,,,,,3449,,,,,3395,,,(9)(21)(23)(30),,,,,,,,,,,,,,,,,,,,
144,,,Common Equity - Common Stock,,,N/A,,N/A,,,"5,000  Shares",,,,,500,,,,,45,,,(9)(13),,,,,,,,,,,,,,,,,,,,,
145,"JSM Equity Investors, L.P.",,Preferred Equity - Class P Partnership Units,,,N/A,,N/A,,,114  Shares,,,,,11,,,,,11,,,(9)(13),,,,,,,,,,,,,,,,,,,,,
146,,,,,,,,,,,,,,,,,26120,,,,,25080,,,,,,,,,,,,,,,,,,,,,,,
147,Jones & Frank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,"JF Acquisition, LLC",,First Lien Secured Debt,,,"SOFR+  560  ,  1.00  % Floor",,07/31/26,,,,13031,,,,,12934,,,,,12833,,,(9)(31),,,,,,,,,,,,,,,,,,,,
149,,,First Lien Secured Debt - Revolver,,,"SOFR+  560  ,  1.00  % Floor",,07/31/26,,,,1569,,,,,1368,,,,,1357,,,(9)(21)(23)(31),,,,,,,,,,,,,,,,,,,,
150,,,,,,,,,,,,,,,,,14302,,,,,14190,,,,,,,,,,,,,,,,,,,,,,,
151,Naviga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,"Naviga Inc. (fka Newscycle Solutions, Inc.)",,First Lien Secured Debt,,,"SOFR+  710  ,  1.00  % Floor",,12/29/23,,,,13228,,,,,13183,,,,,13228,,,(9)(31),,,,,,,,,,,,,,,,,,,,
153,,,First Lien Secured Debt - Revolver,,,"SOFR+  710  ,  1.00  % Floor",,12/29/23,,,,500,,,,,443,,,,,444,,,(9)(21)(23)(31),,,,,,,,,,,,,,,,,,,,
154,,,,,,,,,,,,,,,,,13626,,,,,13672,,,,,,,,,,,,,,,,,,,,,,,
155,PSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,"Graffiti Buyer, Inc.",,First Lien Secured Debt,,,"L+  550  ,  1.00  % Floor",,08/10/27,,,,8341,,,,,6845,,,,,6868,,,(9)(21)(23)(34),,,,,,,,,,,,,,,,,,,,
157,,,First Lien Secured Debt - Revolver,,,P+  550,,08/10/27,,,,109,,,,,107,,,,,108,,,(9)(21)(23)(28),,,,,,,,,,,,,,,,,,,,
158,,,First Lien Secured Debt - Revolver,,,"L+  550  ,  1.00  % Floor",,08/10/27,,,,1198,,,,,379,,,,,384,,,(9)(21)(23)(34),,,,,,,,,,,,,,,,,,,,
159,"Graffiti Parent, LP",,Common Equity - Common Stock,,,N/A,,N/A,,,"2,439  Shares",,,,,244,,,,,366,,,(9)(13),,,,,,,,,,,,,,,,,,,,,
160,,,,,,,,,,,,,,,,,7575,,,,,7726,,,,,,,,,,,,,,,,,,,,,,,
161,"PSI Services, LLC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,"Lifelong Learner Holdings, LLC",,First Lien Secured Debt,,,"L+  575  ,  1.00  % Floor",,10/19/26,,,,33541,,,,,33210,,,,,32071,,,(9)(34),,,,,,,,,,,,,,,,,,,,
163,,,First Lien Secured Debt - Revolver,,,"L+  575  ,  1.00  % Floor",,10/20/25,,,,2985,,,,,2958,,,,,2882,,,(9)(21)(23)(34),,,,,,,,,,,,,,,,,,,,
164,,,,,,,,,,,,,,,,,36168,,,,,34953,,,,,,,,,,,,,,,,,,,,,,,
165,SEER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,GS SEER Group Borrower LLC,,First Lien Secured Debt,,,"SOFR+  675  ,  1.00  % Floor",,04/29/30,,,,4633,,,,,3121,,,,,3118,,,(9)(21)(23)(31),,,,,,,,,,,,,,,,,,,,
167,,,First Lien Secured Debt - Revolver,,,"SOFR+  675  ,  1.00  % Floor",,04/30/29,,,,367,,,,,(  11,,,,,(  11,,,(8)(9)(21)(23),,,,,,,,,,,,,,,,,,,,
168,"GS SEER Group Holdings, LLC",,Common Equity - Common Stock,,,N/A,,N/A,,,42  Shares,,,,,42,,,,,42,,,(9)(13)(24),,,,,,,,,,,,,,,,,,,,,
169,,,,,,,,,,,,,,,,,3152,,,,,3149,,,,,,,,,,,,,,,,,,,,,,,
170,Industry/Company,,Investment Type,,,Interest Rate,,Maturity Date,,Par/Shares  (12),,,Cost  (37),,,Fair Value  (1)(38),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,Soliant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,"Soliant Health, Inc.",,Common Equity - Membership Interests,,,N/A,,N/A,,,300  Shares,,,,,300,,,,,1450,,,(9),,,,,,,,,,,,,,,,,,,,,
173,Trench Plate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,Trench Plate Rental Co.,,First Lien Secured Debt,,,"SOFR+  560  ,  1.00  % Floor",,12/03/26,,,,18000,,,,,17779,,,,,17730,,,(9)(31),,,,,,,,,,,,,,,,,,,,
175,,,First Lien Secured Debt - Revolver,,,"SOFR+  560  ,  1.00  % Floor",,12/03/26,,,,1818,,,,,570,,,,,564,,,(9)(20)(21)(23)  (31),,,,,,,,,,,,,,,,,,,,
176,"Trench Safety Solutions Holdings, LLC",,Common Equity - Common Stock,,,N/A,,N/A,,,331  Shares,,,,,50,,,,,43,,,(9)(13),,,,,,,,,,,,,,,,,,,,,
177,,,,,,,,,,,,,,,,,18399,,,,,18337,,,,,,,,,,,,,,,,,,,,,,,
178,US Legal Support,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
